default
闘技場へ行く,前往競技場
この街にいるエイライラという高名なマスターが書いた本です。\nサキュバスの分類などについて、短くまとまっていて、\nとてもいい本ですよ。,這是這座城鎮上中著名的卡片玩家愛萊拉寫的書。\n她簡單明瞭地說明了魅魔的分類等知識，\n是非常好的一本書。
他には…。え？サキュバス化した人間を元に戻すための本ですか？\nうーん…。本はたくさん読んでいますが、\n残念ながら知っている本にはないと思います。,您問其他的？什麼？您要將被魅魔化的人變回原狀的書？\n嗯……。很抱歉，因為我讀了很多書，\n所以我知道沒有這樣的書。
そういうことを研究している人が以前この街にいた、\nとは聞いたことがありますが、\nまだ成功した人はいないみたいですね。,要是以前有研究成功的人的話，\n我們一定會聽說過。因此現在應該還沒有人成功過才對。
・・・・。,…………。
やはり、そう簡単にはいかないのか…。ひとまず僕は受付さんにお礼をいい、受付さんがおすすめしてくれた本を読むことにした。,果然沒有這麼簡單嗎……。總之我先向櫃台小姐道謝，並且讀了她推薦的書。
ふむふむ・・・・。,…………。
本によると、サキュバスには「無能力サキュバス」「下級サキュバス」「中級サキュバス」「上級サキュバス」の４種類がいて、無能力サキュバスはカードが使えないらしい。,書中寫魅魔分為「無能力魅魔」「低階魅魔」「中級魅魔」「高級魅魔」四種類，而其中無能力魅魔無法使用卡片。
一般市民がサキュバスになると、この無能力サキュバスになることが多いようだ。逆にカードマスターがサキュバスになると、必ず下級以上のサキュバスになるとも書かれている。,如果一般人被變成魅魔成為無能力魅魔的狀況比較多。反之如果是卡片玩家被變成魅魔，一定是低階以上的魅魔。
「無能力」といっても、カードが使えないだけでエナジードレインや魅了の力は持っているらしい。だいたいDランク相当の強さがあり、特に男性はランクに関係なく注意すべしと書いてあった。,而且就算是「無能力」魅魔，雖然不能使用卡片也會具備能量吸收跟魅惑的能力。她們會有跟Ｄ階人類卡片玩家相當的實力，書中還特別註明如果是男性不管階級到哪裡都必須特別小心。
・・・僕の妹は、カードが使えない普通の女の子だった。もしサキュバス化されているのなら、無能力サキュバスになっている可能性が一番高いのだろうか。,……我的妹妹原本是無法使用卡片的普通女孩子。如果被魅魔化的話應該是成為無能力魅魔的可能性最高。
（これは・・・。）,（這張圖是……？）
本をめくると、そこにはサキュバスの絵姿が描いてあった。これが今のサキュバスたちの主、クイーンサキュバスらしい。,我翻頁，看見了畫著魅魔的圖。這是魅魔們的主宰者，叫做魅魔女王。
かつて王都が侵攻されたとき、Aランクマスターを結集してなんとか撃退したことがあったそうだ。そのときに戦ったマスターの一人がこの絵を残したのだという。,過去曾侵略王都，招集了Ａ階卡片玩家才終於擊退她們。當時與其戰鬥的一名卡片玩家留下了這張畫
説明によると、女王サキュバスは古代に封じられた強力な悪魔で、今の状態はまだ封印が残った状態らしい。封印されていてもなお、きわめて強力だったと書かれている。,根據文字說明，魅魔女王是在古代被封印的強力惡魔，現今也是處於力量仍遭到封印的狀態。而且雖然力量被封印，其力量還是非常強大。
(このサキュバスを倒すのが、みんなの目標なのか…。\n見るからに色気が漂っていて、強そうなサキュバスだ。),(大家的目標就是打倒這個魅魔啊……。\n光是看就能感覺其身上散發的色氣，肯定是很強的魅魔吧。)
(ふぅ・・・。),(總算看完了……。)
慣れない読書ですっかり疲れてしまった。僕はサキュバスについて知らないことばかりだし、たまに来て少しは勉強をすることにしよう。,因為不習慣讀書所以感覺很累。我對魅魔不了解的地方太多了，以後要花時間來這裡看書。
闘技場横図書館に行けるようになりました。,可以前往競技場旁的圖書館了。
試合が終わると、今日も情報を集めるため、僕は闘技場横の図書館に来ていた。,對戰結束後，我為了收集情報再次來到競技場旁的圖書館。
当てもなくサキュバス関連の本を探していると、一冊の薄い本が目に留まる。,隨意瀏覽魅魔的關聯書籍，發現了一本很薄的書。
（「サキュバス化の呪いの研究」・・・？）,（「魅魔化詛咒的研究」……？）
手に取ってみると、本というより論文を綴じたものだった。専門的な読み物らしく、この間のやさしい本と違い、頭が痛くなるような難解な言葉が並んでいる。,拿起來看以後才發現它是一本論文。這似乎是一本專門書籍，跟我之前看的大眾書籍不同，許多讓我看了會頭痛的難懂單字。
（ううっ、がんばって読むか・・・。）,（嗚嗚……不行，我得讀完它……！）
ふぅ・・・。疲れた・・・。,呼……。好累啊……。
なんとなく理解したところによると、この論文は人間をサキュバス化させる呪いの術式について研究したものらしい。,大概看懂了，這個論文應該是在研究將人類變成魅魔的詛咒術式。
サキュバスは人間を性的に絶頂させることで魂を無防備にさせ、そこに呪いの術式を刻むのだそうだ。,魅魔會讓人類達到性高潮，使其靈魂卸下防備，再將詛咒術式烙印上去。
術式には強力な防御機構が備わっており、サキュバス以外のものが術式をいじろうとすると魂ごと自壊するようになっている。,這個術式具備強大的防禦機能，如果有魅魔以外的事物試圖破解這個術式時，術式會使其靈魂自我毀滅。
魂が壊れたらそのまま命を失ってしまう。そのため通常の手段でサキュバス化を治すことは困難だと書かれていた。,靈魂的毀滅就是生命的消失。因此論文作者認為以一般的方法來治療魅魔化是非常困難的。
（妹を治すことはやっぱり難しいのかな・・・・。）,（果然想要治療妹妹是非常困難的嗎……。）
論文の最後には、「もしサキュバスと親和性の高い魔力があり、反発されずに呪いに触れることができれば、呪いの解除は可能なはずである」と書かれている。,論文最後提到，「如果是跟魅魔的親和性高的魔力，會有不引發詛咒術式的防禦機能解除詛咒的可能性」。
希望がまるでない、というわけではないようだ。地道に調べて方法を探っていけば、きっと・・・。,看來也不能說是完全毫無希望呢。只要持續調查下去，一定能……。
（疲れたし、今日はもう帰ろう。）,（已經很累了，今天先回去吧。）
僕は宿屋に戻り次第、すぐにベッドに飛び込んだ。頭を使う勉強は試合をするよりも疲れてしまう。,我回到旅店後，立刻倒向床鋪。讀書比對戰還累。
それにしても子どものときからちゃんと読み書きを教えてくれた師匠には感謝してもし足りない。,我對於從小就教我識字的師傅的感謝難以言盡。
幼い僕を育てるだけでも大変だっただろうに、カードの修行をつけて、勉強も教えてくれて・・・。,光是養育幼小的我就非常辛苦了，還對我做卡片玩家的修行以及教我識字……。
師匠との日々を思い出しているうちに、僕はいつの間にか寝てしまった。,回想著跟師傅的回憶，我不知不覺睡著了。
もしも妹が生きていて、人間に戻すことができたら一緒に図書館に行こう…。,如果妹妹還活著的話，希望能跟變回人類的她一起來圖書館。
頭が良くて小難しいことが大好きだったから、きっと目を輝かせてくれるだろう。そんなことをぼんやりと夢に見ながら、次の日の朝を迎えたのだった。,她很聰明所以喜歡深奧的事情，她眼睛一定會閃閃發亮吧。總感覺我做了這樣的夢後就到了隔天早上。
エイライラ先生の話を聞いた翌日。僕はさっそくギルド図書館に来ていた。,聽了愛萊拉老師的說明後隔天。我再次來到了圖書館。
（この間見つけた論文は確かこの辺のはずだ…。）,（我記得上次找到的論文是放在……。）
(あった！),(找到了！)
僕は「サキュバス化の呪いの研究」の論文を手に取る。相変わらず言葉づかいが難しくて、何を書いているのか細かい部分は分からない。,我拿出了「魅魔化詛咒的研究」。跟之前一樣我還是看不懂專有名詞，沒辦法理解細節。
ただ「もしサキュバスの呪いに反発されずに触れることができれば、呪いの解除は可能である」と書いてあることは間違いなかった。,但是「會有不引發詛咒術式的防禦機能解除詛咒的可能性」這一句話確實寫在上面。
論文の作者を見ると、「ネクロ」という名前が書かれている。この人に会うことができれば、もっと詳しく分かるだろうか。,我確認論文作者的名字，她叫做「涅克羅」。能找到這個人的話應該能問到更多詳情吧。
{主人公}さん、こんにちは♪\n今日はどのようなご用でしょうか？,你好，{主人公}。\n今天有什麼事情嗎？
え？ネクロという名前の研究者ですか…？\nうーん、どこかで聞いたことがあるような…。,欸？你問我知不知道一名叫做涅克羅的研究員……？\n嗯……好像在那裡聽過的感覺。
そういってしばらく頭をひねったのち、受付さんは何かを思い出したようにポンと手を叩いた。,櫃台小姐皺起眉頭思考一會，隨後像是想到什麼。
あ！そういえば昔コノハさんとお話したときに、\nその名前を聞いたことがあります。,啊！我以前有從可羅小姐那邊聽過這個名字。
確かコノハさんの昔からの友人だとか。\nコノハさんと並ぶ実力者で、\n当時は若手のエースとして大変期待されていたみたいですよ。,她是可羅小姐的老友。\n是跟可羅小姐相當的強者，\n在當時是備受期待的年輕菁英。
現在ネクロさんがどこにいるかは\n残念ながら把握していません…。\nでももしかしたら、コノハさんならご存じかもしれませんね。,雖然現在並不曉得涅克羅小姐在哪裡……。\n但是說不定可羅小姐會知道。
なるほど、ありがとうございます！,我了解了，謝謝妳！
受付さんの助言を受けて、僕は師匠に手紙を出すことにした。,接受櫃台小姐的建議，我給師傅寫了信。
せっかくの手紙だ。ネクロについて尋ねるだけではなく、僕はこの街での修行の様子や大会で連戦連勝していることも手紙に書いた。,因為難得寫一次信。我不只寫了正在尋找涅克羅的事情，連我在這座城市中的休息以及連戰連勝的事蹟也寫了上去。
師匠は手紙を見て僕の活躍を喜んでくれるだろうか。,師傅看見我的表現一定會很高興的吧。
妹を助ける手段が見つかる日も近いかもしれない。手紙の返事が来るまで、せっせと修行に励んで、少しでも上のランクを目指すことにしよう！,說不定終於要找到幫助妹妹的方法了。我在等待回信的時間也要繼續修行，以提升階級為目標！
僕はサキュバス化治療術を練習するため、ネクロさんのいる牢屋に来ていた。,為了練習治療魅魔化，我來到涅克羅的牢房。
うふふ、楽しい実験の時間ね。\nこうやって研究に没頭できるなら、牢屋も案外悪くないわ。\nってあら・・・？誰かしら？,嗯哼哼，真是快樂的時光。\n可以這樣專心研究，牢房意外的不錯呢。\n嗯……？是誰呀？
ネクロさんに言われて振り向くと、後ろから誰かがこちらにやってきている。あの緑色の髪と長い耳、エイライラ先生だ。,涅克羅轉頭，看見了呼叫她名字的人。那綠髮跟長耳朵，是愛萊拉老師。
やぁ、はじめまして。ネクロくん。\nわたしはエイライラ。\nモルゲンの学園でサキュバスについて研究しているものだよ。,妳好呀，涅克羅。\n我是愛萊拉。\n在摩爾根學園研究魅魔。
きみの研究の話を聞いて、\nわたしも研究者のはしくれとして、\n大変興味深く思ってね。見学に来たんだ。,因為我也姑且算是個研究員，\n得知你的研究以後非常有興趣所以才來的。
はわぁ、あっ、えっと・・・。\nその、ありがとうございます。あわわ・・・。,是、那個、我……。\n謝、謝謝妳！啊呀，有講錯嗎……。
ネクロさんはしどろもどろになっている。知らない人が苦手だとは聞いていたが、ここまでわたわたするとは。,涅克羅顯得很慌張。雖然知道她怕生，但是沒想到竟然到這種程度。
しかし二人とも学者同士、少しすれば気が合ったようで、熱心に魔術の理論について話し始めた。僕は半分も話についていけない。,但由於雙方都是學者，很快就說上話並且開始討論魔術的理論。我有一半以上聽不懂。
今の術式には改良の余地がありそうだね。\n例えば、魔力核を抜き出すときのこの術式だが、\n魔族の魔力核の特性を考えるとこうした方が・・・。,這個術式還有改良的可能性。\n例如說，拔出魔力核的時候的術式，\n加入考慮魔族的魔力核特質的話就會產生……。
なるほど。それならここはこうすると、\nより安定して魔力核の捕捉ができるかも・・・。\nほら弟子くん、実際にちょっとやってみて。,原來如此。那麼這邊就這樣做，\n應該就可以安定捕捉到魔力核了。\n欸徒弟小弟，快過來實測。
こうして夜遅くになるまで牢屋越しに術式の研究と、その練習が行われた。,就這樣這個隔著牢房門的研究到了凌晨，我開始進行練習。
はあぁっ・・・！,哈啊啊……！
あは、すごいすごい！\nいままでで一番いい感じよ。,太棒了！\n這是目前最好的一次。
これなら実際にサキュバス化された人間を治療できるかも。\nああ、早く実験がしたいわ。,這麼一來說不定可以治療實際被魅魔化的人。\n啊哈哈～真想趕快做實驗。
ふむ。まだ仮説段階だと思っていたけれど、\n思った以上の完成度だね。,嗯。雖然還目前還沒有實測，\n但完成度已經超出想像了。
この調子なら今度の侵攻作戦のときに、\nすぐ実用に移せるかもしれない。,按這個步調進行的話說不定可以使用在這次的反攻作戰上。
術者が限られるのがネックだが…。\nそれでも、サキュバス化しても治療できる可能性があるというのは、\nみなにとって大きな希望になるだろうね。,只是施術者被限定是個大問題……。\n但即使如此，光是有治療魅魔化的可能性\n對參與作戰的人來說都是莫大的希望。
わたしは今から転移陣を使って王都に行かないといけないんだ。\nネクロくん、その前にきみのような研究者と談義できたこと、\n実に有意義な時間だったよ。,我現在不得不去王城一趟，待會就會乘上轉移陣。\n涅克羅，能在那之前跟像妳這樣的研究員討教，\n對我來非常有價值。
さて、それではこの辺でおいとまさせてもらおう。\nふたりともありがとう。,那麼我得走了。\n感謝兩位的協助。
そういってエイライラ先生は去っていった。今日はもう遅い。僕もこの辺で終わりにして宿屋に戻るとしよう。,於是愛萊拉老師離開了。今天也很晚了。於是我也回旅店休息。
・・・。,…………。
ベッドの上に腰かけながら、僕は今日の成果を振り返っていた。,我坐在床上回想今天的成果。
サキュバス化の治療術に確かな手ごたえを感じる。これなら、妹を本当の意味で助けられるかもしれない。,我感覺到自己已經掌握了魅魔化的治療術。這麼一來就能在真正意義上的救出妹妹了。
人間に戻った妹と、また一緒に暮らせるかもしれないのだ。その未来を想像すると楽しみで、思わず口元がゆるんでしまう。,妹妹變回人類後，我們又能一起生活了吧。想像到那個未來，我的嘴角忍不住露出笑意。
僕はその日、遅くまで術の練習をしていた影響もあってか、ぐっすりと泥のように眠った。珍しく昔の夢を見ることもなかった。,我在那一天因為練習到很晚，睡得像死豬一樣。也稀有的沒有夢到以前的夢。
そうして晴れやかな気持ちで次の朝を迎えたのだった。,就這樣在愉快的心情中迎接隔日早晨。
闘技場での試合のあと、宿屋に戻ると、部屋の中に師匠が来ていた。,在競技場的對戰後我回到旅店，師傅已經來到我的房間。
お、弟子、おかえり。\n試合後で疲れているところ悪いけど、\n今から城の方に行くわよ。,啊，徒弟你回來啦。\n我知道你對戰後很累，\n但是現在我要你跟我去城堡一趟。
・・・？,…………？
リーフ師匠、って言って分かるわよね。\nギルドマスターのリーフ師匠がいまからモルゲンを発って、\n転移陣を使って王都に戻るのよ。,莉芙師傅，我這樣子說你懂了吧？\n身為公會會長的莉芙師傅現在\n要用轉移陣從摩爾根回王都。
わたしは弟子として見送りに行かないといけないわ。\nあなたも孫弟子なんだから、ついてきなさい。,我身為徒弟必須要為他送行。\n而你是她的徒孫，所以也要來。
なるほど、わかりました。,原來如此這樣我懂了。
僕は師匠と一緒に城へ向かった。,我跟師傅一起前往城堡。
モルゲンには大きな城が建っている。城にはこの地を治める貴族が住んでいるのだという。転移陣はこの城の中にあるそうだ。,摩爾根內有巨大的城堡。這城堡住著統治這塊土地的貴族。轉移陣就位於這座城堡當中。
ん、来たわね。,你們來了啊。
いい機会だから、{主人公}、\nあなたとコノハに転移陣を見せておこうと思ってね。\n二人で見送りにくるように言ったのよ。,剛好，{主人公}。\n趁你們來送行的時候\n我展示轉移陣給你跟可羅看。
転移陣は遠く離れた場所を一瞬でつなぐ特別な魔法陣。\n非常に便利なものだけれど、動かすのに莫大な魔力がいるの。\nあれを見なさい。,轉移陣是可以一瞬間連接遠處的特別魔法陣。\n它非常方便但是啟動它需要龐大的魔力。\n看這裡。
そう言ってリーフさんは部屋に置かれた１つの巨大なクリスタルを指さした。淡く青色に光るそれは、天井につくほど高く、腕を回しても抱えきれないほどの大きさだった。,莉芙師祖說著指了房間裡的一個巨大水晶。它散發淺淺的藍色光芒，高度幾乎達到天花板，粗達成年人幾乎不能環抱的程度。
あのクリスタルは王国に２つしかない特別な魔結晶よ。\n１つはここモルゲンに、もう１つは王都に置かれているわ。,這個水晶是王國內只有兩個的特殊魔結晶。\n其中一個就在這摩爾根當中，而另外一個放在王都當中。
街で人々が魔力を使うたび、\nあの中にほんのわずかずつ魔力が貯められていく。\nそうやって徴収した魔力がこの転移陣を動かすの。,每當城內的人使用魔力，\n它就會將其一部分儲存在內部。\n我們以此抽取來的魔力來啟動轉移陣。
それに加えてCランクマスター20人程度で術式を調整して、\nようやく人を４～５人送ることができるわ。\nね、なかなかに効率が悪いでしょう？,而且還需要二十名左右Ｃ階級卡片玩家來調整術式，\n才終於完成可以轉移四到五人的轉移陣。\n感覺效率非常差對吧？
だから、この転移陣を使えるのは、その手間に見合った人だけ。\nすなわち、王族とAランクマスターだけに許されているわ。,所以能只用轉移陣的人只有值得花上這麼大功夫的人而已。\n也就是說，只有王族跟Ａ階級卡片玩家才被允許使用。
それをわざわざ二人に見せた意味が分かる？,知道我為什麼要特地展示這個給你們兩人看了嗎？
あなたたちには見せる価値があると思った。\nつまり、Aランクに上がってこれると思ったってことよ。,因為我認為這有展示給你們兩人看的價值。\n也就是說，我想讓你們產生爬上Ａ階級的動機。
・・・！,…………！
コノハもあなたも、Bランクに甘んじず、切磋琢磨しなさい。\nあなたたちと一緒に転移陣を使える日を待っているわ。,不管是可羅還是你，都別甘於Ｂ階級，繼續磨練自己。\n希望能等到跟你們一起使用轉移陣的那一天。
それじゃあね。次は魔族領への侵攻作戦で会いましょう。,那麼再見了。下次我們在對魔族領地的反攻作戰會議上再見吧。
そういうとリーフさんは転移陣の中心へと進んだ。周囲に控えていた魔術師たちが、転移陣に魔力を注ぎ込んでいく。,莉芙師祖進入了轉移陣當中。周遭待命的魔術師也開始對轉移陣注入魔力。
それに呼応するようにクリスタルから魔力がほとばしり始める。はた目から見ても分かるほど、強大な魔力だ。バチバチと光がはじけるような音がし、そして。,就好像呼應他們的魔力一樣水晶內的魔力也湧現出來。那是即使是在旁觀看也能感覺到的強大魔力。接著湧現激烈的電擊聲，然後……。
一瞬の光とともに、リーフさんの姿は消えていた。この瞬間に、王都に移動してしまったのか・・・。なんとすごい魔法だろう。,隨著一道光束，莉芙師祖的身影消失了。在那一瞬間她就移動到王都去了呢……。真是好厲害的魔法啊。
ふぅ、ああいう場所はちょっと緊張するわ。\nそれにしても、いいもの見せてもらったわね。\n転移陣なんてめったに見れるものじゃないわよ。,在那種地方總感覺很緊張呢。\n不過也因此看見好東西呢。\n轉移陣這種東西平常看不太到的呢。
そうなんですか？,是這樣子嗎？
そうよ。考えてみなさい。\n転移陣って要するに、\nこちらの城へ直行できる抜け道みたいなものでしょう？,是喔。仔細想一想吧。\n所謂的轉移陣啊，\n其實就是一種從這裡直接進入城內的密道不是嗎？
万が一悪用されれば、城がすぐに落とされてしまうかもしれない。\nだから許可がないと「転移の間」に入ることもできないし、,萬一被被利用的話，說一定一瞬間就能攻下王城呢。\n所以才會規定沒有許可就不能進入「轉移之房」，
利用するときも、転移元と転移先の両側で、\nお互いにどこにつなぐかを一致させたうえで、\n大量の魔力を込め続けてやっと動かせるようになっているの。,使用時轉移出發點跟轉移終點兩邊必須要驗證\n連接起來的魔力是否一致，還要持續灌注大量魔力才能啟動。
なるほど。転移陣というと便利な道具だとしか思わなかったが、同時に悪用されたら非常に危険なものでもあるのか。,原來如此。我只覺得轉移陣是非常方便的道具，卻沒想到它同時是非常危險的東西。
わたしも動いているのをこの目で見たのは初めてね。\nリーフ師匠ったら「一緒に転移陣を使いましょう」ですって。\nあんなこと言われちゃったら・・・。,我也是第一次親眼看見其啟動。\n莉芙師傅跟我說「讓我們一起使用轉移陣吧」耶。\n被她這樣子說的話……。
わたしもうかうかしてられないわ！\nAランク昇格に向けて頑張らないと！,我感覺自己不能再悠哉下去了！\n我要以升為Ａ階為目標加油！
もちろんあなたもよ、弟子。\nネクロのところでサキュバス化を治す術を練習しつつ、\n試合、どんどん頑張りなさい！,當然你也要，我可愛的徒弟。\n不僅要在涅克羅那邊練習治療魅魔化的術式，\n對戰也要繼續贏下去！
いままで通りであれば、連勝を維持していれば、Aランク昇格もそう遠くはないはずだ。師匠と僕と、二人でＡランクを目指すなら、もしかしたら、闘技場で師匠と戦う、なんてこともあるのだろうか？,就像目前這樣繼續維持連勝的話，升到Ａ級應該很快才對。我跟師傅都已Ａ級為目標的話，會不會哪天在競技場必須要跟師父對戰？
本気を出した師匠と戦って勝ったことはまだ僕にはない。以前、村でサキュバスについて教えてくれたときも強かったが、あれでも本気を出しているわけではないようだった。,我還沒辦法戰勝拿出全力的師傅。之前在村子裡讓她教育魅魔知識的時候，那時候的她也沒有拿出全力吧。
いつ師匠と当たったとしても、負けないようにしよう。僕は改めて気を引き締めたのだった。,我必須變強到對上師傅的時候不會輸給她。我在心裡下了這樣的決心。
試合が終わり宿に戻ると、メモが置いてあった。師匠の字だ。,對戰結束後回到旅館，發現有給我的字條。那是師傅的字。
「今日の試合、お疲れ。そしておめでとう。\nいよいよあなたももうすぐAランクね。」,「今天的對戰打得很好。然後恭喜你。\n你終於要升為Ａ階了呢。」
「あなたがAランクに上がる前に、\n一度わたしと本気で手合わせしないかしら。\n師匠としてあなたに最後の稽古をつけてあげる」,「在你升上Ａ階以前，\n我想要認真跟你對戰一次。\n我想以師傅的身分替你做最後的訓練。」
「Aランクに上がったら、\nもう弟子って立場でもないしね。\nあなたが師匠を超えられたかどうか、実力を見てあげるわ」,「畢竟你升上Ａ階的話，\n立場上就不能再把你看做徒弟了呢。\n讓我見識你青出於藍的實力吧。」
「場所は、ギルドのそばに広い部屋を借りているから、\nそこでやりましょう。」,「至於地點，我借了公會內的一個大房間，\n我們在那對戰吧。」
手紙には簡単な地図と待ち合わせの時間が書かれていた。,字條上畫有簡單的地圖跟會合時間。
師匠と同じBランクになって、僕も順調に勝利を重ねてきた。この街に来たばかりの時と比べて、魔力が遥かに強くなったのを感じる。今なら、師匠に勝つこともできるのだろうか。,跟師父同屬於Ｂ階，順利得連勝。跟剛來到這座城市時相比，我感覺到自己的魔力比當時強上太多。現在的我說不定能戰勝師傅。
師匠には子供のとき命を助けてもらい、そこからこの年になるまで面倒を見てもらった恩がある。そのうえ毎日稽古もつけてくれて、今の自分があるのは師匠がいたからだ。,我在小時候讓師傅救了我這條命，還讓她養育我成長到這麼大。以及每日訓練我，之所以有現在的自己全都是多虧有師傅在。
成長し強くなった姿を見せることが、弟子として、１つの恩返しになるかもしれない。僕は師匠との手合わせに向けて、恥ずかしくない勝負をしよう、と決意を固めたのだった。,讓她見識我變強後的實力，這是我身為徒弟理所當然的報恩！我要以全力面對師傅，進行一場不會丟她的臉的對戰！我下了這樣的決心。
クエスト「師匠との手合わせ」が追加されました,追加任務「跟師傅對戰」。
やあ、こんにちは。\n話・・・？\nええと、長くないならいいよ。,你好。\n……想說話嗎？\n呃……如果不要太長的話就行。
