default
エルル,艾露露
女王の完全復活はなんとしても防がないといけない。そうなると僕たちに残された道は・・・。,女王の完全復活はなんとしても防がないといけない。そうなると僕たちに残された道は・・・。
こちらから攻め込みましょう,こちらから攻め込みましょう
・・・・・。そうですね。\nそれ以外、わたしたちにできることはないでしょう。,・・・・・。そうですね。\nそれ以外、わたしたちにできることはないでしょう。
わたしは大賛成よ！どんどん攻めましょう！\n隠れてるのは性に合わないもの。,わたしは大賛成よ！どんどん攻めましょう！\n隠れてるのは性に合わないもの。
結界石、だっけ？それを壊せば、この結界もなくなるんでしょ？\n結界石を破壊して、城に乗り込んで、転移陣も取り戻しましょう！,結界石、だっけ？それを壊せば、この結界もなくなるんでしょ？\n結界石を破壊して、城に乗り込んで、転移陣も取り戻しましょう！
簡単に言うけれど、この戦力じゃ無理よ。\n相手は何百人もいる。こっちはカードマスターが７人だけ。\nいくらなんでも、それは・・・。,簡単に言うけれど、この戦力じゃ無理よ。\n相手は何百人もいる。こっちはカードマスターが７人だけ。\nいくらなんでも、それは・・・。
・・・いえ、可能かもしれません。,・・・いえ、可能かもしれません。
この地下通路は、王族などが非常時に逃げ込むためのもの。\nそのため重要拠点同士をつないでいます。,この地下通路は、王族などが非常時に逃げ込むためのもの。\nそのため重要拠点同士をつないでいます。
わたしが記憶している限り、結界石の近くにも出入口があります。\nそこから出て奇襲をしかけていけば、\n外の大勢のサキュバスとの戦闘は避けられるはずです。,わたしが記憶している限り、結界石の近くにも出入口があります。\nそこから出て奇襲をしかけていけば、\n外の大勢のサキュバスとの戦闘は避けられるはずです。
ただし結界石の付近には、\n敵の強力なサキュバスが見張りをしているでしょう。\nおそらく中級サキュバスもいると思われます。,ただし結界石の付近には、\n敵の強力なサキュバスが見張りをしているでしょう。\nおそらく中級サキュバスもいると思われます。
そのサキュバスには勝たなければなりません。,そのサキュバスには勝たなければなりません。
このメンバーで中級サキュバスと渡り合えるのは…。,このメンバーで中級サキュバスと渡り合えるのは…。
みんなの目が僕の方を向いた。不安そうに見つめている人もいれば、期待のまなざしで見ている人もいる。,みんなの目が僕の方を向いた。不安そうに見つめている人もいれば、期待のまなざしで見ている人もいる。
任せてください,任せてください
中級だろうと100人ぐらい余裕です,中級だろうと100人ぐらい余裕です
（ほんと頼もしくなっちゃって…。）,（ほんと頼もしくなっちゃって…。）
そうね、あなたならきっと勝てる。,そうね、あなたならきっと勝てる。
みんなもそう思うでしょ？\nここにいるのはあの無敗のルーキーよ。\n強いサキュバスだって{主人公}には敵わないわ！,みんなもそう思うでしょ？\nここにいるのはあの無敗のルーキーよ。\n強いサキュバスだって{主人公}には敵わないわ！
ふふ。そうね、あなたなら大丈夫よね。,ふふ。そうね、あなたなら大丈夫よね。
みんなもそう思うでしょ？ここにいるのはあの無敗のルーキーよ。\n強いサキュバスだって{主人公}には敵わないわ！,みんなもそう思うでしょ？ここにいるのはあの無敗のルーキーよ。\n強いサキュバスだって{主人公}には敵わないわ！
はぁ…。他に手はなさそうだしね。\n分かった。わたしも賛成する。,はぁ…。他に手はなさそうだしね。\n分かった。わたしも賛成する。
わたしも賛成いたしますわ。\n男の方に負担を強いるのは教義に反しますが、\n今は仕方ありません。,わたしも賛成いたしますわ。\n男の方に負担を強いるのは教義に反しますが、\n今は仕方ありません。
みな口々に賛成の意を告げていく。これで目標は決まった。,みな口々に賛成の意を告げていく。これで目標は決まった。
結界の解除の仕方については任せてください。\nギルドマスターから、詳しいやり方を聞いています。,結界の解除の仕方については任せてください。\nギルドマスターから、詳しいやり方を聞いています。
この地下通路についてもそうですが、\nギルドマスターが留守の時に、緊急事態に対処するのは\nわたしたちギルド職員の仕事ですから！,この地下通路についてもそうですが、\nギルドマスターが留守の時に、緊急事態に対処するのは\nわたしたちギルド職員の仕事ですから！
受付さんは結界の解除方法について説明を始めた。,受付さんは結界の解除方法について説明を始めた。
結界は４つの結界石によって成立しているらしい。その結界石をすべて破壊すれば、結界は解除できるそうだ。,結界は４つの結界石によって成立しているらしい。その結界石をすべて破壊すれば、結界は解除できるそうだ。
４つの結界石はそれぞれ別々の場所に置かれている、その場所は「&lt;color=#ee7800&gt;監獄&lt;/color&gt;」、「&lt;color=#ee7800&gt;闘技場&lt;/color&gt;」、「&lt;color=#ee7800&gt;学園学長室&lt;/color&gt;」、「&lt;color=#ee7800&gt;ギルドマスターの部屋&lt;/color&gt;」の4か所だそうだ。,４つの結界石はそれぞれ別々の場所に置かれている、その場所は「&lt;color=#ee7800&gt;監獄&lt;/color&gt;」、「&lt;color=#ee7800&gt;闘技場&lt;/color&gt;」、「&lt;color=#ee7800&gt;学園学長室&lt;/color&gt;」、「&lt;color=#ee7800&gt;ギルドマスターの部屋&lt;/color&gt;」の4か所だそうだ。
女王の復活を阻んだら、\n転移陣を王都につなぎ、増援をお願いしましょう。\nそれなら多数のサキュバスが相手でも勝機があるはずです！,女王の復活を阻んだら、\n転移陣を王都につなぎ、増援をお願いしましょう。\nそれなら多数のサキュバスが相手でも勝機があるはずです！
よし、作戦は定まった。結界を解除して街をサキュバスたちの手から取り戻そう！,よし、作戦は定まった。結界を解除して街をサキュバスたちの手から取り戻そう！
「行き先を選ぶ」から目的地を選択できます。,「行き先を選ぶ」から目的地を選択できます。
何だろう。地下道に入ってエルルさんと戦った後ぐらいからだろうか、自分の魔力に違和感を感じる。,何だろう。地下道に入ってエルルさんと戦った後ぐらいからだろうか、自分の魔力に違和感を感じる。
まるで、自分と違う魔力がどこかから流れ込んできているような…。,まるで、自分と違う魔力がどこかから流れ込んできているような…。
魔力が流れ込んでくるような違和感がある？\nそれってもしかして、血縁共鳴じゃない？,魔力が流れ込んでくるような違和感がある？\nそれってもしかして、血縁共鳴じゃない？
血縁共鳴は魔力がつながった血縁者が近くにいればいるほど、\n強く互いの魔力をやり取りするって聞いたことがあるわ。\nつまり・・・。,血縁共鳴は魔力がつながった血縁者が近くにいればいるほど、\n強く互いの魔力をやり取りするって聞いたことがあるわ。\nつまり・・・。
あなたの妹が、\nもしかしたら転移陣を通して近くに来ているのかも。,あなたの妹が、\nもしかしたら転移陣を通して近くに来ているのかも。
わたしが頭の中で聞いた声は、\n小さな女の子の声だった。\nあなたの妹がサキュバス化したのもそのぐらいの年齢よね？,わたしが頭の中で聞いた声は、\n小さな女の子の声だった。\nあなたの妹がサキュバス化したのもそのぐらいの年齢よね？
ないとは思うけれど、\nもしかしたらそのサキュバスが妹だったり・・・？\n名前は「ユイ」って名乗ってたけど・・・。,ないとは思うけれど、\nもしかしたらそのサキュバスが妹だったり・・・？\n名前は「ユイ」って名乗ってたけど・・・。
・・・・！!,・・・・！!
その名前を聞いたとき、僕の中の違和感は確信に変わった。,その名前を聞いたとき、僕の中の違和感は確信に変わった。
そうか。妹が、近くにいるのか。・・・それも敵の中心人物として。,そうか。妹が、近くにいるのか。・・・それも敵の中心人物として。
ユイはとても優しい子だった。僕がサキュバスに吸い殺されないように、身を挺して守るぐらい、勇気があって優しい子だった。,ユイはとても優しい子だった。僕がサキュバスに吸い殺されないように、身を挺して守るぐらい、勇気があって優しい子だった。
マスターたちをサキュバス化させ、街をこんな風にしてしまうなんて…。本来の妹なら絶対にしなかっただろう。,マスターたちをサキュバス化させ、街をこんな風にしてしまうなんて…。本来の妹なら絶対にしなかっただろう。
ユイは、サキュバスになって、望まないことを無理やりやってしまっている。サキュバスの魔力でやらされてしまっている。,ユイは、サキュバスになって、望まないことを無理やりやってしまっている。サキュバスの魔力でやらされてしまっている。
僕は兄として、妹を助けださないといけない。,僕は兄として、妹を助けださないといけない。
師匠も妹も、僕にとって大事な人だ。どれだけ強敵が立ちふさがろうとも、絶対に助けて、人間に戻してみせる。,師匠も妹も、僕にとって大事な人だ。どれだけ強敵が立ちふさがろうとも、絶対に助けて、人間に戻してみせる。
この街の人々のためにも、そして何より自分自身のためにも、この戦い絶対に負けられない！,この街の人々のためにも、そして何より自分自身のためにも、この戦い絶対に負けられない！
はぁ、こんなことになるなんてね。\n大会で楽にポイント稼ごう、って思ってただけなのに、\nとんだ事件に巻き込まれちゃった。,はぁ、こんなことになるなんてね。\n大会で楽にポイント稼ごう、って思ってただけなのに、\nとんだ事件に巻き込まれちゃった。
なんとか逃げられればいいんだけど…。\nこの道街の外までつながっているのかな…。,なんとか逃げられればいいんだけど…。\nこの道街の外までつながっているのかな…。
うう～。正直命がけの戦いとか怖いんだけど。\nそういうの嫌だから、街で弱い男からポイントを巻き上げてたのに…。,うう～。正直命がけの戦いとか怖いんだけど。\nそういうの嫌だから、街で弱い男からポイントを巻き上げてたのに…。
まあ、モルゲンが陥落したら、どうせほかの町も危ないし…。\nどっちにしても、よね。\nサキュバスにはなりたくないし、頑張るしかないかー。,まあ、モルゲンが陥落したら、どうせほかの町も危ないし…。\nどっちにしても、よね。\nサキュバスにはなりたくないし、頑張るしかないかー。
（にしても、頼りの綱が、わたしに散々キス手コキされてたお兄さんかぁ…。\n大丈夫なのかなぁ。）,（にしても、頼りの綱が、わたしに散々キス手コキされてたお兄さんかぁ…。\n大丈夫なのかなぁ。）
（にしても、頼りの綱が、わたしにキス手コキされてたお兄さんかぁ…。\n大丈夫なのかなぁ。）,（にしても、頼りの綱が、わたしにキス手コキされてたお兄さんかぁ…。\n大丈夫なのかなぁ。）
わたしは、あのときサキュバス相手に恐怖を抱いてしまいました。\nしかし、もはや迷いはしません。,わたしは、あのときサキュバス相手に恐怖を抱いてしまいました。\nしかし、もはや迷いはしません。
おお、女神よ。我々に祝福を与えてください。\nこの困難を乗り越えるだけの力を、どうか…。,おお、女神よ。我々に祝福を与えてください。\nこの困難を乗り越えるだけの力を、どうか…。
ん、明かりはこんな感じで大丈夫？\n火の魔法なら任せてよ。みんなが無駄に\n魔力を使わないでいいように、わたしが照明を担当するわ。,ん、明かりはこんな感じで大丈夫？\n火の魔法なら任せてよ。みんなが無駄に\n魔力を使わないでいいように、わたしが照明を担当するわ。
あなたと会うのは初めてよね。\nわたしはフレア。炎魔法使いのE級マスターよ。,あなたと会うのは初めてよね。\nわたしはフレア。炎魔法使いのE級マスターよ。
無敗のルーキーの噂はかねがね聞いているわ。\nよろしくね。,無敗のルーキーの噂はかねがね聞いているわ。\nよろしくね。
火の魔法は魔獣相手にはかなり効果があるんだけど、\nサキュバスの体って全然燃えないらしいのよね。,火の魔法は魔獣相手にはかなり効果があるんだけど、\nサキュバスの体って全然燃えないらしいのよね。
カードマスターと同じで体に魔力をまとっているから、\nやけどとかしないみたいなの。\n本にそう書いてあったわ。,カードマスターと同じで体に魔力をまとっているから、\nやけどとかしないみたいなの。\n本にそう書いてあったわ。
でも、わたしの攻撃魔法は範囲が広いから、\n敵が密集してるなら、少しは効果があるかも。\n集団戦でなら役に立ってみせるわ。,でも、わたしの攻撃魔法は範囲が広いから、\n敵が密集してるなら、少しは効果があるかも。\n集団戦でなら役に立ってみせるわ。
感じる…。姉ちゃんの魔力がおかしくなってる。\n俺、姉ちゃんと魔力のつながりがあるから、分かるんだ…。,感じる…。姉ちゃんの魔力がおかしくなってる。\n俺、姉ちゃんと魔力のつながりがあるから、分かるんだ…。
姉ちゃんはサキュバスのカードなんて使ってなかったのに…。\nもしかして、外でサキュバスに襲われて、\nサキュバスになっちまったのかな。,姉ちゃんはサキュバスのカードなんて使ってなかったのに…。\nもしかして、外でサキュバスに襲われて、\nサキュバスになっちまったのかな。
姉ちゃんあんなに強いのに…。それでも…。負けちゃうなんて…。,姉ちゃんあんなに強いのに…。それでも…。負けちゃうなんて…。
ううっ……。\nうぐっ、ぐすっ…。泣いてないよ。\nだいじょうぶ、兄ちゃんたちの邪魔にならないようにボクも頑張るから…,ううっ……。\nうぐっ、ぐすっ…。泣いてないよ。\nだいじょうぶ、兄ちゃんたちの邪魔にならないようにボクも頑張るから…
うう…。泣いてばかりじゃダメなの、分かってるよ。\n大丈夫だから…。ぐす…。,うう…。泣いてばかりじゃダメなの、分かってるよ。\n大丈夫だから…。ぐす…。
僕、強くなりたかったのは、\nいつも姉ちゃんに守られてばかりじゃ嫌だからだったんだ。\n姉ちゃんにかっこいいところ見せたくて、頑張ってた。,僕、強くなりたかったのは、\nいつも姉ちゃんに守られてばかりじゃ嫌だからだったんだ。\n姉ちゃんにかっこいいところ見せたくて、頑張ってた。
兄ちゃんがいるなら、サキュバスになっても治せるんだよな。\n僕、できる限りのことはなんでもするから、\nだから姉ちゃんを助けてほしい。おねがい…。,兄ちゃんがいるなら、サキュバスになっても治せるんだよな。\n僕、できる限りのことはなんでもするから、\nだから姉ちゃんを助けてほしい。おねがい…。
村のみんな元気にしてるかな…。\nあっ、無敗のルーキーさん。\nさきほどはサキュバスから助けてくださりありがとうございました。,村のみんな元気にしてるかな…。\nあっ、無敗のルーキーさん。\nさきほどはサキュバスから助けてくださりありがとうございました。
わたし、サキュバスを直接見たのは初めてです。\n女であるわたしでも、彼女の目に射すくめられたら、\nそれだけで体がしびれたみたいになってしまって。,わたし、サキュバスを直接見たのは初めてです。\n女であるわたしでも、彼女の目に射すくめられたら、\nそれだけで体がしびれたみたいになってしまって。
やはりサキュバスは危険な魔物なのですね。\n自分がサキュバスに変えられてもし村のみんなを\n襲うことになったらと思うと、考えるだけでぞっとしてしまいます。,やはりサキュバスは危険な魔物なのですね。\n自分がサキュバスに変えられてもし村のみんなを\n襲うことになったらと思うと、考えるだけでぞっとしてしまいます。
村のみんな元気にしてるかな…。\n何か月も街で過ごしてたから、結構ホームシックで。\nそんなときサキュバスが出てきて、余計に寂しいです。,村のみんな元気にしてるかな…。\n何か月も街で過ごしてたから、結構ホームシックで。\nそんなときサキュバスが出てきて、余計に寂しいです。
わたしたち、このままどうなってしまうんでしょう。\nこの暗い地下で、ずっと隠れて過ごすことになるんでしょうか……。,わたしたち、このままどうなってしまうんでしょう。\nこの暗い地下で、ずっと隠れて過ごすことになるんでしょうか……。
すぅ・・・・。すぅ・・・。,すぅ・・・・。すぅ・・・。
・・・。,・・・。
エルルさんはまだ気を失っているようだ。,エルルさんはまだ気を失っているようだ。
ふぅ…。サキュバスになったってのは何だか変な気分ね。,ふぅ…。サキュバスになったってのは何だか変な気分ね。
どう感じたかを説明するのは難しいけれど、なんていうか、\n「始めからサキュバスだったのを思い出した」みたいな感覚だったわ。,どう感じたかを説明するのは難しいけれど、なんていうか、\n「始めからサキュバスだったのを思い出した」みたいな感覚だったわ。
「わたしは生まれたときからサキュバスで\n人間を吸い殺すのは当然で、\n上級サキュバスの命令に従うのは気持ちよくて…。」,「わたしは生まれたときからサキュバスで\n人間を吸い殺すのは当然で、\n上級サキュバスの命令に従うのは気持ちよくて…。」
そういう感覚が、自分の深いところに当然のように居座るの。\n人間のときの記憶も残っているのに、\n生き物としてまるごと作り変えられたような感じ。,そういう感覚が、自分の深いところに当然のように居座るの。\n人間のときの記憶も残っているのに、\n生き物としてまるごと作り変えられたような感じ。
それに頭に響いていた声、\nあの声に従うととても気持ちよくて、\nもう何も考えられなかった…。,それに頭に響いていた声、\nあの声に従うととても気持ちよくて、\nもう何も考えられなかった…。
今思い出してもぞっとしちゃうわ。\n助けてくれてありがとね。{主人公}。,今思い出してもぞっとしちゃうわ。\n助けてくれてありがとね。{主人公}。
それにしても、サキュバスのカード、か…。,それにしても、サキュバスのカード、か…。
確かによく考えてみれば、\nあなたがサキュバスに襲われたときも\n行商人と一緒だったわね。,確かによく考えてみれば、\nあなたがサキュバスに襲われたときも\n行商人と一緒だったわね。
あのキノコ使いのサキュバスがいた場所も、\nカードパックが出土する遺跡の近く。要するに\nサキュバスのカードを流通に混ぜるのが目的だったのでしょうね。,あのキノコ使いのサキュバスがいた場所も、\nカードパックが出土する遺跡の近く。要するに\nサキュバスのカードを流通に混ぜるのが目的だったのでしょうね。
大会でみんな強いカードを求めていたから、\nわたし含めまんまと乗せられちゃったわ。\n正直、悔しい。,大会でみんな強いカードを求めていたから、\nわたし含めまんまと乗せられちゃったわ。\n正直、悔しい。
怪盗サキュバスのカードは、さっきデッキから出して、\n布でぐるぐる巻きにしてそこの岩のところに置いたのだけど、\nこれでもう大丈夫なのかしら。,怪盗サキュバスのカードは、さっきデッキから出して、\n布でぐるぐる巻きにしてそこの岩のところに置いたのだけど、\nこれでもう大丈夫なのかしら。
またサキュバスが出てこないか心配だわ。\nサキュバスをカードにして送りこんでくるなんて、\nほんと得体の知れない能力よね。,またサキュバスが出てこないか心配だわ。\nサキュバスをカードにして送りこんでくるなんて、\nほんと得体の知れない能力よね。
どの場所も、本来であれば多くのマスターが守っている場所です。\nしかし今回は逆にマスターたちがサキュバスにさせられてしまったため、\nこれが裏目に出てしまいました。,どの場所も、本来であれば多くのマスターが守っている場所です。\nしかし今回は逆にマスターたちがサキュバスにさせられてしまったため、\nこれが裏目に出てしまいました。
エルルさんを助け出し気絶した僕は、また夢を見ていた。,エルルさんを助け出し気絶した僕は、また夢を見ていた。
とめどなく昨日の光景が浮かんでいく。,とめどなく昨日の光景が浮かんでいく。
街を埋め尽くす大勢のサキュバス。彼女たちに襲われる人間。,街を埋め尽くす大勢のサキュバス。彼女たちに襲われる人間。
その様子はまるで、僕が子どもの時に見た、村が襲われたときの様子のようで。,その様子はまるで、僕が子どもの時に見た、村が襲われたときの様子のようで。
エルルさんと無我夢中で戦っていたときには感じなかった恐怖が、いまさら、ふつふつと湧き上がってくる。,エルルさんと無我夢中で戦っていたときには感じなかった恐怖が、いまさら、ふつふつと湧き上がってくる。
・・・・。,・・・・。
そして夢はいつもの場面につながる。僕らがサキュバスに襲われ、妹が連れ去られていく、何度も何度も夢で見たあの瞬間。,そして夢はいつもの場面につながる。僕らがサキュバスに襲われ、妹が連れ去られていく、何度も何度も夢で見たあの瞬間。
クローゼットで震える僕は、このあと師匠に助け出してもらう。でも、その師匠はもう・・・。,クローゼットで震える僕は、このあと師匠に助け出してもらう。でも、その師匠はもう・・・。
僕を助け出してくれる人はもう誰もいない。,僕を助け出してくれる人はもう誰もいない。
その事実に、体の震えが止まらなくなる。,その事実に、体の震えが止まらなくなる。
(・・・。こわい、だれか、たすけて・・・),(・・・。こわい、だれか、たすけて・・・)
夢の中の自分はまだ幼くて、暗いクローゼットの中で震えていることしかできない。,夢の中の自分はまだ幼くて、暗いクローゼットの中で震えていることしかできない。
（ん・・・？）,（ん・・・？）
そのときふと、自分の指にはめられたリングが目に映った。,そのときふと、自分の指にはめられたリングが目に映った。
ギルドリングだ。オレンジ色の宝石がきらりと光っている。,ギルドリングだ。オレンジ色の宝石がきらりと光っている。
腰に手を伸ばすと、子供の時にはまだ持っていないはずのデッキケースがそこにはあった。中には僕が一緒に戦ってきた、大切なカードたちが入っていた。,腰に手を伸ばすと、子供の時にはまだ持っていないはずのデッキケースがそこにはあった。中には僕が一緒に戦ってきた、大切なカードたちが入っていた。
・・・・子どものときは、召喚方法も分からなかったブラックナイトのカード。そのカードも、今ではすっかり手になじんでいる。,・・・・子どものときは、召喚方法も分からなかったブラックナイトのカード。そのカードも、今ではすっかり手になじんでいる。
このカードたちと共に何度も戦った。色々な強いマスターたちにも勝ち、下級のサキュバスとも戦ってきた。そして、いま自分は師匠と同じ、Bランクにいる。,このカードたちと共に何度も戦った。色々な強いマスターたちにも勝ち、下級のサキュバスとも戦ってきた。そして、いま自分は師匠と同じ、Bランクにいる。
僕は深く息を吸うと、心の中で覚悟を決めた。,僕は深く息を吸うと、心の中で覚悟を決めた。
そう、今度は僕が助け出す番だ。子供のときに僕を助けてくれた、師匠も、妹も。必ず。,そう、今度は僕が助け出す番だ。子供のときに僕を助けてくれた、師匠も、妹も。必ず。
夢の中で僕は、恐怖心を押し殺しクローゼットの扉に手を伸ばした。重い扉をぐっと押すと、扉は大きな音できしみながらゆっくりと開いていく。,夢の中で僕は、恐怖心を押し殺しクローゼットの扉に手を伸ばした。重い扉をぐっと押すと、扉は大きな音できしみながらゆっくりと開いていく。
目を覚ますと、そこは僕たちが逃げ込んできた地下通路だった。ほの暗いごつごつとした空間がどこまでも続いている。,目を覚ますと、そこは僕たちが逃げ込んできた地下通路だった。ほの暗いごつごつとした空間がどこまでも続いている。
{主人公}さん！よかった！目を覚ましましたね！\nううっ、一晩中気絶したままだったので心配でした…。,{主人公}さん！よかった！目を覚ましましたね！\nううっ、一晩中気絶したままだったので心配でした…。
そういってすぐ近くにいた受付さんがこちらにやってきた。,そういってすぐ近くにいた受付さんがこちらにやってきた。
{主人公}さんたちが気絶したあと、\nカードマスターのみなさんで周辺状況の調査など色々と行いました。,{主人公}さんたちが気絶したあと、\nカードマスターのみなさんで周辺状況の調査など色々と行いました。
情報共有をし、これからどうするか\nみなで作戦を練る必要があると思います。,情報共有をし、これからどうするか\nみなで作戦を練る必要があると思います。
ですが{主人公}さんは今目が覚めたばかりですし・・・。\n少し落ち着いてからの方がいいでしょう。\n準備ができたら、わたしに話しかけてください。,ですが{主人公}さんは今目が覚めたばかりですし・・・。\n少し落ち着いてからの方がいいでしょう。\n準備ができたら、わたしに話しかけてください。
分かりました,分かりました
僕は受付さんの言葉通り、頭がはっきりとするまで少しぶらつくことにした。デッキを見直したり、他のマスターと少し話をしたら、再度受付さんに話かけることにしよう。,僕は受付さんの言葉通り、頭がはっきりとするまで少しぶらつくことにした。デッキを見直したり、他のマスターと少し話をしたら、再度受付さんに話かけることにしよう。
「サキュバスデュエル前編」の内容はここまでです,「魅魔決鬥王前篇」的內容到此為止
