default
闘技場ファンの男,Male Colosseum Fan
キャミー選手の胸は\nほんとに脳がとけてしまうんじゃないかってぐらい気持ちよくて、\nそのうえ快楽攻撃ばっかり執拗にしてくるから…❤ううっ…❤,Cammy's breasts felt so good; it was like I could actually feel my mind melting away... And when she kept relentlessly hitting me with those pleasure attacks...❤ Ughh...❤
僕、今日はＤランクのマスターと試合があるんだ。\nちゃんと集中しないとね。ううっ・・・・❤,I have a match against a D-rank master today. I need to focus properly. Ugh...❤
よお、期待のルーキー！\nここまで４連勝なんだろ？アンタすげーな！,Hey; it's the promising rookie! Four consecutive wins so far; right? You're amazing!
油断すれば下位ランカーにだって\n足元をすくわれることもあるのがカードバトルの世界。\nそれを負け知らずで４回も勝つなんてたいしたもんだぜ。,If they let your guard down; even lower-ranked players can trip you up in the world of card battles. Winning four times in a row is quite the achievement.
あの蛇使いのパトラにも勝つなんてよ。\n次は昇格戦かぁ、見るのが楽しみだなぁ！\n最近は男は降格してばっかりだったからアンタには期待してるぜ！,You even beat that snake charmer; Patra! Next is the promotion match; right? I'm looking forward to watching it! Recently; the guys have been getting demoted left and right; so I'm counting on you!
だからほらよ、持ってきな！\nこの金で新しいパックでも買って、\n上のランクのやつらをぎゃふんと言わせてやりな！,So here; take this! Use that money to buy a new pack and make those higher-ranked girls eat their words!
アンタのすげー試合を見せてもらえるなら、\nこれぐらい安いもんだぜ。\n楽しみにしてるぜ、ルーキー！,It's a small price to pay to see your amazing matches. I'm looking forward to it; rookie!
よお、期待のルーキー！\n新しいカードは仕入れてきたか？,Yo; promising rookie! Did you get any new cards?
なあに、アンタのすげー試合を見せてもらえるなら、\nこれぐらい安いもんだ。\n楽しみにしてるぜ、ルーキー！,Hey; it's a small price to pay to get to see your amazing matches. I'm looking forward to it; rookie!
ねえねえ、もしかして、無敗のルーキーじゃないか？\nうわぁ、直接会えるなんて！,Hey; hey! Aren't you the undefeated rookie? Wow; I can't believe I'm meeting you in person!
ルーキーってこの街に来たときはFランクだったのに、\n連戦連勝であっという間にCランクに上がったんだろ？\nすげー！かっこいい！俺も無敗のルーキーみたいになりたい！,You were just an F-rank when you first came to town; but you rose to C-rank so quickly just winning back-to-back; right? That's amazing! So cool! I want to be an undefeated rookie just like you!
なあ、握手してくれよ。いいの？ほんとに？\nやった！ありがとう！\n俺、この手しばらく洗わないよ！,Hey; can I shake your hand? Is that okay? Really!? Awesome! Thank you! I won't be washing this hand for a while!
最近どうも王都の方がきなくさいらしいな。\nギルドマスターや高ランクのマスターが盛んに行き来していて、\nそろそろ大きな戦でもあるんじゃないかって話だぜ。,Recently; it feels like something's brewing in the royal capital. Guild masters and high-ranking cardmasters have been coming and going frequently; and there's talk that a major conflict might be on the horizon.
王都とモルゲンには強力な結界があって、\nサキュバスたちも簡単には手を出せねえ。\nそれでしばらく膠着状態だったんだが、いよいよ動き出すのかもな。,The royal capital and Morgen have powerful barriers; so even the succubi can't easily make a move. It's left the war in a standstill for a while; but tensions might finally be starting to flare up again.
まあ、モルゲンは魔族領からは遠いから\n直接戦いになったりはしないだろうけどよ。\n王都に食い物が流れる分、値上げとかするかもしれねえな。,Thankfully; since Morgen is pretty far from the demon territory; the fighting probably won't reach us. Still; since the royal capital's food supplies will be prioritized; prices might go up.
わたしもカードマスターなんだけれど、\nとてもDランク以上に上がれる気がしないわ。\nバトルで勝つのって大変よ。,I'm a cardmaster; too; but I really don't feel like I can rise above D-rank. Winning battles these days is tough.
Dランクには落ちぶれた男性マスターがたくさんいるし、\nわたしも色気を磨けば上に上がれるのかしら。\nうーん・・・。,There are a bunch of male masters in the D-rank who fell from the higher ranks; and sometimes I wonder if I could rise up by honing my allure like the other girls. Hmm...
一度サキュバスカードを探してデッキに入れてみようかな。\nなかなか見つからないって言うけれど、市場で見つかるかしら。,Maybe I should try looking for a succubus card and add it to my deck. They say they're hard to find; but maybe I could find one in the market...
カードマスターが犯罪をしたらどうなると思う？\nギルドで指名手配されて、\nモルゲンの特殊牢獄に入れられるのよ。,What do you think happens when a cardmaster commits a crime? They end up on the guild's wanted list; and are locked up in Morgen's special prison.
カードを取り上げたうえで、\n強いカードマスターの看守たちが24時間見張っているの。\n凶悪な犯罪者だって逃げだすことはできないわ。,They take away your cards have strong cardmasters watch you 24/7. Even the most dangerous criminals can't escape.
看守の一人、Cランクのヤツメさまはとってもカッコいいんだから。\nあのクールな瞳。わたしあの人のファンなの。\n無敗のルーキーのあなたにだってきっとヤツメさまは負けないわよ。,One of the guards; a C-rank master named Yatsume; is really cool. Just thinking about her intense gaze... I'm her biggest fan. Even you -the Undefeated Rookie- wouldn't stand a chance against her!
なあ聞いてくれよ。\n俺の応援してた男のCランクカードマスターがこの間ぼろ負けしてよ、\nついに降格しちまったんだ。,Hey; listen up! The C-rank cardmaster I was rooting for got completely crushed the other day; and ended up getting demoted; too.
女どもの誘惑に負けないけっこう強いマスターだったんだぜ？\nだけど、一回の試合では我慢できても、\n何回も戦っているうちにとうとう耐え切れなくなったみたいでよ。,He was a pretty strong cardmaster who wasn't swayed by the women's temptations; you know? But while he might've been able to hold out in one match; it seems after back-to-back fights he just couldn't stand it anymore.
一回こっぴどく負けてからはすっかり快楽に弱くなっちまって…。\nそこからはいくらやっても女マスターに勝てなくなっちまった。,After losing badly just once; he became totally weak to pleasure attacks... From then on; no matter how hard he tried; he couldn't win against the female masters anymore.
一度でも女モンスターたちの気持ちよさ味わうと、\n快感に抗えなくなっちまうのかな。\nアンタは負けないでくれよ、無敗のルーキー。,Once you've experience the pleasure of a female monster can offer you; you won't be able to resist that feeling ever again. Hey; undefeated rookie; you better not lose.
ネネコ選手みたいな獣人って、\n普段は北の方に住んでいる種族なのよ。\nだから南にあるモルゲンに来ると暑くて大変らしいわ。,Beastmen like Neneko usually live in the northern regions; so when they come to Morgen in the south; they seem to struggle with the heat.
毛がもふもふしてて、人間よりも体温高そうだもの。\nでも、獣人の男の子ってかわいいから、\n一度あのもふもふを思いっきりなでてみたいわね。,Their fur is really fluffy; and they seem to have a higher body temperature than humans. Still; beastmen boys are just so cute! I want to try giving that fluff a good petting at least once; you know?
ううっ、まさかヤツメ様があんたみたいな男に負けるだなんて…。\nショックだわ…。,Ugh; I can't believe Lady Yatsume would lose to a guy like you... It's just unthinkable...
でもヤツメ様もあなたの実力を認めていたし、\n悔しいけれど、応援するしかないようね。\nヤツメ様ファンとしてあなたのこれからの勝利を祈っているわ！,But since Lady Yatsume recognized your abilities; it seems I don't have any choice but to support you; no matter how frustrating it is. As a fan of Lady Yatsume; I pray for your future victories!
モルゲンにいると感覚がマヒしちまうが、\nＣランクの上位っていうと、相当の実力者だからな。\n騎士団だったら小さな隊の隊長を任されたりするレベルだぜ。,It can be hard to imagine when you're here in Morgen; but being one of the higher-tier C-rank masters means you're actually a pretty formidable force. In an order of knights; it'd be like being at the level of a captain of a small squad.
ヤツメなんがいい例だよ。\n凶悪犯を入れておく看護の看守をギルドから任されてるんだ、\nそれぐらいの箔がＣランクにはあるってことだ。,Yatsume is a good example. She's been assigned by the guild to guard and care for dangerous criminals; which just goes to show the level of faith that comes with being C-rank.
Ｂランクにまで行くと、地域の統括者になれたり、\nギルドや国の機関で重要な役職に就けたりするらしいな。\n国全体でＢランクマスターは100人もいないんじゃないか。,Once you reach B-rank; you might get assigned as a regional overseer or hold important positions in guilds or national agencies. There actually aren't that many B-rank masters. Maybe less than 100 across the whole country.
無敗のルーキー、あんたももうすぐＢランクだと思うと、\nすげー話だな。俺はいちファンとしてあんたのこと応援してるぜ。\n次の試合も楽しみだな。,It's pretty amazing to think that you might be B-rank soon. As a fan of yours; I'm cheering for you! I'll be looking forward to your next match.
わー、ここが闘技場かー。\nお師匠さまの試合楽しみだなー。\nあ、こんにちは。お兄さんも試合を見に来たの？,Wow; so this is the colosseum. I'm really looking forward to Master Musashi's match. Oh; hello. Did you come to watch the match too; mister?
わたしはね、ムサシ師匠の道場に通ってる門下生なの。\nお師匠様は、Cランクのマスターの中でも強いんだよ。\nそろそろ試合があるからって観戦に来たんだ。,I'm a student at Master Musashi's dojo. Master is one of the strongest C-rank masters around. When I heard her match is about to start; I hurried over to watch.
お師匠様はモンスターを使わないすごくカッコいいデッキで、\n剣と盾だけでバッタバッタとモンスターたちを倒してさ、すごいんだー。\nわたしもムサシ師匠みたいに強くなりたいなー。,My master has a really cool deck that actually doesn't use any monsters. She takes down her enemies left and right with just a sword and shield. It's amazing! I want to become strong like Master Musashi some day.
あ、さっきのお兄さん。こんにちは。\nえ？お兄さんもカードマスターなの？へー。,Oh; you're the guy from earlier. Huh? What's that? You're a cardmaster; too? Wow.
ねーねー、それならお兄さんもわたしたちの道場に入門しない？\nお師匠様の試合を見てさ、一緒にファンになろうよ。\nお師匠様は強くてカッコいいんだよー。,Hey; hey; why don't you join our dojo; too? We can watch my master’s match together! I'm sure you'll be her fan in no time. My master is super strong and really cool!
あら、期待のルーキーじゃない！\nあなたいよいよ、Bランク昇格戦に挑むのよね？\n公式戦無敗でここまで行くとか、ほんとうにすごいわね！,Hey; you're the promising rookie! You're finally challenging the B-rank promotion match; right? It's really impressive that you've made it this far without losing a single official match!
特等席のチケットをなけなしの金で買ったのよ。\n次の試合でもカッコいいところ見せてよね！,I bought a front-row ticket to your match with the last of my money. Make sure to show us something cool in the next match too; okay?
モルゲンのカードマスター学園といえば、この国でも一番の学園よ。\n入門試験はそこまで難しくないけど、昇級は超難関。\n全体の1割ぐらいしか最上級生にはなれないんだって。,The Cardmaster Academy in Morgen is the best academy in the country. The entrance exam isn't too tough; but the promotion exams are where people struggle. Only about 10% of the students make it to the top grade.
でも、最近学園の風紀が乱れているらしいわ。\n昔と違ってエッチな技術も教えるようになったからなのか、男子生徒を\n奴隷のようにこき使う女子グループがいくつかあるって聞いたわ。,However; I've heard that the school's discipline has been deteriorating recently. Apparently; unlike in the past; some of the girls have started learning lewd techniques and are treating male students like slaves.
男ってだけでこき使われるのはかわいそうよね。\n注意しようにも男の先生も多いから、彼女たちにたじたじにされて、\n対処に手を焼いているそうよ。,It's really sad that they're being used like that just because they're boys; don't you think? Some of the teachers have tried to intervene; but a bunch of the male teachers are apparently intimidated by these girls and are having trouble dealing with the situation.
ねーねー、無敗のルーキー、僕、大ファンなんだ！\n勝ちまくっててカッコいいよなー！,Hey; hey; undefeated rookie! I'm a huge fan! It's so cool how you just keep winning!
へー、近くで見ると、ルーキーの手って\nうちの父ちゃんとかよりもごつごつしてないんだな。でも、これで\nうちの父ちゃんなんか目じゃないぐらい強いんだよな。すげー！,Wow; seeing you up close like this; your hands aren't as rough as my dad's. But you're still way stronger than him. Amazing!
俺もカードの練習いっぱいして、\n無敗のルーキーぐらい強くなるんだ！\n俺の周りの男はみんな、ルーキーにあこがれてるぜ！,I'm going to practice with cards a bunch and become as strong as you one of these days! Just know me and all my friends are rooting for you; mister!
お師匠様を倒すなんて、お兄さんすごく強い人だったんだね。,You managed to defeat my master; huh? You must be really strong; mister.
師匠はいつもエッチな攻撃とかしないから、わたしああいうバトルははじめて見たの。何を言ってるかは聞こえなかったけど、わたし目がいいから遠くからでもお兄さんのアソコも見えちゃって…。,My master doesn't normally do anything lewd; so it was my first time seeing a battle like that. I couldn't hear what she was saying; but I have good eyesight; so I could see your... thing from pretty far away...
あうう、思い出すだけで恥ずかしい・・・。\nべ、べつに今想像したりとかはしてないよ。\nそんなエッチな子じゃないし！,Ugh; just thinking about it is really embarrassing... I-I mean; not that I'm imagining anything right now or anything. I'm not that kind of girl!
うう、わたしももう少し大きくなったら、ああいう技を練習するのかな。\n触ったら固いのかな・・・。,Ugh; I wonder if I'll have to practice techniques like that when I get a little older. I wonder if it feels hard to the touch...
Bランク昇格おめでとー！すごいなー！\n男のマスターでBランクに上がったの、\n無敗のルーキーさんが今の大会じゃ初めてだよ！,Congratulations on your promotion to B-rank! That's amazing! The undefeated rookie is officially the first male cardmaster to have made it this far in the tournament!
みんな降格ばっかりなんだもん。なさけないよなー。\nなんで女の子のモンスターなんかにあんなに簡単にやられちゃうんだ？\n意味わかんねーぜ。,All the other guys are getting demoted left and right. Pretty sad; don't you think? Why are they getting taken down by female monsters so easily? I don't get it.
あ、それがBランクのギルドリングなのか？\nへー、きれいな赤色だなー！\nかっこいいー！,Oh; is that a B-rank guild ring? Wow; that shade of red is so pretty! Awesome!
あ、それがBランクのギルドリングなのか？\nえ？ギルドに行って申請してないからまだCランクのリング？\nへー、そういう決まりになってるんだ。,Oh; is that a B-rank guild ring? What's that? You haven't gone to the guild to apply for your new rank; so you still have a C-rank ring? Wow; so that's how it works.
ほぉー、あんたが無敗のルーキーか！\n直接見るとえらい男前じゃのう！,Oh; so you're the undefeated rookie! Seeing you in person; you're quite the handsome one; aren't you?
街のジジババたちの間で、あんたの人気がすごいことになっとるぞ。\nサキュバスが現れる前の、昔のバトルに思い入れがある者が多いからの、\nアンタみたいな正攻法のマスターは大人気なんじゃ。,You know; you've gotten pretty popular among the old folks in town. Before the succubi appeared; many of us had fond memories of the old battles; so a straightforward master like you is pretty refreshing to see.
サキュバスどもや、その技を真似した卑猥な戦法なんぞ、\nまったく効かんとお前さんが証明してくれ。\nほれ、これは老人会からの差し入れじゃ。,Keep proving that those lewd tactics the succubi and their imitators don't work in this city. Here; this is a donation from us old folks at the club.
ほほ、けっこうな額じゃろう？\nそれだけみなおぬしに期待しておるのよ。\nこれでカードでも買って、さらに精進しておくれ。,Ho ho; that's quite a sum; isn't it? We have high hopes for you. Use this to buy some cards and keep improving.
おお、おお、無敗のルーキー、\nわしらがあげたお金は役に立っておるかの。,My my; it's the undefeated rookie. Is the money we gave you being put to good use?
おぬしのような若くて強いマスターがわしらの希望じゃよ。\n次の試合も楽しみにしておるぞ。,A strapping young master like you is our only hope. We're looking forward to your next match.
知ってる？大会期間中はモルゲンにカードマスターが集まるから、\nその分ほかの町がどうしても手薄になってしまうの。,Did you know? During the tournament period; cardmasters gather in Morgen; which inevitably leaves other towns understaffed.
