default
巨乳アラクネ,Large Breasted Arachne
糸でがんじ絡めね。\nほら、動けないあなたのこと、おっぱいでからかってあげる❤,I'll tie you up with my threads. See; now that you can't move; I'll tease you with my boobs.❤
おちんちんの前でおっぱいをゆさゆさ❤ゆさゆさ❤\n大きなおっぱいが触れるか触れないかのところで揺れて、\nたまらないでしょ？くすくす❤,I'll shake my boobs in front of your penis.❤ Shake shake~❤ Isn't it irresistable; my big breasts shaking just close enough to brush against your penis? *giggle*~❤
あん、物欲しそうな顔しちゃって❤\nいいのよ？おっぱいに腰を突き出して、気持ちよくなりましょ？\n糸を少し緩めてあげるから、おっぱいにおいで❤あはん❤,Ahn; look how desperate you are.❤ Is it really okay? Thrusting your hips out against my boobs to make yourself feel good? I'll loosen the threads a bit; so come closer and take in the smell of my boobs. Ahn~❤
へこへこ♪へこへこ♪腰振り上手ね❤\nおっぱいフェチのあなたはわたしのおっぱいに陥落しちゃった❤\n射精するまでおっぱいセックス楽しみなさい❤,Thrust~♪ Thrust~♪ You're so good at moving your hips.❤ Your boob fetishist self has fallen for my boobs~❤ Go ahead and indulge in this boob sex until you cum.❤
あはん❤わたしのおっぱい、大きいでしょ？\nこれで気持ちよくしてあげるわ❤,Ahn~❤ My boobs are big; aren't they? I'll make you feel good using them.❤
あなたのおちんちんをずっぷり入れて…❤\nほおら、これだけでもう腰砕け❤\nおっきなおっぱいに根元まで飲み込まれて、腰がしびれちゃうわね❤,I'll just stick your dick all the way in...❤ Look; just this much turns your legs to jelly.❤ My huge breasts will swallow it up; and make your hips go numb.❤
左右交互にズリズリ動かして、\nおっぱいに埋まったおちんちんをたっぷり可愛がってあげる❤\nきっと気持ちよすぎて天国よ❤ほら、ズリズリズリ❤,I'll rub it up and down; giving your penis plenty of love inside my boobs.❤ It'll feel heavenly.❤ Here; stroke stroke stroke.❤
おっぱいで骨抜きにしてあげる❤\n男の子を骨抜きにするのってとっても簡単なのよ？\nほら・・・❤,I'll make you all weak using my boobs.❤ It's really easy to make men weak; you know? Watch...❤
こうやっておちんちんむぎゅって捕まえて、\n両手でゆさゆさ揺らしてあげるだけ❤\nおちんちんがおっぱいで擦られて、脳みそとろけちゃうの❤,I'll just squeeze your penis like this; then jiggle it.❤ Your brain will melt as your penis rubs against my boobs.❤
やわらかいおっぱいにおちんちん撫でられると、\n何も考えられなくなるぐらい、気持ちいいでしょ？\nうふふ、うっとりしたその顔が答えね❤,When your penis gets stroked by such soft breasts; it feels too good to think about anything else; doesn't it? Ufufu; your blissful face says it all.❤
わたしの大きなおっぱい、ここにおちんちん入れたくなぁい？\n谷間ににゅぷっと突き刺すだけで、天国見れるわよ❤,Don't you want to stick your penis between these large breasts? All you have to do is stick it in; and you'll experience heaven~❤
突き刺した後は、何回も腰を振るの。\nおっぱいまんこにパンパン種付け❤\nくすくす❤想像しておちんちんギンギンね❤,Once you stick it in; I'll jiggle my boobs over and over; letting you fill the space between them with your seed.❤ *giggle*~❤ Your dick grew hard just from imagining it.❤
うふふ❤わたしのおっぱいで気持ちよくしてほしいの？\nまだ召喚されたばかりなのに\nもうわたしのおっぱいに夢中になっちゃったのね❤,Ufufu~❤ You want me to make you feel good with my breasts? You've only just been summoned; but you're already horny for my breasts.❤
うふふ❤わたしのおっぱいで気持ちよくしてほしいの？\n仲間のことを放り出して敵におねだりするなんて、\n欲望に負けちゃったのね❤,Ufufu~❤ You want me to make you feel good with my breasts? Abandoning your comrades and begging the enemy; you've totally given in to your lust.❤
いいわよ。たっぷり挟んで、\nわたしの谷間がどろどろになるまでいじめてあげるわ❤,Very well. I'll squeeze and tease you until my chest is completely soaked.
あん❤激しい射精ね❤\nわたしのおっぱいをこんなに汚して、\nくす❤満足できたかしら❤裏切り者さん❤,Ahn~❤ What an intense ejaculation.❤ You've made a mess over my breasts; ufu~❤ I hope you're satisfied;❤ Traitor-san.❤
ううっ…❤我慢できない…❤,Uu...❤ I can't hold back anymore...❤
うふふ❤わたしの前でひざまづいてシコシコしだすなんて、\nおっぱいの前で理性を失っちゃったのかしら。,Ufufu~❤ You just kneeled in front of me and started stroking. Did you lose yourself before my boobs? 
まだ召喚されたばかりなのに、\nずいぶんこらえ性がないのね❤\nくすくす❤,Even though you've only just been summoned... You sure do lack patience; don't you? *giggle*~❤
わたしの大きくてやわらかぁいおっぱい❤\nあはん❤たっぷり見せつけてあげる❤,My large; soft breasts...❤ Ahn~❤ I'll show them off to you.❤
はうぅ、えろいぃ・・・❤❤,Hauu; so sexyyy...❤❤
くす❤目の前でおっぱい強調されたら、\n扱くのとっても早くなっちゃうわね❤,*giggle*~❤ Once you see these breasts flashing before your eyes; you can't help but immediately start stroking yourself.❤
試合中なのに、勝たなきゃとか攻撃しなきゃとか\nなんにも頭に残ってない❤,We're in the middle of a match; yet you're not thinking about winning or attacking.❤
残っているのは\n「おっぱいえろいよぉ」ってバカみたいな煩悩だけなんでしょ？\nふふ、みっともない蕩け顔ね❤,All you're thinking is the foolish desire to shout "boobs are sexy"; right? Fufu, what a pitiful look of bliss you have.❤
ねえ、このおっぱい、顔の前で揺らしてほしい？,Hey; these breasts; do you want me to jiggle them in front of you?
近くにあるだけでもエロすぎるんだもの。\nゆさゆさって上下に揺らしたら\nきっとたまらないぐらいエロいと思うの❤,Even just being close to them is too erotic for you; just think how irresistable it'll be if I shake them.❤
ほら、おねだりしなさい❤\n「顔の前で揺らしてください」ってみっともなくおねだり❤\nできるわよね？くすくす❤,Go on; beg me to do it.❤ "Please jiggle them in front of my face."❤ You can say it; can't you? *giggle*~❤
あひぃっ❤❤おねがい、顔の前で揺らして、揺らしてくださいぃ…❤❤,Ahiii!❤❤ Please; jiggle; jiggle them in front of my face...❤❤
あはは、しこしこしながら、\nおっぱい揺らしてっておねだりしちゃった❤\nなんてみっともないのかしら❤,Ahaha! You just begged me to jiggle my boobs while stroking your dick.❤ How embarrassing is that?❤
ほら、あなたが見たかった絶景よ？\n頑張って耐えて、少しでも長く楽しみなさい❤,Here; it's the spectacular view you wanted to see. Do your best to hold back so you can enjoy it for as long as possible.❤
はぐぅ❤❤えろすぎる、ああっ、こんなのむりぃっ❤❤❤,Agh~❤❤ It's too sexy; aah; I can't take ittt~❤❤❤
あへぇ・・・❤❤,Ahee...❤❤
くすくす❤おっぱい揺らしはじめたら瞬殺じゃない❤\n火でも起こすのかってぐらいしこしこ扱いて、\nあっという間に射精しちゃったわ❤,*giggle*~❤ Once I jiggled my boobs; it was over in an instant.❤ You stroked like you were trying to light a fire; and then came in no time.❤ 
わたしのおっぱいをどろどろにできて満足できたかしら？\nあなたのおかげで体力も回復♪\n男の子はやっぱりおっぱいにはかなわないのね❤,I hope you're satisfied; getting my boobs all sticky. Thanks to you; I've regained my strength.♪ Boys are just no match against boobs.❤
あらあら❤あなたもシコシコしはじめちゃうのね❤\n仲間がおっぱいに負けちゃうのを見て、\n自分も気持ちよくなりたいって思っちゃったのかしら。,Ara ara~❤ You've started jerking off too.❤ Did seeing your friend succumb to my boobs make you want to feel good too?
わたしとしてはエナジーをどんどん貢いでくれるなら大歓迎よ❤\nうふん❤わたしの大きくてやわらかいおっぱい❤\nあなたにもたっぷり見せつけてあげる❤,I'm happy to let you fill me with even more energy.❤ Ufu~❤ My large; soft breasts;❤ let me show them off to you.❤
どう？目の前でおっぱい強調されて、\nたまらないでしょ？\nあなたの仲間が瞬殺されたのもよくわかるわよね❤,Well? You can't resist it my boobs flashing right in front of you; can you? It's no wonder your allies fell so quickly; right?❤
こんなおっぱい見せつけられたら、\nチンポどんどん気持ちよくなっちゃう❤\n頭の中エロいことでいっぱいになっちゃう❤,Seeing boobs like this; your dick gets harder and hard~❤ Your head is filled with nothing but lewd thoughts.❤
試合中なのに、勝たなきゃとか攻撃しなきゃとか\n何も頭に残ってないのよね❤\nあるのは「おっぱいえろいよぉ」ってバカみたいな煩悩だけ❤,We're in the middle of a match; yet you're not thinking about winning or attacking.❤ All you're thinking is the foolish desire to shout "boobs are sexy".❤
さっきの男の子もあなたも、\n男の子の頭の中ってすぐ空っぽになっちゃうのね❤\nくすくす❤,Both the guy before and now you; male brains get fried so easily.❤ *giggle*~❤
あううっ❤❤おねがい…❤\nおっぱいを顔の前で揺らして、揺らしてくださいぃ…❤❤,Auuu~❤❤ Please...❤ I beg you, please jiggle your boobs in front of my face...❤❤
あはは❤なに？あなたもさっきの子みたいに\nゆさゆさしてほしいの？,Ahaha~❤ What? Do you want me to jerk you off like the guy before?
自分から大きな声でおねだりしちゃって、\nなんてみっともないのかしら❤,It must be so humiliating; voluntarily begging out loud like that.❤
でも仕方ないわよね。\nだって、こんなにエロいんだもの。ほら、ほら、ほら・・・❤,It can't be helped; they're just too sexy. Here. Take this; and this...❤
はぐぅ❤❤すごいぃ、ああっ、こんなのむりぃっ❤❤❤,Haguu~❤❤ Amaziiing; aah; I can't resiiist~❤❤❤
くすくす❤おっぱい揺らしはじめたら瞬殺じゃない❤\n蕩けた顔でしこしこ扱いて、\nあっという間に射精しちゃったわ❤,*giggle*~❤ Once I jiggled my boobs; it was over in an instant.❤ You were so blissful as you were jerked off; and you came in no time.❤
うぐ、やるわね。\n思った以上の強敵みたい。,Ugh; not bad. It seems you're tougher than I thought.
でも、これならどう、ほら・・・❤,But; how about this? Take this...❤
おっぱい見なさい❤あはーん❤,Look at these breasts.❤ Ahn~❤
胸に見とれてしまった,Stare at Her Breasts
視線をそらして攻撃した,Look Away and Attack
あう、そんな一瞬の隙もできないなんて・・・。,Ow; no way. There wasn't even a moment's hesitation...
そう、男の子ならどうしても見ちゃうわよね❤\nその隙に…❤,That's it. If you're a boy; you'll definitely want to see them.❤ And as you stare at them...❤
ほら、あなたを糸で捕獲完了❤\nおっぱいを前にして隙だらけになっちゃう、あなたが悪いのよ❤,Oops, I've wrapped you in my threads.❤ It's your own fault, getting caught off guard by my boobs in front of you.❤
急いで作った糸だから、少しもろいけれど、\nそれでも少しの間拘束するのには十分。,It was hastily made; so the threads are a bit weak; but it'll still hold for a bit. 
さあ、糸をこっちへたぐり寄せてあげる❤\nチンポ、わたしの谷間までいらっしゃい❤\n挟んでとろとろにほぐしてあげるわ❤,And now; I'll pull on the threads over here.❤ Come on out; penis. Come into my valley.❤ I'll squeeze it until it becomes tender.❤
全力で糸を振りちぎった,Struggle Against the Threads
体から力が抜けてしまった,Lose All Strength
きゃ！まさかこんなすぐに網を破られるなんて・・・。,Kyaa! To think the thread would snap so easily...
うふふ❤時間切れよ。\nおっぱいの中に、チンポをご招待❤\nぱっくん❤,Ufufu~❤ Time's up. Let me invite your dick into my boobs.❤ Babump~❤
うふふ❤おっぱいを前にして、\nもう逃げ出したくなくなっちゃったみたいね。,Ufufu~❤ Now that these boobs are in front of you; you don't seem to want to escape anymore.
腕をだらんとさせて、\nわたしにされるがまま。\nほおら、おっぱいの中にチンポをご招待❤ぱっくん❤,Just let your arms drop; and don't resist. Here; let me invite your dick into my boobs.❤ Babump~❤
あっ、ああっ❤このっ、うぐぅ、離してっ❤❤ああっ❤❤,Ah; aaah~❤❤ Th-; ugh; let me go...❤❤ Aaah!❤❤
ふふ、こうやっておっぱいで快楽を与え続けてあげれば、\nもがく力なんて湧いてこないでしょう？,Fufu~ If I keep injecting pleasure with my breasts like this; you can't muster the strength to resist; can you?
わたしの蜘蛛糸とおっぱいに捕らわれた男に、\n勝ち目なんてないの❤\nほらほら、ずりずりずり♪,Any man caught in my threads and my breasts has no chance of winning.❤ Come on, slide it up and down~♪
はへぇ、だめ・・・❤きもちいい❤きもちいい…❤❤,Haee; not good...❤ It feels so good~❤ It's so good...❤❤
くすくす❤あとちょっとでわたしを倒せたのに、\nおっぱいに見とれたばっかりに\n負けちゃうわね❤,*giggle*~❤ You were so close to defeating me; but then you got distracted by my boobs and lost.❤
チンポをおっぱいに包囲されて、\nなんにもできない❤\n糸からもがくどころか、うっとりした顔でパイズリされちゃってる❤,Your dick is wrapped in my boobs; and you're totally helpless.❤ Instead of struggling against these threads; you're getting a paizuri with a blissful expression on your face.❤
上級モンスターであるわたしを倒せれば、\n戦況的にはとっても大きかったのにね❤\nでも、こんなに気持ちいいなら十分お釣りがくるでしょう？,If you managed to defeat me; a high-level monster; that would've really swayed the battle in your favor.❤ But if it feels this good; then it's worth giving that up; right?
チンポを何往復もしごかれて、\n腰がとけちゃうんじゃないかってぐらい気持ちよくなって、\n全身がガクガク❤ビクビク❤あん、もうすぐ射精しちゃう❤,As your dick is stroked back and forth so many times; it feels so good that it's like your hips are melting; and your whole body starts to tremble.❤ Twitch, twitch~❤ Ahn~ You're already about to cum.❤
我慢なんてしなくていいのよ❤\nほら、わたしを回復させるエナジー、\nおっぱいに負けて射精しちゃいなさい❤,No need to hold back.❤ Go on. It'll restore my energy; so just give in to my boobs and cum.❤
チンポの先っぽをずりずりずり❤\n精液谷間の奥においで❤\nあはーん❤,Slide the tip of your dick down...❤ Down to the depths of my semen valley.❤ Ah~n~❤
はひぃ・・・・❤❤,Hahiii...❤❤
うふふ❤いいエナジーをありがとう❤\nおかげでボロボロだった体も、\nすっかり元通りだわ。,Ufufu~❤ Thanks for the delicious energy.❤ Thanks to you; my battered body is now back in top form.
あら、敵を回復させちゃったのに、\nずいぶん嬉しそうな顔をしているのね❤\nおっぱい気持ちよかったの？くすくす❤,Ara; you just healed the enemy; yet you look so blissful.❤ Did my boobs feel good? *giggle*~❤
うぐ、やるわね。\n思った以上の強敵ぞろいみたい。,Ugh; not bad. It seems you're tougher than I thought.
でも、あなたもこれには抗えないわよね、ほら・・・❤,But let's see how you stand up to this...❤
そう、男の子ならどうしても見ちゃうの❤\nその隙に…❤,That's it. You boys just can't help but look.❤ And while you're stare at them...❤
ほら、あなたも糸で捕獲完了❤\nおっぱいを前にして隙だらけになっちゃう、あなたたちが悪いのよ❤,Oops, I've wrapped you in my threads.❤ It's your own fault, getting caught off guard by my boobs in front of you.❤
あっ、ああっ❤あと少しだったのにっ❤❤あううっ…❤❤,Ah, aah~❤ They're so close...❤❤ Auuu...❤❤
ふふ、こうやっておっぱいで快楽を与え続けてあげれば、\n糸を切る力なんて込められないでしょう？,Fufu~ If I keep injecting pleasure with my breasts like this; you can't muster the strength to resist; can you?
どれだけ強い人間ぞろいでも\nみんなおっぱいに気を取られてるようじゃ仕方ないわ❤,No matter how strong everyone is; it's pointless if you all get distracted by a pair of breasts.❤
くすくす❤あとちょっとでとどめがさせたのに、\nおっぱいに見とれたばっかりに\nあなたも負けちゃうわね❤,*giggle*~❤ You almost had me; yet you're going to lose just because you stared at my boobs.❤
だぷんだぷんって揺れるおっぱいに飲み込まれて、\nあへぇって声が漏れちゃう❤\nチンポがもうメロメロで、もう何も考えられない❤,You're captivated by my swaying breasts; you can't even stop yourself from squealing.❤ Your dick already feels so good that you can't think of anything else.❤
上級モンスターであるわたしを倒せれば、\n戦況的にはとっても大きかったのにね❤\n何体も逆に返り討ちにあってむしろ大ピンチ❤,If you'd defeated a high-level monster like me; that would've been a dire situation for us.❤ Even with how many of you I've picked off; we still would've been in a tight spot.❤
チンポをずりずりって激しくしごかれて、\n腰がとけちゃうんじゃないかってぐらい気持ちよくなって、\nみんなおっぱいに敗北❤あん、もうすぐ射精しちゃう❤,This arachne's stroking your dick so hard; your hips are already melting. Everyone is falling to my boobs.❤ Ahn~ You're about to cum.❤
チンポの先っぽを左右交互にずりずりずり❤\n精液谷間の奥においで❤\nあはーん❤,As I'm rubbing the tip of your cock; left and right;❤ thrust it deep inside my semen crevice.❤ Ahn~❤
あら、敵を回復させちゃったのに、\nあなたもずいぶん嬉しそうな顔をしているのね❤\nわたしのおっぱい最高だったんでしょ？くすくす❤,Ara; you've just helped your enemy recover; yet you seem so happy.❤ Aren't my boobs just the best? *giggle*~❤
おっぱい揺らしてもらえて満足かしら？\n自分でしごいて負けちゃうなんて、思ったより弱いのね❤\nくすくす❤,Are you turned on by my breasts jiggling? You're weaker than I thought; losing to stroking yourself.❤ *giggle*~❤
おっぱいに見とれて負けちゃうなんて、\nせっかく強いのにもったいないわ❤\n男って悲しい生き物ね❤くすくす❤,What a waste of all that strength; losing to boobs.❤ *giggle*~❤
わたしの胸、信じられないぐらい気持ちよかったでしょ❤\n糸で縛られながらわたしのパイズリで射精しちゃったら、\nもう普通の性癖には戻れないわよ❤くすくす❤,My chest feels really good; doesn't it?❤ If you cum from my paizuri while you're tied up by my threads, you won't ever come back from it.❤ *giggle*~❤
わたしの胸、信じられないぐらい気持ちよかったでしょ❤\n男の子が女に歯向かうなんて無謀だって、\nたっぷり分からされちゃったわね❤,My chest feels really good; doesn't it?❤ I hope you've learned your lesson; it's foolish for a man to fight against a woman.❤
上級のアラクネモンスターにエナジーを搾り取られた僕は、自分の身体を支えられなくなり地面に膝をついていた。,After having my energy squeezed by the advanced Arachne monster; my legs give out and I fall to the floor.
ふ、かわいいものだな。\n試合前に粋がっていたくせに、胸で攻められればすぐに果てるとは。\n情けないやつめ。,Pfft; so cute. You seemed so cool before the match; yet you easily went down to an attack from my breasts. So pathetic.
ふ、かわいいものだな。\n無敗のルーキーといえど、アラクネの胸であっけなく骨抜きか。,Pfft; so cute. You're the Unstoppable Rookie; yet you instantly succumbed to an Arachne's breasts.
そんなに胸が恋しいか？\nまるで乳離れもできていない子供だな❤ククク❤,Do you really want my breasts that much? You're like a baby who still needs to be breastfed.❤ *giggle*~❤
ううっ・・・❤,Uu...❤
ヤツメさんは僕をあざけって笑う。悔しさが湧き上がってくるが、さっき与えられた{自分}による快感がまだ残っていて、足腰に力が入らない。,Yatsume-san laughs; mocking me. Frustration wells up inside me; but the pleasure {自分} gave me just now is still lingering. I can't put any strength in my legs or hips.
くす❤すっかり蕩けた顔をしてる❤\nおっぱいをオカズにオナニーするの、そんなに気持ちよかったんだ❤,*giggle*~❤ Your face looks absolutely blissful.❤ Masturbating using my breasts must've felt really good.❤
くす❤足をぷるぷるさせちゃって、まだ気持ちいいんだ❤\nわたしのおっぱい、そんなによかったかしら❤,*giggle*~❤ Even now; your legs are still jelly from the pleasure.❤ Just how good were my breasts?❤
本当はそうやって快楽で動けなくした後、\nゆっくりと精を吸い取って食べるのが\nわたしたちアラクネの捕食方法なの。,Normally; after our prey is too weak from the pleasure to move; we Arachne would slowly suck out their semen before eating them. 
でも今は闘技場だし、軽く搾り取るだけにしてあげる❤\nほら・・・❤,But we're in the arena today; so I'll just lightly squeeze it out.❤ Take this...❤
ここに今からあなたのチンポを挟んで、天国送り❤\nさあ、快感に促されるまま、エナジーをたくさん出してしまいましょう❤,I'll pinch your dick right here and send you to heaven.❤ Now; with the pleasure welling up inside you; let out as much energy as you can.❤
おっと、それはおあずけだ。{自分}。\nせっかくだから少しからかってやろうじゃないか。,Oops; that'll have to wait. {自分}. While we're at it; I'll tease you a bit. 
お前はただその男の前で胸を揺らせばいい。\nやっていいのは焦らすところまでだ。,All I'll do is shake my boobs in front of you. That's all I'll do; just tease you a bit.
無敗のルーキー、貴様は自分から懇願しろ❤\n固くなったソレを胸で挟まれたければ、\n「おねがいします、ヤツメ様」と、情けなく鳴いてみせるんだ❤,You'll have to beg for it yourself; Unstoppable Rookie.❤ If you want to sandwich that hard thing between my breasts; then you'll have to pathetically cry out; "I beg you; Yatsume-sama."❤
うふふ、そっちの方がおもしろそうね❤\nそれじゃ、あとはあなたが決めるのよ、無敗のルーキーくん❤,Ufufu; it's more fun this way.❤ It's up to you; Unstoppable Rookie.❤
わたしはあなたの腰の近くで、こうやっておっぱいを揺らすだけ❤,All I'll do is shake my boobs near your waist.❤
この中でチンポをずりずりってされるかどうかは、\nあなたが決めなきゃいけないの❤\nプライドと快楽、どっちが大事なのか、よく考えて❤ほら、ほら❤,It's up to you if you want to slide your dick in here.❤ Think carefully. What's more important; your pride or your pleasure?❤ Go on; think carefully.❤
はひぃっ、あうううっ❤,Hahiiii~ Auuuuuu~❤
{自分}はこれ見よがしにおっぱいを僕の腰に近づけて、あとほんの少しというところで後ろに引いてしまう。,{自分} puffs her chest out near my waist; then pulls them back just as they're about to touch.
（うう、もしあそこに挟まれたら・・・❤）,(Uu... If I thrust my penis in there...❤)
（ああ、ダメなのにっ、腰が勝手に動いてっ❤ううっ❤）,(Aah; this is bad. My hips are moving on their own.❤ Uu...❤)
くすくす❤ダメよ、降参の宣言なしにおっぱいで挟んではあげないわ❤\nそんな腰の動きなんて、少し体を引けば簡単に避けれちゃう❤,*giggle*~❤ That won't do. I won't press my boobs against you until I hear your declaration of surrender.❤ That kind of hip movement is easy to avoid if I just pull back a little.❤
わたしができるのはあなたのチンポの前でおっぱいを揺らすことまで。\nね、気持ちよくなりたければ、分かるでしょう？,All I'll do is shake my boobs in front of your dick. Come on; if you want to feel good; you know what to do.
ううっ、そんな、ああ・・・❤,Uu... No way... Aah...❤
僕は自分の腰の動きを止められず、むなしく空中でカクカクと腰を振ってしまう。そのあまりにもみっともない姿に、{自分}と{自分プレイヤー}はくすくすと声を漏らして笑っている,I can't stop my hips from moving. They're just thrusting helplessly in the air. {自分} and {自分プレイヤー} are both giggling at the sight of me.
その葛藤でぐちゃぐちゃになった顔、たまらんな❤\n強がっている男を屈服させることほど、楽しいことはない。,You look so troubled; like you're in agony. I can't get enough of it.❤ There's nothing like forcing some tough guy to submit.
どうする？無敗のルーキー。\n{自分}の胸の間は、極楽だぞ？\n貴様の粗末なペニスなどすぐに果てさせてしまうだろう❤,Well; Unstoppable Rookie? It'll feel like heaven between my breasts, you know? I'll make your small dick cum in no time.❤
無駄な強がりなどせず、素直になったらどうだ？ククク❤,Why don't you drop the tough guy act and be honest with yourself? *giggle*~❤
そうよ。ほらほらほら❤\n大きくゆさゆさゆさって揺らしてあげる❤,Here; take a look.❤ I'll give them a big jiggle for you.❤
うう・・・❤えろいっ、えろくてぇ・・・❤\nああっ、むり、たえられないっ・・・❤,Uu...❤ So sexy; it's too sexy...❤ Aah; I can't take it; it's too much...❤
きもちよく・・・、して・・ください・・・❤,I beg you... Please... Make me feel good...❤
ん？よく聞こえんな。,Hm? I didn't catch that. 
ううっ、きもちよくしてください❤\nおねがいしますっ❤ナツメさまぁ❤{自分}さまぁ❤,Uu; please make me feel good.❤ I beg you.❤ Natsume-sama.❤ {自分}-sama.❤
あはは❤涙目になっちゃってかわいい❤,Ahaha.❤ Your crying face is so cute.❤
いい声で鳴くじゃないか❤\nほら、{自分}、やってしまえ。,Such a lovely voice.❤ Go ahead; {自分}.
はひぃ❤あっ、ああっ❤おっぱいがっ❤\nきもちいいっ❤,Hahiii~❤ Ah; aah~❤ Boobs...❤ So good~❤
それじゃ焦らした分、たくさん気持ちよくしてあげるわね。ってあら・・・？,Well then; I'll make you feel good to make up for all the teasing... Huh?
あううっ、むりっ❤もうっ、あひぃ❤❤,Auuu; I can't!❤ No; ahiii~❤❤
くすくす❤おっぱいに入れただけで射精しちゃったの？\nほんとにおっぱいに弱いおちんちん❤\nパイズリするまでもなく降参しちゃった❤,*giggle*~❤ Did you cum just from inserting it into my boobs? Your penis really is weak against boobs.❤ You gave in before I could even give you a paizuri.❤
でも、これで終わりじゃないわよね❤\nまだとっても固くて、「早くずりずりしてぇ」って\nわたしの谷間の中でヒクヒクおねだりしているもの❤,But we're not done yet; are we?❤ It's still so hard; and it's still twitching against my boobs; begging me to start rubbing it soon.❤
ほら、動かしてあげる❤\nあなたが屈服しちゃったおっぱいの感触、\nたっぷり楽しみなさい❤,Here; I'll start moving for you.❤ Enjoy these breasts of mine that you surrendered for.❤
あひっ、いまっ❤びんかんだからっ❤❤あううっ❤,Ahii; right now...❤ I'm really sensitive...❤❤ Auu~❤
うふふ❤大丈夫よ❤こんなに柔らかいんですもの。\nイったばかりの敏感チンポでも、\nただ気持ちよくなっちゃうだけで済むわ❤,Ufufu~❤ That's okay;❤ they're really soft. Even if your dick is sensitive from cumming just now; it'll still feel good.❤
その証拠に、ドギツイ快感じゃなくて、\n脳をとろけさせるようなあまぁい快感が、\nチンポからどんどんあなたに流れ込んでくるでしょう？,See? Rather than a pleasure that hurts so good; you instead feel a sweet; melty pleasure flowing into your dick; don't you?
おっぱいに擦られるたび、腰が抜けそうな気持ちよさが押し寄せてきて、\nどんどん、どんどん、あなたのことを快感で埋め尽くしちゃう❤\n気持ちよすぎて顔もだらしなくとろけちゃう❤,Every time I rub my breasts against it; a wave of pleasure washes over you. More and more; you're getting filled with pleasure.❤ It feels so good; your expression looks so blissful.❤
