default
タイトルに戻る,回到標題
未所持カードはショップ画面では非表示になるように設定されました。,商店頁面不會特別顯示未獲得的卡片。
主人公の名前を変更できます。,可以改變主角名字。
名前を変更しますか？,要改變名字嗎？
主人公の名前を{主人公}に変更しました。,主角的名字改為{主人公}。
主人公の見た目を変更できます。,可以改變主角外貌。
見た目を変更しますか？,要改變外貌嗎？
主人公の見た目を選択してください。,請選擇主角外貌。
主人公の見た目が決定されました。この内容はいつでも変更できます。,已更變主角外貌。外貌隨時都可以變更。
文字が表示されるときの音をミュートにできます。,表示文字時暫時將聲音靜音。
文字音1（デフォルト）,文字音１（預設）
音をなくす,讓聲音消失
文字音を１に設定しました。,設定為文字音１。
文字音を無音に設定しました。,設定文字音為靜音。
文字音を2に設定しました。,設定為文字音２。
文字音を3に設定しました。,設定為文字音３。
文字音を4に設定しました。,設定為文字音４。
主人公の情報,主角情報
{プレイヤー情報},{プレイヤー情報}
