default
サキュバススナイパー,魅魔狙擊手
チンポにこすりつけられて、気分はもう天国かしら。試験に落ちたというのに、蕩けた顔しちゃって…。気持ちよさで頭のなかぐちゃぐちゃなのね。,陰莖被這種東西幹，感覺宛如身處天堂對吧。明明考核失敗了，卻一臉爽樣……。你已經爽到腦袋壞掉了呢。
試験に落ちるのは気持ちいいこと…。そんな風に体が覚えちゃわなければいいけど。くすくす❤,我要讓你的身體記住……沒能通過考核是多麼爽的事情。哼哼哼。
ほらほら、擦りつける速度、速くしてあげる。どう？最高でしょ？,如何，我摩擦的速度加快了。感覺很爽對不對？
ひあっ、あっ、あひぃっ…❤,咿啊、啊、啊咿……❤。
もう声になってないじゃない。敏感でマゾ。これじゃこの先苦労するわね。,根本不能正常叫出聲音來了呢。不僅敏感還是被虐狂呢。那你接下來會很慘喔。
女の膝で一方的に喘がされて、バカにされているのに気持ちよくなっちゃう。男ってどうしてこう弱いのかしら。,不能動彈的被女人用腿幹、被嘲笑還會覺得很爽。男人為什麼這麼弱呢。
さ、頭を真っ白にしてイクといいわ。わたしにエナジーをささげなさい。とどめに強く喘がせてあげる。,好了，腦袋變得一遍空白然後射吧。然後把能量獻給我。你要射的時候我會特別讓你叫得很大聲。
あぐぅあっ、あああっ…❤むりぃ、気持ちよすぎてぇっ…❤,啊咕啊、啊啊啊……❤，不行、太舒服……❤！
あへぇ…❤,啊嘿嘿……❤。
はい、これでおしまい。こんなにたくさん出して、すっかり脚がべとべとよ。うふふ❤,好了，就這樣結束。你射這麼多，我腳都被你射髒了。哼哼哼。
あなたのエナジーはわたしの大事な目的のために使わせてもらうわ。,為了我崇高的目的我會謹慎使用你的能量。
いつかその目的が叶ったときに、あなたのこと搾り尽くしてあげる。楽しみにしてなさい。,當我的目的達成的那一天來臨時，我會把你榨乾。你就好好期待吧。
こうして僕は敗北後も魔力を搾り取られた。体が動かせるようになるまでしばらく休ませてもらってから、試験会場を後にしたのだった。,就這樣我在敗北後被榨取魔力。休息了一段時間後我離開的考核會場。
淫魔の柔肌パイズリ,魅魔的柔膚乳交
淫魔の足技,魅魔的足技
なんでも,隨便做就好
振り払ってとどめを刺した,甩開並擊倒她
力が抜けてしまった,完全沒力抵抗她
