default
カクテルフェアリー・シトラス,雞尾酒仙精・柑橘
えー、わたしに気持ちよくしてほしいの？\nんー、めんどくさいなぁ・・・。,えー、わたしに気持ちよくしてほしいの？\nんー、めんどくさいなぁ・・・。
うわ、なんか希望まで言ってきたし。\nはぁー、めんどくさいけどさっさと抜いてあげるよ。\n代わりにおいしいエナジーちょうだいね？,うわ、なんか希望まで言ってきたし。\nはぁー、めんどくさいけどさっさと抜いてあげるよ。\n代わりにおいしいエナジーちょうだいね？
うわ、なんか希望まで言ってきたし。\n妖精おっぱいに興奮するとか、ヘンタイさんだね。くすくす❤,うわ、なんか希望まで言ってきたし。\n妖精おっぱいに興奮するとか、ヘンタイさんだね。くすくす❤
めんどくさいけどさっさと抜いてあげる。\n代わりにおいしいエナジーちょうだいね？,めんどくさいけどさっさと抜いてあげる。\n代わりにおいしいエナジーちょうだいね？
ふふっ❤おっぱいでムラムして、そのまま射精しちゃった❤\nパイズリしてるわけでもないのに妄想で勝手に気持ちよくなって、\n弱いおちんちんだね。くすくす❤,ふふっ❤おっぱいでムラムして、そのまま射精しちゃった❤\nパイズリしてるわけでもないのに妄想で勝手に気持ちよくなって、\n弱いおちんちんだね。くすくす❤
くすくす❤こんな適当な手コキでイっちゃうんだね❤\n妖精の小さいおてては気持ちよかった？\nヘンタイさん❤,くすくす❤こんな適当な手コキでイっちゃうんだね❤\n妖精の小さいおてては気持ちよかった？\nヘンタイさん❤
あっ、ああっ・・・。,あっ、ああっ・・・。
あは❤おっぱい見せてたらオナニーほんとに止まらなくなっちゃったみたい。シコシコするのはやーい❤これならすぐ射精してくれそうだね。,あは❤おっぱい見せてたらオナニーほんとに止まらなくなっちゃったみたい。シコシコするのはやーい❤これならすぐ射精してくれそうだね。
じーっと見ておかずにしていいんだよ。\nわたしからもサービスしてあげる。肘でぎゅって寄せて、\nほら、深ーい谷間❤,じーっと見ておかずにしていいんだよ。\nわたしからもサービスしてあげる。肘でぎゅって寄せて、\nほら、深ーい谷間❤
もしわたしが人間サイズだったら、\nあなたのおちんちんぐらい楽々挟める深さだよね。\nこんな風に強調されたらエロくてたまらないでしょ？,もしわたしが人間サイズだったら、\nあなたのおちんちんぐらい楽々挟める深さだよね。\nこんな風に強調されたらエロくてたまらないでしょ？
あは、どんどん扱くの早くなっている❤\n肘でおっぱいを寄せるだけでいいなんて楽で助かるなー。\nしこしこしこ❤しこしこしこ❤止まらないね❤,あは、どんどん扱くの早くなっている❤\n肘でおっぱいを寄せるだけでいいなんて楽で助かるなー。\nしこしこしこ❤しこしこしこ❤止まらないね❤
わたし全然動いてないし、\nこんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤,わたし全然動いてないし、\nこんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤
ねえ、とっても小さな妖精に、片手間に負けさせられちゃうのって悔しい？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪,ねえ、とっても小さな妖精に、片手間に負けさせられちゃうのって悔しい？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪
そんな負け方しているのに、おちんちんシコシコしてて悔しくならないのかなぁ。そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。,そんな負け方しているのに、おちんちんシコシコしてて悔しくならないのかなぁ。そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。
ふふ、もうすぐ出しちゃうね。おちんちんから白いのびゅーって出しちゃう。しょうがないから、ちょっと近くまで飛んで行ってあげる。,ふふ、もうすぐ出しちゃうね。おちんちんから白いのびゅーって出しちゃう。しょうがないから、ちょっと近くまで飛んで行ってあげる。
ほら、わたしの谷間に出していいよ❤あなたがおかずにしていた妖精おっぱい❤あなたのエナジーで真っ白にしちゃお？くすくす❤,ほら、わたしの谷間に出していいよ❤あなたがおかずにしていた妖精おっぱい❤あなたのエナジーで真っ白にしちゃお？くすくす❤
んー？わたしでオナニーしたいの？何もしなくて負けてくれるなんて楽だね。ありがとー。,んー？わたしでオナニーしたいの？何もしなくて負けてくれるなんて楽だね。ありがとー。
わたしは何もしないでじーっとしているから、好きなだけ見ておかずにしていいんだよ。あ、これだけはしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤,わたしは何もしないでじーっとしているから、好きなだけ見ておかずにしていいんだよ。あ、これだけはしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤
もしわたしが人間サイズだったら、あなたのおちんちんぐらい楽々挟める深さだよね。谷間作ってあげるからオカズにしていいよ❤って、あは、どんどん扱くの早くなっている❤,もしわたしが人間サイズだったら、あなたのおちんちんぐらい楽々挟める深さだよね。谷間作ってあげるからオカズにしていいよ❤って、あは、どんどん扱くの早くなっている❤
肘でおっぱいを寄せるだけでいいなんて簡単で助かるなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤,肘でおっぱいを寄せるだけでいいなんて簡単で助かるなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤
そんな負け方しているのに、おちんちんシコシコしてて悔しくならないのかなぁ。それとも、そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。,そんな負け方しているのに、おちんちんシコシコしてて悔しくならないのかなぁ。それとも、そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。
あひぃっ…❤,あひぃっ…❤
くす❤たくさん出たね。おっぱいが白いのでどろどろになっちゃった❤,くす❤たくさん出たね。おっぱいが白いのでどろどろになっちゃった❤
こんなに何もしないで勝てるなんて、ラッキーな試合だったね。マスターくんが理性の弱い男の子でよかった❤,こんなに何もしないで勝てるなんて、ラッキーな試合だったね。マスターくんが理性の弱い男の子でよかった❤
他の人も同じぐらい簡単に負けてくれるといいなぁ❤戦わないで済むし。みんなおっぱいでオナニーしていいよ❤,他の人も同じぐらい簡単に負けてくれるといいなぁ❤戦わないで済むし。みんなおっぱいでオナニーしていいよ❤
あは❤あなたもさっきの人と同じだね。おっぱい見せてたらオナニー止まらなくなっちゃったみたい。夢中になってシコシコ❤シコシコ❤これならすぐ射精してくれそうだね。,あは❤あなたもさっきの人と同じだね。おっぱい見せてたらオナニー止まらなくなっちゃったみたい。夢中になってシコシコ❤シコシコ❤これならすぐ射精してくれそうだね。
じーっと見ておかずにしていいんだよ。わたしからもサービスしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤,じーっと見ておかずにしていいんだよ。わたしからもサービスしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤
もしわたしが人間サイズだったら、あなたのおちんちんぐらい楽々挟める深さだよね。こんな風に強調されたらエロくてたまらないでしょ？あは、どんどん扱くの早くなっている❤,もしわたしが人間サイズだったら、あなたのおちんちんぐらい楽々挟める深さだよね。こんな風に強調されたらエロくてたまらないでしょ？あは、どんどん扱くの早くなっている❤
肘でおっぱいを寄せるだけでいいなんてみんなチョロいなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで次々負けに来てくれるんだもん。すごく楽❤,肘でおっぱいを寄せるだけでいいなんてみんなチョロいなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで次々負けに来てくれるんだもん。すごく楽❤
ねえ、わたしあなたの顔よりも小さいんだよ？そんな子に片手間に負けさせられちゃうのって悔しいんじゃない？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪,ねえ、わたしあなたの顔よりも小さいんだよ？そんな子に片手間に負けさせられちゃうのって悔しいんじゃない？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪
さっきの人もあなたも、おちんちんシコシコしてて悔しくならないのかなぁ。そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。,さっきの人もあなたも、おちんちんシコシコしてて悔しくならないのかなぁ。そんなことどうでもよくなるぐらい、気持ちよくて気持ちよくて、頭まっしろなのかなぁ。
んー？あなたもわたしでオナニーしたいの？何もしなくて負けてくれるなんて楽だね。ありがとー。,んー？あなたもわたしでオナニーしたいの？何もしなくて負けてくれるなんて楽だね。ありがとー。
わたしは何もしないでじーっとしているから、好きなだけ見ておかずにしていいんだよ。あ、あなたにもこれだけはしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤,わたしは何もしないでじーっとしているから、好きなだけ見ておかずにしていいんだよ。あ、あなたにもこれだけはしてあげる。肘でぎゅって寄せて、ほら、深ーい谷間❤
肘でおっぱいを寄せるだけでいいなんてみんな簡単で助かるなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤,肘でおっぱいを寄せるだけでいいなんてみんな簡単で助かるなー。わたし全然動いてないし、こんなてきとうおっぱいアピールで頭まっしろになってくれるんだもん。すごく楽❤
ねえ、とっても小さい女の子に、片手間に負けさせられちゃうのって悔しい？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪,ねえ、とっても小さい女の子に、片手間に負けさせられちゃうのって悔しい？おちんちん攻撃されているわけでもないのに、おっぱいアピールでむらむらが抑えられなくなって、自分でしごきはじめちゃって、それで自爆♪
他の人も同じぐらい簡単に負けてくれるといいなぁ❤戦わないで済むし。みんなおっぱいでオナニーしていいよ❤ほらほらぁ❤,他の人も同じぐらい簡単に負けてくれるといいなぁ❤戦わないで済むし。みんなおっぱいでオナニーしていいよ❤ほらほらぁ❤
んー、すごい小さくなったね。妖精のわたしよりもさらに小さい…。,んー、すごい小さくなったね。妖精のわたしよりもさらに小さい…。
これなら軽そうだし、適当におっぱいに挟んでたら\n簡単にイかせられるかな？,これなら軽そうだし、適当におっぱいに挟んでたら\n簡単にイかせられるかな？
んじゃ、揺らすね。よいしょっ・・・❤,んじゃ、揺らすね。よいしょっ・・・❤
イクんだ？いいよ❤パイズリで負けちゃえ❤ほら、ずりずりー❤,イクんだ？いいよ❤パイズリで負けちゃえ❤ほら、ずりずりー❤
あん、逃げなくてもいいのに。\nおっぱいに埋もれるなんてなかなかできないよ？,あん、逃げなくてもいいのに。\nおっぱいに埋もれるなんてなかなかできないよ？
もう魔法の効果は切れちゃったみたいだし、\n体の大きさも元に戻っちゃったね。残念❤,もう魔法の効果は切れちゃったみたいだし、\n体の大きさも元に戻っちゃったね。残念❤
おっぱいゆさゆさー・・・❤,おっぱいゆさゆさー・・・❤
やわらかい？どんどん谷間にはまり込んでいくね。ふふふ❤,やわらかい？どんどん谷間にはまり込んでいくね。ふふふ❤
射精するまで楽しんでいいよ。,射精するまで楽しんでいいよ。
くすくす❤そんな大きさじゃわたしにはもう勝てないね。,くすくす❤そんな大きさじゃわたしにはもう勝てないね。
ずりずり❤ずりずり❤おっぱいの中楽しい？,ずりずり❤ずりずり❤おっぱいの中楽しい？
このまま一歩も動かないで倒せるかな。ほらほら❤おっぱいゆさゆさ❤,このまま一歩も動かないで倒せるかな。ほらほら❤おっぱいゆさゆさ❤
上に持ち上げてから、たぷん。ふふ、おっぱいで体中もみくちゃだね。,上に持ち上げてから、たぷん。ふふ、おっぱいで体中もみくちゃだね。
体を小さくされてまで頑張らなくてもいいんじゃない？\nパイズリの気持ちよさに負けちゃお？,体を小さくされてまで頑張らなくてもいいんじゃない？\nパイズリの気持ちよさに負けちゃお？
両手でおっぱい動かすのもけっこう大変かも。早く射精しないかなー。,両手でおっぱい動かすのもけっこう大変かも。早く射精しないかなー。
頭からっぽにしておっぱい楽しんでいいよ❤,頭からっぽにしておっぱい楽しんでいいよ❤
ふふ、完全に無抵抗❤挟まれたときからイクことで頭いっぱいみたいだね。,ふふ、完全に無抵抗❤挟まれたときからイクことで頭いっぱいみたいだね。
んー、暴れるのはやめにしたの？その方がいいよ。わたしとしても楽で助かるし。,んー、暴れるのはやめにしたの？その方がいいよ。わたしとしても楽で助かるし。
おっぱいにメロメロだね。くすくす❤,おっぱいにメロメロだね。くすくす❤
気持ちよすぎて逃げる気なくなっちゃった？,気持ちよすぎて逃げる気なくなっちゃった？
パイズリで射精したい？いいよ、そのままじっとしててね❤,パイズリで射精したい？いいよ、そのままじっとしててね❤
ふふ、マスターなのにパイズリされるがままだね。おっぱい好きなの？,ふふ、マスターなのにパイズリされるがままだね。おっぱい好きなの？
上級モンスターなのに低レベルモンスターにされるがまま。\n気持ちよくて暴れるのもやめちゃったね。,上級モンスターなのに低レベルモンスターにされるがまま。\n気持ちよくて暴れるのもやめちゃったね。
じっとしててくれてうれしいなー。\nお礼にパイズリで腰ごとおちんちんを気持ちよくしてあげる❤,じっとしててくれてうれしいなー。\nお礼にパイズリで腰ごとおちんちんを気持ちよくしてあげる❤
何もしてないのに勝手に負けてくれてありがと❤\nくすくす❤これだけ楽な試合もそんなにないよ❤,何もしてないのに勝手に負けてくれてありがと❤\nくすくす❤これだけ楽な試合もそんなにないよ❤
くす、おっぱいで興奮して射精しちゃったんだ❤\n妖精おっぱい見せつけられただけでイクなんて、とっても弱いのね❤,くす、おっぱいで興奮して射精しちゃったんだ❤\n妖精おっぱい見せつけられただけでイクなんて、とっても弱いのね❤
くすくす❤雑にさわってただけなのにもう射精してる❤\n小さい手でおちんちんいじめられて、こんなに出しちゃうんだね❤,くすくす❤雑にさわってただけなのにもう射精してる❤\n小さい手でおちんちんいじめられて、こんなに出しちゃうんだね❤
ミレーヌさんが使う小さなフェアリーモンスターに敗れた僕は、闘技場の地面に膝をついてうずくまっていた。,ミレーヌさんが使う小さなフェアリーモンスターに敗れた僕は、闘技場の地面に膝をついてうずくまっていた。
決着ー！！勝者はミレーヌ選手！,決着ー！！勝者はミレーヌ選手！
妖精モンスターに翻弄され、\n期待のルーキーはあえなく撃沈！\nDランクマスターたち相手に、連勝は難しかったか！,妖精モンスターに翻弄され、\n期待のルーキーはあえなく撃沈！\nDランクマスターたち相手に、連勝は難しかったか！
あは、ほとんど動かないで勝てちゃった。\n手の平サイズの妖精にてきとーに相手されて\n射精させられちゃうなんて、カッコ悪いね❤,あは、ほとんど動かないで勝てちゃった。\n手の平サイズの妖精にてきとーに相手されて\n射精させられちゃうなんて、カッコ悪いね❤
わたしに続きをしてほしい？\nしてほしいならしてあげるよ。\n代わりに、わたしのところまで自分で歩いてきてね❤,わたしに続きをしてほしい？\nしてほしいならしてあげるよ。\n代わりに、わたしのところまで自分で歩いてきてね❤
あうう・・・❤もっと・・・❤,あうう・・・❤もっと・・・❤
くすくす❤まともに歩けないはずなのに、\nそれでもふらふら妖精に向かって近づいて、\nすっかりあの子に夢中みたいね❤,くすくす❤まともに歩けないはずなのに、\nそれでもふらふら妖精に向かって近づいて、\nすっかりあの子に夢中みたいね❤
妖精の快楽をもっと楽しみたいなら手伝ってあげる❤\n＜ミニマムマジック＞を発動！,妖精の快楽をもっと楽しみたいなら手伝ってあげる❤\n＜ミニマムマジック＞を発動！
見上げるほどわたしが大きくなって驚いちゃった？\n実際はあなたがアリみたいに小さくなっているのよ。,見上げるほどわたしが大きくなって驚いちゃった？\n実際はあなたがアリみたいに小さくなっているのよ。
シトラスちゃんはめんどくさがりだから、\n豆粒みたいなあなたはわたしが運んであげる。\n指で背中をつまみあげて、天国みたいな場所にご招待よ❤,シトラスちゃんはめんどくさがりだから、\n豆粒みたいなあなたはわたしが運んであげる。\n指で背中をつまみあげて、天国みたいな場所にご招待よ❤
天国ってどこだと思う？\n正解はわたしの谷間❤\nはい、おいで～❤,天国ってどこだと思う？\n正解はわたしの谷間❤\nはい、おいで～❤
こうやっておっぱいまで運んでもらえると楽でいいよね。\nあとはただおっぱいを動かすだけでいいし❤,こうやっておっぱいまで運んでもらえると楽でいいよね。\nあとはただおっぱいを動かすだけでいいし❤
ゆさゆさゆさって軽く揺らしてるだけで、\nおいしい魔力がどぴゅどぴゅ搾れちゃうの❤\nらくちん～❤,ゆさゆさゆさって軽く揺らしてるだけで、\nおいしい魔力がどぴゅどぴゅ搾れちゃうの❤\nらくちん～❤
あひっ、あふぅっ❤すごいっ❤\nああっ、きもちよくてっ、あっ、あっ、もうっ❤,あひっ、あふぅっ❤すごいっ❤\nああっ、きもちよくてっ、あっ、あっ、もうっ❤
あは❤もうイっちゃうの？\n挟んだばっかりなのに早すぎじゃない？,あは❤もうイっちゃうの？\n挟んだばっかりなのに早すぎじゃない？
わたしの巨乳に体中ズリズリされるの、気持ちよすぎちゃったかな❤\nキミみたいなザコちんちんじゃ耐えられないか❤,わたしの巨乳に体中ズリズリされるの、気持ちよすぎちゃったかな❤\nキミみたいなザコちんちんじゃ耐えられないか❤
いいよ、すぐ出してくれた方が楽だし❤\nほらほら、出して出して❤\n激しくゆさゆさ～❤,いいよ、すぐ出してくれた方が楽だし❤\nほらほら、出して出して❤\n激しくゆさゆさ～❤
はぐぅうっ❤あっ、ああっ❤,はぐぅうっ❤あっ、ああっ❤
んふふ❤濃い魔力がたっぷり出てる❤\nほんとに全然耐えられなかったね。,んふふ❤濃い魔力がたっぷり出てる❤\nほんとに全然耐えられなかったね。
これだけ簡単に射精してくれてそのうえ魔力もおいしいし人、\nけっこう珍しいかも❤,これだけ簡単に射精してくれてそのうえ魔力もおいしいし人、\nけっこう珍しいかも❤
いつでも魔力補給ができるように、\n谷間にずっといてほしいぐらいだよ❤\nネックレスみたいに首からかけておこうかな～❤,いつでも魔力補給ができるように、\n谷間にずっといてほしいぐらいだよ❤\nネックレスみたいに首からかけておこうかな～❤
あは、こんなこと言われて喜んじゃってるし❤\n妖精の谷間に住みたいの？うれしそうな顔をして、\nおちんちんも固くして、ヘンタイだね❤くすくす❤,あは、こんなこと言われて喜んじゃってるし❤\n妖精の谷間に住みたいの？うれしそうな顔をして、\nおちんちんも固くして、ヘンタイだね❤くすくす❤
小人化の効果はあまり長く続かないから、\nとりあえず搾れるだけ搾ったら解放してあげる❤\n束の間の天国を楽しんで、その分たっぷり魔力をごちそうしてね❤,小人化の効果はあまり長く続かないから、\nとりあえず搾れるだけ搾ったら解放してあげる❤\n束の間の天国を楽しんで、その分たっぷり魔力をごちそうしてね❤
さっきあんなに出したのにおちんちんガチガチだね❤\nおっぱいでまたズリズリされてうれしい？\n気持ちよくて腰が溶けちゃいそう？,さっきあんなに出したのにおちんちんガチガチだね❤\nおっぱいでまたズリズリされてうれしい？\n気持ちよくて腰が溶けちゃいそう？
おっぱいを持ち上げて、ちょっと揺らしてるだけなのにね❤\n片手間で何回もイかされちゃって恥ずかしくないのかな❤うりうり❤,おっぱいを持ち上げて、ちょっと揺らしてるだけなのにね❤\n片手間で何回もイかされちゃって恥ずかしくないのかな❤うりうり❤
あひ、あっ、そんなこと言われてもっ❤\nあひぃっ❤❤きもちよすぎてっ❤ああっ❤❤❤,あひ、あっ、そんなこと言われてもっ❤\nあひぃっ❤❤きもちよすぎてっ❤ああっ❤❤❤
くすくす❤雑に激しく揺らされるの興奮しちゃう？\nパイズリテクとか考えないで揺らしてるんだけど、\nたくさん喘ぎ声が出ちゃうね❤,くすくす❤雑に激しく揺らされるの興奮しちゃう？\nパイズリテクとか考えないで揺らしてるんだけど、\nたくさん喘ぎ声が出ちゃうね❤
ほらほら、もっと激しく揺らしてあげる❤\nまたおいしい精液出してね～❤ゆさゆさゆさっ♪,ほらほら、もっと激しく揺らしてあげる❤\nまたおいしい精液出してね～❤ゆさゆさゆさっ♪
あは、おいしい～❤もっともっと、ほらほらぁ❤,あは、おいしい～❤もっともっと、ほらほらぁ❤
くすくす❤気絶しちゃった❤\n小さい妖精にこんなに骨抜きにされちゃって、\nカッコ悪いマスターくん❤,くすくす❤気絶しちゃった❤\n小さい妖精にこんなに骨抜きにされちゃって、\nカッコ悪いマスターくん❤
それからしばらくして。,それからしばらくして。
あら、誰かと思えばこの間のルーキーくんじゃない。\nお店に来てくれたのね。うれしい❤,あら、誰かと思えばこの間のルーキーくんじゃない。\nお店に来てくれたのね。うれしい❤
え？また試合の時の魔法をかけてほしいって？\nあのときされたパイズリが忘れられなくて、それで修行が手につかない？,え？また試合の時の魔法をかけてほしいって？\nあのときされたパイズリが忘れられなくて、それで修行が手につかない？
くすくす❤新人マスターくんの性癖をだいぶゆがめちゃったみたいね❤\nうーん、でもただでそんなことしてあげる理由もないのよね。,くすくす❤新人マスターくんの性癖をだいぶゆがめちゃったみたいね❤\nうーん、でもただでそんなことしてあげる理由もないのよね。
あら、これはお金？\nふふふ❤わたしに頼むためにこんなにたくさんお金を用意してきたんだ❤\n必死過ぎてかわいいわ❤,あら、これはお金？\nふふふ❤わたしに頼むためにこんなにたくさんお金を用意してきたんだ❤\n必死過ぎてかわいいわ❤
しょうがない。特別よ？\n{自分}、こっちに来なさい。,しょうがない。特別よ？\n{自分}、こっちに来なさい。
えー、行くのめんどくさーい。なに～？\nって、あ、この間の弱いマスターくんじゃない。,えー、行くのめんどくさーい。なに～？\nって、あ、この間の弱いマスターくんじゃない。
んふふ、そっかまたわたしに魔力を搾り取ってほしいんだ❤\n体中をおっぱいでズリズリされるの気持ちよかったもんねー❤,んふふ、そっかまたわたしに魔力を搾り取ってほしいんだ❤\n体中をおっぱいでズリズリされるの気持ちよかったもんねー❤
お金をマスターにたくさん持ってきてまで頼むなんて……。\nえ？こっちはわたしのためのお菓子？\nんふふ❤わたしにも持ってくるなんて偉いじゃん❤,お金をマスターにたくさん持ってきてまで頼むなんて……。\nえ？こっちはわたしのためのお菓子？\nんふふ❤わたしにも持ってくるなんて偉いじゃん❤
ま、いまお客さんも少ないし、いいよ❤気持ちよくしてあげる❤\nマスターもわたしがこれだけお金を稼いだなら、\n酒場でのお仕事はなしにしてくれるでしょ？,ま、いまお客さんも少ないし、いいよ❤気持ちよくしてあげる❤\nマスターもわたしがこれだけお金を稼いだなら、\n酒場でのお仕事はなしにしてくれるでしょ？
そうね。魔力もお金ももらえるなら悪くないし、いいわよ。\n魔力搾精が終わったら、今日はあなたの仕事はおしまいにしてあげる。,そうね。魔力もお金ももらえるなら悪くないし、いいわよ。\n魔力搾精が終わったら、今日はあなたの仕事はおしまいにしてあげる。
それじゃあ小人化の魔法をかけるわね♪\n＜ミニマムマジック＞を発動❤,それじゃあ小人化の魔法をかけるわね♪\n＜ミニマムマジック＞を発動❤
背中をつまんでおっぱいの中に入れてあげる。\nシトラスちゃんのパイズリをたっぷり楽しみなさい❤,背中をつまんでおっぱいの中に入れてあげる。\nシトラスちゃんのパイズリをたっぷり楽しみなさい❤
お客さんに気づかれないように、カウンターの下でいじめてあげるね❤\nあなたもわたしも小さいから、隠れながらエッチなことするには便利だね。,お客さんに気づかれないように、カウンターの下でいじめてあげるね❤\nあなたもわたしも小さいから、隠れながらエッチなことするには便利だね。
でもあんまり大きな声出すと気づかれちゃうから、\n少しは喘ぎ声抑えないとダメだよ？\nほらほらほら♪,でもあんまり大きな声出すと気づかれちゃうから、\n少しは喘ぎ声抑えないとダメだよ？\nほらほらほら♪
はひぃっ❤きもちいいっ❤\nしあわせぇ❤,はひぃっ❤きもちいいっ❤\nしあわせぇ❤
その後、僕はすっかり{自分}の与える快楽の虜になってしまった。,その後、僕はすっかり{自分}の与える快楽の虜になってしまった。
Aランクを目指すためには、闘技場で戦績を残さなければならない。しかし、僕は試合も修行も放り出し、{自分}に気持ちよくしてもらうためだけにひたすらお金稼ぎに時間を使うようになった。,Aランクを目指すためには、闘技場で戦績を残さなければならない。しかし、僕は試合も修行も放り出し、{自分}に気持ちよくしてもらうためだけにひたすらお金稼ぎに時間を使うようになった。
