default
ヤツメ,雅次
先攻はそちらからか。\nどういう動きをするのか、観察させてもらうとしよう。,先攻はそちらからか。\nどういう動きをするのか、観察させてもらうとしよう。
わたしの脚をぼーっと見つめてどうした？\nやはりこの脚でいじめてほしくなったか？ふふふ❤,わたしの脚をぼーっと見つめてどうした？\nやはりこの脚でいじめてほしくなったか？ふふふ❤
それでは、わたしのターンからだ。\n糸でしばりつける前から\n欲望に囚われているお前など、すぐに敗北させてやる,それでは、わたしのターンからだ。\n糸でしばりつける前から\n欲望に囚われているお前など、すぐに敗北させてやる
わたしのターンからだ。,わたしのターンからだ。
(ううっ・・・・❤),(ううっ・・・・❤)
ドローする。,ドローする。
わたしのターンだね。ドロー！,わたしのターンだね。ドロー！
モンスターをコストにして、{使用カード}を上級召喚する！,モンスターをコストにして、{使用カード}を上級召喚する！
{使用カード}を召喚！,{使用カード}を召喚！
ううっ、あうう・・・❤,ううっ、あうう・・・❤
肉体を再構成されても、敗北の味が忘れられないか❤\nふっ、マゾめ❤,肉体を再構成されても、敗北の味が忘れられないか❤\nふっ、マゾめ❤
しょせん男などその程度だ。\nさっさとまたその体から魔力を搾り出してやろう❤\nククク❤,しょせん男などその程度だ。\nさっさとまたその体から魔力を搾り出してやろう❤\nククク❤
さらにもう1枚発動！,さらにもう1枚発動！
{使用カード}の通常召喚に成功した時、手札を1枚捨てて効果を発動！\nデッキから罠カードをランダムに２枚手札に加える！,{使用カード}の通常召喚に成功した時、手札を1枚捨てて効果を発動！\nデッキから罠カードをランダムに２枚手札に加える！
{使用カード}の通常召喚に成功した時、手札を1枚捨てて効果を発動！\nデッキからトラップカードをランダムに２枚手札に加える！,{使用カード}の通常召喚に成功した時、手札を1枚捨てて効果を発動！\nデッキからトラップカードをランダムに２枚手札に加える！
通常召喚に成功した時、{使用カード}の効果を発動！\n相手フィールド上のモンスターに500ポイントのダメージを与え、「拘束」を付与する！,通常召喚に成功した時、{使用カード}の効果を発動！\n相手フィールド上のモンスターに500ポイントのダメージを与え、「拘束」を付与する！
{使用カード}の召喚に成功した時、効果を発動！\n相手モンスター１体を蜘蛛の糸で拘束する！,{使用カード}の召喚に成功した時、効果を発動！\n相手モンスター１体を蜘蛛の糸で拘束する！
相手モンスターを破壊した時、{使用カード}の効果発動！\n墓地からトラップカードをランダムに１枚手札に加える！,相手モンスターを破壊した時、{使用カード}の効果発動！\n墓地からトラップカードをランダムに１枚手札に加える！
相手モンスターを破壊した時、{使用カード}の効果発動！\n墓地からトラップカードをランダムに１枚手札に戻す！,相手モンスターを破壊した時、{使用カード}の効果発動！\n墓地からトラップカードをランダムに１枚手札に戻す！
トラップカードを使用した時、{使用カード}の効果を発動！\nデッキから「蜘蛛」と名の付くカードをランダムに１枚手札に加える！,トラップカードを使用した時、{使用カード}の効果を発動！\nデッキから「蜘蛛」と名の付くカードをランダムに１枚手札に加える！
トラップカードを使用した時、{使用カード}の効果を発動！\nデッキから「蜘蛛」と名の付くカードをランダムに１枚サーチだ！,トラップカードを使用した時、{使用カード}の効果を発動！\nデッキから「蜘蛛」と名の付くカードをランダムに１枚サーチだ！
蜘蛛の巣ですべてを覆ってしまおうか。\n永続魔法、{使用カード}を発動！,蜘蛛の巣ですべてを覆ってしまおうか。\n永続魔法、{使用カード}を発動！
このカードが存在する限り、\n自分の虫タイプモンスターはHPと攻撃力が300ポイントアップする。\nさらに「アラクネ」が出るたびにトラップカードを手札に加えられる。,このカードが存在する限り、\n自分の虫タイプモンスターはHPと攻撃力が300ポイントアップする。\nさらに「アラクネ」が出るたびにトラップカードを手札に加えられる。
蜘蛛の糸で、貴様も、貴様のモンスターも、\nがんじがらめにしてあげよう。ふふふ❤,蜘蛛の糸で、貴様も、貴様のモンスターも、\nがんじがらめにしてあげよう。ふふふ❤
「アラクネ」モンスターを通常召喚した時、\n{使用カード}の効果を発動！\nデッキから罠カードをランダムに１枚手札に加える！,「アラクネ」モンスターを通常召喚した時、\n{使用カード}の効果を発動！\nデッキから罠カードをランダムに１枚手札に加える！
「アラクネ」モンスターの通常召喚に成功した時、\n{使用カード}の効果を発動！\nデッキから罠カードをランダムに１枚手札に加える！,「アラクネ」モンスターの通常召喚に成功した時、\n{使用カード}の効果を発動！\nデッキから罠カードをランダムに１枚手札に加える！
「アラクネ」モンスターが存在する場合、\n１ターンに１度相手モンスターの召喚時に効果発動！\nそのモンスターに「拘束」を付与する！,「アラクネ」モンスターが存在する場合、\n１ターンに１度相手モンスターの召喚時に効果発動！\nそのモンスターに「拘束」を付与する！
糸に絡まるといい！「アラクネ」モンスターが存在する場合、\n１ターンに１度、相手の召喚時に効果発動！\nそのモンスターに「拘束」を付与する！,糸に絡まるといい！「アラクネ」モンスターが存在する場合、\n１ターンに１度、相手の召喚時に効果発動！\nそのモンスターに「拘束」を付与する！
拘束を補強させてもらうよ。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態は３ターン延長される！,拘束を補強させてもらうよ。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態は３ターン延長される！
脱出は諦めることだね。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！,脱出は諦めることだね。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！
相手の攻撃宣言時、LPを500払って{使用カード}を発動！\n攻撃してきたキャラクターに「拘束」を付与する！,相手の攻撃宣言時、LPを500払って{使用カード}を発動！\n攻撃してきたキャラクターに「拘束」を付与する！
相手の攻撃宣言時、LPを500払って{使用カード}を発動！\n「拘束」を付与して戦闘能力を奪わせてもらう！,相手の攻撃宣言時、LPを500払って{使用カード}を発動！\n「拘束」を付与して戦闘能力を奪わせてもらう！
「アラクネ」モンスターの攻撃宣言時に、{使用カード}を発動！\n攻撃力を300ポイントアップし、毒の牙を付与する！,「アラクネ」モンスターの攻撃宣言時に、{使用カード}を発動！\n攻撃力を300ポイントアップし、毒の牙を付与する！
「アラクネ」モンスターの攻撃宣言時に、{使用カード}を発動！\n攻撃力を300ポイントアップし、\nさらに戦闘時に相手に毒を付与する能力を与える！,「アラクネ」モンスターの攻撃宣言時に、{使用カード}を発動！\n攻撃力を300ポイントアップし、\nさらに戦闘時に相手に毒を付与する能力を与える！
「アラクネ」モンスターが破壊されたとき、\n{使用カード}を発動！わたしのターン終了時に、\n破壊されたモンスターと同じモンスターを特殊召喚する！,「アラクネ」モンスターが破壊されたとき、\n{使用カード}を発動！わたしのターン終了時に、\n破壊されたモンスターと同じモンスターを特殊召喚する！
ターン終了時に{使用カード}を発動！\n破壊されたモンスターと同じモンスターを、\n自分フィールド上に特殊召喚する！,ターン終了時に{使用カード}を発動！\n破壊されたモンスターと同じモンスターを、\n自分フィールド上に特殊召喚する！
孵化の時間だ。ターン終了時に{使用カード}を発動！\n破壊されたモンスターと同じモンスターを、\n自分フィールド上に特殊召喚する！,孵化の時間だ。ターン終了時に{使用カード}を発動！\n破壊されたモンスターと同じモンスターを、\n自分フィールド上に特殊召喚する！
ふ、自由にできると思ったか？\nモンスターの効果発動時に{使用カード}を発動！\n効果を無効にし、さらに「拘束」を付与する！,ふ、自由にできると思ったか？\nモンスターの効果発動時に{使用カード}を発動！\n効果を無効にし、さらに「拘束」を付与する！
ふふ、その行動は通らない。\nモンスターの効果発動時に{使用カード}を発動！\n効果を無効にして「拘束」を付与する！,ふふ、その行動は通らない。\nモンスターの効果発動時に{使用カード}を発動！\n効果を無効にして「拘束」を付与する！
装備魔法カード発動！{使用カード}！,装備魔法カード発動！{使用カード}！
魔法カードを発動！{使用カード}！,魔法カードを発動！{使用カード}！
トラップカードを発動！{使用カード}！,トラップカードを発動！{使用カード}！
通常召喚に成功した時、{使用カード}の効果を発動！\n相手フィールド上のモンスターに500ポイントのダメージを与え、\n「拘束」を付与だ！,通常召喚に成功した時、{使用カード}の効果を発動！\n相手フィールド上のモンスターに500ポイントのダメージを与え、\n「拘束」を付与だ！
{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！,{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！
脱出は諦めることだ。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！,脱出は諦めることだ。{使用カード}を発動！\nすべての相手キャラクターの「拘束」状態を３ターン延長する！
カードをセットする。,カードをセットする。
カードを伏せる。,カードを伏せる。
ふ、もてあそんでやろう。{防御カード}を攻撃！,ふ、もてあそんでやろう。{防御カード}を攻撃！
わたしの攻撃の番だ。{防御カード}へ攻撃！,わたしの攻撃の番だ。{防御カード}へ攻撃！
行け！{使用カード}で{防御カード}を攻撃！,行け！{使用カード}で{防御カード}を攻撃！
罠は万全。\nさあどこからでもかかってくるといい。\nターンエンド。,罠は万全。\nさあどこからでもかかってくるといい。\nターンエンド。
ぐっ、どうにもならないな…。ターンエンド…。,ぐっ、どうにもならないな…。ターンエンド…。
手札が悪い…。ターンエンド…。,手札が悪い…。ターンエンド…。
ターン終了。,ターン終了。
わたしのターンは終わりだ。ターンエンド。,わたしのターンは終わりだ。ターンエンド。
これで終わりかな。ターンエンド。,これで終わりかな。ターンエンド。
ふふ、蜘蛛糸に絡めとられて無様だな❤\nどうだ、こうしてブーツを貴様の股にあてがわれても、\n跳ね除けることもできないだろう？,ふふ、蜘蛛糸に絡めとられて無様だな❤\nどうだ、こうしてブーツを貴様の股にあてがわれても、\n跳ね除けることもできないだろう？
わたしの足を男の弱点を踏みにじられて、どんな声で鳴くか楽しみだな❤\nどれだけ強い快感であってもそこから逃れることはできない。\nほらほらほら❤たっぷり喘げ、マゾ豚が❤,わたしの足を男の弱点を踏みにじられて、どんな声で鳴くか楽しみだな❤\nどれだけ強い快感であってもそこから逃れることはできない。\nほらほらほら❤たっぷり喘げ、マゾ豚が❤
蜘蛛の糸でぐるぐる巻きにされた気分はどうだ？\n貴様は捕食を待つだけの獲物というわけだ。,蜘蛛の糸でぐるぐる巻きにされた気分はどうだ？\n貴様は捕食を待つだけの獲物というわけだ。
こんな時、蜘蛛ならずぶりと噛みつくところだが、\nあいにくわたしには牙はない。\nだから、この足を牙代わりに使わせてもらおう。,こんな時、蜘蛛ならずぶりと噛みつくところだが、\nあいにくわたしには牙はない。\nだから、この足を牙代わりに使わせてもらおう。
なに、蜘蛛の牙にも劣らん威力さ❤\n男の股間にこれを押し当ててやれば、すぐに精を出して動けなくなる。\nほら、存分に踏み抜かれる快楽を味合わせてやる❤喜べ、マゾ豚❤,なに、蜘蛛の牙にも劣らん威力さ❤\n男の股間にこれを押し当ててやれば、すぐに精を出して動けなくなる。\nほら、存分に踏み抜かれる快楽を味合わせてやる❤喜べ、マゾ豚❤
糸に絡めとられて、もはや抵抗もかなうまい。\nわたしのこの足で、さっさと楽にしてやろう。,糸に絡めとられて、もはや抵抗もかなうまい。\nわたしのこの足で、さっさと楽にしてやろう。
たとえ自由に動けたとしても、ぐりぐりと股間を踏みつけてやれば、\n男は快感に喘いで、脱出できなくなる。\nましてやその状態では、腰を動かして快楽を逃がすこともできないだろう？,たとえ自由に動けたとしても、ぐりぐりと股間を踏みつけてやれば、\n男は快感に喘いで、脱出できなくなる。\nましてやその状態では、腰を動かして快楽を逃がすこともできないだろう？
どれだけ盛大にイくか、楽しみだな❤\nほら、ブーツをぴたりと押し当てて、\n動かすぞ？天国を見せてやる❤,どれだけ盛大にイくか、楽しみだな❤\nほら、ブーツをぴたりと押し当てて、\n動かすぞ？天国を見せてやる❤
ほら、ブーツで踏みつけてやろう。\nマゾ豚にはご褒美だろう？,ほら、ブーツで踏みつけてやろう。\nマゾ豚にはご褒美だろう？
ズボンの上から、ぐりぐりとねじるように足を動かす。\nこれだけで男の顔は快楽に歪む。\n貴様も喘ぎ声が漏れているな❤マゾめ❤,ズボンの上から、ぐりぐりとねじるように足を動かす。\nこれだけで男の顔は快楽に歪む。\n貴様も喘ぎ声が漏れているな❤マゾめ❤
男を調教するのは簡単だ。\n足をズボンに乗せながら、前後にこするように動かす…。\nたったそれだけでいい❤,男を調教するのは簡単だ。\n足をズボンに乗せながら、前後にこするように動かす…。\nたったそれだけでいい❤
こうして擦られてみれば、貴様もよくわかるだろう？\n自分の大事な箇所を足蹴にされているというのに、\nブーツの圧力を感じるたびに気持ちよくてたまらないはずだ❤,こうして擦られてみれば、貴様もよくわかるだろう？\n自分の大事な箇所を足蹴にされているというのに、\nブーツの圧力を感じるたびに気持ちよくてたまらないはずだ❤
女に屈服する喜びを知れば、男は歯向かえなくなる❤\nほら、この足でたっぷり教えてやろう。,女に屈服する喜びを知れば、男は歯向かえなくなる❤\nほら、この足でたっぷり教えてやろう。
ふむ。ちらちらと足に視線を感じるな。\nそんな注意力では、ほら、簡単に足払いを決められてしまうぞ。,ふむ。ちらちらと足に視線を感じるな。\nそんな注意力では、ほら、簡単に足払いを決められてしまうぞ。
地面に寝転んで無様だな。\n敵の体を見ず、足ばかり見ているからそうなる。\n無防備なお前の弱点を、たっぷり踏み抜いてやろう❤,地面に寝転んで無様だな。\n敵の体を見ず、足ばかり見ているからそうなる。\n無防備なお前の弱点を、たっぷり踏み抜いてやろう❤
ほらほらほら❤\nぐりぐりと踏まれてうれしいか？\nこの変態が。,ほらほらほら❤\nぐりぐりと踏まれてうれしいか？\nこの変態が。
糸に縛られた気分はどうだ？\n案外悪くないだろう？なにせ、貴様が受けるのは、きついむち打ちではなく\nわたしのあまぁい快楽だ❤,糸に縛られた気分はどうだ？\n案外悪くないだろう？なにせ、貴様が受けるのは、きついむち打ちではなく\nわたしのあまぁい快楽だ❤
ほら、乳首をカリカリと弾きながら、\nわたしのふとももでたっぷり"お仕置き"してやろう❤\n膝裏にぎゅっと捕まえて、前後に脚を動かしてしごくのさ。,ほら、乳首をカリカリと弾きながら、\nわたしのふとももでたっぷり"お仕置き"してやろう❤\n膝裏にぎゅっと捕まえて、前後に脚を動かしてしごくのさ。
パンパンパン♪お前の腰にふとももが当たるたびに音がしているな❤\nふ、顔がとろとろじゃないか。\nどうした？もう屈服したいのか？出したければ出せ、雑魚が❤,パンパンパン♪お前の腰にふとももが当たるたびに音がしているな❤\nふ、顔がとろとろじゃないか。\nどうした？もう屈服したいのか？出したければ出せ、雑魚が❤
ふふ、縛られて動けないか？無様だな❤\nわたしの脚で一方的にいたぶってやろうじゃないか。,ふふ、縛られて動けないか？無様だな❤\nわたしの脚で一方的にいたぶってやろうじゃないか。
肉付きのいい脚に挟まれるのはたまらんだろう？\n捕食者の口のように、わたしのふとももとふくらはぎで\n貴様のチンポは今から食べられるんだ❤,肉付きのいい脚に挟まれるのはたまらんだろう？\n捕食者の口のように、わたしのふとももとふくらはぎで\n貴様のチンポは今から食べられるんだ❤
ふ、想像しただけで腰をビクビクさせているな❤\n糸で縛られて動けぬくせに、ヘコヘコ、ヘコヘコと…❤\nなんと弱い理性だろうか❤,ふ、想像しただけで腰をビクビクさせているな❤\n糸で縛られて動けぬくせに、ヘコヘコ、ヘコヘコと…❤\nなんと弱い理性だろうか❤
男など所詮そういうものだ。\nほら、脚を動かしてやるから快楽にむせび泣け❤マゾ豚❤,男など所詮そういうものだ。\nほら、脚を動かしてやるから快楽にむせび泣け❤マゾ豚❤
くすくす❤後ろ手を縛られて、みっともない姿だな。\nそんな状態だというのに、チンポは固くして、興奮しているのか？\nよほどわたしにお仕置きされたいらしい❤,くすくす❤後ろ手を縛られて、みっともない姿だな。\nそんな状態だというのに、チンポは固くして、興奮しているのか？\nよほどわたしにお仕置きされたいらしい❤
ほら、これがいいんだろう？\n男の弱点を脚で挟んで、快楽のサンドイッチだ。\nこのまますりつぶすぐらいに圧力をかけてやろう❤,ほら、これがいいんだろう？\n男の弱点を脚で挟んで、快楽のサンドイッチだ。\nこのまますりつぶすぐらいに圧力をかけてやろう❤
ふふふ、痛がるどころか喜んでいるじゃないか。このマゾめ❤\nどうせ１分と持つまい。\n脚に押しつぶされて、さっさと果てろ。雑魚が❤,ふふふ、痛がるどころか喜んでいるじゃないか。このマゾめ❤\nどうせ１分と持つまい。\n脚に押しつぶされて、さっさと果てろ。雑魚が❤
膝裏で挟んでしごいてやろう。\n快楽にどれだけ耐えられるかな？,膝裏で挟んでしごいてやろう。\n快楽にどれだけ耐えられるかな？
ふふ、なんて固さだ。すっかりギンギンじゃないか❤\nわたしの膝裏を女性器か何かと勘違いしているのか？\n残念だが、いくら射精してもわたしを孕ませることなどできないぞ。,ふふ、なんて固さだ。すっかりギンギンじゃないか❤\nわたしの膝裏を女性器か何かと勘違いしているのか？\n残念だが、いくら射精してもわたしを孕ませることなどできないぞ。
貴様ができるのは、ぶひぶひ鳴きながら\nふとももとふくらはぎに精を搾り取られることだけだ。\nほら、動かしてやる。さっさと屈服しろ、マゾ豚❤,貴様ができるのは、ぶひぶひ鳴きながら\nふとももとふくらはぎに精を搾り取られることだけだ。\nほら、動かしてやる。さっさと屈服しろ、マゾ豚❤
どうだ？わたしの脚は気持ちいいか？\nふふ、蜘蛛の糸で捕まえずとも、\nこうしてやればすぐに男は無抵抗になる❤,どうだ？わたしの脚は気持ちいいか？\nふふ、蜘蛛の糸で捕まえずとも、\nこうしてやればすぐに男は無抵抗になる❤
脚を前後に動かして、お前の情けないイチモツを扱いてやろう。\n泣いて喜べ。マゾが❤,脚を前後に動かして、お前の情けないイチモツを扱いてやろう。\n泣いて喜べ。マゾが❤
ふっ、接近すればこちらのものだ。\nズボンの上からさわさわと…❤男の弱点はここだろ？\n脚で挟んで気持ちよくしてやろう。,ふっ、接近すればこちらのものだ。\nズボンの上からさわさわと…❤男の弱点はここだろ？\n脚で挟んで気持ちよくしてやろう。
くくく、脚で挟んでやると言ったとたん、動きがにぶったな❤\nまったく、戦闘中だというのに呑気なものだ。\nそんなにわたしにいじめてほしかったか？このヘンタイ❤,くくく、脚で挟んでやると言ったとたん、動きがにぶったな❤\nまったく、戦闘中だというのに呑気なものだ。\nそんなにわたしにいじめてほしかったか？このヘンタイ❤
ほら、根元から先っぽまでぎゅっと締め付けながらしごいてやる。\n何往復耐えられるか見ものだな❤,ほら、根元から先っぽまでぎゅっと締め付けながらしごいてやる。\n何往復耐えられるか見ものだな❤
ううっ、気持ちよくしてください…❤\nおねがいします・・・❤,ううっ、気持ちよくしてください…❤\nおねがいします・・・❤
クク❤自分から快楽をねだるとは、\n見下げ果てた男だ。,クク❤自分から快楽をねだるとは、\n見下げ果てた男だ。
足で踏まれたいのか？\nふとももに挟まれたいのか？\nほら、ちゃんと周りに聞こえる声で言ってみろ。,足で踏まれたいのか？\nふとももに挟まれたいのか？\nほら、ちゃんと周りに聞こえる声で言ってみろ。
踏まれて射精したいのか。大声でねだって、この変態め❤\nいいぞ、みっともなく喘いで\nわたしの与える快楽を受け入れるがいい。,踏まれて射精したいのか。大声でねだって、この変態め❤\nいいぞ、みっともなく喘いで\nわたしの与える快楽を受け入れるがいい。
ふとももに搾り取られたいのか。大声でねだって、この変態め❤\nいいぞ、みっともなく喘いで\nわたしの与える快楽を受け入れるがいい。,ふとももに搾り取られたいのか。大声でねだって、この変態め❤\nいいぞ、みっともなく喘いで\nわたしの与える快楽を受け入れるがいい。
ふ、あっけない。\n足で簡単に搾り取られて、\nずいぶん早漏じゃないか。,ふ、あっけない。\n足で簡単に搾り取られて、\nずいぶん早漏じゃないか。
イったあともほら、ぐりぐりと刺激してやろう。\nククク❤気持ちよさそうに喘いで、\nこの変態め❤,イったあともほら、ぐりぐりと刺激してやろう。\nククク❤気持ちよさそうに喘いで、\nこの変態め❤
