default
ぱふぱふ処刑人,埋胸處刑人
あは、腕がぶらーんってなっちゃいましたね❤もう戦う気持ちなくなっちゃいましたか？,あは、腕がぶらーんってなっちゃいましたね❤もう戦う気持ちなくなっちゃいましたか？
でも、まだ反撃されたら怖いので、もっと力を抜き取っちゃいますね。ぱふぱふ❤ぱふぱふ❤,でも、まだ反撃されたら怖いので、もっと力を抜き取っちゃいますね。ぱふぱふ❤ぱふぱふ❤
はうぅっ…❤きもちいいぃ…❤,はうぅっ…❤きもちいいぃ…❤
そうでしょう、そうでしょう❤全身をなげうって、愛をその身に受けるのは気持ちいいものなのです❤,そうでしょう、そうでしょう❤全身をなげうって、愛をその身に受けるのは気持ちいいものなのです❤
その愛がたとえあなたを敗北へと導くものであっても、その快楽の前には抗うことはできません❤,その愛がたとえあなたを敗北へと導くものであっても、その快楽の前には抗うことはできません❤
顔をおっぱいでぱふぱふしながら、同時にペニスを脚でいじめてあげます❤わたしの体温をしっかり感じてください❤,顔をおっぱいでぱふぱふしながら、同時にペニスを脚でいじめてあげます❤わたしの体温をしっかり感じてください❤
はうっ、あううぅ…❤,はうっ、あううぅ…❤
うふふ❤そんなにもたれかかって、あなたは甘えんぼうさんですね❤,うふふ❤そんなにもたれかかって、あなたは甘えんぼうさんですね❤
体重をぐっとかけていいですよ。ペニスもそのままわたしのふとももの間に入れてしまってください。,体重をぐっとかけていいですよ。ペニスもそのままわたしのふとももの間に入れてしまってください。
裸の赤ん坊のように無力になったあなたを、肉厚なふとももの感触が天国へいざなうでしょう。この抱擁に耐えられる男の人なんていません❤,裸の赤ん坊のように無力になったあなたを、肉厚なふとももの感触が天国へいざなうでしょう。この抱擁に耐えられる男の人なんていません❤
さあ、心の準備はできましたか？どうぞ天国を味わってください❤,さあ、心の準備はできましたか？どうぞ天国を味わってください❤
あっ、あひぃっ…❤ああっ…❤,あっ、あひぃっ…❤ああっ…❤
うふふ❤ずいぶんと濃ゆく、長い射精…❤甘やかな快感と、強い刺激のせいでこんなにも出してしまうのですね❤,うふふ❤ずいぶんと濃ゆく、長い射精…❤甘やかな快感と、強い刺激のせいでこんなにも出してしまうのですね❤
わたしに愛を教えられるのは戦うことよりもずっと幸せだったでしょう？それでいいのです、よい学びができましたね❤,わたしに愛を教えられるのは戦うことよりもずっと幸せだったでしょう？それでいいのです、よい学びができましたね❤
あなたのエナジーのおかげで体調は万全です。さあ残りの戦いも頑張るとしましょう。,あなたのエナジーのおかげで体調は万全です。さあ残りの戦いも頑張るとしましょう。
うふふ❤わたしのマスターの勝利です。自滅、お疲れ様でした❤,うふふ❤わたしのマスターの勝利です。自滅、お疲れ様でした❤
ぱふぱふされてお漏らししちゃいましたね。気持ちよすぎて我慢する力がなくなっちゃったんですか？くすくす❤,ぱふぱふされてお漏らししちゃいましたね。気持ちよすぎて我慢する力がなくなっちゃったんですか？くすくす❤
シスターの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,シスターの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。
うふふ❤やはり教えの通りになりましたね。男の人では、快楽には勝てないのです❤,うふふ❤やはり教えの通りになりましたね。男の人では、快楽には勝てないのです❤
くっ、ぼくはまだ戦える…。,くっ、ぼくはまだ戦える…。
あらあら❤往生際が悪い❤,あらあら❤往生際が悪い❤
わがしもべよ、彼の闘志を折り取ってあげなさい。,わがしもべよ、彼の闘志を折り取ってあげなさい。
かしこまりました、マスター。,かしこまりました、マスター。
それではさきほどの続きをしましょうか。口では強がりを言っていますが、あなたも早くエッチな戦いを再開したいのでしょう？,それではさきほどの続きをしましょうか。口では強がりを言っていますが、あなたも早くエッチな戦いを再開したいのでしょう？
なにせさっきはオナニーで負けたんですもんね❤頭の上におっぱいを落とされただけで射精❤それでよくそんな強がりが言えたものです。くすくす❤,なにせさっきはオナニーで負けたんですもんね❤頭の上におっぱいを落とされただけで射精❤それでよくそんな強がりが言えたものです。くすくす❤
ペニスがギンギンになっているのがその証拠です。おっぱいに顔を無理やり押し付けられるの、とてもよかったのでしょう？またあれをしてあげますよ❤くすくす❤,ペニスがギンギンになっているのがその証拠です。おっぱいに顔を無理やり押し付けられるの、とてもよかったのでしょう？またあれをしてあげますよ❤くすくす❤
ううっ…❤それは…❤,ううっ…❤それは…❤
うふふ❤言葉に詰まってかわいらしい❤大丈夫、この先、何も余計なことは言わなくていいんですよ。こうやってあなたの顔を埋めてしまいますから…❤,うふふ❤言葉に詰まってかわいらしい❤大丈夫、この先、何も余計なことは言わなくていいんですよ。こうやってあなたの顔を埋めてしまいますから…❤
はふぅっ…❤,はふぅっ…❤
ぱふぱふ❤ぱふぱふ❤口をふさいでしまっているので、もう何もしゃべれませんね。ほら、ぱふぱふ❤ぱふぱふ❤,ぱふぱふ❤ぱふぱふ❤口をふさいでしまっているので、もう何もしゃべれませんね。ほら、ぱふぱふ❤ぱふぱふ❤
こうしてしまえば、どんなにだらしない顔をしていても、どんなに頭空っぽになっていても、誰にも見えません。,こうしてしまえば、どんなにだらしない顔をしていても、どんなに頭空っぽになっていても、誰にも見えません。
それってとっても幸せなことでしょう？こころおきなく柔らかい快楽に身をゆだねられるのですから❤,それってとっても幸せなことでしょう？こころおきなく柔らかい快楽に身をゆだねられるのですから❤
あっ、ああっ…❤ふあぁ…❤,あっ、ああっ…❤ふあぁ…❤
うふふ❤すっかり快感を受け入れちゃってる。喘ぎ声を出すばっかりで、もがくこともしないんですねー❤,うふふ❤すっかり快感を受け入れちゃってる。喘ぎ声を出すばっかりで、もがくこともしないんですねー❤
それじゃあ、このままぱふぱふだけで射精させましょうか。そんなカッコ悪い射精が嫌なら、頑張って少しは抵抗してくださいね❤,それじゃあ、このままぱふぱふだけで射精させましょうか。そんなカッコ悪い射精が嫌なら、頑張って少しは抵抗してくださいね❤
ほらほら、ぱふぱふ❤ぱふぱふ❤たくさんしてあげますよぉ❤ぱふぱふ❤ぱふぱふ❤,ほらほら、ぱふぱふ❤ぱふぱふ❤たくさんしてあげますよぉ❤ぱふぱふ❤ぱふぱふ❤
ひあっ、あっ、あひぃっ…❤,ひあっ、あっ、あひぃっ…❤
くすくす❤おっぱいで顔をぱふぱふするたびに、腰が細かく跳ねてます。射精したくてたまらないんですか？,くすくす❤おっぱいで顔をぱふぱふするたびに、腰が細かく跳ねてます。射精したくてたまらないんですか？
やっぱりわたしのマスターの言っていることの方が正しいみたいですね。男は戦いには向いていません。,やっぱりわたしのマスターの言っていることの方が正しいみたいですね。男は戦いには向いていません。
おっぱいを押し付けられるだけで、すぐに下半身の言いなりになって、戦闘不能になるのですから❤くすくす❤なんて弱い生き物なのでしょう。,おっぱいを押し付けられるだけで、すぐに下半身の言いなりになって、戦闘不能になるのですから❤くすくす❤なんて弱い生き物なのでしょう。
さあ、このまま自分の弱さを実感しながら、精をもらしなさい。とどめに強く頭をおっぱいに埋めてっと…❤,さあ、このまま自分の弱さを実感しながら、精をもらしなさい。とどめに強く頭をおっぱいに埋めてっと…❤
あふっ、ああっ…❤あひぃぇっ…❤,あふっ、ああっ…❤あひぃぇっ…❤
ペニスに触れられることもなく射精しなさい❤イケ❤雑魚マスター❤,ペニスに触れられることもなく射精しなさい❤イケ❤雑魚マスター❤
ふふふ❤おっぱいに顔を埋めながらわたしの脚にたくさんもらしましたね❤最初は威勢がよかったのに、こんなに出して恥ずかしい❤,ふふふ❤おっぱいに顔を埋めながらわたしの脚にたくさんもらしましたね❤最初は威勢がよかったのに、こんなに出して恥ずかしい❤
それにしても、あなたのペニスはまだ満足していないようです。わたしのふとももに依然としてガチガチのものが当たってますよ❤,それにしても、あなたのペニスはまだ満足していないようです。わたしのふとももに依然としてガチガチのものが当たってますよ❤
もっとイきたいのですか？ならば、ほら、自分から腰を振りなさい。,もっとイきたいのですか？ならば、ほら、自分から腰を振りなさい。
わたしのふとももに自分の意志でペニスをこすりつけるのです。すなわち自分から敗北をはっきりと認めるのです❤,わたしのふとももに自分の意志でペニスをこすりつけるのです。すなわち自分から敗北をはっきりと認めるのです❤
わたしのマスターもそれなら納得してくださるでしょう。ほら、どうぞ…❤わたしのふとももはあなたのペニスを可愛がりたがってますよ❤,わたしのマスターもそれなら納得してくださるでしょう。ほら、どうぞ…❤わたしのふとももはあなたのペニスを可愛がりたがってますよ❤
そう言うと彼女は、僕のペニスの先端だけをふとももの間に挟み、軽くふとももを擦り合わせてきた。,そう言うと彼女は、僕のペニスの先端だけをふとももの間に挟み、軽くふとももを擦り合わせてきた。
敏感な亀頭にじれったくも強い快感が流れ、腰が砕けそうになる。そのうえおっぱいから漂う甘い香りに頭がくらくらしてくる。,敏感な亀頭にじれったくも強い快感が流れ、腰が砕けそうになる。そのうえおっぱいから漂う甘い香りに頭がくらくらしてくる。
どうしますか？ほら、ほら…❤,どうしますか？ほら、ほら…❤
あ、ああっ❤だめなのに…っ❤ううっ❤,あ、ああっ❤だめなのに…っ❤ううっ❤
うふふ❤へこへこピストンがスタートしました❤プライドも何もないのですね、マスターさん❤,うふふ❤へこへこピストンがスタートしました❤プライドも何もないのですね、マスターさん❤
布越しですけれど、わたしのふともものお肉は気持ちいいですか？狭いところをペニスでかき分けて、まるでセックスのような快感でしょう？,布越しですけれど、わたしのふともものお肉は気持ちいいですか？狭いところをペニスでかき分けて、まるでセックスのような快感でしょう？
当然胸の方も、ぱふぱふ❤ぱふぱふ❤、\nちゃんと使って脳みそをたっぷり蕩けさせてあげます❤\nぱふぱふ❤ぱふぱふ❤,当然胸の方も、ぱふぱふ❤ぱふぱふ❤、\nちゃんと使って脳みそをたっぷり蕩けさせてあげます❤\nぱふぱふ❤ぱふぱふ❤
あひぃっ❤あへぇ…❤こしが、とまらないっ…❤あうう❤,あひぃっ❤あへぇ…❤こしが、とまらないっ…❤あうう❤
ふふ、いい感じにおバカになっているみたいですね❤,ふふ、いい感じにおバカになっているみたいですね❤
おっぱいに抱きしめられて自ら腰を振り、\n敵にエナジーをささげようとしている。\n知性のかけらもない姿です❤くすくす❤,おっぱいに抱きしめられて自ら腰を振り、\n敵にエナジーをささげようとしている。\n知性のかけらもない姿です❤くすくす❤
あうっ❤あううっ❤だめなのにぃ…❤も、もう…❤,あうっ❤あううっ❤だめなのにぃ…❤も、もう…❤
腰を振り出していま何回目ですか？\nたいした数出し入れしたわけでもないのに、もうペニスが限界のようですね。本当に弱いおちんちん❤,腰を振り出していま何回目ですか？\nたいした数出し入れしたわけでもないのに、もうペニスが限界のようですね。本当に弱いおちんちん❤
まあ、ぱふぱふだけでイっちゃうような弱さですものね。\nふとももの刺激も加えられたら、耐えられるわけがないですよね❤,まあ、ぱふぱふだけでイっちゃうような弱さですものね。\nふとももの刺激も加えられたら、耐えられるわけがないですよね❤
我慢する必要などありませんから。\n快楽に身を任せ、一番気持ちいいところで射精してください❤\n腰を押し込んで、ほら、イケ❤イケ❤,我慢する必要などありませんから。\n快楽に身を任せ、一番気持ちいいところで射精してください❤\n腰を押し込んで、ほら、イケ❤イケ❤
あひぃっ❤ううっ出るぅ❤,あひぃっ❤ううっ出るぅ❤
こうして僕は気絶するまで精を搾りとられてしまったのだった。,こうして僕は気絶するまで精を搾りとられてしまったのだった。
冒険をあきらめますか？,冒険をあきらめますか？
その後、僕はすっかり戦う意思を失ってしまった。そして…。,その後、僕はすっかり戦う意思を失ってしまった。そして…。
あらあら、また今週も神殿に来たのですね❤わたしの抱擁を受けたくなったのですか？,あらあら、また今週も神殿に来たのですね❤わたしの抱擁を受けたくなったのですか？
マスターに頼みこんで、毎週のようにわたしを召喚してもらい、ぱふぱふを受けにくるだなんて…。くすくす❤ずいぶんと熱心な信徒になったものです。,マスターに頼みこんで、毎週のようにわたしを召喚してもらい、ぱふぱふを受けにくるだなんて…。くすくす❤ずいぶんと熱心な信徒になったものです。
神殿への寄付もバカにならない金額でしょうに。まあ、そんなことはあなたの熱心な信心の前では些細なことでしょうか。,神殿への寄付もバカにならない金額でしょうに。まあ、そんなことはあなたの熱心な信心の前では些細なことでしょうか。
ほら、わたしの腕の中にいらっしゃい❤今日もいっぱいぱふぱふしてあげますね❤,ほら、わたしの腕の中にいらっしゃい❤今日もいっぱいぱふぱふしてあげますね❤
あひぃっ…❤ありがとうございます…❤❤,あひぃっ…❤ありがとうございます…❤❤
妹のために強くなるという目的も忘れ、ただただ彼女に甘えるだけの日々。,妹のために強くなるという目的も忘れ、ただただ彼女に甘えるだけの日々。
どれだけ堕落し、どれだけ情けない顔をしていても、彼女はぼくを抱きしめて甘い快楽を与えてくれる。,どれだけ堕落し、どれだけ情けない顔をしていても、彼女はぼくを抱きしめて甘い快楽を与えてくれる。
そんな幸せにおぼれてしまった僕の目にはもはやかつてのような強い意志はない。ただ彼女に会うために神殿への寄付金を稼ぎ、時間を浪費していくだけである。,そんな幸せにおぼれてしまった僕の目にはもはやかつてのような強い意志はない。ただ彼女に会うために神殿への寄付金を稼ぎ、時間を浪費していくだけである。
こうして僕の物語はむなしくその幕を閉じたのだった。,こうして僕の物語はむなしくその幕を閉じたのだった。
振り払ってとどめを刺した,甩開並擊殺她
力が抜けてしまった,完全失去力氣了
あきらめる,放棄
あきらめない,不放棄
