default
下級堕天使,低階墮天使
ふふ、下等生物くんには天使の息をプレゼント❤\n天使の息には恍惚を与える効果があるの❤\nほら、ふぅー・・・❤,ふふ、下等生物くんには天使の息をプレゼント❤\n天使の息には恍惚を与える効果があるの❤\nほら、ふぅー・・・❤
ね？堕天して力は封印されたけど、それでもうっとりしちゃうでしょ？\nふふ、腰をくねくねとさせて悶えてる❤\nこのまま触れられもせずに射精しちゃう？ふぅー・・・❤,ね？堕天して力は封印されたけど、それでもうっとりしちゃうでしょ？\nふふ、腰をくねくねとさせて悶えてる❤\nこのまま触れられもせずに射精しちゃう？ふぅー・・・❤
くすくす❤ほんとうに力を抜いちゃうんだ❤\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤,くすくす❤ほんとうに力を抜いちゃうんだ❤\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤
悪い人間は地面を這いつくばらせて懺悔させてあげる。\n抜け出せるなら抜け出してみて。ほら・・・❤,悪い人間は地面を這いつくばらせて懺悔させてあげる。\n抜け出せるなら抜け出してみて。ほら・・・❤
ねえ❤どうしてお兄さんはそんなにここを大きくしているの？\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤,ねえ❤どうしてお兄さんはそんなにここを大きくしているの？\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤
くすくす❤我慢できずに射精しちゃうんだ❤\n最後に思いっきり踏んであげる❤ぎゅぅーー❤,くすくす❤我慢できずに射精しちゃうんだ❤\n最後に思いっきり踏んであげる❤ぎゅぅーー❤
きゃ！\nへぇー。わたしの足に踏まれてちゃんと逃げ出せるんだ。\n足フェチのマゾなのにすごいね。,きゃ！\nへぇー。わたしの足に踏まれてちゃんと逃げ出せるんだ。\n足フェチのマゾなのにすごいね。
おちんちん気持ちよくてたまらなかったでしょ？\nそれなのに理性を振り絞ってわたしをふり払って、\nくすくす❤余計にあなたのこと堕としたくなっちゃった❤,おちんちん気持ちよくてたまらなかったでしょ？\nそれなのに理性を振り絞ってわたしをふり払って、\nくすくす❤余計にあなたのこと堕としたくなっちゃった❤
足の裏ですりすりすり♪足フェチくんには効果ばつぐん❤,足の裏ですりすりすり♪足フェチくんには効果ばつぐん❤
踏まれてどんどん気持ちよくなっちゃうねー。くすくす❤,踏まれてどんどん気持ちよくなっちゃうねー。くすくす❤
わたしの体重なんてたかが知れてるよ。ほらほらー、振り払わないの？,わたしの体重なんてたかが知れてるよ。ほらほらー、振り払わないの？
くすくす❤足なんかでそんな蕩けた顔をしちゃうんだ❤,くすくす❤足なんかでそんな蕩けた顔をしちゃうんだ❤
天使の足コキ気持ちいい？肌がすべすべで腰が抜けそうだよねー❤,天使の足コキ気持ちいい？肌がすべすべで腰が抜けそうだよねー❤
ふみふみふみ♪何回踏んづけたら出しちゃうかな？,ふみふみふみ♪何回踏んづけたら出しちゃうかな？
あは、ビクンビクンって腰が跳ねてる❤足裏気持ちいいんだね❤,あは、ビクンビクンって腰が跳ねてる❤足裏気持ちいいんだね❤
小さな女の子の足に堕とされちゃうね❤あんあん喘いでカッコ悪い❤,小さな女の子の足に堕とされちゃうね❤あんあん喘いでカッコ悪い❤
あへあへ喘いじゃって、うるさいぐらいだね❤\nふふふ、みんなに見られちゃうよ❤,あへあへ喘いじゃって、うるさいぐらいだね❤\nふふふ、みんなに見られちゃうよ❤
天使の肌ってすべすべで気持ちいいでしょ？そのまま昇天しちゃっていいよ❤,天使の肌ってすべすべで気持ちいいでしょ？そのまま昇天しちゃっていいよ❤
ふふ、わたしに快楽をお願いするの？\n人間の男のお願いなんて聞いてあげなくてもいいんだけど・・・。,ふふ、わたしに快楽をお願いするの？\n人間の男のお願いなんて聞いてあげなくてもいいんだけど・・・。
そんな必死にお願いされたら、\n天使としては恵みのひとつも与えないとね❤\n快楽の対価に少し力をもらっちゃうけど、別にいいでしょ？ふふふ❤,そんな必死にお願いされたら、\n天使としては恵みのひとつも与えないとね❤\n快楽の対価に少し力をもらっちゃうけど、別にいいでしょ？ふふふ❤
あは、踏みつけられてどぴゅ、どぴゅ、どぴゅ❤\n濃くてどろどろのをこんなに出しちゃったね。\nわたしの足コキ、すごく気持ちよかったでしょ❤,あは、踏みつけられてどぴゅ、どぴゅ、どぴゅ❤\n濃くてどろどろのをこんなに出しちゃったね。\nわたしの足コキ、すごく気持ちよかったでしょ❤
くすくす❤乳首を羽でさわさわされるの、そんなによかった？\n膝がどろどろ❤,くすくす❤乳首を羽でさわさわされるの、そんなによかった？\n膝がどろどろ❤
くすくす❤\n指一本触れないで、息だけでイかせちゃった❤\n下等生物のおちんちん、とっても弱いねー❤,くすくす❤\n指一本触れないで、息だけでイかせちゃった❤\n下等生物のおちんちん、とっても弱いねー❤
それじゃ、対価をもらうね。\n契約に基づきお兄さんの力を吸収っと・・・,それじゃ、対価をもらうね。\n契約に基づきお兄さんの力を吸収っと・・・
ううっ・・・❤だめなのに、止まらない・・・❤,ううっ・・・❤だめなのに、止まらない・・・❤
ふふ、自分から身を天使にささげるなんて、敬虔な人間だね❤,ふふ、自分から身を天使にささげるなんて、敬虔な人間だね❤
わたしのあふれ出る威光にメロメロになっちゃった？\nそれともすべすべの天使の肌に、ムラムラが抑えられなかったのかな❤,わたしのあふれ出る威光にメロメロになっちゃった？\nそれともすべすべの天使の肌に、ムラムラが抑えられなかったのかな❤
あなたがシコシコしてるのを、にやにやしながら眺めていてもいいんだけど、\n少しお手伝いしてあげる❤,あなたがシコシコしてるのを、にやにやしながら眺めていてもいいんだけど、\n少しお手伝いしてあげる❤
ほら、敬虔なあなたに、天使の祝福をあげるね❤ふぅー・・・❤,ほら、敬虔なあなたに、天使の祝福をあげるね❤ふぅー・・・❤
はぅううっ・・・❤,はぅううっ・・・❤
くすくす❤恍惚としちゃってる❤\n天使の息ってとっても気持ちいいよね❤\nこの息には人を陶酔させて、何も考えられなくする働きがあるの。,くすくす❤恍惚としちゃってる❤\n天使の息ってとっても気持ちいいよね❤\nこの息には人を陶酔させて、何も考えられなくする働きがあるの。
信仰ってそういうものでしょう？忘我の境地っていうのかな。\n自分のことを忘れて信仰相手のことだけ考える。\nそうすると、幸せになれるんだよ❤,信仰ってそういうものでしょう？忘我の境地っていうのかな。\n自分のことを忘れて信仰相手のことだけ考える。\nそうすると、幸せになれるんだよ❤
あなたもうっとりした顔をしながら、しこしこしこ❤\n息に包まれながら、手を必死に上下に動かして、\nまるでわたしの息をおちんちんに塗り込んでるみたい❤,あなたもうっとりした顔をしながら、しこしこしこ❤\n息に包まれながら、手を必死に上下に動かして、\nまるでわたしの息をおちんちんに塗り込んでるみたい❤
すごく浅ましくて、まさに人間の男の子って感じだね❤\nやっぱり人間って下等生物。くすくす❤,すごく浅ましくて、まさに人間の男の子って感じだね❤\nやっぱり人間って下等生物。くすくす❤
うあ、息が当たってぇ❤❤脳がとけるぅ、あううぅ・・・❤,うあ、息が当たってぇ❤❤脳がとけるぅ、あううぅ・・・❤
ふふ、溶けちゃっていいんじゃない？\nわたしを信仰すること以外、何も考えなくていいんだし❤,ふふ、溶けちゃっていいんじゃない？\nわたしを信仰すること以外、何も考えなくていいんだし❤
どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそは溶けちゃった方がいいよ❤,どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそは溶けちゃった方がいいよ❤
ほら、快楽の中でどろどろになろう？\n天使の息で全部溶かしてあげる❤\nふぅーー❤,ほら、快楽の中でどろどろになろう？\n天使の息で全部溶かしてあげる❤\nふぅーー❤
あひぃぃ・・・・❤❤,あひぃぃ・・・・❤❤
くすくす❤断末魔の叫びにしては、ずいぶん気持ちよさそうな声❤\n命を奪われる瞬間ぐらい、神様に祈ればいいのに❤,くすくす❤断末魔の叫びにしては、ずいぶん気持ちよさそうな声❤\n命を奪われる瞬間ぐらい、神様に祈ればいいのに❤
あなたが捧げたエナジーのおかげで、わたしの体力は完全に回復。\nもっともっと他の男の子も「救済」してあげるね❤\nふふふ❤,あなたが捧げたエナジーのおかげで、わたしの体力は完全に回復。\nもっともっと他の男の子も「救済」してあげるね❤\nふふふ❤
ううっ・・・❤おねがいします、自分も・・・❤,ううっ・・・❤おねがいします、自分も・・・❤
くすくす❤あなたもわたしに「祝福」されたいんだ❤,くすくす❤あなたもわたしに「祝福」されたいんだ❤
仲間がとろとろにされちゃったのを見て、我慢できなくなっちゃった？\n理性が弱くて、すぐ欲望に流されて・・・。\n男ってやっぱり一番の下等生物だね❤,仲間がとろとろにされちゃったのを見て、我慢できなくなっちゃった？\n理性が弱くて、すぐ欲望に流されて・・・。\n男ってやっぱり一番の下等生物だね❤
わたしって堕天させられる前は、上級の天使だったんだよ。\nそんな天使に祝福してもらえるなんてあなたは幸せものだよ❤\nほら、敬虔なあなたに、わたしの息をプレゼント。ふぅー・・・❤,わたしって堕天させられる前は、上級の天使だったんだよ。\nそんな天使に祝福してもらえるなんてあなたは幸せものだよ❤\nほら、敬虔なあなたに、わたしの息をプレゼント。ふぅー・・・❤
くすくす❤恍惚としちゃってる❤\n期待していたよりも気持ちよかった？,くすくす❤恍惚としちゃってる❤\n期待していたよりも気持ちよかった？
あなたの頭の中、わたしのことでいっぱいになっちゃうね。\nおちんちんシコシコして、わたしをじーっと見つめて、\nそれ以外何もない。何も考えなくていい❤,あなたの頭の中、わたしのことでいっぱいになっちゃうね。\nおちんちんシコシコして、わたしをじーっと見つめて、\nそれ以外何もない。何も考えなくていい❤
幸せでしょ？それが信仰だよ❤\nあなたは自分の頭を何も使わなくていいの。\nすべて委ねてしまっていいの❤,幸せでしょ？それが信仰だよ❤\nあなたは自分の頭を何も使わなくていいの。\nすべて委ねてしまっていいの❤
ふふ、そう言われてうれしそうな顔をしちゃってる。\nすごく浅ましくて、すごく愚かで、\n服従を喜ぶなんて下等生物らしい。くすくす❤,ふふ、そう言われてうれしそうな顔をしちゃってる。\nすごく浅ましくて、すごく愚かで、\n服従を喜ぶなんて下等生物らしい。くすくす❤
うあ、息が当たってぇ❤❤きもちいいぃ、あううぅ・・・❤,うあ、息が当たってぇ❤❤きもちいいぃ、あううぅ・・・❤
下等生物だって言われてるのに、「きもちいい」しか言えないんだ。\n脳みそもうどろどろに溶けちゃたんだね❤,下等生物だって言われてるのに、「きもちいい」しか言えないんだ。\n脳みそもうどろどろに溶けちゃたんだね❤
どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそだもん❤,どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそだもん❤
ほら、快楽の中でもっとどろどろになろう？\n命も、理性も、なにもかも・・・。\n天使の息で全部溶かしてあげる❤ふぅーー❤,ほら、快楽の中でもっとどろどろになろう？\n命も、理性も、なにもかも・・・。\n天使の息で全部溶かしてあげる❤ふぅーー❤
捧げもののおかげでわたしの体力は全回復。\nもっともっと他の男の子も「救済」してあげるね❤ふふふ❤,捧げもののおかげでわたしの体力は全回復。\nもっともっと他の男の子も「救済」してあげるね❤ふふふ❤
思った以上に強いんだね・・・。じゃあ、これはどう？\nえいっ。,思った以上に強いんだね・・・。じゃあ、これはどう？\nえいっ。
狭い洞窟の中だから上下の移動は難しいけど、\n直線的になら素早く飛べるんだよ。\nほら、あなたの顔を捕まえた❤,狭い洞窟の中だから上下の移動は難しいけど、\n直線的になら素早く飛べるんだよ。\nほら、あなたの顔を捕まえた❤
強いあなたには・・・❤わたしのキスをプレゼント❤,強いあなたには・・・❤わたしのキスをプレゼント❤
むぐっ・・❤あうぅっ・・・❤,むぐっ・・❤あうぅっ・・・❤
ふふ、天使の唇はやわらかいでしょ？\n唇が触れ合っているだけで、あなたの全身を包む恍惚感❤\nわたしにキスをされて立っていられるのかな❤,ふふ、天使の唇はやわらかいでしょ？\n唇が触れ合っているだけで、あなたの全身を包む恍惚感❤\nわたしにキスをされて立っていられるのかな❤
そのまま力を抜いていいんだよ。\nそうしたら、わたしの息を口から直接吹き込んで、\nあなたにに天上の快楽を教えてあげる❤,そのまま力を抜いていいんだよ。\nそうしたら、わたしの息を口から直接吹き込んで、\nあなたにに天上の快楽を教えてあげる❤
天使の息吹には男を恍惚とさせる力があるの…❤\nそれを直接注ぎ込まれたらどうなるか…❤\nされてみたいでしょ？くすくす・・・❤,天使の息吹には男を恍惚とさせる力があるの…❤\nそれを直接注ぎ込まれたらどうなるか…❤\nされてみたいでしょ？くすくす・・・❤
きゃあ！\nううっ、キスされてすぐに動けるなんて・・・。,きゃあ！\nううっ、キスされてすぐに動けるなんて・・・。
はい、時間切れ❤\n悩んでないで早く攻撃すればよかったのに❤\nんっ・・・❤ふぅー・・・❤,はい、時間切れ❤\n悩んでないで早く攻撃すればよかったのに❤\nんっ・・・❤ふぅー・・・❤
ふふ、逃げたり攻撃したりできないんだ❤\nそれでいいんだよ。人間は天使のくちづけには抗えないの。\nんっ・・・❤ふぅー・・・❤,ふふ、逃げたり攻撃したりできないんだ❤\nそれでいいんだよ。人間は天使のくちづけには抗えないの。\nんっ・・・❤ふぅー・・・❤
あふっ、ああっ・・・・・・❤,あふっ、ああっ・・・・・・❤
くすくす❤息を吹き込んだとたん、びくんびくんって痙攣しちゃって、\n気持ちよさそうだねー❤,くすくす❤息を吹き込んだとたん、びくんびくんって痙攣しちゃって、\n気持ちよさそうだねー❤
あと1回でも攻撃できればわたしを倒せたのに、\n口に触れるわたしのぷにぷにの唇と、\n肺にしみこむ甘い息で、武器を持ってた腕もだらーん❤,あと1回でも攻撃できればわたしを倒せたのに、\n口に触れるわたしのぷにぷにの唇と、\n肺にしみこむ甘い息で、武器を持ってた腕もだらーん❤
今まで何をしていたかも、これから何をしないといけないかも、\n何も考えられない❤\nただただ気持ちよさで意識が埋まっていっちゃうね❤,今まで何をしていたかも、これから何をしないといけないかも、\n何も考えられない❤\nただただ気持ちよさで意識が埋まっていっちゃうね❤
これが天使の与える恍惚感だよ❤\n人間の身で抗おうと考える方が、不敬だと思うんだ❤\nね、そう思うでしょ？,これが天使の与える恍惚感だよ❤\n人間の身で抗おうと考える方が、不敬だと思うんだ❤\nね、そう思うでしょ？
あぐ、あうう・・・・❤ああ、ああ・・・❤,あぐ、あうう・・・・❤ああ、ああ・・・❤
ふふ、もう「あうあう」言うことしかできないね❤\nしゃべることもできなくて、役に立たなくなったその唇・・・。\nわたしの口でふさいじゃう❤,ふふ、もう「あうあう」言うことしかできないね❤\nしゃべることもできなくて、役に立たなくなったその唇・・・。\nわたしの口でふさいじゃう❤
あなたがカラカラになるまで、キスで蕩けさせてあげる❤\n天使から与えられる恵みに感謝して、イっていいよ❤下等生物❤,あなたがカラカラになるまで、キスで蕩けさせてあげる❤\n天使から与えられる恵みに感謝して、イっていいよ❤下等生物❤
あうう、はへぇ・・・・❤❤,あうう、はへぇ・・・・❤❤
んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復だね❤,んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復だね❤
それにしても、すごく間抜けな顔だね❤\n天上の快楽でだらけきっちゃったその顔・・・。\nわたしを追い詰めていた人とは思えないぐらいカッコ悪い❤くすくす❤,それにしても、すごく間抜けな顔だね❤\n天上の快楽でだらけきっちゃったその顔・・・。\nわたしを追い詰めていた人とは思えないぐらいカッコ悪い❤くすくす❤
あう・・・。あと一撃でも受けたら、実体を保てなくなりそう。,あう・・・。あと一撃でも受けたら、実体を保てなくなりそう。
ねえ、お兄さんはそれでいいの？\nあなたのソコを見る限り、\n早く射精したくてたまらないみたいだけど・・・❤,ねえ、お兄さんはそれでいいの？\nあなたのソコを見る限り、\n早く射精したくてたまらないみたいだけど・・・❤
わたしの息を吹きかけられて、じんじんとうずいて仕方ないんでしょ？\nはち切れそうになっているおちんちん、\nわたしの素足で踏んで気持ちよくしてあげてもいいよ❤,わたしの息を吹きかけられて、じんじんとうずいて仕方ないんでしょ？\nはち切れそうになっているおちんちん、\nわたしの素足で踏んで気持ちよくしてあげてもいいよ❤
天使の肌ってね、絹よりもずっと触り心地がいいの・・❤\n踏まれて擦られるだけで、腰が抜けるほど気持ちよくなっちゃう❤,天使の肌ってね、絹よりもずっと触り心地がいいの・・❤\n踏まれて擦られるだけで、腰が抜けるほど気持ちよくなっちゃう❤
ねえ、お兄さんはそれでいいの？\nわたしの肌に一瞬でも触れて、\nその心地よさを理解しちゃったでしょ？,ねえ、お兄さんはそれでいいの？\nわたしの肌に一瞬でも触れて、\nその心地よさを理解しちゃったでしょ？
天使の肌の、絹よりも心地よい感触・・・❤\nその肌でむぎゅっておちんちんを包まれて、\n射精するまでいじめてほしくない？素直になっていいんだよ❤,天使の肌の、絹よりも心地よい感触・・・❤\nその肌でむぎゅっておちんちんを包まれて、\n射精するまでいじめてほしくない？素直になっていいんだよ❤
ほら、そこに寝転んで❤\nわたしの素足で踏みつけて、\nあなたが待ち望んでいた快楽を与えてあげる❤,ほら、そこに寝転んで❤\nわたしの素足で踏みつけて、\nあなたが待ち望んでいた快楽を与えてあげる❤
言われるまま寝転んでしまった,言われるまま寝転んでしまった
ぐっ、だめか。\n理性が強いな・・・。,ぐっ、だめか。\n理性が強いな・・・。
くす❤悩んでいる時点で誘惑に乗っているのと同じだよ❤,くす❤悩んでいる時点で誘惑に乗っているのと同じだよ❤
ほら、隙だらけのお兄さんを突き飛ばして・・・❤,ほら、隙だらけのお兄さんを突き飛ばして・・・❤
くすくす❤言いなりで地面に仰向けになっちゃうんだ❤\nさすがは下等生物だね❤\n誘惑されたらすぐ負けちゃう❤,くすくす❤言いなりで地面に仰向けになっちゃうんだ❤\nさすがは下等生物だね❤\n誘惑されたらすぐ負けちゃう❤
無防備にぴくぴく震えているおちんちんを、\nわたしの足で踏みつぶしてあげる❤\n天上の快楽を楽しんでね❤,無防備にぴくぴく震えているおちんちんを、\nわたしの足で踏みつぶしてあげる❤\n天上の快楽を楽しんでね❤
はぐ、あうぅっ❤❤,はぐ、あうぅっ❤❤
ふふ❤心のバリアを解除した状態で踏まれるのは気持ちいいでしょ？\n天使の肌の感触を直接おちんちんで感じるんだもん、\n気持ちよすぎてすぐ射精しちゃうんじゃない？,ふふ❤心のバリアを解除した状態で踏まれるのは気持ちいいでしょ？\n天使の肌の感触を直接おちんちんで感じるんだもん、\n気持ちよすぎてすぐ射精しちゃうんじゃない？
小さい女の子の足に踏まれてるのに、たっぷり感じちゃって、\n情けない喘ぎ声が、あんあん、あんあん❤\n坑道の中に反響しちゃってるね❤,小さい女の子の足に踏まれてるのに、たっぷり感じちゃって、\n情けない喘ぎ声が、あんあん、あんあん❤\n坑道の中に反響しちゃってるね❤
ほらほらほら❤\nさらに激しくぐりぐりしてあげる❤,ほらほらほら❤\nさらに激しくぐりぐりしてあげる❤
あぐ、あっ、ああっ❤❤きもちいいっ❤あひぃっ❤❤,あぐ、あっ、ああっ❤❤きもちいいっ❤あひぃっ❤❤
ほら、言った通り。もう射精しちゃう❤,ほら、言った通り。もう射精しちゃう❤
さっきまで勝てそうだったのにね❤\n敵の女の子に愛撫されて、たいして耐えることもできなくて、\n足裏なんかにみっともなく白いの漏らしちゃう❤,さっきまで勝てそうだったのにね❤\n敵の女の子に愛撫されて、たいして耐えることもできなくて、\n足裏なんかにみっともなく白いの漏らしちゃう❤
人間の男って弱くて、みじめで、醜い生き物だよね❤\n本当の救いなんて与えなくても、踏んであげるだけで、\n天国にいるみたいに、幸せになっちゃうんだもん❤,人間の男って弱くて、みじめで、醜い生き物だよね❤\n本当の救いなんて与えなくても、踏んであげるだけで、\n天国にいるみたいに、幸せになっちゃうんだもん❤
ほら、あなたの生命エネルギーが全部吐き出せるように、\n最後は根元から順々に力を込めて踏んであげる❤\nおちんちんの中からすべて押し出してあげる❤,ほら、あなたの生命エネルギーが全部吐き出せるように、\n最後は根元から順々に力を込めて踏んであげる❤\nおちんちんの中からすべて押し出してあげる❤
天使の肌に触れられること、\nたっぷり感謝しながら、わたしの足で射精しちゃっていいよ❤\nイケ❤全部出せ❤下等生物❤,天使の肌に触れられること、\nたっぷり感謝しながら、わたしの足で射精しちゃっていいよ❤\nイケ❤全部出せ❤下等生物❤
あひぃ、あ、ああ・・・❤❤,あひぃ、あ、ああ・・・❤❤
くすくす❤どろどろに濃いエナジーをこんなに出して、\n足コキされるの大好きなんだね❤マーゾ❤,くすくす❤どろどろに濃いエナジーをこんなに出して、\n足コキされるの大好きなんだね❤マーゾ❤
玉袋を足指で揉んで、残りを確かめてっと♪\nふふ、揉んだら少し出てきた❤\n大事な場所を指でグニグニとされるの気持ちいいんだ❤へんたい❤,玉袋を足指で揉んで、残りを確かめてっと♪\nふふ、揉んだら少し出てきた❤\n大事な場所を指でグニグニとされるの気持ちいいんだ❤へんたい❤
くす❤天使の息を感じながらシコシコして気持ちよかった？\n自分から負けちゃうんだもん、理性のかけらもないマスターだね❤,くす❤天使の息を感じながらシコシコして気持ちよかった？\n自分から負けちゃうんだもん、理性のかけらもないマスターだね❤
くすくす❤恍惚とした顔でわたしのこと見てる❤\n甘くキスしながら息も吹き込まれて、\n天にも昇る心地よさだったでしょ？,くすくす❤恍惚とした顔でわたしのこと見てる❤\n甘くキスしながら息も吹き込まれて、\n天にも昇る心地よさだったでしょ？
わたしの素肌の感触、すごく気持ちよかったでしょ❤\n勝てそうだったところを逆転されちゃったのに、\nそんな蕩け顔しちゃっていいのかな❤くすくす♪,わたしの素肌の感触、すごく気持ちよかったでしょ❤\n勝てそうだったところを逆転されちゃったのに、\nそんな蕩け顔しちゃっていいのかな❤くすくす♪
ふふ、簡単にどびゅってしちゃったね❤\n天使の足裏に負けた気分はどうだったかな❤\n下等生物くん❤,ふふ、簡単にどびゅってしちゃったね❤\n天使の足裏に負けた気分はどうだったかな❤\n下等生物くん❤
くすくす❤敏感乳首をさわさわされて、すぐ射精しちゃった❤\n羽が当たるたびに体がびくびく震えてて、\nすっごくおかしかったよ。マーゾ❤,くすくす❤敏感乳首をさわさわされて、すぐ射精しちゃった❤\n羽が当たるたびに体がびくびく震えてて、\nすっごくおかしかったよ。マーゾ❤
くすくす❤噴水みたいに勢いよく射精しちゃったね❤\n息を吹きかけられただけでこんなに出るなんて、\nおちんちんすっごく弱い❤,くすくす❤噴水みたいに勢いよく射精しちゃったね❤\n息を吹きかけられただけでこんなに出るなんて、\nおちんちんすっごく弱い❤
堕天使の少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。,堕天使の少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。
あううっ・・・❤,あううっ・・・❤
ふふ、わたしみたいな小さい子に負けるなんて、\n情けないね❤,ふふ、わたしみたいな小さい子に負けるなんて、\n情けないね❤
お兄さん、Bランクのマスターなんでしょ？\nBランクって言えば相当強いはずなのに・・・。,お兄さん、Bランクのマスターなんでしょ？\nBランクって言えば相当強いはずなのに・・・。
おちんちんなんかついてるせいで、\n小さな女の子にすら負けちゃうんだもん❤\nいくらわたしが天使だからって、ちょっとカッコ悪い❤,おちんちんなんかついてるせいで、\n小さな女の子にすら負けちゃうんだもん❤\nいくらわたしが天使だからって、ちょっとカッコ悪い❤
ううっ、だってすごく気持ちよくてぇ・・・❤,ううっ、だってすごく気持ちよくてぇ・・・❤
