default
生意気キャロル,輕挑的卡蘿兒
手コキだけじゃ満足できないでしょ？おっぱいで気持ちよくしてほしいって思わない？,只有手交沒辦法滿足對吧？一定要我用奶子幫你乳交才行。
じっとしてれば、頭まっしろになるまでパイズリしてあげる。このおっぱいで挟んで、ゆさゆさって…❤,只要你不要亂動我就會幫你做最爽的乳交喔。我會用這對奶子夾住你，然後晃動……。
目がおっぱいを見てるの丸わかり。ほら、じっとしてて…。,你已經盯著我的奶子看了呢。就這樣不要動喔……。
あううっ、そんなぁ。,啊！怎麼會這樣……。
くすくす。動けないんだね？それじゃあ、アンタの負け。えい。,嗯哼哼。動不了了對吧？那麼就是你輸了喔。嘿呀。
どう、最高っしょ？敵を見逃した代わりに、たっぷりパイズリされるのは。,如何？很爽對吧？這可是放敵人逃命後得到的乳交。
ビンビンになったチンポ、こうやっておっぱいでもみほぐして…。ぐにぐにー❤,你這根硬梆梆的雞雞，被我用奶子這樣搓揉著……。感覺一定特別爽喔❤。
はああっ、きもちいいっ…❤,哈啊啊，好爽喔……！
きゃはは、すなおー。アンタそれでいいの？もう少しでとどめ刺せそうだった相手に「気持ちいい」って腰へこへこさせちゃってさ。,呀哈哈，真老實耶。你這樣子就行了嗎？對著差一點就能打贏的對手發情大喊「好爽喔」。
はたから見たら馬鹿みたいだよ。おっぱいに屈服させられたの、全身でアピールしちゃってるじゃん。,別人看到你現在的樣子一定會覺得你很白癡。因為你全身上下都在證明已經敗給我的奶子了呢。
ほらほら、もっとアヘっているところ見せなよ。雑魚マスター❤,啊哈哈，繼續讓人看你翻白眼爽翻的模樣如何啊。廢物玩家❤。
ほらほら、もっとアヘっているところ見せなよ。雑魚モンスター❤,啊哈哈，繼續讓人看你翻白眼爽翻的模樣如何啊。廢物怪獸❤。
あっ、ああっ…❤もうだめっ…❤,啊、啊啊……，要不行了……。
くす、速攻で降参。なっさけなーい。,嗯哼哼，馬上投降了。好丟臉喔。
ほおら、さっさとイけ。わたしのおっぱいに潰されてエナジー出しちゃえ。ザーコ。,好啦，趕快給我射。被我的奶子幹爆射出能量來吧。廢ー物。
うわー、精液、谷間からこぼれちゃってる。どんだけ出すの？変態❤,嗚哇、精液、從我的乳溝灑出來了耶。你這是想射多少啊？變態❤。
傷ついた体もこれで元通り。おっぱいさえ使えば、やっぱ楽勝だね。くすくす♪,受傷的身體因此而恢復原狀了。果然人家只要用奶子就能輕鬆打贏男人耶。欸嘿嘿。
きゃあっ…。ううっ、アンタもけっこう強いじゃん…。,呀啊……。嗚嗚，你也好強喔……。
さっきアンタの仲間も、あとちょっとのところでおっぱいに負けちゃったんだよ。気持ちよさそうにエナジー吐き出しちゃってさ。,不過剛才你的同伴也是在差點打倒我的時候才敗給奶子的。然後很舒服的射出能量給我的呢。
アンタも同じ目にあいたいでしょ？ほら、じっとしてて…。,你想不想得到一樣下場呢？好嘛，不要抵抗我……。
くすくす。動けないんだね？それじゃあ、アンタも負け。えい。,嗯哼哼。你不動了呢。那麼你也敗給我了喔。嘿呀。
きゃはは、すなおー。アンタたちそれでいいの？もう少しでとどめ刺せそうだった相手に「気持ちいい」って腰へこへこさせちゃってさ。,呀哈哈，好誠實。你們都是這樣就能爽嗎？對著差一點就能打倒的對手大喊「好爽喔」同時露出雞雞給她幹。
うわー、精液、服からこぼれちゃってるじゃん。どんだけ出すの？変態。,嗚哇好噁～，精液都沾到衣服上了啦。你這是想射多少出來啊？變態❤。
自分でしごいて負けちゃったね。ぷぷぷ、かっこわるーい♪,自己在我面前自慰輸掉了耶。嗯哼哼，好遜喔～。
わたしの手コキ、気持ちよかったでしょ？次もまたしてあげるからさっさと負けてね。くすくす❤,我的手交很舒服對不對？下次我也會幫你做的，你要記得也要這樣子輸掉喔。嗯哼哼❤。
あは、服の中がべとべと。わたしのおっぱい最高だったでしょ？気持ちいい思いができてよかったねー。ふふふ❤,啊哈，我衣服都黏黏的。我的奶子觸感是最棒的對不對？能夠讓你覺得爽真是太好了呢。嗯哼哼❤。
エルルが使う女性モンスターに敗れた僕は、エナジーを奪われた影響で体を一時的に動かせなくなり、街頭の地面に横たわっていた。,敗北艾露露使用的女性怪獸，我的能量被奪走而無法動彈，躺在道路的地面上。
あはは、弱かったねー。やっぱり初心者って感じ？わたしのマスターの足元にもおよばないじゃん。,啊哈哈，好弱喔。感覺就是個新人耶。完全打不贏我的主人耶。
ううっ…。くそぉ…。,嗚嗚……。可惡……。
ぷぷ、自分でオナニーして負けちゃったのに、悔しがってもみじめなだけだよ？,哼哼，你是因為自己自慰而輸掉的喔，現在才懊悔只是顯得很白癡而已喔。
わたしの大きなおっぱいが揺れるの見てたら、ムラムラーってして頭のなかまっしろになって…。,我這對大奶子在你面前搖幾下，你就興奮到腦子無法思考了呢……。
気づいたらチンポシコシコしはじめちゃったんでしょ？猿みたいじゃん、ざーこ❤,回過神來就開始摸雞雞自慰起來了。你是蠢豬啊，廢物❤。
ぷぷ、悔しがったところで手コキに負けて射精しちゃった事実は消えないよ？,嗯哼哼，就算懊悔也不會讓你敗給我的手交而射精的事實消失喔。
わたしの手でかるーくシコシコされただけなのに、気持ちいいよぉってカッコ悪く射精しちゃったもんね。ざーこ❤,你是被我用手溫柔慢慢手淫而很爽得射精的喔，超遜的。廢～物❤。
ぷぷ、悔しがったところでおっぱいに負けて射精しちゃった事実は消えないよ？,嗯哼哼，就算懊悔也不會讓你敗給我的奶子而射精的事實消失喔。
ちょーっとおっぱい使ってあげれば、腰へこして勝手にイっちゃうんだもん。弱すぎでしょ、ざーこ❤,我稍微使用奶子幹你，你就全身爽到發抖自己射了耶。弱到爆，廢～物❤。
今だってわたしに馬鹿にされてるのに、チンポむくむくさせちゃっている。マゾだから、勃起やめられないんだ？かわいそー❤,啊，你現在明明是在被我嘲笑，但是雞雞又開始癢起來了對不對？因為是Ｍ男，所以被女孩子笑的時候沒辦法控制自己不要勃起耶。好可憐喔～❤。
あううっ…❤,啊嗚嗚……❤。
ほら、一回の射精で終わりじゃないよ。丸1日動けなくなるまでたっぷりエナジー搾ってあげる。,欸，不會一次射精就結束喔。我要把你榨到一整天都不能動喔。
馬鹿にされただけでギンギンになっちゃう雑魚チンポを、わたしの谷間に入れてっと…❤,把你這根被女孩子嘲笑後會硬梆梆勃起的廢物雞雞夾道我乳溝裡……。
あひぃっ…❤,啊咿……❤。
さっき射精しばっかりなのに、そんな声あげちゃうんだ。なっさけなーい❤,明明才剛剛射精過，現在還能叫出這種聲音來。妳好色～喔❤。
パイズリに慣れるどころか、バトル中よりもチンポ弱くなっているんじゃない？,別說是對乳交產生抗性了，你的雞雞比對戰中還要更弱了耶。
このままおっぱいの気持ちよさをたっぷり教えこまれたら、もう二度とわたしには勝てなくなっちゃうかもね。くすくす❤,你會就這樣被我教育奶子有多爽，然後再也不能贏過我了喔。嗯哼哼❤。
うっ、ううっ…❤,嗚、嗚嗚……❤。
ほらほら、パイズリ早くしてあげる。雑魚チンポもみくちゃにされて、たまらないっしょ？,啊哈哈，人家要加快乳交的速度喔。這根廢物雞雞被這樣一搞也要受不了了對吧？
どうせ1分も持たないんだからさ、さっさとイっちゃえよ。ヘンタイ❤,反正連一分鐘也忍不住，乾脆馬上射精吧。變態❤。
わたしのパイズリに瞬殺されて、おっぱいに負け癖つけちゃえ❤,被人家的奶子給秒殺，染上奶子敗北的性癖吧❤。
谷間の中にエナジー出せよ、ざーこ❤,給我在乳溝中射出能量吧，廢～物❤。
はひぃっ、こんなのっ…❤むりぃ、気持ちよすぎてぇっ…❤,哈咿、這種感覺……❤不行！太舒服了……❤！
あううぅ…❤,啊嗚嗚嗚……❤。
くすくす。2回目の射精もほんとあっという間❤,嗯哼哼。第二次射精也是幾乎馬上射呢。
ちょっとパイズリされただけで敵モンスターの谷間の中にこんなにエナジーもらしちゃってさ。もうカードマスター失格じゃん、そう思わない？,稍微被乳交一下就在敵對女性怪獸的乳溝中射這麼多能量出來。不覺得你自己根本沒資格當卡片玩家嗎？
あう、あうぅ…❤,啊嗚、啊嗚嗚……❤。
あうあう言っててきもーい❤ チンポ気持ちよすぎてまともに返事もできないの？,只會喊啊嗚啊嗚好噁心喔❤。雞雞太爽了就會變成這種沒辦法正常說話的噁心模樣嗎？
それなら、もっとキモくしてあげるよ。ほら❤,那就再讓你變得更噁心吧。嘿呀❤。
あひぃっ・・・・❤,啊咿……❤。
あははは、パイズリ始めたら、またすぐにチンポ震えだしちゃってる❤バカなんじゃないの？ほらほら、エナジー全部出しちゃえよ。,啊哈哈哈，人家一開始乳交，你的雞雞就開始震動起來了耶❤你這是有病嗎？好了好了，把能量全射出來吧。
わたしが全部おいしく吸い取ってあげる。カードを使うための大事な魔力、全部精液に溶かしておっぱいに出しちゃえ。ざーこ❤,人家的奶子會把精液全部吸乾喔。為了使用卡片的重要魔力，化為能量溶在精液裡面射在奶子上吧。你這廢～物❤。
あっ、あっ、あああっ❤,啊、啊、啊啊啊❤！
うわぁ、谷間の中どろどろだよ。ほんとチンポ弱すぎっしょ。,嗚哇啊，我乳溝都黏黏的呢。你雞雞真的好弱喔。
こんだけパイズリで気持ちよくされちゃったら、もう立ち直れないかもね。まあ、知らないけど。,你被人乳交到這麼爽，已經再也無法振作了呢？不過那不關我的事情呢，啊哈哈。
んじゃ、ばいばーい。,那麼，再見嘍。
こうして僕は、エナジーをたっぷり吸い取られ、その日のバトルを終えたのだった…。,就這樣我被吸走了大量能量，這天的對戰就這樣結束了……。
爆乳ギャルパイズリ,爆乳辣妹乳交
搾精雑手コキ,隨興搾精手交
なんでも,隨便做就好
無視してとどめを刺した,無視並擊倒她
無抵抗になってしまった,完全不抵抗她
