default
ギガントゴーレム,巨大魔像
ほらほら、抵抗をやめたご褒美だ。たっぷり上下に揺らしてやろう❤,ほらほら、抵抗をやめたご褒美だ。たっぷり上下に揺らしてやろう❤
快楽に呑まれて情けなく喘いで、すっかり無抵抗だな❤マゾめ❤,快楽に呑まれて情けなく喘いで、すっかり無抵抗だな❤マゾめ❤
腰のところを重点的にもみこんでやる。ほらほらほら！,腰のところを重点的にもみこんでやる。ほらほらほら！
胸に体をあずけて、\nされるがままにパイズリを受けるのは気持ちいいだろう？,胸に体をあずけて、\nされるがままにパイズリを受けるのは気持ちいいだろう？
快感に負けたようだな。もう逃げる気なんてないのはお見通しだ❤\nさっさと負けろマゾ❤,快感に負けたようだな。もう逃げる気なんてないのはお見通しだ❤\nさっさと負けろマゾ❤
どうだ？体中を胸に擦られるのは最高だろう？,どうだ？体中を胸に擦られるのは最高だろう？
安心して気持ちよくなるといい❤\n落ちないようにしっかりおっぱいで捕まえておいてやるからな❤,安心して気持ちよくなるといい❤\n落ちないようにしっかりおっぱいで捕まえておいてやるからな❤
このまま果てていいぞ。どうせ圧倒的な体格差は覆らない❤,このまま果てていいぞ。どうせ圧倒的な体格差は覆らない❤
わたしの胸は気持ちいいだろう？さっさと谷間に溺れてしまえ❤,わたしの胸は気持ちいいだろう？さっさと谷間に溺れてしまえ❤
抵抗したところで無駄だ。男はこの快楽の谷間から出ることはできない。\nククク❤,抵抗したところで無駄だ。男はこの快楽の谷間から出ることはできない。\nククク❤
ほらほら、たっぷり上下に揺らしてやろう❤,ほらほら、たっぷり上下に揺らしてやろう❤
喘ぎ声が出ているぞ❤情けないな❤,喘ぎ声が出ているぞ❤情けないな❤
ほら、腰のところを重点的にもみこんでやる。むにむにむに❤,ほら、腰のところを重点的にもみこんでやる。むにむにむに❤
体の力を抜くんだ。おっぱいに身を任せるのは気持ちいいぞ？ふふ❤,体の力を抜くんだ。おっぱいに身を任せるのは気持ちいいぞ？ふふ❤
ほらほらほら❤わたしのパイズリにどれだけ耐えられるかな？,ほらほらほら❤わたしのパイズリにどれだけ耐えられるかな？
あぁ、がまんできない…❤ううっ…❤,あぁ、がまんできない…❤ううっ…❤
クク、何をしている？\nわたしの体を見つめながらチンコを握って、まさかオナニーか？,クク、何をしている？\nわたしの体を見つめながらチンコを握って、まさかオナニーか？
圧倒的な力の差を前に、自ら敗北を選んだというわけか❤,圧倒的な力の差を前に、自ら敗北を選んだというわけか❤
このおっぱいには勝てない…❤\nいや、このおっぱいに早く負けたい…❤\nそう心が思ってしまったのだろう？,このおっぱいには勝てない…❤\nいや、このおっぱいに早く負けたい…❤\nそう心が思ってしまったのだろう？
ほら、軽くおっぱいを揺らしただけでその表情❤\n犬みたいに盛ってお前にはプライドが無いのか？,ほら、軽くおっぱいを揺らしただけでその表情❤\n犬みたいに盛ってお前にはプライドが無いのか？
無いだろうな。\nあるならばこうしてバカにされているのに、\n無様にチンコを擦っているはずはないのだからな❤ククク❤,無いだろうな。\nあるならばこうしてバカにされているのに、\n無様にチンコを擦っているはずはないのだからな❤ククク❤
ううっ❤ち、ちがう…❤これはぁ…❤,ううっ❤ち、ちがう…❤これはぁ…❤
違う？ならばこのおっぱいから目を離してみろ❤,違う？ならばこのおっぱいから目を離してみろ❤
自分の体より大きかろうと…、途方もなくやわらかそうだろうと…、\nお前にかけらでもプライドが残っているならば簡単なことだろう❤,自分の体より大きかろうと…、途方もなくやわらかそうだろうと…、\nお前にかけらでもプライドが残っているならば簡単なことだろう❤
こうやって揺らされて、手で揉みこまれて・・・❤\nどうだ？目は離せたか？,こうやって揺らされて、手で揉みこまれて・・・❤\nどうだ？目は離せたか？
はあ、はあ…❤すごい…❤ううっ❤,はあ、はあ…❤すごい…❤ううっ❤
クク、目を離すどころか完全に釘付けじゃないか❤,クク、目を離すどころか完全に釘付けじゃないか❤
特大おっぱいを見ながらの敗北オナニーは気持ちがいいか？\nああ、言わなくても分かる、その蕩けた顔を見ればな❤,特大おっぱいを見ながらの敗北オナニーは気持ちがいいか？\nああ、言わなくても分かる、その蕩けた顔を見ればな❤
あ、ああっ、もうぅ…❤,あ、ああっ、もうぅ…❤
まったくたかだか乳揺れ程度で、ずいぶん情けないことだ。\n早漏め❤,まったくたかだか乳揺れ程度で、ずいぶん情けないことだ。\n早漏め❤
さあ、最後に思いっきりおっぱいを揺らしてやる❤,さあ、最後に思いっきりおっぱいを揺らしてやる❤
イ❤ケ❤,イ❤ケ❤
あはぁ❤❤❤,あはぁ❤❤❤
クク、おっぱいに触れる事もなく果てるとは無様だな❤,クク、おっぱいに触れる事もなく果てるとは無様だな❤
ほかの男どももどうだ？\nムラムラしているのならそばに寄るといい。\n近くで見るこの胸は、迫力があるぞ？ククク❤,ほかの男どももどうだ？\nムラムラしているのならそばに寄るといい。\n近くで見るこの胸は、迫力があるぞ？ククク❤
うぅ、お、おっぱいぃ…❤,うぅ、お、おっぱいぃ…❤
クク、お前もこの特大おっぱいに屈したのか❤\nここにはオナニー中毒の犬しかいないようだな❤,クク、お前もこの特大おっぱいに屈したのか❤\nここにはオナニー中毒の犬しかいないようだな❤
揺れるおっぱいを見ただけで犬みたいに盛って\nお前たちにはプライドが無いのか？,揺れるおっぱいを見ただけで犬みたいに盛って\nお前たちにはプライドが無いのか？
無いだろうな。\nあるならば今も無様にチンコを擦ってないはずだからな❤,無いだろうな。\nあるならば今も無様にチンコを擦ってないはずだからな❤
ううっ、くそぉっ…❤,ううっ、くそぉっ…❤
はは、悔しがっているふりが上手だな❤\n本気で悔しがっているなら、このおっぱいから目を離せるはずだろう？,はは、悔しがっているふりが上手だな❤\n本気で悔しがっているなら、このおっぱいから目を離せるはずだろう？
結果はさっきのやつで分かっているがな❤\nほら軽く体を上下に動かしてやろう・・・❤,結果はさっきのやつで分かっているがな❤\nほら軽く体を上下に動かしてやろう・・・❤
はひぃっ、すごい…❤,はひぃっ、すごい…❤
クク、やはりな❤\nお前も目を離すどころか完全に釘付けじゃないか❤,クク、やはりな❤\nお前も目を離すどころか完全に釘付けじゃないか❤
わたしがダプン❤ダプン❤とおっぱいを揺らしているだけで\nお前たちは次々と自ら敗北していく❤\n情けなくて涙が出そうだよ❤ククク❤,わたしがダプン❤ダプン❤とおっぱいを揺らしているだけで\nお前たちは次々と自ら敗北していく❤\n情けなくて涙が出そうだよ❤ククク❤
うはぁ❤❤❤,うはぁ❤❤❤
おっぱいにまだ目線を感じるぞ？\n次にこの特大おっぱいで果てるのは誰だ？ふふふ・・・❤,おっぱいにまだ目線を感じるぞ？\n次にこの特大おっぱいで果てるのは誰だ？ふふふ・・・❤
くっ、やるじゃないか。\nだが、お前も限界じゃないのか？,くっ、やるじゃないか。\nだが、お前も限界じゃないのか？
ほら、見てみろ、この特大おっぱいを。\nお前の全身を包み込んでも余りある大きさだ❤,ほら、見てみろ、この特大おっぱいを。\nお前の全身を包み込んでも余りある大きさだ❤
いい事を教えてやろう、お前達との戦いでわたしは汗をかいている、\nもちろんおっぱいの谷間の中はむれむれだろうな❤,いい事を教えてやろう、お前達との戦いでわたしは汗をかいている、\nもちろんおっぱいの谷間の中はむれむれだろうな❤
わたしに止めを刺す前にむれむれおっぱいを全身で味わってみないか❤,わたしに止めを刺す前にむれむれおっぱいを全身で味わってみないか❤
うぐ、不覚…。,うぐ、不覚…。
どうした？攻撃しないのか❤,どうした？攻撃しないのか❤
クク❤そんなにチンコを膨らませて、\n全身パイズリを味わいたいみたいだな❤,クク❤そんなにチンコを膨らませて、\n全身パイズリを味わいたいみたいだな❤
ではまずおっぱいの谷間がどれだけむれているか見せてやろう❤,ではまずおっぱいの谷間がどれだけむれているか見せてやろう❤
あ、甘い匂いが❤❤❤はひぃっ・・・❤,あ、甘い匂いが❤❤❤はひぃっ・・・❤
クク❤至近距離で嗅ぐこの匂いはたまらないだろう？\nおや自分でしごき始めたのか？,クク❤至近距離で嗅ぐこの匂いはたまらないだろう？\nおや自分でしごき始めたのか？
おっぱいの谷間に溜まった匂いを嗅いだだけで猿も同然だな❤\nさっきまでの勇ましい顔はどこへ行ったのやら。,おっぱいの谷間に溜まった匂いを嗅いだだけで猿も同然だな❤\nさっきまでの勇ましい顔はどこへ行ったのやら。
自分の手で射精するのもつまらない。\nさあオナニーなど比にならない快感を味合わせてやる❤,自分の手で射精するのもつまらない。\nさあオナニーなど比にならない快感を味合わせてやる❤
うはぁああぁ❤❤❤,うはぁああぁ❤❤❤
どうだ？汗とフェロモンがこもったおっぱいの監獄は❤,どうだ？汗とフェロモンがこもったおっぱいの監獄は❤
うぁぁ…❤はひぃ…❤,うぁぁ…❤はひぃ…❤
挟み込んだだけで蕩けた顔をしているが\nわたしはまだおっぱいを動かしていないぞ？,挟み込んだだけで蕩けた顔をしているが\nわたしはまだおっぱいを動かしていないぞ？
クク❤では全身パイズリをしてやろう、覚悟しろよ❤,クク❤では全身パイズリをしてやろう、覚悟しろよ❤
うぅ…やめ❤,うぅ…やめ❤
わたしはお前とは違うのでな、最後まで油断はしない。\n止めてやるものか❤,わたしはお前とは違うのでな、最後まで油断はしない。\n止めてやるものか❤
うぁ、あひぃ❤❤❤,うぁ、あひぃ❤❤❤
クク❤どうだ全身がチンコになったようだろう？\nやわらか特大おっぱいが、チンコはもちろん全身を擦り上げるのだ。,クク❤どうだ全身がチンコになったようだろう？\nやわらか特大おっぱいが、チンコはもちろん全身を擦り上げるのだ。
それに加え、汗がローション代わりになって滑りも増している、\n我慢なんて出来ないだろう❤,それに加え、汗がローション代わりになって滑りも増している、\n我慢なんて出来ないだろう❤
ほら、もう限界だろう、もっと早くパイズリしてやるからイってしまえ❤,ほら、もう限界だろう、もっと早くパイズリしてやるからイってしまえ❤
うぁああああ❤❤❤,うぁああああ❤❤❤
さあ、特大おっぱいに全身を挟まれながらイケ❤❤❤,さあ、特大おっぱいに全身を挟まれながらイケ❤❤❤
クク❤わたしのおっぱいが白くなってしまったな❤\n攻撃を止めてくれて感謝するよ、\nおっぱいに負けたマゾ男❤,クク❤わたしのおっぱいが白くなってしまったな❤\n攻撃を止めてくれて感謝するよ、\nおっぱいに負けたマゾ男❤
ぐっ、このわたしが再び追いこまれるとは…。,ぐっ、このわたしが再び追いこまれるとは…。
だが、お前も限界じゃないのか？,だが、お前も限界じゃないのか？
お前も見ていただろう、この特大おっぱいに挟まれてイったマゾを❤\nお前の全身もこのおっぱいで包み込んでやろう❤,お前も見ていただろう、この特大おっぱいに挟まれてイったマゾを❤\nお前の全身もこのおっぱいで包み込んでやろう❤
そこでじっとしていろ❤\nすぐに天国に連れて行ってやる❤,そこでじっとしていろ❤\nすぐに天国に連れて行ってやる❤
くっ、不覚…。,くっ、不覚…。
ふふ❤お前も攻撃しないのか❤,ふふ❤お前も攻撃しないのか❤
そんなにチンコを膨らませて、さっきの全身パイズリを見て、\nお前もこの特大おっぱいに挟まりたかったのだろう？,そんなにチンコを膨らませて、さっきの全身パイズリを見て、\nお前もこの特大おっぱいに挟まりたかったのだろう？
期待通り、\nまずはおっぱいの谷間がどれだけむれているか見せてやろう❤,期待通り、\nまずはおっぱいの谷間がどれだけむれているか見せてやろう❤
あふぅ、あっ、ああっ…❤❤❤,あふぅ、あっ、ああっ…❤❤❤
クク❤おっぱいの谷間に溜まった\nむれむれフェロモンを嗅いだだけでオナニーを始めるとは❤\nお前もさっきのマゾと変わりないな❤,クク❤おっぱいの谷間に溜まった\nむれむれフェロモンを嗅いだだけでオナニーを始めるとは❤\nお前もさっきのマゾと変わりないな❤
自分の手で射精するのもつまらないだろう？\nオナニーなんて比にならない快感を味合わせてやる❤,自分の手で射精するのもつまらないだろう？\nオナニーなんて比にならない快感を味合わせてやる❤
どうだ？わたしの汗とフェロモンがこもったおっぱいの監獄は❤,どうだ？わたしの汗とフェロモンがこもったおっぱいの監獄は❤
あう、あううぁぁ…❤,あう、あううぁぁ…❤
挟み込んだだけで蕩けた顔だな❤だが、わたしはまだ動かしていないぞ？,挟み込んだだけで蕩けた顔だな❤だが、わたしはまだ動かしていないぞ？
ほら、もっと早くパイズリしてやるからイってしまえ❤,ほら、もっと早くパイズリしてやるからイってしまえ❤
さあ、特大おっぱいの快感に溺れろ❤全身を挟まれながらイ❤ケ❤,さあ、特大おっぱいの快感に溺れろ❤全身を挟まれながらイ❤ケ❤
クク❤またわたしのおっぱいが白くなってしまったな❤\nエナジーの提供、感謝するよ。おっぱいに負けたマゾども❤❤,クク❤またわたしのおっぱいが白くなってしまったな❤\nエナジーの提供、感謝するよ。おっぱいに負けたマゾども❤❤
ふふ、わたしの谷間で挟んでやるまでもなかったな❤\nオナニーで自滅するとは。ククク❤みじめな終わり方だ❤,ふふ、わたしの谷間で挟んでやるまでもなかったな❤\nオナニーで自滅するとは。ククク❤みじめな終わり方だ❤
全身パイズリは最高だっただろう？\nもう普通の快感では満足できないかもな。ふふふ❤,全身パイズリは最高だっただろう？\nもう普通の快感では満足できないかもな。ふふふ❤
おいおい。パイズリする前にイくとは、\nわたしのおっぱいを見すぎて興奮したのか？\nこの早漏め。ククク❤,おいおい。パイズリする前にイくとは、\nわたしのおっぱいを見すぎて興奮したのか？\nこの早漏め。ククク❤
ムニンが繰り出した女性モンスターの胸に射精してしまった僕は、体に力を入れることも出来なくなり地面に膝をついていた。,ムニンが繰り出した女性モンスターの胸に射精してしまった僕は、体に力を入れることも出来なくなり地面に膝をついていた。
あはは、うちの子のおっぱいに負けちゃってなさけな～い❤,あはは、うちの子のおっぱいに負けちゃってなさけな～い❤
ま、最上級モンスターを召喚できる、\nわたしがすごいだけってことかな？\nギガントゴーレムを出せた時点で、わたしの勝ち確定だし♪,ま、最上級モンスターを召喚できる、\nわたしがすごいだけってことかな？\nギガントゴーレムを出せた時点で、わたしの勝ち確定だし♪
ギガントゴーレム。わたし買い物してくるから、\nあとはそこのお兄さんを好きに搾っておいて。\n召喚で魔力使いすぎてへとへとだし、その分搾り取っておいてよ。,ギガントゴーレム。わたし買い物してくるから、\nあとはそこのお兄さんを好きに搾っておいて。\n召喚で魔力使いすぎてへとへとだし、その分搾り取っておいてよ。
フフ、了解、マスター。,フフ、了解、マスター。
わたしのギガントゴーレムのエナジー補給よろしくね、マゾお兄さん❤\nじゃあねー。,わたしのギガントゴーレムのエナジー補給よろしくね、マゾお兄さん❤\nじゃあねー。
さて、わたしの胸に手も足も出なかった、マゾマスターよ、\nエナジーを限界まで搾られる覚悟は出来ているか？,さて、わたしの胸に手も足も出なかった、マゾマスターよ、\nエナジーを限界まで搾られる覚悟は出来ているか？
くっ、や、やめて・・・,くっ、や、やめて・・・
フフ❤無様に地面を這ってどうした？\nまさか逃げようとしているのか？,フフ❤無様に地面を這ってどうした？\nまさか逃げようとしているのか？
男はモンスターに搾り取られたあとは、まともに動けなくなる。\nそれぐらい知っているだろうに往生際が悪い奴だ❤,男はモンスターに搾り取られたあとは、まともに動けなくなる。\nそれぐらい知っているだろうに往生際が悪い奴だ❤
うはぁぁ❤,うはぁぁ❤
お前がいるべき場所はここ❤\nむれむれで、むちむちのわたしのおっぱいの谷間だ❤,お前がいるべき場所はここ❤\nむれむれで、むちむちのわたしのおっぱいの谷間だ❤
クク❤全身が挟まれただけで\n一度萎えたチンコがもう元気になっているじゃないか❤,クク❤全身が挟まれただけで\n一度萎えたチンコがもう元気になっているじゃないか❤
本当は逃げるふりをして、捕まえられる事を期待していたのだろう？\nほら・・・❤,本当は逃げるふりをして、捕まえられる事を期待していたのだろう？\nほら・・・❤
ああぁぁ❤,ああぁぁ❤
わたしはほんのちょっと胸を揺らしただけだぞ？\nああ、おっぱい未満の大きさのお前には、\nちょっとの動きではなかったか❤,わたしはほんのちょっと胸を揺らしただけだぞ？\nああ、おっぱい未満の大きさのお前には、\nちょっとの動きではなかったか❤
全身を包み込むおっぱいが少し揺れるだけで、\nお前のチンコも顔も、全ておっぱいに蹂躙されるものな❤\nククク❤,全身を包み込むおっぱいが少し揺れるだけで、\nお前のチンコも顔も、全ておっぱいに蹂躙されるものな❤\nククク❤
こうして抱きしめられていると、\n自分の身の小ささを実感するだろう？\nさて何回おっぱいの波に耐えられるか、見ものだな❤,こうして抱きしめられていると、\n自分の身の小ささを実感するだろう？\nさて何回おっぱいの波に耐えられるか、見ものだな❤
ダブン❤,ダブン❤
はひぃっ❤,はひぃっ❤
ダブン❤❤,ダブン❤❤
ダブン❤❤❤,ダブン❤❤❤
あ、ああっ、うはぁあぁぁ❤,あ、ああっ、うはぁあぁぁ❤
クク❤イってしまったか❤\nたかだか数回しか耐えられんとは、情けない❤,クク❤イってしまったか❤\nたかだか数回しか耐えられんとは、情けない❤
しかし、こんな量では全然足りんな❤\nせめて胸からあふれぐらいは出してもらおうか。,しかし、こんな量では全然足りんな❤\nせめて胸からあふれぐらいは出してもらおうか。
うぅ…❤,うぅ…❤
わたしはカードマスターたちが言うところの、最上級モンスター。\n必要とする魔力は相応に大きい。\nお前にはその分をたっぷりまかなってもらう。,わたしはカードマスターたちが言うところの、最上級モンスター。\n必要とする魔力は相応に大きい。\nお前にはその分をたっぷりまかなってもらう。
さっきのはまだおっぱいを軽く揺らしたに過ぎないぞ？\nパイズリの気持ちよさは、ほら、これからだ❤,さっきのはまだおっぱいを軽く揺らしたに過ぎないぞ？\nパイズリの気持ちよさは、ほら、これからだ❤
