default
ファルコンハーピー,獵鷹哈比
くく、手を止めればすり潰してやるというのに、\nイク寸前で手を止められんらしいな❤,くく、手を止めればすり潰してやるというのに、\nイク寸前で手を止められんらしいな❤
さっさと果てろ。マゾめ❤,さっさと果てろ。マゾめ❤
まったくこの程度もこらえられないとは情けない❤\n妄想の中でふとももにチンポを挟まれて気持ちよかったか？,まったくこの程度もこらえられないとは情けない❤\n妄想の中でふとももにチンポを挟まれて気持ちよかったか？
お前の与えたエナジーでわたしの体力は完全回復だ。\n手下ともどもオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。,お前の与えたエナジーでわたしの体力は完全回復だ。\n手下ともどもオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。
お前の与えたエナジーでわたしの体力は完全回復だ。\nこうも自滅者ばかりでは、手ごたえがないな。\n少しは力を見せてみろ、無敗のルーキー❤,お前の与えたエナジーでわたしの体力は完全回復だ。\nこうも自滅者ばかりでは、手ごたえがないな。\n少しは力を見せてみろ、無敗のルーキー❤
ほう、わたしにここまでダメージを負わせるとはな。\nだが、この速度についてこれるかな…！,ほう、わたしにここまでダメージを負わせるとはな。\nだが、この速度についてこれるかな…！
うわっ！はぐぅっ❤❤,うわっ！はぐぅっ❤❤
わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速の突進、\nこれを初見で避けれるものはいない。,わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速の突進、\nこれを初見で避けれるものはいない。
お前も同じだ。\n結界の壁まで一気に押し込まれてしまったな。\nククク❤,お前も同じだ。\n結界の壁まで一気に押し込まれてしまったな。\nククク❤
なに、全速力でぶつかっても、\nこのやわらかい胸を顔に押し付けられただけだ。\n痛くはなかろう？むしろ・・・❤,なに、全速力でぶつかっても、\nこのやわらかい胸を顔に押し付けられただけだ。\n痛くはなかろう？むしろ・・・❤
訳も分からぬまま顔を胸に埋められて、\n思考が極楽に染まっているのではないか？,訳も分からぬまま顔を胸に埋められて、\n思考が極楽に染まっているのではないか？
抵抗などせずともよい。そのまま蕩けていろ❤\nわたしがお前を天国に連れて行ってやろう❤,抵抗などせずともよい。そのまま蕩けていろ❤\nわたしがお前を天国に連れて行ってやろう❤
なっ、まだ振り払える力があるとはっ・・・。,なっ、まだ振り払える力があるとはっ・・・。
あううっ・・・❤,あううっ・・・❤
ふふ、武器を地面に落としてしまったな。\nもう腕に力が入らないか？,ふふ、武器を地面に落としてしまったな。\nもう腕に力が入らないか？
わたしを追い詰めたその実力を評価して、\n胸と脚の両方を使ってお前を搾り取ってやる。,わたしを追い詰めたその実力を評価して、\n胸と脚の両方を使ってお前を搾り取ってやる。
まずは顔を丹念にもみほぐしてやろう。\nほら、わたしのパツパツに張り詰めた胸を味わえ・・・❤,まずは顔を丹念にもみほぐしてやろう。\nほら、わたしのパツパツに張り詰めた胸を味わえ・・・❤
あっ、あっ、ああっ❤❤,あっ、あっ、ああっ❤❤
胸で頭を上下に揺さぶられて、\n何も考えられなくなるだろう？\nこれがわたしの胸の気持ちよさだ❤,胸で頭を上下に揺さぶられて、\n何も考えられなくなるだろう？\nこれがわたしの胸の気持ちよさだ❤
谷間に埋まってしまってお前の顔は見えないが、\nきっと完全に蕩けてしまっているのだろうな❤\nその証拠に・・・❤,谷間に埋まってしまってお前の顔は見えないが、\nきっと完全に蕩けてしまっているのだろうな❤\nその証拠に・・・❤
鉄の棒のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤,鉄の棒のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤
顔だけじゃなくこちらも早くいじめてほしいのだろう？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤,顔だけじゃなくこちらも早くいじめてほしいのだろう？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤
脱力しきったその体で強すぎる快感を受けて、\n果たして耐えられるかな？\nほらほらほら！,脱力しきったその体で強すぎる快感を受けて、\n果たして耐えられるかな？\nほらほらほら！
あぐ、あぐううぅ❤❤❤あっ、あああっ❤❤,あぐ、あぐううぅ❤❤❤あっ、あああっ❤❤
ふふ、ビクンビクンと体を跳ねさせているな❤\nだが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はない❤,ふふ、ビクンビクンと体を跳ねさせているな❤\nだが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はない❤
快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な恍惚感で何も考えられまい？,快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な恍惚感で何も考えられまい？
ほらほら❤胸と膝を同時に動かされて、\nさっさとイってしまえ❤\nあと少しで勝てた勝負を、快楽に負けて捨ててしまえ❤,ほらほら❤胸と膝を同時に動かされて、\nさっさとイってしまえ❤\nあと少しで勝てた勝負を、快楽に負けて捨ててしまえ❤
わたしの体に押しつぶされて、\n果てろ❤マゾ❤,わたしの体に押しつぶされて、\n果てろ❤マゾ❤
はうぅうっ・・❤❤,はうぅうっ・・❤❤
くく、残念だったな。\nお前の負けだ❤\nそれにしても・・・,くく、残念だったな。\nお前の負けだ❤\nそれにしても・・・
逆転負けしたわりには、ずいぶんと幸せそうな顔をしている❤\n胸で顔をほぐしてやったとはいえ、なんとも格好のつかない最後だな。\n変態め❤,逆転負けしたわりには、ずいぶんと幸せそうな顔をしている❤\n胸で顔をほぐしてやったとはいえ、なんとも格好のつかない最後だな。\n変態め❤
ほう、わたしにここまでダメージを負わせる男がまだいるとはな。\nだが、勝負はこちらのものだ…！,ほう、わたしにここまでダメージを負わせる男がまだいるとはな。\nだが、勝負はこちらのものだ…！
はぐぅっ❤❤,はぐぅっ❤❤
わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速のわたしの突進、\nたとえ来ると分かっていてもそう避けられるものではない。,わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速のわたしの突進、\nたとえ来ると分かっていてもそう避けられるものではない。
直線的にのみ移動するわけではないからな。\n軽くステップを踏んだだけで避けれると思ったら\n大間違いだ。,直線的にのみ移動するわけではないからな。\n軽くステップを踏んだだけで避けれると思ったら\n大間違いだ。
結界の壁まで一気に押し込まれてしまったな。\nお前もさっきの男同様、このまま搾り取ってやろう❤,結界の壁まで一気に押し込まれてしまったな。\nお前もさっきの男同様、このまま搾り取ってやろう❤
顔を胸に埋められて、\n息もできず\n何も考えられまい？,顔を胸に埋められて、\n息もできず\n何も考えられまい？
ふふ、武器を地面に落としてしまったな。\n快感で力が入らないか？,ふふ、武器を地面に落としてしまったな。\n快感で力が入らないか？
胸で頭を上下に揺さぶられて、\n思考が塗り替えられていくようだろう？\nさっきまで果敢に戦えていたのに・・・、,胸で頭を上下に揺さぶられて、\n思考が塗り替えられていくようだろう？\nさっきまで果敢に戦えていたのに・・・、
こうしてたぷたぷと胸で頭をほぐしてやれば、\nなにもできない腑抜けになってしまう。\n男とは悲しい生き物だな❤,こうしてたぷたぷと胸で頭をほぐしてやれば、\nなにもできない腑抜けになってしまう。\n男とは悲しい生き物だな❤
鋼のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤,鋼のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤
顔だけじゃなくこちらも早くいじめてほしいか？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤,顔だけじゃなくこちらも早くいじめてほしいか？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤
脱力しきったその体で、強すぎる快感を受けたらどうなるか、\nさあ、存分に味わえ❤\nほらほらほら！,脱力しきったその体で、強すぎる快感を受けたらどうなるか、\nさあ、存分に味わえ❤\nほらほらほら！
あはは、まるで陸に上がった魚のようだな。\nびくんびくんと大きく体を跳ねさせて、\n必死な様子が伝わってくる❤,あはは、まるで陸に上がった魚のようだな。\nびくんびくんと大きく体を跳ねさせて、\n必死な様子が伝わってくる❤
だが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はないぞ❤,だが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はないぞ❤
快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な快感で視界が白く染まるようだろう？,快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な快感で視界が白く染まるようだろう？
胸に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤,胸に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤
妄想に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤,妄想に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤
胸に押しつぶされ、膝でイかされてたまらなかっただろう？\n実力はあってもあと一押し足りなかったようだな。\nククク❤,胸に押しつぶされ、膝でイかされてたまらなかっただろう？\n実力はあってもあと一押し足りなかったようだな。\nククク❤
ふふ、胸に顔を挟まれてイってしまったな❤\nわたしの体の感触は極上だっただろう？,ふふ、胸に顔を挟まれてイってしまったな❤\nわたしの体の感触は極上だっただろう？
くすくす❤脚で挟んですぐに果ててしまったな❤\n引き締まったふとももに挟まれて、天国だったか？\n早漏マスター❤,くすくす❤脚で挟んですぐに果ててしまったな❤\n引き締まったふとももに挟まれて、天国だったか？\n早漏マスター❤
理性を振り絞って振り払った,以全身理性來甩開她
体を動かすことができなかった,身體完全動不了
