default
サムライ師範シズク,武士宗師綾
ほら、こっちに来てください❤たくさん挟んであげますよ❤\nお師匠様の前で恥ずかしい声、いっぱい出してしまいしょうね❤,過來奶子這邊吧❤我會夾死你❤\n讓你在你的師傅面前發出各種羞恥的聲音❤。
くす❤わたしにエッチなことをしてほしいんですか？\n自分のマスターを放り出して敵におねだりするなんて、\nダメな使い魔ですね❤くすくす❤,嗯哼哼❤，想跟我做愛嗎？\n丟下自己的主人跟敵人做愛，\n真是沒用的怪獸呢，嗯哼哼❤
わたしの胸すごいんですよ？ふわふわに柔らかくて、\nおちんちんをぱふんって挟んだら、\nきっとあなたの腰もすぐに抜けて、立てなくなっちゃうと思います❤,我的奶子很棒對不對？\n這柔軟的東西一夾住小雞雞\n就會讓你馬上腿軟，完全站不直喔❤。
ほら、こっちに来てください❤たくさん挟んであげますよ❤\n気持ちよく、搾り取られちゃいましょうね❤,過來奶子這邊吧，我會夾死你，\n讓你舒服得被搾乾❤。
うふふ❤出したあともびくんびくんって震えて、\nとても気持ちよさそうです❤わたしの巧みな胸さばきはどうでしたか？\n天国みたいだったでしょう？,嗯哼哼❤射出來以後還在一抖一抖跳著呢，\n你真的被幹得很爽呢❤我的巧妙乳技的感覺很棒對不對？\n感覺像在天堂對不對？
ううっ・・・。思ったより強いんですね。,恩嗚……。比想像中的還強呢。
わたしのぱふぱふで力が入らないはずなのに、\nわたしをここまで追い詰めるなんて…。,明明被我用埋胸幹到沒力了，\n還能把我逼到這種地步……。
上級モンスターのわたしをここまで追い詰めるなんて…。,竟然能將上級怪獸的我逼到這種地步。
でも、それもここまでです❤えい❤,但是也到此為止了，嘿呀！
うふ❤あなたの弱点をわたしのおっぱいで捕まえちゃいました。,嗯哼哼❤你的弱點被我用奶子抓住嘍。
そのままじっとしていてくださいね？\nおっぱいで扱いて、すぐに逝かせてあげます❤,就這樣站著不要動喔。\n因為我會用奶子幹你，讓你馬上射出來喔❤。
我慢も限界のおちんちんを、\n柔らかおっぱいで何度もたぷたぷ❤\n絶対に気持ちいいですよ？,這根已經到達臨界點的小雞雞，\n如果再被柔軟的奶子狠狠幹的話，\n一定會爽翻天的喔❤。
きゃあ！ううっ、せっかく気持ちよくしてあげようと思ったのに…。,呀啊！嗚嗚，明明有機會可以爽的說……。
あは、力抜けちゃいましたね。\n素直でいい子です❤,啊哈哈，不攻擊了呢。\n真是乖巧的好孩子❤。
それじゃあ、さっそくパイズリ始めちゃいますね❤えい❤,那麼我就馬上開始乳交你喔，嘿呀❤。
あっ、ああっ・・・❤,啊啊，啊嗚嗚……。
くすくす❤気持ちよくて体がとろけちゃいそうですか？,嗯哼哼❤太爽了所以身體動不了嗎？
わたしのやわらかおっぱいは、相手のことを脱力させちゃうんです❤,只要被我的柔軟奶子幹，男孩子都會變得全身無力任人幹喔❤。
強い快感で頭の中おかしくなりそうなのに、\n体には全然力が入らなくなって、\nもっとパイズリしてぇってわたしに体を明け渡しちゃう。,強烈的快感入侵腦內，\n結果忘記應該要抵抗，\n還為了追求更多的乳交而將身體交給對方。
一度挟めば、生かすも殺すもあとは自由❤\nわたしの得意技なんですよ。,只要夾過對方一次，就可以自由宰割對方❤\n這就是我的必殺技喔。
普通なら最初のひと挟みで\nあなたもとっくに虜のはずなんですけど、,平常的話最開始的一夾\n就能征服你才對。
カードマスターは魔力を身にまとっていますから、\nそのせいでちょっと苦戦しちゃいました。,但是你全身上下有卡片玩家的魔力，\n讓我幹起來有點麻煩呢。
でも、もう関係ありませんね❤\n自分から快楽を望んだ時点で、\nあなたの体を覆うバリアは消えています。,但是這已經都沒關係了，\n在你自己追求快感的瞬間，\n你身上的防護罩已經消失了。
バリア越しなんかじゃない、\nとびっきりの快感を楽しんでください。\n童貞マスターさん❤,不要再透過防護罩，\n直接感受到這頂級的快感吧。\n童貞玩家❤。
マスターの加護がなければ、\n最初の一はさみであなたもとっくに虜のはずなんですけど、,如果沒有你主人的加持的話，\n最開始的一夾應該就能征服你，
邪魔なバリアがあるせいで苦戦しちゃいました。\nでも、もう関係ありませんね❤,但是礙事的防護罩害我吃虧了。\n不過已經沒關係了。
自分から快楽を望んだ時点で、\nあなたはマスターの加護の外。,當你自己開始追求快感的瞬間，\n你身上的防護罩就已經消失了。
とびっきりの快感を楽しんでください。\n裏切り者のモンスターさん❤,感受極致的快感吧。\n背叛者怪獸卡❤。
はひぃっ、あっ、ああっ❤❤❤,哈咿、啊、啊、啊啊！
もう我慢できないんですね❤\nどうぞ、わたしの谷間に出しちゃってください❤\nほら、ほら…❤,已經要忍耐不住了呢，\n請射❤在我的乳溝當中射出來吧❤\n嗯哼哼……❤。
んふふっ、敗北お射精、気持ちいいですね❤\nびゅーびゅーって大事なエナジー出しちゃってます❤,嗯哼哼，敗北射精，感覺很爽對不對❤\n小雞雞一抖一抖把重要的能量射給對手耶❤
わたしのパフパフでふにゃふにゃにされて、\nそのうえパイズリで気持ちよく逝かせてもらえるなんて、,被女人用胸部幹臉，\n然後再被乳交射精。
ラッキーでしたね。モンスターさん❤くすくす❤,能得到這種命運真是太幸運了呢。對不對啊可愛的怪獸卡❤，嗯哼哼❤。
結局、男の人はおっぱいには勝てませんね。\nおかげさまで体力も全回復♪,這說明了男人根本無法戰勝奶子。\n而且還會讓對方體力全滿。
他の方も挟まれちゃいますか？\nきっと気持ちいいですよ❤くすくす❤,還有其他人想被夾嗎？\n被夾一定會很爽喔❤，嗯哼哼❤。
あうっ・・・。たいしたものですね。\nこのままでは負けてしまいます。,啊嗚嗚……。還真是厲害呢。\n這樣下去我就要輸了。
ねえ、さっきわたしがしてあげたパフパフ、\nもう一回されたくないですか？,欸，剛才的埋胸，\n想不想再體驗一次？
気持ちよかったですよねぇ❤\nちょっとだけでしたけど、お顔を挟んで、ぱふぱふ❤ぱふぱふ❤,很爽的喔，\n雖然剛才只有一下下❤但那還是用奶子夾臉喔。
さっきは途中でまででしたけど、\n今度は逝くまでしてあげますよ❤,剛才只做一到一半，\n這次絕對會讓你去了喔❤
ねえ、さっきわたしがパフパフするの、\n見てましたよね。,欸，你剛剛有看到我埋胸別人的樣子對吧？
この胸で顔を挟んで、\n何度もぱふぱふ❤ぱふぱふ❤,被這對奶子夾住臉，不斷揉弄。
力が抜けてふにゃふにゃになるまで、\n挟んで可愛がってあげました。\n同じこと、あなたもされたくないですか？,我把他夾到腿軟再也站不起來喔❤。\n你不想被做同樣的事情嗎？
そうです。このおっぱいで、ぱふぱふ❤です。,這樣啊。你說、想要、奶子❤對不對？
ね？されてみたいでしょう？\nだったら、武器を置いてそこで膝立ちになってください。,欸，你想被幹對不對？\n那麼你要聽話喔。要丟下武器在我面前跪下喔。
あなたのお顔、\nおっぱいで気持ちよく蕩けさせてあげます❤,你的臉因為被奶子幹得太爽已經開始在發情了呢❤。
そんな！誘惑に負けないなんて…、きゃあ！,怎麼會！竟然沒有敗給誘惑……，呀啊！
うふふ❤ぱふぱふしてほしいんですね❤,嗯哼哼❤想要被埋胸的樣子呢。
武器を床に落として、\n物欲しそうにわたしのおっぱいを見つめて、\nとってもかわいいですよ❤,武器丟到地上，一臉很想要的看我的奶子，\n這副模樣非常可愛喔❤。
さあ、仲間を裏切って気持ちよくなることを選んだご褒美に\nたっぷり甘やかしてあげます❤,感覺如何？這就是不惜背叛同伴也要得到的獎勵喔，\n好好體驗這份感受吧❤。
ほら、ぱふぱふ❤,來，這就是你想要的奶子喔❤。
はひぃっ、ああっ・・・❤,哈咿咿，啊啊啊……。
どうですか？とってもやわらかいでしょう？,如何啊？非常柔軟對不對？
お顔にしっとり吸いついていてくる、とろふわおっぱい❤\nかるーく押し当てられただけでも気持ちいいですよねぇ❤,緊緊吸附在臉上，又柔又彈的的奶子❤\n光是輕輕被彈一下就要爽到升天了❤。
このまま何度もぎゅって押し付けてあげますよ❤\nほら❤,接下來還會不斷壓在你臉上喔❤，\n嗯哼哼❤。
ぱふぱふ❤ぱふぱふ❤,啊啊，你被幹到爽翻的模樣好可愛喔❤。
うふふ❤完全にとろけ顔です。\n膝立ちするのもつらいぐらい、ふにゃふにゃですね❤,嗯哼哼❤臉已經完全酥麻了呢。\n全身完全無力，連維持跪姿也都很辛苦了呢❤
それなのに腰は必死にカクカクしちゃって、\nもう出したくてたまらないみたい❤,但是卻還在拼命扭腰，\n這是忍不住想射了對不對❤？
手で触れられてもいないのに、イっちゃうんですよね❤\nくすくす❤かっこ悪い❤,女孩子的手都還沒碰到小雞雞就要射了❤\n嗯哼哼❤好丟臉喔❤。
あひぃっ…❤❤あっ、ああっ……❤❤❤,啊咿……啊、啊啊……
ふふ、いいですよ❤\nわたしの体に体重あずけながら、\nどぴゅどぴゅって出しちゃってください。,嗯哼哼，沒關係喔❤\n我的奶子會壓在你身上，\n感受她的重量的同時射出來吧。
とどめに、\nおっぱいぎゅーってしてあげます。\nほら、ぎゅー・・・❤,你看，\n要讓妳射精的這對奶子\n要壓下來喔……❤。
あああっ❤❤❤,啊啊啊！
あん、すごい量のエナジーが、\nびゅーびゅー出ちゃってます❤,啊啊，好大量的能量，\n不斷射出來呢❤。
結局指一本触られていないのに、\nおちんちんからびゅーびゅー出しちゃいましたね❤,結果我的一根手指都沒碰到小雞雞，\n而這根小雞雞就拼命得一直亂射耶❤。
勝てる戦いをこんなカッコ悪い射精で棒に振って、\n良かったんですか？,明明是絕對能贏的卻搞到丟人挺棒棒射精\n這樣子會感覺很爽對不對？
まあ、わたしのおっぱいで\nそんな幸せそうな顔をしているあなたには\n聞くまでもないかもしれませんけど❤くすくす❤,哎呀，被我的奶子搞到一臉幸福的樣子了呢\n看樣子是根本聽不到呢❤嗯哼哼❤。
うふふ❤ほら、見てください。\nすけべなマスターさん❤,嗯哼哼❤請看。\n好色的玩家❤。
うふふ❤ほら、見てください。\nすけべなモンスターさん❤,嗯哼哼❤請看。\n好色的怪獸❤。
はううっ・・・。,哈嗚嗚……。
あなたがさっきお顔を挟まれたやわらかおっぱいです❤\n男の人の顔なんて楽々挟めちゃうこのおっぱい、\nまた見たかったんですよね？,這是剛才夾住你的臉的奶子喔❤\n你有看過這種可以\n輕鬆夾住男人臉的奶子嗎？
おっぱいが弱点のあなたには、\nこの巨乳、たまらないですよね？,對喜歡奶子的你來說，\n你看見這對巨乳就受不了對不對？
わたしのおっぱいなかなかのものでしょう？\n男の人の顔ぐらい大きいんです❤,我的奶子非常大對不對？\n都已經要跟男人的臉一樣大了呢❤。
いいんですよ。わたしをオカズにしても❤\n他の人のことなんて忘れて、\nその大きくなったペニスをしこしこ❤しこしこ❤,沒關係的喔。對著我自慰吧❤\n把其他人給忘記，\n自己在這裡摸這根變大的小雞雞❤。
ほら、こっちに来て、近くで気持ちよくなりましょう？,來吧，過來這邊，越靠近才會越爽喔。
ああっ、そんなに揺らされたらっ…❤,啊啊，要是你這樣搖的話……
くすくす❤腰がへこへこ動いちゃってます。\n気持ちよくなりたいの抑えられないんですね❤,嗯哼哼❤已經在扭腰了呢。\n想爽想到完全不能忍耐了耶❤
いいじゃないですか、別に。\n戦ってくれた仲間のことなんて放っておいても。,不救他們也沒差喔。\n那些為你而戰的同伴們。
いいじゃないですか、別に。\nマスターさんのことなんて放っておいても。,對喔，不用管他喔。\n主人的試驗怎樣都好。
試験に失敗しても殺されたりするわけじゃないんです。\nおっぱいに負けたって大丈夫❤,反正這場試驗失敗也不會被殺掉。\n所以可以敗給這對奶子喔❤
ね❤だからしごいてください。\nほらほら。しこしこ❤しこしこ❤,沒錯吧❤，所以要用力自慰喔。\n現在應該要用力的手淫。把以前沒看過這對奶子的份都一起用力做❤
あっ❤ああっ……❤,啊、啊啊……
ふふ❤いい子ですね❤,嗯哼哼❤你是乖孩子呢❤。
しこしこ扱く手をゆるめちゃだめですよ。\nわたしのマスターのためにも、イっちゃうまで扱いてください。,正在手淫的手不可以慢下來喔。\n你要為了我的主人，持續手淫到自己射精為止。
敵モンスターのおっぱいに負けてしこしこ❤,這是敗給敵方女性怪獸的奶子的自慰❤。
しこしこ❤,不幹到自己爽是不行的喔❤。
はひぃ❤もうっ……❤,啊哈，我要……
逝っちゃいますか？\nいいですよ。ちゃんと見ててあげます❤,想要去了嗎？\n我知道了。我會仔細看著的❤。
わたしのおっぱいオカズにして、\nびゅーって出してください❤,筆直的對準我的奶子，\n狠狠射出來吧❤。
うふふ❤気持ちよさそうなお顔❤,嗯哼哼❤一臉很爽的表情呢❤。
自分からおっぱいに負けちゃうのはどうでしたか？\n変態マスターさん❤,主動過來敗給奶子的感覺如何啊？\n變態玩家❤。
自分からおっぱいに負けちゃうのはどうでしたか？\n変態モンスターさん❤,主動過來敗給奶子的感覺如何啊？\n變態怪獸❤。
あらあら❤あなたもおっぱいに負けたくなっちゃったんですか？,哎呀呀❤你也想要敗給奶子嗎？
自分から屈服に来れるだなんて、\n素直でいい子ですね。\nもちろん見せてあげますよ。ほら…❤,親自過來屈服於我，\n真是乖巧的好孩子。\n所以我會給你看喔。來……❤
あなたの顔よりも大きいかもしれないですね。\n特盛りのおっぱいです❤,這個說不定比你的臉還要大。\n是特大號奶子喔❤。
この胸で何人も逝かせてきました。例えばこうやって…❤,這對胸部已經幹走了好幾個男人呢。就像這樣……❤
むにゅうって寄せ上げたり、\n縦にゆらしたり……❤\nふふ、目が釘付けですね❤,擠壓變形往上彈，\n上下搓揉……❤\n嗯哼哼，你都緊盯著看了呢❤。
ああっ、あああっ❤,啊啊、啊啊啊！
あなたの仲間だって\nわたしのおっぱいに自分から負けちゃったんです。\nだからあなたもおっぱいに負けたって大丈夫❤,你的同伴啊\n也都看著我的奶子後輸掉了喔。\n所以你也敗給奶子是不會怎麼樣的喔❤。
しこしこ♪しこしこ♪\nいっぱいしごいてください❤,看著我的奶子，狠狠的操那根變態雞雞吧❤。
そう、その調子ですよ❤,對，就是這樣子❤。
敵モンスターのおっぱいに負けてしこしこ❤\nパイズリやパフパフされるのを妄想して、\nしこしこ❤しこしこ❤,敗給敵方怪獸的奶子後自慰，\n想像被那奶子乳交跟幹臉\n就這樣自慰到射精衝動出現也停不下來❤。
自分からおっぱいに負けちゃうのはどうでしたか？変態マスターさん❤,自己主動敗給奶子的感覺如何啊？變態玩家❤。
自分からおっぱいに負けちゃうのはどうでしたか？変態モンスターさん❤,自己主動敗給奶子的感覺如何啊？變態怪獸❤。
残念でしたね。気持ちよくて耐えられませんでしたか？うふふ❤,真可惜呢。太爽了完全沒辦法忍對不對？嗯哼哼❤。
動くことができなかった,興奮到動不了了
彼女を振り払い、とどめを刺した,將她甩開並擊倒她
言われるままに膝立ちになった,聽從她的話在她面前跪下
提案を無視して、とどめを刺した,無視提議並擊倒她
