default
バスティスライム,波霸史萊姆
エッチの経験が少ないあなたが負けても、誰も責めない。\nだから、ね❤\nパイズリされて谷間に中出ししちゃお❤えいえい❤,對於沒什麼做愛經驗的你來說，敗給這種乳交是理所當然的。\n所以，別怕❤。\n放心被乳交然後在乳溝中內射吧❤，呀啊❤。
男のマスターに従っていても、\nいいことなんて何もないと思うなー。\nそれに比べてほら・・・。,在男性卡片玩家手下戰鬥，\n是沒有任何好事的喔。\n與其相比……。
わたしたちに負けちゃえば、\nこんな風に気持ちいいパイズリ、\nしてもらえるんだよ❤,如果敗給我們的話，\n就可以像這樣被乳交喔❤。
おちんちんが気持ちよくて、もう最高に幸せで・・・❤\nどっちの方がいいか、考えなくてもわかるよね？うふふ❤,小弟弟能夠爽才是世界上最幸福的事情❤。\n因此哪邊比較好根本不需要思考吧？嗯哼哼❤。
ほらぁ、むぎゅっておちんちん挟み込んで、\nずりずり、ぐちゅぐちゅ❤\nぷるんぷるんのおっぱいで死ぬほど気持ちよくされちゃう❤,嗯哼哼❤這對大奶子把小弟弟夾起來。\n上下揉弄、黏液纏繞❤\n被充滿彈性的大奶子幹爽得要死耶❤。
頭の中とろとろにされて、戦えなくされちゃうね❤\nおっぱいに負けてエナジーわたしにちょうだぁい❤\nほらほらほら・・・❤,你已經被幹到腦袋融化，完全無法戰鬥了❤。\n敗給奶子把能量交給我吧❤。
ううっ、おっぱいで気持ちよくして…❤\nおねがいします・・・❤,嗚嗚、奶子好棒……。\n拜託妳……。
くすくす❤おちんちん挟んでほしくて、\n敵におねだりしちゃうんだ❤,嗯哼哼❤，太想要被夾小弟弟最後直接求敵人了耶❤。
わたしのスライムおっぱい、\n気持ちよさそうだもんねー❤\n我慢できなくなっちゃったのかな？かわいい❤,畢竟人家的史萊姆奶子太爽了呢❤。\n所以沒過多久就忍不住想要被幹呢。\n好可愛喔❤。
あん❤おっぱいにどぴゅどぴゅ出しちゃった❤\nおねだりして自分から負けるなんて、\n初心者マスターくんってばかわいい❤,啊哈❤，在奶子裡面一波波的射乾了❤。\n竟然懇求對方打敗自己，\n新人卡片玩家真的好可愛喔❤。
あん❤おっぱいにどぴゅどぴゅ出しちゃった❤\nおねだりして自分から負けるなんて、\n素直でかわいいモンスターくんね❤くすくす❤,啊哈❤，在奶子裡面一波波的射乾了❤。\n竟然懇求對方打敗自己，\n真是誠實可愛的怪獸卡❤，嗯哼哼❤。
うっ、ううっ・・・。,嗚、嗚嗚……。
うふふ❤攻撃してくるかと思ったら、オナニーし始めるなんて・・・❤,嗯哼哼❤，還以為你要攻擊我，結果竟然是來自慰的……❤。
わたしにエッチなことされて、もうおっぱいのことしか考えられなくなっちゃったのかな？くすくす♪,被我做了色色的事情後，腦袋裡面就只能想著奶子了對不對？嗯哼哼❤。
戦いの最中なのに、わたしのおっぱいを見て、エッチな妄想抑えられなくなっちゃったんだね？くすくす♪,明明還在戰鬥，卻因為看見我的奶子就搞到無法抑制自己色情的妄想嗎？嗯哼哼❤。
ほら、たくさん見ていいんだよ。わたしのおっぱい❤,來吧，你可以盡情看喔。看我的大奶子❤。
うあっ、ううっ・・・。,嗚啊、嗚嗚……。
あは、興奮しすぎ❤谷間を作ってあげただけで、そんなにガン見しちゃって・・・。恥ずかしくないのかな？他の仲間に笑われちゃうよ？,啊哈，你興奮過頭了啦❤，我只是擠乳溝而已，你就這樣拼命得看……。不會覺得很可恥嗎？不會被其他同伴嘲笑嗎？
そんなこともうどうでもいっか。おっぱいのことだけしか頭になくて、とっても間抜けなお顔でおちんちん扱いてる❤,你根本不想去管那些事情呢。因為你滿腦只有奶子，還露出一副蠢樣摸自己小弟弟呢❤。
しこしこ、しこしこって・・・❤気持ちよさそうだねー。変態で、最高にカッコ悪いよ❤新米マスターさん❤,看你那快速手淫的樣子❤，似乎很舒服呢。變態、超級難看喔❤，新人卡片玩家❤。
しこしこ、しこしこって・・・❤気持ちよさそうだねー。変態で、最高にカッコ悪いよ❤,看你那快速手淫的樣子……❤，似乎真的很舒服呢。變態又超級噁心喔❤。
ふふ、馬鹿にされて興奮しちゃった？しごくの、もっと早くなってるじゃん❤,嗯哼哼❤，被罵了就興奮起來了嗎？你手淫速度比剛才還快耶❤。
敵の目の前でくすくす笑われて、悔しいはずなのに、おちんちんをいじる手がとまらない・・・❤,在敵人面前自慰被她嘲笑，明明很不甘心，但摸小弟弟的手根本停不下來……❤。
いいよ。ほら、おっぱいを顔の前でたぷたぷしてあげるから・・・❤情けない顔のまま、射精しちゃえ。,來吧。我會在你的臉前面讓我的奶子彈跳起來❤。你就用你那丟人的發情臉射精吧。
イク瞬間のトロトロにとろけた顔、じーっと見ててあげる。うふふ・・・❤,我看仔細看清楚你高潮瞬間的發情臉的。嗚哼哼……❤。
あは❤すごい量の精液。おっぱいにいっぱいかかっちゃった。,啊啊❤好驚人的精液量。射得奶子到處都是呢。
わたしのおっぱいに負けるの気持ちよかったかな？素敵なマゾ射精だったね。くすくす❤,你敗給我的奶子感覺超爽的呢。真是非常棒的敗北射精呢。嗯哼哼❤。
うふふ❤攻撃してくるかと思ったら、あなたもオナニーし始めるなんて・・・❤,嗯哼哼❤，還以為你要攻擊我，結果你也開始自慰了……❤。
おっぱいのこと大好きなんだもんね❤仲間が負けちゃうのを見て、おちんちんイライラしちゃったのかな？くすくす♪,因為超喜歡奶子所以沒辦法呢❤。看見同伴敗北的樣子，小弟弟就很難受呢。嗯哼哼❤。
仲間がわたしのおっぱいの前で自爆しちゃうのを見て、エッチな妄想抑えられなくなっちゃったのかな？くすくす♪,看見同伴我的奶子面前自爆的樣子，色情的妄想就停不下來了呢。嗯哼哼❤。
ほら、近くで見ていいよ。わたしのおっぱい❤,來，你靠近過來看吧。看我的奶子❤。
うあっ❤ううっ・・・❤,嗚啊！嗚嗚……！
あは、興奮しすぎ❤モンスターの体をそんなにガン見しちゃって恥ずかしくないの？,啊哈哈，你太興奮了啦❤。眼睛緊緊盯著怪獸卡的身體看不覺得丟人嗎？
あなたも、さっきの人も、おっぱいのことで頭いっぱいで、おちんちんしごくのに一生懸命❤とっても間抜けなお顔で、しこしこ、しこしこ❤,不管是你還是剛才那位，滿腦子只有奶子，拼命的在摸小弟弟❤。一臉丟人的樣子在那邊手淫，好像那比對戰本身重要❤。
マスターらしくみんなを引っ張っていかなきゃいけないのに、お手本を見せるどころか自分も一緒にしこしこ❤しこしこ❤,明明應該以主人的身分來帶動士氣。結果你卻親自示範看奶子摸小弟弟的正確姿勢。是不是接下來要說大家聽好，要像這樣一臉發情的嬌喘並套弄喔❤。
おちんちん気持ちよくなれればなんでもいいんだもんね。プライドとかないんだもんね❤くすくす❤,只要小弟弟能爽其他事情根本就不想管呢。尤其是尊嚴特別不重要呢❤，啊哈哈❤。
みんなしてマスターのこと裏切って、ふふふ・・・❤最高にカッコ悪いよ、モンスターさん❤,大家一起來背叛主人喔❤，這真是超級丟人的行為耶，自慰怪獸卡❤。
ふふ、あなたも馬鹿にされて興奮しちゃっているの？マゾばっかりだね。しごくの、もっと早くなっている❤,嗯哼哼，你也被嘲笑以後就興奮了嗎？你們全是Ｍ男耶。しごくの、もっと早くなっている❤
おっぱいに夢中な姿をくすくす笑われて、悔しいはずなのに、おちんちんをしごく手がとまらない・・・❤,眼睛只有奶子還被對方嘲笑，明明很不甘心蛋摸小弟弟的手根本停不下來……❤。
いいんだよ。ほら、おっぱいを顔の前でたぷたぷしてあげるから、情けない顔のまま、射精しちゃえ。,看啊。我的大奶子在你面前彈動，你就看著這畫面以丟人的表情射精吧。
あんっ❤すごい量の精液。おっぱいにいっぱいかかっちゃった。,啊嗯❤，好驚人的精液量。射到奶子上到處都是呢。
あううっ、追い詰められるなんて予想以上・・・。,啊嗚嗚，竟然能打到這種地步……。
ねえ、あなたはわたしのおっぱいで気持ちよくなりたくないの？,欸，你想不想用我的奶子徹底爽一次？
何回かぎゅってしてあげたから、わかるよね。わたしのおっぱいがどれだけ気持ちいいかってこと・・・❤,你都被我幹了好幾下，所以知道吧？你應該知道我的奶子用起來有多爽吧❤。
ほら、我慢なんてやめちゃお？たくさん挟んであげるよ。,所以，忍耐那種無聊的事情就不必了吧？我會丟下一切夾你的。
だから、武器を捨てて。おねがーい❤,所以呢，丟下武器好不好？拜託你啦❤。
きゃあ！あうう、とっても気持ちいいのに・・・。,呀啊！啊嗚嗚，明明用起來會非常爽的……。
ふふ❤ありがと。やっぱり男の子ならおっぱいで気持ちよくなりたいよね❤,嗯哼哼❤謝謝你喔。果然是個男孩子就會想要用大奶子來爽呢❤。
そこに寝ころんで。いっぱい楽しませてあげる。,來，躺在那邊吧。我來讓你爽翻天。
あうううっ…❤,啊嗚嗚嗚嗚……。
どうどう？気持ちいいでしょー❤,如何如何？很爽對不對❤。
自分から負けを選ぶと、心のバリアが消えちゃうから、おちんちんから伝わるおっぱいの気持ちよさが何倍にもなっちゃうの。,當你自己選擇敗北時，心靈上的防護罩就會消失，我的奶子能傳達給小弟弟的快感就會提升數倍。
わたしのとろけるようなおっぱいで、たくさん喘いでいいよ・・・❤,你就在我融化般的奶子下盡情嬌喘吧❤。
はうっ、あああっ…❤,哈嗚、啊啊啊……
あはー❤いい声♪,啊哈哈❤，這叫聲好棒❤。
さっきまで勝てそうだった相手に、一方的に喘がされちゃう気分はどうかな？,明明是能打贏的對手，下一瞬間被她單方面幹到嬌喘連連的感覺如何？
わたしの体の上で、だらーんって身を任せてパイズリされちゃって・・・。くすくす。自分が情けなく思えてきちゃう？,被我壓在下面，完全不想抵抗任我乳交……。嗯哼哼❤不覺得自己很丟人嗎❤。
あっ、ああっ❤も、もうダメ❤こんなのっ…❤,啊、啊啊！要、要不行了！這種感覺……
先っちょが膨らんでる。ここまで来たらイクまで止まれないでしょ？いいよー❤,龜頭膨脹了喔。到這種地步你不射根本受不了吧。沒問題喔❤。
スライムおっぱいに、おちんちん負けちゃおうね。ほら、出して出して❤,趕快讓你的小弟弟在史萊姆的奶子中敗北吧。來來，射啊射啊❤。
んふ❤おっぱいどろどろー❤大事なエナジー簡単に出しちゃったね。,嗯哼❤奶子上全都是黏黏的精液❤男人重要的能量這麼簡單就射給我了。
勝てそうな勝負を自分から捨てて、こんな風にバトルに負けて、よかったのかな？新米マスターさん♪,明明能贏的戰鬥卻自己捨棄勝利，以這種丟人的形式輸掉對戰，是不是很爽啊？新人卡片玩家❤
気持ちよかったでしょ？マスターの命令に逆らって、自分から武器を捨てた甲斐はあったんじゃない？ふふふ❤,感覺很爽對不對？有不惜忤逆主人的命令捨棄武器的價值對吧？嗯哼哼❤。
あううっ、また追い詰められるなんて・・・。,啊嗚嗚，又要被打倒了……。
ねえ、あなたもわたしのおっぱいで気持ちよくなりたくない？,欸，你想不想也用我的奶子爽一發？
何回かぎゅってしてあげたから、わかるよね。,你都被我搞了好幾次了，應該很清楚吧？
わたしのおっぱいがどれだけ気持ちいいかってこと❤,我的奶子用起來感覺有多爽❤。
さっきの人も自分から武器を捨てて、\n谷間の中にぜんぶ出しちゃったの・・・❤,剛才的人也自己丟下武器，\n盡情在這乳溝中射出來呢……❤。
武器を捨てて・・・。おねがい❤,可以請你丟掉武器嗎……？求你了❤。
ふふ❤ありがと♪\n自分一人だけ真面目に戦っても馬鹿みたいだもん。\nあなたもおっぱいで気持ちよくなりたいよね❤,嗯哼哼❤，謝謝你。\n果然整個場上只有自己一個人在認真戰鬥的話感覺很像白癡呢。\n不是單純只是想要用大奶子爽而已呢❤。
そこに寝ころんで。\nいっぱい楽しませてあげる。,在那邊躺好。\n接下來交給我就好了。
自分から負けを選ぶと、\n心のバリアが消えちゃうから、\nおちんちんから伝わるおっぱいの気持ちよさが何倍にもなっちゃうの。,當你自己選擇敗北後，\n心靈上的防護罩就會消失，\n奶子能傳達給小雞雞的快感就會增加數倍喔。
わたしのとろけるようなおっぱいで、\nたくさん喘いでいいよ・・・❤,在人家的大奶子下嬌喘到死吧❤。
あは❤いい声❤,啊哈❤，好可愛的聲音❤。
さっきまで勝てそうだった相手に、\n一方的に喘がされちゃう気分はどうかな？,到剛才為你眼前這個大奶子女性怪獸卡還是能打敗的對手，\n現在被她幹到不斷嬌喘的感覺如何？
わたしの体の上で、\nだらーんって身を任せてパイズリされちゃって・・・。\nくすくす。自分が情けなく思えてきちゃう？,被我壓在大奶子下面，\n完全不抵抗的任我乳交……。\n嗯哼哼。不覺得自己很丟人嗎？
いいよー❤\nもうそこまで来たらイクまで止まれないでしょ？,已經怎樣都好了❤\n到這種地步你不可能中止射精了。
あなたもスライムおっぱいに負けちゃおうね。\nほら、出して出して❤,你也要敗給史萊姆乃子了呢。\n好了，快射快射❤。
んふ❤おっぱいどろどろー❤\n大事なエナジー簡単に出しちゃったね。,嗯哼❤，奶子上全是白白的精液❤。\n這麼重要的能量這麼簡單地就全射出來了。
あと一歩まで追い詰めたのに、あなたも結局、モンスターと一緒だったね。おっぱいに負けたかったんでしょ？新米マスターさん❤,再一步就要打敗我這個上級怪獸了，但是你的下場跟剛才的怪獸卡一樣。你其實也很想敗給奶子對不對？新人卡片玩家❤。
みんなしてマスターの命令に逆らって・・・。くすくす❤おっぱいに弱すぎだよ❤,大家都在忤逆主人的命令……。嗯哼哼❤，你對奶子根本沒有抵抗力呢❤。
ほら見て。谷間がどろどろ❤わたしのおっぱい、オカズにできてよかったね。新米マスターさん❤,你看。乳溝中全是黏稠的精液❤，能夠看著我的奶子自慰真是太爽了呢。新人卡片玩家❤。
わたしのパイズリ気持ちよかったでしょー❤\n自慢のおっぱいでいちころだったね。うふふ❤,被我的奶子幹真的是太爽了對不對？\n你也被我自豪的奶子給幹掉了呢。嗯哼哼❤。
スライムを使うサキュバスの少女に敗れた僕は、近くで商人が襲われている中、青色の上級スライムに下半身をとらわれていた。,我敗給操縱史萊姆的魅魔少女後，她轉為襲擊附近的商人。而藍色的上級史萊姆則抓住我的下半身。
ううっ、離して・・・。\n助けにいかないと・・・。,嗚嗚，放開我……。\n我必須要救他……。
くすくす❤お射精しちゃって力入らないね❤\nわたしの体にのしかかられて、\n全然逃げられない❤,嗯哼哼❤，射精後你已經沒有力氣了喔❤。\n被我壓在身體下面，你已經不可能逃走了❤。
一回出したのに、おちんちんまだかたぁい❤\n商人さんのことなんて放っておいて、\nもっと気持ちいいことしたいんだよねー❤,明明剛剛才射過一次，小弟弟卻還這麼硬❤。\n你就別管那個商人了，你其實很想再爽一發對吧❤。
あはは、無様な格好❤やっぱり男の子っておっぱいには勝てないんだね。わたしのおっぱいをおかずにするの気持ちよかったでしょ❤,啊哈哈，真是難看呢❤，果然男孩子就是贏不了奶子呢。看著我的奶子自慰的感覺很爽不是嗎❤。
おっぱいを見せつけてあげたら、自分でシコシコしちゃうんだもん。カッコ悪かったよ❤くすくす❤,只是把奶子擠出來給你看，你就開始在那邊摸小弟弟。有夠難看的❤，嗯哼哼❤。
ぐっ、違うっ・・・❤\nあうっ、やめて、ぐちゅぐちゅしないでぇ・・・❤,咕、不是……！\n啊嗚、不要、黏液不要過來……！
あはは❤かわいい反応で楽しくなっちゃう❤\nスライムに包まれたまま、ぐに、ぐに、って動かされると、\nとっても気持ちいいでしょ？,啊哈哈❤，好可愛的反應喔❤。\n被史萊姆包住全身一點一點地侵蝕身體。\n也非常爽對不對？
このままわたしの下半身でゆっくり食べてあげてもいいけれど・・・。,就這樣用我的下半身慢慢把你吃掉也行但是……。
さっき君が射精したおっぱいで、また搾り取ってあげる❤\nえいっ❤,不過我想先用剛剛把你幹到射精的奶子來把你榨乾❤。\n嘿呀❤。
まずはおっぱいでぎゅーってちゃんと捕まえて…❤,首先用奶子緊緊把你抓住……
あは、こうやって押し付けられるの気持ちいい？\nぷるんぷるんのスライムが、\nあなたのおちんちんを押しかえしてくるよ❤,啊哈哈，被這樣壓倒在下面感覺很爽嗎？\n我彈嫩柔軟的史萊姆奶子，\n正在壓倒你的小弟弟喔❤。
あっちで君が守ってた人が襲われてるのに、\nがんばって跳ね除けないといけないのに…❤,你要保護在人正在被我的主人襲擊，\n現在不努力推開我不行但是……。
おちんちんはおっぱい押し付けられただけで降参しちゃう❤\nもっと気持ちよくしてぇって、\n固く、敏感になっちゃう❤,小弟弟被奶子壓一下就要投降了呢❤，\n只想要更加舒服、更硬更敏感❤。
うっ、ううっ・・・。だめなのに・・・❤\nはうぅ、やわらかくてぇ・・・❤,嗚、嗚嗚……。明明不可以……，但是好軟喔……❤。
くすくす❤まだ動かしてないのに、そんな泣きそうな顔されたら、\nわたしもうたまんない❤,嗯哼哼❤，我都還沒開始動，你就一副難受到想哭的樣子，\n讓我也好想要喔❤。
人間の男の子をいじめるのって楽しいなぁ。\nほら、動かして、もっと顔をぐちゃぐちゃにしてあげる❤,欺負人類男孩子真的是太爽了。\n那麼我要開始動了，把你的表情給弄壞❤。
あひっ、あっ、あっ、ああっ❤❤,啊咿、啊、啊、啊嗚❤！
スライムおっぱい気持ちいいねー❤\nぷるんぷるんでしっかり包み込んでくるのに、\nローションつけたみたいにとろとろすべすべ❤,史萊姆奶子的感覺很舒服對不對❤？\n彈嫩柔軟的奶子緊緊包住你，\n而且還有跟潤滑液一樣的液體讓你變得潤滑❤。
ぬるんぬるんっておちんちんが撫でられて、\nもうたまんない❤腰が抜けちゃいそうでしょ❤,被潤滑的柔軟物給撫摸，\n這已經讓人受不了了❤，身體要爽到爽掉了呢❤。
くすくす❤腰がガクガク震えてるよ？\n無意識かもしれないけど、\nおちんちん一生懸命おっぱいにこすりつけちゃってる❤,嗯哼哼❤，身體興奮得發抖呢。\n雖然你應該是下意識的，\n但是小弟弟已經拼命地來摩擦我的奶子了呢❤。
これが女の子モンスターのカラダだよぉ❤\nおっぱいズリズリ、気持ちいいねー❤,這可是女性怪獸卡的身體喔❤，\n但是能摩擦奶子還是很舒服呢❤。
はひぃっ・・❤だめ、だめぇ❤このままじゃ、またっ❤,哈咿……❤。不行、不行啊❤！這樣子我會、又要❤！
あはぁ、先っぽ膨らんできた❤\nまた出しちゃうんだ❤,啊哈哈，龜頭膨脹起來了❤，\n好像又要射了呢❤。
スライムおっぱいでズリズリされて、\nあっという間にお射精の準備できちゃったね❤\n離せぇとか言ってたのに、全然耐えられない❤はやぁい❤,跟史萊姆奶子摩擦後很快就完成射精準備了呢❤。\明明叫我離開，卻完全忍耐不住呢❤好快～喔❤。
ほらぁ、出して出して❤,嗯哼哼❤，快射快射❤。
おっぱい、ぱんぱんぱん♪って叩きつけてあげる❤\nぷるぷるパイズリで精液搾りだされちゃえ❤,我用奶子給你啪啪啪喔❤，\n用這彈嫩的乳交來榨取你的精液喔❤。
マスターくんのおいしいエナジー、ほらぁ、ちょうだぁい❤\nイケ、イっちゃえ❤\nびゅるるぅ❤,把卡片玩家美味的能量射給我吧❤！\n射啊！給我射❤！\n丟人的射在史萊姆奶子內❤！
くうっ、あうぅっ・・・❤,咕嗚、啊嗚嗚……❤。
あひぃ、はひぃ・・・❤きもちいい・・・❤,啊咿、哈咿……❤，好爽喔……❤。
くすくす❤とろーんってした顔かわいい❤\nおちんちんからどびゅーって出したら、\n頭ふわぁってなっちゃった？,嗯哼哼❤，發情臉好可愛喔❤。\n小弟弟射了的話，會不會吊白眼呢？
敵だった女の子に、\nずりずりたぷたぷ、パイズリ攻撃されて、\nすっかりとろけ顔❤,被敵對女孩子給乳交攻擊後，\n就是一副這麼丟人的臉呢❤。
んふふ❤、エナジーもすごくおいしいし、\nわたし、あなたのこと気に入っちゃった。\nマスターに頼んで飼ってもらおうかなぁ❤,嗯哼哼❤，能量的味道好棒喔。\n我好喜歡你的身體喔。\n去拜託主人說要飼養你好了❤。
ねー、あなたはどう思う？\nわたしに飼ってほしい？,欸，你覺得呢？\n想被我飼養嗎？
ううっ、それはぁ・・・❤\n妹を、妹を助けにいかないと・・・❤,嗚嗚、可是我……❤，\n必須要、救妹妹……❤。
そっかー、残念だなー❤\nでも、ほら、見てぇ❤,這樣啊，好遺憾喔❤，\n但是、你看❤。
あなたを二回もイかせちゃったおっぱい❤\n挟んで、ずりずりされて、\nとってもきもちよかったよねー❤,這對已經讓你射兩次的奶子❤，\n你覺得讓她夾你跟救妹妹哪一邊比較爽呢？
もうわたしのおっぱいは飽きちゃったかなぁ❤\nあの腰が溶けちゃうみたいなパイズリは、\n二度と味わえなくなっちゃうんだよ？,你對我的奶子已經膩了嗎？\n那種可以讓你全身融化的乳交，\n離開我身邊就再也享受不到了喔。
わたしのおっぱいはねー、特別製なの。\n男の子が一番気持ちよくなれるように、\n弾力も大きさも、ばっちり調整済み❤,我的奶子可是特製的喔。\n為了讓男人爽到極點，\n不管是彈力還是大小都精準得調整過喔❤。
だからぁ、いまもおちんちん、じんじんうずいてるよね。\n気持ちよすぎたパイズリの快感、\n忘れられないんでしょ？,所以你的小弟弟現在才會爽到酥酥麻麻的呢。\n變成已經忘不了這種爽到極點的乳交了喔。
はやくまた挟んでほしいよぉ、って\nもう我慢できなくなってる❤,好想趕快再被夾一次，\n已經只剩這種想法了呢❤。
ほらぁ、わたしがおっぱいって言うたびに、びくびくしちゃってるよ❤\n痛いぐらいにギンギンになってるけど、\nパイズリしてもらえなくていいのかなー❤,對吧？只要我說一次奶子，你小弟弟就會抖一下❤。\n都勃起到光是看就覺得很難受的樣子，\n你不讓他接受乳交真的沒關係嗎❤。
うぐ、うううっ・・・❤,嗚咕、嗚嗚嗚……❤。
ね、どうしてほしい？\nまた気持ちよくしてほしい？,欸，你想要我怎樣做？\n你還想爽對吧？
でもね、あなたのエナジーもそろそろ限界。\nもう一回どぴゅってしたら、\nあなたは気絶しちゃうかも♪,但是啊，你的能量已經到極限了。\n要是再讓你射一次可能就要昏倒了喔。
そうしたらわたしたちに連れ去られて、\nその先はずーっとペット扱い。\n飼われてエナジータンクにされちゃうんだよ❤,這麼一來你就要被我帶回家當寵物飼養了呢。\n被我們變成能量瓶飼養喔❤。
