default
死をふりまくもの,散佈死亡者
亀頭を胸に押し付けて、ぷにぷに❤むにむに❤\nあは、わたしみたいな小さいおっぱいでも、\nおちんちんに擦りつけられると気持ちいいんだー❤,亀頭を胸に押し付けて、ぷにぷに❤むにむに❤\nあは、わたしみたいな小さいおっぱいでも、\nおちんちんに擦りつけられると気持ちいいんだー❤
ほら、根元を手コキしながらぁ、\nもっとぐいっておっぱいに押し付けてあげるねー❤\n柔らかいのに包まれながらシコシコされて、たっぷり射精しちゃえ❤,ほら、根元を手コキしながらぁ、\nもっとぐいっておっぱいに押し付けてあげるねー❤\n柔らかいのに包まれながらシコシコされて、たっぷり射精しちゃえ❤
踏んづけてあげるね。えい❤,踏んづけてあげるね。えい❤
あは、ブーツで踏まれて喘いでるし❤\nチンポ踏まれてうれしいんだー❤へんたーい♪,あは、ブーツで踏まれて喘いでるし❤\nチンポ踏まれてうれしいんだー❤へんたーい♪
死者の世界に人を迷わせるのが、わたしの趣味なの❤\n暗い森で野宿している人を見かけたら、そばまで行って・・・。,死者の世界に人を迷わせるのが、わたしの趣味なの❤\n暗い森で野宿している人を見かけたら、そばまで行って・・・。
「ねえ、あっちで気持ちいいことしよ…❤」って甘えてあげて\n死者の世界までふらふらーって連れて行っちゃうんだよ❤,「ねえ、あっちで気持ちいいことしよ…❤」って甘えてあげて\n死者の世界までふらふらーって連れて行っちゃうんだよ❤
途中で怖くなって逃げようとしてもねー、\n足とか手でちょっとおちんちんなでてあげれば、\n結局みんな断れないんだー❤,途中で怖くなって逃げようとしてもねー、\n足とか手でちょっとおちんちんなでてあげれば、\n結局みんな断れないんだー❤
くすくす❤聞いてたら興味出てきた？\nほらあなたのおちんちんにもわたしの足コキ楽しませてあげるね❤\nブーツを脱いで、生足ですりすりすり～♪,くすくす❤聞いてたら興味出てきた？\nほらあなたのおちんちんにもわたしの足コキ楽しませてあげるね❤\nブーツを脱いで、生足ですりすりすり～♪
あなたの上にまたがってぇー❤\nほら、チンポの上で、腰をすりすり❤\nたくさんこすりつけてあげる❤,あなたの上にまたがってぇー❤\nほら、チンポの上で、腰をすりすり❤\nたくさんこすりつけてあげる❤
あん❤どんどん固くなってきた❤\nわたしの中に入れたい？中に出したい？\nそれならほらぁ、自分から腰を突き出して、ずぷって挿入しちゃっていいよぉ,あん❤どんどん固くなってきた❤\nわたしの中に入れたい？中に出したい？\nそれならほらぁ、自分から腰を突き出して、ずぷって挿入しちゃっていいよぉ
入れたらそのまま天国行き❤\nわたしのおまんこで脳みそ蕩けちゃおうよー❤\nきゃははは❤,入れたらそのまま天国行き❤\nわたしのおまんこで脳みそ蕩けちゃおうよー❤\nきゃははは❤
えー、わたしにいじめてもらって、\n命を吸い取ってほしいの？\nきゃはは、自分からおねだりしちゃうなんて悪い子だねー❤,えー、わたしにいじめてもらって、\n命を吸い取ってほしいの？\nきゃはは、自分からおねだりしちゃうなんて悪い子だねー❤
いいよー。あなたのこと吸い殺してあげる❤\nどうやっておちんちん気持ちよくしてほしいか言ってごらん？,いいよー。あなたのこと吸い殺してあげる❤\nどうやっておちんちん気持ちよくしてほしいか言ってごらん？
くすくす❤わたしの手でいじめてほしいんだ❤\nいいよー❤命をびゅるるぅって出しちゃうまで、\nしこしこして遊んであげる❤,くすくす❤わたしの手でいじめてほしいんだ❤\nいいよー❤命をびゅるるぅって出しちゃうまで、\nしこしこして遊んであげる❤
わたしの体でからかってほしいんだー。いいよー❤\n足でふんづけたり、おちんちんの上におまたをすりすりしてあげる❤,わたしの体でからかってほしいんだー。いいよー❤\n足でふんづけたり、おちんちんの上におまたをすりすりしてあげる❤
きゃは❤足で踏まれて出しちゃったねー❤\nおちんちん踏まれて敵に負けちゃうんだもん。あなたってマゾだよねー❤\nマーゾ❤へんたーい❤きゃはは❤,きゃは❤足で踏まれて出しちゃったねー❤\nおちんちん踏まれて敵に負けちゃうんだもん。あなたってマゾだよねー❤\nマーゾ❤へんたーい❤きゃはは❤
あは、手でいじめてあげたらドロドロのエナジー出しちゃった❤\nこんなか細い手に負けて、敵にエナジーあげちゃうなんて\nほんと雑魚チンポなんだねー❤くすくす❤,あは、手でいじめてあげたらドロドロのエナジー出しちゃった❤\nこんなか細い手に負けて、敵にエナジーあげちゃうなんて\nほんと雑魚チンポなんだねー❤くすくす❤
あん❤先っぽ入れる寸前で出しちゃった❤\n中に出せるって思ったら興奮しすぎちゃった？\nきゃはは、チンポ弱いねー❤,あん❤先っぽ入れる寸前で出しちゃった❤\n中に出せるって思ったら興奮しすぎちゃった？\nきゃはは、チンポ弱いねー❤
ううっ・・・❤我慢できない・・・❤,ううっ・・・❤我慢できない・・・❤
あはは❤わたしの前に来たと思ったら、\nおちんちんいじり始めちゃった❤,あはは❤わたしの前に来たと思ったら、\nおちんちんいじり始めちゃった❤
わたしが可愛すぎてぇ、エッチな気分抑えられなくなっちゃった？\n敵の前でおちんちんをしこしこ、しこしこ❤\n触るところ見ててほしいんだー❤へんたーい❤,わたしが可愛すぎてぇ、エッチな気分抑えられなくなっちゃった？\n敵の前でおちんちんをしこしこ、しこしこ❤\n触るところ見ててほしいんだー❤へんたーい❤
わたしねー、生きている人を死の世界に連れて行く妖精なんだけど、\n案内している途中に、\nいつもおちんちんをからかって遊んであげるんだよ❤,わたしねー、生きている人を死の世界に連れて行く妖精なんだけど、\n案内している途中に、\nいつもおちんちんをからかって遊んであげるんだよ❤
まだ死にたくないよーって言い出したら、\nおちんちんをやさしく握って、3回ぐらいしこしこしこってするの❤\nそしたらねー、顔がとろけて射精したいの我慢できなくて・・・,まだ死にたくないよーって言い出したら、\nおちんちんをやさしく握って、3回ぐらいしこしこしこってするの❤\nそしたらねー、顔がとろけて射精したいの我慢できなくて・・・
ふらふらーってわたしの後をついてきちゃうんだ❤\n冥府に着くまで何回もこれを繰り返して、\nずーっとおあずけ❤,ふらふらーってわたしの後をついてきちゃうんだ❤\n冥府に着くまで何回もこれを繰り返して、\nずーっとおあずけ❤
どんな男の子も、最後はとろとろの顔で \n「早くイかせて」っておねだりするの❤\nだから冥府の扉をくぐった瞬間にシコシコして「逝かせて」あげるの❤,どんな男の子も、最後はとろとろの顔で \n「早くイかせて」っておねだりするの❤\nだから冥府の扉をくぐった瞬間にシコシコして「逝かせて」あげるの❤
死んじゃうことよりおちんちん気持ちよくなることを選ぶなんて、\n男の子ってバカだよねー❤\nま、勝手にしごき始めちゃったあなたの方がもっとバカだけど❤,死んじゃうことよりおちんちん気持ちよくなることを選ぶなんて、\n男の子ってバカだよねー❤\nま、勝手にしごき始めちゃったあなたの方がもっとバカだけど❤
ねー、バカじゃなかったらそんなことしないよねー。\n敵の前で自分からおちんちん触って、\n早く命を吸い取ってぇって喘いでるんだよ？きゃはは、きもーい❤,ねー、バカじゃなかったらそんなことしないよねー。\n敵の前で自分からおちんちん触って、\n早く命を吸い取ってぇって喘いでるんだよ？きゃはは、きもーい❤
ううっ、あううっ・・・❤,ううっ、あううっ・・・❤
くすくす❤バカって言われてもシコシコ止められないね❤\nマーゾ❤,くすくす❤バカって言われてもシコシコ止められないね❤\nマーゾ❤
ほら、イくところ見ててあげるから、\n射精しちゃっていいよ❤\nバカとかマゾって言われて、もう限界みたいだし❤,ほら、イくところ見ててあげるから、\n射精しちゃっていいよ❤\nバカとかマゾって言われて、もう限界みたいだし❤
あなたの弱ーいマゾチンポ、\nわたしにバカにされながら射精しちゃえ❤\n勝手に自滅して敵に生命エネルギー吐き出しちゃえ❤きゃはは❤,あなたの弱ーいマゾチンポ、\nわたしにバカにされながら射精しちゃえ❤\n勝手に自滅して敵に生命エネルギー吐き出しちゃえ❤きゃはは❤
うぐぅっ、あぅうっ・・・❤,うぐぅっ、あぅうっ・・・❤
はひぃぃ・・・・❤❤,はひぃぃ・・・・❤❤
はーい、おつかれさまー❤\nそれじゃ死の世界へ案内してあげる❤,はーい、おつかれさまー❤\nそれじゃ死の世界へ案内してあげる❤
オッケーオッケー、無事向こうに送れたみたい。\nくすくす❤扉に飲み込まれる瞬間までアヘ顔してるなんて、\nカッコ悪い❤,オッケーオッケー、無事向こうに送れたみたい。\nくすくす❤扉に飲み込まれる瞬間までアヘ顔してるなんて、\nカッコ悪い❤
他の人もわたしに案内してほしい？\nそれならシコシコするところ見ててあげてもいいけど…❤\nただバカにされるだけのために来る人なんていないよね。くすくす❤,他の人もわたしに案内してほしい？\nそれならシコシコするところ見ててあげてもいいけど…❤\nただバカにされるだけのために来る人なんていないよね。くすくす❤
あはは❤あなたもわたしの前でオナニーしちゃうんだ❤\nみんな自滅してシコシコするのが好きだねー。\nまだ戦いの最中なのに、敵の前でしゃがみこんでしこしこしこ～❤,あはは❤あなたもわたしの前でオナニーしちゃうんだ❤\nみんな自滅してシコシコするのが好きだねー。\nまだ戦いの最中なのに、敵の前でしゃがみこんでしこしこしこ～❤
そんなにわたしにバカにされながらオナニーしたかったの？\nへんたーい❤マーゾ❤きゃはは❤,そんなにわたしにバカにされながらオナニーしたかったの？\nへんたーい❤マーゾ❤きゃはは❤
ぷぷっ、おちんちん反応しまくりでわかりやすーい❤\nバカにされて見下されて、それで気持ちよくなっちゃうなんて、\nへんたいだね❤,ぷぷっ、おちんちん反応しまくりでわかりやすーい❤\nバカにされて見下されて、それで気持ちよくなっちゃうなんて、\nへんたいだね❤
あなたたちみたいな男の子、けっこういるんだよね。\n休んでれば回復できそうな病気の子のところに行って、\nちょっかいを出したりするんだけど、,あなたたちみたいな男の子、けっこういるんだよね。\n休んでれば回復できそうな病気の子のところに行って、\nちょっかいを出したりするんだけど、
死にたくないよーって言ってても、\nおちんちんにぴとって手を当てて・・・。,死にたくないよーって言ってても、\nおちんちんにぴとって手を当てて・・・。
耳元で「マーゾ❤」って言ってあげたら、\nそれだけで勝手に腰をカクカクし始めるんだ❤\nわたしの手の平におちんちんこすりつけるの、止まらなくなっちゃう❤,耳元で「マーゾ❤」って言ってあげたら、\nそれだけで勝手に腰をカクカクし始めるんだ❤\nわたしの手の平におちんちんこすりつけるの、止まらなくなっちゃう❤
病気から回復するなら絶対出しちゃダメなのに、\n大事な命のエネルギーを吐き出してねー、\nどぴゅどぴゅ射精してそれでどんどん弱っていっちゃうんだよ❤,病気から回復するなら絶対出しちゃダメなのに、\n大事な命のエネルギーを吐き出してねー、\nどぴゅどぴゅ射精してそれでどんどん弱っていっちゃうんだよ❤
死んじゃうかもしれないってときでも、\nマゾとかバカって言われるとおかしくなっちゃうんだもん❤\n男の子ってどういう脳みそしているのかな❤きゃはは❤,死んじゃうかもしれないってときでも、\nマゾとかバカって言われるとおかしくなっちゃうんだもん❤\n男の子ってどういう脳みそしているのかな❤きゃはは❤
あなたもその人と同じだね❤大事なことがあっても\nわたしの前でおちんちん気持ちよくなりたくて頭おかしくなって、\nオナニーやめられなくなっちゃってる。きもーい❤,あなたもその人と同じだね❤大事なことがあっても\nわたしの前でおちんちん気持ちよくなりたくて頭おかしくなって、\nオナニーやめられなくなっちゃってる。きもーい❤
うぐぅっ・・・❤,うぐぅっ・・・❤
くすくす❤これだけバカにされてもシコシコ止められないね❤\nマーゾ❤,くすくす❤これだけバカにされてもシコシコ止められないね❤\nマーゾ❤
ほら、イくところ見ててあげるから、\n射精しちゃっていいよ❤\nマゾの弱いおちんちんじゃ、もう限界みたいだし❤,ほら、イくところ見ててあげるから、\n射精しちゃっていいよ❤\nマゾの弱いおちんちんじゃ、もう限界みたいだし❤
しこしこしこしこ、バカみたいに動かして、\nわたしに生命エネルギー吐き出しちゃえ❤\n全部出せ❤イケ❤マゾ❤,しこしこしこしこ、バカみたいに動かして、\nわたしに生命エネルギー吐き出しちゃえ❤\n全部出せ❤イケ❤マゾ❤
はーい、おつかれさまー❤\nそれじゃあなたも死の世界へ案内してあげる❤,はーい、おつかれさまー❤\nそれじゃあなたも死の世界へ案内してあげる❤
やん、つよーい。\nわたしのひよわな体じゃやられちゃーう❤,やん、つよーい。\nわたしのひよわな体じゃやられちゃーう❤
ねえ、おねがい、いじめないで？\nわたし、見ての通り腕も細いし、脚も細いの。\nえ？脚はそんなに細くないって？そうかなぁ・・・。,ねえ、おねがい、いじめないで？\nわたし、見ての通り腕も細いし、脚も細いの。\nえ？脚はそんなに細くないって？そうかなぁ・・・。
ほら、スカートの隙間をぴらり❤\nよく見てみてよ。\nわたしの脚が細いか、太いか・・・❤,ほら、スカートの隙間をぴらり❤\nよく見てみてよ。\nわたしの脚が細いか、太いか・・・❤
くすくす❤そんなことどうでもいいって言いながら、\n目は釘付けになってるみたいだよ？\nほらほら、ぴらり♪ぴらり♪何度でもチラチラ見せつけちゃう❤,くすくす❤そんなことどうでもいいって言いながら、\n目は釘付けになってるみたいだよ？\nほらほら、ぴらり♪ぴらり♪何度でもチラチラ見せつけちゃう❤
バカみたいに脚に見とれていようねー❤,バカみたいに脚に見とれていようねー❤
きゃん！うぬぬ、蘇ったら今度は負けないんだから・・・。,きゃん！うぬぬ、蘇ったら今度は負けないんだから・・・。
あは❤穴が開くぐらい見てる❤\nそんなに気になるなら、ほら❤,あは❤穴が開くぐらい見てる❤\nそんなに気になるなら、ほら❤
わたしの脚の間におちんちん入れて、\nわたしのふとももが太いか確かめて？\nえい・・・❤,わたしの脚の間におちんちん入れて、\nわたしのふとももが太いか確かめて？\nえい・・・❤
はぐぅううっ・・・❤,はぐぅううっ・・・❤
ねえねえどう？わたしのふともも❤\nむっちりしてる？ほっそりしてる？\nあなたのおちんちんでよく分かるでしょ？,ねえねえどう？わたしのふともも❤\nむっちりしてる？ほっそりしてる？\nあなたのおちんちんでよく分かるでしょ？
え？こんな風に抱き着かれて挿入されたらよくわからないって？\nくすくす❤そうね、上から見ても、スカートしか見えないもんね❤,え？こんな風に抱き着かれて挿入されたらよくわからないって？\nくすくす❤そうね、上から見ても、スカートしか見えないもんね❤
でもほら、おちんちんに集中すれば、おにくの感覚が分かるでしょ❤\nおちんちんがぷにってふとももに埋もれて、\nすりすりすりってこすりつけられて・・・❤,でもほら、おちんちんに集中すれば、おにくの感覚が分かるでしょ❤\nおちんちんがぷにってふとももに埋もれて、\nすりすりすりってこすりつけられて・・・❤
あうっ、ああっ・・・❤きもちいいっ❤きもちいい・・・❤❤,あうっ、ああっ・・・❤きもちいいっ❤きもちいい・・・❤❤
くすくす❤太いか細いかなんて考えられなくなっちゃった？\nふとももの気持ちいい感触でおちんちんメロメロ❤\n大事なのは気持ちいいかどうかだけだもんね❤,くすくす❤太いか細いかなんて考えられなくなっちゃった？\nふとももの気持ちいい感触でおちんちんメロメロ❤\n大事なのは気持ちいいかどうかだけだもんね❤
あなたの一番好きなふとももの太さを想像して・・・？\nそれが答えだよ❤ほらぎゅって挟んであげれば、よくわかるでしょ❤,あなたの一番好きなふとももの太さを想像して・・・？\nそれが答えだよ❤ほらぎゅって挟んであげれば、よくわかるでしょ❤
おちんちんにぴったりフィットして、\n一番気持ちいい感触❤\nあん❤おちんちんが上を向きすぎて、おまんこに当たっちゃいそう❤,おちんちんにぴったりフィットして、\n一番気持ちいい感触❤\nあん❤おちんちんが上を向きすぎて、おまんこに当たっちゃいそう❤
でも、残念、ふとももにむにって埋まっちゃうから、\n先っぽがおまんこには届かないね❤\nほらほら、脚を前後に激しく動かしちゃうよ❤,でも、残念、ふとももにむにって埋まっちゃうから、\n先っぽがおまんこには届かないね❤\nほらほら、脚を前後に激しく動かしちゃうよ❤
頭の中の、理想のふとももに挟まれながら、\nわたしの激しいふとももコキでどびゅって射精しちゃえ❤,頭の中の、理想のふとももに挟まれながら、\nわたしの激しいふとももコキでどびゅって射精しちゃえ❤
倒せそうだったモンスターに、\nカッコ悪ーくエナジー搾り取られちゃえ❤\nほらほらほらぁ❤,倒せそうだったモンスターに、\nカッコ悪ーくエナジー搾り取られちゃえ❤\nほらほらほらぁ❤
はぐあっ、あっ、あああっ❤❤❤,はぐあっ、あっ、あああっ❤❤❤
あひぃ・・・・❤❤,あひぃ・・・・❤❤
きゃは❤強い男の子ひとり陥落～❤\nスカートの隙間から生脚見せられたぐらいで、\n雑魚チンポあっさり射精させられちゃったね❤,きゃは❤強い男の子ひとり陥落～❤\nスカートの隙間から生脚見せられたぐらいで、\n雑魚チンポあっさり射精させられちゃったね❤
あなたのエナジーのおかげで体力は全回復❤\nさらにゾンビちゃんを呼び出せちゃいまーす❤\n一緒に戦ってる仲間は一気にピンチかも。くすくす❤,あなたのエナジーのおかげで体力は全回復❤\nさらにゾンビちゃんを呼び出せちゃいまーす❤\n一緒に戦ってる仲間は一気にピンチかも。くすくす❤
あなたのエナジーのおかげで体力は全回復❤\n一緒に戦ってる仲間は一気にピンチかもね。\nくすくす❤仲間がかわいそー❤,あなたのエナジーのおかげで体力は全回復❤\n一緒に戦ってる仲間は一気にピンチかもね。\nくすくす❤仲間がかわいそー❤
きゃん、もう威力が高すぎよ。\n吹き飛ばされちゃったじゃない。,きゃん、もう威力が高すぎよ。\n吹き飛ばされちゃったじゃない。
こうなったらこっちに近づいてくる前に・・・。\nねえ、ほら、見て・・・❤わたしの指❤\nこうやって輪っかを作って、胸の前でしこしこしこ～❤,こうなったらこっちに近づいてくる前に・・・。\nねえ、ほら、見て・・・❤わたしの指❤\nこうやって輪っかを作って、胸の前でしこしこしこ～❤
あは、すごくエロい動きでしょ？\nわたしねー、手コキが一番得意なの。根元を軽くしごきながら、\n先っぽに手の平を当てて、ごしごしってやってあげれば・・・❤,あは、すごくエロい動きでしょ？\nわたしねー、手コキが一番得意なの。根元を軽くしごきながら、\n先っぽに手の平を当てて、ごしごしってやってあげれば・・・❤
男はみーんな膝をガクガクふるわせて、骨抜きになっちゃうんだよ❤\nねえ、あなたもされてみたい？わたしの手・コ・キ❤,男はみーんな膝をガクガクふるわせて、骨抜きになっちゃうんだよ❤\nねえ、あなたもされてみたい？わたしの手・コ・キ❤
くすくす❤おちんちんビクンって反応してる❤\n手コキされるの想像しちゃったのね❤\nほらぁ、あなたもそのおちんちんみたいに素直になろー❤,くすくす❤おちんちんビクンって反応してる❤\n手コキされるの想像しちゃったのね❤\nほらぁ、あなたもそのおちんちんみたいに素直になろー❤
じっとして動いちゃダメよ。\n指でしこしこ～って気持ちよく抜いてあげる❤,じっとして動いちゃダメよ。\n指でしこしこ～って気持ちよく抜いてあげる❤
きゃあ！ううっ、ダメだったかー・・・。,きゃあ！ううっ、ダメだったかー・・・。
くすくす❤素直でいいじゃない❤\nそれじゃあ、おちんちんを握ってぇー・・・❤,くすくす❤素直でいいじゃない❤\nそれじゃあ、おちんちんを握ってぇー・・・❤
しこしこスタート❤,しこしこスタート❤
先っぽすりすりってされるの、気持ちいい？\nここって敏感だから、ちょうどいい力加減が難しいんだよねー。,先っぽすりすりってされるの、気持ちいい？\nここって敏感だから、ちょうどいい力加減が難しいんだよねー。
でも、わたしはそれが大得意❤\n男の子が一番気持ちいいリズムと力加減で、\nすりすり、さわさわ・・・❤ふふふ❤もう腰が震えてる❤,でも、わたしはそれが大得意❤\n男の子が一番気持ちいいリズムと力加減で、\nすりすり、さわさわ・・・❤ふふふ❤もう腰が震えてる❤
根元はちょっとだけ動かすんだよ。\n大きく動かした方が早く射精させられるけど、\nこれぐらい小さなシコシコでも十分なの❤,根元はちょっとだけ動かすんだよ。\n大きく動かした方が早く射精させられるけど、\nこれぐらい小さなシコシコでも十分なの❤
そうでしょ？つよーいはずのあなたも、\nおちんちん気持ちよくて、\nあえぐことしかできなくなっちゃったもんね❤くすくす❤,そうでしょ？つよーいはずのあなたも、\nおちんちん気持ちよくて、\nあえぐことしかできなくなっちゃったもんね❤くすくす❤
あっ、ああっ❤そこをさわられたらっ、ああっ❤❤,あっ、ああっ❤そこをさわられたらっ、ああっ❤❤
心のバリアが解けちゃってるからよけいに気持ちいいでしょ？\n敏感な先っぽを、バリアなしで女の子モンスターに差し出すなんて、\nまさに自殺行為❤,心のバリアが解けちゃってるからよけいに気持ちいいでしょ？\n敏感な先っぽを、バリアなしで女の子モンスターに差し出すなんて、\nまさに自殺行為❤
でも、生命エネルギー吸われてもいいから、\nシコシコしてほしかったんだよね❤\nわたしが手コキが上手いって聞いて味わいたくなっちゃったんだよね❤,でも、生命エネルギー吸われてもいいから、\nシコシコしてほしかったんだよね❤\nわたしが手コキが上手いって聞いて味わいたくなっちゃったんだよね❤
がんばって追い詰めたのに、\nやっぱりびゅっびゅってしたいよーっておちんちんの欲求に負けて、 \n敵におちんちん差し出して・・・❤,がんばって追い詰めたのに、\nやっぱりびゅっびゅってしたいよーっておちんちんの欲求に負けて、 \n敵におちんちん差し出して・・・❤
ぷぷっ、かっこわるーい❤ザーコ❤,ぷぷっ、かっこわるーい❤ザーコ❤
ほらほらほら❤シコシコ早くしてあげる❤\n根元から精液しこしこしこ～って先っぽに向けて押し出して、\nそれを先っぽカリカリで吐きださせてあげる❤,ほらほらほら❤シコシコ早くしてあげる❤\n根元から精液しこしこしこ～って先っぽに向けて押し出して、\nそれを先っぽカリカリで吐きださせてあげる❤
気持ちよすぎて耐えられないよねー。腰が浮いてきちゃうもんねー❤\nきゃはは❤出しちゃえ❤出しちゃえ❤\nわたしの手コキにさっさと負けちゃえ❤はい、びゅるるるぅ❤,気持ちよすぎて耐えられないよねー。腰が浮いてきちゃうもんねー❤\nきゃはは❤出しちゃえ❤出しちゃえ❤\nわたしの手コキにさっさと負けちゃえ❤はい、びゅるるるぅ❤
あぐ、あひぃ・・・・❤❤,あぐ、あひぃ・・・・❤❤
きゃはは❤すっごい勢い❤\nぶしゅうって手の平に向けて射精して、\nわたしの手がほら、どろどろだよー❤,きゃはは❤すっごい勢い❤\nぶしゅうって手の平に向けて射精して、\nわたしの手がほら、どろどろだよー❤
あなたのエナジーのおかげで体力が全回復❤\nさらにゾンビちゃんを呼び出しちゃいまーす❤\n一緒に戦ってる仲間は一気にピンチかも。くすくす❤,あなたのエナジーのおかげで体力が全回復❤\nさらにゾンビちゃんを呼び出しちゃいまーす❤\n一緒に戦ってる仲間は一気にピンチかも。くすくす❤
ぷぷっ、Bランクマスターが、\nオナニーシコシコして負けちゃったね。\n理性よわすぎ～❤ざーこ♪,ぷぷっ、Bランクマスターが、\nオナニーシコシコして負けちゃったね。\n理性よわすぎ～❤ざーこ♪
くすくす❤ふとももに挟まれて気持ちよかったー？\nあとちょっとで倒せそうだったのにねー。\nぷぷ、逆転負けしてカッコ悪～い♪,くすくす❤ふとももに挟まれて気持ちよかったー？\nあとちょっとで倒せそうだったのにねー。\nぷぷ、逆転負けしてカッコ悪～い♪
わたしの手コキ、すごく上手かったでしょ❤\n先っぽいじめられて、あへあへにされちゃったねー。\nわたしにとどめ刺さなくて正解だったんじゃない？くすくす❤,わたしの手コキ、すごく上手かったでしょ❤\n先っぽいじめられて、あへあへにされちゃったねー。\nわたしにとどめ刺さなくて正解だったんじゃない？くすくす❤
きゃは❤足で踏まれてどぴゅどぴゅ出してる～♪\n負けたらなにされるか分からないのに、\n足コキなんかで射精しちゃっていいのかなー。,きゃは❤足で踏まれてどぴゅどぴゅ出してる～♪\n負けたらなにされるか分からないのに、\n足コキなんかで射精しちゃっていいのかなー。
気持ちよくて何にも考えれないか。\nマゾってバカだよねー❤くすくすくす❤,気持ちよくて何にも考えれないか。\nマゾってバカだよねー❤くすくすくす❤
