default
ロリ巨乳バニー,羅莉巨乳兔女郎
わたしのおっぱい、好きになっちゃいましたか？\nあなたよりもずっと小さい女の子のおっぱいに夢中になるなんて、\nロリコンのへんたいさんです❤くすくす❤,わたしのおっぱい、好きになっちゃいましたか？\nあなたよりもずっと小さい女の子のおっぱいに夢中になるなんて、\nロリコンのへんたいさんです❤くすくす❤
ほら、ロリコンさんにぱふぱふサービスですよ❤\n挟む前からとろーんってしちゃってるお顔に、\n大きなおっぱいを近づけて・・・・❤,ほら、ロリコンさんにぱふぱふサービスですよ❤\n挟む前からとろーんってしちゃってるお顔に、\n大きなおっぱいを近づけて・・・・❤
えへへ、どうでしたか？\nわたしのおっぱい、{$効果1ぱふぱふ回数}回目も気持ちよかったですか？,えへへ、どうでしたか？\nわたしのおっぱい、{$効果1ぱふぱふ回数}回目も気持ちよかったですか？
ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？,ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？
ロリコンマスターさんは、\nわたしのおっぱいサービス、とっても気に入ってくれたみたいですね❤\nうれしいです❤くすくす❤,ロリコンマスターさんは、\nわたしのおっぱいサービス、とっても気に入ってくれたみたいですね❤\nうれしいです❤くすくす❤
ふわふわでいい匂いがして、\n全然飽きたりしないですよね❤\nくすくす❤おちんちんびくびくさせて、お返事ありがとうございます❤,ふわふわでいい匂いがして、\n全然飽きたりしないですよね❤\nくすくす❤おちんちんびくびくさせて、お返事ありがとうございます❤
ああん、残念外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。,ああん、残念外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。
でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\nわたしのこと攻撃しないでくださいね❤,でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\nわたしのこと攻撃しないでくださいね❤
ああん、残念また外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。,ああん、残念また外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。
でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\n今度のターンもわたしのこと攻撃しないでくださいね❤,でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\n今度のターンもわたしのこと攻撃しないでくださいね❤
お客さん、おっぱいで挟んでほしいんですかー？\nしょうがないなー❤,お客さん、おっぱいで挟んでほしいんですかー？\nしょうがないなー❤
それなら、わたしこうしているので、\nお客さんから動いてくださいねー❤\nおちんちんズボズボしたら、きもちいですよー❤,それなら、わたしこうしているので、\nお客さんから動いてくださいねー❤\nおちんちんズボズボしたら、きもちいですよー❤
くすくす❤腰がすごく動いちゃってる❤\nおっぱい大好きなせいで、おちんちんズボズボ、\nやめられないですねー❤,くすくす❤腰がすごく動いちゃってる❤\nおっぱい大好きなせいで、おちんちんズボズボ、\nやめられないですねー❤
このまま射精するまでパイズリしちゃいますか？\nわたしはいいですよ❤\nお客さんの精液、わたしのおっぱいにください❤,このまま射精するまでパイズリしちゃいますか？\nわたしはいいですよ❤\nお客さんの精液、わたしのおっぱいにください❤
男のお客さんがみんな大好きなのが、このおっぱいです❤\nお飲み物を運んだりしているときも、\nみーんなここばっかり見るんですよ❤,男のお客さんがみんな大好きなのが、このおっぱいです❤\nお飲み物を運んだりしているときも、\nみーんなここばっかり見るんですよ❤
そう、ここです❤\nおっきすぎるおっぱい❤\nくす、 お客さんも目が吸い寄せられちゃってますねー❤,そう、ここです❤\nおっきすぎるおっぱい❤\nくす、 お客さんも目が吸い寄せられちゃってますねー❤
そのままじーっと見ててください❤\nムラムラしたなら、おちんちんシコシコしはじめちゃってもいいですよ❤\nくすくす❤,そのままじーっと見ててください❤\nムラムラしたなら、おちんちんシコシコしはじめちゃってもいいですよ❤\nくすくす❤
お客さん、お飲み物のサービスはいかがですか？\nって、んふふ・・・❤\n飲み物よりもっと欲しいものがあるみたいですね❤,お客さん、お飲み物のサービスはいかがですか？\nって、んふふ・・・❤\n飲み物よりもっと欲しいものがあるみたいですね❤
わたしのおっぱい❤\nじーっと見ちゃって、視線がバレバレですよ❤お酒なんかより\nわたしのおっぱいからミルクをちゅーちゅーしたいんですか？,わたしのおっぱい❤\nじーっと見ちゃって、視線がバレバレですよ❤お酒なんかより\nわたしのおっぱいからミルクをちゅーちゅーしたいんですか？
って、ミルクなんてでないんですけど。\nでも、ちゅーちゅーしたいならいいですよ❤\nこっち来て、わたしのおっぱいの高さまでしゃがんでください❤,って、ミルクなんてでないんですけど。\nでも、ちゅーちゅーしたいならいいですよ❤\nこっち来て、わたしのおっぱいの高さまでしゃがんでください❤
ほら、ちゅーちゅー❤ちゅーちゅー❤\nおっぱいおいしいでちゅねー❤,ほら、ちゅーちゅー❤ちゅーちゅー❤\nおっぱいおいしいでちゅねー❤
自分より背丈の小さい子に\nおっぱいちゅーちゅーしながら甘えて、\n興奮しちゃうんですねー❤へんたーい❤,自分より背丈の小さい子に\nおっぱいちゅーちゅーしながら甘えて、\n興奮しちゃうんですねー❤へんたーい❤
そのままおっぱいちゅーちゅーしてていいですよ❤\nびくびく震えてるおちんちん\nおっぱい吸うだけで射精しちゃいましょうねー❤くすくす❤,そのままおっぱいちゅーちゅーしてていいですよ❤\nびくびく震えてるおちんちん\nおっぱい吸うだけで射精しちゃいましょうねー❤くすくす❤
お客さんにサービスです❤\nおっぱいでおちんちんを挟んであげちゃいます❤\nえいっ❤,お客さんにサービスです❤\nおっぱいでおちんちんを挟んであげちゃいます❤\nえいっ❤
おちんちんっておっぱいで挟まれたらよわよわですよねー❤\n筋肉ムキムキの人でも、ここはみーんな弱いんです❤\nやわらかおっぱいにすぐ負けちゃう❤,おちんちんっておっぱいで挟まれたらよわよわですよねー❤\n筋肉ムキムキの人でも、ここはみーんな弱いんです❤\nやわらかおっぱいにすぐ負けちゃう❤
お客さんも今とっても気持ちよさそうです❤\nおちんちんおっぱいの中に思いっきり出し入れしたくないですか？\nお尻を浮かせてへこへこしちゃいましょ？ほら、ほら～❤,お客さんも今とっても気持ちよさそうです❤\nおちんちんおっぱいの中に思いっきり出し入れしたくないですか？\nお尻を浮かせてへこへこしちゃいましょ？ほら、ほら～❤
あん❤腰へこへこ始まっちゃいましたね❤\nおっぱいフェチのお客さんには、誘惑が強すぎちゃいました？,あん❤腰へこへこ始まっちゃいましたね❤\nおっぱいフェチのお客さんには、誘惑が強すぎちゃいました？
おちんちん、ヘコヘコ❤ずぼずぼ❤\nおっぱいかきわけるの気持ちいいですね❤\nうっとりおもらし、しちゃっていいですよ❤,おちんちん、ヘコヘコ❤ずぼずぼ❤\nおっぱいかきわけるの気持ちいいですね❤\nうっとりおもらし、しちゃっていいですよ❤
くす❤わたしに気持ちよくしてほしいんですか？\n敵の下級モンスターにおねだりしちゃうなんて、\nかっこわるいです❤,くす❤わたしに気持ちよくしてほしいんですか？\n敵の下級モンスターにおねだりしちゃうなんて、\nかっこわるいです❤
かしこまりましたー♪\nバニーガールとしてお客さんにご奉仕させていただきます❤,かしこまりましたー♪\nバニーガールとしてお客さんにご奉仕させていただきます❤
あん❤\nおっぱい吸いながらびゅるるぅって射精してる❤\nきもちよさそうな蕩け顔です❤,あん❤\nおっぱい吸いながらびゅるるぅって射精してる❤\nきもちよさそうな蕩け顔です❤
ちっちゃな女の子のおっぱいちゅーちゅーして、\nそんな顔になっちゃうんですね❤\nくすくす❤おっぱい離れできないロリコンさん❤,ちっちゃな女の子のおっぱいちゅーちゅーして、\nそんな顔になっちゃうんですね❤\nくすくす❤おっぱい離れできないロリコンさん❤
きゃっ❤熱いのがたくさんかかってます❤\nもしかしておっぱいゆさゆさされただけで、\nおちんちん暴発しちゃったんですか？,きゃっ❤熱いのがたくさんかかってます❤\nもしかしておっぱいゆさゆさされただけで、\nおちんちん暴発しちゃったんですか？
くすくす❤おねだりしちゃうようなお客さんは\nおちんちんもとっても我慢よわいんですね❤\nかわいいです❤,くすくす❤おねだりしちゃうようなお客さんは\nおちんちんもとっても我慢よわいんですね❤\nかわいいです❤
あん❤挟んでるおちんちんからどぴゅどぴゅ～って\nたくさん出ちゃってます❤\n谷間があつあつになっちゃいました❤,あん❤挟んでるおちんちんからどぴゅどぴゅ～って\nたくさん出ちゃってます❤\n谷間があつあつになっちゃいました❤
敵のバニーガールにおねだりして\nずりずりされて射精するの気持ちよかったですか？\nふふ、仲間には見せられないぐらい蕩け顔してますよ❤くすくす❤,敵のバニーガールにおねだりして\nずりずりされて射精するの気持ちよかったですか？\nふふ、仲間には見せられないぐらい蕩け顔してますよ❤くすくす❤
うふふ❤おっぱいにメロメロで逃げられないみたいですね❤\nほらほら、追加のパイズリサービスです❤,うふふ❤おっぱいにメロメロで逃げられないみたいですね❤\nほらほら、追加のパイズリサービスです❤
あん、腰がびくびくって跳ねて、\nんふふ、いいですよ、ぐって谷間の奥に差し込んで、\nびゅーって出してください❤,あん、腰がびくびくって跳ねて、\nんふふ、いいですよ、ぐって谷間の奥に差し込んで、\nびゅーって出してください❤
やぁん❤どくどくっておっぱいの間にたくさん出てます❤\nお客さんの精液、あつぅい❤,やぁん❤どくどくっておっぱいの間にたくさん出てます❤\nお客さんの精液、あつぅい❤
わたしのパイズリサービス、いかがでしたか？\nちっちゃな女の子のおっきなおっぱいに、\n簡単に負けちゃいましたね❤くすくす❤,わたしのパイズリサービス、いかがでしたか？\nちっちゃな女の子のおっきなおっぱいに、\n簡単に負けちゃいましたね❤くすくす❤
きゃ！ううっ、ずっとパイズリ楽しんでてもいいのに・・・。,きゃ！ううっ、ずっとパイズリ楽しんでてもいいのに・・・。
おっぱいの奥までずぷずぷ❤ずぷずぷ❤,おっぱいの奥までずぷずぷ❤ずぷずぷ❤
おちんちん気持ちいいですね～❤,おちんちん気持ちいいですね～❤
サービスパイズリ、楽しんでください❤,サービスパイズリ、楽しんでください❤
お客さんの持ち金は、おっぱいの間に没収しちゃいます❤,お客さんの持ち金は、おっぱいの間に没収しちゃいます❤
エナジーをびゅーって谷間に出してください❤,エナジーをびゅーって谷間に出してください❤
おちんちん固ーくなってますね❤ずりずりされて喜んじゃってます❤,おちんちん固ーくなってますね❤ずりずりされて喜んじゃってます❤
じーっとしておっぱい満喫しちゃいましょうね❤,じーっとしておっぱい満喫しちゃいましょうね❤
よいしょ、よいしょ❤おっぱいの中にご招待です❤,よいしょ、よいしょ❤おっぱいの中にご招待です❤
おっぱいが揺れるの見てたら、抵抗も止まっちゃいますね❤,おっぱいが揺れるの見てたら、抵抗も止まっちゃいますね❤
腰が抜けて逃げられませんか？くすくす❤,腰が抜けて逃げられませんか？くすくす❤
だいじょうぶ❤ライフがゼロになるまでまだまだ余裕がありますよ❤,だいじょうぶ❤ライフがゼロになるまでまだまだ余裕がありますよ❤
おちんちんあと何秒我慢できるでしょうか❤えい♪えい♪,おちんちんあと何秒我慢できるでしょうか❤えい♪えい♪
やぁん、お客さん、オナニーし始めちゃいました❤\n背の低いわたしのおっぱい、\n見てたら我慢できなくなっちゃいました？,やぁん、お客さん、オナニーし始めちゃいました❤\n背の低いわたしのおっぱい、\n見てたら我慢できなくなっちゃいました？
こんなに腕も脚も細いんですよ？\nお客さんが本気を出せば、簡単に押し倒されちゃいます。\nそれなのに・・・。,こんなに腕も脚も細いんですよ？\nお客さんが本気を出せば、簡単に押し倒されちゃいます。\nそれなのに・・・。
お客さんは、勝手にしこしこ❤しこしこ❤\n敵のモンスターの前で、\nおちんちん触って自滅のオナニーしちゃうんですね❤くすくす❤,お客さんは、勝手にしこしこ❤しこしこ❤\n敵のモンスターの前で、\nおちんちん触って自滅のオナニーしちゃうんですね❤くすくす❤
ううっ…❤それはぁ…❤,ううっ…❤それはぁ…❤
あん、別に責めてるんじゃないんですよ❤\nわたしみたいな小さい子の体で興奮してくれて、\nとってもうれしいです❤,あん、別に責めてるんじゃないんですよ❤\nわたしみたいな小さい子の体で興奮してくれて、\nとってもうれしいです❤
ほらほら、わたしの一番の自慢、\nおおきなおっぱいを、たくさん見てください❤,ほらほら、わたしの一番の自慢、\nおおきなおっぱいを、たくさん見てください❤
前かがみになって、\n体を左右にゆらゆらゆら～❤,前かがみになって、\n体を左右にゆらゆらゆら～❤
あひぃっ…❤すごいぃ…❤,あひぃっ…❤すごいぃ…❤
くす❤ほめてくれてありがとうございます❤\nそうですよ。わたしのおっぱいすごいんです❤,くす❤ほめてくれてありがとうございます❤\nそうですよ。わたしのおっぱいすごいんです❤
わたしより年上の相手でも、\nぎゅって腰に抱き着いて、おっぱいを押し付けてあげれば、\nそれだけで勝てちゃうんです❤,わたしより年上の相手でも、\nぎゅって腰に抱き着いて、おっぱいを押し付けてあげれば、\nそれだけで勝てちゃうんです❤
おちんちんがむにゅうっておっぱいに包まれて、\nかっこいい顔してた男の人も、\nすぐにアヘアへぇってなって、そのまま射精❤,おちんちんがむにゅうっておっぱいに包まれて、\nかっこいい顔してた男の人も、\nすぐにアヘアへぇってなって、そのまま射精❤
どうですか？\nお客さんも、わたしのすごーいおっぱいで、\nおちんちんむぎゅうってされてみたいですか？,どうですか？\nお客さんも、わたしのすごーいおっぱいで、\nおちんちんむぎゅうってされてみたいですか？
きゃは❤おちんちんシコシコするのが早くなりましたね❤\n自分がおっぱいハグされるの、想像しちゃったんですね❤\nわかりやすいです♪,きゃは❤おちんちんシコシコするのが早くなりましたね❤\n自分がおっぱいハグされるの、想像しちゃったんですね❤\nわかりやすいです♪
でも、オナニーしちゃってるお客さんには\nおっぱいハグはお預け❤\n代わりに・・・。,でも、オナニーしちゃってるお客さんには\nおっぱいハグはお預け❤\n代わりに・・・。
ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょんって跳ねてあげますね❤,ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょんって跳ねてあげますね❤
バニーガールがうさぎのまねをするなんて、\nあざといですか？\nでもぉ、たぷんたぷんって揺れてエッチですよね。ぴょん♪ぴょん♪,バニーガールがうさぎのまねをするなんて、\nあざといですか？\nでもぉ、たぷんたぷんって揺れてエッチですよね。ぴょん♪ぴょん♪
あっ…❤ああっ、さきっぽにあたりそうでっ…❤ううっ…❤❤,あっ…❤ああっ、さきっぽにあたりそうでっ…❤ううっ…❤❤
くすくす❤ざんねんですけど、\n腰をへこへこしても、あとちょっと届きませーん❤,くすくす❤ざんねんですけど、\n腰をへこへこしても、あとちょっと届きませーん❤
谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできないんです❤,谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできないんです❤
だってだって、そんなことしなくても、\n揺れてるの見てるだけでもイっちゃいますもんね❤\nぴょん♪ぴょん♪ぴょん♪,だってだって、そんなことしなくても、\n揺れてるの見てるだけでもイっちゃいますもんね❤\nぴょん♪ぴょん♪ぴょん♪
あっ、ああっ、もうだめっ、出るっっ❤❤,あっ、ああっ、もうだめっ、出るっっ❤❤
いいですよ❤イっちゃってください❤\n中に入れたくてたまらない、わたしの谷間めがけて、\n悔しいおもらし、びゅるるるぅってかけてください❤,いいですよ❤イっちゃってください❤\n中に入れたくてたまらない、わたしの谷間めがけて、\n悔しいおもらし、びゅるるるぅってかけてください❤
うさぎのおっぱいまんこに精液かけて、\nあん、孕ませてください❤\nほら、イって❤イって❤ぴょん♪ぴょん♪ぴょん♪,うさぎのおっぱいまんこに精液かけて、\nあん、孕ませてください❤\nほら、イって❤イって❤ぴょん♪ぴょん♪ぴょん♪
あへぇ・・・❤❤,あへぇ・・・❤❤
くすくす❤どぴゅどぴゅ射精、お上手です❤\n見てください、おっぱいまんこがこんなにドロドロ❤\nもし本物おまんこだったら赤ちゃんできちゃってましたね。,くすくす❤どぴゅどぴゅ射精、お上手です❤\n見てください、おっぱいまんこがこんなにドロドロ❤\nもし本物おまんこだったら赤ちゃんできちゃってましたね。
小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤マスターさん❤,小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤マスターさん❤
小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤モンスターさん❤,小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤モンスターさん❤
やぁん、ほんとにマスターさんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？,やぁん、ほんとにマスターさんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？
やぁん、他のお客さんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？,やぁん、他のお客さんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？
こんなに腕も脚も細いんですよ？\n倒そうと思えば簡単に倒せるのに、\n仲間のオナニーがうらやましくなってシコシコシコ♪,こんなに腕も脚も細いんですよ？\n倒そうと思えば簡単に倒せるのに、\n仲間のオナニーがうらやましくなってシコシコシコ♪
おちんちん気持ちよくなって、\nはぁはぁしながら棒立ちになっちゃってます❤\nくすくす❤,おちんちん気持ちよくなって、\nはぁはぁしながら棒立ちになっちゃってます❤\nくすくす❤
くす❤ほめてくれてありがとうございます❤\nあなたもやっぱり「すごい」って思いますか？,くす❤ほめてくれてありがとうございます❤\nあなたもやっぱり「すごい」って思いますか？
さっきの人もこのおっぱいであひぃって言いながら射精しちゃいました❤\nわたしより強くても\nおっぱいゆらゆらしてあげれば関係ないんです❤,さっきの人もこのおっぱいであひぃって言いながら射精しちゃいました❤\nわたしより強くても\nおっぱいゆらゆらしてあげれば関係ないんです❤
お客さんもそうですよね？\nわたしのすごーいおっぱいを、\nぴょんぴょんって揺らしてあげればすぐ射精しちゃいますよね❤,お客さんもそうですよね？\nわたしのすごーいおっぱいを、\nぴょんぴょんって揺らしてあげればすぐ射精しちゃいますよね❤
きゃは❤おちんちんシコシコするのが早くなりました❤\nおっぱいがだぶんだぶんって揺れるの、想像しちゃったんでしょう？\nわかりやすいです♪,きゃは❤おちんちんシコシコするのが早くなりました❤\nおっぱいがだぶんだぶんって揺れるの、想像しちゃったんでしょう？\nわかりやすいです♪
いいですよ❤\nみんなみんな、このおっぱいで負けさせてあげます❤,いいですよ❤\nみんなみんな、このおっぱいで負けさせてあげます❤
ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょん❤ぴょんぴょん❤,ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょん❤ぴょんぴょん❤
あっ…❤ああっ、すごい揺れてぇ❤❤あひぃっ…❤❤,あっ…❤ああっ、すごい揺れてぇ❤❤あひぃっ…❤❤
くすくす❤これだけ揺れたらおちんちんに当たりそうですけど、\nギリギリ当たらないですねー❤,くすくす❤これだけ揺れたらおちんちんに当たりそうですけど、\nギリギリ当たらないですねー❤
わたし、こうやって寸止めするの得意なんです❤\nお客さんが腰を突きだしても、ほんの数センチ当たらない距離に、\nおっぱいをたぷんたぷん❤揺らしちゃいます❤,わたし、こうやって寸止めするの得意なんです❤\nお客さんが腰を突きだしても、ほんの数センチ当たらない距離に、\nおっぱいをたぷんたぷん❤揺らしちゃいます❤
谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできませーん❤,谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできませーん❤
何人もわたしでオナニーしちゃって、\n期待のルーキーさんの陣営はボロボロです❤\nマスターさんもわたしでオナニーしちゃいますか？くすくす❤,何人もわたしでオナニーしちゃって、\n期待のルーキーさんの陣営はボロボロです❤\nマスターさんもわたしでオナニーしちゃいますか？くすくす❤
やぁん❤お客さん、お強いですね。\nわたしのおっぱいに負けずに、そんなに頑張れるなんて、\nあん、かっこいいです❤,やぁん❤お客さん、お強いですね。\nわたしのおっぱいに負けずに、そんなに頑張れるなんて、\nあん、かっこいいです❤
んふ、でも、おちんちんはけっこう限界近そうですね❤\n勃起してヒクヒクしてるの、隠せてませんよ❤,んふ、でも、おちんちんはけっこう限界近そうですね❤\n勃起してヒクヒクしてるの、隠せてませんよ❤
どうします？そのおちんちんは放っておいて、\nわたしにとどめ刺しちゃいますか？,どうします？そのおちんちんは放っておいて、\nわたしにとどめ刺しちゃいますか？
それとも、このおっぱい…❤\nこれでお顔やおちんちんを挟んで、\n気持ちよーくびゅるるぅって出しちゃいますか？,それとも、このおっぱい…❤\nこれでお顔やおちんちんを挟んで、\n気持ちよーくびゅるるぅって出しちゃいますか？
わたしはバニーガールです❤\nお客さんがお望みなら、\nたっぷりサービスしてあげますよ❤,わたしはバニーガールです❤\nお客さんがお望みなら、\nたっぷりサービスしてあげますよ❤
お代はチップのかわりに、お客さんのエナジーでお支払いください❤\nね、別にこんな試合ぐらい、一回負けてもいいでしょ？\nわたしと気持ちいいことしましょうよー❤,お代はチップのかわりに、お客さんのエナジーでお支払いください❤\nね、別にこんな試合ぐらい、一回負けてもいいでしょ？\nわたしと気持ちいいことしましょうよー❤
ほら、お客さんのご要望を教えてください。\nパイズリとぱふぱふ、どっちでヌキヌキしてほしいですか？,ほら、お客さんのご要望を教えてください。\nパイズリとぱふぱふ、どっちでヌキヌキしてほしいですか？
あう、ほんとに理性がつよい…。\nかっこいいですぅ…。,あう、ほんとに理性がつよい…。\nかっこいいですぅ…。
パイズリがいいんですか？\nかしこまりましたー❤,パイズリがいいんですか？\nかしこまりましたー❤
それじゃあ、武器を捨てて地面に寝転んでください。\nくす❤あとちょっとでとどめを刺せたのに、\n今はすっかりわたしの言いなりですね❤,それじゃあ、武器を捨てて地面に寝転んでください。\nくす❤あとちょっとでとどめを刺せたのに、\n今はすっかりわたしの言いなりですね❤
おっぱいにずぶずぶ～って入れましてー❤,おっぱいにずぶずぶ～って入れましてー❤
はい、パイズリスタートです❤,はい、パイズリスタートです❤
はぐうっ…❤きもちいいぃ…❤❤,はぐうっ…❤きもちいいぃ…❤❤
あん❤おちんちん、おっぱいの中で跳ねちゃってます❤,あん❤おちんちん、おっぱいの中で跳ねちゃってます❤
どたぷんって音がしちゃいそうなわたしのおっぱい、\n腰にぱちゅんぱちゅんって叩きつけられて\nおちんちん大喜びみたいですね❤くすくす❤,どたぷんって音がしちゃいそうなわたしのおっぱい、\n腰にぱちゅんぱちゅんって叩きつけられて\nおちんちん大喜びみたいですね❤くすくす❤
谷間もみっちりしてるので、ずぷずぷーって入っていくとき\n気持ちいいでしょう？\n腰が抜けちゃいそうなんじゃないですか？,谷間もみっちりしてるので、ずぷずぷーって入っていくとき\n気持ちいいでしょう？\n腰が抜けちゃいそうなんじゃないですか？
ほら、うえ、した❤\nうえ、した❤\nおっぱいが往復しておちんちんをずりずりずり❤,ほら、うえ、した❤\nうえ、した❤\nおっぱいが往復しておちんちんをずりずりずり❤
