default
ポイズンラミア,魅毒拉米亞
じゅるるっ、じゅぷっ❤える、れろっ❤、んふふ❤わたしの舌技、心ゆくまで楽しみなさい❤,じゅるるっ、じゅぷっ❤える、れろっ❤、んふふ❤わたしの舌技、心ゆくまで楽しみなさい❤
あら、敵に向かっておねだり？\nずいぶんとカッコ悪い負け方をしてしまうのね❤くすくす❤,あら、敵に向かっておねだり？\nずいぶんとカッコ悪い負け方をしてしまうのね❤くすくす❤
わたしに何度も毒の息を吹きかけられて、\n体がムラムラして仕方ないのよね❤いいのよ、みんなそうやって\n理性を失って懇願するの。あなただけじゃないわ❤,わたしに何度も毒の息を吹きかけられて、\n体がムラムラして仕方ないのよね❤いいのよ、みんなそうやって\n理性を失って懇願するの。あなただけじゃないわ❤
どうやってエナジーを食べられたいのかしら。\n口で直接なめられたい？それともわたしの胸に顔をあずけて、\nたっぷり甘やかされたい？言ってみなさい❤,どうやってエナジーを食べられたいのかしら。\n口で直接なめられたい？それともわたしの胸に顔をあずけて、\nたっぷり甘やかされたい？言ってみなさい❤
くす❤わたしに締め付けられながら、顔をおっぱいに埋められたいの？\nうふふ❤そんなに絡みつかれたいなら、いいわ、やってあげる❤,くす❤わたしに締め付けられながら、顔をおっぱいに埋められたいの？\nうふふ❤そんなに絡みつかれたいなら、いいわ、やってあげる❤
わたしの口であなたのペニスを捕食してほしいの？\nいいわ、この長い蛇の舌で、\nすぐにエナジーを搾り取ってあげる❤,わたしの口であなたのペニスを捕食してほしいの？\nいいわ、この長い蛇の舌で、\nすぐにエナジーを搾り取ってあげる❤
うふふ❤わたしの中で、ペニスが脈打ってる❤\n全身を包み込まれてぎゅうぎゅう締め付けられて\nとても気持ちよかったでしょう？,うふふ❤わたしの中で、ペニスが脈打ってる❤\n全身を包み込まれてぎゅうぎゅう締め付けられて\nとても気持ちよかったでしょう？
胴を締め付ける蛇体に体が悲鳴をあげても、\nその分顔を甘やかされれば、抵抗もできずに果ててしまう❤\n男の子って単純で面白いわよね。くすくす❤,胴を締め付ける蛇体に体が悲鳴をあげても、\nその分顔を甘やかされれば、抵抗もできずに果ててしまう❤\n男の子って単純で面白いわよね。くすくす❤
ふふ、見なさい、口の中にあなたのエナジーがたくさん❤\nほら、全部飲んであげる❤\nごくん・・・❤,ふふ、見なさい、口の中にあなたのエナジーがたくさん❤\nほら、全部飲んであげる❤\nごくん・・・❤
あら自分の魔力が食べられてることに興奮してるの？\nそんなに食べてほしいならあなたの体ごと丸呑みしてあげようかしら。\nくす、嘘よ、嘘❤,あら自分の魔力が食べられてることに興奮してるの？\nそんなに食べてほしいならあなたの体ごと丸呑みしてあげようかしら。\nくす、嘘よ、嘘❤
毒の息を吸わせてあげるわ。ふぅー・・・❤,毒の息を吸わせてあげるわ。ふぅー・・・❤
うぐ、はうぅっ・・・❤,うぐ、はうぅっ・・・❤
ふふ。猛毒なのに、吸うのをやめられないでしょう？\n甘い香りがして、男は無意識にこれを吸ってしまうのよ。,ふふ。猛毒なのに、吸うのをやめられないでしょう？\n甘い香りがして、男は無意識にこれを吸ってしまうのよ。
肺の奥まで毒で蝕まれて、おかしくなっていきなさい。\nくすくす❤,肺の奥まで毒で蝕まれて、おかしくなっていきなさい。\nくすくす❤
ほら、また吸わせてあげる。ふぅー・・・❤,ほら、また吸わせてあげる。ふぅー・・・❤
うっ、はうぅっ・・・❤,うっ、はうぅっ・・・❤
ふふ。体はきつくなるばかりなのに、\nどんどんやめられなくなっちゃうわね。\nわたしの甘い香り、もっと吸いたい？,ふふ。体はきつくなるばかりなのに、\nどんどんやめられなくなっちゃうわね。\nわたしの甘い香り、もっと吸いたい？
満足するまで毒の息を吸っていいわよ。\nそんなことしたら、あなたは廃人になっちゃうけれど。\nくすくす❤,満足するまで毒の息を吸っていいわよ。\nそんなことしたら、あなたは廃人になっちゃうけれど。\nくすくす❤
ほら、何度でも毒を吸わせてあげる。ふぅー・・・❤,ほら、何度でも毒を吸わせてあげる。ふぅー・・・❤
ううっ、あうぅっ・・・❤,ううっ、あうぅっ・・・❤
もう毒でふらふらなんでしょ？\n立つのもきついでしょうに、そんなに一生懸命口と鼻から息を吸って・・・❤\nわたしの甘い香り、もっと吸いたい？,もう毒でふらふらなんでしょ？\n立つのもきついでしょうに、そんなに一生懸命口と鼻から息を吸って・・・❤\nわたしの甘い香り、もっと吸いたい？
ペニスがびくびくしてるわね❤もう限界でしょ？\nこのままわたしのお腹に射精なさい❤,ペニスがびくびくしてるわね❤もう限界でしょ？\nこのままわたしのお腹に射精なさい❤
そんなに暴れなくても良いのに❤やわらかいおっぱいとあまーい匂いに包まれたせいであなたのペニスはとても苦しそうよ？,そんなに暴れなくても良いのに❤やわらかいおっぱいとあまーい匂いに包まれたせいであなたのペニスはとても苦しそうよ？
まだ匂いが鼻に残っているでしょう❤もう一度わたしのおっぱいの匂いを嗅ぎに捕まってみない？次は射精するまで、ね❤,まだ匂いが鼻に残っているでしょう❤もう一度わたしのおっぱいの匂いを嗅ぎに捕まってみない？次は射精するまで、ね❤
わたしのおっぱい、柔らかいでしょ❤　むにゅむにゅ❤,わたしのおっぱい、柔らかいでしょ❤　むにゅむにゅ❤
暴れないで❤　ゆっくり息を吸って、わたしの匂いを感じて❤,暴れないで❤　ゆっくり息を吸って、わたしの匂いを感じて❤
優しく抱きしめてあげる❤　ほら、力を抜いて・・・❤,優しく抱きしめてあげる❤　ほら、力を抜いて・・・❤
ぱふぱふ❤ぱふぱふ❤,ぱふぱふ❤ぱふぱふ❤
あなたの鼻息、荒くなってるのバレバレよ❤,あなたの鼻息、荒くなってるのバレバレよ❤
目元がだらしなくゆるんでるわよ❤　もっとしてあげる・・・❤,目元がだらしなくゆるんでるわよ❤　もっとしてあげる・・・❤
お腹に固いペニスが当たってる❤　ねぇ、射精してもいいのよ❤,お腹に固いペニスが当たってる❤　ねぇ、射精してもいいのよ❤
腰を動かしたら、ペニスが擦れて気持ちいいわよ❤　動いてみて❤,腰を動かしたら、ペニスが擦れて気持ちいいわよ❤　動いてみて❤
自分から顔を押し付けて❤　谷間の奥まで顔が沈んで気持ちいいわよ❤,自分から顔を押し付けて❤　谷間の奥まで顔が沈んで気持ちいいわよ❤
このまま射精しても誰にもバレないわよ❤　こっそり出しちゃいましょう❤,このまま射精しても誰にもバレないわよ❤　こっそり出しちゃいましょう❤
苦しい？　それとも気持ちいい？　どっちもよね❤,苦しい？　それとも気持ちいい？　どっちもよね❤
ライフに余裕があるうちにおっぱいの感触を心ゆくまで楽しむといいわ❤,ライフに余裕があるうちにおっぱいの感触を心ゆくまで楽しむといいわ❤
試合なんて諦めてこのまま射精しましょう？とっても気持ちいいはずよ❤,試合なんて諦めてこのまま射精しましょう？とっても気持ちいいはずよ❤
このままおっぱいに負けてしまっても大丈夫❤他にも仲間がいるんだから❤,このままおっぱいに負けてしまっても大丈夫❤他にも仲間がいるんだから❤
戦いなんて他の仲間に任せて楽になりましょう❤,戦いなんて他の仲間に任せて楽になりましょう❤
たっぷりフェロモン吸って、目がとろーんとしてるわよ❤うふふ❤,たっぷりフェロモン吸って、目がとろーんとしてるわよ❤うふふ❤
あっ、ああっ・・・。,あっ、ああっ・・・。
ふふ…❤\nわたしをじっと見つめながらペニスをしごきはじめて・・・。\nなんてみっともない姿❤,ふふ…❤\nわたしをじっと見つめながらペニスをしごきはじめて・・・。\nなんてみっともない姿❤
顔を胸に包まれて、\nあまーい匂いをたくさん吸ったら無理もないわ❤\nわたしを見てるだけで胸がドキドキするのでしょう？,顔を胸に包まれて、\nあまーい匂いをたくさん吸ったら無理もないわ❤\nわたしを見てるだけで胸がドキドキするのでしょう？
わたしのフェラ。気持ちよすぎちゃったのかしら❤\nせっかく耐えることができたのに、\n射精したくて頭がおかしくなってしまったようね❤くすくす❤,わたしのフェラ。気持ちよすぎちゃったのかしら❤\nせっかく耐えることができたのに、\n射精したくて頭がおかしくなってしまったようね❤くすくす❤
ほら、もっとドキドキさせてあげる❤\nふぅ～・・・❤,ほら、もっとドキドキさせてあげる❤\nふぅ～・・・❤
どうかしら？わたしの毒の息は❤\n体を弱らせる危険な毒なのに、\nなぜか男はみな、わたしの息を「甘い」って言うの。,どうかしら？わたしの毒の息は❤\n体を弱らせる危険な毒なのに、\nなぜか男はみな、わたしの息を「甘い」って言うの。
まるで匂いだけで脳がとろけるようで、\n吸っているうちに頭がふわふわして・・・❤\nふふ、顔を見る限り、あなたもそうなっているみたいね。,まるで匂いだけで脳がとろけるようで、\n吸っているうちに頭がふわふわして・・・❤\nふふ、顔を見る限り、あなたもそうなっているみたいね。
肺が苦しいでしょう？\n熱くなって、ひりひりじりじり…❤\nそれなのに甘く感じられて吸うのをやめられない。,肺が苦しいでしょう？\n熱くなって、ひりひりじりじり…❤\nそれなのに甘く感じられて吸うのをやめられない。
ほら、ふぅ～・・・❤,ほら、ふぅ～・・・❤
あぐっ、あうあぁっ・・・❤ふぅ、はぁぁ・・・❤,あぐっ、あうあぁっ・・・❤ふぅ、はぁぁ・・・❤
くす❤両手でペニスをしごきながら、必死に息を吸っちゃって❤\n毒だって言っているのに、バカみたい❤,くす❤両手でペニスをしごきながら、必死に息を吸っちゃって❤\n毒だって言っているのに、バカみたい❤
チンポがいつもより気持ちいいのよね？\nわたしの息でムラムラして、チンポも数倍敏感になって、\n手を動かすたび腰が抜けそうなぐらいの快感が上がってくる❤,チンポがいつもより気持ちいいのよね？\nわたしの息でムラムラして、チンポも数倍敏感になって、\n手を動かすたび腰が抜けそうなぐらいの快感が上がってくる❤
それだけじゃない。\nわたしのことが最初よりも数段魅力的に見えてくる❤\n恋心がどんどんどんどん湧いてきちゃう❤,それだけじゃない。\nわたしのことが最初よりも数段魅力的に見えてくる❤\n恋心がどんどんどんどん湧いてきちゃう❤
敵の女モンスター相手にそんな状態になったら危険でしょ？\n今すぐ吸うのをやめた方がいいわ…❤,敵の女モンスター相手にそんな状態になったら危険でしょ？\n今すぐ吸うのをやめた方がいいわ…❤
ね？そう思うでしょ？\nふぅ～・・・❤,ね？そう思うでしょ？\nふぅ～・・・❤
はひぃっ、だめ、もっと、もっとぉ・・・❤,はひぃっ、だめ、もっと、もっとぉ・・・❤
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n昇格戦をかけた大事な試合なのに、\n敵モンスターの息で手玉に取られて、なんて情けないマスターかしら。,くすくす❤おねだりしながら一生懸命しごいちゃって❤\n昇格戦をかけた大事な試合なのに、\n敵モンスターの息で手玉に取られて、なんて情けないマスターかしら。
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\n上級モンスターのくせになんて情けないのかしら。,くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\n上級モンスターのくせになんて情けないのかしら。
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\nなんて情けないのかしら。,くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\nなんて情けないのかしら。
それじゃあそろそろ、わたしにエナジーをちょうだい？\nしごいて…、しごいて…、頭真っ白にしながら\nわたしに向けてエナジーを射精するの❤,それじゃあそろそろ、わたしにエナジーをちょうだい？\nしごいて…、しごいて…、頭真っ白にしながら\nわたしに向けてエナジーを射精するの❤
ほら、わたしの顔を見て…❤\nこの顔好きでしょ？くすくす❤,ほら、わたしの顔を見て…❤\nこの顔好きでしょ？くすくす❤
あっ、ああ・・・❤可愛い・・・❤好き・・・❤,あっ、ああ・・・❤可愛い・・・❤好き・・・❤
ありがとう、とても嬉しいわ❤\nそれじゃあ、ほら微笑んであげる❤\nわたしに見とれながら、いっぱい出しなさい❤,ありがとう、とても嬉しいわ❤\nそれじゃあ、ほら微笑んであげる❤\nわたしに見とれながら、いっぱい出しなさい❤
はひぃ、かわいいよぉ…❤はああっ、ああっ・・・❤,はひぃ、かわいいよぉ…❤はああっ、ああっ・・・❤
あひぃっ…❤,あひぃっ…❤
んふ❤たっぷりとエナジーの詰まった精液❤\nありがとね。好きな人の役に立てて幸せでしょう？,んふ❤たっぷりとエナジーの詰まった精液❤\nありがとね。好きな人の役に立てて幸せでしょう？
試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格ね。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤,試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格ね。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤
他の人も近くに来なさい。\n毒の息を顔に吹き付けて、\nメロメロにしてから搾り取ってあげる❤,他の人も近くに来なさい。\n毒の息を顔に吹き付けて、\nメロメロにしてから搾り取ってあげる❤
ふふふ❤わたしの毒の息を吸って、\n我慢できなくなっちゃった？\n目がぼんやりしてきてるわよ。,ふふふ❤わたしの毒の息を吸って、\n我慢できなくなっちゃった？\n目がぼんやりしてきてるわよ。
約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、もう一度ちゃんと吸いなさい❤,約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、もう一度ちゃんと吸いなさい❤
ふふふ❤あなたもオナニーしたくなったの？\nそう、いいこね・・・❤,ふふふ❤あなたもオナニーしたくなったの？\nそう、いいこね・・・❤
約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、ちゃんと吸いなさい❤,約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、ちゃんと吸いなさい❤
あぐうっ、ああっ・・・❤なにこれぇ・・・❤あひぃっ・・・❤,あぐうっ、ああっ・・・❤なにこれぇ・・・❤あひぃっ・・・❤
あっという間にとろけ顔ね❤口で思いっきり毒を吸いながら、\n両手はペニスをシコシコ❤シコシコ❤\n嬉しそうにオナニーをしちゃって…男って本当に単純❤,あっという間にとろけ顔ね❤口で思いっきり毒を吸いながら、\n両手はペニスをシコシコ❤シコシコ❤\n嬉しそうにオナニーをしちゃって…男って本当に単純❤
毒でおかしくされているだけなのに、その表情、\nまるで恋人でも見るみたいな目よ？,毒でおかしくされているだけなのに、その表情、\nまるで恋人でも見るみたいな目よ？
体が熱くなって、胸が苦しくなって、\n毒に混じったほんのちょっとの媚薬成分で体中がムラムラして・・・❤,体が熱くなって、胸が苦しくなって、\n毒に混じったほんのちょっとの媚薬成分で体中がムラムラして・・・❤
わたしの顔を見ながらシコシコするたびに、\n脳がそれを勝手に「好き」だと勘違いしちゃう…❤,わたしの顔を見ながらシコシコするたびに、\n脳がそれを勝手に「好き」だと勘違いしちゃう…❤
シコシコして血液がたくさん流れれば、\n血流にのってどんどん毒も体に回っていく…❤\nシコシコ、シコシコ…♪,シコシコして血液がたくさん流れれば、\n血流にのってどんどん毒も体に回っていく…❤\nシコシコ、シコシコ…♪
はぁ、はぁ・・・❤ううっ・・・❤,はぁ、はぁ・・・❤ううっ・・・❤
とてもとろーんとした目になってるわ❤\nわたしの顔、好きでしょ？ほら、もっと近くで見せてあげる。\nわたしのあまーい匂いがわかるくらいまで❤,とてもとろーんとした目になってるわ❤\nわたしの顔、好きでしょ？ほら、もっと近くで見せてあげる。\nわたしのあまーい匂いがわかるくらいまで❤
ふぅ～・・・❤,ふぅ～・・・❤
はひぃっ・・・❤あううっ・・・❤,はひぃっ・・・❤あううっ・・・❤
これだけ近いと毒の息をどんどん浴びちゃうわね❤\nもう一回、ふぅ～・・・❤,これだけ近いと毒の息をどんどん浴びちゃうわね❤\nもう一回、ふぅ～・・・❤
ありがとう、とても嬉しいわ❤\nならあなたもわたしのお願い聞いてくれるわよね❤,ありがとう、とても嬉しいわ❤\nならあなたもわたしのお願い聞いてくれるわよね❤
さっきの仲間みたいに根こそぎエナジーを頂戴？\n一生懸命我慢して、限界まで溜めたエナジー、\n全部わたしに飲ませて欲しいの❤,さっきの仲間みたいに根こそぎエナジーを頂戴？\n一生懸命我慢して、限界まで溜めたエナジー、\n全部わたしに飲ませて欲しいの❤
ほら、胸で受け止めてあげる❤\n好きってうわごとのように言いながら、\nぴゅっぴゅって精液出してしまいなさい？くすくす❤,ほら、胸で受け止めてあげる❤\n好きってうわごとのように言いながら、\nぴゅっぴゅって精液出してしまいなさい？くすくす❤
あひぃっ…❤好きぃ…❤,あひぃっ…❤好きぃ…❤
んふ❤あなたもたっぷりとエナジーの詰まった精液を出せたわね❤\n幸せそうな顔で倒れて・・・\n揃いも揃って馬鹿みたい。,んふ❤あなたもたっぷりとエナジーの詰まった精液を出せたわね❤\n幸せそうな顔で倒れて・・・\n揃いも揃って馬鹿みたい。
試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格よ。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤,試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格よ。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤
他の男もオナニーがしたくなったら言いなさい❤\n馬鹿にしたお詫びに、\n幸せの中で気持ちいい射精をさせてあげる❤,他の男もオナニーがしたくなったら言いなさい❤\n馬鹿にしたお詫びに、\n幸せの中で気持ちいい射精をさせてあげる❤
（ここまでわたしのフェロモンに耐えるなんて・・・\nもう一押しのはずなのに）,（ここまでわたしのフェロモンに耐えるなんて・・・\nもう一押しのはずなのに）
ねぇ、このままわたしを倒してもいいの？\n本当は別の事がしたいんじゃないかしら。よーく考えて・・・❤,ねぇ、このままわたしを倒してもいいの？\n本当は別の事がしたいんじゃないかしら。よーく考えて・・・❤
たとえば、このおっぱいに顔を埋めてみたい❤\nそんな風には思わない？\nわたし、あなたみたいな強い人が好みなの❤,たとえば、このおっぱいに顔を埋めてみたい❤\nそんな風には思わない？\nわたし、あなたみたいな強い人が好みなの❤
だからあなたが満足するまでぱふぱふさせて欲しいの。\nほら、わたしの胸の中に・・・❤,だからあなたが満足するまでぱふぱふさせて欲しいの。\nほら、わたしの胸の中に・・・❤
胸から視線を離してとどめを刺した,胸から視線を離してとどめを刺した
おっぱいに見とれてしまった,おっぱいに見とれてしまった
そんな・・・意思が強いのね・・・。,そんな・・・意思が強いのね・・・。
くす❤捕まえた❤ぎゅ～っ❤,くす❤捕まえた❤ぎゅ～っ❤
し、しまっ…あぁっ❤,し、しまっ…あぁっ❤
これで形勢逆転ね❤もう離さないわよ❤このままあなたをおっぱいに埋もれさせてあげる・・・❤,これで形勢逆転ね❤もう離さないわよ❤このままあなたをおっぱいに埋もれさせてあげる・・・❤
むにゅむにゅ❤顔がおっぱいに埋もれて気持ちいいでしょう❤,むにゅむにゅ❤顔がおっぱいに埋もれて気持ちいいでしょう❤
でもそれだけだと逃げられちゃう。だから、ふぅ～❤ふぅ～❤おっぱいの谷間、わたしのフェロモンで満たしてあげる❤,でもそれだけだと逃げられちゃう。だから、ふぅ～❤ふぅ～❤おっぱいの谷間、わたしのフェロモンで満たしてあげる❤
あっ❤ああっ・・・❤この匂い・・・❤,あっ❤ああっ・・・❤この匂い・・・❤
そうそう❤大きく息を吸って・・・❤とろーんとしたいい顔になってきたわね❤もっともーっと吸ってぇ❤そうしたらとっても素直になれるから❤,そうそう❤大きく息を吸って・・・❤とろーんとしたいい顔になってきたわね❤もっともーっと吸ってぇ❤そうしたらとっても素直になれるから❤
ああ・・・❤気持ちいい・・・❤好きになっちゃう・・・❤,ああ・・・❤気持ちいい・・・❤好きになっちゃう・・・❤
嬉しい、ありがとう❤あなたの素直な気持ちが聞けて良かったわ❤うふふ、すっかり脱力して・・・こうなったら後は搾り取るだけね❤,嬉しい、ありがとう❤あなたの素直な気持ちが聞けて良かったわ❤うふふ、すっかり脱力して・・・こうなったら後は搾り取るだけね❤
あなたの大好きなおっぱい❤たっぷり堪能させてあげるわ❤でも直ぐに射精したらダメよ？エナジーをたくさんため込んでから射精して欲しいの❤,あなたの大好きなおっぱい❤たっぷり堪能させてあげるわ❤でも直ぐに射精したらダメよ？エナジーをたくさんため込んでから射精して欲しいの❤
あなたの顔におっぱいを擦りつけてあげる❤上下にむにゅむにゅ❤左右にむにゅむにゅ❤うふふ、ペニスがびくびくして喜んでる❤,あなたの顔におっぱいを擦りつけてあげる❤上下にむにゅむにゅ❤左右にむにゅむにゅ❤うふふ、ペニスがびくびくして喜んでる❤
ねぇ、お腹に当たってるペニス❤自分でわたしのお腹に擦りつけてみて？絶対に気持ちいいから❤ほら、早く❤,ねぇ、お腹に当たってるペニス❤自分でわたしのお腹に擦りつけてみて？絶対に気持ちいいから❤ほら、早く❤
ああっ…❤これっ…❤ヤバ・・・❤,ああっ…❤これっ…❤ヤバ・・・❤
あはは❤腰をヘコヘコさせて擦りつける気持ち良さ、知っちゃったね❤もう腰が止まらない❤逃げられないように全身しめつけられてるのに、腰だけ必死に動かして・・・❤,あはは❤腰をヘコヘコさせて擦りつける気持ち良さ、知っちゃったね❤もう腰が止まらない❤逃げられないように全身しめつけられてるのに、腰だけ必死に動かして・・・❤
自分からおっぱいに思いっきり顔を埋めてみて❤あん❤すごい鼻息❤もう戦うことなんて覚えてないじゃない❤男って本当に単純・・・❤,自分からおっぱいに思いっきり顔を埋めてみて❤あん❤すごい鼻息❤もう戦うことなんて覚えてないじゃない❤男って本当に単純・・・❤
チンポがもう限界？それじゃあ最後に深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤,チンポがもう限界？それじゃあ最後に深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤
あへぇ……❤好き❤好きぃ……❤,あへぇ……❤好き❤好きぃ……❤
うふふ❤なんて情けない姿なのかしら❤好き好きっていいながらお腹に無駄打ち・・・❤,うふふ❤なんて情けない姿なのかしら❤好き好きっていいながらお腹に無駄打ち・・・❤
やはり男の人はおっぱいの誘惑に抗えないものなのね❤ぱふぱふされたいからって隙だらけになるなんて、マスター失格よ❤,やはり男の人はおっぱいの誘惑に抗えないものなのね❤ぱふぱふされたいからって隙だらけになるなんて、マスター失格よ❤
やはり男の人はおっぱいの誘惑に抗えないものなのね❤あなたのお陰で傷も回復したし、次の人もわたしのぱふぱふで魅了してあげるわ❤,やはり男の人はおっぱいの誘惑に抗えないものなのね❤あなたのお陰で傷も回復したし、次の人もわたしのぱふぱふで魅了してあげるわ❤
くぅ、またわたしが追い詰められるなんて・・・。実力は確かなようね。,くぅ、またわたしが追い詰められるなんて・・・。実力は確かなようね。
でも、あなたも本心を隠しているでしょう？その証拠にペニスはギンギン❤さっきの仲間みたいにわたしのお腹に射精して汚したい。そう思っているのでしょう？,でも、あなたも本心を隠しているでしょう？その証拠にペニスはギンギン❤さっきの仲間みたいにわたしのお腹に射精して汚したい。そう思っているのでしょう？
ううっ・・・❤,ううっ・・・❤
あまーい匂いとおっぱいに顔を包まれながらペニスを擦りつけたい❤あわよくば挿入したい❤そう思っているから目がそらせないのよね❤,あまーい匂いとおっぱいに顔を包まれながらペニスを擦りつけたい❤あわよくば挿入したい❤そう思っているから目がそらせないのよね❤
見て❤おっぱいをゆさゆさ❤この柔らかいおっぱいに顔を埋めてみたくないの？わたしにあなたを優しく抱きしめさせて・・・❤,見て❤おっぱいをゆさゆさ❤この柔らかいおっぱいに顔を埋めてみたくないの？わたしにあなたを優しく抱きしめさせて・・・❤
はい❤むぎゅ～❤しっかり捕まえさせてもらうね❤,はい❤むぎゅ～❤しっかり捕まえさせてもらうね❤
優しく抱きしめるなんて嘘に決まってるじゃない❤ほら、暴れないの❤ふぅ～・・・❤,優しく抱きしめるなんて嘘に決まってるじゃない❤ほら、暴れないの❤ふぅ～・・・❤
うふふ、いい匂いでしょう？わたしのあまーい匂いをこの距離で吸い込んだらもうおしまい❤抵抗する気力なんて全部溶けちゃうもの❤,うふふ、いい匂いでしょう？わたしのあまーい匂いをこの距離で吸い込んだらもうおしまい❤抵抗する気力なんて全部溶けちゃうもの❤
あっ❤ああっ・・・❤いい匂い・・・❤,あっ❤ああっ・・・❤いい匂い・・・❤
そうでしょう❤好きなだけわたしのフェロモン吸い込んでいいからね❤ふぅ～・・・❤,そうでしょう❤好きなだけわたしのフェロモン吸い込んでいいからね❤ふぅ～・・・❤
全身から力が抜けちゃった❤もっともっと、あなたが素直になれるようにぱふぱふしてあげるわ❤,全身から力が抜けちゃった❤もっともっと、あなたが素直になれるようにぱふぱふしてあげるわ❤
むにゅむにゅ❤顔がとろけてちゃってる❤もっともーっとフェロモンを吸ってぇ❤そうしたらとっても素直になれるから❤,むにゅむにゅ❤顔がとろけてちゃってる❤もっともーっとフェロモンを吸ってぇ❤そうしたらとっても素直になれるから❤
あーあ❤本当に男って単純なんだから。ぱふぱふするだけで好きになるとかどれだけ単細胞なの？,あーあ❤本当に男って単純なんだから。ぱふぱふするだけで好きになるとかどれだけ単細胞なの？
わたしはギンギンのペニスに触ってもいないのに❤自分から腰をへこへこしてお腹に擦り始めちゃうなんてお猿さんみたい❤,わたしはギンギンのペニスに触ってもいないのに❤自分から腰をへこへこしてお腹に擦り始めちゃうなんてお猿さんみたい❤
