default
メルティスライム,嬌柔史萊姆
そうだ、言った通り少しはサービスしてあげるわね。\nほら、そこに寝なさい。\nわたしはロリコンさんのおなかの上に乗っかって、と・・・。,啊，那就像剛才說的給你一點服務好了。\n躺在那邊。\n我就坐在蘿莉控哥哥的肚子上，嘿咻。
ふふ、こうしてると透明なわたしの体の中に\nあんたのチンポが入っているみたいでしょ？\nまるで本番エッチしてるみたい❤,呼呼，這樣子是不是看起來像你的老二正在放在我透明的身體內？\n簡直就像是真的有插入一樣耶。
乳首もさわさわしてあげる。\nスライムの手でねっとりいじられると、乳首だけでも天国なのよ❤,同時也摸你乳頭。\n被史萊姆黏稠的手掌給幹的話，就算只是乳頭也會昇天喔。
ほら、さわさわ❤さわさわ・・・❤,只有乳頭被史萊姆手掌幹的感覺如何❤，嗯哼哼……❤。
きゃはは、腰カクカクさせちゃってるじゃん。\nなになに？エッチしてる感じなのかな？,呀哈哈，你的腰都扭起來了耶。\n是怎麼樣？真的有感覺在做愛嗎？
ほんとは何もないところに腰を振ってるだけなのに・・・、くすくす❤\n妄想エッチきもちいいねー❤,竟然對著空無一物的地方扭腰……，嗯哼哼❤。\n妄想做愛的感覺好像真的很舒服耶❤。
好きなだけ出していいわよ❤\n仲間のことなんて忘れて、どぴゅどぴゅってしちゃえ、マゾ男❤,盡情射出來吧，把同伴給忘光，用力地射吧！\n你這變態Ｍ男❤！
あん❤どばどば出てる❤\nおまんこの中じゃなくて、わたしのお尻にかかったわね❤,啊哈哈❤，猛烈噴出來了。\n不是射在小穴裡，而是濺到我的屁股上呢。
中だしじゃないけど、これで満足かしら❤\nふふ、聞くまでもないか❤,雖然不是中出，但還是很滿足對不對？\n嗯哼哼，看來不需要問呢。
自分から自爆しちゃうカードマスターで助かったなー。\nこれでわたしたちの勝ち♪ らくちんらくちん♪,會自己過來自爆的卡片玩家真是太好了。\n這樣就是我們贏了，好輕鬆好輕鬆～。
もしかしたら、また気持ちいいサービスしちゃうかも。\nほら、おいで、おいで・・・❤,說不定我還會在你們舒服的服務喔。\n過來啊，看著我自慰嘛……。
ふふ、ざーこ❤理性よわよわー❤,嗯哼哼，廢物❤，意志力好弱❤。
きゃはは❤楽勝、楽勝❤\nロリコンチンポは弱くて助かるわ❤,呀哈哈❤，好輕鬆好輕鬆～。\n是根廢物蘿莉控老二真是太好了❤。
初めて魔族と戦った僕は、サキュバスの少女が繰り出した上級モンスターにあっけなくイかされてしまった。,我在第一次跟魔族的戰鬥中，被史萊姆少女不斷打出的上級怪獸給弄到射精了。
仰向けに倒れた体に力を入れることもできず、守るはずだった商人が襲われていく様を眺めることしか出来ないでいた・・・。,仰躺在地上的我無法動彈，只能看著原本應該要守護的商人遭到魅魔少女襲擊。
く、くるな。\nこないでくれ・・・っ！,別、別過來。\n拜託不要……！
ううっ…。\nやめろ、その人から離れろ・・・！,嗚嗚嗚……。\n住手，放開他……！
あら。健気な護衛さんですね❤\nマスターのお兄さんはまだ頑張るつもりですか？,真是不死心的護衛呢，\n卡片玩家哥哥還打算戰鬥嗎？
けど今さら無駄です❤\nお兄さんが負けちゃったせいで、\nみ～んなわたしたちに食べられちゃうんですよ❤,但是已經沒用了喔❤。\n因為大哥哥你輸了的關係，大～家都要被我們給吃掉嘍❤。
でもよかったですよね❤\n男の人は、サキュバスにえっちなことをされるのが大好きですから❤\nあなたも嬉しいでしょう？ほら、ほらほら❤,但是這真是太賺了耶❤。\n因為男生都最喜歡被魅魔做色色的事情不是嗎？\n哥哥你一定也很高興吧？就像這樣踩你❤。
え、あ、うぁ・・・❤,欸、啊、嗚……！
ね？こんなに幸せそうなお顔❤\nさあ、わたしの足コキで一回目のお射精しちゃってください❤\nよわ～い商人さん、どぴゅどぴゅー❤,對吧？一臉幸福的表情。\n來吧，被我的足交踩第一次就射精吧。\n弱弱的商人哥哥❤，被踩射～。
あ❤　あ❤　あ❤\n\n・・・・・・・・・っ❤,啊❤！啊❤！啊❤！\n\n…………嗚❤。
くそぅ・・・。,可惡……。
僕は無意味とわかっていながらも商人の元へと這い寄ろうとする。しかし、その動きは途中で止められてしまう。,雖然知道沒有意義但我還是努力地爬向商人。但是，我在中途就被擋住了。
見ると、バトルで僕を倒したメルティスライムが目の前に立ちふさがり、僕をにやにやとした顔で見下ろしていた。,仔細一看，是在對戰中把我打倒的嬌柔史萊姆正站在我面前，她用嘲笑的神情俯視著我。
わたしにかんたんにイかされちゃったくせに、なにしようとしてるのー？\nマスターも言ってたでしょ？『今さら無駄』だって❤,明明這麼簡單得就被我給打倒，還想要幹嘛？\n我主人也說了不是嗎？『已經沒用了』❤。
ぼ、僕のせいだ・・・。\n僕を頼ってくれた人だけでも助けなくちゃ・・・。,都、都是我的錯……。\n所以至少我得要拯救信賴我的人……。
くすくす❤そんなこと言って、全然進めてないよ？\nハイハイ上手だねー❤赤ちゃんなのかな～？,嗯哼哼❤，雖然嘴巴上這樣說，但是你完全沒在前進耶？\n要別人說你好棒你好棒❤，你還小嬰兒嗎～？
サキュバスにイかされちゃったらね、\nしばらく 体に力が入らなくなっちゃうんだよ❤\n子供にも勝てないぐらい、よわよわになっちゃうの❤,被魅魔給弄射的話，會一段時間全身無法出力抵抗。\n變成連小孩子都贏不了的弱小身體喔❤。
カードマスターなら分かってたよね。\nサキュバスに射精させられちゃいけないって。\nで、も・・・・❤,你是卡片玩家所以應該也知道吧。\n你們是絕對不可以被魅魔弄到射精的。\n但、是、啊……❤。
わたしの体に見とれてぇ、\n自分でしこしこ❤自滅オナニー❤\n絶対しちゃダメな射精、どぴゅどぴゅーって楽しんじゃったね❤,看我的身體看到入迷，\n摸自己老二❤做自爆自慰❤。\n很開心地做這種絕對不能做的射精耶。
わたしに童貞おちんちんシコシコされてぇ、\n頭のなかあっという間にまっしろ❤\n絶対しちゃダメな射精、どぴゅどぴゅーって楽しんじゃったね❤,你的童貞雞雞被我摸幾下，腦袋馬上就一遍空白❤。\n然後就很開心地做這種絕對不能做地射精了耶❤。
う、ううっ・・・❤それはぁ・・・。,嗚、嗚嗚……，那是因為……。
言い訳しなくていいんだよー。\nわたしのせくしーぼでぃーに負けるなんて、\n男なら当たり前なんだし。きゃはは❤,不用找藉口啦。\n被我的「性感」身體誘惑到輸，\n對男生來說是理所當然的事情不是嗎？呀哈哈❤。
でも、あんたに責任はあるかもね。\nあんたがおちんちん我慢できてたら、\nあそこの商人さんは助かったのかも。,但是，你應該還是有責任喔。\n要是你的老二能忍耐的話，\n說不定就就得了那個商人了呢。
だからぁ、悪かったなーって思うなら、\nわたしにどれだけシコシコされても我慢しなくちゃダメだよ？\nえいっ❤,所以說呢，如果你覺得很抱歉的話，\n正確來說應該是不管被我怎樣幹都應該要想辦法忍耐才對喔。\n嘿呀❤。
う・・・❤はぁ・・・❤,嗚……❤，哈啊……❤。
くす❤チンポ包まれた瞬間にうっとりしちゃってるー❤\nロリコンマゾ男って、ちょろーい❤,嗯哼哼❤，老二被我抓起包覆的瞬間就屈服了❤。\n蘿莉控Ｍ男，真好搞❤。
おちんちん全部、にゅるんって包まれたことなんてないもんね。\n守らなきゃいけない人とかがかかっていても、\nこんなことされたら、ロリコンおちんちん耐えられないもんね❤,你從來沒有老二被女孩子整根好好包覆過對吧？\n就算有不得不守護的人在，\n只要被女孩子這樣幹，這跟蘿莉控老二就要受不了了呢❤。
ほぉら、うりうりー❤\nかる～く動かすだけでも、\nわたしの手がぬちぬち絡みついてきてたまらないでしょ❤,被女孩子用史萊姆手掌幹的感覺如何啊❤，\n就算我只是輕輕動而已，被黏稠手掌牽絲的感覺還是讓人爽到受不了對不對？
あっ❤あううぁ・・・❤,啊❤！啊嗚嗚……❤！
あは❤幸せそうな顔ー❤\nスライム手コキでわたしにメロメロだね～❤\n腕にも脚にもぜんぜん力入ってないよ❤,啊哈哈❤，一臉幸福的樣子❤。\n被我用史萊姆手交給魅惑了耶❤。\n你四肢完全沒力了耶❤。
きっとあんたとわたしが腕相撲とかしたらね、\nあんたの方が勝つと思うんだー。\nでも、おちんちん握っちゃえば、筋肉とか関係ないの。わたしの勝ち❤,如果你要跟我比腕力應該是你會贏。\n但是只要老二被人握住，就跟肌肉沒關係就是了。\n只要握住你老二就是我贏❤。
強い武器を持っていてもー、おちんちんは弱いもんね❤\nびんかんな隙間にスライムを潜りこませてぇ、\nそのまま上下にぐちゅぐちゅってすれば、ほら、おしまい…❤,就算有再怎樣強力的武器，老二還是一樣弱呢❤。\n只要有史萊姆可以潛入的隙縫，\n在妳身體上面上下纏繞，你就輸定了……❤。
うぁ、あ、あうぅ・・・❤,嗚、啊、啊嗚……❤。
くすくす❤ もう助けに行こうとかなーんにも考えられないね❤\n「もっと気持ちよくしてほしいよ～」って、\n腰をぷるぷるさせてるだけ❤かっこわる～い❤,嗯哼哼❤，你已經根本沒在思考如何救人了呢。\n只是在「我好想爽喔～」然後扭腰而已❤好遜～喔❤。
まーそうなっちゃうのも仕方ないよね❤\nわたしのおててオナホ、\nおちんちんを気持ちよ～くさせるのが大得意なんだもん❤,但是沒辦法呢❤。\n我的手手自慰套讓老二太舒服了，我最會讓老二舒服了呢❤。
どんな男でもイかせられるように、\n思い通りに形を変えて、ぴったりフィット❤\nきゅーって吸い付いて、簡単にどぴゅどぴゅさせちゃう最強名器なの❤,我的手可以變形成任意形狀。\n讓所有男生照我的意思射精❤。\n這可是緊緊吸住所有男人老二，輕鬆就讓他們射精的最強名器喔❤。
・・・・・・っ❤,…………嗚❤！
ねー、おちんぽずっとぐちゅぐちゅされてそろそろ限界でしょ？❤\nまだわたしたちから逃げたい？\nそれとも・・・。,欸、你老二一直被我幹應該已經到臨界點了吧？\n你又要從我們手中逃走嗎？\n還是說……。
・・・・・・イかせてほしい？❤,你想被幹到射？
い、いや。\n僕は・・・・・・,不、不想。\n我想要……
・・・・・・・・・っ❤,…………嗚❤！
うんうん、僕はー？❤,嗯嗯，你說想要？
必死に快感に抗う僕をからかうように、メルティスライムはここぞというタイミングでペニスへの責めを激しくする。,我拼命的抵抗快感，但是嬌柔史萊姆會在絕妙的時機突然激烈套弄我陰莖。
幼い見た目からは想像もできないほど的確に弱点を責めてくる姿に、彼女がサキュバスの使うモンスターだということを思い知らされた。,那是幼小的模樣難以想像的侵犯男性弱點的能力，這讓我清楚認知到她是魅魔使用的怪獸卡。
亀さんの出っ張りにスライムを引っかけてぬちゅぬちゅすると、\nどんな男でも効いちゃうんだよねー❤,讓史萊姆在龜頭邊邊牽絲的話，不管是怎樣的男生都能打倒喔❤。
ほらほらー❤ 弱いとこだけじゃないよ❤\n皮の外からも～、皮の中からも～、竿をごしごしして、\nチンポのぜ～んぶをスライムでメロメロにしてあげる❤,啊哈哈❤不會只有敏感部位喔。\n不管是包皮外～，還是包皮內～，套弄整根肉棒，\n讓你整根老二都被史萊姆給魅惑喔。
で、僕は？❤\nどうしたい？❤ どうされたい？❤,那麼，再說一次。\n你想要怎麼樣？想要被做什麼？
・・・・・・い、イかせてっ！❤\nスライムで射精、させて・・・っ！❤,……讓、讓我射！\n讓我在史萊姆中、射精……！
ん～？「させて」？\nそんな言葉づかいでいいのかなぁー。,嗯～？「讓」？\n你的敬語呢？
あっ、ああっ❤\nさせてください・・・っ！❤\nメルティスライムさまぁ❤おねがいしますぅっ❤,啊、啊啊❤！\n請讓我射……！❤\n嬌柔史萊姆大人❤！拜託您了❤！
きゃはは❤こんなちっちゃい子に向けて「お願いします」だってさぁ❤\n最初は仲間を助けなきゃ～ってちゃんとがんばってたのに。\nかっこわるーい❤わたしげんめつしちゃーう❤,呀哈哈❤！竟然對我這種小女生說「拜託您了」❤。\n明明還有同伴要救呢。\n好遜～喔❤，人家好失望～喔❤。
でも、ちゃんとおねだりできたマスターくんには、\n応えてあげないとね❤,但是對於能夠好好懇求的玩家來說，\n不給他獎勵不行呢❤。
シコシコおててに屈服しちゃったロリコンおちんちんに、\nスライムオナホでとどめだよ❤,就用史萊姆自慰套來打倒這根會對蘿莉小手屈服的蘿莉控雞雞❤。
ほら、これまでで一番激しく、ぐちゅぐちゅぐちゅー❤\nおちんちんめちゃくちゃにされてたまらないでしょ❤,這速度可是至今為止最刺激的，\n小雞雞被這樣黏稠手淫爽到受不了了對吧？
さっさと射精しちゃえ、マーゾ❤,趕快給我射精，Ｍ男❤！
はぅぅ❤　い、イく・・・・・・っ❤,哈嗚嗚❤　要、要射……嗚❤。
