default
ピンクスライム,粉紅史萊姆
えへ❤気持ちよくてあたまとろけちゃいそう？マスターのためにも頑張らなきゃダメだよ❤がまんがまん❤,嘿嘿❤是不是爽到腦袋無法思考呢？為了主人不戰鬥不行喔，要想辦法忍耐呢。
ねえ、このヌルヌルの手でしごいてあげるね。,欸，我要用黏稠的手掌幫你手交喔。
ぬちゅぬちゅしてて、きもちいいんだよ？腰がガクガクになっちゃうかも❤,這有黏滑的觸感，會很爽的喔。說不定還會爽到不斷顫抖呢。
我慢できなくなっちゃったら、魔物の食べ物になっちゃうかもだけど…,雖然忍耐不住的話，就會變成魔物的食物……
とっても、とーってもきもちいいから、別にいいよね？ほら、ぬちゅぬちゅー❤,但是感覺非常～非常舒服，所以沒關係對吧？趁你思考的時候先做了喔～。
くすくす❤イっちゃっていいよ❤びゅーって負けちゃおう？,嗯哼哼❤可以射喔，只要咻一聲就敗北了喔。
わたしの手、ぬるぬるしててすごいでしょ？自慢のスライムローションで頭のなかしあわせにしちゃうんだから❤,我的手很黏稠很厲害對不對？我自豪的史萊姆潤滑液會讓你的頭殼裡面只剩下幸福感呢。
こうやってぎゅって握って上下に、しこしこ❤しーこしこ❤,我像這樣握住你，前後抽動❤。
あは、わたしの脚ばっかり見てるじゃん。脚でされるの好きなんだね❤,啊哈，盯著我的腳看呢。你喜歡被腳幹呢❤。
お望み通り、この間に挟んであげる。むちむちのふとももでむぎゅーってして・・・,那麼就按造你喜歡的，用這個空隙來夾你。用我這對豐滿的大腿……。
そのまま上下にぬちゅぬちゅ❤うふふ、きもちいいと思うよー❤,就這樣上下黏稠的滑動，嗯呼呼，肯定很爽的呢。
くすくす❤バトルに集中しないといけないのに、さっきからわたしの脚ばっかり見てるね。,嗯哼哼❤明明不專心在對戰上不行，但是卻一直在看我的腳。
女の子の脚、好きなんだ？わっかりやすーい❤,是不是喜歡女孩子的腳呢？都被我看穿了喔❤。
ほら、じっとしてて❤お兄さんが大好きなこの脚で、おちんちん挟んでたくさん気持ちよくしてあげる❤,來別亂動，我會用大哥哥最喜歡的這雙腳夾住雞雞讓他爽起來。
女の子の脚できもちよくしてもらいたくて、手が止まっちゃった？,因為想要被女孩子用腳爽，攻擊的動作就停下來了嗎？
いいよ。お望み通りこの脚でおちんちんを挟んで、たくさん気持ちよくしてあげる❤,好喔。就照你期望的用腳夾雞雞，讓你非常得爽喔。
あは、カードマスターさん、女の子の脚好きなんだ。見てればわかるよ。,啊哈哈，原來卡片玩家哥哥喜歡女孩子的腳啊。一看就知道了呢。
だってほら、こうやって指でむにってふとももを押したら、くいつくみたいにじーっと見てる❤,你看嘛，我用手指彈一下大腿，你就緊盯著這個大腿看不是嗎？
目離せないんだね。かわいい❤ほら、お兄さんの大好きなふとももで、たくさんきもちいいことしてあげる❤,視線完全移不開呢。好可愛喔，那麼就用大哥哥最喜歡的大腿讓你爽喔。
あは、ぽーっとした顔しちゃって、わたしのふとももがそんなに気になる？,啊哈，一臉傻樣的看著，你就這麼在意我的大腿嗎？
このむちむちのふとももで、ぎゅーってお顔とかおちんちんを挟まれたら、どれだけ気持ちいいんだろうね❤,這雙豐滿的大腿緊緊夾住臉頰或雞雞，不知道會有多爽呢？
想像しちゃった？くすくす❤実際にやってあげる。,開始想像起來了嗎？嗯哼哼❤那就實際做吧。
わたしのふとももに溺れて、そのままわたしのマスターに屈しちゃえ❤うふふ❤,沉溺在我的大腿下，然後就這樣屈服於我的主人，嗯哼哼❤。
むちむちのふとももで挟んであげる。ほら、ぱっくん❤,用豐滿大腿夾你喔。嗯哼哼，夾起來了。
むぎゅーって圧迫されてたまらないよね？ぬるぬるになったおちんちん、このふとももの間でたくさんいじめてあげるね❤ほらほら❤,緊實的壓迫感讓人爽到受不了對不對？沾到史萊姆的雞雞要在這對大腿中間被幹了喔，嗯哼哼❤。
膝の裏でおちんちんを挟んでっと・・・❤ふふ、捕まえちゃった❤,彎曲膝蓋把雞雞夾住……嗯哼哼❤，抓到了。
このまま上下に何回も動かしてあげるね❤おちんちんぬるぬるになってるから、最高に気持ちいいはずだよ。うりうりー♪,就這樣前後擺動，讓雞雞沾上黏液，變得超級舒服。嗯哼哼❤。
脚で挟んであげるね。マスターくん❤,我要用腳夾你喔，卡片玩家大哥哥。
ぬるぬるになったおちんちんで、わたしのむっちりしたふとももに捕まったら、もう終わり❤,這個已經被黏液弄到滑溜溜的雞雞，再被我豐滿的大腿夾住的話就死定了。
ぐちゅぐちゅされるのが気持ちよすぎて、早くイかせてぇってすぐに自分から腰振っちゃうの。,被黏稠的觸感弄到很舒服，開始大喊拜託讓我射然後自己扭腰起來。
マスターくんの腰も少し動いちゃってるね❤くすくす❤,卡片玩家哥哥的腰也開始動起來了呢，嗯哼哼❤。
ふとももでおちんちん捕まえられるの、好きかな？,你喜歡被女孩子用大腿夾雞雞對不對？
スライムでぬるぬるになったおちんちんを、ふとももで何回もしごくの❤女の子の脚がどれだけ気持ちいいか、たーっぷり教えてあげるね❤,只要雞雞在被史萊姆纏住的狀況下持續被大腿幹。你就會知道女孩子的腳有多棒。
むぎゅーって圧迫されてたまらないよね？おちんちん、たくさんいじめてあげる❤,這種緊緻的壓迫感讓人爽到受不了對不對？雞雞說不定會爽到壞掉喔。
わたしの脚はとっても気持ちいいんだよ。人間の女の子の脚なんかよりずっと張りがあって、むっちり吸い付いてきて・・・❤,我的腳感覺用起來可是非常爽喔。肉質比人類女孩子的腳還彈嫩，肌膚飽滿而緊緻……。
おちんちんを捕まえたまま膝を前後に・・・♪にひひ、たまらないでしょー❤,雞雞被這對腳以膝蓋內側夾住前後挪動……嗯哼哼❤是不是光想像就要受不了了呢？
わたしのむっちりしたふとももに捕まったら、みんなすぐ負けを認めちゃうんだよ。,每個被我用緊緻的大腿夾住的男人都馬上投降了呢。
おちんちん、気持ちいい、早くイかせてぇって自分から腰振っちゃうの。,雞雞好爽，好想趕快大喊拜託讓我射一邊扭腰對不對？
ねえー、マスターくんの腰も少し動いちゃってるね❤くすくす❤,欸，卡片玩家哥哥的腰已經在棟了呢，嗯哼哼❤。
ふとももでおちんちん捕まえられるの、好きかな？ん、あんまりされたことない？,喜歡被女孩子用大腿抓住雞雞嗎？嗯？幾乎沒有經驗嗎？
それならどれだけ気持ちいいのか、たーっぷりわたしが教えてあげるね❤うふふ♪,那麼就用我的大腿來告訴你這有多舒服，嗯哼哼❤。
くす、おちんちん我慢できなくて、\nわたしにおねだりしちゃうの？\nあは、ダメだなー❤,嗯哼哼，雞雞要受不了了，\n所以來向我懇求嗎？\n啊哈哈，你這樣不行喔。
サキュバスのモンスター相手にそんなこと言ったらどうなるか、\n少し考えたら分かりそうなのに❤\nでもいいよ、精液くれるんならちゃんと気持ちよくしてあげる❤,跟魅魔的怪獸卡說這種話的下場是什麼，\n稍微想一下就知道了不是嗎？\n但是對我來說沒差，你願意給我精液我就可以讓你爽。
どうやって気持ちよくしてほしい？\n手でぐちゅぐちゅしごいてほしい？\nそれとも太ももに挟んでどろどろにされたいかな～？,你想要哪種爽法？\n用黏稠的手弄到滑溜溜？\n還是用緊實的大腿夾到爽～？
ふーん、手でシコシコしてほしいんだ❤\n手の平に粘液を垂らしてぐちゅぐちゅって音立ててたから、\nこの手でされたいって妄想しちゃった？,喔，想要我用手幫你做啊。\n你現在已經在想像我手心滴下黏液的聲音，\n想像這隻手幹你的感覺嗎？
いいよ❤くすくす❤ぬるぬるの手で最高に気持ちよくしてあげる❤,好啊，嗯哼哼❤，就用我黏稠的手來給你最棒的快感吧。
ふーん❤このふとももに挟んでほしいんだ❤\nいいよ、人間のふとももよりもずっとぷるぷるで気持ちいい感触、\nおちんちんで死ぬまで味わってね❤,喔～，你想被我這對大腿夾啊。\n可以喔，讓我用這比人類大腿還要彈嫩的大腿觸感，\n把你的雞雞幹到死為止吧。
あは、ヌルヌルの手コキ、気持ちよかったかな❤\nたくさん出してる❤ほらわたしのおっぱいにまで飛んできちゃった❤,啊哈哈，黏稠手交很爽對不對？\n你射了好多出來喔，都射到我胸部上了。
くす、ふとももに押しつぶされて、\nどぴゅっ、どぴゅって射精しちゃったね❤\n見て、あなたの精液でふとももが真っ白だよ❤,嗯哼哼くす、ふとももに押しつぶされて、\nどぴゅっ、どぴゅって射精しちゃったね❤\n見て、あなたの精液でふとももが真っ白だよ❤
あっ、ああっ・・・。,あっ、ああっ・・・。
あれあれ、どうしてシコシコしてるの？まだ戦いは始まったばっかりだよ？,好奇怪喔，為什麼你在摸雞雞？對戰才剛開始而已喔。
もしかして、マスターのキス、気持ちよすぎたのかな❤頭の中、エッチなことでいっぱいになっちゃった？,難道說我主人的吻太爽了。腦袋已經只能想著色情的事情嗎？
くす、図星みたい❤目にハートを浮かべちゃって、かわいいね❤,嗯哼哼，我說中了呢，你眼睛都冒出愛心來了，這副模樣好可愛喔。
わたしの体を見て我慢できなくなっちゃった？何日か旅して、たまってたのかな？くすくす❤,看見我的身體就忍不住了嗎？你已經旅行了好幾天，所以囤積很多對不對？嗯哼哼❤。
ほら、こっちおいで❤おっぱいとかふとももとか、近くで見せてあげる❤,過來這邊，讓你可以近距離看胸部跟大腿喔。
あううっ・・・。,阿嗚嗚……。
くすくす❤しごくの早くなっちゃうね。魔物の体に興奮して、情けない声出しちゃっている。,嗯哼哼❤手淫速度變快了呢。對魔物的身體興奮，發出丟人的叫聲。
本物の女の子じゃないんだよ？スライムの体を使って、男の子が好きな形になっているだけ。,這身體可不是真正的女孩子喔。只是以史萊姆的身體，做成男孩子喜歡的形狀而已。
おっぱいだってふとももだって、スライム製のつくりもの。,不管是胸部還是大腿，都是史萊姆產的喔。
ほら、触ってみて・・・❤好きなとこ、もみもみしていいよ。,來，摸摸看……你可以盡情揉喔。
あっ、あっ、ああっ・・・❤,啊、啊、啊啊……！
気持ちいいでしょー。感触もね、男の子が大好きなやわらかさにしてあるの。,很爽對不對。因為就連觸感也是男孩子最喜歡的柔軟度呢。
ぷるぷるだけどムニムニでー、揉んでるだけで頭の中空っぽになっちゃうエッチな感触❤,一按就軟還會反彈擺動，是讓你光是揉就會腦袋一遍空白的色情觸感喔。
おちんちんしごく手、止まらないね❤どんどん早くなっちゃうね。,手淫雞雞的手不但沒有停下來還越來越快了呢。
そのままイっちゃう？戦い始まったばっかりなのに、わたしに降参おもらししちゃう？,要射了嗎？對戰才剛開始，就要對我自慰投降了嗎？
あは、おねだりするみたいなその目❤いい顔だね、マスターくん❤,啊哈哈，一副像在求我的眼神，好可愛的表情喔，卡片玩家哥哥。
いいよ❤ほら、出して。好きなだけわたしに白いのかけて気持ちいいまま負けちゃお・・・❤,很爽對不對，可以射精了喔。盡情把人家的身體射的白白的吧。
あは❤すっごくたくさん出てる。オナニー気持ちよかったみたいだね。,啊哈哈❤射了這麼多出來呢。自慰的感覺很舒服呢。
んー？もう眠たくなってきちゃった？エナジーを吸われたんだもん、当然だよね。,嗯？已經想睡了嗎？被人吸走能量這是當然的呢。
バイバイ❤自分から負けた、エッチなマスターくん❤,那麼晚安❤自己過來自慰敗北的色情卡片玩家哥哥。
くすくす❤どうしてシコシコしてるの？わたしは敵だよ。わかってる？,嗯哼哼❤為什麼要摸自己雞雞？我可是敵人喔。知道嗎？
まだ戦いは始まったばっかりなのに・・・。こらえ性がないんだね。ふふ。,戰鬥才剛開始而已呢……。真是沒耐性。嗯呼呼。
わたしたちにたくさんエッチなことされて、頭のなかおかしくなっちゃったのかな？もう我慢できないんだね…❤,被我們做了各種色色的事情，腦袋已經只剩下色情了嗎？所以才會忍不住……
いいよ。ほら、こっちおいで❤おっぱいとかふとももとか、近くで見せてあげる❤,過來這邊。不管是胸部還是大腿都讓你靠近看喔。
でも、感触は抜群なの。ほら、触ってみて・・・❤きみの好きなとこ、もみもみしていいよ。,但是觸感是一流的喔。你摸摸看，這可以讓你盡情揉喔。
気持ちいいでしょー❤男の子が夢中になっちゃうように、手のひらが吸い付くみたいなやわらかさにしてあるんだ❤,摸起來很爽對不對，這是能讓男孩子著迷的一級品，是緊緊吸附在手掌上的柔軟觸感喔。
揉んでるだけでエッチな気分が高まってきて、頭の中空っぽになっちゃう魅力的な感触になっているでしょ？,光是揉就會使色色的情緒大增，腦袋變得無法思考，是最有魅力的觸感對不對？
くすくす❤片手でわたしの体を触りながら、おちんちんしごいている手、早くなっている❤しこしこ、気持ちいい？,嗯哼哼❤一手摸我的身體，一手繼續摸自己雞雞，還速度加快了。自慰的感覺有這麼爽嗎？
そのままイっちゃう？魔物の体をもみもみしながら、戦いもせずに降参射精しちゃう？,要射精了嗎？要摸著魔物的身體，不戰鬥就射精投降了嗎？
いいよ❤ほら、出して。好きなだけわたしに白いのかけて、気持ちいいまま負けちゃお・・・❤,嗯哼哼❤可以射了喔。盡情射精，把我的身體射得白白的吧。
あなたのおかげで体力も全回復。ありがと❤うふふ❤,你讓我的體力完全回復呢。謝謝你喔，嗯哼哼❤。
くすくす、あなたもシコシコしちゃうの？まだ戦いは始まったばっかりだよ？,嗯哼哼，你也要摸雞雞嗎？戰鬥才剛開始而已喔。
ほら、こっちおいで❤あなたにも、おっぱいとかふともも、近くで見せてあげる❤,你可以靠近看喔，你也一樣可以近距離看我的胸部跟大腿喔。
気持ちいいでしょー。男の子はね、こうしてあげればすぐに夢中になっちゃうの。,摸起來很爽對不對。男孩子只要給他摸身體就會馬上被魅惑了呢。
ぷるぷるだけどムニムニで、揉んでるだけで頭の中空っぽになっちゃうエッチな感触❤,一捏就會陷下去還會反彈，這可是光是摸就會讓腦袋一遍空白的色情胸部觸感喔。
あなたもそのままイっちゃう？戦い始まったばっかりなのに、降参おもらししちゃう？,你也要射了嗎？戰鬥才剛開始而已你就要投降了嗎？
モンスターもマスターもすぐに負けちゃうんだね❤よわーいおちんちんで助かっちゃうなー。,不管是玩家還是怪獸卡都自己走過來摸雞雞輸掉，大家雞雞都好弱都是太好了。
くすくす❤もう限界なんだ。いいよ❤ほら、出して・・・。,くすくす嗯哼哼已經到極限了呢。過來這邊吧……
どぴゅどぴゅーって、好きなだけわたしに白いのかけて負けちゃお❤,把白白的射在我身上射精敗北吧。
ふふふ❤すっごくたくさん出てる。オナニー気持ちよかったみたいだね。,嗯哼哼❤射了好多出來喔。你好像自慰得很舒服呢。
自分でシコシコして負けてくれたあなたには、あとでたくさんご褒美あげる。,願意摸自己雞雞以自己輸掉的人，我會特別給予他獎勵喔。
気持ちいいでしょー❤さわり心地をね、男の子が大好きなやわらかさにしてあるの。,摸起來很爽對吧？這個觸感是男孩子最喜歡的柔軟觸感喔。
くすくす❤おちんちんしごく手、止まらないね❤どんどん早くなっちゃうね。,嗯哼哼❤手淫雞雞的手完全停不下來，變得越來越快了呢。
あは、おねだりするみたいなその目❤射精したくてたまらないんだ。,啊哈哈，一臉快要射精的眼神，就這麼不會忍耐嗎？
ううっ、強い…。このままじゃ負けちゃう…。,嗚嗚，好強……。我快要輸了……。
あのね、わたしちょっと特技があって、やられる前に試してもいいかな・・・？,那個，我會一點特技，在打倒我以前要先體驗看看嗎？
この手にね、スライムのべとべとをためるの。わたしのスライムは特別に粘度が高いから、ためた状態で手コキしてあげると、すっごく気持ちいいんだ。,先在這隻手上囤積黏稠液體。我的史萊姆的粘性特別強，如果在一大坨的狀態下手交的話，會非常舒服的喔。
ねえ見て。こんな風にしてあげるんだよ・・・。手でわっかをつくって、竿を優しく指で締めながら、上下にシコシコ・・・❤,看啊。我會像這樣幫你做喔。手成環狀，手指溫柔的緊貼在肉棒上，上下套弄……。
空いている方の手はたまたまをもんであげるの。どうかな？わたしを倒す前に少しだけやられてみない？,然後另外一隻手還會幫你揉蛋蛋喔。如何啊？想在打倒我以前試看看嗎？
あうっ・・・。意志が固いよぉ・・・。,啊嗚……。意志好堅韌‥‥。
ほんと？やった。それじゃあ少しだけ、ローション手コキするね。,真的？太好了。那麼就做一下潤滑劑手交喔。
まずは手の上にスライムをたっぷり貯めてっと・・・。,首先在手心上囤積大量史萊姆……。
これをよーく両手でこねこねして、おちんちんに塗り付けまーす❤,當雙手搓揉好以後，就將其塗在雞雞上面。
あううっ…❤,啊嗚嗚……
えへへ。この時点でもうけっこう来るでしょ？,欸嘿嘿。光這樣就很舒服了對不對？
ぬるぬるのローションをおちんちんに塗り伸ばされて、扱かれてもないのに気持ちよくなってきちゃうね。,黏稠的潤滑液塗在雞雞上的時候，即使沒有套弄也是很爽的喔。
これはあくまでとどめを刺す前のお試しだからね。やめたくなったらいつでも言ってね。,這個是你打倒我以前我求你讓我做的。所以你想停的時候隨時都可以叫我停下來。
ほら、続きをしちゃうよ。たっぷり塗り終わったら、竿をやさしく握って、手でしこしこ～❤,那麼我這邊繼續喔。整根塗滿以後，手指溫柔的握住肉棒並開始套弄～。
はうっ、あああっ…❤,哈嗚嗚、啊啊啊……
ふふ、気持ちよさそうな顔❤さらに追い打ちで・・・、たまをもみもみ。もみもみ♪,嗯哼哼，你的表情看起來很舒服呢。那麼我再追擊……揉蛋蛋。
ああっ…❤くうぅ❤,啊啊……咕！
しこしこともみもみがいっしょに来ると、たまんないよねー。気持ちよすぎて口からよだれ出ちゃっているよ❤,套弄雞雞跟揉蛋蛋同時做的話，會爽到受不了對不對？你都爽到嘴角流口水了。
ねーねー。このままだとイっちゃうんじゃないかな。おちんちん耐えられなくて出しちゃうんじゃないかなー❤,欸～欸～。你乾脆就這樣射精好不好？反正你雞雞不是忍不住想要射了不是嗎？
止めなくていいの？止めないでまだおちんちんシコシコされちゃう？ほら、どうしてほしいか言っていいんだよ。,欸我可以不要停下來嗎？因為不停下來我才可以繼續手淫這根想射精的雞雞喔。告訴我你想要怎麼樣。
ぷぷぷ❤意志よわーい。はーい、かしこまりました❤,嗯呼呼❤抑制好脆弱。好的，我知道了。
それじゃあ、あと少しで勝てそうだったあなたのおちんちんを、たっぷりしごいて最後までイかせちゃいまーす。しこしこ～❤,那麼，我就讓這根明明再一下就能贏的雞雞在最後一刻被大量史萊姆的手淫給爽到射精。嗯哼哼❤。
はひぃっ…❤,哈咿……
あはは、気持ちよさそうな間抜け顔ー❤スライムおてて気持ちいいねー❤,啊哈哈，爽到一臉蠢樣，史萊姆手手讓你這麼爽嗎？
あっ、ああっ❤もうっ、出るっ…❤,啊、啊啊！要、要出來了……
いいよー。いっちゃえ❤ほら、しこしこ、しこしこ～。びゅー、びゅー❤,好喔。給我射❤被史萊姆手淫到射❤丟人得射吧❤
そっかー。頑張るねー。でも、今さら言ったって遅いと思うなー。,這樣啊。好厲害呢。但是你不覺得現在才說這個已經太遲了嗎？
だってほら、おちんちんはこんなにローションまみれで、今にもイきそうになっているんだよ？,你看嘛，雞雞已經整根都是潤滑液，很想射精不是嗎？
この状態で思いっきりシコシコされて、あなたはわたしにとどめを刺せるのかなー？,這種狀況下只要我繼續手淫你，你就不可能打倒我吧？
あっ、ああっ❤これはっ、うううっ、やめてっ…❤,啊、啊啊！拜託你、嗚嗚、停下來！
あはは。やめるわけないじゃん♪頑張ってとどめを刺さないと負けちゃうぞー。しこしこ～❤しこしこ～❤,啊哈哈。我不可能停下來啦，你就拼命試著打倒我吧。做不到就是你輸了喔。
ううあっ、無理っ❤きもちよくてぇっ、出るっ…❤,嗚嗚、不行了！太舒服了、要射……！
んふ❤すごい量がでてきた❤たっぷりシコシコされて気持ちよかったかなー？,嗯哼哼❤射精量好驚人後，被這樣手淫很爽對不對？
あと少しで勝てそうだったのに、手コキなんかで自分から負けちゃうんだもん。男の子って弱いよね❤くすくす,明明只要再一下就贏了，卻接受手交搞到自己輸了。男孩子真的很弱耶，嗯哼哼❤。
あは、下級モンスターの体に負けちゃったね❤とろけた顔しちゃって、わたしのスライムボディ、そんなによかったのかな？,啊哈哈，你敗給低星怪獸的身體了呢。還一臉很爽的樣子，我的史萊姆身體真的有這麼舒服嗎？
脚でされるのすごくよかったみたいだね。マスターくんのエナジーで、脚がすっかり真っ白になっちゃった❤,被史萊姆用腳幹好像很爽呢。我的腳都被卡片玩家哥哥的能量射得白白的。
ぬるぬる手コキ気持ちよかった？マスターくんのエナジーが胸までかかっちゃったよ・・・❤くすくす❤,我的黏稠手交夠爽嗎？卡片玩家哥哥的能量都射到我的胸口上了……嗯哼哼❤。
スライムを使うサキュバスの少女に敗れた僕は、近くで商人が襲われている中、ピンク色のスライムに組み敷かれていた。,敗給操縱史萊姆的魅魔少女後，她轉為襲擊旁邊的商人，而粉紅色的史萊姆則壓在我身上。
ううっ・・・。,嗚嗚……。
もう動けない？おちんちん気持ちよすぎて、スライムなんかに負けちゃったね。お兄さん❤,動彈不得了嗎？因為雞雞太舒服了，就算是史萊姆也打不贏呢。好弱的卡片玩家哥哥喔❤
それじゃさっそく、お食事ターイム♪,那麼接下來就是晚餐時間嘍。
くっ、やめろっ。うう、離せっ・・・。,嗚！不要！別、別過來……。
ふふ、いまさらもがいたってムダムダ。\nだって、わたしたち女性型モンスターは\n精液からエナジーを吸い取るんだもん。,嗯哼哼，現在掙扎已經沒用了喔。\n因為啊，你的能量已經被我們女性怪獸卡給吸走了，\n就是從剛才的精液裡面。
射精しちゃったお兄さんは、しばらく動けません。\nそれぐらいわかっておちんちんからお漏らししたんだよね？,哥哥你射精以後暫時是動不了的。\n你應該是知道這個還射精的對吧？
自分からオナニーしちゃって、シコシコ❤シコシコ❤勝手に自爆しちゃうだもん。すごくみっともなかったよ？変態マスターくん❤,而且還是自慰射的。一臉變態的摸自己雞雞自爆呢。那還真是有夠噁心的耶。對吧？變態卡片玩家哥哥❤。
ほら、見て。さっきお兄さんが負けてわたしの脚❤最高だったでしょ？,看啊。這是剛剛把哥哥打敗的腳喔，感覺超爽的對不對？
ここでシコシコされて、エナジー出しちゃったから、今お兄さんはわたしに組み敷かれて動けないんだよ。くすくす❤,因為用這條腿把哥哥的能量給搾乾，我才能像這樣壓在哥哥身上呢。嗯哼哼❤。
手の平にスライムローションいっぱいつけて、シコシコーってしてあげたら、すぐに出しちゃってさ。,我用手掌上的史萊姆潤滑液手淫你，就馬上射出來了呢。
ぬるぬるローションが気持ちいいのはわかるけど、腰をガクガクさせちゃってカッコ悪かったなー。くすくす❤,雖然說潤滑液的感覺很爽沒錯，但是你躺在地上顫抖的樣子真的好噁心喔。嗯哼哼❤。
いまのお兄さんにはかよわい女の子を払いのける力もないの。ほら、おちんちんがふとももに捕まえられそうになっているのに、逃げられない・・・❤,現在的哥哥連甩開我這個弱女子的力量也沒有呢。你的雞雞都快要被大腿給夾住了，但卻完全躲不掉……。
挟んじゃうよー。えいっ・・・❤,夾下去了喔。嘿呀……❤。
はぅうう・・・❤,哈嗚嗚……。
ふふ、むっちりしてて気持ちいいでしょー❤,嗯呼呼，豐滿大腿的感覺很舒服對不對？
