default
エルル,艾露露
はい、わたしの勝ち。やっぱりE級とD級じゃ、実力が違うわよね。クスクス。,啊哈，是我贏了。果然Ｅ階跟Ｄ階的實力完全不同呢。嗯哼哼。
うっ、さすがね。やるじゃない、{主人公}。\nでも次は勝つわ。またバトルしましょう。,嗚，真厲害呢。{主人公}打得真好。\n但是下次我會贏的。有時間再對戰吧。
はい、わたしの勝ち❤\n気持ちよく射精できてよかったわね❤うふふ❤,啊哈，是我贏了❤。\n能舒服射精真是太好了呢❤，嗚呼呼❤。
あなたのターンからね。さあ、いいバトルをしましょう。,從你的回合開始。來一場好對戰吧。
わたしのターンからね。いくわよ、わたしの闇属性モンスターでこてんぱんにしてあげる。,從我的回合開始呢。我要出牌了，讓你被我的闇屬性怪獸給徹底打敗。
わたしのターン、ドロー。,我的回合，抽牌。
{使用カード}を上級召喚するわ。,上級召喚{使用カード}。
{使用カード}を召喚！,召喚{使用カード}！
ううっ、あうう・・・❤,嗚嗚、啊呼呼……。
ぷぷっ、蘇ったばっかりなのに、もう前かがみなんだけど❤\n自滅しちゃうようなザコじゃ、\n何度出てきても意味ないわよね❤,呼呼，才剛復活就彎腰遮身體了呢❤。\n像這種會自爆的廢物不管出幾次都沒有意義呢❤。
そこで勃起チンポ抱えてじっとしてれば？\nすぐにまたエナジーを搾り取ってあげる❤\nま、ほかのモンスターにぼこられちゃうかもだけど❤,你可以在那邊握著勃起老二等著嗎？\n我會馬上去榨乾你的能量❤。\n不過得先等我打倒其他怪獸才型喔❤。
さらにもう1枚発動！,再發動一張！
{使用カード}の効果発動！カードを1枚ドロー！.,發動{使用カード}的效果！抽一張卡！
{使用カード}が場に出たとき効果発動！山札から1枚ドロー！,當{使用カード}出場時效果發動！從牌組中抽一張卡！
{使用カード}の効果発動！相手の攻撃力を300ポイントダウン！,{使用カード}的效果發動！對手的攻擊力下降三百點！
力を奪ってあげる。{使用カード}の効果を発動！,奪走你的力量。{使用カード}的效果發動！
{使用カード}の効果発動！闇属性モンスターの攻撃力を300ポイントアップ！,{使用カード}的效果發動！闇屬性怪獸攻擊力提升三百點！
{使用カード}の効果を発動！闇属性モンスターの攻撃力をパワーアップ！,{使用カード}的效果發動！闇屬性怪獸的攻擊力變強了！
破壊されたとき{使用カード}の効果発動！罠カードをサーチするわ！,當被破壞時發動{使用カード}的效果！檢索陷阱卡！
{使用カード}が破壊されたとき効果を発動！罠カードを山札から手札にサーチ！,當{使用カード}被破壞時發動效果！從牌組檢索一張陷阱卡加入手牌！
魔法カード発動！{使用カード}！手札からレベル4以下の闇属性モンスターを特殊召喚するわ.,發動魔法卡！{使用カード}！從手牌特殊召喚一張等級四以下的闇屬性怪獸。
{使用カード}発動！手札から闇属性の下級モンスターを特殊召喚するわ。,發動{使用カード}！從手牌特殊召喚闇屬性的低星怪獸。
{使用カード}を発動！強化状態の味方をさらに強化するわ！,發動{使用カード}！讓有強化狀態的我方更加強化！
どんどん強くなりなさい。{使用カード}を発動！,強化吧！發動{使用カード}！
{使用カード}を発動！デッキからローグモンスターをサーチさせてもらうわね。,發動{使用カード}！我可以從牌組檢索一張盜賊類型怪獸卡。
さあ行くわよ。{使用カード}を発動！連続攻撃してあげる！,接招！發動{使用カード}！這麼一來就可以連續攻擊！
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
魔法カードを発動！{使用カード}！,發動魔法卡！{使用カード}！
トラップカードを発動するわ！{使用カード}！,我要發動陷阱卡！{使用カード}！
カードをセット。,蓋一張卡片。
カードを伏せるわ。,覆蓋一張卡片。
あなたのこと気持ちよくしてあげるわね。{防御カード}を攻撃！,我要讓你爽起來。攻擊{防御カード}！
快感で戦えなくしてあげる。{防御カード}を攻撃！,讓你被快感搞到無法戰鬥。攻擊{防御カード}！
バトルよ！{使用カード}で{防御カード}を攻撃！,戰鬥！以{使用カード}對{防御カード}進行攻擊！
ううっ、なにもできないわ。ターンエンド。,嗚、不能做事。回合結束。。
あまり良くない手札ね。なにもできない。ターンエンド。,這手牌很糟。什麼也不能做。回合結束。
ターン終了よ。,我的回合結束。
ターンエンド。,回合結束。
わたしのターンはおわり。ターンエンド。,我的回合結束了。宣告回合結束。
あら、攻撃妨害？意外とやるじゃない。,喔，妨礙攻擊的卡？意外得很厲害呢。
投げキッスとか好き？ほら指で唇をはじいて、ちゅっ❤,喜歡女孩子對你投飛吻嗎？手指輕彈嘴唇然後、啾❤。
ねえ、エッチなことしたくない？\n投げキッスでムラムラさせたげるね。んっちゅ❤,欸，想要做色色的事情嗎？\n我用飛吻讓你開始欲求不滿喔。啾❤。
F級カードマスターくんはまだまだ女の子に対してうぶなんでしょ？\nわたしと気持ちいいことしたい？,Ｆ階你對女孩子還不熟悉對吧？\n想不想跟我做舒服的事情呢？
E級カードマスターくんはまだまだ女の子に対してうぶなんでしょ？\nわたしと気持ちいいことしたい？,Ｅ階你對女孩子還不熟悉吧？\n要不要我幫你做舒服的事情呢？
ねえほら、唇を見て？\n{主人公}はわたしと気持ちいいことしたい？,來看我的嘴唇。\n{主人公}想要跟我做舒服的事情吧？
それなら、そのままじっとしててよ…❤んっちゅ❤,是這樣的話就站著別動喔……❤啾❤。
投げキッスで興奮させたげる。んっちゅ❤,讓你被飛吻弄到興奮喔。啾❤。
手でいじめてあげる。ほら、ぎゅってチンコを握って、シコシコ…❤,用手虐你喔。感覺到了嗎？你的老二被我握住了，然後我開始虐你喔❤。
意外と優しい扱き方でしょ？頭のなかとろとろにしちゃうね。ふふふ❤,很意外我的手法感覺很溫柔對吧？是不是被虐到無法思考了呢？嗯哼哼。
手コキしてあげよっか？チンポを捕まえて、シコシコ、シコシコ♪,我幫你手交喔。抓住你雞雞，然後上下套弄。
わたし、手先が器用だからとても気持ちいいはずよ。\nほら、さっさとイっちゃいなさい。,我的手指很靈活所以應該很舒服喔。\n來吧，馬上在我面前射吧。
F級カードマスターくんは女の子に手でしてもらったことはある？,Ｆ階你有被女孩子用手幫你做過嗎？
女の子の手って柔らかいから気持ちいいのよ。ほら、実際にやったげる。シコシコ、シコシコ…♪,女孩子的手很柔軟很舒服的喔。來實際試看看吧。嗯哼哼……。
E級カードマスターくんは女の子に手でしてもらったことはある？,Ｅ階你有讓女孩子用手幫你做過嗎？
わたし手コキにはけっこう自信があるの❤\n{主人公}のこともすぐに骨抜きにしてあげる❤\nほら、シコシコ、シコシコ…♪,我對自己的手交很有自信的喔。\n如果是{主人公}的話我應該可以馬上讓你著迷喔❤。\n感覺到我的手在你老二上的律動了嗎？
わたしの手でかわいがってあげる。ほら、握って上下に、シコシコ…❤いっぱい声出しちゃっていいからね。,讓我的手來好好疼愛你吧。我的手握住你老二上下律動……你可以嬌喘出來喔❤。
わたしの胸、けっこう大きいでしょ。挟んであげようか？,我的胸部很大對不對？要不要我幫你夾？
ほら、服の隙間からチンコを入れてっと…。\nふふふ、おっぱいの感触たくさん楽しんでね❤,把老二從放入衣服的空隙間……。\n嗯哼哼，這樣就能享受我的胸部觸感了呢❤。
胸で挟んで、気持ちよくしてあげる。\nこの大きなおっぱいでむぎゅーってチンコを挟んじゃうの。,我用胸部夾住你讓你舒服喔。\n你看這麼大的胸部要夾住你老二了喔。
その状態で上下に何度もズリズリ♪ パイズリって気持ちいいのよ。ほら…❤,在這種狀態下反覆上下彈動❤的乳交很舒服喔。感覺看看嘛……❤。
F級カードマスターくんにおっぱいで特別ご奉仕。チンコを服の中に入れてっと…。,這是為了Ｆ階你而特別做的乳交侍奉喔。把老二放進衣服當中……。
E級カードマスターくんにおっぱいで特別ご奉仕。チンコを服の中に入れてっと…。,這是為了Ｅ階你而特別做的乳交侍奉喔。把老二放進衣服當中……。
おっぱいで特別ご奉仕してあげるわね❤{主人公}❤\nチンコを服の中に入れてっと…。,這是為了你而特別做的乳交侍奉喔❤{主人公}❤。\n把老二放進衣服中……。
おっぱいあったかくて気持ちいい？そのまま力抜いてなさい。\nきっと耐えられなくて、すぐに終わるわ。\nよいしょっ。ズリズリ、ズリズリ…❤,胸部感覺很溫暖很舒服對吧？就這樣好好享受吧。\n你一定會忍耐不住馬上被我給結束掉的。\n嗯哼哼……❤。
胸で挟んで、気持ちよくしてあげる。この大きなおっぱいでむぎゅーってチンコを挟んじゃうの。,我來用胸部幫你舒服起來喔。這麼大的胸部緊緊夾住你的老二了喔。
あら、我慢できなくて射精させてくださいってお願いしちゃうわけ？\n初心者らしいカッコ悪いおねだりね❤,哎呀，忍不住了開始求我讓你射精嗎？\n真是如同新人一般的丟人懇求呢❤。
どうやって負けたいのかしら❤\n先輩マスターのわたしに向かって、声に出して言ってみなさい❤,你想要怎麼輸呢❤？\n對著我這個卡片玩家學姊大聲說出來❤。
あら、我慢できなくて射精させてくださいってお願いしちゃうわけ？\nDランクにもなってカッコ悪いおねだりね❤,哎呀，忍耐不住求我讓你射精嗎？\n都已經升到Ｄ階了還會做這麼丟人的懇求啊❤。
くすくす❤\nバトルの途中なのに、敵のマスターにおねだりしちゃうんだ❤\n初心者マスターのモンスターだけあって、理性が弱いのね❤,嗯哼哼❤。\n明明還在對戰中，竟然跑來跟敵對玩家懇求❤。\n新人玩家的怪獸卡的理性好脆弱喔❤。
どうやって負けたいのかしら❤\n声に出して言ってみなさい❤,怎樣怎樣輸掉啊❤？\n大聲說出來啊❤。
くすくす❤\nバトルの途中なのに、敵のマスターにおねだりしちゃうんだ❤\nマスターは強くてもモンスターは理性が弱いのね❤,嗯哼哼❤。\n明明還在對戰中，竟然跑來跟敵對玩家懇求❤。\n玩家很強但怪獸卡的理性卻很脆弱呢❤。
あはは、投げキスをいっぱいしてほしいの？\nすごくかわいいお願いをするのね❤,啊哈哈，想要被我拋很多飛吻嗎？\n真是好可愛的願望喔❤。
いいわよ、してあげる❤\n本当はただ足止めするための技だけど、何回も当てて\nあなたのこと投げキスだけでイかせてあげるわ❤,好啊，幫你做❤。\n這其實只是短時間阻擋對手的招式而已，\n但是不斷被拋中的話還是會射的喔❤。
ふーん、このおっぱいで挟んでほしいんだ❤\nおっぱいフェチの雑魚チンポ、シャツをめくって中に入れて、\nたっぷりズリズリしてあげるわ❤,喔，你想被我的胸部夾啊❤。\n那麼我就把你這根最喜歡奶子的廢物雞雞，\n夾到胸部裡面幹❤。
ふふ、手でシコシコしてほしいのね❤\nわたし手コキはかなりうまい方だと思うの❤\nあなたの足腰すぐに立たなくさせてあげる❤,嗯哼哼，想要被我用手做啊❤。\n是覺得我的手交很厲害嗎？\n那麼就把你弄到站不起來喔❤。
くすくす❤キスされるたびにビクビク震えて、ついに射精しちゃった❤\n魔力は多少込めているけど、投げキスだけでイクとかだいぶ変態よね❤,嗯哼哼❤。被飛吻拋到身體顫抖最後忍不住射精了呢❤。\n雖然是含有魔力的吻，但是被飛吻弄到射真的有夠變態呢❤。
変態っていうかただザコなだけかしら？\n指先でちゅってされるだけで負けるんだもの❤\nぷっ、くすくすくす♪,與其說是變態不如說是廢物呢。\n畢竟我只是手指彈嘴唇然後作拋出動作而已❤。\n噗呵呵，嗯哼哼哼哼❤。
ふふ、わたしのパイズリ気持ちよかったでしょ？\n服があなたのせいでベトベト❤\nでも魔力に変えて吸収するから精液つけられたところで困らないわ❤,哼哼，我的乳交感覺舒服嗎？\n都是因為你害我的衣服都黏黏的啦❤。\n但是只要變成魔力吸收的話就算是精液也不是問題就是❤。
困るのはあなたの仲間たちね❤\n裏切ったせいで戦力が一人減って、そのうえわたしは全回復。\nどう考えてもピンチじゃない。くすくす❤,會友問題是你的同伴喔❤。\n因為你的背叛讓戰力折損，然後我還完全回復。\n怎麼想都是陷入大危機了呢。嗯哼哼❤。
ふふ、わたしの手コキ気持ちよかったでしょ❤\nシコシコしてあげれば、たいていの男は骨抜きにできる自信があるわ。,嗯哼哼，我的手交很舒服對吧？\n我有自信大部分的男人只要被我的手碰到老二就會著迷喔。
あなたも全然耐えられなかったわね❤\nくすくす❤,你也完全忍耐不住不是嗎？\n嗯哼哼❤。
あっ、ああっ・・・。,啊、啊啊……。
ふふふ、この間負けて今回も負けちゃうんだ。\nそれもオナニーで自分から負けに来ちゃうなんて、雑魚すぎじゃない？,嗯哼哼，上次輸掉這次也輸掉。\n而且還自己過來自慰敗北，這也太廢了吧。
あら？オナニー始めちゃうわけ？\nF級カードマスターくんは、理性も低ランクなのね❤,哎呀，開始自慰了呢？\nＦ階你的理性階級也是最低等級呢❤。
あら？オナニー始めちゃうわけ？\nE級カードマスターくんは、理性も低ランクなのね❤,哎呀，開始自慰了？\nＥ階你理性的階級也很低呢❤。
あら？オナニー始めちゃうわけ？\nD級になったのに、{主人公}の理性は低ランクなのね❤,哎呀，開始自慰了？\n明明都已經Ｄ階了，{主人公}的理性還是在低階級呢❤。
この間はわたしに勝てたのに、今度は自爆して負けちゃうんだもの。\nもしかして前のバトルのときから、\nわたしでオナニーしたいなぁとか思ってたの？この変態❤,明明上次能打贏我，這次卻要自爆輸掉？\n難不成你是從上次對戰結束後，\n就一直想在我面前自慰？你這變態❤。
わたしのおっぱいとかおへそを見てムラムラしちゃったの？\nたいした露出じゃないと思うんだけど、\nこれぐらいで我慢できなくなるなんて、うぶでかわいい❤,看見我的胸部跟肚臍就搔癢難挨受不了了是嗎？\n這又不是什麼很誇張的裸露，\n這點程度就受不了，真是清純又可愛❤。
ううっ…。,嗚嗚……。
せっかくだから服を少しずつめくって露出を増やしてあげるわ。ほら…。,機會難得我就漸漸掀起衣服讓暴露程度增加吧。你看……。
わたしの下乳、見えるでしょ？\nむにゅむにゅしてて柔らかそうで、エッチなおっぱい❤,這樣子就能看見我的下乳對吧？\n這可是彈嫩柔軟的色情奶子喔❤。
このおっぱいにチンコ入れたいなぁとか妄想しちゃってるの？\n谷間にチンコ突き入れて、そのまま両側から\nおっぱいでむにゅーって押しつぶされて…❤,是不是開始妄想自己的老二插進這裡來了呢？\n把老二深入乳溝，然後我再從兩邊\n用力擠壓胸部……❤。
ふふふ、とっても気持ちいいでしょうね。そんなことされたら、\nすぐに我慢できなくなって射精しちゃうかも。,嗯哼哼，一定會感覺非常舒服喔。要是真的被做這種事情，\n一定會忍耐不住馬上射精的吧。
どんどん妄想していいのよ。好きなだけわたしの体でシコって、\nさっさと負けちゃいなさい。,盡情妄想吧。拼命用我的身體來自慰，\n然後馬上敗給我吧。
敵のマスターのエッチな姿で自爆オナニー。\nF級マスターにはお似合いの負け方よ。くすくす…❤,在敵對玩家的色情模樣面前自慰敗北。\n這可是非常適合Ｆ階卡片玩家的輸法喔。嗯哼哼……❤
はひぃっ…❤,哈咿……。
あーあ、こんなに出しちゃってみっともない。谷間がべとべと。,啊～，射成這樣好丟人喔。我乳溝都被射得黏黏的呢。
気持ちよさそうな顔しちゃって、恥ずかしくないの？\nこの間といい、わたしの谷間でオナニーするの癖になっちゃったみたいね。\n変態雑魚マスターくん❤,你還一臉很爽的樣子，都不會覺得羞恥嗎？\n上次也這樣，你該不會已經有了用我的乳溝來自慰的性癖了吧？\n真是一個變態廢物卡片玩家❤。
頑張れば勝つこともある相手に、カッコ悪い負け方しちゃったわね。\nふふふ、そんなんじゃもうわたしには勝てないかもよ？,面對一個只要認真起來就能贏的對手，竟然用這麼丟人的模樣輸掉呢。\n嗯哼哼，做出這種事情後你說不定永遠贏不了我了呢。
初心者のうちからこんな調子じゃ、\nあなた上のランクになんていけないわよ。くすくす❤,還新人就這副德行，\n會沒辦法提升階級喔。嗯哼哼❤。
あら？オナニー始めちゃうわけ？\nF級カードマスターのしもべは、しょせんF級の理性しかないのね。,哎呀？開始自慰了？\nＦ階卡片玩家的怪獸卡連理性都是Ｆ階呢。
戦いの最中でも、敵マスターのおっぱいとかおへそでムラムラしちゃう\nよわーい理性❤これぐらいで我慢できなくなるなんて、なさけなーい❤,對戰到一半的時候，被敵方玩家的奶子給弄到搔癢難挨呢。\n真是有夠脆弱的理性❤，這點程度也不能忍真的好廢喔❤。
ふふ、馬鹿にされて興奮しちゃってるの？\n服を少しずつめくって露出を増やしてあげる。ほら…。,嗯哼哼，被嘲笑以後興奮起來了？\n那麼我就漸漸掀起衣服來增加裸露程度吧。你看……。
わたしの下乳見えるでしょ？\nむにゅむにゅで柔らかそうで、エッチな谷間❤,看見我的下乳了嗎？\n這是彈嫩柔軟的色情乳溝喔❤。
このおっぱいにチンコ入れたいなぁとか妄想しちゃってるんでしょ？\n好きなだけシコって、さっさと負けちゃいなさい。,你就是想要妄想自己正在把老二深入這對奶子當中不是嗎？\n趕快用力自慰，然後射精敗北吧。
敵マスターのエッチな谷間で自爆オナニー。\n雑魚モンスターにはお似合いの負け方よ。くすくす…❤,在敵對玩家的色情乳溝前自慰敗北。\n真是適合廢物怪獸的輸法呢。嗯哼哼……❤
あ、ああっ…❤,啊、啊啊……。
あらあら、こんなに出しちゃって、よっぽど気持ちよかったのかしら。\nエナジーで服がべとべと❤,哎呀呀，竟然射了這麼多出來，看來是真的很舒服呢。\n射得我滿身能量衣服都黏黏的。
敵のマスターを回復させるなんて、ダメなしもべね。\nふふ、他の子もわたしの体でオナニーして、ダメな子になっちゃう？,竟然讓敵對玩家回復體力，真是沒用的怪獸卡。\n嗯哼哼，其他人也來用我的身體自慰，變成沒用的怪獸卡吧。
あら？あなたもオナニー始めちゃうわけ？しもべと同じでF級カードマスターくんは、理性も雑魚なのね。くすくす。,哎呀？你也來自慰了嗎？Ｆ階你跟你的怪獸卡一樣理性弱得跟渣一樣。嗯哼哼。
この間はわたしに勝てたのに、今度は自爆してシコシコ❤ もしかして前のバトルのときから、わたしでオナニーしたいなぁとか思ってたの？この変態❤,上次明明能戰勝我，這次卻自慰敗北❤。難道說你在上次對戰結束後，就一直想要在我面前自慰嗎？你這變態❤。
戦いの最中なのに、わたしのおっぱいとかおへそを見て、ムラムラしちゃったんだ。これぐらいで我慢できなくなるなんて、なさけなーい❤,明明還戰鬥到一半，卻看見我的胸部跟肚臍就感覺搔癢難挨了呢。連這點程度也忍耐不了，真的好廢喔❤。
馬鹿にされて興奮して変態じゃない。あなたもわたしのおっぱい見たいの？ほら、服を少しずつめくって露出を増やしてあげる。,你根本就是被罵會興奮的變態呢。你也想看我胸部對吧？你看，我就為了你掀起衣服增加裸露程度喔。
わたしの下乳見えるでしょ？むにゅむにゅで柔らかそうで、エッチなおっぱい…❤,這樣看的見我的下乳對吧？這是彈嫩柔軟的色情奶子喔……❤。
このおっぱいにチンコ入れたいなぁとか妄想しちゃってんでしょ？いいわよ。好きなだけシコって、あなたもさっさと負けちゃいなさい。,你正在妄想怎樣把老二插到這對奶子當中對吧？可以喔。你也盡情自慰，在我面前高潮並自慰敗北吧。
しもべともども、敵のマスターのエッチな姿で自爆オナニー。F級マスターにはお似合いの負け方よ。くすくす…❤,跟你的怪獸卡一起在女性敵對卡片玩家的色情模樣下自慰敗北吧。這還真是適合Ｆ階玩家的輸法呢。嗯哼哼……❤。
気持ちよさそうな顔しちゃって、恥ずかしくないの？この間といい、わたしの谷間でオナニーするの癖になっちゃったみたいね。変態雑魚マスターくん❤,還一臉很爽的樣子，都不會覺得丟臉嗎？你上次也是這樣，是不是已經有了喜歡在我的乳溝前自慰的性癖呢？變態廢物卡片玩家❤。
頑張れば勝つこともある相手に、カッコ悪い負け方しちゃったわね。ふふふ、そんなんじゃもうわたしには勝てないかもよ？,你竟然對一個只要認真打就能贏的對手作出這麼丟人的書法。嗯哼哼，做出這種事情以後說不定會變得贏不了我呢？
初心者のうちからこんな調子じゃ、あなた上のランクになんていけないわよ。くすくす❤,還新人就這副德性的話，你會根本升不了階級喔。嗯哼哼❤。
あら？あなたもオナニー始めちゃうわけ？ボクもオナニーしたいよぉって我慢できなくなっちゃたんだ。くすくす❤,哎呀，你也在我面前自慰了呢。大喊著我也想好要自慰喊到整個身體都忍不住了呢。嗯哼哼❤。
戦いの最中でも、敵マスターのおっぱいとかおへそでムラムラしちゃう、よわーい理性。これぐらいでシコシコ止まらなくなっちゃうなんて、なさけなーい❤,即使是戰鬥到一半，還可以被敵方玩家的\n奶子跟肚臍給弄到搔癢難挨，理性好脆弱。才這點程度就可以把你搞到想自慰還停不下來，好沒用喔❤。
あは、馬鹿にされて興奮しちゃってるじゃない。あなたもわたしのおっぱい見たくてこっちに来たんでしょ？,啊哈，被罵還興奮了耶。你也是想來看我的胸部才過來的吧？
ならほら、服を少しずつめくって露出を増やしてあげる。わたしの下乳見ていいわよ。むにゅむにゅで柔らかそうで、エッチな谷間…❤,那麼我就漸漸掀起衣服增加暴露度。你可以看我的下乳喔。彈嫩柔軟的色情乳溝……❤。
このおっぱいにチンコ入れたいなぁとか妄想しなさい。妄想のパイズリで好きなだけシコって、さっさと負けるのよ。,開始妄想把老二放進這對奶子中吧。妄想中的乳交想怎麼做都隨你，但是相對的你要馬上自慰敗北。
敵のマスターのエッチな姿で自爆オナニー。雑魚モンスターにはお似合いの負け方でしょ。くすくす…❤,因為敵對玩家的色情模樣而自慰敗北。這還真是符合廢物怪獸卡的輸法呢。嗯哼哼……❤。
あらあら、こんなに出しちゃって、よっぽど気持ちよかったのかしら。エナジーで谷間がべとべと。,哎呀，射了這麼多出來，一定是很舒服對不對？能量都把我乳溝射得黏黏的呢。
敵のマスターを回復させるなんて、ダメなしもべね。ふふ、他の子もわたしの体でオナニーして、ダメな子になっちゃう？,竟然讓敵對玩家回復體力，真是沒用的怪獸卡呢。嗯哼哼，其他人也要來對我的身體自慰，變成沒用的怪獸卡嗎？なっちゃう？
はい、わたしの勝ち❤オナニーでおっぱいに射精するの気持ちよかった？,嗯哼哼，是我贏了❤。自慰後射精在奶子的感覺舒服嗎？
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、F級マスターくん❤,你看。我滿手都黏黏的精液。\n這都是因為你馬上就在我的手中輸掉害的喔，Ｆ階卡片玩家❤。
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、E級マスターくん❤,你看。我滿手都是黏黏的精液。\n這都是因為你在我手中丟人射精的關係喔，Ｅ階卡片玩家❤。
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、{主人公}❤,你看。我滿手都是黏黏的精液。\n這都是因為你丟人得在我手中敗北害的喔，{主人公}❤。
あは、なに？投げキッスされただけでイっちゃったの？\nうぶすぎでしょ。ぷぷぷ❤,啊哈哈、什麼？只是被投飛吻而已就射了？\n你太清純了啦。嗯哼哼❤。
んふふ、パイズリ気持ちよかった？\nF級くんのチンコ、おっぱいに負けちゃったねー❤,嗯哼哼，乳交的感覺舒服嗎？\nＦ階你的老二要敗給奶子了喔❤。
んふふ、パイズリ気持ちよかった？\nE級くんのチンコ、おっぱいに負けちゃったねー❤,嗯哼哼，乳交的感覺還舒服嗎？\nＥ階你的老二要輸給奶子了喔❤。
んふふ、パイズリ気持ちよかった？\n{主人公}のチンコ、おっぱいに負けちゃったねー❤,嗯哼哼，乳交的感覺舒服嗎？\n{主人公}你的老二輸給奶子了喔❤。
F級くん,Ｆ階你
E級くん,Ｅ階你
あなた,你
勝負に負け動けなくなった僕は、エルルさんの前で膝をついていた。エルルさんはそんな様子の僕を見下ろしニタニタと笑っている。,在對戰中敗北的我跪倒在艾露露面前。艾露露俯視著我露出邪惡的笑容。
勝負に負け動けなくなった僕は、エルルの前で膝をついていた。エルルはそんな様子の僕を見下ろしニタニタと笑っている。,在對戰中敗北的我跪倒在艾露露面前。艾露露俯視著我露出笑容。
ふふふ。やっぱりわたしの方が強かったわね。F級じゃあ仕方ないかもだけど、ただの人間に気持ちよくされて情けなく射精…❤,嗯哼哼。果然還是我比較強呢。雖然說是Ｆ階所以沒辦法，但是你竟然會被普通的人類給搞到一臉舒服得射精……❤
ふふふ。やっぱりわたしの方が強かったわね。E級じゃあ仕方ないかもだけど、ただの人間に気持ちよくされて情けなく射精…❤,嗯哼哼。果然還是我比較強呢。雖然說是Ｅ階所以沒辦法，但是你竟然會被普通的人類給弄到丟人射精……❤。
