default
フラワー,葉花
とはいえ新人マスターさんはまだ調査などは不慣れでしょうから、\n今回はパートナーをつけさせてもらいますね。,とはいえ新人マスターさんはまだ調査などは不慣れでしょうから、\n今回はパートナーをつけさせてもらいますね。
そう言うと受付のお姉さんは、部屋の奥の方を見て手招きをした。,そう言うと受付のお姉さんは、部屋の奥の方を見て手招きをした。
こんにちは。わたしはエルル。\nDランクのカードマスターよ。はじめまして。,こんにちは。わたしはエルル。\nDランクのカードマスターよ。はじめまして。
あなたは、まだこの街に来たばかりでしょう？\nカードも初心者なんだっけ？,あなたは、まだこの街に来たばかりでしょう？\nカードも初心者なんだっけ？
ふむふむ。なるほど。修行は長くやってきたけど、\n実戦経験はあまりない感じなのね。\nわかったわ。,ふむふむ。なるほど。修行は長くやってきたけど、\n実戦経験はあまりない感じなのね。\nわかったわ。
まあ、FランクからDランクに\nあっという間に上がってきているんだし、実力は間違いなさそうね。\n期待してるわ。,まあ、FランクからDランクに\nあっという間に上がってきているんだし、実力は間違いなさそうね。\n期待してるわ。
それで、わたしは魔力の痕跡を調査したり\n偵察任務を行うのが専門分野なの。,それで、わたしは魔力の痕跡を調査したり\n偵察任務を行うのが専門分野なの。
今回のクエストでは、君が戦ったっていうサキュバスのことを\nわたしの能力で調べようってわけ。わかった？,今回のクエストでは、君が戦ったっていうサキュバスのことを\nわたしの能力で調べようってわけ。わかった？
こんにちは。わたしはエルル。\nDランクのカードマスターよ。って、あら…。,こんにちは。わたしはエルル。\nDランクのカードマスターよ。って、あら…。
あなた、わたしと何回か戦ったことがあるわね。\n覚えている？ほら…❤,あなた、わたしと何回か戦ったことがあるわね。\n覚えている？ほら…❤
エルルはにやにやした顔で、手でわっかを作り、からかうように上下に動かして見せつけてきた。,エルルはにやにやした顔で、手でわっかを作り、からかうように上下に動かして見せつけてきた。
うふふ。わたしの手コキでイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。\nずいぶんと頑張ったじゃない♪,うふふ。わたしの手コキでイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。\nずいぶんと頑張ったじゃない♪
そうだ。頑張ったあなたに、\nあとで気持ちいい"ご・ほ・う・び"あげよっか？\nくすくす❤,そうだ。頑張ったあなたに、\nあとで気持ちいい"ご・ほ・う・び"あげよっか？\nくすくす❤
あううっ・・・・❤,あううっ・・・・❤
あは、顔を真っ赤にしちゃってかわいいー♪\n人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪,あは、顔を真っ赤にしちゃってかわいいー♪\n人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪
エルルはにやにやした顔で、胸を寄せ上げると、からかうように上下に動かして見せつけてきた。,エルルはにやにやした顔で、胸を寄せ上げると、からかうように上下に動かして見せつけてきた。
うふふ。わたしのしもべに負けて、\nパイズリで何回もイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪,うふふ。わたしのしもべに負けて、\nパイズリで何回もイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪
頑張ったあなたには、\nあとで気持ちいい"ごほうび"あげよっか？\nキャロルとわたしでダブルパイズリとか…❤くすくす❤,頑張ったあなたには、\nあとで気持ちいい"ごほうび"あげよっか？\nキャロルとわたしでダブルパイズリとか…❤くすくす❤
あは、想像しちゃったんだ❤\n前かがみになっちゃってかわいいー♪,あは、想像しちゃったんだ❤\n前かがみになっちゃってかわいいー♪
って、人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪,って、人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪
あは、バトルのときのこと思い出しちゃった？\n前かがみになっちゃってかわいいー♪,あは、バトルのときのこと思い出しちゃった？\n前かがみになっちゃってかわいいー♪
まだまだエッチなバトルには慣れてない感じね。\nでも、もうDランクに挑戦なんてすごいじゃない。,まだまだエッチなバトルには慣れてない感じね。\nでも、もうDランクに挑戦なんてすごいじゃない。
まあ、手札運が悪かったとはいえ、\nわたしに勝ったぐらいだもんね。\n今回の任務でも頼りにしてるわ。,まあ、手札運が悪かったとはいえ、\nわたしに勝ったぐらいだもんね。\n今回の任務でも頼りにしてるわ。
うふふ。わたしの手コキで気持ちよくなって、\nそのすきにモンスターにやられちゃった子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪,うふふ。わたしの手コキで気持ちよくなって、\nそのすきにモンスターにやられちゃった子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪
それで、クエストについてだけどね、\nわたしって戦闘以外でも偵察とか調査が得意なの。\n魔力の痕跡を探って、敵の居場所を突き止めたりできるのよ。,それで、クエストについてだけどね、\nわたしって戦闘以外でも偵察とか調査が得意なの。\n魔力の痕跡を探って、敵の居場所を突き止めたりできるのよ。
君が戦ったっていうサキュバスのことを、\nその力で調べようってわけ。わかった？,君が戦ったっていうサキュバスのことを、\nその力で調べようってわけ。わかった？
エルルさん、ご説明ありがとうございます。,エルルさん、ご説明ありがとうございます。
今回のクエストの目的はサキュバスの痕跡調査です。\n退治が目的ではありません。ないとは思いますが、万が一ほかのサキュバスに遭遇しても素早く撤退するよう心がけてください。,今回のクエストの目的はサキュバスの痕跡調査です。\n退治が目的ではありません。ないとは思いますが、万が一ほかのサキュバスに遭遇しても素早く撤退するよう心がけてください。
それでは、はじめてのクエスト頑張ってきてくださいね！,それでは、はじめてのクエスト頑張ってきてくださいね！
そういうわけで僕はエルルさんと一緒に、以前サキュバスに襲われた場所へと向かったのだった。,そういうわけで僕はエルルさんと一緒に、以前サキュバスに襲われた場所へと向かったのだった。
ふーん。そのサキュバスはどんな見た目で、\nどんなカードを使ってきたの？,ふーん。そのサキュバスはどんな見た目で、\nどんなカードを使ってきたの？
僕は、サキュバスは小柄な少女の姿をしていたこと、スライム系のカードを使ってきたことなどを説明した。また戦いの様子も思い出せる限りエルルに話した。エルルさんはそれを聞いてしきりにうなずいている。,僕は、サキュバスは小柄な少女の姿をしていたこと、スライム系のカードを使ってきたことなどを説明した。また戦いの様子も思い出せる限りエルルに話した。エルルさんはそれを聞いてしきりにうなずいている。
なるほどねー。ってことは…。,なるほどねー。ってことは…。
たぶんこれがそのときの魔力の跡かな。,たぶんこれがそのときの魔力の跡かな。
そう言ってエルルさんは地面の一か所を指さしてみせた。僕はその場所を目を凝らして見てみたが何も見えない。ただの地面だ。,そう言ってエルルさんは地面の一か所を指さしてみせた。僕はその場所を目を凝らして見てみたが何も見えない。ただの地面だ。
んふふ。そんな簡単にわかるものなのかって？\nなにせわたし天才だからさー。ランクこそDだけど、\n調査の実力だけで言えばBランクぐらいの能力があるのよ。,んふふ。そんな簡単にわかるものなのかって？\nなにせわたし天才だからさー。ランクこそDだけど、\n調査の実力だけで言えばBランクぐらいの能力があるのよ。
ただ…。うーん、少し気になる部分もあるし、\nもうちょっと詳しく見たほうがいいかもね。カードを使うわよ。,ただ…。うーん、少し気になる部分もあるし、\nもうちょっと詳しく見たほうがいいかもね。カードを使うわよ。
わたしたちを対象にカードを発動、「アナライズ」！,わたしたちを対象にカードを発動、「アナライズ」！
エルルさんがカードを発動させると、目がほんのり熱を帯びてくるのを感じる。すると、さっきまで見えなかった魔力の痕跡がはっきりと視界に浮かび上がってきた。,エルルさんがカードを発動させると、目がほんのり熱を帯びてくるのを感じる。すると、さっきまで見えなかった魔力の痕跡がはっきりと視界に浮かび上がってきた。
ふふ、便利な魔法でしょ？そこの岩についた青色の魔力が見えるかしら。\n道端にこんなに濃く魔力が付くことは普通ないから、\nあなたが戦闘したときの跡で間違いないと思うわ。,ふふ、便利な魔法でしょ？そこの岩についた青色の魔力が見えるかしら。\n道端にこんなに濃く魔力が付くことは普通ないから、\nあなたが戦闘したときの跡で間違いないと思うわ。
サキュバス特有の邪気も感じるし、\n水属性の魔力だってのも一致しているわね。,サキュバス特有の邪気も感じるし、\n水属性の魔力だってのも一致しているわね。
問題は、こっちの青い跡。\n同じサキュバスの魔力だと思うんだけど…、\nそれにしてはこれ、かなり新しいの。,問題は、こっちの青い跡。\n同じサキュバスの魔力だと思うんだけど…、\nそれにしてはこれ、かなり新しいの。
うん。跡がついたのは半日前ってところかな…？\n明らかにあなたとの戦闘より後に付着しているわ。,うん。跡がついたのは半日前ってところかな…？\n明らかにあなたとの戦闘より後に付着しているわ。
サキュバスは退治されたはずだよね。\nなのに、なんで新しい跡がついているんだろう？おかしくない？,サキュバスは退治されたはずだよね。\nなのに、なんで新しい跡がついているんだろう？おかしくない？
・・・・。,・・・・。
まあなんにせよ、跡をたどってみよっか。\n半日前ならそう遠くには行っていないはずだし、\nもしかしたらサキュバスの隠れ家とかがわかるかも。,まあなんにせよ、跡をたどってみよっか。\n半日前ならそう遠くには行っていないはずだし、\nもしかしたらサキュバスの隠れ家とかがわかるかも。
うーん、だいぶ森の中まで来ちゃったね。\n魔力跡も濃くなってきたし、\nたぶんそろそろ見つかると思うんだけど…。,うーん、だいぶ森の中まで来ちゃったね。\n魔力跡も濃くなってきたし、\nたぶんそろそろ見つかると思うんだけど…。
ん、あれは…。,ん、あれは…。
森でキノコを採っている女の子の姿が目に入った。服装を見る限り、近くの村の住人だろうか。,森でキノコを採っている女の子の姿が目に入った。服装を見る限り、近くの村の住人だろうか。
向こうもこちらに気づいたらしく、にこにこしながらこちらを見て手を振っている。彼女にサキュバスについて話を聞いてみるのもいいかもしれない。,向こうもこちらに気づいたらしく、にこにこしながらこちらを見て手を振っている。彼女にサキュバスについて話を聞いてみるのもいいかもしれない。
あのすみません、この辺で怪しい姿を…。,あのすみません、この辺で怪しい姿を…。
待って。あの子の体をよく見て。,待って。あの子の体をよく見て。
そう言ってエルルさんは急に僕を制止した。,そう言ってエルルさんは急に僕を制止した。
あの子、サキュバスの魔力が服についている。\n青色で、それもかなり新しいやつ。,あの子、サキュバスの魔力が服についている。\n青色で、それもかなり新しいやつ。
言われてみれば、服や手の一部に青い光が見える。「アナライズ」の効果がかかっていなければわからなかっただろう。,言われてみれば、服や手の一部に青い光が見える。「アナライズ」の効果がかかっていなければわからなかっただろう。
どうしたんですか？こんな森の中に…。\n見た感じ、この辺の村の人じゃなさそうですけど。,どうしたんですか？こんな森の中に…。\n見た感じ、この辺の村の人じゃなさそうですけど。
って、あらあら、カードに手を構えちゃって。\nそんなに警戒されていたら、こんな小芝居意味ないですよね。,って、あらあら、カードに手を構えちゃって。\nそんなに警戒されていたら、こんな小芝居意味ないですよね。
そうです。わたしサキュバスでーす❤\nこんにちはー❤,そうです。わたしサキュバスでーす❤\nこんにちはー❤
目の前のサキュバスが羽をあらわにし、僕たちにあからさまに魔力をぶつけてきた。まさかこんな街の近くにまたサキュバスがいるだなんて！,目の前のサキュバスが羽をあらわにし、僕たちにあからさまに魔力をぶつけてきた。まさかこんな街の近くにまたサキュバスがいるだなんて！
ギルドで言われたように急いで逃げるべきか…。でもこんなに接近していたらそう簡単には逃げられない…。,ギルドで言われたように急いで逃げるべきか…。でもこんなに接近していたらそう簡単には逃げられない…。
そんなことを考えて、目の前のサキュバスの動きに神経をとがらせていたその瞬間、不意に背後の木の上から別の影が飛び降りてきた！,そんなことを考えて、目の前のサキュバスの動きに神経をとがらせていたその瞬間、不意に背後の木の上から別の影が飛び降りてきた！
きゃあ！,きゃあ！
あは、背中が隙だらけですよ❤\nおっきいおっぱいのあなたの体、\nわたしのスライムでぐちゅぐちゅにしちゃいます❤,あは、背中が隙だらけですよ❤\nおっきいおっぱいのあなたの体、\nわたしのスライムでぐちゅぐちゅにしちゃいます❤
くう、離れろっ！このっ！,くう、離れろっ！このっ！
エルルは体にまとわりついてきたスライムサキュバスをなんとか振り払った！しかし、状況はかなりまずい。完全に挟み撃ちだ！,エルルは体にまとわりついてきたスライムサキュバスをなんとか振り払った！しかし、状況はかなりまずい。完全に挟み撃ちだ！
こうなったら覚悟を決めるわよ！\nわたしがこっちを相手するから\nあなたはそっちのサキュバスをお願い！,こうなったら覚悟を決めるわよ！\nわたしがこっちを相手するから\nあなたはそっちのサキュバスをお願い！
きゃはは❤いいねいいね、熱い展開じゃん❤\nそれじゃその子の言う通り、わたしがあなたの相手してあげるね❤\n男の子がサキュバス相手にどれぐらい戦えるのかなー❤,きゃはは❤いいねいいね、熱い展開じゃん❤\nそれじゃその子の言う通り、わたしがあなたの相手してあげるね❤\n男の子がサキュバス相手にどれぐらい戦えるのかなー❤
わたしのおっぱい見てるだけで\n戦意喪失しちゃったりしないかなー❤\nたのしみー❤,わたしのおっぱい見てるだけで\n戦意喪失しちゃったりしないかなー❤\nたのしみー❤
へえー、生意気なこと言うじゃん❤\nそんなこと言われたらちょっとムカついちゃうなー。,へえー、生意気なこと言うじゃん❤\nそんなこと言われたらちょっとムカついちゃうなー。
だから、ほら、チラ❤,だから、ほら、チラ❤
あは、今見たよね谷間❤\n楽勝とか言った相手の谷間に視線を吸い寄せられちゃうんだー❤\nかっこわるーい❤,あは、今見たよね谷間❤\n楽勝とか言った相手の谷間に視線を吸い寄せられちゃうんだー❤\nかっこわるーい❤
ほらほらもっと見てぇ❤\nおっぱいに釘付けになってぇ❤,ほらほらもっと見てぇ❤\nおっぱいに釘付けになってぇ❤
あううっ…❤,あううっ…❤
くすくす❤頭の中ぼんやりしているうちに、\nパイズリとかぱふぱふで、たっぷり搾り取ってあげるね❤,くすくす❤頭の中ぼんやりしているうちに、\nパイズリとかぱふぱふで、たっぷり搾り取ってあげるね❤
はぁ、はぁ、なんとか倒したぞ…。,はぁ、はぁ、なんとか倒したぞ…。
サキュバスはとどめをさされると光の粒になり消えていった。僕は急いで背後を振り返る。エルルさんがまだ戦っているはずだ…！,サキュバスはとどめをさされると光の粒になり消えていった。僕は急いで背後を振り返る。エルルさんがまだ戦っているはずだ…！
くっ、サキュバスはやっぱり強い…！,くっ、サキュバスはやっぱり強い…！
援護します！,援護します！
僕は敵のスライムサキュバスめがけて魔法カードで攻撃をしかけた！,僕は敵のスライムサキュバスめがけて魔法カードで攻撃をしかけた！
きゃあ！うそ、フラワーちゃん負けちゃったの！,きゃあ！うそ、フラワーちゃん負けちゃったの！
わたしのモンスターたち、チャンスよ！\n相手プレイヤーにダイレクトアタック！,わたしのモンスターたち、チャンスよ！\n相手プレイヤーにダイレクトアタック！
あうう、復活してすぐじゃなければ…。,あうう、復活してすぐじゃなければ…。
エルルの指示でモンスターたちがとどめをさす。エルルに倒されたサキュバスは、その場で霧のように消えてしまった。,エルルの指示でモンスターたちがとどめをさす。エルルに倒されたサキュバスは、その場で霧のように消えてしまった。
はぁ、ふう…。なんとかなったわね…。そっちは大丈夫？,はぁ、ふう…。なんとかなったわね…。そっちは大丈夫？
へえ、きみなかなかすごいのね。\n男なのにサキュバス相手に１対１で勝てるなんて、かなりのものよ。,へえ、きみなかなかすごいのね。\n男なのにサキュバス相手に１対１で勝てるなんて、かなりのものよ。
わたしの相手の子は、\nなんだか本調子じゃないって感じだったし、\nそのおかげでなんとか戦えたわ。,わたしの相手の子は、\nなんだか本調子じゃないって感じだったし、\nそのおかげでなんとか戦えたわ。
なんにせよ、早くギルドに戻りましょう。\nまた別のサキュバスがいたりしたら危険だわ。,なんにせよ、早くギルドに戻りましょう。\nまた別のサキュバスがいたりしたら危険だわ。
こうして僕たちは窮地を潜り抜け急いでギルドへと戻ったのだった。,こうして僕たちは窮地を潜り抜け急いでギルドへと戻ったのだった。
お二人ともお疲れさまでした。調査はいかがでしたか？,お二人ともお疲れさまでした。調査はいかがでしたか？
何か、サキュバスたちの手がかりなど掴めそうでしたでしょうか,何か、サキュバスたちの手がかりなど掴めそうでしたでしょうか
え？サキュバスに襲われた？それも二体！？,え？サキュバスに襲われた？それも二体！？
目を丸くしている受付さんに、僕たちは森の中で起きたできごとを詳しく説明した。,目を丸くしている受付さんに、僕たちは森の中で起きたできごとを詳しく説明した。
倒したはずのスライムサキュバスが生きていたこと、別のサキュバスが森の中にいてそのサキュバスに挟み撃ちにされたこと。,倒したはずのスライムサキュバスが生きていたこと、別のサキュバスが森の中にいてそのサキュバスに挟み撃ちにされたこと。
受付さんは僕たちの話をとても信じられないという様子で聞いていた。EランクとDランクの二人で２体のサキュバスに勝つなんて普通ありえないことらしい。,受付さんは僕たちの話をとても信じられないという様子で聞いていた。EランクとDランクの二人で２体のサキュバスに勝つなんて普通ありえないことらしい。
なるほど…。\nにわかには信じられませんが、だいたいの事情はわかりました。,なるほど…。\nにわかには信じられませんが、だいたいの事情はわかりました。
魔族領から遠く離れたこの地に\n複数体のサキュバスがいるのはとても稀なことです。\nなぜサキュバスがこの街に…。,魔族領から遠く離れたこの地に\n複数体のサキュバスがいるのはとても稀なことです。\nなぜサキュバスがこの街に…。
それに倒されたサキュバスが復活するだなんて…。\nうーん、これはしっかりとした調査が必要ですね。,それに倒されたサキュバスが復活するだなんて…。\nうーん、これはしっかりとした調査が必要ですね。
いずれにしても、今回はお疲れさまでした。\nクエストは無事達成です。\nランクの昇格を行いますので指輪をこちらへお渡しください。,いずれにしても、今回はお疲れさまでした。\nクエストは無事達成です。\nランクの昇格を行いますので指輪をこちらへお渡しください。
ランクがDランクにアップした！,ランクがDランクにアップした！
ランクアップおめでとう。\n大変な任務になっちゃったわね。,ランクアップおめでとう。\n大変な任務になっちゃったわね。
それにしてもなんでサキュバスたちがモルゲンの近くにいたのかしら。\n国境からここまで侵入するのだってそう簡単じゃないと思うのだけど。,それにしてもなんでサキュバスたちがモルゲンの近くにいたのかしら。\n国境からここまで侵入するのだってそう簡単じゃないと思うのだけど。
確かに、いまは１０年に１度の大会で\nカードマスターが国中から集まっているわね。,確かに、いまは１０年に１度の大会で\nカードマスターが国中から集まっているわね。
カードマスターのエナジーは\nサキュバスにとってとてもおいしいらしいから、\nそれを狙っているってのはあるのかも。,カードマスターのエナジーは\nサキュバスにとってとてもおいしいらしいから、\nそれを狙っているってのはあるのかも。
まあ逆に言えば戦力が集結している状況なわけで、\n高ランクマスターもぞろぞろいる。\nこんなときにこの辺を襲おうだなんてサキュバスも無謀よね。,まあ逆に言えば戦力が集結している状況なわけで、\n高ランクマスターもぞろぞろいる。\nこんなときにこの辺を襲おうだなんてサキュバスも無謀よね。
その可能性は十分にあるわね。\n下級のサキュバス２体がたまたま迷い込んだだけかもしれない。,その可能性は十分にあるわね。\n下級のサキュバス２体がたまたま迷い込んだだけかもしれない。
サキュバスの特性によっては人間に化けるのがうまかったり、\n隠密性に優れてたりするから\nたまに国境内に侵入されることもあるの。,サキュバスの特性によっては人間に化けるのがうまかったり、\n隠密性に優れてたりするから\nたまに国境内に侵入されることもあるの。
あのスライムサキュバスなんて、どこの隙間にでも入り込めそうだし、\n隠れて侵入するのにはうってつけかもね。,あのスライムサキュバスなんて、どこの隙間にでも入り込めそうだし、\n隠れて侵入するのにはうってつけかもね。
え！？もしかしてあなた、実は超VIPだったりするの？\n王族だったりとか？,え！？もしかしてあなた、実は超VIPだったりするの？\n王族だったりとか？
別にちがう…？ふふ、じゃあそれは自意識過剰よ。,別にちがう…？ふふ、じゃあそれは自意識過剰よ。
確かにあなたの腕には目を見張るものがあるけれど、\nサキュバスたちがあなたのことを知っているはずもないし、\nあなたが標的ってのは考えづらいと思うわ。,確かにあなたの腕には目を見張るものがあるけれど、\nサキュバスたちがあなたのことを知っているはずもないし、\nあなたが標的ってのは考えづらいと思うわ。
もしも王族とかだったなら、\n人質にしたり洗脳するために襲撃をしかけるかもしれないけれど、\nモルゲンにそんな人が来ているって話は聞かないし…。うーむ。,もしも王族とかだったなら、\n人質にしたり洗脳するために襲撃をしかけるかもしれないけれど、\nモルゲンにそんな人が来ているって話は聞かないし…。うーむ。
まあなんにしても今後の調査次第よね。\n他に潜んでいるサキュバスがいるかもしれないけれど、\nとりあえずわたしたちはこのまま大会を頑張っていくしかないわ。,まあなんにしても今後の調査次第よね。\n他に潜んでいるサキュバスがいるかもしれないけれど、\nとりあえずわたしたちはこのまま大会を頑張っていくしかないわ。
あなたにランクで追いつかれちゃったし、\nわたしも頑張らないと！それじゃあね。,あなたにランクで追いつかれちゃったし、\nわたしも頑張らないと！それじゃあね。
僕はエルルさんと別れ、宿屋へと戻った。初めてのクエストで体はもうクタクタだ。,僕はエルルさんと別れ、宿屋へと戻った。初めてのクエストで体はもうクタクタだ。
サキュバスたちの姿が見え始め、少し不穏な気配も感じるが、僕はただランクをあげることに集中しよう。師匠に言われた目標のAランクまであと３ランクだ！,サキュバスたちの姿が見え始め、少し不穏な気配も感じるが、僕はただランクをあげることに集中しよう。師匠に言われた目標のAランクまであと３ランクだ！
あなたのターンからだね！くすくす❤おっぱいに見とれてて大丈夫？,あなたのターンからだね！くすくす❤おっぱいに見とれてて大丈夫？
ほら、また見ていいよ❤戦う前からおっぱいにメロメロになっちゃえ❤,ほら、また見ていいよ❤戦う前からおっぱいにメロメロになっちゃえ❤
わたしのターンからだね！わたしのキノコモンスターたちは強いよー？,わたしのターンからだね！わたしのキノコモンスターたちは強いよー？
あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤ま、そもそも…。,あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤ま、そもそも…。
谷間チラ見せでおっぱいに釘付けになっちゃう男なんて、楽勝かもね❤くすくす❤,谷間チラ見せでおっぱいに釘付けになっちゃう男なんて、楽勝かもね❤くすくす❤
あなたのターンからだね！わたしがいっぱい気持ちよくして吸い殺してあげる❤,あなたのターンからだね！わたしがいっぱい気持ちよくして吸い殺してあげる❤
吸い殺すとか言われて怖い？だいじょうぶだよー❤気持ちよくなっているうちにあっという間に終わるからね。くすくす❤,吸い殺すとか言われて怖い？だいじょうぶだよー❤気持ちよくなっているうちにあっという間に終わるからね。くすくす❤
あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤くすくす❤,あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤くすくす❤
ドロー！,ドロー！
わたしのターン、ドロー。,わたしのターン、ドロー。
モンスターをコストに{使用カード}を上級召喚！,モンスターをコストに{使用カード}を上級召喚！
{使用カード}を召喚！,{使用カード}を召喚！
ううっ、あうう・・・❤,ううっ、あうう・・・❤
くすくす❤一回自滅しちゃった子をよみがえらせても\n意味ないみたいだね❤\nわたしたちに夢中で気持ちよさそうな顔～❤,くすくす❤一回自滅しちゃった子をよみがえらせても\n意味ないみたいだね❤\nわたしたちに夢中で気持ちよさそうな顔～❤
サキュバスに負けちゃった気持ちよさが忘れられないみたい❤\nねー、マスターくんもこんな風になりたいよね。\n自分から負けちゃえば？ほら、谷間をチラ❤,サキュバスに負けちゃった気持ちよさが忘れられないみたい❤\nねー、マスターくんもこんな風になりたいよね。\n自分から負けちゃえば？ほら、谷間をチラ❤
うぐ・・・❤,うぐ・・・❤
あは、効いてる❤効いてる❤\n人間の男の子、ちょろくておもしろーい❤きゃはは♪,あは、効いてる❤効いてる❤\n人間の男の子、ちょろくておもしろーい❤きゃはは♪
さらにもう1枚発動！,さらにもう1枚発動！
場に出たとき{使用カード}の効果発動！「よわよわ胞子」を１枚手札に加えるね！,場に出たとき{使用カード}の効果発動！「よわよわ胞子」を１枚手札に加えるね！
{使用カード}が場に出たとき効果発動！「よわよわ胞子」を手札に加えるよー！,{使用カード}が場に出たとき効果発動！「よわよわ胞子」を手札に加えるよー！
ターン終了時に{使用カード}の効果発動！自分フィールド上の植物モンスターのHPを強化するよ！,ターン終了時に{使用カード}の効果発動！自分フィールド上の植物モンスターのHPを強化するよ！
ターン終了時に{使用カード}の効果発動！植物モンスターのHPをパワーアップ！,ターン終了時に{使用カード}の効果発動！植物モンスターのHPをパワーアップ！
攻撃宣言時に{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数を増やしちゃうよ！,攻撃宣言時に{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数を増やしちゃうよ！
ぼこぼこにいじめちゃえ❤{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数をアップ！,ぼこぼこにいじめちゃえ❤{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数をアップ！
墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターをサーチ！,墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターをサーチ！
墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターを手札に加えるね！,墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターを手札に加えるね！
{使用カード}の効果発動！デッキからランダムに５枚カードを墓地へ送るよ！,{使用カード}の効果発動！デッキからランダムに５枚カードを墓地へ送るよ！
召喚時に{使用カード}の効果発動！自分のデッキから墓地へ５枚のカードを送るね！,召喚時に{使用カード}の効果発動！自分のデッキから墓地へ５枚のカードを送るね！
破壊されたとき{使用カード}の効果発動！墓地のレベル４以下の植物モンスター１体を手札に加えるよ。,破壊されたとき{使用カード}の効果発動！墓地のレベル４以下の植物モンスター１体を手札に加えるよ。
デッキから直接墓地へ送られたとき{使用カード}の効果発動！自分フィールドに復活！,デッキから直接墓地へ送られたとき{使用カード}の効果発動！自分フィールドに復活！
{使用カード}がデッキから墓地に行ったとき効果発動！墓地から復活するよ！,{使用カード}がデッキから墓地に行ったとき効果発動！墓地から復活するよ！
