default
炎熱の巫女,炎熱巫女
あら、敵モンスターであるわたしに\n「もっと攻撃して」ってお願いしちゃうの？\nくすくす❤マゾなのね、あなた❤,あら、敵モンスターであるわたしに\n「もっと攻撃して」ってお願いしちゃうの？\nくすくす❤マゾなのね、あなた❤
わたしのベールで隠れた口か、それともこのなまめかしい脚か、\nどちらか好きな方で搾り取ってあげるわよ❤\nほら、どうやってエナジーを吸い取られたい？,わたしのベールで隠れた口か、それともこのなまめかしい脚か、\nどちらか好きな方で搾り取ってあげるわよ❤\nほら、どうやってエナジーを吸い取られたい？
ふふ、口で搾り取ってほしいのね❤\n見えない口が気になって、そんな風におねだりしちゃう❤\n男ってほんとバカな生き物だわ❤,ふふ、口で搾り取ってほしいのね❤\n見えない口が気になって、そんな風におねだりしちゃう❤\n男ってほんとバカな生き物だわ❤
くす❤この脚を絡みつけられたいの？\nわたしの高い体温でペニスを包まれて、\nどれだけ耐えられるのかしら❤,くす❤この脚を絡みつけられたいの？\nわたしの高い体温でペニスを包まれて、\nどれだけ耐えられるのかしら❤
んっ❤おいしい❤\n口の中にたくさん出して、それを飲んでもらえて、満足かしら？\n変態さん❤,んっ❤おいしい❤\n口の中にたくさん出して、それを飲んでもらえて、満足かしら？\n変態さん❤
あら、敵にエナジーを貢いでおいてそんな蕩けた顔しちゃダメよ❤\n濃厚なエナジーで傷もなにかも元通り❤\nあなたのせいで他の仲間がピンチね。くすくす❤,あら、敵にエナジーを貢いでおいてそんな蕩けた顔しちゃダメよ❤\n濃厚なエナジーで傷もなにかも元通り❤\nあなたのせいで他の仲間がピンチね。くすくす❤
くす❤女の脚にあっという間に屈服しちゃったわね❤\nチンポいじめてもらえてうれしかったでしょ？\n変態さん❤,くす❤女の脚にあっという間に屈服しちゃったわね❤\nチンポいじめてもらえてうれしかったでしょ？\n変態さん❤
うぅ……❤,うぅ……❤
あら、オナニー、始めちゃったの？,あら、オナニー、始めちゃったの？
戦うことを投げ出してするオナニーは気持ちいいかしら？\nいえ、その間抜け顔を見れば聞かなくても分かるわね❤,戦うことを投げ出してするオナニーは気持ちいいかしら？\nいえ、その間抜け顔を見れば聞かなくても分かるわね❤
ほら見て、ベールの隙間から私の舌が見えるでしょう❤\n炎みたいに真っ赤な色の舌…❤\nれろぉーっていやらしく動かしてあげる❤,ほら見て、ベールの隙間から私の舌が見えるでしょう❤\n炎みたいに真っ赤な色の舌…❤\nれろぉーっていやらしく動かしてあげる❤
あぁ……❤濡れた舌が……❤ううっ、エロすぎるぅ…❤,あぁ……❤濡れた舌が……❤ううっ、エロすぎるぅ…❤
あは、舌を見せられただけでそんなに興奮するなんて、純情ね。,あは、舌を見せられただけでそんなに興奮するなんて、純情ね。
これだけじゃないのよ？\nほら、指で作った輪っかを、\n口の前で前後に動かしてあげる❤,これだけじゃないのよ？\nほら、指で作った輪っかを、\n口の前で前後に動かしてあげる❤
あぁぁ❤,あぁぁ❤
うふ、扱くのはやーい❤\n頭の中が手コキフェラされる妄想でいっぱいになっちゃった？,うふ、扱くのはやーい❤\n頭の中が手コキフェラされる妄想でいっぱいになっちゃった？
腰までかくかくって動いちゃっている。\nわたしはまったくチンポに触ってないのに…。\nふふ、滑稽ね❤,腰までかくかくって動いちゃっている。\nわたしはまったくチンポに触ってないのに…。\nふふ、滑稽ね❤
もう限界？\nエア手コキなんかでイっちゃうんだ？,もう限界？\nエア手コキなんかでイっちゃうんだ？
ほら、指の動き早くしてあげるから、\n竿をゴシゴシされて、カリ首じゅぽじゅぽされる妄想で\n無様にイっちゃいなさい❤,ほら、指の動き早くしてあげるから、\n竿をゴシゴシされて、カリ首じゅぽじゅぽされる妄想で\n無様にイっちゃいなさい❤
あ、あぁぁ❤❤❤,あ、あぁぁ❤❤❤
あひぃ…❤,あひぃ…❤
ふふ、妄想に負けてご愁傷様♪\nたっぷり魔力が溶けてるわ。\nんっ、おいしい❤,ふふ、妄想に負けてご愁傷様♪\nたっぷり魔力が溶けてるわ。\nんっ、おいしい❤
何がそんなに男を性欲にかきたてるのかしら。\n見えそうで見えないのがそんなにいいの？くすくす❤,何がそんなに男を性欲にかきたてるのかしら。\n見えそうで見えないのがそんなにいいの？くすくす❤
あら、あなたもオナニーしてしまうのね❤,あら、あなたもオナニーしてしまうのね❤
さっきの男を横目で見ながら\nこの濡れた舌とエア手コキを見て興奮しちゃったかしら？\nくすくす❤,さっきの男を横目で見ながら\nこの濡れた舌とエア手コキを見て興奮しちゃったかしら？\nくすくす❤
あなたにもエア手コキ❤してあげる❤,あなたにもエア手コキ❤してあげる❤
ほら見て❤赤い濡れた舌で先端をなめまわすみたいにして、\nそのすぐそばでエア手コキ❤しゅっ、しゅっ、しゅっ♪,ほら見て❤赤い濡れた舌で先端をなめまわすみたいにして、\nそのすぐそばでエア手コキ❤しゅっ、しゅっ、しゅっ♪
あっ、あぁぁ❤,あっ、あぁぁ❤
ふふ、エア手コキの動きに合わせて\nあなたの手もシコシコ♪シコシコ♪\n動いちゃってる。,ふふ、エア手コキの動きに合わせて\nあなたの手もシコシコ♪シコシコ♪\n動いちゃってる。
まるでわたしの操り人形ね。\nわたしに誘惑されるまま踊らされて、\nあら、腰までかくかくって動かしちゃうの…？,まるでわたしの操り人形ね。\nわたしに誘惑されるまま踊らされて、\nあら、腰までかくかくって動かしちゃうの…？
おててとエッチして気持ちいい？くすくす❤\n童貞の男の子って妄想力が高くて、見てて面白いわ。,おててとエッチして気持ちいい？くすくす❤\n童貞の男の子って妄想力が高くて、見てて面白いわ。
もう限界なのね？\nほら、指の動き早くしてあげる。,もう限界なのね？\nほら、指の動き早くしてあげる。
竿をゴシゴシされて、カリ首じゅぽじゅぽされる妄想で\n無様にイっちゃいなさい❤,竿をゴシゴシされて、カリ首じゅぽじゅぽされる妄想で\n無様にイっちゃいなさい❤
指をきゅって締めながら、前後にしゅしゅしゅっ❤\nんっ、れえろー❤,指をきゅって締めながら、前後にしゅしゅしゅっ❤\nんっ、れえろー❤
ふふ、妄想に負けてご愁傷様♪エナジー敵に貢いじゃったわね。\nたっぷり魔力が溶けてるわ。んっ、おいしい❤,ふふ、妄想に負けてご愁傷様♪エナジー敵に貢いじゃったわね。\nたっぷり魔力が溶けてるわ。んっ、おいしい❤
妄想オナニー気持ちよかったかしら？\nほかの人も、見ているだけじゃなくて自分から来ていいのよ。\n少しは、サービスしてあげる❤くすくす❤,妄想オナニー気持ちよかったかしら？\nほかの人も、見ているだけじゃなくて自分から来ていいのよ。\n少しは、サービスしてあげる❤くすくす❤
うっ、あなた強いわね……。,うっ、あなた強いわね……。
とどめをさす前にわたしの一番の自慢、\nふとももを味わってみないかしら？,とどめをさす前にわたしの一番の自慢、\nふとももを味わってみないかしら？
踊りで鍛えたむちむちの脚❤\nそれをチンポに巻き付けて、ダンスでも踊るみたいに\n前後に、にゅこにゅこにゅこ…❤,踊りで鍛えたむちむちの脚❤\nそれをチンポに巻き付けて、ダンスでも踊るみたいに\n前後に、にゅこにゅこにゅこ…❤
くす❤想像して前かがみになっちゃったわね。\nほら、逃げないでじっとしてて❤,くす❤想像して前かがみになっちゃったわね。\nほら、逃げないでじっとしてて❤
温かくてやわらかな身体で抱きしめながら、\nチンポを膝裏に挟んでしごいてあげる❤,温かくてやわらかな身体で抱きしめながら、\nチンポを膝裏に挟んでしごいてあげる❤
すごく気持ちがいいのに……。,すごく気持ちがいいのに……。
ありがとう、動かないでくれて❤\nお礼に抱きしめてあげるわ❤,ありがとう、動かないでくれて❤\nお礼に抱きしめてあげるわ❤
あぁ……温かい……❤,あぁ……温かい……❤
くすくす❤抱き着かれただけで蕩けちゃってるし❤,くすくす❤抱き着かれただけで蕩けちゃってるし❤
ほら本番はこれからよ。脚を上げて、あなたのチンポをぱっくん❤\nふくらはぎとふともものサンドイッチね❤,ほら本番はこれからよ。脚を上げて、あなたのチンポをぱっくん❤\nふくらはぎとふともものサンドイッチね❤
挟んだまま、前後ににゅこにゅこ…❤すりすり…❤\nあはん、わたしの脚さばきに酔いしれなさい❤,挟んだまま、前後ににゅこにゅこ…❤すりすり…❤\nあはん、わたしの脚さばきに酔いしれなさい❤
うあぁ❤,うあぁ❤
脚の間をチンポが出たり入ったり…♪\n温かくてむちむちの太ももが、\n隙間なくチンポを包み込んで蕩けちゃいそうでしょう❤,脚の間をチンポが出たり入ったり…♪\n温かくてむちむちの太ももが、\n隙間なくチンポを包み込んで蕩けちゃいそうでしょう❤
ねえ、わたしの目を見て？\nくす、うっとりしたその顔、嫌いじゃないわ。\n脚に挟まれて、男が情けな～い顔になるの、わたし大好きなの❤,ねえ、わたしの目を見て？\nくす、うっとりしたその顔、嫌いじゃないわ。\n脚に挟まれて、男が情けな～い顔になるの、わたし大好きなの❤
おっぱいでもアソコでもない、\n膝裏なんて場所で果てちゃう、情けないマゾ男❤\nあは、マゾって言われて喜んでいる♪最高ね❤,おっぱいでもアソコでもない、\n膝裏なんて場所で果てちゃう、情けないマゾ男❤\nあは、マゾって言われて喜んでいる♪最高ね❤
はひぃっ、きもちよくてぇ…❤だめぇ…❤,はひぃっ、きもちよくてぇ…❤だめぇ…❤
チンポがもう限界ね。\n楽しい膝裏コキの時間はおしまい❤,チンポがもう限界ね。\n楽しい膝裏コキの時間はおしまい❤
リズミカルに動かしてあげるから、\nほら、さっさと果てちゃいなさい❤\nくすくす❤,リズミカルに動かしてあげるから、\nほら、さっさと果てちゃいなさい❤\nくすくす❤
あん、どろどろ❤脚が真っ白になっちゃったわ。,あん、どろどろ❤脚が真っ白になっちゃったわ。
負けちゃうかと思ったけど、\nあなたが脚に負けるヘンタイさんで良かった❤くすくす❤,負けちゃうかと思ったけど、\nあなたが脚に負けるヘンタイさんで良かった❤くすくす❤
とどめをさす前にわたしのここを楽しんでみないかしら？,とどめをさす前にわたしのここを楽しんでみないかしら？
そう、ここ…❤ふとももの間❤,そう、ここ…❤ふとももの間❤
わたしの足って踊りで鍛えられてむちむちでとってもやわらかいのよ？\nわたしのあたたかい体温も合わさって、男はもうメロメロ❤\n挟んであげればすぐにイっちゃうわ❤,わたしの足って踊りで鍛えられてむちむちでとってもやわらかいのよ？\nわたしのあたたかい体温も合わさって、男はもうメロメロ❤\n挟んであげればすぐにイっちゃうわ❤
そんなに気持ちがいい事を味わなくて後悔するんじゃないかしら？,そんなに気持ちがいい事を味わなくて後悔するんじゃないかしら？
温かくてやわらかな身体で抱きしめながら、\nチンポをむちむちのふとももで挟んであげる❤,温かくてやわらかな身体で抱きしめながら、\nチンポをむちむちのふとももで挟んであげる❤
だから動かないで❤,だから動かないで❤
どうかしらわたしの身体は？\n恋人みたいに新近距離で見つめられたら照れちゃう？\nふふ、あなたもわたしの体温で蕩けちゃったみたいね。,どうかしらわたしの身体は？\n恋人みたいに新近距離で見つめられたら照れちゃう？\nふふ、あなたもわたしの体温で蕩けちゃったみたいね。
あなたのチンポがわたしのお腹に擦れて、我慢汁が出ているわよ❤,あなたのチンポがわたしのお腹に擦れて、我慢汁が出ているわよ❤
このまま抱きしめて、お腹でイかせてあげてもいいけれど\nふとももで挟んであげるって言ったから、挟んであげるわね❤,このまま抱きしめて、お腹でイかせてあげてもいいけれど\nふとももで挟んであげるって言ったから、挟んであげるわね❤
チンポの先端をふとももの谷間に合わせてっと❤\nゆっくりいれるから楽しんでね❤,チンポの先端をふとももの谷間に合わせてっと❤\nゆっくりいれるから楽しんでね❤
にゅぷにゅぷぅ～ってあなたのチンポが太ももに飲み込まれちゃった❤,にゅぷにゅぷぅ～ってあなたのチンポが太ももに飲み込まれちゃった❤
感触はどうかしら？\nむにって押したらぷるんって跳ね返してくる抜群のむちむち感❤\n隙間なくチンポを包み込んで蕩けちゃいそうでしょう❤,感触はどうかしら？\nむにって押したらぷるんって跳ね返してくる抜群のむちむち感❤\n隙間なくチンポを包み込んで蕩けちゃいそうでしょう❤
それじゃあ、踊りで鍛えた腰ふりでイかせてあげる❤,それじゃあ、踊りで鍛えた腰ふりでイかせてあげる❤
あぁぁ、蕩けちゃうぅぅ❤❤❤,あぁぁ、蕩けちゃうぅぅ❤❤❤
太ももで先端から根元までゴシゴシ擦られて、\nセックスしているみたいに気持ちいいでしょう？,太ももで先端から根元までゴシゴシ擦られて、\nセックスしているみたいに気持ちいいでしょう？
ここに出しても子供はできないけれど、その分快感は約束するわ❤\n思いっきり踊ってあげるから、思いっきりイって❤,ここに出しても子供はできないけれど、その分快感は約束するわ❤\n思いっきり踊ってあげるから、思いっきりイって❤
きもちいいぃぃ❤❤❤,きもちいいぃぃ❤❤❤
脚が真っ白になっちゃった❤\nふとももを使った踊りに負けて、\nどう？天国見れた？くすくす❤,脚が真っ白になっちゃった❤\nふとももを使った踊りに負けて、\nどう？天国見れた？くすくす❤
シコシコ気持ちよかった？ヘンタイさん❤くすくす❤,シコシコ気持ちよかった？ヘンタイさん❤くすくす❤
女の脚に負けちゃったわね❤脚なんかで喘がされて、マゾってみじめ❤\nくすくす❤,女の脚に負けちゃったわね❤脚なんかで喘がされて、マゾってみじめ❤\nくすくす❤
わたしのフェラ気持ちよかった？\nあんまり出し過ぎよ、服が汚れちゃうじゃない❤くすくす❤,わたしのフェラ気持ちよかった？\nあんまり出し過ぎよ、服が汚れちゃうじゃない❤くすくす❤
フレアの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,フレアの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。
わたしの勝利ね！,わたしの勝利ね！
炎熱の巫女に見惚れて、自分でオナニーしちゃうなんて\nカードマスターとしてどうなの？このへんたい❤,炎熱の巫女に見惚れて、自分でオナニーしちゃうなんて\nカードマスターとしてどうなの？このへんたい❤
炎熱の巫女の足に潰されてイっちゃうのは気持ちよかった？へんたい❤,炎熱の巫女の足に潰されてイっちゃうのは気持ちよかった？へんたい❤
炎熱の巫女のフェラはどうだった？あっつあつの口内でチンポ溶かされちゃったんじゃない？,炎熱の巫女のフェラはどうだった？あっつあつの口内でチンポ溶かされちゃったんじゃない？
あら、イったばかりなのに、チンポがムクムク大きくなってる。\nよっぽどうちのモンスターにお熱みたいね。,あら、イったばかりなのに、チンポがムクムク大きくなってる。\nよっぽどうちのモンスターにお熱みたいね。
そんなにエナジー出したいなら、\nほら、{自分}！搾り取ってあげて♪,そんなにエナジー出したいなら、\nほら、{自分}！搾り取ってあげて♪
はぁい❤マスターのご命令とあらば♪,はぁい❤マスターのご命令とあらば♪
ち、ちが、別にもっとエナジーを取られたいわけじゃ……,ち、ちが、別にもっとエナジーを取られたいわけじゃ……
えー、そうは見えないけれど…❤\nほら、指でつーってなでてあげるだけで…❤,えー、そうは見えないけれど…❤\nほら、指でつーってなでてあげるだけで…❤
ふふ、ビクンって体ごと反応しちゃった❤\nあなたのチンポも、あなたの表情も…、\n「もっと搾ってぇ」っておねだりしているように見えるわ❤,ふふ、ビクンって体ごと反応しちゃった❤\nあなたのチンポも、あなたの表情も…、\n「もっと搾ってぇ」っておねだりしているように見えるわ❤
正直になるのも時には悪くないわよ。\nほら、ここに残った精液、全部お口で飲んであげる。\nあーむ…❤,正直になるのも時には悪くないわよ。\nほら、ここに残った精液、全部お口で飲んであげる。\nあーむ…❤
うぁ……❤,うぁ……❤
んちゅぷ❤ちゅぷ❤どうかしら？わたしのお口の中は？,んちゅぷ❤ちゅぷ❤どうかしら？わたしのお口の中は？
あつあつの口内で舌がチンポに絡みついて…❤\n溶けちゃいそうでしょう？下手な女の子との本番エッチより、\nずっと気持ちいいの❤,あつあつの口内で舌がチンポに絡みついて…❤\n溶けちゃいそうでしょう？下手な女の子との本番エッチより、\nずっと気持ちいいの❤
ベール越しにチンポ食べられて、\nうふふ、エナジー吸いつくされちゃうわね。\nんふ、ぺろっ、えるっ、えろ…❤,ベール越しにチンポ食べられて、\nうふふ、エナジー吸いつくされちゃうわね。\nんふ、ぺろっ、えるっ、えろ…❤
あっ、あひぃっ、きもちいぃ…❤,あっ、あひぃっ、きもちいぃ…❤
顔がベールで隠れているせいで、彼女の口の動きがあいまいにしか見えない。カリ首に舌を絡められたり、急に唇で竿に吸い付かれたり、予想できない快楽が僕を襲ってくる。,顔がベールで隠れているせいで、彼女の口の動きがあいまいにしか見えない。カリ首に舌を絡められたり、急に唇で竿に吸い付かれたり、予想できない快楽が僕を襲ってくる。
さっきこのモンスターに射精させられたばかりだというのに…。とても耐え切れそうにない、あっという間にまた精液が昇ってきてしまう。,さっきこのモンスターに射精させられたばかりだというのに…。とても耐え切れそうにない、あっという間にまた精液が昇ってきてしまう。
ちゅぷ❤える❤ぷちゅ❤\nとっても敏感で、かわいいチンポ❤\nまだ少ししか経っていないのにもう限界なのね。,ちゅぷ❤える❤ぷちゅ❤\nとっても敏感で、かわいいチンポ❤\nまだ少ししか経っていないのにもう限界なのね。
ほら、指で玉も揉んであげるわ。\nイきそうなときにこれされると、腰の奥がぞわぞわして\n頭まっしろになっちゃうでしょ？,ほら、指で玉も揉んであげるわ。\nイきそうなときにこれされると、腰の奥がぞわぞわして\n頭まっしろになっちゃうでしょ？
イきなさい。わたしの口の中に、あなたのエナジーを吐き出すの❤\nんっ、じゅぷ❤えるう、じゅぷじゅぽ❤,イきなさい。わたしの口の中に、あなたのエナジーを吐き出すの❤\nんっ、じゅぷ❤えるう、じゅぷじゅぽ❤
うっ、あうっ、腰がとけるっ、もうっ❤,うっ、あうっ、腰がとけるっ、もうっ❤
あひぃっ・・・❤きもちいいぃ・・・❤,あひぃっ・・・❤きもちいいぃ・・・❤
んっ、んっ、ごくっ・・・❤,んっ、んっ、ごくっ・・・❤
んふ❤あなたのエナジーは質がいいわね、魔力の濃さも味も最高だわ。,んふ❤あなたのエナジーは質がいいわね、魔力の濃さも味も最高だわ。
はぁ、はぁ、も、もう・・・。,はぁ、はぁ、も、もう・・・。
２回程度で無理なんて言わせないわ。\nこんなに上質な魔力の持ち主を逃すはずがないじゃない❤,２回程度で無理なんて言わせないわ。\nこんなに上質な魔力の持ち主を逃すはずがないじゃない❤
チンポだって口の中でまだガチガチ❤\nほら、んっじゅるるぅ❤、強く吸い付いても、しっかり固い♪,チンポだって口の中でまだガチガチ❤\nほら、んっじゅるるぅ❤、強く吸い付いても、しっかり固い♪
頭を前後に動かして、激しくフェラしてあげる❤\nガチガチチンポなら腰が抜けちゃうぐらい気持ちよくなるわよ❤,頭を前後に動かして、激しくフェラしてあげる❤\nガチガチチンポなら腰が抜けちゃうぐらい気持ちよくなるわよ❤
目を逸らさないで、あなたを搾り取るわたしの目を見続けなさい❤\nじゅぷ❤んじゅぷ❤じゅるぅぅ❤ぐちゅぅ❤❤❤,目を逸らさないで、あなたを搾り取るわたしの目を見続けなさい❤\nじゅぷ❤んじゅぷ❤じゅるぅぅ❤ぐちゅぅ❤❤❤
はぐぅっ、ああぁ、吸い付いてきてぇっ❤,はぐぅっ、ああぁ、吸い付いてきてぇっ❤
んっんっ、ふぅ❤ご馳走様❤,んっんっ、ふぅ❤ご馳走様❤
あ、あ……,あ、あ……
焦点はあってないけれど、今もわたしの目を見てくれているのね❤,焦点はあってないけれど、今もわたしの目を見てくれているのね❤
聞こえてないかもしれないけれど\nまた搾り取られたくなったらわたしのマスターに負けなさい。,聞こえてないかもしれないけれど\nまた搾り取られたくなったらわたしのマスターに負けなさい。
その時はまた腰が蕩けるほど搾り取ってあげる❤,その時はまた腰が蕩けるほど搾り取ってあげる❤
炎熱の巫女にエナジーを限界まで搾られてしまい、僕はしばらく意識を失ってしまった。,炎熱の巫女にエナジーを限界まで搾られてしまい、僕はしばらく意識を失ってしまった。
神秘のフェラ,神秘のフェラ
巫女の美脚コキ,巫女の美脚コキ
なんでも,なんでも
無視してとどめを刺した,無視並擊到她
動けなかった,動彈不得
