default
サムライガール,武士女孩
拙者の胸、なかなか立派でござろう？\nおぬしさえよければ、これで挟んで、\n最後までイかせてやるでござるよ？,在下的胸部很緊實對吧？\n如果汝覺得這可以的話，\n用這個讓汝射出來如何？
さっきから手や胸でいじられて、おぬしも限界であろう。\n柔らかい胸にしごかれて、気持ちよく負けてしまいたくはないか？,從剛才就一直被人用手跟胸部幹，汝已經到極限了對吧。\n來被這對緊實的胸部幹，很爽的敗北吧？
ほら、そこに寝ころべ。\n拙者が上から胸を押し付けてやるでござる…❤,在那邊躺下。\n在下從上面用胸部壓著汝……
ぬう、意外と頑張るでござるなぁ。,嗯，汝意外得很努力呢。
ふふ。そうかそうか、\n拙者にパイズリしてほしいでござるか❤,啊哈哈，這樣啊，\n想要在下的乳交嗎。
なら、望み通り…❤えい。,那麼就照汝想要的……嘿呀。
はうぅう❤,哈嗚嗚嗚。
素っ頓狂な声をあげおって❤\nガチガチになったいちもつを、\n胸で圧迫されるのが、そんなによかったか？,一臉爽樣的嬌喘著呢❤。\n硬梆梆的雄偉陽具被胸部壓迫的感覺真的就這麼爽嗎？
たがだか押し付けられただけでその調子では、\nこの先持たんぞ？\nほら、前後に動かせば…❤,但是才剛壓下去汝就變這樣的話，\n待會可就撐不久喔。\n在下要開始前後挪動了……
どうだ、比べ物にならぬほど気持ちいいでござろう？,爽到沒得比對吧？
おぬしは自分の精神力と魔力によって、\n相手の攻撃から身を守るバリアを体にまとっておる。,汝以自己的意志跟魔力，\n在自己身上做出阻擋對手攻擊的防護罩。
おぬしらはマスターの加護のもと、\n相手の攻撃から身を守るバリアを体にまとっておる。,汝等有主人的加護，\n身體上面有守護自身的防護罩。
しかし、快楽に身を任せてしまえば、\nそのバリアは消え、受ける快感は何倍にもなるのだ。\nそれこそ、軽い胸の動きだけで頭を真っ白に染めてしまうほどに…❤,但是如果將自己交給快感的話，\n那個防護罩就會消失，受到的快感會成長數倍。\n那才會是真正胸部輕輕動一下就讓你爽到無法思考的境界喔……
これが女モンスターが与える本来の気持ちよさ❤\nどうだ？たまらんでござろう？,這就是女性怪獸本來該有的快感喔，\n如何啊？根本沒辦法承受對吧？
はひっ、ああっ❤❤❤,啊咿，啊啊啊。
くく、あんまり焦らしてもかわいそうでござるな。\nそろそろとどめをさしてやるでござる。,啊哈哈，讓汝等待似乎有點太過份了呢。。\n還是直接了結汝比較好。
ぎゅーっと胸で包み込みながら、\n激しく何度もピストンさせる。\nこれに耐えられる男はおらぬ❤,被女武士的胸部抓住，\n不斷被以激烈的速度幹。\n沒有男人能忍得過這種情境喔。
ほら、行くぞ？気持ちよく果ててしまえ❤雑魚マスター❤,那麼要開始嘍。爽到射出來吧，廢物玩家❤
ほら、行くぞ？気持ちよく果ててしまえ❤雑魚モンスター❤,那麼開始嘍。爽到射出來吧，廢物怪獸❤
んっ、出てる、出てる❤\nおぬしのエナジーがたっぷり拙者に流れ込んでくるでござる❤,啊哈哈，出來了出來了。\n汝的能量全部流入在下的胸部當中了。
拙者より強い上級モンスターなのに、\n誘惑に負けてこの体たらく❤\nクク、無様でござるなぁ❤,明明就還有比在下更強的上級怪獸，\n但汝竟然敗給這副身體的誘惑。\n啊哈哈，真的好丟臉呢。
あとちょっとで勝てるところを性欲に負けて敗北❤\nそのうえ敵を回復させて…。,再一下就要贏的時候才敗給性慾，\n並且讓敵人得到回復……。
幸せそうな顔でビクビクしている場合ではないでござるよ？\nクク、無様でござるなぁ❤,\n汝還可以一臉幸福得躺在地上發抖嗎？\n啊哈哈，真是難看呢。
ううっ・・・。,嗚嗚……。
こらこら。どうして自らしごいているのでござるか？\nまったく大事な練習試合だというのに...。,欸，色鬼。汝怎麼自己去摸老二了？\n明明是重要的練習對戰的說……真是的。
拙者の胸に見とれて、一心不乱にしごきおって❤\n童貞マスターにはエッチな攻撃は刺激が強かったようでござる❤,眼睛盯著在下的胸部，旁若無人的自慰呢。\n對童貞玩家來說色情系攻擊的刺激太過強烈了嗎？
拙者の胸に見とれて、一心不乱にしごきおって❤\n童貞モンスターにはエッチな攻撃は刺激が強かったようでござる❤,眼睛盯著在下的胸部，旁若無人的自慰呢。\n對童貞怪獸來說色情系攻擊的刺激太過強烈了嗎？
まあ一発抜けば少しは冷静になれるかもしれぬ。\nほれ、見ててやるからしごいてよいでござるよ❤,啊不過射一發的話精神狀況應該就能穩定下來吧。\n所以在下會看著，請繼續自慰吧。
あううっ・・・。,啊嗚嗚……。
ふふ。気持ちよさそうにゆるんだ顔でござるな❤\n自分でしごいたこともほとんどないのであろう？,啊哈哈。一臉很爽的傻樣呢。\n汝幾乎沒有自己自慰過嗎？
手を上下に動かして、しこしこ、しこしこ……❤\n慣れぬなりに一生懸命に自慰しているでござる。,因為還不習慣自慰\n所以只能拚死得快速手淫嗎？
おっと、もうそろそろ限界でござるか？\nしごき始めたばかりだというのに、ずいぶんと早いでござる。,哎呀，已經要到極限了嗎？\n這才剛開始手淫而已呢，這速度也太快了。
せっかくだ、最後にいいものを見せてやるでござる❤\nほれ……。,機會難得，給汝看個好東西❤\n請看……。
はううっ❤あっ、ああっ❤,哈嗚嗚，啊、啊啊！
くくく❤みっともない顔でござるなぁ❤\n拙者の胸をオカズにさっさと逝くでござる。変態❤,嗯哼哼，真是羞恥的表情。\n眼睛看著在下的胸部射精吧。變態❤
んっ…❤濃い精でござるな。\nエナジーがたっぷり溶け込んでいるでござる。,嗯哼哼……好濃厚的精氣。\n這裡面有豐富的能量呢。
敵のモンスターに魔力を渡せば回復される。\nこれぐらい常識でござるよ。次からは気をつけよ。童貞マスター❤,讓敵方怪獸得到魔力的話她就會回復。\n這可是基本常識喔。下次要小心點喔。童貞玩家❤
こらこら。言ったそばから、\nなぜもう一回自らしごきに来ておるのでござるか。,又是個色鬼。才剛說完而已，\n就又一個人來對著我自慰了呢。
まったく、オナニーを覚えたばかりの男は猿と同じでござる。\nチンポをしごくことしか考えられぬらしい。,真是的，剛學會自慰的男人跟猴子沒兩樣呢。\n只能想著怎樣讓自己的老二爽呢。
やめたほうがいい、と言っても止まらぬのであろう？\n仕方ないでござるなぁ・・・。,雖然想叫汝停下來，但是汝根本停不下來對吧？\n真是沒辦法呢……。
ほら、拙者の胸を見せてやるでござる。\nこれをオカズにしてさっさとイくでござるよ❤,來，給汝看在下的胸部。\n看著胸部馬上高潮吧。
はううっ・・・❤,哈嗚嗚……。
くく、しごく速度がずいぶんと上がったでござるなぁ❤\n勝負を捨てた代わりに得たおっぱい、\n今のうちにしっかり目に焼き付けておくでござるよ。,嗚呼呼，自慰速度變得非常快呢。\n這可是你放棄勝負得到的胸部喔，\n趁現在這機會深深映入眼簾當中吧。
んっ、出た出た❤\n目に焼き付ける間もなく射精とは、\n女の胸程度で情けないでござるなぁ❤くすくす❤,嗯嗯❤，射了射了❤。\n映入眼簾的瞬間就射了，\n這才不過是看女人胸部而已呢。嗯哼哼❤。
この精にもエナジーがたっぷり溶けているでござる。\n先ほども言ったが敵にエナジーをささげていては、\n体力を何度も回復されてしまう・・・。,這個精氣裡面也很多能量呢。\n才剛說過給敵人能量的話\n會使她回復體力的說……。
勝ちたければオナニーなどもってのほか。\nいい加減すっきりして頭も晴れたでござろう？\n次はしてはならぬぞ、童貞マスター。,想贏的話不可以自慰跟懇求。\n剛射完腦袋清醒些應該聽得懂我說什麼吧？\n下次不可以了喔，童貞玩家。
はぁ…。まったくこれで何度目でござるか？\n頭の中はもうエッチなことしか考えられぬようでござる。,唉……。這都第幾次了？\n汝等腦袋裡面只有色情的思路而已嗎。
おぬしらに少しは期待していたのでござるが、\n何度止めても聞かぬとは。見下げた理性の弱さでござる。,在下對汝等還有一點期待，所以才會要你們住手。\n結果你們理性真是弱得讓人反感。
ほら、これが見たかったのでござろう？,看吧，汝就是想看這個對吧？
まったく…。乳を見せられただけで、とろけた顔をしおって。,真是……。看見胸部的瞬間，就變得一副蠢樣了。
シコシコ、シコシコ❤そんなに気持ちいいのかのう？,嗯哼哼，拼命自慰的感覺有這麼爽嗎？
もう我慢できぬのか？\n理性が弱いうえに早漏では、救えないでござる❤,已經要忍不住了嗎？\n不僅理性脆弱還是早洩，汝已經沒救了呢。
ほら、イきたければイくでござる。\nおぬしが無様に負ける様、拙者が見ててやるでござるよ❤,可以喔，想射的話就射吧。\n這麼一來在下就會看清楚汝悲慘的敗北模樣喔。
ん、勢いよく出したござるな。\nまたエナジーを無駄に消費しているでござる。,嗯嗯，很猛烈的射出來了呢。\n又白白送給敵人能量了呢。
ちょっと誘惑されればこのありさま。\nどうせこのまま拙者たちの勝ちでござろうな。間抜けなマスター❤,稍微誘惑一下就變成這副德性。\n這麼一來肯定會是在下一方的勝利呢。色胚玩家❤。
ククク、みっともない最後であったのう。そんなにたくさん出して気持ちよかったか？,嗯哼哼，真是悲慘的死法。射這麼多出來有這麼爽嗎？
サムライのやわらかパイズリ,武士的緊實乳交
サムライの手技,武士的指技
なんでも,隨便做就好
がまんできず武器を捨ててしまった,忍不住乾脆丟下武器
誘惑を無視してとどめを刺した,無視誘惑擊倒她
