default
ガンナーハーピー,槍手哈比
相手の胸にメロメロになって、勝手に負けてるようじゃ、\nおまえのマスターはいい点もらねえぜ？\n雑魚❤,相手の胸にメロメロになって、勝手に負けてるようじゃ、\nおまえのマスターはいい点もらねえぜ？\n雑魚❤
おいおいどうした？\n胸に挟まれて逃げられなくなってんじゃねえか。,おいおいどうした？\n胸に挟まれて逃げられなくなってんじゃねえか。
もう試合は終わりにするのか？\nそれならほら、アタシの胸でさっさと出しちまえよ。\nオラオラオラ❤,もう試合は終わりにするのか？\nそれならほら、アタシの胸でさっさと出しちまえよ。\nオラオラオラ❤
はっ、もう射精するのか❤\n最後に思いっきり上からたたきつけてやるよ❤\nイケ❤おっぱいに負けちまえ❤,はっ、もう射精するのか❤\n最後に思いっきり上からたたきつけてやるよ❤\nイケ❤おっぱいに負けちまえ❤
おっと、あんなにふぬけてたのに、\n脱出できるとはな。\n意外と頑張るじゃねえか。,おっと、あんなにふぬけてたのに、\n脱出できるとはな。\n意外と頑張るじゃねえか。
だけどその顔、アタシの胸ですっかりメロメロなんだろ？\nさっさと諦めて降参しちまったらどうだ❤,だけどその顔、アタシの胸ですっかりメロメロなんだろ？\nさっさと諦めて降参しちまったらどうだ❤
アタシのおっぱいが気持ちよくてたまらないんだろ？出しちまえよ❤,アタシのおっぱいが気持ちよくてたまらないんだろ？出しちまえよ❤
腰がふるえてんぞ？ハハ、弱えなぁ❤,腰がふるえてんぞ？ハハ、弱えなぁ❤
逃げ出す気あんのか？びくびくしてるだけじゃねえか❤,逃げ出す気あんのか？びくびくしてるだけじゃねえか❤
腰が溶けそうだって？はは、さっさと負けちまえ❤,腰が溶けそうだって？はは、さっさと負けちまえ❤
アタシのおっぱい柔らけえだろ？お前の雑魚チンポで耐えられんのか？,アタシのおっぱい柔らけえだろ？お前の雑魚チンポで耐えられんのか？
音がなるぐらい激しく動かしてやるよ❤,音がなるぐらい激しく動かしてやるよ❤
口からよだれだして、気持ちよさそうにしやがって❤だらしねえな❤,口からよだれだして、気持ちよさそうにしやがって❤だらしねえな❤
男なんてどうせおっぱいにゃ勝てないんだよ❤,男なんてどうせおっぱいにゃ勝てないんだよ❤
もうイキそうなんだろ？我慢するだけ無駄無駄❤,もうイキそうなんだろ？我慢するだけ無駄無駄❤
先っぽをこすってやれば、たまらねえだろ？,先っぽをこすってやれば、たまらねえだろ？
抵抗しねえのか？うっとりした目でこっちを見やがって❤,抵抗しねえのか？うっとりした目でこっちを見やがって❤
暴れもしないでされるがままか❤雑魚マスターにはアタシのパイズリは気持ちよすぎたかもな❤,暴れもしないでされるがままか❤雑魚マスターにはアタシのパイズリは気持ちよすぎたかもな❤
もう勝負のことなんてどうでもいいんだろ？おっぱいフェチのマスター❤,もう勝負のことなんてどうでもいいんだろ？おっぱいフェチのマスター❤
アタシの胸でご主人様のことなんて忘れさせてやるよ❤,アタシの胸でご主人様のことなんて忘れさせてやるよ❤
もう勝負のことなんてどうでもいいんだろ？おっぱいフェチの雑魚モンスター❤,もう勝負のことなんてどうでもいいんだろ？おっぱいフェチの雑魚モンスター❤
あぅぅ……❤,あぅぅ……❤
おいおい、まさか自分から扱いちまうのか？,おいおい、まさか自分から扱いちまうのか？
Aランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤,Aランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤
あんたの主人が\nAランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤,あんたの主人が\nAランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤
どうせこの胸に見とれて頭の中空っぽになっちまったんだろ？\nてめえの顔の前で揺らしてやるよ❤\nおら、おら❤,どうせこの胸に見とれて頭の中空っぽになっちまったんだろ？\nてめえの顔の前で揺らしてやるよ❤\nおら、おら❤
あうぅう、すごいっ…❤❤,あうぅう、すごいっ…❤❤
ははっ、馬鹿みてえに扱いてやがる❤\nそんなに乱暴にやって痛くねえのか？,ははっ、馬鹿みてえに扱いてやがる❤\nそんなに乱暴にやって痛くねえのか？
ああ、興奮しすぎて我慢汁が出てるから痛くねえか。\nぐちゅぐちゅ、ぐちゅぐちゅ、すげー音だもんな❤,ああ、興奮しすぎて我慢汁が出てるから痛くねえか。\nぐちゅぐちゅ、ぐちゅぐちゅ、すげー音だもんな❤
図書室でそんな音させてたら、周りの生徒も見に来ちまうぜ？\nでも胸を揺らされたらやめられないんだろ？\nおらおら❤ゆさゆさゆさってな♪,図書室でそんな音させてたら、周りの生徒も見に来ちまうぜ？\nでも胸を揺らされたらやめられないんだろ？\nおらおら❤ゆさゆさゆさってな♪
あぐうっ、だめ、もうっ…❤,あぐうっ、だめ、もうっ…❤
早えーな。おっぱいに弱すぎだろ❤,早えーな。おっぱいに弱すぎだろ❤
ほら、とどめだ。一回持ち上げて、\nだぷんって上から落としてやる❤,ほら、とどめだ。一回持ち上げて、\nだぷんって上から落としてやる❤
みっともなくうめきながら出していいぜ。\nアタシのおっぱいに負けろ❤\nこの変態❤,みっともなくうめきながら出していいぜ。\nアタシのおっぱいに負けろ❤\nこの変態❤
あは、すげー濃いな❤\nアタシのおっぱいをオカズにして扱くの、\nそんなに気持ちよかったか？,あは、すげー濃いな❤\nアタシのおっぱいをオカズにして扱くの、\nそんなに気持ちよかったか？
見られながらオナニーして興奮するなんて、\nマゾって変なやつらだよな。\n敵を回復させてまでそんなことしたいのかよ。まったく。,見られながらオナニーして興奮するなんて、\nマゾって変なやつらだよな。\n敵を回復させてまでそんなことしたいのかよ。まったく。
おいおい、今度はお前がオナニーか？,おいおい、今度はお前がオナニーか？
Aランクマスターに実力を見てもらう大事な機会だってのに、\n本人までシコって自滅かよ。\n情けねえな❤,Aランクマスターに実力を見てもらう大事な機会だってのに、\n本人までシコって自滅かよ。\n情けねえな❤
あんたらの主人の大事な機会だってのに、\nあいつもこいつもオナニー、オナニー。\nバカじゃねえのか❤,あんたらの主人の大事な機会だってのに、\nあいつもこいつもオナニー、オナニー。\nバカじゃねえのか❤
ははっ、馬鹿みてえに扱いてやがる❤\nお前らおっぱい好きすぎだろ。,ははっ、馬鹿みてえに扱いてやがる❤\nお前らおっぱい好きすぎだろ。
こんな脂肪の塊のなにがそんなにいいんだか。\n人前で間抜け面さらして、\nバカ見てえにシコって恥ずかしくないのか？,こんな脂肪の塊のなにがそんなにいいんだか。\n人前で間抜け面さらして、\nバカ見てえにシコって恥ずかしくないのか？
さっきのやつが声上げながらシコってたから、\nほら、周りに女の生徒が見にきてるぜ。\nあんたのことくすくす笑ってんな。バーカ❤,さっきのやつが声上げながらシコってたから、\nほら、周りに女の生徒が見にきてるぜ。\nあんたのことくすくす笑ってんな。バーカ❤
はっ、笑われてんのにシコるのやめられねえとか、\nプライドとかねえーのかよ❤,はっ、笑われてんのにシコるのやめられねえとか、\nプライドとかねえーのかよ❤
そんなにわたしのおっぱいがいいか？\nほら、下から両手で持ち上げて、\nゆさゆさって揺らしてやるよ。,そんなにわたしのおっぱいがいいか？\nほら、下から両手で持ち上げて、\nゆさゆさって揺らしてやるよ。
パイズリでもなんでも妄想してイっちまいな❤\n雑魚マゾ男❤,パイズリでもなんでも妄想してイっちまいな❤\n雑魚マゾ男❤
あは、すげー濃いな❤\nお前らみんなおっぱい揺らしてたら\n勝手に負けてくんだな。弱えー。,あは、すげー濃いな❤\nお前らみんなおっぱい揺らしてたら\n勝手に負けてくんだな。弱えー。
無敗のルーキーって聞いてたから期待してたのに、\n手下ともども自滅とか。\n情けねーな、まったく。このマーゾ❤,無敗のルーキーって聞いてたから期待してたのに、\n手下ともども自滅とか。\n情けねーな、まったく。このマーゾ❤
無敗のルーキーって聞いてたから期待してたのに、\nその辺の男子生徒より手ごたえがねえぜ？\nもっと本気でかかってこいよ。,無敗のルーキーって聞いてたから期待してたのに、\nその辺の男子生徒より手ごたえがねえぜ？\nもっと本気でかかってこいよ。
へ、やるじゃねえか。\nなら、これはどうだ？,へ、やるじゃねえか。\nなら、これはどうだ？
アタシの服の結び目を見な。\nこれを今からゆっくりほどいてやるよ。,アタシの服の結び目を見な。\nこれを今からゆっくりほどいてやるよ。
戦ってる最中もチラチラ見てたよな❤\n男がおっぱいに弱いってことはよーくわかってるんだぜ。\nシャツの端を引っ張れば・・・。ふふふ❤,戦ってる最中もチラチラ見てたよな❤\n男がおっぱいに弱いってことはよーくわかってるんだぜ。\nシャツの端を引っ張れば・・・。ふふふ❤
あと５秒もすれば、胸がぽろってこぼれるかもな❤\nアタシの生乳、見たいだろ？\nほらよ、引くぜ・・・❤,あと５秒もすれば、胸がぽろってこぼれるかもな❤\nアタシの生乳、見たいだろ？\nほらよ、引くぜ・・・❤
誘惑を振り払って攻撃した,誘惑を振り払って攻撃した
視線が釘付けになってしまった,視線が釘付けになってしまった
うわっ！\nくそぉ・・・、こんな手には引っかからねーか。,うわっ！\nくそぉ・・・、こんな手には引っかからねーか。
はっ、バカみてえに釘付けじゃねえか。\nそんな隙だらけになって、この間抜け❤\nおらっ！,はっ、バカみてえに釘付けじゃねえか。\nそんな隙だらけになって、この間抜け❤\nおらっ！
全力で飛び掛かられて避けられなかっただろ？\nアタシの胸に見とれて、\n形勢逆転だな❤,全力で飛び掛かられて避けられなかっただろ？\nアタシの胸に見とれて、\n形勢逆転だな❤
油断して隙だらけのこのチンポ、\n一瞬で天国に送ってやるよ❤,油断して隙だらけのこのチンポ、\n一瞬で天国に送ってやるよ❤
あう、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤,あう、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤
はは❤そうだろうよ。\n心のバリアが解けてる状態でパイズリされたら、\n男なんてすぐ骨抜きだぜ。,はは❤そうだろうよ。\n心のバリアが解けてる状態でパイズリされたら、\n男なんてすぐ骨抜きだぜ。
あ？生おっぱいは見せてくれないのかって？\nそんなもん見せてやるわけないだろ。\nただのハッタリだよ、ハッタリ❤,あ？生おっぱいは見せてくれないのかって？\nそんなもん見せてやるわけないだろ。\nただのハッタリだよ、ハッタリ❤
あんたみてえなおっぱいマゾに、アタシの生乳は贅沢だろ？\nおらおらおら❤\n腰に叩きつけるみたいに激しくパイズリしてやれば・・・。,あんたみてえなおっぱいマゾに、アタシの生乳は贅沢だろ？\nおらおらおら❤\n腰に叩きつけるみたいに激しくパイズリしてやれば・・・。
あぐあっ❤❤あひぃっ、やばい、これぇ❤❤❤,あぐあっ❤❤あひぃっ、やばい、これぇ❤❤❤
ほら、もう射精寸前だろ？\nさっきまでアタシを追い詰めてたくせに、情けねえな❤,ほら、もう射精寸前だろ？\nさっきまでアタシを追い詰めてたくせに、情けねえな❤
こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの弾力たっぷりのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤,こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの弾力たっぷりのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤
谷間に搾り取られて逆転負けしな❤\nおっぱいマゾ男❤,谷間に搾り取られて逆転負けしな❤\nおっぱいマゾ男❤
あひぃっ・・❤❤,あひぃっ・・❤❤
はは、すげー出たな❤\n見ろよ、谷間がどろっどろだぜ？,はは、すげー出たな❤\n見ろよ、谷間がどろっどろだぜ？
あ？まだ生乳が見てえのか？\nエナジー搾られてるのにどんだけおっぱい好きなんだよ。\nそんな目で見ても見せねえからな。この変態❤,あ？まだ生乳が見てえのか？\nエナジー搾られてるのにどんだけおっぱい好きなんだよ。\nそんな目で見ても見せねえからな。この変態❤
あと５秒もすれば、胸がぽろってこぼれるかもな。\nアタシの生乳、見たいだろ？\nほらよ・・・❤,あと５秒もすれば、胸がぽろってこぼれるかもな。\nアタシの生乳、見たいだろ？\nほらよ・・・❤
あぐあっ❤❤あぎぃっ❤❤ああっ❤,あぐあっ❤❤あぎぃっ❤❤ああっ❤
こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの張りバツグンのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤,こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの張りバツグンのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤
は、カッコ悪い負け方だな❤\胸に夢中でシコシコオナニー。\n周りの女生徒達もくすくす笑ってるぜ。,は、カッコ悪い負け方だな❤\胸に夢中でシコシコオナニー。\n周りの女生徒達もくすくす笑ってるぜ。
勝てる勝負を胸に見惚れたせいで負けるとか、\nバカみてぇだな❤\nそんなに乳首見たかったか？くすくす❤,勝てる勝負を胸に見惚れたせいで負けるとか、\nバカみてぇだな❤\nそんなに乳首見たかったか？くすくす❤
あはは❤もう出したのか❤\nあたしのおっぱい最高に気持ちよかっただろ？\nズられて腰砕けになっちまったな。,あはは❤もう出したのか❤\nあたしのおっぱい最高に気持ちよかっただろ？\nズられて腰砕けになっちまったな。
誘惑を振り払って攻撃した,甩開誘惑並攻擊她
視線が釘付けになってしまった,視線完全移不開
