default
淫魔化キャロル,魅魔卡蘿兒
顔をおっぱいに埋めて～❤\nむにゅむにゅ～❤ぱふぱふ～❤\nあはぁ、一瞬でふにゃふにゃじゃん❤あたしの爆乳で蕩けちゃった？,顔をおっぱいに埋めて～❤\nむにゅむにゅ～❤ぱふぱふ～❤\nあはぁ、一瞬でふにゃふにゃじゃん❤あたしの爆乳で蕩けちゃった？
力全然入んないんでしょ？\nおっぱい好きだもんねー❤こんな爆乳押し付けられちゃったら、\nおっぱいで頭いっぱい❤攻撃とか防御とか考えられないよねー❤,力全然入んないんでしょ？\nおっぱい好きだもんねー❤こんな爆乳押し付けられちゃったら、\nおっぱいで頭いっぱい❤攻撃とか防御とか考えられないよねー❤
ほらほら、ぱふぱふ❤ぱふぱふ❤\n頭を何度もおっぱいで潰してあげてぇ、甘い匂いで包んであげる❤,ほらほら、ぱふぱふ❤ぱふぱふ❤\n頭を何度もおっぱいで潰してあげてぇ、甘い匂いで包んであげる❤
サキュバスに勝てない体になれるようにぃ、\nおっぱいでいっぱい教育してあげる❤\nぱふぱふ❤ぱふぱふ❤ぱふぱふ❤ぱふぱふ❤,サキュバスに勝てない体になれるようにぃ、\nおっぱいでいっぱい教育してあげる❤\nぱふぱふ❤ぱふぱふ❤ぱふぱふ❤ぱふぱふ❤
サキュバスになって前より二回りぐらい大きくなったからさぁ、\n頭挟んだら首のうしろまで包めちゃうんですけど❤\nきゃははおっぱいに飲み込まれて、しあわせそー❤,サキュバスになって前より二回りぐらい大きくなったからさぁ、\n頭挟んだら首のうしろまで包めちゃうんですけど❤\nきゃははおっぱいに飲み込まれて、しあわせそー❤
ぷぷっ、アンタの仲間たち、おっぱいに見惚れて、全員棒立ちだね❤\nマスターが攻められてるのに、わたしが歩けば揺れるおっぱいに釘付け\n❤お口ぽかーんって開けてて超まぬけなんですけど❤,ぷぷっ、アンタの仲間たち、おっぱいに見惚れて、全員棒立ちだね❤\nマスターが攻められてるのに、わたしが歩けば揺れるおっぱいに釘付け\n❤お口ぽかーんって開けてて超まぬけなんですけど❤
マスターくんもさぁ、\nさっきからわたしのおっぱい見てるよねぇ❤\nサキュバスになって超でかくなったこのおっぱい❤やっぱ気になる？,マスターくんもさぁ、\nさっきからわたしのおっぱい見てるよねぇ❤\nサキュバスになって超でかくなったこのおっぱい❤やっぱ気になる？
チンポギンギンだし、挟んでくれ～って言ってるようなもんだよね。\nえい❤むにゅー❤,チンポギンギンだし、挟んでくれ～って言ってるようなもんだよね。\nえい❤むにゅー❤
きゃは、挟んだだけで腰が抜けそうになってるじゃん❤\nいいよ～❤叩きつけるみたいにパイズリして、\n速攻とろけさせてあげる❤わたしのおっぱいで負けなよ、雑魚マスター❤,きゃは、挟んだだけで腰が抜けそうになってるじゃん❤\nいいよ～❤叩きつけるみたいにパイズリして、\n速攻とろけさせてあげる❤わたしのおっぱいで負けなよ、雑魚マスター❤
ああん、爆乳おもすぎ～❤\nこの重たーいおっぱい、チンポの上に叩きつけたげるよ❤\nうりゃ～❤ずしーん❤,ああん、爆乳おもすぎ～❤\nこの重たーいおっぱい、チンポの上に叩きつけたげるよ❤\nうりゃ～❤ずしーん❤
あは、押し付けられた途端に、あへぇって声上げて、\n地面にへたりこんじゃったね❤あんまり気持ちよすぎて、\nチンポびっくりしちゃったのかな～❤きゃはは雑魚チンポ～❤,あは、押し付けられた途端に、あへぇって声上げて、\n地面にへたりこんじゃったね❤あんまり気持ちよすぎて、\nチンポびっくりしちゃったのかな～❤きゃはは雑魚チンポ～❤
動けなくなって寝転んでるならぁ、後はパイズリし放題❤\nだっぷんだっぷんおっぱい動かしてぇ、\nアンタのエナジー根こそぎ奪い取ってあげる❤,動けなくなって寝転んでるならぁ、後はパイズリし放題❤\nだっぷんだっぷんおっぱい動かしてぇ、\nアンタのエナジー根こそぎ奪い取ってあげる❤
きゃは、アタシのおっぱいでイカせてほしいんだ❤\n自分から頼み込むとか、このヘンタイ❤,きゃは、アタシのおっぱいでイカせてほしいんだ❤\n自分から頼み込むとか、このヘンタイ❤
プライドも仲間もすてておっぱいに降伏しちゃって恥ずかしくないの？\nぷっ、そんなことよりチンポ気持ちよくなるほうが大事か❤\nザコってホント終わってるね❤,プライドも仲間もすてておっぱいに降伏しちゃって恥ずかしくないの？\nぷっ、そんなことよりチンポ気持ちよくなるほうが大事か❤\nザコってホント終わってるね❤
ほら、エナジー、さっさとよこしな？\nこの胸をたっぷり使って、速攻で搾り取ってやるよ❤,ほら、エナジー、さっさとよこしな？\nこの胸をたっぷり使って、速攻で搾り取ってやるよ❤
はい、瞬殺❤弱っちいチンポ、\nアタシのおっぱいに全然耐えられなかったね❤くすくす❤,はい、瞬殺❤弱っちいチンポ、\nアタシのおっぱいに全然耐えられなかったね❤くすくす❤
サキュバスになってデカくなったこの爆乳、\n最高に気持ちよかったでしょ？\nうわぁ、すっごくみっともない顔で死んでる❤,サキュバスになってデカくなったこの爆乳、\n最高に気持ちよかったでしょ？\nうわぁ、すっごくみっともない顔で死んでる❤
くす、脚に何か熱いのを感じるんだけど❤\nぱふぱふってされただけでこんなに射精しちゃったんだ。\nザーコ❤,くす、脚に何か熱いのを感じるんだけど❤\nぱふぱふってされただけでこんなに射精しちゃったんだ。\nザーコ❤
あううっ…❤我慢できない…❤,あううっ…❤我慢できない…❤
きゃは❤なになに～❤\nエロいポーズでおっぱい見せられて、\n我慢できなくなったわけ？,きゃは❤なになに～❤\nエロいポーズでおっぱい見せられて、\n我慢できなくなったわけ？
ちょっとおっぱい揺らして誘惑されただけなのに、ちょっろ❤\n男ってチンポでものを考えてるから、ほんと弱っちいよね❤,ちょっとおっぱい揺らして誘惑されただけなのに、ちょっろ❤\n男ってチンポでものを考えてるから、ほんと弱っちいよね❤
きゃは❤なになに～❤\nわたしのデカすぎるおっぱい見てたら、\n我慢できなくなったわけ？,きゃは❤なになに～❤\nわたしのデカすぎるおっぱい見てたら、\n我慢できなくなったわけ？
そんなに手を早く動かしてぐちゅぐちゅ扱いちゃってさー❤\nおっぱいをおかずにシコシコ❤今がどういう状況か分かってる？\nアンタたちサキュバスに食べられようとしてるんだよ？,そんなに手を早く動かしてぐちゅぐちゅ扱いちゃってさー❤\nおっぱいをおかずにシコシコ❤今がどういう状況か分かってる？\nアンタたちサキュバスに食べられようとしてるんだよ？
それなのにそんなに興奮するとか、バッカじゃないの？\nきゃはは❤脳みそ空っぽすぎでしょ❤,それなのにそんなに興奮するとか、バッカじゃないの？\nきゃはは❤脳みそ空っぽすぎでしょ❤
ううっ・・・❤くそぉ・・・❤,ううっ・・・❤くそぉ・・・❤
ねえねえ、このおっぱいがそんなに好き？\n大きいよね～、柔らかそうだよね～❤\n実際、触ったら超柔らかいんだよ❤,ねえねえ、このおっぱいがそんなに好き？\n大きいよね～、柔らかそうだよね～❤\n実際、触ったら超柔らかいんだよ❤
ほらぁ、あざとい感じにゆさゆさゆさって揺らしてあげる♪\nおっぱい揺れるの見て、もっとバカみたいに扱いていいよ～❤,ほらぁ、あざとい感じにゆさゆさゆさって揺らしてあげる♪\nおっぱい揺れるの見て、もっとバカみたいに扱いていいよ～❤
あうううっ、えろすぎる・・・❤\nあっ、あっ、ああっ❤❤,あうううっ、えろすぎる・・・❤\nあっ、あっ、ああっ❤❤
きゃはは❤おちんちん扱くの早すぎでしょ❤\nおっぱい揺れてるのに合わせて扱いて、気持ちいい？\nへんたーい❤,きゃはは❤おちんちん扱くの早すぎでしょ❤\nおっぱい揺れてるのに合わせて扱いて、気持ちいい？\nへんたーい❤
サキュバスのおっぱいだからぁ、\n揺れるたびにふわっていい匂いがするよねー❤\nおちんちんシコシコしながら嗅いだら、速攻で脳みそ天国行き❤,サキュバスのおっぱいだからぁ、\n揺れるたびにふわっていい匂いがするよねー❤\nおちんちんシコシコしながら嗅いだら、速攻で脳みそ天国行き❤
自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコシコ❤シコシコ❤,自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコシコ❤シコシコ❤
あはん、ほらもっとおっぱいの匂い嗅いでいいよ❤\n口からよだれを垂らしてるそのアホ面、\nもっともっと間抜けな顔にしなよ❤バーカ❤,あはん、ほらもっとおっぱいの匂い嗅いでいいよ❤\n口からよだれを垂らしてるそのアホ面、\nもっともっと間抜けな顔にしなよ❤バーカ❤
あうう、あううっ❤気持ちいいっ、ああっ❤❤,あうう、あううっ❤気持ちいいっ、ああっ❤❤
くす❤間抜けだバカだって言われているのに、うれしそうな顔❤\nサキュバスフェロモンで頭おかしくなってるのかな～。\nそれとも元からマゾなのかなー❤きもーい❤,くす❤間抜けだバカだって言われているのに、うれしそうな顔❤\nサキュバスフェロモンで頭おかしくなってるのかな～。\nそれとも元からマゾなのかなー❤きもーい❤
そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？,そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？
あはは❤死ぬかもって思っても、しこしこやめられないねー❤\nこのおっぱいに精液かけようと、必死になってしこしこしこしこ❤,あはは❤死ぬかもって思っても、しこしこやめられないねー❤\nこのおっぱいに精液かけようと、必死になってしこしこしこしこ❤
ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられろ❤,ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられろ❤
この谷間にぜんぶ投げ出しちゃえ❤マーゾ❤,この谷間にぜんぶ投げ出しちゃえ❤マーゾ❤
はひぃっ・・・❤,はひぃっ・・・❤
きゃは、見てよこの量❤\nわたしのおっぱいがどろどろ～❤\nほら、これをおっぱいで挟んでぐちゅぐちゅって潰してあげる❤,きゃは、見てよこの量❤\nわたしのおっぱいがどろどろ～❤\nほら、これをおっぱいで挟んでぐちゅぐちゅって潰してあげる❤
って、おっぱいで命をもぐもぐされて、興奮してるの？\nチンポビクビクさせちゃっててきもーい❤\n死にかけなのにこんなの見て興奮するとか、頭悪すぎでしょ❤,って、おっぱいで命をもぐもぐされて、興奮してるの？\nチンポビクビクさせちゃっててきもーい❤\n死にかけなのにこんなの見て興奮するとか、頭悪すぎでしょ❤
ううっ…❤我慢できない…❤,ううっ…❤我慢できない…❤
あはは、アンタもオナニーしちゃうんだ❤\nわたしのおっぱい凶悪すぎじゃない？\nどんどん男の子が勝手に負けていってウケるんだけど❤,あはは、アンタもオナニーしちゃうんだ❤\nわたしのおっぱい凶悪すぎじゃない？\nどんどん男の子が勝手に負けていってウケるんだけど❤
分かってるのかなー❤闘技場のお遊びバトルとは違うんだよ？\n負けたらそのまま吸い殺されちゃう、こわーいサキュバスとのバトル❤\nそれなのに、チンポをシコシコ❤シコシコ❤,分かってるのかなー❤闘技場のお遊びバトルとは違うんだよ？\n負けたらそのまま吸い殺されちゃう、こわーいサキュバスとのバトル❤\nそれなのに、チンポをシコシコ❤シコシコ❤
あー、そっかおっぱい見てたら頭バカになって、\n負けたらどうなるかとか、もう考えられないんだ❤\nおっぱいのことで頭がいっぱいなんでしょ？ほら・・・❤,あー、そっかおっぱい見てたら頭バカになって、\n負けたらどうなるかとか、もう考えられないんだ❤\nおっぱいのことで頭がいっぱいなんでしょ？ほら・・・❤
むぎゅうっておっぱい寄せて、アンタの顔に近づけてー・・・❤,むぎゅうっておっぱい寄せて、アンタの顔に近づけてー・・・❤
おっぱいゆさゆさゆさ～❤あはーん❤\nサキュバスになって大きくなったアタシのおっぱい❤\nたっぷり見て悩殺されろ❤ザーコ❤,おっぱいゆさゆさゆさ～❤あはーん❤\nサキュバスになって大きくなったアタシのおっぱい❤\nたっぷり見て悩殺されろ❤ザーコ❤
あうううっ、すごく揺れてぇ・・・❤\nあうっ、ああっ、いい匂いでっ❤ああっ❤❤,あうううっ、すごく揺れてぇ・・・❤\nあうっ、ああっ、いい匂いでっ❤ああっ❤❤
きゃはは❤おちんちん扱くのはやぁい❤\n男ってほんとバカばっかりだよね❤脂肪のかたまりがそんなに大事？\n死んでもいいからおっぱいに負けたいとか、アホすぎでしょ❤,きゃはは❤おちんちん扱くのはやぁい❤\n男ってほんとバカばっかりだよね❤脂肪のかたまりがそんなに大事？\n死んでもいいからおっぱいに負けたいとか、アホすぎでしょ❤
自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコっちゃう❤,自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコっちゃう❤
今だっておっぱいが揺れるのに合わせて、しこしこ、しこしこ、\n口からよだれを垂らしながら扱いてる❤\nきもすぎなんだけどその顔❤きゃははは❤,今だっておっぱいが揺れるのに合わせて、しこしこ、しこしこ、\n口からよだれを垂らしながら扱いてる❤\nきもすぎなんだけどその顔❤きゃははは❤
くすくす❤間抜け顔をバカにされたら、もっと扱くのが早くなった❤\nおっぱいに弱いうえにマゾなんだ～❤\nバカにされて喜んじゃうの？さらにきもーい❤,くすくす❤間抜け顔をバカにされたら、もっと扱くのが早くなった❤\nおっぱいに弱いうえにマゾなんだ～❤\nバカにされて喜んじゃうの？さらにきもーい❤
ほらぁ、そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？,ほらぁ、そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？
あはは❤死ぬかもって思っても、しこしこやめられない❤\nおちんちん気持ちいいもんね～❤\nこのおっぱいに精液かけたいもんね～❤,あはは❤死ぬかもって思っても、しこしこやめられない❤\nおちんちん気持ちいいもんね～❤\nこのおっぱいに精液かけたいもんね～❤
ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられちゃえ❤,ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられちゃえ❤
きゃは、見てよこの量❤\nアタシのおっぱいがどろどろ～❤みんな出しすぎでしょ❤\nそんなにおっぱいで死にたかったの？マーゾ❤,きゃは、見てよこの量❤\nアタシのおっぱいがどろどろ～❤みんな出しすぎでしょ❤\nそんなにおっぱいで死にたかったの？マーゾ❤
それじゃアンタの精液も\nおっぱいで挟んでぐちゅぐちゅに潰してあげる❤,それじゃアンタの精液も\nおっぱいで挟んでぐちゅぐちゅに潰してあげる❤
あはは、アンタもチンポビクビクさせちゃうんだ❤\nおっぱいで命を食べられて、よかったねー❤きもーい❤,あはは、アンタもチンポビクビクさせちゃうんだ❤\nおっぱいで命を食べられて、よかったねー❤きもーい❤
ちぇ、やるじゃん。この爆乳相手にここまで戦えるなんてびっくり。\nアンタ我慢強いんだねー。,ちぇ、やるじゃん。この爆乳相手にここまで戦えるなんてびっくり。\nアンタ我慢強いんだねー。
ていっても、アタシのおっぱいで攻められて、\nもうだいぶおっぱいの虜っしょ？\nなら、アタシの勝ち❤えいっ❤,ていっても、アタシのおっぱいで攻められて、\nもうだいぶおっぱいの虜っしょ？\nなら、アタシの勝ち❤えいっ❤
服を引っ張って谷間を見せつけてあげる❤\nアタシの超深ーい谷間に見惚れて、頭真っ白になりな？,服を引っ張って谷間を見せつけてあげる❤\nアタシの超深ーい谷間に見惚れて、頭真っ白になりな？
ぷぷっ、鼻の下延ばしちゃって間抜け面だね❤\nアンタの頭よりでかい爆乳の谷間だもん❤\nヤバいぐらいエロくて何も考えられなくなるでしょ？,ぷぷっ、鼻の下延ばしちゃって間抜け面だね❤\nアンタの頭よりでかい爆乳の谷間だもん❤\nヤバいぐらいエロくて何も考えられなくなるでしょ？
そのままガン見してなよ❤\n勝ちかけの勝負、おっぱいに見惚れて捨てちゃうの気持ちいいよ？\nきゃはは❤,そのままガン見してなよ❤\n勝ちかけの勝負、おっぱいに見惚れて捨てちゃうの気持ちいいよ？\nきゃはは❤
ぷっ❤完全にクギ付け❤\n1ミリも目をそらせないではぁはぁしちゃってさ❤\nバカ面すぎでしょ❤,ぷっ❤完全にクギ付け❤\n1ミリも目をそらせないではぁはぁしちゃってさ❤\nバカ面すぎでしょ❤
それじゃさっそく、アンタの脳みそおかしくしてあげる❤\nわたしの声を聞きながら、おっぱいガン見しな❤\nおっぱい催眠かけてやるよ❤,それじゃさっそく、アンタの脳みそおかしくしてあげる❤\nわたしの声を聞きながら、おっぱいガン見しな❤\nおっぱい催眠かけてやるよ❤
洗脳の乳揺れ,洗脳の乳揺れ
おっぱいの揺れを見てると、頭ボーっとしてくるよね❤\nそれはアンタの頭がおっぱいに埋められていってる証拠❤\n考える力をおっぱいに奪われていっているの❤,おっぱいの揺れを見てると、頭ボーっとしてくるよね❤\nそれはアンタの頭がおっぱいに埋められていってる証拠❤\n考える力をおっぱいに奪われていっているの❤
おっぱいが一回揺れるたびに、アンタの脳はどんどんバカになる❤\n理性だけじゃなくて思考能力も落ちていって、\n簡単な計算もできなくなる❤,おっぱいが一回揺れるたびに、アンタの脳はどんどんバカになる❤\n理性だけじゃなくて思考能力も落ちていって、\n簡単な計算もできなくなる❤
頭が悪くなると、何も自分で判断できなくなっちゃうんだよ❤\n自分で考えられないから、人の言いなりになっちゃうの❤,頭が悪くなると、何も自分で判断できなくなっちゃうんだよ❤\n自分で考えられないから、人の言いなりになっちゃうの❤
アンタの頭の中を埋めているおっぱいに、思考を支配されちゃう❤\n言いなりにならないようにしないといけないけど、\n頭空っぽだから抵抗できない❤,アンタの頭の中を埋めているおっぱいに、思考を支配されちゃう❤\n言いなりにならないようにしないといけないけど、\n頭空っぽだから抵抗できない❤
あう、あうう・・・❤おっぱい・・・❤ああっ・・・❤,あう、あうう・・・❤おっぱい・・・❤ああっ・・・❤
あは、いい感じに催眠がかかってきた❤\n目がとろーんってとろけて、口もあんぐり開いて、\nぷぷっ、メロメロなのが分かりやすすぎ❤,あは、いい感じに催眠がかかってきた❤\n目がとろーんってとろけて、口もあんぐり開いて、\nぷぷっ、メロメロなのが分かりやすすぎ❤
おっぱいを揺らされると気持ちいいよね❤\nおっぱいを揺らされるだけで何も考えられない❤\n支配されるのが気持ちよくて、なんでも言うことを聞きたくなる❤,おっぱいを揺らされると気持ちいいよね❤\nおっぱいを揺らされるだけで何も考えられない❤\n支配されるのが気持ちよくて、なんでも言うことを聞きたくなる❤
ほら、とどめだよ❤\nわたしが傷ついた分をドレインしながら、\nおっぱいで脳みそぶっ壊してあげる❤,ほら、とどめだよ❤\nわたしが傷ついた分をドレインしながら、\nおっぱいで脳みそぶっ壊してあげる❤
わたしのところに来ておっぱいに顔をうずめな❤\nあは、言う通りにできてえらいじゃん❤\nはい、ぎゅー❤,わたしのところに来ておっぱいに顔をうずめな❤\nあは、言う通りにできてえらいじゃん❤\nはい、ぎゅー❤
あはは、これでアンタはわたしのしもべ❤\n顔におっぱい押し付けただけで\nどぴゅどぴゅ射精しちゃってさ、ザーコ❤,あはは、これでアンタはわたしのしもべ❤\n顔におっぱい押し付けただけで\nどぴゅどぴゅ射精しちゃってさ、ザーコ❤
あはは、これでアンタはわたしのしもべ❤\nおっぱい揺らすだけで何でも言うこと聞いちゃう、\nバカなおっぱい奴隷の完成♪,あはは、これでアンタはわたしのしもべ❤\nおっぱい揺らすだけで何でも言うこと聞いちゃう、\nバカなおっぱい奴隷の完成♪
