default
ロリ巨乳サキュバス,羅莉巨乳魅魔
ねえ～❤おちんちん触ってぇ❤おねが～い❤\n自分の手でぎゅって握って、このおっぱいオカズにしちゃおうよー❤,ねえ～❤おちんちん触ってぇ❤おねが～い❤\n自分の手でぎゅって握って、このおっぱいオカズにしちゃおうよー❤
あん❤あん❤ってエッチな声出しながら、\nおっぱい揺らしてあげるよ～❤\nシコってシコって♪おにいさん❤ほらほら～❤,あん❤あん❤ってエッチな声出しながら、\nおっぱい揺らしてあげるよ～❤\nシコってシコって♪おにいさん❤ほらほら～❤
くす❤谷間から目が離せなくなっちゃうねー❤\nよわーいおちんちんに、ずくんずくんってエッチな光景が響いて、\nもう我慢してるのも苦しいんでしょ❤,くす❤谷間から目が離せなくなっちゃうねー❤\nよわーいおちんちんに、ずくんずくんってエッチな光景が響いて、\nもう我慢してるのも苦しいんでしょ❤
そのパンパンに張って破裂しちゃいそうなおちんちん、\n手で握ってしこしこしたら気持ちいいと思うな～❤\nほら見てぇ～❤,そのパンパンに張って破裂しちゃいそうなおちんちん、\n手で握ってしこしこしたら気持ちいいと思うな～❤\nほら見てぇ～❤
ゆさゆさゆさ❤サキュバスの乳揺れ誘惑だよー❤\nきゃはは❤手がぷるぷるしてる～❤\nシコって楽になっていいよ❤おにいさん❤,ゆさゆさゆさ❤サキュバスの乳揺れ誘惑だよー❤\nきゃはは❤手がぷるぷるしてる～❤\nシコって楽になっていいよ❤おにいさん❤
ほらほらぁ❤追加のおっぱい誘惑だよ～❤\nさっきはオナニー我慢したみたいだけど、\n何回も誘惑されたらもうおちんちん限界だよねー❤,ほらほらぁ❤追加のおっぱい誘惑だよ～❤\nさっきはオナニー我慢したみたいだけど、\n何回も誘惑されたらもうおちんちん限界だよねー❤
あ～ん❤おっぱい見てぇ❤おちんちん触ろ～❤おねが～い❤\n自分の手でぎゅって握って、この深～い谷間をオカズにしちゃおうよー❤,あ～ん❤おっぱい見てぇ❤おちんちん触ろ～❤おねが～い❤\n自分の手でぎゅって握って、この深～い谷間をオカズにしちゃおうよー❤
あん❤あん❤ってエッチな声出しながら、\nおっぱい揺らしてあげるよ～❤\nシコシコ気持ちよくなろ～、ねーおにいさん❤,あん❤あん❤ってエッチな声出しながら、\nおっぱい揺らしてあげるよ～❤\nシコシコ気持ちよくなろ～、ねーおにいさん❤
あは❤谷間から目が離せなくなっちゃうねー❤\n追加で谷間見せられて、よわーいおちんちんがびくびくびく❤\nもう我慢してるのも苦しいんでしょ❤,あは❤谷間から目が離せなくなっちゃうねー❤\n追加で谷間見せられて、よわーいおちんちんがびくびくびく❤\nもう我慢してるのも苦しいんでしょ❤
そのパンパンになったおちんちん、\n手で握ってしこしこしたら気持ちいいと思うな～❤\nほら見てぇ～❤,そのパンパンになったおちんちん、\n手で握ってしこしこしたら気持ちいいと思うな～❤\nほら見てぇ～❤
{自分}に誘惑されている！,{自分}に誘惑されている！
むぅー、我慢しちゃうんだ。\nあとちょっとでシコリそうだったのにな～❤,むぅー、我慢しちゃうんだ。\nあとちょっとでシコリそうだったのにな～❤
でも、そんな弱々おちんちんじゃ、\n負けるのは時間の問題だよね❤くすくす❤\n次何かされても我慢できるのかなー❤,でも、そんな弱々おちんちんじゃ、\n負けるのは時間の問題だよね❤くすくす❤\n次何かされても我慢できるのかなー❤
あっ、ああっ、もうむりっ❤おっぱい、おっぱいっ❤❤,あっ、ああっ、もうむりっ❤おっぱい、おっぱいっ❤❤
はひぃっ、きもちいいっ、あああっ❤❤,はひぃっ、きもちいいっ、あああっ❤❤
きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\n弱～い早漏チンポだと、自分の手でも\nそんな蕩けた顔になっちゃうんだ～❤,きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\n弱～い早漏チンポだと、自分の手でも\nそんな蕩けた顔になっちゃうんだ～❤
わたしのゆさゆさおっぱい見せられて、\n頭の中おっぱいでいっぱいだよねー❤\nあれ～、もう腰がカクカクってしてるよ？もしかして・・・❤,わたしのゆさゆさおっぱい見せられて、\n頭の中おっぱいでいっぱいだよねー❤\nあれ～、もう腰がカクカクってしてるよ？もしかして・・・❤
むり、むりぃっ、あっ、出るっ❤❤はひぃっ❤❤,むり、むりぃっ、あっ、出るっ❤❤はひぃっ❤❤
きゃは❤お兄さん、早ーい❤２０秒ぐらいで射精しちゃった❤\n早漏チンポだと長く楽しめなくて残念だねー❤,きゃは❤お兄さん、早ーい❤２０秒ぐらいで射精しちゃった❤\n早漏チンポだと長く楽しめなくて残念だねー❤
きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\n弱～い早漏チンポだと、やっぱりオナニーでも\nそんな蕩けた顔になっちゃうんだ～❤,きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\n弱～い早漏チンポだと、やっぱりオナニーでも\nそんな蕩けた顔になっちゃうんだ～❤
きゃはは❤おっぱいから目が離せないね～❤,きゃはは❤おっぱいから目が離せないね～❤
シコシコ❤シコシコ❤言われるだけで気持ちよくなっちゃう？,シコシコ❤シコシコ❤言われるだけで気持ちよくなっちゃう？
もう負けちゃお❤しこしこしこしこ❤どぴゅってしていいよ❤,もう負けちゃお❤しこしこしこしこ❤どぴゅってしていいよ❤
その調子、その調子❤おちんちん触ってどぴゅどぴゅ❤\nオナニー気持ちいいよ～❤,その調子、その調子❤おちんちん触ってどぴゅどぴゅ❤\nオナニー気持ちいいよ～❤
何回もおっぱい見せられて、もう負けちゃう？がんばれがんばれ～❤,何回もおっぱい見せられて、もう負けちゃう？がんばれがんばれ～❤
頭まっしろになっちゃえ❤ゆさゆさゆさ～❤,頭まっしろになっちゃえ❤ゆさゆさゆさ～❤
しこしこ、しこしこ❤触ったらぜったい気持ちいいよ❤,しこしこ、しこしこ❤触ったらぜったい気持ちいいよ❤
きゃはは❤おっぱいに夢中になってる～❤,きゃはは❤おっぱいに夢中になってる～❤
えへへ❤マスターにおっぱいゆさゆさされて攻撃やめちゃったねー❤\nそんなにおっぱい好きならぁ、\nわたしが気持ちよくしてあげる❤,えへへ❤マスターにおっぱいゆさゆさされて攻撃やめちゃったねー❤\nそんなにおっぱい好きならぁ、\nわたしが気持ちよくしてあげる❤
ほらぁ、マスターくんのおちんちんをー、\nおっぱいでぱっくん❤\n全部捕まえて、上下にずりずり～❤,ほらぁ、マスターくんのおちんちんをー、\nおっぱいでぱっくん❤\n全部捕まえて、上下にずりずり～❤
くすくす❤挟まれてきもちよさそーだねー❤\nうっとりしちゃってかわいい～❤,くすくす❤挟まれてきもちよさそーだねー❤\nうっとりしちゃってかわいい～❤
ほらほらぁ、もっと激しくしてあげるから、\nちびっこサキュバスのおっぱいに負けちゃお❤\nBランクとかおっぱいの前じゃ関係ないもんねー❤,ほらほらぁ、もっと激しくしてあげるから、\nちびっこサキュバスのおっぱいに負けちゃお❤\nBランクとかおっぱいの前じゃ関係ないもんねー❤
あ～あ～、あなたのマスター、攻撃指示止めちゃったね。\nこれってもう戦わなくていいよってことなのかな？,あ～あ～、あなたのマスター、攻撃指示止めちゃったね。\nこれってもう戦わなくていいよってことなのかな？
ねえ、マスターさんもそう考えてるなら、\nあなたもおっぱいに甘えていいんじゃない？\nこのぷるんってしたおっぱいに甘えてぇ、きもちよーくなるの❤,ねえ、マスターさんもそう考えてるなら、\nあなたもおっぱいに甘えていいんじゃない？\nこのぷるんってしたおっぱいに甘えてぇ、きもちよーくなるの❤
あはん❤谷間にくぎ付けになってる～❤\nそうだよねー❤戦えないなら、\n甘えたくなっちゃうよねー❤,あはん❤谷間にくぎ付けになってる～❤\nそうだよねー❤戦えないなら、\n甘えたくなっちゃうよねー❤
谷間揺らしてあげるからぁ、\nお顔、この中に飛び込んでおいで～❤顔を挟んで、ぱふぱふしてぇ、\nいっしょにおちんちんもシコシコしてあげるよ❤くすくす❤,谷間揺らしてあげるからぁ、\nお顔、この中に飛び込んでおいで～❤顔を挟んで、ぱふぱふしてぇ、\nいっしょにおちんちんもシコシコしてあげるよ❤くすくす❤
あはん❤おっぱい見てみて～❤\nわたしのおっぱいねー、顔よりおっきいんだよー❤,あはん❤おっぱい見てみて～❤\nわたしのおっぱいねー、顔よりおっきいんだよー❤
そのうえサキュバスのおっぱいってぇー、\nすべすべ柔らかでぇ、おちんちんに当たると\nぴとって吸い付いて、あっという間に気持ちよくさせちゃうの❤,そのうえサキュバスのおっぱいってぇー、\nすべすべ柔らかでぇ、おちんちんに当たると\nぴとって吸い付いて、あっという間に気持ちよくさせちゃうの❤
あは、今の聞いて戦う気力なくなっちゃったねぇ❤\nおっぱい大好きなお兄さんには、\nわたしのおっぱいは魅力的すぎちゃったかなぁ❤,あは、今の聞いて戦う気力なくなっちゃったねぇ❤\nおっぱい大好きなお兄さんには、\nわたしのおっぱいは魅力的すぎちゃったかなぁ❤
ほらぁ、動けなくなったお兄さんにおっぱいハグだよ～❤\nおっぱいむぎゅむぎゅで気持ちよくなっちゃえー❤,ほらぁ、動けなくなったお兄さんにおっぱいハグだよ～❤\nおっぱいむぎゅむぎゅで気持ちよくなっちゃえー❤
これで挟んでいいよねー？いいよねー？\nくすくす❤おちんちんぴくんってなって返事したぁ～❤\nほらぁ、おっぱいむぎゅむぎゅで気持ちよくなっちゃえー❤,これで挟んでいいよねー？いいよねー？\nくすくす❤おちんちんぴくんってなって返事したぁ～❤\nほらぁ、おっぱいむぎゅむぎゅで気持ちよくなっちゃえー❤
おちんちんにハグしちゃうね❤\nほら、お兄さんの体につかまって、おっぱい押し付け、ぎゅー♪,おちんちんにハグしちゃうね❤\nほら、お兄さんの体につかまって、おっぱい押し付け、ぎゅー♪
服の上から押し付けているのにぃ、\nむにゅうって当てられただけで頭の中まっしろになっちゃう❤\nこのまま服の中でおもらししちゃおっかー。くすくす❤,服の上から押し付けているのにぃ、\nむにゅうって当てられただけで頭の中まっしろになっちゃう❤\nこのまま服の中でおもらししちゃおっかー。くすくす❤
いやぁん❤お兄さん自分から腰をへこへこ始めちゃったぁ❤\nおっぱい大好きだもんねぇ❤おちんちんにこんなに押し付けられたら、\nおさるさんになっちゃうよねー❤,いやぁん❤お兄さん自分から腰をへこへこ始めちゃったぁ❤\nおっぱい大好きだもんねぇ❤おちんちんにこんなに押し付けられたら、\nおさるさんになっちゃうよねー❤
いいよぉ❤ぎゅって抱きついてあげるからぁ、\nみちみちおっぱいの中に、ぱんぱん♪ぱんぱん♪\nエッチな腰振りしちゃお～❤,いいよぉ❤ぎゅって抱きついてあげるからぁ、\nみちみちおっぱいの中に、ぱんぱん♪ぱんぱん♪\nエッチな腰振りしちゃお～❤
最後はおっぱいの中に、どぴゅー❤\nぜーんぶ出して、気持ちいいぃ、幸せぇってなるんだよ❤\nほら、ぱんぱん♪ぱんぱん♪きゃははは❤,最後はおっぱいの中に、どぴゅー❤\nぜーんぶ出して、気持ちいいぃ、幸せぇってなるんだよ❤\nほら、ぱんぱん♪ぱんぱん♪きゃははは❤
きゃは❤もうわたしたちにメロメロだぁー❤\nこんなちっちゃい女の子に捕まえられても、\nぜんぜん力入らないねー❤,きゃは❤もうわたしたちにメロメロだぁー❤\nこんなちっちゃい女の子に捕まえられても、\nぜんぜん力入らないねー❤
指で触られてるだけで気持ちよくなっちゃってぇ、\nおっぱいが近づいてきたら、脳みそとろーんってなって、\n頭からっぽ～❤わたしのこと好き？そっかー、ありがとー❤,指で触られてるだけで気持ちよくなっちゃってぇ、\nおっぱいが近づいてきたら、脳みそとろーんってなって、\n頭からっぽ～❤わたしのこと好き？そっかー、ありがとー❤
ほらほら、わたしからも好きぃってしてあげるねー❤\nパタパタ飛びながらキスしてぇ、\nピンってなったおちんちんを上からおっぱいでむぎゅぅ～❤,ほらほら、わたしからも好きぃってしてあげるねー❤\nパタパタ飛びながらキスしてぇ、\nピンってなったおちんちんを上からおっぱいでむぎゅぅ～❤
きゃはは、腰が跳ねてるぅー❤んっちゅ❤ちゅぱ❤\nほらぁ、がんばれ～❤腰をいっぱい振れば、\nおちんちん、おっぱいのもっと奥までズポズポできるよぉー❤,きゃはは、腰が跳ねてるぅー❤んっちゅ❤ちゅぱ❤\nほらぁ、がんばれ～❤腰をいっぱい振れば、\nおちんちん、おっぱいのもっと奥までズポズポできるよぉー❤
わたしの服、かわいいでしょー❤\nそこまでエッチじゃない服だけどぉー、サイズがちょっと小さくてぇ\nおっぱい大っきいから、こぼれちゃいそうになるんだー❤,わたしの服、かわいいでしょー❤\nそこまでエッチじゃない服だけどぉー、サイズがちょっと小さくてぇ\nおっぱい大っきいから、こぼれちゃいそうになるんだー❤
空をパタパタって飛んでたら、ほらぁ、あとちょっとでこぼれちゃう❤\nくすくす❤そんなにじーっと見て、乳首見たいの？\nえっちー❤,空をパタパタって飛んでたら、ほらぁ、あとちょっとでこぼれちゃう❤\nくすくす❤そんなにじーっと見て、乳首見たいの？\nえっちー❤
わたしにエナジーくれるなら、見せてあげよっかなー❤\nねー、おちんちん挟ませて❤挟ませて❤,わたしにエナジーくれるなら、見せてあげよっかなー❤\nねー、おちんちん挟ませて❤挟ませて❤
わたしおっぱい重たいからあんまり高く飛べないんだぁ。\nでも、でも、高く飛ばせるものならあるよ？,わたしおっぱい重たいからあんまり高く飛べないんだぁ。\nでも、でも、高く飛ばせるものならあるよ？
このおっぱいでおちんちんを挟んでぇ、ズリズリって\nこすってあげるとねぇ、どぴゅーって噴水みたいに射精しちゃうの❤\nすごい勢いで漏らしちゃうからぁ、よぉく飛ぶんだよ～❤,このおっぱいでおちんちんを挟んでぇ、ズリズリって\nこすってあげるとねぇ、どぴゅーって噴水みたいに射精しちゃうの❤\nすごい勢いで漏らしちゃうからぁ、よぉく飛ぶんだよ～❤
ねえ～、お兄さんのおちんちんでも試させて❤\nおっぱいズリズリでどれぐらい出しちゃうかなぁ❤\nほらぁ、挟んで捕まえて、左右交互にずりずりずり～❤,ねえ～、お兄さんのおちんちんでも試させて❤\nおっぱいズリズリでどれぐらい出しちゃうかなぁ❤\nほらぁ、挟んで捕まえて、左右交互にずりずりずり～❤
あは、もう攻撃する元気もないんだぁ❤\nわたしたちにメロメロにされてぇ、目にハートマーク浮かべちゃってるね❤,あは、もう攻撃する元気もないんだぁ❤\nわたしたちにメロメロにされてぇ、目にハートマーク浮かべちゃってるね❤
こうしてあげれば、もうイクまで逃げられないかなぁ❤\nお胸でお顔を捕まえて、ぱふぱふ❤ぱふぱふ❤\nやわらかおっぱいで、ぱふぱふ❤ぱふぱふ❤,こうしてあげれば、もうイクまで逃げられないかなぁ❤\nお胸でお顔を捕まえて、ぱふぱふ❤ぱふぱふ❤\nやわらかおっぱいで、ぱふぱふ❤ぱふぱふ❤
くすくす❤ぱふぱふってするたびに、おちんちんビクビク反応してる。\nここ、触ってほしい？\nでも、だーめ❤,くすくす❤ぱふぱふってするたびに、おちんちんビクビク反応してる。\nここ、触ってほしい？\nでも、だーめ❤
メロメロになりながらぁ、ぱふぱふだけでびゅーっておもらしさせてあげる❤\nわたしみたいなちびっこのぉ、サキュバスおっぱいに負けて、\nさわられないでおっぱい射精❤気持ちよーくおもらししよーね～❤,メロメロになりながらぁ、ぱふぱふだけでびゅーっておもらしさせてあげる❤\nわたしみたいなちびっこのぉ、サキュバスおっぱいに負けて、\nさわられないでおっぱい射精❤気持ちよーくおもらししよーね～❤
うわ、攻撃危ないなぁ。\nえいっ、攻撃をかわしてぇ、おっぱいでむぎゅー❤\n顔を捕まえちゃえば、前が見えなくて攻撃できないでしょ？,うわ、攻撃危ないなぁ。\nえいっ、攻撃をかわしてぇ、おっぱいでむぎゅー❤\n顔を捕まえちゃえば、前が見えなくて攻撃できないでしょ？
暴れちゃダメだよ？\nお胸をやさしく当てて、ぱふぱふ❤ぱふぱふ❤\n暴れる悪い子は、ぱふぱふ❤ぱふぱふ❤,暴れちゃダメだよ？\nお胸をやさしく当てて、ぱふぱふ❤ぱふぱふ❤\n暴れる悪い子は、ぱふぱふ❤ぱふぱふ❤
くすくす❤ぱふぱふってするたびに、どんどんおとなしくなっちゃうね。\nわたしみたいなちっちゃい子に捕まえられて、\n振り払えなくなっちゃうんだぁ❤,くすくす❤ぱふぱふってするたびに、どんどんおとなしくなっちゃうね。\nわたしみたいなちっちゃい子に捕まえられて、\n振り払えなくなっちゃうんだぁ❤
ねえ～❤このままびゅってするまで、わたしにぱふぱふされていよ？\ぜぇったい気持ちいいよ～❤\nねえ～おねがーい❤ぱふぱふ❤ぱふぱふ❤,ねえ～❤このままびゅってするまで、わたしにぱふぱふされていよ？\ぜぇったい気持ちいいよ～❤\nねえ～おねがーい❤ぱふぱふ❤ぱふぱふ❤
えー❤わたしにおねだりしちゃうんだ～❤\nおっきなおっぱい見てたら、気持ちよくしてほしくなっちゃった？,えー❤わたしにおねだりしちゃうんだ～❤\nおっきなおっぱい見てたら、気持ちよくしてほしくなっちゃった？
ロリコンさんはおちんちんとお顔。\nおっぱいでどっちを包んで欲しいのかな❤\nねぇねぇ❤教えて～❤,ロリコンさんはおちんちんとお顔。\nおっぱいでどっちを包んで欲しいのかな❤\nねぇねぇ❤教えて～❤
きゃは、おちんちんむにむにしてほしいの？\nいいよ～❤たくさんパイズリしてあげるから動かないでね❤,きゃは、おちんちんむにむにしてほしいの？\nいいよ～❤たくさんパイズリしてあげるから動かないでね❤
きゃは、わたしのおっぱいでぱふぱふってされたいんだ❤\nいいよ～❤たくさん顔を気持ちよくしてあげるから動かないでね❤,きゃは、わたしのおっぱいでぱふぱふってされたいんだ❤\nいいよ～❤たくさん顔を気持ちよくしてあげるから動かないでね❤
やぁん、白くて熱いのがいっぱい出たー❤\nわたしのおっぱいでおちんちん降参させられちゃったね❤,やぁん、白くて熱いのがいっぱい出たー❤\nわたしのおっぱいでおちんちん降参させられちゃったね❤
ずりずり、もみもみ、すっごく気持ちよかったでしょ❤\nきゃはは、とろとろのお顔で倒れ込んじゃった。\nしあわせそー❤ほかの人を裏切ってるのにねー。,ずりずり、もみもみ、すっごく気持ちよかったでしょ❤\nきゃはは、とろとろのお顔で倒れ込んじゃった。\nしあわせそー❤ほかの人を裏切ってるのにねー。
きゃはは❤ぱふぱふだけでイかされるの気持ちよかったね～❤\nおっぱいで顔をぱふぱふってするたびに、\nおちんちんふりふりしてて面白かったよ❤,きゃはは❤ぱふぱふだけでイかされるの気持ちよかったね～❤\nおっぱいで顔をぱふぱふってするたびに、\nおちんちんふりふりしてて面白かったよ❤
んーなになに？わたしのことが好き？\nくすくす❤おっぱいで顔を挟んだだけなのに、好きになっちゃったの？\nおにいさんちょろいんだねー❤かわいい～❤,んーなになに？わたしのことが好き？\nくすくす❤おっぱいで顔を挟んだだけなのに、好きになっちゃったの？\nおにいさんちょろいんだねー❤かわいい～❤
ううっ…❤おっぱい…❤,ううっ…❤おっぱい…❤
あは❤さっきは頑張って我慢したのに、\n自分のターンが回ってきたらシコシコ始めちゃった❤\nやっぱりおっぱいオカズにしたいって思っちゃったのかな～❤,あは❤さっきは頑張って我慢したのに、\n自分のターンが回ってきたらシコシコ始めちゃった❤\nやっぱりおっぱいオカズにしたいって思っちゃったのかな～❤
早漏にされて弱ーくなったお兄さんのチンポ、\n触ってほしそうにずーっとヒクヒクしてたもんね～❤\nそうやってぎゅって握ったら気持ちいいよね～❤くすくす❤,早漏にされて弱ーくなったお兄さんのチンポ、\n触ってほしそうにずーっとヒクヒクしてたもんね～❤\nそうやってぎゅって握ったら気持ちいいよね～❤くすくす❤
さっきは顔をぷいってそらされちゃったからな～。\nどうしようかな～、おっぱい見せないように手で隠しちゃおっかな～❤,さっきは顔をぷいってそらされちゃったからな～。\nどうしようかな～、おっぱい見せないように手で隠しちゃおっかな～❤
うそうそ。わたしとっても優しいから、\nいじわるしないでちゃーんと見せてあげるよ❤\,うそうそ。わたしとっても優しいから、\nいじわるしないでちゃーんと見せてあげるよ❤\
うわー❤オナニーしちゃってるー。\n小さい女の子の前にやってきて、おちんちんしこしこするなんて、\nへんたいさんだー❤,うわー❤オナニーしちゃってるー。\n小さい女の子の前にやってきて、おちんちんしこしこするなんて、\nへんたいさんだー❤
召喚されたばっかりなのに、すぐにオナニーしはじめちゃったね❤\nわたしのおっぱい、そんなにエッチだった？\nハァハァ言ってて、ちょっとこわーい❤,召喚されたばっかりなのに、すぐにオナニーしはじめちゃったね❤\nわたしのおっぱい、そんなにエッチだった？\nハァハァ言ってて、ちょっとこわーい❤
でもぉ、わたしとっても優しいから、\nへんたいさんにもちゃんとおっぱい見せてあげるよ～❤,でもぉ、わたしとっても優しいから、\nへんたいさんにもちゃんとおっぱい見せてあげるよ～❤
谷間がよーく見えるように、えい、前かがみ♪\nおっぱいが下に向かって、だぷんって動くの、見てみて～❤,谷間がよーく見えるように、えい、前かがみ♪\nおっぱいが下に向かって、だぷんって動くの、見てみて～❤
・・・うはぁっ❤,・・・うはぁっ❤
きゃは❤しこしこ早くなった❤\nわたしのおっぱいエッチだよね～❤\n上から下にだぷんって落ちたらね、そこからゆさって少し戻るの❤,きゃは❤しこしこ早くなった❤\nわたしのおっぱいエッチだよね～❤\n上から下にだぷんって落ちたらね、そこからゆさって少し戻るの❤
動きを見てたら、うわぁこんなにやわらかいんだ～って\n頭の中おっぱいのことでいっぱいになっちゃう❤\n手に持ったら重たそうで、気持ちよさそうだよねー。,動きを見てたら、うわぁこんなにやわらかいんだ～って\n頭の中おっぱいのことでいっぱいになっちゃう❤\n手に持ったら重たそうで、気持ちよさそうだよねー。
あはは、そんなにはぁはぁしながら手を動かして、\nこのおっぱいを自分の両手で揉んでるところ、想像しちゃった？,あはは、そんなにはぁはぁしながら手を動かして、\nこのおっぱいを自分の両手で揉んでるところ、想像しちゃった？
もしサキュバスおっぱいでそんなことしたら、\nぜったい手の平メロメロにされちゃうよ❤\n気持ちよすぎて手が離せなくなって・・・。,もしサキュバスおっぱいでそんなことしたら、\nぜったい手の平メロメロにされちゃうよ❤\n気持ちよすぎて手が離せなくなって・・・。
もう武器なんて持ちたくないよーって\n手の平が言うこと聞かなくなっちゃうの❤\nま、お兄さんの場合、最初から手が言うこと聞いてないみたいだけど❤,もう武器なんて持ちたくないよーって\n手の平が言うこと聞かなくなっちゃうの❤\nま、お兄さんの場合、最初から手が言うこと聞いてないみたいだけど❤
だってぇ、ただ目の前でふわふわ飛んでただけなのに、\nおっぱいに勝手に興奮しちゃって、\nおちんちんシコシコやめられないもんねー❤くすくす❤,だってぇ、ただ目の前でふわふわ飛んでただけなのに、\nおっぱいに勝手に興奮しちゃって、\nおちんちんシコシコやめられないもんねー❤くすくす❤
ねーねー、お兄さん、何の為にココにいるのかなぁ❤\nあ、おっぱい見るために来たんだっけ❤,ねーねー、お兄さん、何の為にココにいるのかなぁ❤\nあ、おっぱい見るために来たんだっけ❤
ち、ちがう・・・ちがうのにぃ・・・❤,ち、ちがう・・・ちがうのにぃ・・・❤
ちがわないよー❤\nその通りです～って言うなら目の前で飛んであげるのにな～❤,ちがわないよー❤\nその通りです～って言うなら目の前で飛んであげるのにな～❤
ほら❤飛ぶとおっぱいが大きいから揺れちゃうの❤\nあぁん、おっぱいが重たくてゆさゆさぁって大迫力❤\nでも、だめ～❤手で押さえつけて揺れるのストップしちゃう❤,ほら❤飛ぶとおっぱいが大きいから揺れちゃうの❤\nあぁん、おっぱいが重たくてゆさゆさぁって大迫力❤\nでも、だめ～❤手で押さえつけて揺れるのストップしちゃう❤
ああ・・・❤　おっぱい、おっぱい見たいですぅ・・・❤,ああ・・・❤　おっぱい、おっぱい見たいですぅ・・・❤
きゃはは、ちょろすぎ～❤\n簡単におねだりしちゃった❤\nもうおっぱいの事しか考えられないお猿さんだね❤,きゃはは、ちょろすぎ～❤\n簡単におねだりしちゃった❤\nもうおっぱいの事しか考えられないお猿さんだね❤
ほ～ら❤目の前で飛んであげるね❤\nぱたぱた、ぱたぱた。好きなだけおっぱい見て～❤,ほ～ら❤目の前で飛んであげるね❤\nぱたぱた、ぱたぱた。好きなだけおっぱい見て～❤
ゆさゆさだぷんだぷんって揺れて、\nお兄さんのこと悩殺しちゃうふか～い谷間❤\n見つめながらシコシコして～、好きな時に射精しちゃおうね❤,ゆさゆさだぷんだぷんって揺れて、\nお兄さんのこと悩殺しちゃうふか～い谷間❤\n見つめながらシコシコして～、好きな時に射精しちゃおうね❤
おっぱいフェチのロリコンさん❤はやくわたしのおっぱいに\n精液ちょうだぁーい❤\n勝手に負けて、わたしの体力回復させて～❤きゃはは♪,おっぱいフェチのロリコンさん❤はやくわたしのおっぱいに\n精液ちょうだぁーい❤\n勝手に負けて、わたしの体力回復させて～❤きゃはは♪
はぁ❤　はぁ、はぁ❤　はぁ、うっ❤,はぁ❤　はぁ、はぁ❤　はぁ、うっ❤
やぁん、たっぷり谷間にかかってる～❤\nおっぱいオカズにシコシコ射精❤\nもう死んじゃってもいいってぐらい興奮しちゃった？,やぁん、たっぷり谷間にかかってる～❤\nおっぱいオカズにシコシコ射精❤\nもう死んじゃってもいいってぐらい興奮しちゃった？
