default
モス,飛蛾娘
きゃっ、すっごいたくさん出た❤手の平がべとべとだよ。,呀啊，射的量好驚人喔，我手心都年年的呢。
ふふ、これでバトルも終わりだね。オナニーするの完全に好きになっちゃったんでしょ？次もまたわたしで負けていいよ、マスターさん❤,嗯哼哼，這麼一來對戰就結束了呢。是不是已經有在我面前自慰的性癖了呢？下次也這樣輸給我吧，卡片玩家。
ふふ、これでバトルも終わりだね。こんな負け方でほんとによかったの？あんまりオナニーばっかりで負けちゃうとへんな癖ついちゃうよ、マスターさん❤,嗯哼哼，這麼一來對戰就結束了呢。這種敗北方式是不是很舒服呢？下次也這樣子做說不定會變成性癖喔，卡片玩家。
エナジーのおかげで体力も全回復。マスターを裏切ったオナニー気持ちよかったかな？くすくす❤,多虧有你的能量我的體力完全回復了。背叛主人的自慰很舒服對不對？嗯哼哼。
あなたたちみんなオナニーばっかりだね。わたしみたいな雑魚モンスター相手に興奮しちゃうなんて、みっともないんじゃないかな。くすくす❤,你們都只會自慰耶。竟然會因為我這種弱小怪獸卡兒興奮，真是難看呢。嗯哼哼。
お目目がとろーんとしてきてる。シコシコしてるうちに、わたしの毒粉がおちんちんにもいっぱい付いちゃったのかな？,眼神都完全發情了呢。因為你在自慰的關係，鱗粉還會塗抹到你的小雞雞上喔。
だから、おちんちんもいつもよりとっても気持ちいいでしょ？こんなに気持ちいいとシコシコ止まらなくなっちゃうね❤,所以小雞雞變得比平常還舒服對不對？舒服成這樣的話自慰根本就停不下來呢。
あなたも自分からおちんちんシコシコして負けちゃうんだ。くすくす❤,你也自己手淫自己小雞雞然後輸掉了呢。嗯哼哼。
頑張って我慢してれば、わたしの手でシコシコしてもらえたのに、もったいない。ほら…。,明明只要忍耐住的話，我就會用手幫你做的說，好可惜喔。你看……。
あなたにも手で筒を作って見せてあげる。,我現在正把手做成筒狀給你看喔。
でもあなたは、放っておいても自分から負けちゃっうみたいだから、わざわざシコシコしてあげない。残念だったね。くすくす❤,但是你卻是一個只要放著不管就會輸掉的廢物，所以不幫你做喔。好可惜喔。嗯哼哼。
あううっ・・・。,啊嗚嗚……。
笑われて興奮してるね。いいよ。そのまま恥ずかしい自爆お漏らししちゃおうね。ほら、びゅー・・・❤,被嘲笑後就興奮起來了呢。可以喔。你就這樣丟人的自爆洩出來吧。放棄抵抗射吧……。
エナジーのおかげで体力がまた全回復。マスターを裏切ったオナニー気持ちよかったかな？くすくす❤,多虧你的能量讓我的體力完全回復了呢。背叛主人的自慰還舒服嗎？嗯哼哼。
あうっ…。このままじゃ負けちゃう…。,啊嗚……。要輸掉了啦……。
こうなれば、えいっ！,既然這樣那我，嘿呀！
えへへ、わたしに後ろから抱き着かれた感触はどうかな？おっぱい、そんなに大きくないけど気持ちいい？,欸嘿嘿，被我從背後抱住的觸感怎麼樣？雖然我胸部沒有很大但是很舒服對吧？
今からあなたの乳首をいじりながら、もう片方の手でおちんちんをしごいてあげるね。,接下來我要摸你的乳頭，同時另外一隻手摸你小雞雞喔。
とっても気持ちいいから、逃げちゃダメだよ？,因為非常舒服，所以不可以抵抗喔。
きゃあっ…！ううっ、やっぱり無理かぁ…。,呀啊……！嗚嗚，果然不行呢……。
ふふ、抵抗しないってことは、シコシコしていいってことだよね？それじゃあまず乳首を指で触って…。,啊，你的意思是我可以手淫你嗎？那麼我開始摸乳頭嘍。
くりくりくりっ…❤,手指在你的乳頭上打轉……
あううっ…❤,啊嗚嗚……。
あは、腰が跳ねてる。これぐらいの刺激でそんなに反応するなんて、期待しちゃってるの？,啊哈，你的身體顫抖起來了呢。這點程度的刺激就讓你反應這麼大，是不是很期待呢？
ほら、元気なおちんちんをこの手で握って…。シコシコー❤,那麼，接著我的手要握住你興奮跳動的小雞雞喔……。
はひぃっ…❤,哈咿……。
どうどう？気持ちいい？わたしの手袋手コキ、すべすべでとってもいいでしょ？,怎麼樣怎麼樣？是不是很舒服呢？我的手套手交是不是觸感滑嫩很舒服呢？
さっきまで頑張って戦ってたけど、こうやって乳首コリコリされながらシコシコされたら全部どうでもよくなっちゃうね。,剛才明明還在努力戰鬥，但是一旦被人同時摸乳頭跟手淫小雞雞後就受不了了呢。
おちんちん気持ち良くって、しゅっしゅっしゅってやるたびに、体中が快感でしびれちゃう。,小雞雞每次被搓動時，整個肉體都會流過一次快感。
おちんちんから白いの出すこと以外、考えられなくなっちゃうね。くすくす❤,變得只能想著讓小雞雞射出白白的東西了呢。嗯哼哼。
あっ、ああっ…❤もうだめっ…❤,啊、啊啊……要不行了……
あは、我慢できない？もう出ちゃう？,啊哈哈，要忍不住了？要射出來了？
いいよ。いっちゃえ。わたしの手に負けて、乳首いじられながら手コキで射精しちゃえ。,可以喔。射精吧。敗給我的手，在被摸乳頭手交的狀況下射精吧。
んふふ❤手がべとべとになるぐらい出しちゃったね。,嗯哼哼，射得我滿手都黏黏的。
わたしの逆転勝利。最後は結局おちんちん握られて負けちゃうんだもん。男の人ってかわいい。,這是我的逆轉勝利呢。你只要被人握住雞雞就輸了呢。男人真的好可愛喔。
オナニー気持ちよかった？わたしのマスターの大勝利♪,自慰的感覺舒服嗎？這是我主人的勝利呢。
脚にたくさん出して負けちゃったね。ふふふ、下級モンスターのわたしに負けるなんて、カッコ悪い❤,在我的大腿下射出這麼多然後輸掉了呢。嗯哼哼，敗給我這種下級怪獸真是好遜喔。
手でシコシコされるの気持ちよかった？これでわたしたちの勝ちだね。ふふふ。,被我手淫的感覺很舒服嗎？那麼就是我跟我主人的勝利喔。嗯哼哼。
おっぱいがべとべと…。これぐらいの大きさのおっぱいにも負けちゃうなんて、まだまだ修行が足りないんじゃない？ふふふ❤,我的胸部都黏黏的……。被這種大小的胸部給弄到射，看來你的修行還不構呢。嗯哼哼。
Fランクのカードマスターが使う女性モンスターに敗れた僕は、街頭の地面に横たわっていた。,敗給Ｆ階的女性卡片玩家的女性怪獸，躺在大街上的地面上。
大丈夫ですか？エナジーをうちの子に吸われちゃったから、立てなくなっちゃったみたいですね。,沒事吧？好像是被我家的怪獸卡吸走能量的關係，所以才會站不起來的樣子。
サキュバスが吸ったわけではないので、３０分もすれば立てるようになると思いますが、少し休んでいてください。,因為不是被魅魔吸的關係，只要過３０分鐘左右應該就能起身了。
ねえマスター、わたしもっとエナジー吸いたいんだけど、いい？,主人主人，我還想吸能量可以嗎？
ほら、この人のおちんちんもまだ勃っているし、気持ちいいことしてほしそうだよ？,妳看嘛，這個人的小雞雞還是勃起的，他還想要我幫他做不是嗎？
そういうとモスは僕のペニスを握り、軽く上下に扱いてきた。僕は身動きできない状態でその快楽に、腰を跳ねさせてしまう。,然後飛蛾娘握住我的陰莖慢慢上下套弄。我在無法動彈的狀況下感受到這種快感，身體只能無意識得顫抖起來。
ううん…。その辺のマナーって街だとどうなっているんでしょう。うちの村だと勝負が終わったら余計なことはしちゃダメって決まりでしたけど…。,嗯……。我不太清楚這座城市的習慣是怎麼樣呢。在我們村子是對戰結束後不可以這麼做。
本人が望むのならいいんでしょうか。ねえ、あなたはどうされたいですか？,但是如果對方想要的話就可以。所以，你想要怎麼樣呢？
分かりました。それなら、今回のバトルはこれで終わりですね。,我知道了。那麼這次的對戰就這樣結束了。
そうですか。それじゃあ、お言葉に甘えて、ちょっとうちの子にエナジー分けてもらいますね。,這樣啊。那麼感謝你的好意，就讓這孩子吸你的能量吧。
わたしはあっちのベンチで休憩してますから、あとはこの子に任せます。,我去那邊的長椅上等，接著就讓她主導了。
カードマスターの少女は僕とモスを置いて、近くのベンチへと歩いて行った。,卡片玩家少女留下我跟飛蛾娘，走到附近的長椅上。
えへへ。いただきまーす。,欸嘿嘿。我開動了。
まずは下準備からだね。知ってる？たっぷり興奮させてあげた方がエナジーっておいしくなるんだよ。,首先是前戲。知道嗎？男生興奮起來射出的能量會比較好吃喔。
ほら、あなたのお顔をむぎゅーって抱きしめて…❤,我把你的臉緊緊抱在胸前……。
はぅうう…❤,哈嗚嗚嗚……。
うふふ。おっぱいの甘い匂いとわたしの鱗粉、いっぱい吸い込んでいいよ。,嗚呼呼。把我胸部的香味跟我的鱗粉都吸入體內吧。
クンクンしている間に、あなたのエナジー、どんどん精液に溶け込んでいくからね。,就在你聞我的時候，你的能量會不斷融入精液當中呢。
ほら…。おちんちん痛いぐらいに勃起してきた。今から気持ちいいことしてもらえるからって準備万端になっちゃったね。くすくす❤,啊呀……。小雞雞勃起的樣子好像很難受呢。這是已經準備好要被女孩子摸到很舒服了呢。嗯哼哼。
モスは勃起したペニスをからかうように、つんつんと指でつついてくる。たまらなく興奮しているのに、焦らすようなもどかしい刺激で腰が動いてしまう。,飛蛾娘輕輕戳我的陰莖，就好像在逗弄他一樣。明明我已經興奮到受不了了，但她卻故意用輕柔的刺激讓我的身體忍不住顫抖起來。
んふふ、さっきまで戦ってた女の子におちんちんツンツンされて、気持ちよくなっちゃってるの？ヘンタイ❤,嗯哼哼，被剛才戰鬥過的女孩子虐待小雞雞很舒服對不對？變態。
そんなに弱いおちんちんだと、きっとこの先も私に負けちゃうよ？ほら、手で捕まえてー…。,這麼弱的小雞雞，一定又會敗給我吧。我的手要抓住你了喔……。
しこしこー❤,嗯哼哼。
あっ、ああっ…❤これぇ、気持ちいいっ…❤,啊、啊啊……感覺、好舒服……
あはは、面白いぐらい体がのけぞっちゃってるね。でも、鱗粉を吸い込んで痺れたその体じゃ、逃げることもできないでしょ？,啊哈哈，你的身體拱得好奇怪喔。但是，吸入鱗粉而麻痺的身體已經逃不掉了喔。
ビクンビクンっていもむしみたいに体を動かすのが精一杯。これじゃ、どっちが虫のモンスターだか分からないぐらいだよ。くすくす❤,你只能像毛毛蟲一樣蠕動著身體。已經分不出來誰才是昆蟲怪獸了呢。嗯哼哼。
ううっ…❤あうぅっ…❤,嗚嗚……啊嗚嗚……。
あなたもわたしのマスターみたいに、ギルドで頑張ろうって思ってこの大会に参加したんだよね？それなのに、こんな変態なことしてていいのかな？,你也跟我的主人一樣，是想在公會內工作才能參加大會的不是嗎？那麼在這種地方做這種變態事情可以嗎？
敵モンスターの女の子に上に乗られて、にやにや馬鹿にされて、それなのにおちんちん気持ちよくて喘いでる。こんな経験したらもう他の女モンスターにも勝てないんじゃない？,被敵對女性怪獸騎在身上，被她嘲笑小雞雞還會舒服甚至開始嬌喘起來。體驗過這種感覺後你會變得贏不了女性怪獸喔。
ねえ、どう思う？しこしこされた気持ちよさを忘れて、これからはちゃんと戦えそう？,如何啊？要不要把被女孩子摸雞雞的感覺給忘掉，從此以後認真對戰呢？
あっ…❤あひぃっ…❤ああっ…❤,啊……啊咿……啊啊……。
ふふ、自分から扱いてもらうことを選んだ時点で、もう無理かな？,嗯哼哼，打從你會自己摸小雞雞的時候就已經不可能了呢。
女の子モンスターの気持ちよさにはまって、どうにもならなくなっちゃうかな？くすくす❤,被女性怪獸用快感誘惑住以後，已經怎麼做都無法掙脫了呢。嗯哼哼。
ほら、イっちゃっていいよ。わたしの手に気持ちいいのいっぱい出して、エナジー吸われちゃお？,欸，可以射了喔。在我的手中舒服得射很多很多精液出來，讓我吸乾你的能量吧。
はひぃっ…❤だめっ…❤あああっ…❤,哈咿……不行……啊啊啊……
はうぅぅ…❤気持ちいいぃ…❤,哈嗚嗚嗚……好舒服喔……
あは、いっぱい出したね。服がべとべとになっちゃった。,啊哈，射了好多出來喔。我的衣服都被射了一堆黏黏的液體呢。
でも、まだ終わりじゃないよ。気絶するまでたっぷり搾り取ってあげる。,但是這還沒結束喔。我要把你榨到你昏過去為止。
しこしこ、しこしこ❤,所以繼續手淫你喔。
はひぃっ・・・・❤,哈咿……。
んふふ、おいしかったー。,嗯哼哼，味道真好呢。
それじゃまたねー。今度はわたしのマスターに勝てるといいね？くすくす❤,那麼再見喔。要是下次你能打贏我的主人就好了呢。嗯哼哼。
こうして僕は、エナジーをたっぷり吸い取られ、その日のバトルを終えたのだった…。,就這樣，我的能量被大量吸盡後，只能結束當天的對戰行動……。
優しいふわふわ手コキ,溫柔的手交
ふんわり控えめパイズリ,不大的胸部乳交
抱き着きふとももコキ,擁抱腿交
なんでも,怎樣都可以
振り払ってとどめを刺した,甩開並擊倒她
体から力を抜いてしまった,沒力抵抗了
もっと搾りとられたい…,想要繼續被榨…
次の戦いもあるので解放してほしい,因為還要對戰希望能放過自己
