default
お嬢様サキュバス,千金魅魔
ちょっと何期待してるのよ。足の下で固くなっているじゃない。\nなに？小さい女の子に踏まれて興奮しちゃう変態なの？\nこうやって股間をぐりぐりぐり❤ってされるのがうれしいんだ？,ちょっと何期待してるのよ。足の下で固くなっているじゃない。\nなに？小さい女の子に踏まれて興奮しちゃう変態なの？\nこうやって股間をぐりぐりぐり❤ってされるのがうれしいんだ？
くすくす❤それならたっぷり踏んであげる❤\n身分が上の存在に、卑しいものを踏みつぶしてもらえること、\n感謝しなさい、平民❤,くすくす❤それならたっぷり踏んであげる❤\n身分が上の存在に、卑しいものを踏みつぶしてもらえること、\n感謝しなさい、平民❤
わたしの胸じゃパイズリはできないわ…。\nでもこのすべすべのドレスに擦り付けながら、手コキしてあげると\nとっても気持ちいいのよ❤,わたしの胸じゃパイズリはできないわ…。\nでもこのすべすべのドレスに擦り付けながら、手コキしてあげると\nとっても気持ちいいのよ❤
ほら、先っぽをおっぱいに押し付けながら、\n根元をシコシコシコ♪\nおっぱいの感触、少しは感じるかしら？,ほら、先っぽをおっぱいに押し付けながら、\n根元をシコシコシコ♪\nおっぱいの感触、少しは感じるかしら？
ふふ、明らかに喜んでるわね❤\nちっちゃいおっぱいでもいいなんて、見境がないのね。この変態❤\n目をハートにして小さい手にされるがまま。,ふふ、明らかに喜んでるわね❤\nちっちゃいおっぱいでもいいなんて、見境がないのね。この変態❤\n目をハートにして小さい手にされるがまま。
いいわよ。出しなさい❤\n胸に向かって射精することを許してあげる。\n精液は吸収できるから服も汚れないし、胸にかけなさい。ロリコン❤,いいわよ。出しなさい❤\n胸に向かって射精することを許してあげる。\n精液は吸収できるから服も汚れないし、胸にかけなさい。ロリコン❤
手で根元をいじめながら、\n先っぽをなめてあげるわ。,手で根元をいじめながら、\n先っぽをなめてあげるわ。
男ってバカだから、こうやって上目遣いで舐めてあげると、\n勝手にわたしのこと好きになって、快感に弱くなるの。\nんっちゅ❤れぇろ❤えろれろ～❤,男ってバカだから、こうやって上目遣いで舐めてあげると、\n勝手にわたしのこと好きになって、快感に弱くなるの。\nんっちゅ❤れぇろ❤えろれろ～❤
ねえ、あなたもわたしのこと守ってあげたいとか思っちゃった？\nくすくす❤そのチンポの動きが返事代わりね。\n根元をシコりながら、ほらもっと好きになれ、先っぽに、んっちゅ❤,ねえ、あなたもわたしのこと守ってあげたいとか思っちゃった？\nくすくす❤そのチンポの動きが返事代わりね。\n根元をシコりながら、ほらもっと好きになれ、先っぽに、んっちゅ❤
アナタなんか足で十分よ。足で。\n手で触らなくても、両足で挟んで扱いてあげれば、\nすぐ喘いでイっちゃうでしょ？,アナタなんか足で十分よ。足で。\n手で触らなくても、両足で挟んで扱いてあげれば、\nすぐ喘いでイっちゃうでしょ？
ふふ、目にハートを浮かべて完全に無抵抗❤\n足で挟んで、激しく上下に、しゅこしゅこしゅこ❤\n強い快感で速攻でイかせてあげるわ❤,ふふ、目にハートを浮かべて完全に無抵抗❤\n足で挟んで、激しく上下に、しゅこしゅこしゅこ❤\n強い快感で速攻でイかせてあげるわ❤
え？そんなことないって？\nふふ、ならその自信へし折ってあげる。\n服の上からでいいいわ。足で挟んで、ほら、すりすりすり・・❤気持ちよくなっちゃえ❤,え？そんなことないって？\nふふ、ならその自信へし折ってあげる。\n服の上からでいいいわ。足で挟んで、ほら、すりすりすり・・❤気持ちよくなっちゃえ❤
くす、魅了されてもうふらふらね。\nあなたなんて投げキッスで十分。,くす、魅了されてもうふらふらね。\nあなたなんて投げキッスで十分。
わたしのこと好きになっていいわよ。\nんっちゅっぱ❤,わたしのこと好きになっていいわよ。\nんっちゅっぱ❤
あん、攻撃なんて野蛮なことはやめなさい。\nほら、スカートをゆっくりめくって・・・。チラ❤,あん、攻撃なんて野蛮なことはやめなさい。\nほら、スカートをゆっくりめくって・・・。チラ❤
くす❤わたしみたいな小さい女の子パンツでも、気になっちゃうのね❤\n手が止まって目が釘付けだわ❤,くす❤わたしみたいな小さい女の子パンツでも、気になっちゃうのね❤\n手が止まって目が釘付けだわ❤
ねえその止めた手、武器なんて捨てて、\n自分のチンポを握ったらいかが？わたしの高貴な下着を見て、\nロリコンマゾオナニー❤きっと気持ちいいわよ？,ねえその止めた手、武器なんて捨てて、\n自分のチンポを握ったらいかが？わたしの高貴な下着を見て、\nロリコンマゾオナニー❤きっと気持ちいいわよ？
ううっ・・・❤,ううっ・・・❤
うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったんでしょ。\nいいわよ、わたしを守ることを許してあげる❤,うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったんでしょ。\nいいわよ、わたしを守ることを許してあげる❤
うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったの？,うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったの？
マスターを裏切らせちゃうなんて、わたしが可愛すぎるのも罪ね❤\nいいわよ、わたしを守ることを許してあげる❤,マスターを裏切らせちゃうなんて、わたしが可愛すぎるのも罪ね❤\nいいわよ、わたしを守ることを許してあげる❤
さあ、そこにかしづきなさい❤\nこれは叙勲代わりの刻印♪\nあなたの額に、んっちゅ❤,さあ、そこにかしづきなさい❤\nこれは叙勲代わりの刻印♪\nあなたの額に、んっちゅ❤
はひっ・・・❤お嬢さま・・・❤お守りします・・・❤,はひっ・・・❤お嬢さま・・・❤お守りします・・・❤
くすくす❤頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜい身を粉にしてわたしに尽くしなさい❤,くすくす❤頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜい身を粉にしてわたしに尽くしなさい❤
あら、あなたもわたしの騎士になりたいの？\nくすくす❤人気者で困っちゃう❤\nいいわよ、わたしを守ることを許してあげる❤,あら、あなたもわたしの騎士になりたいの？\nくすくす❤人気者で困っちゃう❤\nいいわよ、わたしを守ることを許してあげる❤
うふふ、頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜいあなたも、身を粉にしてわたしに尽くしなさい❤,うふふ、頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜいあなたも、身を粉にしてわたしに尽くしなさい❤
なに？さっきダメって言ったのが聞こえなかったの？\nこのバカ犬。,なに？さっきダメって言ったのが聞こえなかったの？\nこのバカ犬。
性欲に脳をやられて、動物以下の思考力になってるのかしら。\nまったく男ってこれだから嫌よね。,性欲に脳をやられて、動物以下の思考力になってるのかしら。\nまったく男ってこれだから嫌よね。
ご褒美が欲しければ、きちんと働くのよ。それぐらい犬でも分かるわ。\nほら・・・❤,ご褒美が欲しければ、きちんと働くのよ。それぐらい犬でも分かるわ。\nほら・・・❤
あなたの額にもっと服従の証を刻んであげたわ。\nさっさと同士討ちでもなんでもしてわたしに尽くしなさい。\nわたしの騎士として、ね❤くすくす❤,あなたの額にもっと服従の証を刻んであげたわ。\nさっさと同士討ちでもなんでもしてわたしに尽くしなさい。\nわたしの騎士として、ね❤くすくす❤
ふふ❤なに？\nマスター自らわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤,ふふ❤なに？\nマスター自らわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤
モンスターの守りをすり抜けて攻撃できるわたしの能力。\nでも、それを使う必要もなかったわ❤\nだってわたしの元に自分で攻撃を受けに来ちゃうんですもの❤,モンスターの守りをすり抜けて攻撃できるわたしの能力。\nでも、それを使う必要もなかったわ❤\nだってわたしの元に自分で攻撃を受けに来ちゃうんですもの❤
わたしみたいな小さな女の子に、\n必死にぺこぺこして快楽をねだって、とってもみじめだわ❤\nチンポに脳みそ支配された存在って、本当にあわれ❤,わたしみたいな小さな女の子に、\n必死にぺこぺこして快楽をねだって、とってもみじめだわ❤\nチンポに脳みそ支配された存在って、本当にあわれ❤
ふふ❤なに？\nわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤,ふふ❤なに？\nわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤
でもダメよ。あなたはわたしの騎士なんでしょう？\nそれなら最後までわたしの盾として働きなさい❤,でもダメよ。あなたはわたしの騎士なんでしょう？\nそれなら最後までわたしの盾として働きなさい❤
あはは❤泣きそうな目をしちゃってかわいそう❤\nそんなにわたしに気持ちよくされたいのね。\nけれどダメなものはダメ❤アナタは黙って服従なさい、ふふふ❤,あはは❤泣きそうな目をしちゃってかわいそう❤\nそんなにわたしに気持ちよくされたいのね。\nけれどダメなものはダメ❤アナタは黙って服従なさい、ふふふ❤
それじゃあ特別に快楽を与えてあげる❤\n対価はあなたの命よ❤わたしにエナジーすべて寄越しなさい❤,それじゃあ特別に快楽を与えてあげる❤\n対価はあなたの命よ❤わたしにエナジーすべて寄越しなさい❤
ふふ、これでおしまいよ。え？イクまでしてくれないのかって？\n何言ってるのよ。アナタはわたしの騎士になったんでしょ？\nそれなら、アナタは生かしておかないとダメじゃない。,ふふ、これでおしまいよ。え？イクまでしてくれないのかって？\n何言ってるのよ。アナタはわたしの騎士になったんでしょ？\nそれなら、アナタは生かしておかないとダメじゃない。
射精しそうなチンポ抱えながら、せいぜいわたしに尽くしなさい❤\nわたしのために動けば動くほど、その額の証が、\nあなたを気持ちよくしてくれるわ。うふふふ❤,射精しそうなチンポ抱えながら、せいぜいわたしに尽くしなさい❤\nわたしのために動けば動くほど、その額の証が、\nあなたを気持ちよくしてくれるわ。うふふふ❤
ふふ❤手で少しかわいがってあげただけでイっちゃった❤\n平民はチンポも弱いのね❤\n小さなおっぱいにこすりつけられてたまらなかった？,ふふ❤手で少しかわいがってあげただけでイっちゃった❤\n平民はチンポも弱いのね❤\n小さなおっぱいにこすりつけられてたまらなかった？
大きくなくてもぷにぷにしてて気持ちよかったでしょ❤\nくすくす、蕩けた顔しちゃって❤このロリコン❤,大きくなくてもぷにぷにしてて気持ちよかったでしょ❤\nくすくす、蕩けた顔しちゃって❤このロリコン❤
んふ❤おいしい❤\n小さい唇にちゅーちゅー吸い付かれて、全然耐えられなかったわね❤,んふ❤おいしい❤\n小さい唇にちゅーちゅー吸い付かれて、全然耐えられなかったわね❤
高貴なお口に吸ってもらえてうれしいでしょ❤\nあは、ほんとに幸せそうな顔してるし❤\nやっぱり平民ってプライドないのね。くすくす❤,高貴なお口に吸ってもらえてうれしいでしょ❤\nあは、ほんとに幸せそうな顔してるし❤\nやっぱり平民ってプライドないのね。くすくす❤
あら、足の裏でびゅくびゅく震えてる❤\nわたしの高貴な足に踏まれてイっちゃったの？\nロリコンなだけじゃなくてマゾなのね、あなた。,あら、足の裏でびゅくびゅく震えてる❤\nわたしの高貴な足に踏まれてイっちゃったの？\nロリコンなだけじゃなくてマゾなのね、あなた。
わたしのぷにぷにとした足は気持ちよかったかしら。\n残っているのが全部出るように、ほらグリグリってしてあげる❤\nふふふ❤喘いじゃって気持ちよさそ❤,わたしのぷにぷにとした足は気持ちよかったかしら。\n残っているのが全部出るように、ほらグリグリってしてあげる❤\nふふふ❤喘いじゃって気持ちよさそ❤
あら❤投げキスで射精しちゃった❤\nわたしのとびきりの可愛さにやられちゃったのね❤\nくすくす❤,あら❤投げキスで射精しちゃった❤\nわたしのとびきりの可愛さにやられちゃったのね❤\nくすくす❤
あは、もしかしてパンツ見せられただけでイっちゃったの？\nくすくす❤チンポしこるかどうか悩んでるうちに、\n目の刺激だけで我慢できなくなっちゃったのね❤,あは、もしかしてパンツ見せられただけでイっちゃったの？\nくすくす❤チンポしこるかどうか悩んでるうちに、\n目の刺激だけで我慢できなくなっちゃったのね❤
女の子のパンツ見てるだけで射精するなんて、とんだ早漏チンポだわ❤\nふふ、さすがは平民。チンポもずいぶん粗末にできているのね。\nくすくす❤,女の子のパンツ見てるだけで射精するなんて、とんだ早漏チンポだわ❤\nふふ、さすがは平民。チンポもずいぶん粗末にできているのね。\nくすくす❤
ううっ・・・❤だめなのに・・・❤,ううっ・・・❤だめなのに・・・❤
あら、平民が何をし始めるのかと思ったら、\n急にオナニーを始めちゃったわ。,あら、平民が何をし始めるのかと思ったら、\n急にオナニーを始めちゃったわ。
まったく、わたしに忠誠を誓うってのはどこへ行っちゃったのかしら？\nチンポを押さえて必死にシコシコシコ❤\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？,まったく、わたしに忠誠を誓うってのはどこへ行っちゃったのかしら？\nチンポを押さえて必死にシコシコシコ❤\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？
こうなってしまったらもうダメね。\n盾にするにしてもチンポシコってまともに動けないんじゃ、\n何の役にも立たないわ。,こうなってしまったらもうダメね。\n盾にするにしてもチンポシコってまともに動けないんじゃ、\n何の役にも立たないわ。
ほら、それならもう、さっさとわたしの体力に変えてあげる❤\nエナジー出して、わたしに貢献なさい❤\nあなたの額に、んっちゅ❤,ほら、それならもう、さっさとわたしの体力に変えてあげる❤\nエナジー出して、わたしに貢献なさい❤\nあなたの額に、んっちゅ❤
はひぃ、あひぃいっ、お嬢さまぁ❤❤,はひぃ、あひぃいっ、お嬢さまぁ❤❤
くす、忠誠の証の上に、キスマークを重ねがけされるの、\n気持ちいいでしょ？\nわたしの唇で脳みその奥までジンジン溶かしてあげる❤,くす、忠誠の証の上に、キスマークを重ねがけされるの、\n気持ちいいでしょ？\nわたしの唇で脳みその奥までジンジン溶かしてあげる❤
これでとどめよ。むちゅって押し付けるみたいに、\nんっ、ちゅう❤,これでとどめよ。むちゅって押し付けるみたいに、\nんっ、ちゅう❤
あへぇぇ・・・・❤❤,あへぇぇ・・・・❤❤
くすくす❤幸せそうに崩れ落ちちゃった❤\nあなたの濃い精液、なかなか悪くない味よ。\nわたしに心酔してた分、よく魔力が溶けてるわ。,くすくす❤幸せそうに崩れ落ちちゃった❤\nあなたの濃い精液、なかなか悪くない味よ。\nわたしに心酔してた分、よく魔力が溶けてるわ。
小さな女の子にいいように使われて、\nそれを最上の喜びとばかりに射精までして、\nふふ、平民ってほんとにわたしに尽くすために生まれてきたのね❤,小さな女の子にいいように使われて、\nそれを最上の喜びとばかりに射精までして、\nふふ、平民ってほんとにわたしに尽くすために生まれてきたのね❤
わたしを遠目に見ながらシコシコシコ❤\nくす、戦闘中だって分かってるのかしら。,わたしを遠目に見ながらシコシコシコ❤\nくす、戦闘中だって分かってるのかしら。
わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\nふふ、平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤,わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\nふふ、平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤
ほら、わたしに剣が届かなかった分、\nこうやってかわいがってあげる❤,ほら、わたしに剣が届かなかった分、\nこうやってかわいがってあげる❤
あひぃっ、手に急に握られてぇっ、はううっ❤❤,あひぃっ、手に急に握られてぇっ、はううっ❤❤
ふふ、オナニー中のところ、おチンポ取り上げちゃってごめんなさい❤\nでも、自分の手なんかでイくより、わたしの美しい指で扱かれる方が\nあなたもうれしいでしょう？,ふふ、オナニー中のところ、おチンポ取り上げちゃってごめんなさい❤\nでも、自分の手なんかでイくより、わたしの美しい指で扱かれる方が\nあなたもうれしいでしょう？
こうやってシコシコシコって動かしてあげれば、\nくす、もう我慢汁を漏らしてる❤,こうやってシコシコシコって動かしてあげれば、\nくす、もう我慢汁を漏らしてる❤
平民のザコチンポ、ずいぶん敏感なのね❤\nサキュバスの手に握られたら、ほんの１分も耐えられない❤,平民のザコチンポ、ずいぶん敏感なのね❤\nサキュバスの手に握られたら、ほんの１分も耐えられない❤
ほらほらほら❤\n扱くの早くしてあげるからさっさと果ててしまいなさい❤\n女の子の手に負けてエナジー吐き出してしまいなさい❤,ほらほらほら❤\n扱くの早くしてあげるからさっさと果ててしまいなさい❤\n女の子の手に負けてエナジー吐き出してしまいなさい❤
わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、イケ❤果てろ❤ロリコンマゾチンポ❤,わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、イケ❤果てろ❤ロリコンマゾチンポ❤
あひぃ・・・・❤❤,あひぃ・・・・❤❤
くすくす❤どろどろの濃い精液がたくさん出てる❤\nよかったわね、遠くの地面に無駄撃ちするはめにならなくて。\nちゃんとわたしに吸収してもらえるのよ？感謝なさい❤,くすくす❤どろどろの濃い精液がたくさん出てる❤\nよかったわね、遠くの地面に無駄撃ちするはめにならなくて。\nちゃんとわたしに吸収してもらえるのよ？感謝なさい❤
もちろんそのせいでわたしの体力が回復して、\n状況はもっと悪くなってしまうのだけど。\nあなたの仲間からしたらたまったものじゃないわね。ふふふ❤,もちろんそのせいでわたしの体力が回復して、\n状況はもっと悪くなってしまうのだけど。\nあなたの仲間からしたらたまったものじゃないわね。ふふふ❤
わたしを守るモンスターがいなくて、\nようやくわたしに刃が届きそうだというのに、\nふふ、よりによってオナニーしちゃうなんて、何を考えているのかしら。,わたしを守るモンスターがいなくて、\nようやくわたしに刃が届きそうだというのに、\nふふ、よりによってオナニーしちゃうなんて、何を考えているのかしら。
いえ、きっと何も考えていないのね❤\nわたしのそばまで来たら、可愛すぎるわたしの姿に\n理性がどこかに行ってしまって、我慢ができなくなったのでしょう？,いえ、きっと何も考えていないのね❤\nわたしのそばまで来たら、可愛すぎるわたしの姿に\n理性がどこかに行ってしまって、我慢ができなくなったのでしょう？
大きな胸で谷間を見せてあげたわけでもない。\nただ可愛いわたしを見てるだけで興奮しちゃうなんて、\nあなた、ロリコンね❤くすくす❤,大きな胸で谷間を見せてあげたわけでもない。\nただ可愛いわたしを見てるだけで興奮しちゃうなんて、\nあなた、ロリコンね❤くすくす❤
あら、わたしにくすくす笑われてうれしいの？\n戦いもしないで自滅するだけあるわ。\nマゾでロリコンなんて救いようがない変態じゃない❤,あら、わたしにくすくす笑われてうれしいの？\n戦いもしないで自滅するだけあるわ。\nマゾでロリコンなんて救いようがない変態じゃない❤
ううぅっ・・・❤,ううぅっ・・・❤
ふふ、そのうめき声はなに？\nバカにされて悔しいの？それとも嬉しいの？\nロリコンマゾなんですもの、きっと嬉しいのよね❤,ふふ、そのうめき声はなに？\nバカにされて悔しいの？それとも嬉しいの？\nロリコンマゾなんですもの、きっと嬉しいのよね❤
その証拠におちんちんますます固くしちゃってる❤\nビンビンになってシコシコするたびに、\nあっ、あっ、って短い喘ぎ声あげて。あはは、醜悪だわ❤,その証拠におちんちんますます固くしちゃってる❤\nビンビンになってシコシコするたびに、\nあっ、あっ、って短い喘ぎ声あげて。あはは、醜悪だわ❤
ほら、わたしが飽きないうちに、さっさと果ててしまいなさい。\n今ならあなたが扱くところジーって見ててあげる。\n出すところ、見ててほしいんでしょ？,ほら、わたしが飽きないうちに、さっさと果ててしまいなさい。\n今ならあなたが扱くところジーって見ててあげる。\n出すところ、見ててほしいんでしょ？
あは、こうやって言ったら、扱くの早くなった❤\nそんなに自分が負けるところ見ててほしいんだ❤\nヘンタイ❤,あは、こうやって言ったら、扱くの早くなった❤\nそんなに自分が負けるところ見ててほしいんだ❤\nヘンタイ❤
しこしこしこ❤しこしこしこ❤\n腰がどんどん浮いてきて、ほらもう出ちゃう❤出しちゃう❤\nいいわよ❤イケ❤ロリコンマゾ❤,しこしこしこ❤しこしこしこ❤\n腰がどんどん浮いてきて、ほらもう出ちゃう❤出しちゃう❤\nいいわよ❤イケ❤ロリコンマゾ❤
あひぃぃ・・・・❤❤,あひぃぃ・・・・❤❤
くすくす❤なんともみっともない姿ね❤\nせっかくの攻撃チャンスをふいにして、\n敵にエナジー貢いじゃうなんて❤,くすくす❤なんともみっともない姿ね❤\nせっかくの攻撃チャンスをふいにして、\n敵にエナジー貢いじゃうなんて❤
シコシコオナニー気持ちよかったかしら？\nわたしに見ててもらえてよかったわね❤\nくすくすくす・・・❤,シコシコオナニー気持ちよかったかしら？\nわたしに見ててもらえてよかったわね❤\nくすくすくす・・・❤
あら、あなたもオナニーしちゃうの？\nふふ、みんなで仲良くしこしこしこ❤\n平民って団結感が強いのね。ぷっ、くすくすくす❤,あら、あなたもオナニーしちゃうの？\nふふ、みんなで仲良くしこしこしこ❤\n平民って団結感が強いのね。ぷっ、くすくすくす❤
それにしても、私に忠誠を誓ったのはどこへ行っちゃったのかしら？\nチンポを押さえて必死に扱いて、\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？,それにしても、私に忠誠を誓ったのはどこへ行っちゃったのかしら？\nチンポを押さえて必死に扱いて、\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？
わたしを遠目に見ながら一生懸命手を動かして、\n今が戦闘中だって分かってるのかしら。,わたしを遠目に見ながら一生懸命手を動かして、\n今が戦闘中だって分かってるのかしら。
わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、白旗上げて屈服するのよ❤ロリコンマゾチンポ❤,わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、白旗上げて屈服するのよ❤ロリコンマゾチンポ❤
男ってみんなそうなのかしら。\n次々とオナニーで負けて、ふふ、みっともない❤,男ってみんなそうなのかしら。\n次々とオナニーで負けて、ふふ、みっともない❤
くうっ、ひどいじゃない。\nこんなかよわいレディに暴力をふるうだなんて。\n平民ってやっぱり野蛮だわ。,くうっ、ひどいじゃない。\nこんなかよわいレディに暴力をふるうだなんて。\n平民ってやっぱり野蛮だわ。
