default
サキュバス少女,魅魔少女
でも、エッチなことにはまだ不慣れみたい。だから、いっぱいきもちいいことしてあげて・・・❤,但是，還不習慣被做色色的事情呢。所以，人家會一直做讓大哥舒服的事情喔……❤。
ふにゃふにゃのメロメロに負けさせてあげます❤,被黏液纏繞到魅惑然後敗北吧。
お兄さんのターンからですね❤,大哥的回合喔。
でも、戦う前からわたしのキスでメロメロになっちゃっているみたい・・・❤,但是，你在戰鬥前就已經被我的吻給魅惑了呢……。
くすくす❤ちゃんとカード出せますか？ほら、頑張ってください❤,嗯呼呼❤，這樣還能好好出卡嗎？好好加油喔。
お兄さんのターンからですね。,大哥的回合呢。
カードを出す前に・・・。ねえ、わたしの唇見てください❤,但是在你出卡前……。請看人家的嘴唇。
さっきはキスしてあげられなくて、残念でした・・・❤,剛才沒機會接吻感覺很可惜但是……。
そばまで来てくれたら、たくさんちゅっちゅって、ついばむみたいにいっぱいキスしてあげたのに❤,只要過來人家身邊，就可以被人家親到爽，而且還是像小鳥啄食的感覺一樣的反覆親吻❤。
ねえ、もしキスしてほしいなら、今からでも遅くないんですよ？,大哥，如果你想接吻的話，現在還來得及喔。
わたしのそばに来て、きもちいいこと、いっぱいしましょ？うふふ❤,只要來人家身邊，就可以一直爽喔。嗯呼呼❤。
わたしのターンですね、ドロー。,人家的回合，抽牌。
うふふ❤悪くない手札です❤\nわたしのスライムデッキの力、見せてあげますね❤,嗯呼呼，不錯的手牌。\n就讓你見識人家的史萊姆牌組的厲害。
ドロー。わたしのスライムデッキの力、見せてあげますね❤,抽牌。就讓你見識人家的史萊姆牌組的厲害。
{使用カード}を上級召喚です！,上級召喚{使用カード}！
{使用カード}を召喚します！,召喚{使用カード}！
ううっ、あうう・・・❤,嗚嗚、啊呼呼……。
あは❤せっかく復活させてもらったのに、\nさっきエナジーを出したときのこと、\nばっちり記憶に残っちゃってるみたいですね❤,啊哈哈❤難得復活怪獸，\n但他卻還清楚殘留著剛才射出能量的記憶呢❤。
おちんちんがもうギンギンみたいです❤\nそんなモンスターが出てきても全然怖くありませんよ❤,小雞雞還硬梆梆的❤\n就算你出這種怪獸也一點都不可怕喔❤
魔法カード発動！{使用カード}！自分の水属性モンスターと、同じレベルの水属性モンスターを手札に加えます。,發動魔法卡！{使用カード}！將一張與自己水屬性怪獸同等級的怪獸卡加入手牌。
スライムちゃん、どんどん集まってきてください。{使用カード}発動！,可愛的史萊姆們匯集吧！發動{使用カード}！
魔法カード発動！{使用カード}！スライムの体力をパワーアップです！,發動魔法卡！{使用カード}！史萊姆的體力上升一個層次！
スライムちゃんを強くしちゃいます！{使用カード}を発動！,讓史萊姆強化！發動{使用カード}！
さらにパワーアップ！{使用カード}をもう一枚発動します。,再變得更強！再一張{使用カード}。
{使用カード}を発動！傷ついたモンスターを1500ポイント回復します！,發動{使用カード}！使受傷的怪獸回復一千五百點！
{使用カード}を使って回復です！,以{使用カード}進行回復！
スライムでからめとってあげますね。{使用カード}発動！,被史萊姆纏住吧。發動{使用カード}！
ふふ、トラップカードを発動します。{使用カード}！,嗯哼哼，發動陷阱卡。{使用カード}！
装備魔法カード発動！{使用カード}！スライムちゃんをパワーアップします。,發動裝備魔法卡！{使用カード}！可愛的史萊姆變得更強。
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
魔法カードを発動します！{使用カード}！,人家要發動魔法卡！{使用カード}！
トラップカードを発動します！{使用カード}！,我要發動陷阱卡！{使用カード}！
相手の体にスライムがまとわりついている時に、そのスライムを動かして相手を拘束しちゃうカードなんです❤,這是當對手身上始有史萊姆時，可以控制該史萊姆拘束對手行動的卡片喔。
体中をスライムでぐちゅぐちゅされて、攻撃なんてぜったい無理ですよ❤ほら・・・❤,全身被史萊姆搔弄，絕對沒有辦法繼續攻擊喔❤。
カードをセットです。,蓋一張卡片。
カードを伏せます。,覆蓋一張卡片。
おっぱいでいじめてあげます❤{使用カード}で{防御カード}を攻撃！,用胸部虐你喔❤{使用カード}對{防御カード}進行攻擊！
上級モンスターの攻撃は強いですよ？{使用カード}で{防御カード}を攻撃！,上級怪獸的攻擊可是很強的喔。{使用カード}對{防御カード}進行攻擊！
{使用カード}のおっぱいは特別気持ちいいんです。たっぷり楽しんでください❤{使用カード}で{防御カード}を攻撃！,{使用カード}的胸部可是特別舒服的喔。請好好享用。{使用カード}對{防御カード}進行攻擊！
バトルです！{使用カード}で{防御カード}を攻撃！,戰鬥！{使用カード}對{防御カード}進行攻擊！
ちっちゃくたって強いんですよ❤{使用カード}で{防御カード}を攻撃！,就算是小小的也很強喔。{使用カード}對{防御カード}進行攻擊！
{使用カード}でいじめてあげます。{防御カード}を攻撃！,讓{使用カード}來幹你吧。對{防御カード}進行攻擊！
{使用カード}を守備。,{使用カード}進行守備。
むぅ、なにもできませんね。ターンエンドです。,嗚、什麼也做不了。回合結束。
ううっ、手札が悪い…。ターンエンドします。,嗚嗚、手牌好糟……。回合結束。
ターン終了です。,人家的回合結束。
ターンエンド。,回合結束。
わたしのターンはおわりです。ターンエンド。,那麼就結束回合吧。回合結束階段。
あは、なにもしないんですか？気持ちよくしてほしくて無抵抗を選ぶなんて、かっこわるい❤,啊哈哈，什麼也不做嗎？因為想爽所以選擇不抵抗，好變態喔❤。
ぼーっとしちゃって、このターンも何もしませんでしたね❤,竟然站著發呆，這回合也什麼都不做呢。
サキュバスに負けたいって気持ちで頭のなかいっぱいですか？ほら、投げキスしてあげます、んっちゅ❤,滿腦子只想著敗給魅魔會很爽嗎？那麼給你投飛吻，啾❤。
はぅうう…❤あっ、ああっ…❤,哈嗚嗚嗚……啊、啊啊……
くすくす❤あとちょっとでイっちゃいますね。,嗯呼呼❤再一下就要射精了呢。
む、攻撃させてくれないんですか？,吼，不讓人家攻擊嗎？
せっかくカードマスターのお兄さんのこと、気持ちよくしてあげようと思ったのに・・・❤,明明人家想讓卡片玩家大哥舒服的說……。
ふふ❤すっかりキスでメロメロですね❤,嗯呼呼❤被人家吻幹到魅惑了呢。
もっと魅了を深くしてあげます。んっちゅ❤,讓你的魅惑更加濃厚吧。啾❤。
わたしの唇が気持ちよぎて、頭の中とろけちゃったみたいですね❤,人家的唇太舒服了，身體動不了對不對。
腕をダランとさせて、ちっちゃな女の子にされるがまま・・・❤くすくす❤もっともっとメロメロにしてあげます❤,手臂完全沒力，被小巧的女孩子玩弄……嗯呼呼❤之後你還會更加著迷於人家的喔。
サキュバスのキスを知っちゃったら、もう、戦う気力なんてわかないですよね。,一但愛上魅魔的吻，就再也沒有戰鬥的力氣了喔。
わたしの唇に見とれて、仲間の声も届かないみたい❤くすくす❤,看人家的嘴唇看傻了，聽不見同伴的聲音了呢，嗯呼呼❤。
そのままでいいんですよ。射精しちゃうまで、いっぱいキスしてあげますからね・・・❤んちゅ、ちゅう❤,就這樣別動喔。人家會親你親到射精的喔……啾❤。
うふふ❤ご主人様の命令より、わたしのキスの方が大事になっちゃいましたか？,嗯呼呼❤跟我接吻比主人的命令還重要對不對？
反撃しなきゃいけないのに、武器、手に持ててないですよ❤体から力が抜けちゃってます。,明明不反擊不行，但手上卻沒拿著武器呢。已經爽到沒力了呢。
ちっちゃな女の子に簡単に抑え込まれて、キスされるがまま・・・❤くすくす。使い魔失格ですね❤んっちゅ❤,被這麼小的女孩子這麼簡單的壓制，然後任她親吻……你還真不配當卡片玩家的怪獸卡呢❤，啾❤。
わたしのキスで虜にしてあげますね❤んっちゅ❤,被我的接吻給魅惑吧，啾❤。
自分よりずっとちっちゃな女の子と、唇を合わせる気分はどうですか？,被自己小很多的女孩子給強制接吻的感覺如何？
大人でもなかなかしないような、やらしいディープキス❤いっぱい楽しみましょ？んーっちゅ❤,這可是就算大人也很少在做的色情舌吻呢，來好好享受吧。啾❤。
カードを使っちゃダメですよ。じっとして、メロメロになって、わたしに負けてください。,不可以使用卡片喔。站著不動，被我魅惑，然後敗給我吧。
おねがいを聞いてくれるなら、ほらご褒美・・・❤んっちゅ❤,要是願意聽我的請求的話，就給你獎勵……啾❤。
戦いなんてやめましょ？あなたのマスターの命令は、サキュバスのキスで忘れさせてあげます。んーーっちゅ❤,不要再戰鬥了好不好？就用魅魔的吻來讓你忘記你主人命令吧。啾❤。
ううっ…。人間の男のくせに思った以上に強いです…。,嗚嗚……。明明是人類男性卻這麼強……。
たいして女の子に慣れてもなさそうなのに…。カードマスターさん、あなたのことを見くびっていたみたいです。,明明也還不習慣女色才對……。卡片玩家大哥，看來我小看你了。
たいして女の子に慣れてもなさそうなのに…。主人との絆、というやつでしょうか。たいしたものですね。,明明應該還不習慣女色才對……。是那個叫做與主人的羈絆的東西嗎？還真是厲害呢。
でも、それもここまで。えいっ❤,但是也就到此為止了。嘿呀❤。
抵抗なんてさせません。ドギツイ快楽で、全部奪ってあげます❤,你完全沒辦法抵抗喔。我會用超級痛苦的快感把你的一切奪走。
あううっ…❤足に飲みこまれてっ…❤,啊嗚嗚……被腳底吸進去了……
わたしのスライムボディを使ったとっておきの踏みつけ足コキです❤チンポを全部包まれて、とっても気持ちいいでしょう？,是人家的以史萊姆身體的必殺技踐踏足交喔❤小雞雞全部都被史萊姆包覆，特別舒服對不對？
このまま何回も上下に往復させてあげます。チンポを犯される快感、たっぷり楽しんでください。うふふふ❤,然後人家會開始上下來回踐踏。你就可以享受小雞雞被強姦的快感喔。うふふふ❤
きゃあっ、そんなあの状態から起きれるなんて・・・。,呀啊！竟然可以在那種狀態下爬起來……。
さあ、始めますよ。ほら！,那麼，開始吧。給我射！
はひぃっ…❤❤,哈伊……
ふふ、気持ちいいでしょう？わたしに足コキされて、１分耐えた人はいないんです。,嗯呼呼，很爽對不對？沒有人可以在我的足交下熬過一分鐘喔。
あがぁっ…❤あひっ❤あううっ❤,不行了……啊呼、啊嘿嘿。
このスライムには人間を興奮させる成分が入ってます。そんなものでチンポを丸ごといじめられたら、当然の結果ですよね❤,這個史萊姆含有讓人類發情的成分在。小雞雞整根被這種東西幹的話，發情是理所當然的喔❤。
こうやって、足で踏みつけるたびにっ、んふふ、とんでもない喘ぎ声が漏れちゃってます♪,人家的腳每踩一下，大哥就會發出特別大的嬌喘聲耶。
ほら❤ほら❤ほら❤どうしたんですか？さっきまでの威勢はどこにいったんですか？,大哥哥一邊嬌喘一邊顫抖呢❤，怎麼了啊？剛才的氣勢到哪裡去了啊？
ああっ…❤きもちいいっ、きもちいいっ・・❤,啊啊……好爽、好爽喔……。
もっと、踏んでぇ・・・❤あああっ・・❤,繼續踩……踩我……啊啊啊……
あはは❤とっても素直になれましたね❤それでこそ人間ですよ。,啊哈哈❤變得好誠實喔，這才叫人類嘛❤。
サキュバスに気持ちよくしてもらえるなら、戦いのことなんてどうでもよくなっちゃう。おちんちんを支配してあげれば、頭の中も全部支配されちゃう…❤,只要能被魅魔幹，就根本不想戰鬥了呢。只要能支配小雞雞，就可以支配人類的腦袋內容物……
くすくす❤本当に下等生物です❤,嗯哼哼❤，真的是一種低等生物呢❤。
ほら、パンパンパンって音がするぐらいに、強く踏みつけてあげます。さっさとイっちゃってください。変態❤,聽見足交時發出的重重水聲嗎？人家現在正在非常用力得踩踏你喔。趕快在人家腳掌下射精吧。變態❤
あっ、あああっ…❤,啊、啊啊啊……
ふふふ❤すごい量の射精です。新鮮なエナジーがこんなにたくさん・・・♪,嗯呼呼❤好大量的射精喔。竟然有這麼多新鮮的能源耶……。
わたしの足の中に射精できてよかったですね？おかげで体力も全回復。男の人って本当にチョロいです❤,在人家的腳下射精很舒服對不對？還讓人家體力完全回復呢。男人真的很好征服呢❤
くっ…。またですか。思った以上に強い人が多いですね…。,嗚嗚……。又來了。厲害的對手比想像中的還多呢……。
でも、あなたもさっきの人と同じ目に合うだけの話です。えいっ❤,不過，這也只是讓你遭到跟剛才那個人一樣的下場就好的狀況。嘿呀❤。
あひぃっ…❤足に飲みこまれてっ…❤,啊嗚嗚……被腳底吞噬了……
あなたが戦いながらちらちらと、わたしの足を見ていたこと気づいていましたよ。,我已經發現你剛才一邊戰鬥一邊偷看我的腳喔。
仲間がさっきされたことを、自分もされるのだろうかって、期待してたんじゃないですか？,你是不是在期待剛才我對你同伴做的事情也會發生在自己身上呢？
え？違うって？ふふふ、そんなことはチンポに聞けばわかります。このギンギンに勃起したチンポ、どれだけわたしの足コキに耐えられるでしょうかね❤,欸？不是嗎？嗯呼呼，這種事情聽你的小雞雞說就知道了喔。這根硬梆梆勃起的雞雞，可以在我的足交下撐多久呢？
何回も足を上下に往復させてチンポをしごく。ただそれだけなのに、さっきの人はわたしに屈服しておねだりしちゃいました。,我只是在小雞雞上把腳抬起再放下數次而已。剛才那個人就屈服於我求我讓他爽喔。
あなたも、きっと同じ❤。さあ、チンポを犯される快感、たっぷり楽しんでくださいね。うふふふ❤,你也會變成一樣的喔❤。來吧，好好享受小雞雞被強姦的快感吧。嗯呼呼❤
おまんこでもないただの足の裏ですよ？それなのにちょっといじめてあげたら、情けなく射精しちゃう男の人ばっかり❤,這不是小穴，只是小女生的腳底喔？男人都是被這個幹了就會射精的蠢貨呢❤
足で踏みつけるたびに、んふふ、とんでもない喘ぎ声が漏れちゃってます♪さっきの人よりも声、大きいんじゃないですか？,每當小雞雞被腳踐踏的時候，就會發出特別大聲的嬌喘聲呢，而且你的聲音比剛才那一個還大聲耶。
ほら❤ほら❤ほら❤頑張ってわたしを追い詰めたのだから、少しは抵抗してくださいよ❤,怎麼了足交變態❤明明有可以把我逼上絕境的實力，用那個實力再抵抗一下如何啊？
あはは❤とっても素直になれましたね❤あなたも、さっきの人もみんなチョロすぎです。,啊哈哈❤真是誠實的男人呢。你也跟剛才那個人一樣好征服呢。
戦いのことなんて、サキュバスに気持ちよくしてもらえるなら、どうでもよくなっちゃう。おちんちんを支配してあげれば、頭の中も全部支配されちゃう。,只要能夠被魅魔幹就可以不管戰鬥了呢。只要能支配男人的小雞雞，就可以連男人的腦袋也完全支配呢。
本当に下等生物ですね❤このマゾ男❤敵の女の子に足蹴にされて、興奮しているんだから、救いようがありません。,真的是低等生物❤你這被虐男❤被敵對的女孩子用腳踐踏還能興奮，真是沒救了呢。
ほら、とどめですよ。パンパンパンって音がするぐらいに、強く踏みつけてあげます。さっさとイっちゃってください。変態❤,喂，我要幹死你了。我會狠狠的踩，發出劇烈的水聲。你給我聽著那水聲射精。變態❤。
あは、こっち来てくださいって言ったら、ほんとに来ちゃうんだぁ❤そんなにキスしてほしかったんですか？,啊哈哈❤我說過來你就真的過來呢，就這麼想要接吻嗎？
手も我慢できなくておちんちんを触っちゃっている。くすくす❤1ターン目で誘惑に負けるとか護衛失格ですね❤,然後手也忍不住開始摸小雞雞了。嗯呼呼❤第一回合就敗給誘惑，真是不合格的護衛呢。
マスターさん自らこっちに来たと思ったら、ふふ、オナニー始めちゃうんですか？,還在想為什麼卡片玩家大哥要走過來，原來是要來自慰的啊。
あらあら❤今度はマスターさんが自分からオナニーし始めちゃうんですか？,哎呀❤，這次是卡片玩家大哥自己來自慰了嗎？
戦い始めたばかりなのに、簡単にムラムラに負けちゃいましたね❤本当に童貞さんってチョロい❤くすくす❤,明明戰鬥才剛開始，就開始產生興奮感而輸了，童貞真的很好征服呢，嗯呼呼❤。
結局カードを１枚も出さないまま負けちゃうんですね❤キスだけでメロメロになって、カードマスター失格です❤,結果一張卡都沒出就輸了呢❤被接吻魅惑，真是丟人的卡片玩家呢。
結構頑張ったのに、最後は自分からオナニー❤ふふ、エッチなこといっぱい見すぎて、我慢できなくなっちゃったんですね。,明明努力戰鬥了這麼久，最後卻在自慰❤嗯呼呼，看見這麼多瑟色的畫面，理所當然會忍不住對吧。
本当に童貞さんなんですね❤ちょっとキスで誘惑されただけで、自分からシコシコはじめちゃうなんて・・・❤,真的是一個童貞大哥呢❤，只要稍微誘惑一下，就會開始自慰了……。
ほら、そんなかわいらしいお兄さんに、ちょっとしたオカズを提供してあげます。,嗯哼哼，就為這麼可愛的大哥提供一點服務吧。
わたしの唇をお兄さんの唇ギリギリに近づけて、んーっちゅ・・・❤,人家的嘴唇靠近大哥的嘴唇，到極近卻沒貼到的距離……啾❤。
あっ、ああっ・・・❤,啊、啊啊……
うふふ、もう少しでキスできそうでしたね。でも、ざんねん。ほんとのキスはまだおあずけ…❤今はキスをするまねっこです❤,嗯呼呼，再一下下就能親到對不對。但是不給你親。我才不要給你接吻……只做假接吻❤。
唇と唇がくっつきそうな距離で、何回もちゅって唇を突き出してあげます❤,就這樣再唇與唇的極近距離下，不斷做出要吻你的動作。
お兄さんからキスしちゃダメですからね。動かしていいのはおちんちんを触っている自分のおててだけ。ほら、んっちゅっ❤ちゅ❤ちゅっ・・・❤,大哥也不準主動吻我。可以動的只有握住自己小雞雞的手喔❤。小女生在給你假接吻❤但是大哥你只能自慰❤啾❤
はひぃっ・・・❤,哈咿……。
シコシコ早くなっちゃいますね。もっとわたしの唇の感触、妄想していいですよ。んーっちゅっ❤ちゅ❤ちゅっ・・・❤,手淫速度好快喔。你還可以妄想真的碰到我的嘴唇的觸感喔。想像吧❤但是絕對不會變成現實❤啾❤。
あうっ、ああっ、お願い、キスしてぇ・・・❤,啊、啊啊、拜託妳、吻我……！
くすくす❤間抜けなお顔でおねだりしちゃうんですか？,啊哈哈❤一臉蠢樣的拜託小女生吻你耶。
敵の女の子にキスのまねごとで焦らされて、かっこわるーく「キスしてぇ」っておねだり❤すごく滑稽ですね❤,被敵方女孩子的假接吻弄到不能自己，一臉犯賤的大喊「拜託吻我」，真的是好好笑喔。
そんなマゾで変態なお兄さんにキスなんてもったいないかも・・・。,要把接吻給大哥這種被虐變態實在是太浪費了呢……。
ほら、唇の前でふぅー・・・❤わたしの甘い息たくさん吸ってください。,那麼，我在嘴唇前吹氣，呼❤。把我的甜美香氣吸進去吧。
そ、そんな、ああっ・・・❤,這、這種感覺，啊啊啊……。
はやく、はやくぅ・・・❤お願いっ・・・❤,快點、快點……拜託妳……。
あはは、息だけでイきそうになっちゃってる❤,啊哈哈，被小女生吐氣就想射耶❤。
しょうがないなぁ・・・。いいですよ❤,這該怎麼辦呢……。可以喔。
最後はちゃんとしたキスで、わたしに負けちゃう幸せ、刻みつけてあげます。,我會在最後一刻吻你，在你身上烙印敗北的幸福。
これでイってください。お兄さん❤んっちゅ・・・❤ちゅぷちゅぱ❤,在這個吻下射精吧。大哥❤，啾……❤。
あひぃっ・・・❤,啊啊……
あは❤すごい量です。精液がこんなにたくさん・・・❤,啊哈哈❤好驚人的量喔。竟然有這麼多的精液。
エナジーを自分から敵に捧げちゃうなんて・・・、くすくす❤弱いカード使いが護衛で、商人さんもかわいそうですね。,竟然自己把自己的能量獻給敵人……嗯呼呼❤竟然被這麼弱的卡片玩家護衛，商人大哥好可憐喔。
くすくす❤わたしの前でオナニー始めちゃうんですか？,嗯哼哼❤在人家面前開始自慰了呢。
くすくす❤あなたもわたしの前でオナニー始めちゃうんですか？,嗯呼呼❤你也在人家面前開始自慰了呢。
ちょっとキスで誘惑されただけで、自分からシコシコはじめちゃうなんて理性が弱くてかわいいです❤,只是用接吻來誘惑，就開始自慰起來了，這理性真是脆弱耶❤。
