default
死神少女,死神少女
スカートの中をちらちら見てるわね。\nでも残念。下にドロワーズを履いているから、\n下着は見えないわ。,スカートの中をちらちら見てるわね。\nでも残念。下にドロワーズを履いているから、\n下着は見えないわ。
それとも下着じゃなくて、ふともものところを見ていたのかしら。\n黒いストッキングとドロワーズの間の、わたしのふともも❤\n体は細いけれど、ここだけはむっちり太くて、気になっちゃうわよね。,それとも下着じゃなくて、ふともものところを見ていたのかしら。\n黒いストッキングとドロワーズの間の、わたしのふともも❤\n体は細いけれど、ここだけはむっちり太くて、気になっちゃうわよね。
あなたがしてほしいなら、ここでむぎゅっと挟んで、\n気持ちよくしてあげてもいいわよ❤\nふとももで挟んで、左右交互にすりすりって…❤天国を見せてあげる❤,あなたがしてほしいなら、ここでむぎゅっと挟んで、\n気持ちよくしてあげてもいいわよ❤\nふとももで挟んで、左右交互にすりすりって…❤天国を見せてあげる❤
ふふ、わたしに生命エネルギーを吸い取ってほしいの？\n自分から死を望むだなんて、あなたも変わっているわね❤,ふふ、わたしに生命エネルギーを吸い取ってほしいの？\n自分から死を望むだなんて、あなたも変わっているわね❤
死を求めるその気持ちに、死神としてちゃんと応えてあげる❤,死を求めるその気持ちに、死神としてちゃんと応えてあげる❤
くす❤やっぱり魂を抜かれてしまったわね❤\n唇が触れた途端、頭の中がとろんってしちゃったんでしょ？\nそのまま我慢できずに、びゅーびゅーって射精❤,くす❤やっぱり魂を抜かれてしまったわね❤\n唇が触れた途端、頭の中がとろんってしちゃったんでしょ？\nそのまま我慢できずに、びゅーびゅーって射精❤
くす❤足にこんなにかかっちゃった。\n濃い生命エネルギーが溶け出して、\nあなたはもうこれで終わりね❤,くす❤足にこんなにかかっちゃった。\n濃い生命エネルギーが溶け出して、\nあなたはもうこれで終わりね❤
くすくす❤丁寧に丁寧になでられて、\n少しも我慢できずに射精してしまったわ❤\n濃い生命エネルギーがたっぷり漏れだしちゃってる❤,くすくす❤丁寧に丁寧になでられて、\n少しも我慢できずに射精してしまったわ❤\n濃い生命エネルギーがたっぷり漏れだしちゃってる❤
ふふふ❤膝をこすりつけられて射精しちゃった❤\nこんなにどろどろに出して、\n生命エネルギーが空っぽになるぐらい射精しちゃったわね。,ふふふ❤膝をこすりつけられて射精しちゃった❤\nこんなにどろどろに出して、\n生命エネルギーが空っぽになるぐらい射精しちゃったわね。
ふふ❤挟まれて全然持たなかったわね❤\nわたしのふとももがよほどお気に召したみたい❤\n濃い生命エネルギーがこんなにたくさん❤,ふふ❤挟まれて全然持たなかったわね❤\nわたしのふとももがよほどお気に召したみたい❤\n濃い生命エネルギーがこんなにたくさん❤
ほら、たくさん出したから、まぶたがどんどん重くなってきた…❤\n今からあなたは長い眠りにつくのよ…❤\nおやすみなさい❤あなたに安らかな眠りがあらんことを。ちゅっ❤,ほら、たくさん出したから、まぶたがどんどん重くなってきた…❤\n今からあなたは長い眠りにつくのよ…❤\nおやすみなさい❤あなたに安らかな眠りがあらんことを。ちゅっ❤
くす❤全然逃げようとしないのね。\nそれなら、ほら、上にまたがってあげる・・・❤,くす❤全然逃げようとしないのね。\nそれなら、ほら、上にまたがってあげる・・・❤
わたしのふとももで押しつぶして、\nあなたの命、もらっちゃうわね。くすくす❤,わたしのふとももで押しつぶして、\nあなたの命、もらっちゃうわね。くすくす❤
ふふ、射精したいの？\nいいわよ、ふとももに擦られて、\nあなたの生命エネルギー、全部出しちゃいなさい❤,ふふ、射精したいの？\nいいわよ、ふとももに擦られて、\nあなたの生命エネルギー、全部出しちゃいなさい❤
あん、突きとばしたら危ないわ。\nせっかくあなたのこと椅子にしてあげてたのに、\nふとももに挟まれるのは気に入らなかった？,あん、突きとばしたら危ないわ。\nせっかくあなたのこと椅子にしてあげてたのに、\nふとももに挟まれるのは気に入らなかった？
くす❤チンポがすごくビクビク震えてる・・・❤\n気持ちよくてたまらないのに、我慢してわたしから逃げ出したんだ。\n頑張ってえらいけど、そんなに強がらなくていいのに・・・❤,くす❤チンポがすごくビクビク震えてる・・・❤\n気持ちよくてたまらないのに、我慢してわたしから逃げ出したんだ。\n頑張ってえらいけど、そんなに強がらなくていいのに・・・❤
わたしの体、気持ちいい？お尻とかさわってもいいよ❤,わたしの体、気持ちいい？お尻とかさわってもいいよ❤
ふとももでチンポをすりすりすり❤くすくす❤びくびく腰が動いてる❤,ふとももでチンポをすりすりすり❤くすくす❤びくびく腰が動いてる❤
上にのしかかられて逃げられないね❤気持ちよすぎて力入らない？,上にのしかかられて逃げられないね❤気持ちよすぎて力入らない？
ほら、わたしのそばに顔を寄せて？横を向いて、ちゅってしてあげる❤,ほら、わたしのそばに顔を寄せて？横を向いて、ちゅってしてあげる❤
戦う気持ち、ふとももに挟まれてどんどんなくなっちゃうね❤,戦う気持ち、ふとももに挟まれてどんどんなくなっちゃうね❤
ぷにってしてて気持ちいいでしょ。ほら、何回も挟みつぶしてあげる❤,ぷにってしてて気持ちいいでしょ。ほら、何回も挟みつぶしてあげる❤
くすくす❤腰が跳ねちゃってる❤逃げるため？それとも気持ちよくなるため？,くすくす❤腰が跳ねちゃってる❤逃げるため？それとも気持ちよくなるため？
あなたの命、ふとももなんかに刈り取られちゃうね❤,あなたの命、ふとももなんかに刈り取られちゃうね❤
先っぽ押しつぶされて、腰から溶けちゃいそうでしょ？ふふふ❤,先っぽ押しつぶされて、腰から溶けちゃいそうでしょ？ふふふ❤
戦いはもう終わりにしましょ。だって、射精する方が大事でしょ❤くすくす❤,戦いはもう終わりにしましょ。だって、射精する方が大事でしょ❤くすくす❤
ううっ・・・❤我慢できない・・・❤,ううっ・・・❤我慢できない・・・❤
くす❤どうしたの？手をそんなところに当てて…❤\nああ、そっか、我慢できなくなっちゃったんだ❤,くす❤どうしたの？手をそんなところに当てて…❤\nああ、そっか、我慢できなくなっちゃったんだ❤
あなたにはわたしの甘いキスをしてあげたものね❤\n蕩けるような口づけをされて、\nくすくす❤理性が溶けてなくなってしまったみたい❤,あなたにはわたしの甘いキスをしてあげたものね❤\n蕩けるような口づけをされて、\nくすくす❤理性が溶けてなくなってしまったみたい❤
わたしのまとう死の気配に影響されちゃったのかしら。\n男の人は死を感じるとアソコが固くなっちゃうらしいから…❤,わたしのまとう死の気配に影響されちゃったのかしら。\n男の人は死を感じるとアソコが固くなっちゃうらしいから…❤
敵の前でガチガチになったチンポを、\nしこしこしこ❤\nはぁはぁ言いながら激しくしごいちゃってる❤,敵の前でガチガチになったチンポを、\nしこしこしこ❤\nはぁはぁ言いながら激しくしごいちゃってる❤
とても哀れな姿ね❤\n欲望に呑まれてしまったその魂、\nわたしがちゃんと引導を渡してあげる❤,とても哀れな姿ね❤\n欲望に呑まれてしまったその魂、\nわたしがちゃんと引導を渡してあげる❤
見て？唇に手を当てて…❤\nちゅっ❤,見て？唇に手を当てて…❤\nちゅっ❤
はぅうう・・・❤,はぅうう・・・❤
投げキスで魔力を飛ばされて気持ちいいでしょう？\nふふ、口からよだれを垂らして間抜けな顔になっちゃってる。\n魂の深いところにまで、わたしの魔力が染みちゃったのかしら❤,投げキスで魔力を飛ばされて気持ちいいでしょう？\nふふ、口からよだれを垂らして間抜けな顔になっちゃってる。\n魂の深いところにまで、わたしの魔力が染みちゃったのかしら❤
その感じだと、あなたはきっとあと一回で射精してしまうわ。\nたった二回の投げキスで射精させられてしまうの…❤,その感じだと、あなたはきっとあと一回で射精してしまうわ。\nたった二回の投げキスで射精させられてしまうの…❤
でも、耐える必要なんてない❤\n欲に深く染まったあなたの魂は、どのみちもう帰ってこれないもの。\nできるのはただ安らかに眠ることだけ❤,でも、耐える必要なんてない❤\n欲に深く染まったあなたの魂は、どのみちもう帰ってこれないもの。\nできるのはただ安らかに眠ることだけ❤
ほら、人差し指を唇に当てて、・・・ちゅっ❤\n最後は軽い投げキスでイかせてあげる❤,ほら、人差し指を唇に当てて、・・・ちゅっ❤\n最後は軽い投げキスでイかせてあげる❤
あへぇっ・・・❤❤,あへぇっ・・・❤❤
くすくす❤気持ちよさそうな射精ね。\nわたしの足にまで飛んできたわ❤,くすくす❤気持ちよさそうな射精ね。\nわたしの足にまで飛んできたわ❤
わたしに逝くところ見ててもらえて、\n最後は投げキスまでしてもらえるだなんて\nとても幸せな最期だったでしょう？うふふ❤,わたしに逝くところ見ててもらえて、\n最後は投げキスまでしてもらえるだなんて\nとても幸せな最期だったでしょう？うふふ❤
あら、あなたもオナニーしてしまうの？\nふふ、こらえ性のない人ばかりなのね❤,あら、あなたもオナニーしてしまうの？\nふふ、こらえ性のない人ばかりなのね❤
そういえば、あなたにはわたしの甘いキスをしてあげたわね❤\n蕩けるような口づけの感触がいつまでも残って・・・。\n投げキスで射精した仲間がうらやましくなっちゃった？,そういえば、あなたにはわたしの甘いキスをしてあげたわね❤\n蕩けるような口づけの感触がいつまでも残って・・・。\n投げキスで射精した仲間がうらやましくなっちゃった？
仲間が自滅して、命の危機を感じちゃった？\n男の人は死を感じるとアソコが固くなっちゃうらしいから…❤\nそれとも単にうらやましくなったのかしら❤,仲間が自滅して、命の危機を感じちゃった？\n男の人は死を感じるとアソコが固くなっちゃうらしいから…❤\nそれとも単にうらやましくなったのかしら❤
その媚びるような目、とても哀れな姿ね❤\nあなたも投げキスを受けたいんでしょう？\nわたしの魔力がこもった、脳を蕩けさせる甘い魔法❤,その媚びるような目、とても哀れな姿ね❤\nあなたも投げキスを受けたいんでしょう？\nわたしの魔力がこもった、脳を蕩けさせる甘い魔法❤
浅ましい欲望に呑まれてしまったその魂、\nわたしがちゃんと引導を渡してあげる❤,浅ましい欲望に呑まれてしまったその魂、\nわたしがちゃんと引導を渡してあげる❤
唇に手を当てて…❤\nんっ・・・ちゅっ❤,唇に手を当てて…❤\nんっ・・・ちゅっ❤
あひぃぃ・・・❤,あひぃぃ・・・❤
くすくす❤当たった途端にそんな幸せそうな顔しちゃって。\n口からよだれを垂らして、ほっぺたも緩み切って、とてもだらしないわ❤\n魂の深いところにまで、わたしの魔力が染みちゃったのかしら❤,くすくす❤当たった途端にそんな幸せそうな顔しちゃって。\n口からよだれを垂らして、ほっぺたも緩み切って、とてもだらしないわ❤\n魂の深いところにまで、わたしの魔力が染みちゃったのかしら❤
その感じだと、あなたはきっとあと一回で射精してしまうでしょうね。\nたった二回の投げキスで射精させられてしまうのよ…❤,その感じだと、あなたはきっとあと一回で射精してしまうでしょうね。\nたった二回の投げキスで射精させられてしまうのよ…❤
あう、あへぇっ・・・❤❤,あう、あへぇっ・・・❤❤
わたしに逝くところ見ててもらえて、\n最後は投げキスまでしてもらえるだなんて、\nとても幸せな最期だったでしょう？うふふ❤,わたしに逝くところ見ててもらえて、\n最後は投げキスまでしてもらえるだなんて、\nとても幸せな最期だったでしょう？うふふ❤
あうう・・・。\nわたしにこれだけダメージを与えるなんて、あなた強いのね。,あうう・・・。\nわたしにこれだけダメージを与えるなんて、あなた強いのね。
ほら、とどめを刺すなら刺しなさい。\nでも、そうね、最後の記念に、あなたにサービスしてあげる。,ほら、とどめを刺すなら刺しなさい。\nでも、そうね、最後の記念に、あなたにサービスしてあげる。
脚をゆっくり開いて、ほら・・・❤\nわたしのパンツ、見てもいいわよ❤,脚をゆっくり開いて、ほら・・・❤\nわたしのパンツ、見てもいいわよ❤
ん？ドロワーズのせいで見えにくい？\nなら、指をここにかけて・・・。こうすれば隙間から見えるでしょ？\nわたしの黒い下着❤とどめを刺す前にゆっくり楽しんで？,ん？ドロワーズのせいで見えにくい？\nなら、指をここにかけて・・・。こうすれば隙間から見えるでしょ？\nわたしの黒い下着❤とどめを刺す前にゆっくり楽しんで？
視線を外して攻撃した,視線を外して攻撃した
パンツに視線を吸い寄せられてしまった,パンツに視線を吸い寄せられてしまった
きゃ！ううっ、油断もしないなんてほんとに強い・・・。,きゃ！ううっ、油断もしないなんてほんとに強い・・・。
くす❤少しでも見ようと必死になってかわいいのね❤\nでも背後が隙だらけ。\nわたしの鎌が後ろに回り込んでいることにも気づかない…♪,くす❤少しでも見ようと必死になってかわいいのね❤\nでも背後が隙だらけ。\nわたしの鎌が後ろに回り込んでいることにも気づかない…♪
鎌を引いて、あなたを切り取ってあげる。えいっ❤,鎌を引いて、あなたを切り取ってあげる。えいっ❤
痛くなくて驚いた？\nこれは魂を刈り取る鎌だから、肉体にダメージはいかないの。\nでも、これであなたの魂はわたしのもの❤,痛くなくて驚いた？\nこれは魂を刈り取る鎌だから、肉体にダメージはいかないの。\nでも、これであなたの魂はわたしのもの❤
ほら、ここにある白いかたまりが魂よ❤\nこれを優しく両手でこねてあげる❤,ほら、ここにある白いかたまりが魂よ❤\nこれを優しく両手でこねてあげる❤
はぐぅううっ・・・❤,はぐぅううっ・・・❤
くすくす❤魂を握られるのって気持ちいいでしょう？\nわたしの手の感触が全身を包み込んできて、\nそのまま、もみもみもみ・・・♪,くすくす❤魂を握られるのって気持ちいいでしょう？\nわたしの手の感触が全身を包み込んできて、\nそのまま、もみもみもみ・・・♪
肩もお腹も、あなたのチンポも、\n一緒に手の平にもみこまれて、\n体中がうっとり気持ちよくなっちゃう❤,肩もお腹も、あなたのチンポも、\n一緒に手の平にもみこまれて、\n体中がうっとり気持ちよくなっちゃう❤
どれだけ大きい体があっても、こうなっちゃえば関係ないの。\nわたしの手の平の中で、喘いで悶えることしかできない❤\nね、恍惚感に抗えないでしょ？うふふ❤,どれだけ大きい体があっても、こうなっちゃえば関係ないの。\nわたしの手の平の中で、喘いで悶えることしかできない❤\nね、恍惚感に抗えないでしょ？うふふ❤
あうっ、ああっ・・・❤なに、これ、きもちいい・・・❤❤❤,あうっ、ああっ・・・❤なに、これ、きもちいい・・・❤❤❤
ふふ、もう武器も持てないね❤\n早く止めないと、あなたの魂、わたしに呑み込まれちゃうわよ❤,ふふ、もう武器も持てないね❤\n早く止めないと、あなたの魂、わたしに呑み込まれちゃうわよ❤
口の中に入れられたら、どんな気持ちよさだと思う？\n舌でチンポだけを舐められるのと、全然比べ物にならないの❤,口の中に入れられたら、どんな気持ちよさだと思う？\n舌でチンポだけを舐められるのと、全然比べ物にならないの❤
脚も腕も体中ぜんぶ力が入らなくなって、\nその場にへたぁってへたり込んじゃって、\nそのままドロドロって漏らすように射精してしまうの❤,脚も腕も体中ぜんぶ力が入らなくなって、\nその場にへたぁってへたり込んじゃって、\nそのままドロドロって漏らすように射精してしまうの❤
あなたが射精したら、それに合わせて\nごくんって魂を飲み込んであげる❤\nまずは口の中へ。あーむ・・・❤,あなたが射精したら、それに合わせて\nごくんって魂を飲み込んであげる❤\nまずは口の中へ。あーむ・・・❤
あひっ、あふっ、あへえぇ・・・❤❤あっ、ああっ、からだじゅうが舐められて・・・❤❤❤,あひっ、あふっ、あへえぇ・・・❤❤あっ、ああっ、からだじゅうが舐められて・・・❤❤❤
んふふ❤おいしい味がするわ❤\n強い人の魂っていい味がするのよね❤味わうために舌で転がして・・・❤\nんっ、れろっ、んれ、えろ❤,んふふ❤おいしい味がするわ❤\n強い人の魂っていい味がするのよね❤味わうために舌で転がして・・・❤\nんっ、れろっ、んれ、えろ❤
ふふ、びくびく痙攣して、地面に倒れこんじゃった。\nもう出しちゃうのね❤んっ、えろれろっ❤\nわたしに食べられちゃうわね❤,ふふ、びくびく痙攣して、地面に倒れこんじゃった。\nもう出しちゃうのね❤んっ、えろれろっ❤\nわたしに食べられちゃうわね❤
いいわよ・・・❤出しなさい❤\nあなたの魂わたしに呑み込まれちゃいましょ？\nほら舌を細かく動かして…❤んむ、もぐもぐ、れろえろれろれろ❤,いいわよ・・・❤出しなさい❤\nあなたの魂わたしに呑み込まれちゃいましょ？\nほら舌を細かく動かして…❤んむ、もぐもぐ、れろえろれろれろ❤
はぐあっ、あっ、あああっ❤❤❤,はぐあっ、あっ、あああっ❤❤❤
あひっ、あへぇあぁ・・・・❤❤,あひっ、あへぇあぁ・・・・❤❤
んっ、出したわね❤それじゃ、ごっくん❤,んっ、出したわね❤それじゃ、ごっくん❤
んふふ、おいしい…♪\nもう聞こえてないだろうけど、あなたの魂ちゃんと体に取り込んで、\n大事に使ってあげる❤,んふふ、おいしい…♪\nもう聞こえてないだろうけど、あなたの魂ちゃんと体に取り込んで、\n大事に使ってあげる❤
女の子に存在ごと食べてもらえるなんて、うれしいでしょ？\nくすくす❤,女の子に存在ごと食べてもらえるなんて、うれしいでしょ？\nくすくす❤
あんなに射精したのに、まだビクビク痙攣してる❤\n投げキスの気持ちよさ、なかなか抜けないみたいね。\nくすくす❤,あんなに射精したのに、まだビクビク痙攣してる❤\n投げキスの気持ちよさ、なかなか抜けないみたいね。\nくすくす❤
ふふ、呆けた顔で何もないところを見てる…❤\n魂を取られて何も考えられないのね❤\nかわいい❤,ふふ、呆けた顔で何もないところを見てる…❤\n魂を取られて何も考えられないのね❤\nかわいい❤
Bランクマスターって言ってもたいしたことないのね。\n盗賊退治に来た村の男たちと変わらないわ。\nくすくす❤,Bランクマスターって言ってもたいしたことないのね。\n盗賊退治に来た村の男たちと変わらないわ。\nくすくす❤
くす❤足にこんなにかかっちゃった。\n濃い生命エネルギーがおいしいわ❤,くす❤足にこんなにかかっちゃった。\n濃い生命エネルギーがおいしいわ❤
ふふふ❤膝をこすりつけられて射精しちゃった❤\nこんなにどろどろに出して、\n体が動かせなくなるぐらい射精しちゃったわね。,ふふふ❤膝をこすりつけられて射精しちゃった❤\nこんなにどろどろに出して、\n体が動かせなくなるぐらい射精しちゃったわね。
ふふ❤挟まれて全然持たなかったわね❤\nわたしのふとももがよほどお気に召したみたい❤\n濃い生命エネルギーがこんなにたくさん♪,ふふ❤挟まれて全然持たなかったわね❤\nわたしのふとももがよほどお気に召したみたい❤\n濃い生命エネルギーがこんなにたくさん♪
死神の少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。,死神の少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。
うぐうっ・・・❤,うぐうっ・・・❤
くす❤敗北を恥じることはないわ。\n人間じゃ、わたしに勝てないのも当然だもの。\nわたしは死神。人よりも遥かに上位の存在なのよ。,くす❤敗北を恥じることはないわ。\n人間じゃ、わたしに勝てないのも当然だもの。\nわたしは死神。人よりも遥かに上位の存在なのよ。
それにしても、あなたの魂・・・。\n魔力がたっぷりこもっていておいしそうね。\n冥界に送る前に、ちょっと味見をしてもいいかしら。,それにしても、あなたの魂・・・。\n魔力がたっぷりこもっていておいしそうね。\n冥界に送る前に、ちょっと味見をしてもいいかしら。
ほら、わたしのキスで、あなたの魂を吸い出してあげる・・・❤\nんっちゅ・・・❤,ほら、わたしのキスで、あなたの魂を吸い出してあげる・・・❤\nんっちゅ・・・❤
あっ、あっ、ああぁ・・・❤,あっ、あっ、ああぁ・・・❤
んふ❤自分の中から何かが抜け出ていくのを感じる？\nあなたの魂がゆっくりゆっくり・・・、わたしに吸い出されているの。,んふ❤自分の中から何かが抜け出ていくのを感じる？\nあなたの魂がゆっくりゆっくり・・・、わたしに吸い出されているの。
魂は強く体に結び付いているから、心を強く持って抵抗すれば\n吸われないで済むものなのよ。\nでも・・・❤,魂は強く体に結び付いているから、心を強く持って抵抗すれば\n吸われないで済むものなのよ。\nでも・・・❤
あなたみたいにもうメロメロになっちゃっている場合、\nんっ、むちゅ・・・❤きっと抵抗なんてできないわ❤,あなたみたいにもうメロメロになっちゃっている場合、\nんっ、むちゅ・・・❤きっと抵抗なんてできないわ❤
わたしに吸われるがまま、気持ちいいのに流されて、\n魂を引き抜かれちゃう❤,わたしに吸われるがまま、気持ちいいのに流されて、\n魂を引き抜かれちゃう❤
ほら、どんどん口の方に上がってきた❤\nBランクのマスターのくせに簡単に吸い出されちゃうわね❤\n唇でちゅぷちゅぱって甘くついばまれて、体中から力が抜けて・・・。,ほら、どんどん口の方に上がってきた❤\nBランクのマスターのくせに簡単に吸い出されちゃうわね❤\n唇でちゅぷちゅぱって甘くついばまれて、体中から力が抜けて・・・。
全部わたしに奪われちゃう❤\nくすくす❤ほら、おいで、かわいい魂さん❤\nんっ、むちゅ❤ちゅぷ、んっ❤,全部わたしに奪われちゃう❤\nくすくす❤ほら、おいで、かわいい魂さん❤\nんっ、むちゅ❤ちゅぷ、んっ❤
あひぃ・・・・❤,あひぃ・・・・❤
あら、魂をとられるのと同時に射精しちゃったの？\nふふ、頭の中ふわぁってなって、\n絶頂したときみたいに気持ちよくなっちゃったのね❤,あら、魂をとられるのと同時に射精しちゃったの？\nふふ、頭の中ふわぁってなって、\n絶頂したときみたいに気持ちよくなっちゃったのね❤
どう魂を抜かれた感覚。すべてにもやがかかって、\n頭の中がずっとふわふわしているでしょう？,どう魂を抜かれた感覚。すべてにもやがかかって、\n頭の中がずっとふわふわしているでしょう？
魂がここにある限り、\nもうぼんやりとしか私の言っていること分からないと思うけれど、\nこの魂、どうしてほしい？,魂がここにある限り、\nもうぼんやりとしか私の言っていること分からないと思うけれど、\nこの魂、どうしてほしい？
白いふわふわとしたこの塊を撫でてあげると、\n全身気持ちよくなれるのよ。ほら、まずはわたしの長い指で\nさわさわさわ・・・❤,白いふわふわとしたこの塊を撫でてあげると、\n全身気持ちよくなれるのよ。ほら、まずはわたしの長い指で\nさわさわさわ・・・❤
あふ、ふあぁ・・・・❤❤,あふ、ふあぁ・・・・❤❤
ふふ、なでるたびに体が跳ねて面白い❤\nまるで糸をわたしに繰られているあやつり人形ね❤,ふふ、なでるたびに体が跳ねて面白い❤\nまるで糸をわたしに繰られているあやつり人形ね❤
肩も首も、お腹も腰も・・・❤\n全部同時になでられてるみたいで、まるで天国でしょう？,肩も首も、お腹も腰も・・・❤\n全部同時になでられてるみたいで、まるで天国でしょう？
もちろんおちんちんも、\n神経にそのまま触られてるみたいに、\n快感がずんって深いところに響いてきて、とっても気持ちいいはず❤,もちろんおちんちんも、\n神経にそのまま触られてるみたいに、\n快感がずんって深いところに響いてきて、とっても気持ちいいはず❤
魂を取られたら、もう人間はわたしに逆らえないの。\n隷属の呪文を刻んだりする必要もないわ。\nだって…❤この快感を知ってしまったら、もう戻れないもの❤,魂を取られたら、もう人間はわたしに逆らえないの。\n隷属の呪文を刻んだりする必要もないわ。\nだって…❤この快感を知ってしまったら、もう戻れないもの❤
ふふふ❤ほら、両手で握って、１０本の指で、\nむぎゅむぎゅ・・・❤すりすりすり♪,ふふふ❤ほら、両手で握って、１０本の指で、\nむぎゅむぎゅ・・・❤すりすりすり♪
あへぇ❤あふ、ああぁ・・・・❤❤,あへぇ❤あふ、ああぁ・・・・❤❤
あは、また射精しちゃった❤,あは、また射精しちゃった❤
