default
師匠,師傅
行きなさい！{使用カード}を召喚！,去吧！{使用カード}召喚！
ふふ、何の効果も持たないカードだからって油断しちゃダメよ。\n女性モンスターはその体自体が男を惑わす武器になるの。,嗯哼哼，不可以因為是什麼效果也沒有的卡片就大意喔。\n女性怪獸的肉體自身就是魅惑男人的武器。
ううっ、あうう・・・❤,嗚嗚、啊呼呼……。
ふふふ❤その子を復活させて役に立つの？\nさっき自滅した情けない子じゃない❤,嗯哼哼，復活這孩子有用嗎？\n這孩子剛才不是才自爆過嗎？
魔法カード発動！{使用カード}！\nレベル４以下モンスター１体に直接攻撃能力を付与！,發動魔法卡！{使用カード}！\n賦予等級４以下的怪獸１體直接攻擊能力！
防御モンスターを無視して直接攻撃させてもらうわね。\n魔法カード、{使用カード}発動！,我要無視防禦怪獸直接攻擊了。\n魔法卡、{使用カード}發動！
魔法カード発動！{使用カード}！,發動魔法卡！{使用カード}！
魔法カード発動！{使用カード}！\n自分のモンスターに１回きりのバリアを付与するわ。,發動魔法卡！{使用カード}！\n賦予我方怪獸可抵擋一次的防護罩。
{使用カード}を発動し、敵から身を守る盾を味方に付与！,{使用カード}發動，賦予我方阻擋敵方攻擊的護盾！
もう一発いくわ。{使用カード}発動！,再一發。{使用カード}發動！
魔法カード発動！{使用カード}！\n相手モンスター全体に500ダメージ！,發動魔法卡！{使用カード}！\n給予對手所有怪獸500傷害！
しびれなさい！{使用カード}発動！,麻痺吧！{使用カード}發動！
そんな攻撃許すと思う？{使用カード}発動！,你以為我會讓你攻擊嗎！{使用カード}發動！
ふふ、攻撃はさせないわ。{使用カード}発動！,嗯哼哼，不讓你攻擊喔。{使用カード}發動！
トラップカード発動！{使用カード}！,發動陷阱卡！{使用カード}！
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
{使用カード}の効果発動！快楽の抱擁！,{使用カード}的效果發動！快樂的擁抱！
相手モンスターに500ダメージを与え、\n攻撃力を1500ダウンさせるわ。,給予對手怪獸500傷害，\n攻擊力降低1500點！
カードをセット。,蓋一張卡片。
カードを伏せるわ。,覆蓋一張卡片。
快楽を味合わせてあげるわ❤{使用カード}で{防御カード}を攻撃！,體驗快樂吧！{使用カード}對{防御カード}進行攻擊！
メイドの奉仕に耐えられるかしら？{使用カード}で{防御カード}を攻撃！,女僕的侍奉讓你酥麻！{使用カード}對{防御カード}進行攻擊！
さっさと逝かせてあげる❤{使用カード}で{防御カード}を攻撃！,讓你立刻射精！{使用カード}對{防御カード}進行攻擊！
バトルよ！{使用カード}で{防御カード}を攻撃！,戰鬥！{{使用カード}對{防御カード}進行攻擊！
行くわよ。{使用カード}で{防御カード}を攻撃！,我要上了。{{使用カード}對{防御カード}進行攻擊！
あら、すっかりおっぱいに骨抜きね。\n女性モンスターにご奉仕されて、その厄介さが分かったかしら。,哎呀，這完全被迷住了呢。\n女性怪獸的侍奉就是這麼危險，懂了嗎？
あら、手わざにすっかり骨抜きね。\n女性モンスターにご奉仕されて、その厄介さが分かったかしら。,哎呀，被手淫弄到著迷了呢。\n女性怪獸的侍奉就是這麼危險，懂了嗎？
快楽攻撃を受けて集中を乱されたり、\n戦う意思自体を奪われたり、\n力任せだけじゃない強さをもっと教えてあげる❤,快感攻擊會擾亂你的集中力、\n剝奪戰鬥意志，\n這就是不是只仰賴武力的女性怪獸之強大。
女性モンスター,女性怪獸
女性モンスターは効果テキストに書かれていない快楽ダメージを与えてきたり、状態異常を付与することがあります。（オプションでテキストに表示するように変更できます）,女性怪獸會給予效果欄中未寫入的快感傷害，還會賦予各種狀態異常。（可以在設定將這些效果改為會寫出。）
くっ、なにもできないわね。ターンエンド。,嗚，不能做事。回合結束。
出せる手札がないわ…。ターンエンドよ。,沒有可以出的牌……。回合結束。
ターン終了よ。,我的回合結束了。
ターンエンド。,回合結束。
わたしのターンはおしまい。ターンエンド。,我的卡片出完了。回合結束。
攻撃を無効にするトラップね。うまく使えているじゃない。,是使攻擊無效的陷阱呢。你用得很好呢。
でも、それはあくまでその場しのぎ。どこまで耐えられるかしら？,但是，那只是撐過一時的戰術而已。你能撐到什麼時候呢？
ううっ・・・。,嗚嗚……。
あは❤なになに？師匠のわたしでオナニーしちゃうわけ？,嗯哼哼，怎麼了？想對師傅我自慰嗎？
あは❤なになに？ほんとに師匠のわたしでオナニーしちゃうわけ？,嗯哼哼，怎麼了？真的要對你師傅自慰嗎？
くすくす❤節操なさすぎでしょ。\nエロ攻撃されたからって理性が飛んじゃうなんて、\nかわいいところあるのね❤,嗯哼哼，這根本一點節操也沒有呢。\n被色情攻擊後就喪失理性了呢，\n沒想到你還有這麼可愛的一面。
それで、どこをオカズにオナニーしているのかな？弟子？,那麼，你要用哪裡來自慰呢？我可愛的徒弟？
例えばおっぱいは、なかなか自信あるのよ❤\n服の上からでもわかるぐらい大きいでしょ。,例如說我的胸部，我的大小很棒對吧。\n即使是穿著衣服也看得出很大對不對？
こうやって手で揺らしてあげれば、ふふ、なかなかにエッチよね❤,只要我這樣子搖一搖，就會變得很色情對不對？
はあっ、はあぅっ・・・❤,啊哈、啊哈啊啊……。
あはは❤興奮しているの丸わかり。\nそんなんじゃとてもじゃないけど\n魔族領なんかに行かせるわけにはいかないわ。,啊哈哈，你興奮的樣子被人看光了呢。\n你這樣子我絕對不能允許你喔\n因為你這樣子根本不能放心讓你去魔族領地呢。
女型の魔物や、魔族のカードマスターに誘惑されて、\nすぐに餌食になっちゃうのがオチだもの。\nそんなのいやよね？,被女性魔物或魔族卡片玩家誘惑的話，\n馬上就要被吃掉了呢。\n你也不想要這樣對吧？
だから、一発抜いて、また修行しましょ。\n今回の試合はこれで終わりということで。,所以呢，射一發後繼續修行吧。\n這次的對戰就這樣結束了。
ああっ、もう・・・❤,啊啊，我要……。
ふふ。そっちの方ももう限界みたいね。,嗯哼哼，看來你這邊已經到極限了呢。
いいわよ。早く出しなさい。,好喔。趕快射出來吧。
気持ちよくなるところ見ててあげる❤\nついでにほら、チャームの魔法もかけてっと❤,讓我看光你舒服的模樣。\n然後還會順便幫你上魅惑魔法。
はひぃっ・・・❤❤,咿哈啊啊……。
イっちゃえ。馬鹿弟子❤,射吧。笨蛋徒弟❤
あは❤たくさん出てる。自分でしごくのそんなに気持ちよかったんだ。,啊哈哈，射了好多出來了呢。自己摸自己有這麼舒服嗎？
それじゃあ試合終了ね。明日から修行また頑張るのよ。,那麼對戰結束。明天要繼續努力修行喔。
あら❤\n敵のマスターの前にやってきて、しこしこ始めちゃうなんて、\nずいぶんと変態なのね❤,哎呀，\n在敵方玩家面前摸自己雞雞，\n真的好變態喔。
あなたのマスターはわたしじゃないのよ？\n分かってる？くすくす❤,你的主人可不是我喔，\n知道嗎？嗯哼哼❤
女モンスターにエッチな攻撃されて我慢できなくなっちゃった？\nやっぱり使い手が童貞だとモンスターもうぶになっちゃうのかしら。,被女性怪獸色情的攻擊弄到忍不住了嗎？\n果然使用者是童真的話怪獸也是超純潔的呢。
例えばほら、こうやっておっぱいを揺らしてあげれば・・・❤,你看嘛，只要我像這樣搖胸部……。
はううっ・・・❤,哈嗚嗚……。
あはは❤興奮して扱く手が早くなっちゃったわね。\nシコシコシコシコ、一生懸命にしごいてそんなに気持ちいいの？,啊哈哈，開始興奮起來手淫速度變快了呢。\n拼命的手淫自己雞雞的感覺舒服嗎？
練習試合とはいえ大事な試合なのに、\n試験に挑んでいるマスターのこと裏切っちゃうんだ。,就算是訓練對戰也是重要的對戰喔，\n竟然在這種重要的測試中背叛自己主人。
女の子にエッチなこといっぱいされて、\n戦うことよりシコシコすることの方が大事になっちゃったんだ❤,被女孩子做了各種色情的事情後，\n就覺得摸雞雞比戰鬥還重要了對吧？
くすくす❤ヘンタイ❤強そうなのは見た目だけね。,嗯哼哼，變態，你強的地方只有外貌而已呢。
気持ちよくなるところ見ててあげる❤シコシコ扱いて、射精しちゃえ。,讓我看清楚你舒服的樣子，然後摸雞雞摸到射精。
あは❤たくさん出てる。エナジーごちそうさま❤,啊哈哈，射了好多出來喔。謝謝你給我的能量。
ねえ、弟子？従僕がこんな調子で、本当に勝てるのかしら。なんならあなたも私の体でしこっちゃう？くすくす❤,欸，我可愛的徒弟。你的隨從都這副德性真的贏得了嗎？不然乾脆你也用我的身體來自慰吧？嗯哼哼❤
あは❤いきなり何しているわけ？まさか師匠のわたしでオナニー？,哎呀，突然開始做什麼啊？難不成你要對你師傅自慰？
ぷっ❤節操なさすぎでしょ。\nまだ１ターン目よ。何か興奮するようなことあった？,嗯哼，完全沒有節操呢。\n這才第一回合而已呢。有什麼好興奮的地方嗎？
えっちなことなんて分からないって言ってたのに、\n自分でおちんち触ると気持ちよくなることは知ってたんだ。,明明說自己不懂色色的事情，\n卻知道自己摸自己雞雞會覺得很舒服嗎？
女の子の体を見るだけで理性が飛んじゃうなんて、\nほんと童貞マスターってよわよわなのね❤くすくす❤,看見女孩子的身體理性就飛走了，\n童貞玩家真的好弱喔，嗯哼哼❤。
ふふ、馬鹿にされて興奮しちゃってる。しごく手が早くなってるわよ。,嗯哼哼，被嘲笑後興奮起來了呢。手淫速度也變快了呢。
ま、こうなっちゃったらもう練習試合は終わりね。\nどうせイくまで我慢なんてできないでしょう？,真是，變成這樣的話這場練習對戰也結束了呢。\n而且你根本沒辦法忍耐不手淫吧？
一度エッチなことで頭いっぱいになっちゃったら、\n男はもうそれでおしまい❤\n白いのびゅって出すまで猿になっちゃう。,只要腦袋裡面有色情的想法，\n這個男人就完蛋了呢。\n在射出白色汁液以前只能像頭蠢豬一樣的摸自己。
いいわよ。さっさと出しなさい。\nこんな簡単に負けちゃうなら、\n魔族領にだって行かないでしょ。,可以喔。趕快給我射出來。\n這麼簡單就輸掉，\n我根本不敢讓你去魔族領地呢。
気持ちよくなるところ見ててあげるわ❤\nついでにほら、チャームの魔法もかけてっと❤,讓我看光你舒服的模樣。\n然後還會順便幫你上魅惑魔法。
あは❤たくさん出てる。\n自分でしごくのそんなに気持ちよかったんだ。,啊哈哈❤射了好多出來喔。\n自己摸自己雞雞就這麼舒服嗎？
それじゃあ試合終了ね。\n明日から地道に修行に励むこと。わかった？,這麼一來對戰就結束了。\n明天要從基礎開始努力修行喔。聽懂了沒？
やっぱり使い手が童貞だとモンスターもうぶになっちゃうのかしら。\n例えばほら、こうやっておっぱいを揺らしてあげれば・・・❤,果然使用者是童真的話怪獸也是超純潔的呢。\n你看嘛，只要我像這樣搖胸部……。
練習試合とはいえ大事な試合なのに、\n召喚されてすぐにマスターのこと裏切っちゃうんだ❤,就算是訓練對戰也是重要的對戰喔，\n竟然在召喚後馬上背叛自己主人。
くすくす。ヘンタイ❤\n強そうなのは見た目だけね。,嗯哼哼，變態，\n強的只有外貌而已呢。
馬鹿にされて興奮しているところがますます変態ね。\nいいわよ。早く出しなさい。,被嘲笑以後還興奮感覺越來越變態了呢。\n可以喔。趕快射出來吧。
気持ちよくなるところ見ててあげる❤\nシコシコ扱いて、射精しちゃえ。,讓我看清楚你舒服的樣子吧。\n摸自己雞雞摸到射精吧。
あは❤たくさん出てる。\nマスターからもらった魔力をこんな形で敵にあげちゃって、悪い子ね❤,啊哈，射了好多出來呢。\n主人給你的魔力竟然以這種形式獻給敵人，真是壞孩子。
ねえ、弟子？\nあなたのモンスターがこんな調子で、本当に勝てるのかしら。\nなんならあなたも私の体でしこっちゃう？くすくす❤,欸，徒弟啊。\n你的怪獸都這副德性，真的贏得了嗎？\n要不要乾脆你也對我的身體自慰如何？嗯哼哼。
わかりました。師匠！,我知道了！師傅！
・・・・。,……。
ありがとうございます。師匠！,謝謝您的教誨！師傅！
