default
サキュバスメイド,魅魔女僕
あん、熱い精液がこんなにたくさん❤\n気持ちよかったですか？お客様❤,啊～這麼多滾燙的精液，\n看來客人很舒服呢。
他の方もどうぞいらしてください。\n次はわたしのおっぱいをおかずにさせてあげますよ❤うふふ❤,其他客人也請過來吧。\n我會讓您清楚看見我的胸部讓您可以盡情自慰，\n嗯哼哼❤。
あらあら❤本当に来ましたね❤\nおっぱいを見せてくれるって聞いて、我慢できなかったんですか？,哎呀呀，真的來了呢。\n聽見可以看胸部就忍不住了嗎？
戦わないといけないのに、\n敵モンスターの前でシコシコ❤シコシコ❤\n実にみっともないです❤,明明非戰鬥不可，\n卻在敵人面前摸自己陰莖，\n感覺好丟人喔❤。
ほら、約束したおっぱいですよ❤お客様❤,來，這是說好的胸部，客人請慢用。
え？生で見せてくれないのか、ですって？,欸？您問為什麼沒有露嗎？
うふふ❤わたしはただ「おっぱいを見せてあげる」と言っただけですよ。\n間近で見せればそれで十分でしょう？,嗯哼哼❤，我只說「給您看胸部」而已喔。\n能夠這麼靠近看已經很夠了吧？
それにほら、こうやって揺らしてあげれば…❤,然後像這樣搖晃的話……
くすくす❤とっても気持ちよくなっちゃうんですよね？,嗯哼哼❤這樣子也感覺很舒服對不對？
生おっぱいなんていりません。服越しの軽い揺れで十分です❤,你根本不需要看露出的胸部喔。只要隔著衣服看乳搖就行了。
ほら、雑魚の戦士さん❤\nおっぱいをたっぷり見ながら、気持ちいい射精しちゃいましょう？,快點，廢物戰士❤。\n看著女僕的胸部，舒服得射精吧。
あん、熱い精液がこんなにたくさん❤\nあなたもオナニーなんかで負けちゃいましたね。くすくす❤,啊，好多滾燙的精液，\n你也以自慰的形式輸掉了呢。嗯哼哼❤。
残りの方もどうぞいらしてください。\nわたしのおっぱい、近くで見せてあげますよ？,剩下的各位也請過來吧。\n這裡可以近距離看我的胸部喔。
あらあら❤本当に来ましたね❤\nおっぱいを見せてくれるって聞いて、\nあなたも我慢できなかったんですか？,哎呀，真的過來了呢。\n我說可以看我胸部，\n就讓您忍不住了嗎？
直接見せてもらえるわけでもないのに、\n物好きですね、お客様❤,明明就沒有要露給你看，\n您的嗜好還真是特別呢，客人。
ほら、どうぞ、\n前かがみで顔のすぐそばに近づけてさしあげます。\nご堪能くださいませ❤,來，請看。\n我身體向前彎曲靠近您的臉。\n請仔細品味。
うふふふ❤明らかにしごく速度が上がりましたね。\nおっぱいで興奮しちゃいましたか？,嗯哼哼❤。手淫速度明顯提升了。\n胸部就讓您這麼興奮嗎？
いいんですよ、もうどうせこのバトルは負けです。\n何人も何人もオナニーで自爆しちゃって、勝てるわけがありません。,沒關係的喔，反正這場對戰已經輸了。\n畢竟已經無數人在我胸部前面自慰後自爆了，這已經贏不了了呢。
だから、ほら、たっぷり乳揺れ、楽しみましょうね❤,所以現在就好好享受我的乳搖吧。
あは❤夢中でしごいちゃってかわいらしい❤,啊哈❤。認真自慰的模樣好可愛喔。
まともに戦えば少しぐらいは手傷を負わせられたでしょうに、\n敵にエナジーささげて回復までさせちゃって・・・。\n救いようがない人たちです❤,認真戰鬥的話多少還能給我造成傷害，\n但您卻給敵人能量使其回復。\n你們還真是沒救了呢❤。
ほらほらほら❤\n見ててあげますから、そのまましごいて、びゅーって出してください❤\n変態さん❤,請繼續吧。\n我會繼續給您看，而您就這樣子自慰下去，舒服到射精吧。\n變態客人❤。
あん、熱い精液がこんなにたくさん❤,啊，有這麼多滾燙的精液呢。
自分から負けちゃう、敗北射精、\n気持ちよかったですか？\nくすくす❤,自己來一個敗北射精的感覺還舒服嗎？\n嗯哼哼❤。
あん、これ以上攻撃しないでください。\nやられてしまいます・・・。,啊，請不要再攻擊了。\n我已經被打敗了……。
もし攻撃しないでくだされば、\nいいこと、してあげますよ？,如果您願意放棄攻擊的話，\n我可以幫客人做舒服的事情喔。
ううっ、いじわる,嗚嗚，你好壞。
くす❤ありがとうございます。,嗯哼❤感謝客人的不殺之恩。
それでは、お約束のご褒美です❤えい❤,那麼，這是約好的舒服事情……嘿呀❤
気持ちいいですか？\nお顔をおっぱいでたくさんかわいがっててあげますね❤,請問這樣舒服嗎？\n我會用胸部好好疼愛你的臉頰喔❤。
こうやって押し付けながら、\n上下に動かして・・・❤,像這樣緊緊貼著您，\n然後上下挪動……。
あうううっ…❤,啊嗚嗚嗚……
むにむに❤むにむに❤\nお顔をたっぷりマッサージしてあげます❤,好好用臉體驗我的胸部觸感，\n我會用胸部對您的臉頰做按摩。
心がとろけちゃうような快楽マッサージ。\nわたくしのご奉仕存分に楽しんでくださいね❤,這是能奪走你的心的快樂按摩。\n好好享受我的侍奉吧。
うふふ❤体がビクンビクンしてます。\nとても満足していただけているようです❤,嗯哼哼，身體都在發抖了呢。\n看起來非常滿足的樣子呢。
直接おちんちんを触っているわけでもないのに、\n気持ちよすぎてイっちゃいそうなんですか？お客様。,明明都沒有直接碰到陰莖，\n卻已經爽到要射了嗎？客人？
あっ、ああっ❤も、もうダメ❤こんなのっ…❤,啊、啊啊！不、不行了！這種事情……
なら、どうぞ。果ててください❤\nぎゅーってお顔を抱きしめてあげます❤,那麼，請吧。請在這裡射精吧。\n我會緊緊抱住您的臉。
おっぱいに包まれながら気持ちいい最後を、迎えてくださいね❤\nほら、ぎゅー❤,讓您在被胸部包覆的快樂中迎接射精吧。\n嗯哼，要射了喔❤
んふふ❤おいしい精液ありがとうございます。\nおかげで傷もすっかり直ってしまいました❤,嗯哼哼❤。謝謝客人美味的精液。\n多虧客人讓我的傷勢全好了呢。
体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,客人，\n請問射到站不起來的射精還舒服嗎？
ううっ、思った以上にやりますね・・・。,嗚嗚嗚，真的比我想像中的還厲害呢……。
おかげで服もボロボロ、このままでは負けてしまいます…。,我的衣服都被打爛了，這樣子下去會輸掉……。
見てください。この服のところ。\n破けて乳首が見えちゃいそうですね。,請看。這件衣服破掉的地方。\n可以隱約看見乳頭對吧？
きゃあ、ううっ、おっぱいに興味ありませんでしたか。,呀啊啊！客人您對胸部沒興趣嗎？
ふふ❤吸い寄せられるみたいに見てますね。隙だらけです。,嗯哼哼❤視線已經緊緊被吸過來了呢。全身都是破綻。
ほら、おっぱい揺らしながらそばまで行っちゃいますね。\n動いちゃだめですよ？,請看，我要一邊搖胸部一邊走到您身邊喔。\n這途中不可以動喔。
はい、捕まえた❤,抓到客人了。
こうやって押し付けながら、上下に動かして・・・❤,像這樣壓著您，上下挪動……。
むにむに❤ぱふぱふ❤\nお顔をたっぷりマッサージしてあげます❤,成功❤\n我要對客人的臉頰做按摩喔。
うふふ❤体がビクンビクンしてます。\nとっても満足していただけているようです❤,嗯哼哼❤身體在顫抖呢。\n看起來客人非常滿意對不對？
直接おちんちんを触っているわけでもないのに、\n気持ちよすぎてイっちゃいそうなんですか。お客様。,明明就沒有直接碰到客人的陰莖，\n卻讓客人舒服到要射了呢。
おっぱいに包まれながら気持ちいい最後を、\n迎えてくださいね❤\nほら、ぎゅー❤,以被胸部包覆的極致快感來迎接射精吧。\n請仔細品嚐❤
んふふ❤おいしい精液ありがとうございます。\nおかげで傷もすっかり治ってしまいました❤,嗯哼哼❤感謝客人美味的精液。\n我的傷勢全好了呢。
試験のことを忘れながら、\n体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,把試驗的事情丟到腦後，\n盡情對女僕的胸部射精的感覺還舒服嗎？\n我親愛的客人❤
マスターのことを忘れながら、\n体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,把主人的事情丟到腦後，\n盡情在女僕胸部中射精的感覺還舒服嗎？\n我親愛的客人❤
あら、わたくしのご奉仕をご所望なのですか？\nくすくす❤お師匠様に実力を見せる機会だというのに、\nそんなおねだりをしてしまうんですね❤,哎呀，請問您希望我的侍奉嗎？\n嗯哼哼❤明明是讓師傅見證自己努力的重要機會，\n竟然用在這種懇求上面。
あら、わたくしのご奉仕をご所望なのですか？\nくすくす❤マスターの大事な試験の場だというのに、\nそんなおねだりをしてしまうんですね❤,哎呀，請問您是希望我的侍奉嗎？\n嗯哼哼❤，\n竟然在自己主人重要的試驗對戰中做出這種懇求❤。
お客様はどのような行為をお望みなのでしょうか。\n胸で挟んでほしいですか？それとも手でしごいてほしいですか？\nどうぞ、ご希望をお申しつけください❤,請問客人想要怎樣的性行為呢？\n想要我用胸部夾？還是希望我用手幫你？\n請說出您的請求。
くす❤この胸で気持ちよくなりたいのですね❤\nかしこまりました❤それでは淫魔のパイズリご奉仕を、\n存分にお楽しみください❤,嗯哼❤想要被這對胸部弄得很舒服呀❤\n遵命❤\n請仔細品嚐魅魔的乳交侍奉。
くす❤わたしの胸で顔を甘やかしてほしいのですか？\nかしこまりました❤それではわたしの柔らかいおっぱいで、\n存分にぱふぱふ❤とさせていただきますね❤,嗯哼❤想被我用胸部疼愛臉頰嗎？\n遵命❤\n那麼就讓我用我柔軟的胸部來疼愛您的臉頰。
ふふふ❤手で気持ちよくしてほしいのですか？\nかしこまりました❤それでは手袋でシコシコと扱かせていただきます❤\n存分にお楽しみくださいませ❤,嗯哼哼❤想要用我的手來舒服嗎？\n遵命❤\n我會用我的手套來觸摸客人的陰莖。
うふふ❤わたくしのパイズリご奉仕ですぐに果ててしまいましたね❤\nサキュバスのおっぱいは柔らかかったですか？くすくす❤,嗯哼哼❤受到我的乳交侍奉馬上就射了呢❤\n魅魔的胸部柔軟到根本受不了對吧？\n嗯哼哼❤
くす❤最後にビクンっと跳ねて射精されてしまわれました❤\nメイドのおっぱいで息ができなくなるほどぱふぱふされるのは\n幸せでしたか？満足していただけたようです❤,啊哈❤最後還用力彈一下才射精❤\n被女僕用胸部幹臉幹到不能呼吸的感覺是不是很幸福呢？\n您能滿足比什麼都好❤
うふふ❤やはり殿方はしこしことさわられると、あまり耐えられませんね❤\n腰を突きだしながらこんなに勢いよく射精して、\n淫魔相手にそのような弱さではこの先大変ですよ❤,嗯哼哼❤從您被手淫開始就已經是一臉忍不住的樣子呢。\n還一邊扭腰一邊拼命射精，\n如果這樣屈服於魅魔對手的話未來的旅途會很難過喔❤
うふふ。わたしのご奉仕はどうでしたか？\n気持ちよく敗北出来て、よかったですね。お客様❤,嗯哼哼。請問我的侍奉感覺如何？\n能夠舒服得敗北，感覺很棒嗎？\n我親愛的客人❤。
メイドのパイズリ,女僕的乳交
メイドのぱふぱふ,女僕的埋胸
メイドの手コキ,女僕的手交
攻撃する,攻擊她
攻撃しない,不攻擊
無視して攻撃した,無視她並攻擊
言われるまま見てしまった,被說到想盯著看


