default
行商人の娘,行商人の娘
（ううぅ❤なんで、体に力が入らない・・・❤）,（ううぅ❤なんで、体に力が入らない・・・❤）
・・・くすくす❤\nお兄さんもそういう顔になっちゃうんだ❤,・・・くすくす❤\nお兄さんもそういう顔になっちゃうんだ❤
わたしのお父さんもね、わたしにさわられてるだけで、\n顔が赤くなってすごく気持ちよさそうな顔しちゃうんだよ❤,わたしのお父さんもね、わたしにさわられてるだけで、\n顔が赤くなってすごく気持ちよさそうな顔しちゃうんだよ❤
お父さんは商人なんだけどね、\n最近ずっと女の子の絵のカードをぼーっと見てたの。\nわたしお父さんにかまってほしくて、そのカードを取っちゃったの。,お父さんは商人なんだけどね、\n最近ずっと女の子の絵のカードをぼーっと見てたの。\nわたしお父さんにかまってほしくて、そのカードを取っちゃったの。
そしたらね、わたしの体がぽーっとあったかくなって、\nそれからなんだ、男の人の体をさわるとね、\nその人がわたしに夢中になっちゃうの❤,そしたらね、わたしの体がぽーっとあったかくなって、\nそれからなんだ、男の人の体をさわるとね、\nその人がわたしに夢中になっちゃうの❤
お父さんもわたしのことばっかり考えてくれるようになったんだよ❤\n手をぎゅって握ってあげながら、お父さんの顔をじーって見てあげるの。\nそうしたら・・・,お父さんもわたしのことばっかり考えてくれるようになったんだよ❤\n手をぎゅって握ってあげながら、お父さんの顔をじーって見てあげるの。\nそうしたら・・・
いつもはかっこいいお父さんなのに、かわいい顔で、わたしの名前を何回も呼んでね。びくびくびくって震えて、きもちよさそうな声も出して、すごくおもしろいんだ❤,いつもはかっこいいお父さんなのに、かわいい顔で、わたしの名前を何回も呼んでね。びくびくびくって震えて、きもちよさそうな声も出して、すごくおもしろいんだ❤
おにいさんも同じだね❤\n手を握ってあげたら、すごくうっとりしちゃってる❤\nわたしに手を握ってもらえてうれしい？,おにいさんも同じだね❤\n手を握ってあげたら、すごくうっとりしちゃってる❤\nわたしに手を握ってもらえてうれしい？
女の子はかわいらしく首をかしげて僕に尋ねる。僕はふわふわとした意識の中、なにも考えられずこくんとうなずいてしまう。,女の子はかわいらしく首をかしげて僕に尋ねる。僕はふわふわとした意識の中、なにも考えられずこくんとうなずいてしまう。
ほんと？\nあはは、すごいすごい❤\nわたし、カードマスターの人もメロメロにできちゃうんだ❤,ほんと？\nあはは、すごいすごい❤\nわたし、カードマスターの人もメロメロにできちゃうんだ❤
ねー、おにいさん。こっち来て？\nあっちの人が少ないところで、わたしとふたりきりで遊ぼう？,ねー、おにいさん。こっち来て？\nあっちの人が少ないところで、わたしとふたりきりで遊ぼう？
わたしの手、もう離したくないよね❤\nほら、おにいさんのこと向こうまで引っぱって行ってあげるね❤,わたしの手、もう離したくないよね❤\nほら、おにいさんのこと向こうまで引っぱって行ってあげるね❤
女の子は僕の手を引いて優しく物陰に連れて行こうとする。この状況に僕は・・・。,女の子は僕の手を引いて優しく物陰に連れて行こうとする。この状況に僕は・・・。
うわわっ。えー、わたしと一緒に遊びたくないの？\nあんなに気持ちよさそうな顔してたのに、\n手を離しちゃうなんて・・・。,うわわっ。えー、わたしと一緒に遊びたくないの？\nあんなに気持ちよさそうな顔してたのに、\n手を離しちゃうなんて・・・。
うう、お父さんだけにしか、この魔法って効果がないのかな？\nお兄さんと「イイこと」して、\nあそびたかったなー・・・。ざんねん。,うう、お父さんだけにしか、この魔法って効果がないのかな？\nお兄さんと「イイこと」して、\nあそびたかったなー・・・。ざんねん。
そう言いながら女の子は自分の両手を組んで、にぎにぎと見せつけてくる。さっきまで感じていた彼女の手の平の気持ちよさが思い出されて、ついまた手を握りたくなってしまう。,そう言いながら女の子は自分の両手を組んで、にぎにぎと見せつけてくる。さっきまで感じていた彼女の手の平の気持ちよさが思い出されて、ついまた手を握りたくなってしまう。
しかし僕は気を強く持って女の子から離れて受付の方に戻った。ただの小さい女の子のはずだがなぜだか危険な感じがする。これ以上近づかない方がいいだろう。,しかし僕は気を強く持って女の子から離れて受付の方に戻った。ただの小さい女の子のはずだがなぜだか危険な感じがする。これ以上近づかない方がいいだろう。
えへへ、やっぱり遊びたくなったの？\nもじもじしながらわたしのところにやってきて、\nおにいさんかわいいんだね❤,えへへ、やっぱり遊びたくなったの？\nもじもじしながらわたしのところにやってきて、\nおにいさんかわいいんだね❤
ほら、さびしそうにしてるおててを、\nぎゅって握ってあげる❤\nきもちいいのでいっぱいになってねー❤,ほら、さびしそうにしてるおててを、\nぎゅって握ってあげる❤\nきもちいいのでいっぱいになってねー❤
そう言って女の子は僕の手を取り、片手をぴとっとふれさせてきた。,そう言って女の子は僕の手を取り、片手をぴとっとふれさせてきた。
触れるだけで手の平がぽわっとあたたかくなり、心地よい快感が流れ込んでくる。,触れるだけで手の平がぽわっとあたたかくなり、心地よい快感が流れ込んでくる。
（ううぅ❤体に力が入らない・・・❤きもちいい・・・❤）,（ううぅ❤体に力が入らない・・・❤きもちいい・・・❤）
うっとりしている僕を見て、女の子はにこりと笑い、さらに恋人同士がするようにぎゅっと指をからませてきた。,うっとりしている僕を見て、女の子はにこりと笑い、さらに恋人同士がするようにぎゅっと指をからませてきた。
指と指の間に女の子の指がすべりこみ、にぎにぎと軽い圧力を加えてくる。たったそれだけでまるで心を直接もみほぐされているように、体中が脱力してしまい、僕は夢心地にされてしまった。,指と指の間に女の子の指がすべりこみ、にぎにぎと軽い圧力を加えてくる。たったそれだけでまるで心を直接もみほぐされているように、体中が脱力してしまい、僕は夢心地にされてしまった。
おにいさん。すごくだらしない顔してる❤\nほら、こっちに来て？\n人が少ないところで、わたしとふたりきりで遊ぼう？,おにいさん。すごくだらしない顔してる❤\nほら、こっちに来て？\n人が少ないところで、わたしとふたりきりで遊ぼう？
わたしの手、もう離したくないよね❤\nおにいさんのこと向こうまで引っぱって行ってあげるね❤,わたしの手、もう離したくないよね❤\nおにいさんのこと向こうまで引っぱって行ってあげるね❤
くす❤いいこ、いいこ❤\nこっちだよ、おにいさん❤,くす❤いいこ、いいこ❤\nこっちだよ、おにいさん❤
ほら、机の下に隠れて？\nここならほかの人にないしょであそべるよ❤,ほら、机の下に隠れて？\nここならほかの人にないしょであそべるよ❤
えへへ、なんだか二人でかくれんぼしてるみたいで\nわくわくしちゃうね❤\n鬼さんがいないから、ずっと終わらないかくれんぼだね❤,えへへ、なんだか二人でかくれんぼしてるみたいで\nわくわくしちゃうね❤\n鬼さんがいないから、ずっと終わらないかくれんぼだね❤
あう、ああ・・・・❤,あう、ああ・・・・❤
僕は女の子の言葉をぼんやりした頭で聞いていた。彼女にずっと手を握られているからか、体がぽかぽかと気持ちよくて仕方がない。,僕は女の子の言葉をぼんやりした頭で聞いていた。彼女にずっと手を握られているからか、体がぽかぽかと気持ちよくて仕方がない。
魔力のバリアも何もなしに、彼女の手を握ったのがいけなかったのだろうか。ああ・・・、だめだ思考がまとまらない・・・❤,魔力のバリアも何もなしに、彼女の手を握ったのがいけなかったのだろうか。ああ・・・、だめだ思考がまとまらない・・・❤
んもう、口からよだれが垂れてるよ？\nわたしより大きいのに恥ずかしいおにいさん❤,んもう、口からよだれが垂れてるよ？\nわたしより大きいのに恥ずかしいおにいさん❤
ズボンのところもすごく大きくなってる❤\nこんなに腫れてたらズボンがきつくて痛くなっちゃうよね。\n痛くないようになでなでってしてあげるね❤,ズボンのところもすごく大きくなってる❤\nこんなに腫れてたらズボンがきつくて痛くなっちゃうよね。\n痛くないようになでなでってしてあげるね❤
片方の手はつないだまま、もう片方の手で、\nなでなで❤,片方の手はつないだまま、もう片方の手で、\nなでなで❤
うあっ❤はぅうう・・・❤,うあっ❤はぅうう・・・❤
(なんだこれ、力が抜けて・・・❤\nううっ、きもちいい・・・❤),(なんだこれ、力が抜けて・・・❤\nううっ、きもちいい・・・❤)
くすくす❤\nだらんってしちゃって、気持ちよさそうな顔❤\nおまたのところなでなでしてもらえてうれしい？,くすくす❤\nだらんってしちゃって、気持ちよさそうな顔❤\nおまたのところなでなでしてもらえてうれしい？
手を握ってもらったりなでなでってしてもらうのがうれしいなんて、\n小さい子供みたいなおにいさんだね❤,手を握ってもらったりなでなでってしてもらうのがうれしいなんて、\n小さい子供みたいなおにいさんだね❤
もっとなでなでってしてあげる❤\n手の平をぴとってくっつけって、\nやさしく、なで、なで❤,もっとなでなでってしてあげる❤\n手の平をぴとってくっつけって、\nやさしく、なで、なで❤
はひぃっ❤あっ、ああっ、うぅぅ❤,はひぃっ❤あっ、ああっ、うぅぅ❤
んふふふ❤お兄さんと手をつないでいるとね、\nなんだかすっごく「おいしい」のが、\n体に流れ込んでくるの❤,んふふふ❤お兄さんと手をつないでいるとね、\nなんだかすっごく「おいしい」のが、\n体に流れ込んでくるの❤
手をにぎってズボンをさわって、\nそれでおいしいって感じるのなんて変だよね？\nでもさわってるところから何か流れてきて、それが「おいしい」の❤,手をにぎってズボンをさわって、\nそれでおいしいって感じるのなんて変だよね？\nでもさわってるところから何か流れてきて、それが「おいしい」の❤
お父さんよりもお兄さんの方がずっとおいしいかも❤\nなんでだろうね、分からないけど、\nもっともっとほしいな～❤ほら・・・❤,お父さんよりもお兄さんの方がずっとおいしいかも❤\nなんでだろうね、分からないけど、\nもっともっとほしいな～❤ほら・・・❤
早くごしごしってしてあげる❤\nこうしたらもっとおいしいのが流れてくるかな～❤,早くごしごしってしてあげる❤\nこうしたらもっとおいしいのが流れてくるかな～❤
なでなでなで❤なでなでなで❤\nもっともっとちょうだ～い❤,なでなでなで❤なでなでなで❤\nもっともっとちょうだ～い❤
はひぃっ❤あっ、ああっ、きもちよすぎる❤\nこんな、闘技場の受付でなんてっ❤\nああ❤だめなのにっ、もうっ❤,はひぃっ❤あっ、ああっ、きもちよすぎる❤\nこんな、闘技場の受付でなんてっ❤\nああ❤だめなのにっ、もうっ❤
んー？なにがダメなの？\nお兄さん、全然ダメそうな顔してないよ❤,んー？なにがダメなの？\nお兄さん、全然ダメそうな顔してないよ❤
わたしに手でなでなでしてもらえて、\nすごく嬉しそうな顔してる❤,わたしに手でなでなでしてもらえて、\nすごく嬉しそうな顔してる❤
おちんちんをなでなですると\nたくさん「おいしい」のが流れてくるから、\nほら、もっとしちゃうよ❤,おちんちんをなでなですると\nたくさん「おいしい」のが流れてくるから、\nほら、もっとしちゃうよ❤
うあ、ああっ、きもちいいっ❤はひぃっ❤❤,うあ、ああっ、きもちいいっ❤はひぃっ❤❤
きゃ、なになに？\nおちんちんがびくんってなって、ズボンが濡れちゃった。,きゃ、なになに？\nおちんちんがびくんってなって、ズボンが濡れちゃった。
もしかしてお兄さん、気持ちよすぎてお漏らししちゃったの？\nくすくす❤大人なのに赤ちゃんみたいだね❤,もしかしてお兄さん、気持ちよすぎてお漏らししちゃったの？\nくすくす❤大人なのに赤ちゃんみたいだね❤
あれー・・・。このお漏らしなんだかべとべとしてる。\nそれに変なにおいで・・・。\nんっ、ぺろ、おいしい・・・❤,あれー・・・。このお漏らしなんだかべとべとしてる。\nそれに変なにおいで・・・。\nんっ、ぺろ、おいしい・・・❤
あはは、わたしおかしくなっちゃったのかな。\nお兄さんの出したこれがすっごくおいしい❤\nそんなのって変だよね。でも、もっとほしい・・・❤,あはは、わたしおかしくなっちゃったのかな。\nお兄さんの出したこれがすっごくおいしい❤\nそんなのって変だよね。でも、もっとほしい・・・❤
女の子は射精したばかりの僕のズボンに顔を近づけ、唇をぴとっと押し付けてきた。,女の子は射精したばかりの僕のズボンに顔を近づけ、唇をぴとっと押し付けてきた。
唇が淡くピンク色に発光し、僕の体中をぞわぞわとした快感が走る。体中から力を吸い出されているような感覚で、あまりの気持ちよさに腰が抜けそうになってしまう。,唇が淡くピンク色に発光し、僕の体中をぞわぞわとした快感が走る。体中から力を吸い出されているような感覚で、あまりの気持ちよさに腰が抜けそうになってしまう。
はへぇ・・・❤❤,はへぇ・・・❤❤
んふふ、すごく「おいしい」❤\nズボンの上からなのに、おもらしした分を全部吸い取れちゃった。\nこれも魔法なのかな？,んふふ、すごく「おいしい」❤\nズボンの上からなのに、おもらしした分を全部吸い取れちゃった。\nこれも魔法なのかな？
おにいさんもとってもきもちよさそうな顔してるね❤\nこうやって吸ってもらえるのってされる方も気持ちいいんだ❤\nおもしろーい❤,おにいさんもとってもきもちよさそうな顔してるね❤\nこうやって吸ってもらえるのってされる方も気持ちいいんだ❤\nおもしろーい❤
あ、そろそろおうちに帰らないと。\nおにいさんはわたしとあそべて楽しかった？\nおにいさんがしてほしければまたあそんであげるからね❤,あ、そろそろおうちに帰らないと。\nおにいさんはわたしとあそべて楽しかった？\nおにいさんがしてほしければまたあそんであげるからね❤
おうちの場所おしえてあげるから、\nいつでも遊びに来ていいよ❤\nばいば～い❤,おうちの場所おしえてあげるから、\nいつでも遊びに来ていいよ❤\nばいば～い❤
（・・・・。\nこの先に行けば、闘技場で会った女の子の家だ。）,（・・・・。\nこの先に行けば、闘技場で会った女の子の家だ。）
(手を握られただけで、体に力を入れられなくなって\nどう考えても普通の女の子じゃなかった。\n家を教えてもらったけれど、本当に行って大丈夫なのだろうか),(手を握られただけで、体に力を入れられなくなって\nどう考えても普通の女の子じゃなかった。\n家を教えてもらったけれど、本当に行って大丈夫なのだろうか)
(それにあの子に会ってからどうも魔力の調子がおかしい。\n以前よりも出せる魔力の量が落ちたというか・・・。\n取り返しのつかないことになりそうな気がする),(それにあの子に会ってからどうも魔力の調子がおかしい。\n以前よりも出せる魔力の量が落ちたというか・・・。\n取り返しのつかないことになりそうな気がする)
女の子の家に行く,女の子の家に行く
やめておく,やめておく
(ううっ・・・❤だめだ、会いたくてがまんできない・・・❤),(ううっ・・・❤だめだ、会いたくてがまんできない・・・❤)
くすくす❤闘技場で会ったおにいさんだ。\n本当にきちゃったんだ。\nあそびにきてくれてうれしいな～❤,くすくす❤闘技場で会ったおにいさんだ。\n本当にきちゃったんだ。\nあそびにきてくれてうれしいな～❤
わたしにまたおててをつないでほしいんだよね❤\nいいよ、ほら、手を出して・・・❤,わたしにまたおててをつないでほしいんだよね❤\nいいよ、ほら、手を出して・・・❤
はい、ぎゅ～❤,はい、ぎゅ～❤
はひぃ・・・❤\nうう、やっぱりきもちいい・・・❤❤,はひぃ・・・❤\nうう、やっぱりきもちいい・・・❤❤
女の子に手を握られて、僕の体から何かを吸い出されている感覚がする。身を任せてはいけないと思うのに、体をつつむ快感に僕は抗えなくされてしまう。,女の子に手を握られて、僕の体から何かを吸い出されている感覚がする。身を任せてはいけないと思うのに、体をつつむ快感に僕は抗えなくされてしまう。
家の玄関をくぐったすぐそばで、僕はあまりの気持ちよさにその場で膝をついてへたりこんでしまう。僕よりも小さい女の子に手を握られているだけなのに・・・。,家の玄関をくぐったすぐそばで、僕はあまりの気持ちよさにその場で膝をついてへたりこんでしまう。僕よりも小さい女の子に手を握られているだけなのに・・・。
おにいさん、へなへな～ってなっちゃっておもしろい❤\nいまおとうさんはお店に行ってるから、\nおにいさんとたくさんあそぶんだ～。,おにいさん、へなへな～ってなっちゃっておもしろい❤\nいまおとうさんはお店に行ってるから、\nおにいさんとたくさんあそぶんだ～。
あー、またおちんちんが腫れちゃってる❤\nパンパンになって痛い？いいこいいこってしてあげるね❤\nくすくす❤,あー、またおちんちんが腫れちゃってる❤\nパンパンになって痛い？いいこいいこってしてあげるね❤\nくすくす❤
はうぅぅ・・・❤,はうぅぅ・・・❤
その後ぼくは夜になるまで彼女に「あそんで」もらった。ズボンはべたべたになったが彼女が手を当てるだけでその精液はきれいに吸い取られてしまった。,その後ぼくは夜になるまで彼女に「あそんで」もらった。ズボンはべたべたになったが彼女が手を当てるだけでその精液はきれいに吸い取られてしまった。
体中が異様なほど重く感じる、ぼくはふらふらになりながらなんとか宿屋に戻ったのだった。,体中が異様なほど重く感じる、ぼくはふらふらになりながらなんとか宿屋に戻ったのだった。
（・・・・。\nこの先に行けば、あの女の子の家だ。）,（・・・・。\nこの先に行けば、あの女の子の家だ。）
おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことだいすきになっちゃったね❤,おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことだいすきになっちゃったね❤
きょうはねー、服の上からなでなでするだけじゃなくて、\nおちんちんがどうなってるか直接見てみたいの。,きょうはねー、服の上からなでなでするだけじゃなくて、\nおちんちんがどうなってるか直接見てみたいの。
ぷくぅってまるくふくらんでるのかな？\nほら、見せて見せて❤,ぷくぅってまるくふくらんでるのかな？\nほら、見せて見せて❤
わぁ、おもったよりビンってまっすぐ伸びてる・・・❤\nへぇー、おちんちんってこんな風になっちゃうんだ❤,わぁ、おもったよりビンってまっすぐ伸びてる・・・❤\nへぇー、おちんちんってこんな風になっちゃうんだ❤
（うう、そんなにまじまじ見られたら・・・❤）,（うう、そんなにまじまじ見られたら・・・❤）
んー？おにいさんどうしたの？\nおちんちんががぷるぷる震えてるよ？,んー？おにいさんどうしたの？\nおちんちんががぷるぷる震えてるよ？
あ、そっか、わたしにさわってほしいんだ～❤\nいつもズボンの上からだったもんね❤\n直接さわったらもっと気持ちよくなっちゃうのかな❤,あ、そっか、わたしにさわってほしいんだ～❤\nいつもズボンの上からだったもんね❤\n直接さわったらもっと気持ちよくなっちゃうのかな❤
えっとどこをなでたらいいんだろ。\nさきっぽのここかな、えい、むぎゅう～❤,えっとどこをなでたらいいんだろ。\nさきっぽのここかな、えい、むぎゅう～❤
はひぃ❤あつ、あああっ❤❤,はひぃ❤あつ、あああっ❤❤
あは、すごいすごーい❤\nにぎにぎってしたら、すぐおもらししちゃった❤,あは、すごいすごーい❤\nにぎにぎってしたら、すぐおもらししちゃった❤
おにいさんがいつもしてるおいしい「おもらし」って\nこんなに白くてどろどろだったんだねー。\nんっ、やっぱりおいしいー❤,おにいさんがいつもしてるおいしい「おもらし」って\nこんなに白くてどろどろだったんだねー。\nんっ、やっぱりおいしいー❤
おちんちんの先っぽってなんだかぷにぷにしてるね❤\nこの段差になっているところとかどうなってるんだろ。\n知りたいからいっぱいさわらせてね❤,おちんちんの先っぽってなんだかぷにぷにしてるね❤\nこの段差になっているところとかどうなってるんだろ。\n知りたいからいっぱいさわらせてね❤
あひ、あうぅうう❤,あひ、あうぅうう❤
おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことそんなにすきなの？,おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことそんなにすきなの？
くすくす❤こくんこくんってうなずいてる❤\nだいすきって言ってくれてうれしい❤,くすくす❤こくんこくんってうなずいてる❤\nだいすきって言ってくれてうれしい❤
きょうは、どうやってあそぼうか？\nおちんちんの先っぽはたくさん触ってあげたから、\nきょうは下の棒みたいなところをいじろっかなー。,きょうは、どうやってあそぼうか？\nおちんちんの先っぽはたくさん触ってあげたから、\nきょうは下の棒みたいなところをいじろっかなー。
へー、棒の裏のところってなんだか管みたいなのがついてる。\nここを白いおしっこが流れてくるのかな❤,へー、棒の裏のところってなんだか管みたいなのがついてる。\nここを白いおしっこが流れてくるのかな❤
たくさん出るように、指でなでなでってしてあげたら、\n気持ちいい？\nほら、なでなでなで❤,たくさん出るように、指でなでなでってしてあげたら、\n気持ちいい？\nほら、なでなでなで❤
あは、どんどん出てくる❤すごーい❤,あは、どんどん出てくる❤すごーい❤
指一本でなでなですれば、\nそれだけでおもらししちゃうみたい❤\nもう片っぽの手は、おにいさんの手を握っててあげるね❤,指一本でなでなですれば、\nそれだけでおもらししちゃうみたい❤\nもう片っぽの手は、おにいさんの手を握っててあげるね❤
おにいさん、また来てくれたんだ❤\nわたしに夢中になってくれて、うれしいな～❤,おにいさん、また来てくれたんだ❤\nわたしに夢中になってくれて、うれしいな～❤
きょうは、どうやってあそぼうか？\nおちんちん握ってあげてもいいし、\n手の平だけにぎって、おもらしさせちゃおかなー❤,きょうは、どうやってあそぼうか？\nおちんちん握ってあげてもいいし、\n手の平だけにぎって、おもらしさせちゃおかなー❤
くすくす❤手をぎゅってしてるだけでどんどん出しちゃうね❤\nわたしのこと大好きすぎて、\nおててつないでるだけで幸せになっちゃうの？,くすくす❤手をぎゅってしてるだけでどんどん出しちゃうね❤\nわたしのこと大好きすぎて、\nおててつないでるだけで幸せになっちゃうの？
もっともっと握ってあげる❤\nとろーんってしたそのかわいい顔、\nわたしにたくさん見せて？ほら・・・❤,もっともっと握ってあげる❤\nとろーんってしたそのかわいい顔、\nわたしにたくさん見せて？ほら・・・❤
ふらふらとついて行った,恍惚地跟著走了
理性を取り戻し手を振り払った,理性醒了趕快甩開她
