default
猫又,貓妖
猫は長生きすると妖怪になるの。\n尻尾が分かれて、怪しい術で人をたぶらかす化け物に、ね。\n怖いかしら？,猫は長生きすると妖怪になるの。\n尻尾が分かれて、怪しい術で人をたぶらかす化け物に、ね。\n怖いかしら？
ふふ、その顔は怖いって顔じゃないわね。\nこんな色気のある体をしているんですもの…❤\n怖いじゃなくてエロいとしか思わないわよね。くすくす❤,ふふ、その顔は怖いって顔じゃないわね。\nこんな色気のある体をしているんですもの…❤\n怖いじゃなくてエロいとしか思わないわよね。くすくす❤
ほら、そのエローい体の怖さ、教えてあげる❤\nわたしの気持ちいいパイズリで、あなたのことたぶらかして、\n精気を全部吸い取ってあげるわ❤,ほら、そのエローい体の怖さ、教えてあげる❤\nわたしの気持ちいいパイズリで、あなたのことたぶらかして、\n精気を全部吸い取ってあげるわ❤
猫又の尻尾は二つに分かれているの。\nこれって、男を搾るのに便利だって思わない？,猫又の尻尾は二つに分かれているの。\nこれって、男を搾るのに便利だって思わない？
例えばこんな風に、二方向から、亀頭をさわさわ同時責め❤\n羽でくすぐるみたいに、敏感なところを\nこしょこしょこしょ…❤ってされたらたまらないでしょ？,例えばこんな風に、二方向から、亀頭をさわさわ同時責め❤\n羽でくすぐるみたいに、敏感なところを\nこしょこしょこしょ…❤ってされたらたまらないでしょ？
うふふ❤膝がガクガクしちゃうぐらい気持ちいいんだ❤\n尻尾の先で遊ばれて、手も足も出ずに負けちゃう？\nいいのよ、ほら、ほら・・・❤,うふふ❤膝がガクガクしちゃうぐらい気持ちいいんだ❤\n尻尾の先で遊ばれて、手も足も出ずに負けちゃう？\nいいのよ、ほら、ほら・・・❤
手や胸だけ見てたらダメよ。\nほら、視界の外から尻尾でぐるり。\nあなたの大事なところを包み込まれちゃった...❤,手や胸だけ見てたらダメよ。\nほら、視界の外から尻尾でぐるり。\nあなたの大事なところを包み込まれちゃった...❤
亀頭と竿を、二股に分かれた尻尾で一緒に責めてあげる❤\nしゅりしゅり滑らせるみたいに扱いてあげれば、\nもう体の力、入らないわよね…❤くすくす❤,亀頭と竿を、二股に分かれた尻尾で一緒に責めてあげる❤\nしゅりしゅり滑らせるみたいに扱いてあげれば、\nもう体の力、入らないわよね…❤くすくす❤
にゃはん❤わたしのお尻見て…❤\n上下にゆっくり、ふり、ふり・・・❤\n小ぶりでかわいいでしょ？,にゃはん❤わたしのお尻見て…❤\n上下にゆっくり、ふり、ふり・・・❤\n小ぶりでかわいいでしょ？
うふふ、見とれて隙だらけ。\n尻尾がそーっと近づいてきてたのに、気づけなかったわね。\nあなたの一番弱いところ、ぐるぐる巻きにされちゃった…❤,うふふ、見とれて隙だらけ。\n尻尾がそーっと近づいてきてたのに、気づけなかったわね。\nあなたの一番弱いところ、ぐるぐる巻きにされちゃった…❤
あとはもう搾り取るだけね❤\n手よりも器用に動く尻尾で、しゅりしゅりしこしこ❤\nすぐに搾りとってあげる❤,あとはもう搾り取るだけね❤\n手よりも器用に動く尻尾で、しゅりしゅりしこしこ❤\nすぐに搾りとってあげる❤
くすくす❤わたしに精気を吸ってほしいんだ❤\nいいわよ、あなたの命、この体を使って吸い取ってあげる❤,くすくす❤わたしに精気を吸ってほしいんだ❤\nいいわよ、あなたの命、この体を使って吸い取ってあげる❤
尻尾とおっぱい、どっちを使って気持ちよくしてほしい？\n命を吸う代わりにあなたの希望を聞いてあげるわよ❤にゃはぁん❤,尻尾とおっぱい、どっちを使って気持ちよくしてほしい？\n命を吸う代わりにあなたの希望を聞いてあげるわよ❤にゃはぁん❤
そう❤胸で挟んで吸い取られたいの❤\n肌が触れているだけで精気を吸い取るこのおっぱい、\nたっぷり楽しみなさい❤,そう❤胸で挟んで吸い取られたいの❤\n肌が触れているだけで精気を吸い取るこのおっぱい、\nたっぷり楽しみなさい❤
くす❤この尻尾でしごいてほしいの？\n変わった趣味してるじゃない❤,くす❤この尻尾でしごいてほしいの？\n変わった趣味してるじゃない❤
わたしの尻尾とっても気持ちいいのよ❤\nぐるぐる巻きにしてあっという間にイかさせてあげるわね❤,わたしの尻尾とっても気持ちいいのよ❤\nぐるぐる巻きにしてあっという間にイかさせてあげるわね❤
うふふ❤谷間にあなたの精気がこんなに出てる❤\n色気にたぶらかされて、あなたの魂を妖怪に食べられちゃったわね❤,うふふ❤谷間にあなたの精気がこんなに出てる❤\n色気にたぶらかされて、あなたの魂を妖怪に食べられちゃったわね❤
うふふ❤お尻まで勢いよく飛ばして、\nわたしの尻尾、ずいぶん気持ちよかったみたいね❤,うふふ❤お尻まで勢いよく飛ばして、\nわたしの尻尾、ずいぶん気持ちよかったみたいね❤
おいしい精気をありがと❤\n色気にたぶらかされちゃう、意志の弱い裏切りものさん❤\nくすくす♪,おいしい精気をありがと❤\n色気にたぶらかされちゃう、意志の弱い裏切りものさん❤\nくすくす♪
あっ、ああっ・・・。,あっ、ああっ・・・。
にゃはん❤ひとりでシコシコ❤\n術も使ってないのにたぶらかされちゃうなんて・・・❤,にゃはん❤ひとりでシコシコ❤\n術も使ってないのにたぶらかされちゃうなんて・・・❤
尻尾でしこしこされて我慢できなくなっちゃった？\nそれともお尻に興奮したのかしら❤,尻尾でしこしこされて我慢できなくなっちゃった？\nそれともお尻に興奮したのかしら❤
わたしのエロい体、じっくり見てもいいのよ❤\nおっぱいとお尻、どっちが好きなのかしら❤,わたしのエロい体、じっくり見てもいいのよ❤\nおっぱいとお尻、どっちが好きなのかしら❤
どこを見て興奮しちゃったの？\nこのざらざらとした舌？この形のいい胸？\n,どこを見て興奮しちゃったの？\nこのざらざらとした舌？この形のいい胸？\n
な～んて、聞かなくてもわかるわ。\nだってあなたの視線、お尻に釘付けなんだもの・・・❤,な～んて、聞かなくてもわかるわ。\nだってあなたの視線、お尻に釘付けなんだもの・・・❤
ぐ、うう・・・❤,ぐ、うう・・・❤
恥ずかしがらなくてもいいのよ❤\nわたしもお尻には自信があるもの。\n小さくて、ぷりっとしてて、綺麗でしょう❤,恥ずかしがらなくてもいいのよ❤\nわたしもお尻には自信があるもの。\n小さくて、ぷりっとしてて、綺麗でしょう❤
ほらほら❤じっくり見て❤\nお尻を、ふり、ふり・・・❤左右にゆっくり揺らしてあげるわ・・・❤,ほらほら❤じっくり見て❤\nお尻を、ふり、ふり・・・❤左右にゆっくり揺らしてあげるわ・・・❤
はぁ、はぁ・・・❤え、えろい・・・❤,はぁ、はぁ・・・❤え、えろい・・・❤
夢中になって見てる❤\nそんなにお尻が好きならもっとサービスしてあげようかしら❤\nこうやって四つんばいになってぇ・・・❤,夢中になって見てる❤\nそんなにお尻が好きならもっとサービスしてあげようかしら❤\nこうやって四つんばいになってぇ・・・❤
にゃは～ん❤猫のポーズ❤\nあなたにぐっとお尻を突き出してぇ、ふり、ふり・・・❤\nもっともっと、たぶらかしてあげるわ❤,にゃは～ん❤猫のポーズ❤\nあなたにぐっとお尻を突き出してぇ、ふり、ふり・・・❤\nもっともっと、たぶらかしてあげるわ❤
うぐぅっ❤❤すごいっ、はぁ、はぁ・・・❤,うぐぅっ❤❤すごいっ、はぁ、はぁ・・・❤
鼻息、荒くしすぎ・・・❤\nそんなに激しくしこしこしたら直ぐに出ちゃうわよ❤,鼻息、荒くしすぎ・・・❤\nそんなに激しくしこしこしたら直ぐに出ちゃうわよ❤
こんなに隙だらけの格好なのに、Ｔバックのエロいお尻に夢中❤\nどれだけじっと見つめてもおまんこは見えないのに・・・❤,こんなに隙だらけの格好なのに、Ｔバックのエロいお尻に夢中❤\nどれだけじっと見つめてもおまんこは見えないのに・・・❤
本当に男って単純でスケベ・・・❤\n見えないって言われても期待しちゃう可哀そうな生き物ね❤,本当に男って単純でスケベ・・・❤\n見えないって言われても期待しちゃう可哀そうな生き物ね❤
ううっ、く、くそぉ・・・❤,ううっ、く、くそぉ・・・❤
悔しがるフリをしなくてもいいのよ？\nチンポをしこしこすることだけ考えて❤\nほら、もっと近くに来て・・・❤,悔しがるフリをしなくてもいいのよ？\nチンポをしこしこすることだけ考えて❤\nほら、もっと近くに来て・・・❤
隙だらけの身体を尻尾でぐるり❤\nふわふわの尻尾をシャツの中に潜り込ませて、\nこしょこしょこしょ・・・♪,隙だらけの身体を尻尾でぐるり❤\nふわふわの尻尾をシャツの中に潜り込ませて、\nこしょこしょこしょ・・・♪
乳首をくすぐられてチンポがびくびく❤\n身悶えしながら手は止まらない❤\nふふ、もう出ちゃいそうね・・・❤,乳首をくすぐられてチンポがびくびく❤\n身悶えしながら手は止まらない❤\nふふ、もう出ちゃいそうね・・・❤
このままわたしのお尻にかけてさせてあげる・・・❤\n限界ペニスの先っぽにお尻をむにゅ～・・・❤,このままわたしのお尻にかけてさせてあげる・・・❤\n限界ペニスの先っぽにお尻をむにゅ～・・・❤
ああ、あっ…❤,ああ、あっ…❤
にゃはん❤\nすべすべお肌に耐えられなかったわね❤\nあなたには刺激が強すぎたかしら・・・❤,にゃはん❤\nすべすべお肌に耐えられなかったわね❤\nあなたには刺激が強すぎたかしら・・・❤
エナジーたっぷりの精・・・❤\nこれだけ出したらもう勝ち目はないわね、\n残念でした・・・❤,エナジーたっぷりの精・・・❤\nこれだけ出したらもう勝ち目はないわね、\n残念でした・・・❤
他にわたしのお尻を見たい人はいるかしら❤\nオナニーをするならじっくり見せてあげる、にゃはん❤,他にわたしのお尻を見たい人はいるかしら❤\nオナニーをするならじっくり見せてあげる、にゃはん❤
くすくす❤本当に始める人がいるなんて・・・。\nえっちな欲望に逆らえないなんておバカさん❤,くすくす❤本当に始める人がいるなんて・・・。\nえっちな欲望に逆らえないなんておバカさん❤
こんな簡単にたぶらかされる人がよくＣランクまで上がってこれたわね❤\nわたしは楽でいいけれど・・・❤,こんな簡単にたぶらかされる人がよくＣランクまで上がってこれたわね❤\nわたしは楽でいいけれど・・・❤
ぐ、ぐぅ・・・❤,ぐ、ぐぅ・・・❤
にゃはん❤まだ手を止める理性が残ってたのね。\nでも、ほら・・・見て？わたしのお尻・・・❤,にゃはん❤まだ手を止める理性が残ってたのね。\nでも、ほら・・・見て？わたしのお尻・・・❤
左右にふり、ふり・・・❤\nむちむちのお尻に精液、かけたい人はいないかしらぁ❤,左右にふり、ふり・・・❤\nむちむちのお尻に精液、かけたい人はいないかしらぁ❤
うう・・・❤え、エロすぎ・・・❤,うう・・・❤え、エロすぎ・・・❤
くすくす❤\nもう我慢できなくなっちゃった・・・❤\nさっきより早くしこしこして、興奮しているのね❤,くすくす❤\nもう我慢できなくなっちゃった・・・❤\nさっきより早くしこしこして、興奮しているのね❤
Ｃランクマスターがお尻に射精したくてオナニー❤\nあなたのしもべが簡単にたぶらかされた理由、分かった気がするわ・・・❤,Ｃランクマスターがお尻に射精したくてオナニー❤\nあなたのしもべが簡単にたぶらかされた理由、分かった気がするわ・・・❤
あなたの仲間が射精したお尻は仇のようなものなのに・・・❤\n自分も気持ちよく負けたいなんて、マスターが泣いちゃうわよ❤,あなたの仲間が射精したお尻は仇のようなものなのに・・・❤\n自分も気持ちよく負けたいなんて、マスターが泣いちゃうわよ❤
ダメ押しに猫のポーズ❤\nにゃはぁん❤ぐっとお尻を突き出して、セクシーでしょう？\nほらぁ、もっと見てぇ❤ふり、ふり、ふり・・・❤,ダメ押しに猫のポーズ❤\nにゃはぁん❤ぐっとお尻を突き出して、セクシーでしょう？\nほらぁ、もっと見てぇ❤ふり、ふり、ふり・・・❤
はぁ❤はぁ❤はぁ❤,はぁ❤はぁ❤はぁ❤
あ～あ、もう堕ちちゃったぁ・・・❤\n目が離せなくなって射精することしか考えられない❤\nでも、まだダ～メ❤にゃん❤,あ～あ、もう堕ちちゃったぁ・・・❤\n目が離せなくなって射精することしか考えられない❤\nでも、まだダ～メ❤にゃん❤
直ぐに出したらエナジーが少なすぎるから、\nわたしが良いって言うまで射精できなくなる妖術、かけちゃった・・・❤,直ぐに出したらエナジーが少なすぎるから、\nわたしが良いって言うまで射精できなくなる妖術、かけちゃった・・・❤
そっ、そんなぁ・・・っ。,そっ、そんなぁ・・・っ。
うふふ、ごめんね❤その代わり・・・えいっ❤\nこうやってチンポにお尻を押し付けてあげる・・・❤\nほら、腰を動かして❤,うふふ、ごめんね❤その代わり・・・えいっ❤\nこうやってチンポにお尻を押し付けてあげる・・・❤\nほら、腰を動かして❤
あ、ああ❤お尻が、やわらかくてぇ・・・❤,あ、ああ❤お尻が、やわらかくてぇ・・・❤
やあん❤必死に腰をへこへこ❤\nわたしのお尻、そんなに気持ちいいのかしら・・・、\nなんて、チンポがびくびくして空イキしてるから丸わかりよ❤,やあん❤必死に腰をへこへこ❤\nわたしのお尻、そんなに気持ちいいのかしら・・・、\nなんて、チンポがびくびくして空イキしてるから丸わかりよ❤
イってるのに射精できなくてつらいのね？\nでもエナジーが溜まっていくのがわかるわ・・・❤\nたまたまをぱんぱんにしてもっと腰を振りなさい❤,イってるのに射精できなくてつらいのね？\nでもエナジーが溜まっていくのがわかるわ・・・❤\nたまたまをぱんぱんにしてもっと腰を振りなさい❤
あ、あがぁ・・・❤\nこ、こんなの、むりぃ・・・❤,あ、あがぁ・・・❤\nこ、こんなの、むりぃ・・・❤
もう、情けないんだから・・・❤\nしょうがないわね❤しゅるり・・・、\n身体に巻き付けた尻尾で腰を振るお手伝いをしてあげる❤,もう、情けないんだから・・・❤\nしょうがないわね❤しゅるり・・・、\n身体に巻き付けた尻尾で腰を振るお手伝いをしてあげる❤
ほらほら❤\n仰け反ってないでぷにぷにのお尻に先っぽを擦りつけなさい・・・❤\n下手だけど、必死に腰を振れば許してあげるわ❤,ほらほら❤\n仰け反ってないでぷにぷにのお尻に先っぽを擦りつけなさい・・・❤\n下手だけど、必死に腰を振れば許してあげるわ❤
にゃはん❤あなたの精、美味しいわ・・・❤\n触れ合ってるチンポから少し味見しちゃった・・・❤,にゃはん❤あなたの精、美味しいわ・・・❤\n触れ合ってるチンポから少し味見しちゃった・・・❤
あ、あぁ・・・❤❤,あ、あぁ・・・❤❤
味見だけで両脚から力が抜けちゃうなんて・・・。\n尻尾で支えると疲れるし・・・しょうがないわね、もう射精していいわよ。,味見だけで両脚から力が抜けちゃうなんて・・・。\n尻尾で支えると疲れるし・・・しょうがないわね、もう射精していいわよ。
たまたまに溜めたエナジー、全部わたしのお尻に捧げなさいな❤\nはぁい、びゅ❤びゅ❤びゅ～❤,たまたまに溜めたエナジー、全部わたしのお尻に捧げなさいな❤\nはぁい、びゅ❤びゅ❤びゅ～❤
はあぁぁ…❤,はあぁぁ…❤
にゃあん、お疲れ様❤\nたっぷりのエナジー、とっても美味しいわ❤\nあら、尻尾を離したら倒れちゃった・・・くすくす❤,にゃあん、お疲れ様❤\nたっぷりのエナジー、とっても美味しいわ❤\nあら、尻尾を離したら倒れちゃった・・・くすくす❤
だらしのない顔ね❤\nでもとっても幸せそう・・・あなたたちもそう思わない？\n仲間が味わった幸せ、他の人も知りたかったら言ってね❤,だらしのない顔ね❤\nでもとっても幸せそう・・・あなたたちもそう思わない？\n仲間が味わった幸せ、他の人も知りたかったら言ってね❤
あなた、とっても強いのね・・・。\nわたしじゃとても敵いそうにないわ。\n降参よ、降参・・・❤,あなた、とっても強いのね・・・。\nわたしじゃとても敵いそうにないわ。\n降参よ、降参・・・❤
だからこうして降伏のポーズを取らせてもらうわ❤\nお尻をあなたに高く突き出す、猫のポーズ・・・❤,だからこうして降伏のポーズを取らせてもらうわ❤\nお尻をあなたに高く突き出す、猫のポーズ・・・❤
両手を地面についてるからわたしは何もできない・・・。\nだからトドメをさす前に、好きなだけ揉んでもいいのよ❤,両手を地面についてるからわたしは何もできない・・・。\nだからトドメをさす前に、好きなだけ揉んでもいいのよ❤
倒した相手を屈服させるのは強い雄の特権、にゃあん❤\nお尻、ふり、ふり、ふり・・・❤\nさぁ、両手を伸ばして・・・❤,倒した相手を屈服させるのは強い雄の特権、にゃあん❤\nお尻、ふり、ふり、ふり・・・❤\nさぁ、両手を伸ばして・・・❤
お尻から視線を離してとどめを刺した,お尻から視線を離してとどめを刺した
お尻を揉んでしまった,お尻を揉んでしまった
残念、バレちゃった・・・。,残念、バレちゃった・・・。
にゃあん❤\nお尻をもみもみ❤エッチね…❤\nでもほら、隙だらけ❤,にゃあん❤\nお尻をもみもみ❤エッチね…❤\nでもほら、隙だらけ❤
にゃはん❤\n触ろうかどうか迷ってるの？\nすけべでかわいいのね❤でも、隙だらけよ❤,にゃはん❤\n触ろうかどうか迷ってるの？\nすけべでかわいいのね❤でも、隙だらけよ❤
はぐぅ❤あっ、やめ、巻き付かれてっ❤❤,はぐぅ❤あっ、やめ、巻き付かれてっ❤❤
うふふ、人間と違って後ろを向いてても色々と攻撃できるのよ？\n尻尾をぎゅって巻き付けて、しゅりしゅりしこしこ❤\n気持ちいいでしょ？わたしの尻尾コキ❤,うふふ、人間と違って後ろを向いてても色々と攻撃できるのよ？\n尻尾をぎゅって巻き付けて、しゅりしゅりしこしこ❤\n気持ちいいでしょ？わたしの尻尾コキ❤
あっ❤あっ❤なに、これぇ・・・❤,あっ❤あっ❤なに、これぇ・・・❤
わたしの体は触れてる相手の精気を吸い取るの❤\nふわふわの毛に敏感なチンポを撫でられる感覚と、\n命をぎゅんぎゅん吸われちゃう恍惚感❤,わたしの体は触れてる相手の精気を吸い取るの❤\nふわふわの毛に敏感なチンポを撫でられる感覚と、\n命をぎゅんぎゅん吸われちゃう恍惚感❤
竿をしこしこするだけじゃなくて、もみもみもみ❤\n気持ちいい圧力で締め付けちゃう❤\nうふふ、とっても器用でしょう？,竿をしこしこするだけじゃなくて、もみもみもみ❤\n気持ちいい圧力で締め付けちゃう❤\nうふふ、とっても器用でしょう？
ううっ❤あ、ああ・・・❤,ううっ❤あ、ああ・・・❤
ふたつに分かれた尻尾は手より繊細に動かせるのよ❤\nだからこうして・・・❤竿をしこしこしながら、亀頭も一緒にしこしこ❤,ふたつに分かれた尻尾は手より繊細に動かせるのよ❤\nだからこうして・・・❤竿をしこしこしながら、亀頭も一緒にしこしこ❤
同時に責められたら喘ぐ事しかできないのね・・・❤\nくすくす❤手より気持ちいい尻尾コキだもの❤\nしょうがないわよね・・・❤,同時に責められたら喘ぐ事しかできないのね・・・❤\nくすくす❤手より気持ちいい尻尾コキだもの❤\nしょうがないわよね・・・❤
は、はひぃ❤も、もうだめぇ❤,は、はひぃ❤も、もうだめぇ❤
あらら、もう降参なの？\n腕っぷしは強くてもチンポがよわよわなのね・・・❤\nいいわ、このまま搾り取ってあげる❤,あらら、もう降参なの？\n腕っぷしは強くてもチンポがよわよわなのね・・・❤\nいいわ、このまま搾り取ってあげる❤
きゅっと締めた、キツキツの尻尾おまんこでね❤\nお尻を揺らして一緒に動けばセックスしてるみたいでしょう❤\nにゃはん❤興奮しちゃった？,きゅっと締めた、キツキツの尻尾おまんこでね❤\nお尻を揺らして一緒に動けばセックスしてるみたいでしょう❤\nにゃはん❤興奮しちゃった？
いいのよ❤尻尾おまんこに射精して❤\nわたしのお尻をじっと見つめて、中に出す妄想をしながら出しなさい・・・❤,いいのよ❤尻尾おまんこに射精して❤\nわたしのお尻をじっと見つめて、中に出す妄想をしながら出しなさい・・・❤
ああっ、でっ、でる……❤,ああっ、でっ、でる……❤
にゃあん❤凄い量が尻尾の中で出てる・・・❤\n本当におまんこに出してるって勘違いしちゃったのかしら、くすくす❤,にゃあん❤凄い量が尻尾の中で出てる・・・❤\n本当におまんこに出してるって勘違いしちゃったのかしら、くすくす❤
お尻を揉もうとして負けちゃうだなんて・・・、\nＣランクに相応しいのはエナジーの質だけみたいね❤\nほら、敗者の顔はお尻で潰してあげる❤あはん❤カッコ悪い❤,お尻を揉もうとして負けちゃうだなんて・・・、\nＣランクに相応しいのはエナジーの質だけみたいね❤\nほら、敗者の顔はお尻で潰してあげる❤あはん❤カッコ悪い❤
あなたの精力を吸って傷も治ったわ。\nお陰でもう少し頑張れそう❤\nお尻になんかつられなければよかったわね。うふふ❤,あなたの精力を吸って傷も治ったわ。\nお陰でもう少し頑張れそう❤\nお尻になんかつられなければよかったわね。うふふ❤
あなたも強いのね・・・。\nやっぱりわたしじゃとても敵いそうにないわ。\n降参よ、降参・・・❤,あなたも強いのね・・・。\nやっぱりわたしじゃとても敵いそうにないわ。\n降参よ、降参・・・❤
どうせ嘘だろうって？疑い深いのね・・・。\n本当よ、ほら・・・❤\n仰向けに寝転がってお腹を見せちゃうわ❤,どうせ嘘だろうって？疑い深いのね・・・。\n本当よ、ほら・・・❤\n仰向けに寝転がってお腹を見せちゃうわ❤
にゃはん❤おっぱいが気になっちゃうんだ・・・❤\nいいのよ、好きなだけ見ても❤\n勝った人の特権だもの・・・❤,にゃはん❤おっぱいが気になっちゃうんだ・・・❤\nいいのよ、好きなだけ見ても❤\n勝った人の特権だもの・・・❤
倒した相手を好きにできるのは強い雄の特権、にゃあん❤\nおっぱいを、ゆさ、ゆさ、ゆさ・・・❤\nさぁ、じっと見ていて・・・❤,倒した相手を好きにできるのは強い雄の特権、にゃあん❤\nおっぱいを、ゆさ、ゆさ、ゆさ・・・❤\nさぁ、じっと見ていて・・・❤
くすくす❤\nあなたも化かされたわね❤,くすくす❤\nあなたも化かされたわね❤
あっ！し、しまっ、あぁ・・・❤,あっ！し、しまっ、あぁ・・・❤
あなたのチンポ、尻尾で捕まえちゃった❤\nぐるぐる巻きにして、しゅりしゅりしこしこ❤\nどうかしら、わたしの尻尾❤,あなたのチンポ、尻尾で捕まえちゃった❤\nぐるぐる巻きにして、しゅりしゅりしこしこ❤\nどうかしら、わたしの尻尾❤
あひぃっ❤きもちいいっ❤なんで、尻尾なのにぃ・・・❤,あひぃっ❤きもちいいっ❤なんで、尻尾なのにぃ・・・❤
くすくす❤化け猫の尻尾だもの。\nふわふわの毛に敏感なチンポを撫でられる感覚・・・❤\nあなたの仲間も骨抜きになった尻尾よ❤,くすくす❤化け猫の尻尾だもの。\nふわふわの毛に敏感なチンポを撫でられる感覚・・・❤\nあなたの仲間も骨抜きになった尻尾よ❤
あなたのチンポ、尻尾の中でびくびくしてる❤\n竿をしこしこするだけじゃなくてもみもみ❤\nうふふ、とっても器用でしょう？,あなたのチンポ、尻尾の中でびくびくしてる❤\n竿をしこしこするだけじゃなくてもみもみ❤\nうふふ、とっても器用でしょう？
あ～あ❤あなたも簡単に折れちゃった❤\n仲間と同じで腕っぷしは強くてもチンポがよわよわなのね・・・❤\nいいわ、このまま搾り取ってあげる❤,あ～あ❤あなたも簡単に折れちゃった❤\n仲間と同じで腕っぷしは強くてもチンポがよわよわなのね・・・❤\nいいわ、このまま搾り取ってあげる❤
ほら、おっぱいを見て❤\n両手で寄せてゆさゆさ❤\nにゃはん❤,ほら、おっぱいを見て❤\n両手で寄せてゆさゆさ❤\nにゃはん❤
くす❤あなたが負けちゃった原因なのに、\n間抜けな顔で見つめちゃって、バカみたい…❤\nチンポも大きくなった❤男って本当におっぱいが好きね❤,くす❤あなたが負けちゃった原因なのに、\n間抜けな顔で見つめちゃって、バカみたい…❤\nチンポも大きくなった❤男って本当におっぱいが好きね❤
いいわよ❤おっぱいに射精して❤\nチンポの先っぽだけ尻尾から出してあげる・・・❤\nほらぁ❤出して❤かけてぇ❤,いいわよ❤おっぱいに射精して❤\nチンポの先っぽだけ尻尾から出してあげる・・・❤\nほらぁ❤出して❤かけてぇ❤
こんなに沢山出して・・・そんなにおっぱいを汚したかったのね、ふふ❤\nエナジーたっぷりで美味しい精だわ・・・❤,こんなに沢山出して・・・そんなにおっぱいを汚したかったのね、ふふ❤\nエナジーたっぷりで美味しい精だわ・・・❤
おっぱいに見惚れて逆転負けだなんて・・・、\nＣランクに相応しいのはエナジーの質だけみたね❤,おっぱいに見惚れて逆転負けだなんて・・・、\nＣランクに相応しいのはエナジーの質だけみたね❤
腕っぷしだけのたぶらかし易い男ばっかり・・・❤\n次の人もわたしがメロメロにしてあげる、にゃあん❤,腕っぷしだけのたぶらかし易い男ばっかり・・・❤\n次の人もわたしがメロメロにしてあげる、にゃあん❤
大切な試合を投げ出してお尻に射精・・・❤\nあなたのファンは落胆しているでしょうね、くすくす❤,大切な試合を投げ出してお尻に射精・・・❤\nあなたのファンは落胆しているでしょうね、くすくす❤
パイズリ❤我慢できなかったわね・・・❤\n肌越しの吸精、クセになりそうでしょ、くすくす❤,パイズリ❤我慢できなかったわね・・・❤\n肌越しの吸精、クセになりそうでしょ、くすくす❤
わたしの尻尾、気持ち良かった？\nなんて、聞くまでもないわよね❤\nくすくす❤,わたしの尻尾、気持ち良かった？\nなんて、聞くまでもないわよね❤\nくすくす❤
決着ー！！勝者はネネコ選手！,決着ー！！勝者はネネコ選手！
にゃはは♪どうにゃ♪\nやっぱりわたしの言った通りの結果になったにゃ。,にゃはは♪どうにゃ♪\nやっぱりわたしの言った通りの結果になったにゃ。
男なんて所詮エロいことされたら\n頭パーになるのにゃ❤\nにゃはは、お前の射精したときの顔、傑作だったにゃ❤,男なんて所詮エロいことされたら\n頭パーになるのにゃ❤\nにゃはは、お前の射精したときの顔、傑作だったにゃ❤
うっ、ううっ・・・。,うっ、ううっ・・・。
んにゃ？笑われてるのに、まだ反抗的な目だにゃ～❤,んにゃ？笑われてるのに、まだ反抗的な目だにゃ～❤
