default
魅惑のマーメイド,魅音美人魚
わたしのマスターに勝たないといけない\n大切な試合のはずなのに❤\nメロメロになってオナニーなんて、格好悪い❤,わたしのマスターに勝たないといけない\n大切な試合のはずなのに❤\nメロメロになってオナニーなんて、格好悪い❤
もう出そうなのね❤\nいいわよ？おっぱいを狙って？\n谷間にびゅ～ってお射精しなさい❤,もう出そうなのね❤\nいいわよ？おっぱいを狙って？\n谷間にびゅ～ってお射精しなさい❤
ううっ…❤でるぅ❤,ううっ…❤でるぅ❤
やあん❤凄い量❤\n興奮しすぎじゃないかしら❤\nエナジーもたっぷり溶け込んでるわ。どれだけ夢中だったのかしら❤,やあん❤凄い量❤\n興奮しすぎじゃないかしら❤\nエナジーもたっぷり溶け込んでるわ。どれだけ夢中だったのかしら❤
大切な試合のはずなのに性欲には勝てない❤\n男の人って本当におバカさんね、愚かすぎて可愛い❤,大切な試合のはずなのに性欲には勝てない❤\n男の人って本当におバカさんね、愚かすぎて可愛い❤
マスターよりおっぱいを優先するなんて、\n男の人って本当におバカさんね、愚かすぎて可愛いわ❤,マスターよりおっぱいを優先するなんて、\n男の人って本当におバカさんね、愚かすぎて可愛いわ❤
あらぁ？あなたもムラムラが我慢できなちゃったのね❤\n揃いも揃っておバカさんなんだから❤くすくす❤,あらぁ？あなたもムラムラが我慢できなちゃったのね❤\n揃いも揃っておバカさんなんだから❤くすくす❤
目にハートを浮かべて可愛い❤\nあなたもおっぱいに魅了されちゃったわね❤,目にハートを浮かべて可愛い❤\nあなたもおっぱいに魅了されちゃったわね❤
せっかく魅了に耐えたのに、\n仲間につられたら意味がないわよ❤,せっかく魅了に耐えたのに、\n仲間につられたら意味がないわよ❤
あなたもやっぱり抗えないのね❤\n声に少し魅了を乗せたら効果てきめん❤,あなたもやっぱり抗えないのね❤\n声に少し魅了を乗せたら効果てきめん❤
両手で下から持ち上げてみたり❤\n指を挟んでずりずりって見せつけてあげたり❤,両手で下から持ち上げてみたり❤\n指を挟んでずりずりって見せつけてあげたり❤
くすくす❤あなたもわんちゃんみたい❤\n頭はもう射精することでいっぱい❤,くすくす❤あなたもわんちゃんみたい❤\n頭はもう射精することでいっぱい❤
おっぱいに魅了されてオナニーする姿、\n何回見ても本当に面白いわ❤くすくす❤,おっぱいに魅了されてオナニーする姿、\n何回見ても本当に面白いわ❤くすくす❤
マスターよりおっぱいを優先する男ばっかり❤\nおバカさんの仲間はおバカさんね、愚かすぎて可愛いわ❤くすくす❤,マスターよりおっぱいを優先する男ばっかり❤\nおバカさんの仲間はおバカさんね、愚かすぎて可愛いわ❤くすくす❤
うう・・・。\n（わたしの歌が効かないなんて。こうなったら・・・）,うう・・・。\n（わたしの歌が効かないなんて。こうなったら・・・）
お願い・・・❤\nもう、攻撃しないで・・・❤\n降参するから・・・❤,お願い・・・❤\nもう、攻撃しないで・・・❤\n降参するから・・・❤
・・・。,・・・。
ねぇ・・・❤\nもう抵抗するつもりはないの・・・❤\nだから怖い顔、しないで・・・❤,ねぇ・・・❤\nもう抵抗するつもりはないの・・・❤\nだから怖い顔、しないで・・・❤
（声に魔力を込めて、\nおっぱいの前で両手を組んで、谷間を見せつけながら懇願❤\n悪あがきだけど効くかしら？）,（声に魔力を込めて、\nおっぱいの前で両手を組んで、谷間を見せつけながら懇願❤\n悪あがきだけど効くかしら？）
う・・・❤,う・・・❤
（くす、揺らいでる❤\nやっぱり男って単純・・・❤）,（くす、揺らいでる❤\nやっぱり男って単純・・・❤）
わたしのおっぱい、あなたの好きにしていいから・・・❤\n一生懸命ご奉仕するから・・・❤,わたしのおっぱい、あなたの好きにしていいから・・・❤\n一生懸命ご奉仕するから・・・❤
さあ、横になって・・・❤\nあなたが満足するまでパイズリご奉仕させて、ね・・・❤,さあ、横になって・・・❤\nあなたが満足するまでパイズリご奉仕させて、ね・・・❤
うぅ、悔しい・・・。,うぅ、悔しい・・・。
動かないってことは挟んでもいいってことよね・・・❤\nほら、胸を近づけるから攻撃しないで・・・❤,動かないってことは挟んでもいいってことよね・・・❤\nほら、胸を近づけるから攻撃しないで・・・❤
うふ、武器を置いて横になってくれて、ありがとう・・・❤\nそれじゃあ、おっぱいで挟んであげる・・・❤,うふ、武器を置いて横になってくれて、ありがとう・・・❤\nそれじゃあ、おっぱいで挟んであげる・・・❤
おふぅ・・・❤,おふぅ・・・❤
くすくす❤気持ちよさそうなため息・・・❤\nそれじゃあパイズリ、始めるわね・・・❤,くすくす❤気持ちよさそうなため息・・・❤\nそれじゃあパイズリ、始めるわね・・・❤
あぁ・・・❤き、きもちいい・・・❤,あぁ・・・❤き、きもちいい・・・❤
そう、良かったわね・・・❤\nたっぷりおっぱいを楽しんで・・・❤,そう、良かったわね・・・❤\nたっぷりおっぱいを楽しんで・・・❤
（は～い戦意消失❤\n魅了をかけれればもうこっちのものよ❤）,（は～い戦意消失❤\n魅了をかけれればもうこっちのものよ❤）
はぁ、はぁ❤いいよぉ・・・❤,はぁ、はぁ❤いいよぉ・・・❤
くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nすっかり形勢逆転してることに❤,くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nすっかり形勢逆転してることに❤
さっきはあと少しでわたしを倒せたのに、\nいつのまにか弱点のチンポ、ズリズリされてるわよ❤,さっきはあと少しでわたしを倒せたのに、\nいつのまにか弱点のチンポ、ズリズリされてるわよ❤
あ、ああぁぁっ❤で、でも降参するって・・・❤,あ、ああぁぁっ❤で、でも降参するって・・・❤
Bランクに手がかかるってマスターがそんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤,Bランクに手がかかるってマスターがそんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤
Bランク手前のマスターの使い魔でしょう？そんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤,Bランク手前のマスターの使い魔でしょう？そんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤
今更気づいても遅いわ❤\nむにゅむにゅ❤ズリズリ❤\nパイズリされたら力、入らないでしょ？,今更気づいても遅いわ❤\nむにゅむにゅ❤ズリズリ❤\nパイズリされたら力、入らないでしょ？
あっという間に目がハート❤\nおっぱいに出したいよ～って、腰へこへこさせちゃった❤,あっという間に目がハート❤\nおっぱいに出したいよ～って、腰へこへこさせちゃった❤
布を持って上下にゆっさゆっさ❤\nタイミングが合うともっと気持ちいいわよねぇ❤,布を持って上下にゆっさゆっさ❤\nタイミングが合うともっと気持ちいいわよねぇ❤
あ、ああ❤おっぱい❤おっぱいぃ❤,あ、ああ❤おっぱい❤おっぱいぃ❤
ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振りなさい❤\nどうせすぐでしょう？,ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振りなさい❤\nどうせすぐでしょう？
あは、おちんちんびくびくしてる❤\n本当に早かったわね❤それじゃあ、トドメよ❤,あは、おちんちんびくびくしてる❤\n本当に早かったわね❤それじゃあ、トドメよ❤
両手でつよ～く乳圧をかけてあげる❤\nおっぱいでチンポ潰してあげるからイキなさい❤\nはい、むぎゅ～❤,両手でつよ～く乳圧をかけてあげる❤\nおっぱいでチンポ潰してあげるからイキなさい❤\nはい、むぎゅ～❤
おっ、おっぱ、いぃ……❤,おっ、おっぱ、いぃ……❤
凄い勢い❤谷間から噴き出しちゃってる❤\n大好きなおっぱいで挟まれたからかしら❤,凄い勢い❤谷間から噴き出しちゃってる❤\n大好きなおっぱいで挟まれたからかしら❤
大切な試合なのにおっぱいで魅了されるなんて❤\n昇格よりおっぱいのが大切なのかしら❤くすくす❤,大切な試合なのにおっぱいで魅了されるなんて❤\n昇格よりおっぱいのが大切なのかしら❤くすくす❤
ねぇ、お仲間さんたちもどうかしら❤魅了パイズリ❤\nと～っても、気持ちいいわよ？くすくす❤,ねぇ、お仲間さんたちもどうかしら❤魅了パイズリ❤\nと～っても、気持ちいいわよ？くすくす❤
（ま、また追い詰められてしまったわ・・・\nこなったらもう一回・・・！ ）,（ま、また追い詰められてしまったわ・・・\nこなったらもう一回・・・！ ）
お願い・・・❤\nもう、攻撃しないで・・・❤\n今度こそ降参するから・・・❤,お願い・・・❤\nもう、攻撃しないで・・・❤\n今度こそ降参するから・・・❤
さっきのは出来心だったの・・・❤\n反省してるわ・・・❤本当よ・・・❤\n挽回、させて欲しいの・・・❤\n,さっきのは出来心だったの・・・❤\n反省してるわ・・・❤本当よ・・・❤\n挽回、させて欲しいの・・・❤\n
（声に魅了を籠めて、\nおっぱいの前で両手を組んで、\n谷間を見せつけながら懇願❤）,（声に魅了を籠めて、\nおっぱいの前で両手を組んで、\n谷間を見せつけながら懇願❤）
それじゃあ、おっぱいで挟むわね・・・❤,それじゃあ、おっぱいで挟むわね・・・❤
そう、良かったわ・・・❤\nたっぷりおっぱいを楽しんで・・・❤,そう、良かったわ・・・❤\nたっぷりおっぱいを楽しんで・・・❤
（は～い戦意消失❤\nやっぱり男っておっぱいに弱すぎ・・・❤）,（は～い戦意消失❤\nやっぱり男っておっぱいに弱すぎ・・・❤）
くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nさっきのお仲間と同じ目にあってるってこと❤,くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nさっきのお仲間と同じ目にあってるってこと❤
さっきはあと少しでわたしを倒せたのに、\nあなたもいつのまにか弱点のチンポ、ズリズリされてるわよ❤,さっきはあと少しでわたしを倒せたのに、\nあなたもいつのまにか弱点のチンポ、ズリズリされてるわよ❤
あ、ああぁぁっ❤そ、そんなぁ・・・❤,あ、ああぁぁっ❤そ、そんなぁ・・・❤
ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振って❤\n情けない声を出しなさい❤,ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振って❤\n情けない声を出しなさい❤
揃いも揃っておっぱいにメロメロ❤\nさあ、次にパイズリされたい人は誰かしら❤\nた～っぷり魅了パイズリを味合わせてあげる❤,揃いも揃っておっぱいにメロメロ❤\nさあ、次にパイズリされたい人は誰かしら❤\nた～っぷり魅了パイズリを味合わせてあげる❤
大切な試合なのにオナニーで負け❤\nわたしのおっぱい、そんなにエッチだったしから❤\nくすくす❤,大切な試合なのにオナニーで負け❤\nわたしのおっぱい、そんなにエッチだったしから❤\nくすくす❤
わたしのパイズリ、最高だったでしょう❤\n返事はしなくてもわかるわよ❤\nくすくす❤,わたしのパイズリ、最高だったでしょう❤\n返事はしなくてもわかるわよ❤\nくすくす❤
あん❤ぱふぱふだけでお漏らししちゃうなんて❤\n堪え性がないのね❤くすくす❤,あん❤ぱふぱふだけでお漏らししちゃうなんて❤\n堪え性がないのね❤くすくす❤
おっぱい見るだけでお漏らしするなんて本当にＣランクマスターなの？\nくすくす❤,おっぱい見るだけでお漏らしするなんて本当にＣランクマスターなの？\nくすくす❤
決着ー！！勝者はメロディ選手！,決着ー！！勝者はメロディ選手！
あの無敗のルーキーがついに敗れました！Ｂランクの壁は高かったー！,あの無敗のルーキーがついに敗れました！Ｂランクの壁は高かったー！
わたしの勝ちですね❤\n対戦ありがとうございました❤,わたしの勝ちですね❤\n対戦ありがとうございました❤
きゃ～❤　メロディせんぱ～い❤　大勝利～❤　いぇ～い❤,きゃ～❤　メロディせんぱ～い❤　大勝利～❤　いぇ～い❤
ううっ・・・❤力が入らない・・・❤,ううっ・・・❤力が入らない・・・❤
ふふふ❤人魚に惑わされて、気持ちよかったでしょう？\n人魚は男を歌と美貌で惑わして、海に引きずりこむの。,ふふふ❤人魚に惑わされて、気持ちよかったでしょう？\n人魚は男を歌と美貌で惑わして、海に引きずりこむの。
あなたのことも快楽の海に引きずり込んであげる❤,あなたのことも快楽の海に引きずり込んであげる❤
（ら～❤ら～❤）,（ら～❤ら～❤）
（うあ・・・❤きれいな声・・・❤ああ・・・❤）,（うあ・・・❤きれいな声・・・❤ああ・・・❤）
（師匠たちも見ているから、我慢しなきゃだめなのにっ・・・❤❤\n足が勝手に・・・❤）,（師匠たちも見ているから、我慢しなきゃだめなのにっ・・・❤❤\n足が勝手に・・・❤）
おおっと、どうしたことだ。試合が終わったにも関わらず、\nルーキーがふらふらとモンスターの方へと歩いていく！,おおっと、どうしたことだ。試合が終わったにも関わらず、\nルーキーがふらふらとモンスターの方へと歩いていく！
人魚のモンスターは何もしていないように見えますが・・・。\nもしや無敗のルーキーはさきほどの快感が忘れられず、\n自ら再び味わおうとしているのでしょうか！,人魚のモンスターは何もしていないように見えますが・・・。\nもしや無敗のルーキーはさきほどの快感が忘れられず、\n自ら再び味わおうとしているのでしょうか！
（なにもしてない・・・？こんなにきれいな歌を歌っているのに・・・❤\nうああ・・・❤）,（なにもしてない・・・？こんなにきれいな歌を歌っているのに・・・❤\nうああ・・・❤）
くすくす❤実況さんの説明が不思議ですか？\n{自分}は声の指向性をすごく絞ることができるんです❤,くすくす❤実況さんの説明が不思議ですか？\n{自分}は声の指向性をすごく絞ることができるんです❤
分かりやすく言うと、\nあなたの耳だけに聞こえるように、狭い範囲で音を飛ばせるんです❤\nおもしろいですよね❤,分かりやすく言うと、\nあなたの耳だけに聞こえるように、狭い範囲で音を飛ばせるんです❤\nおもしろいですよね❤
だから、いま観客のみなさんには、\nあなたが勝手にふらふらと近づいているように見えますよ❤\n昇格戦なのに、負けたあともだらしなく快楽をむさぼっているように❤,だから、いま観客のみなさんには、\nあなたが勝手にふらふらと近づいているように見えますよ❤\n昇格戦なのに、負けたあともだらしなく快楽をむさぼっているように❤
恥ずかしいですよね❤\n恥ずかしい思いをしたくないなら、ほら、頑張って足を止めてください❤\n耳をふさげば少しはましになると思いますよ？くすくす❤,恥ずかしいですよね❤\n恥ずかしい思いをしたくないなら、ほら、頑張って足を止めてください❤\n耳をふさげば少しはましになると思いますよ？くすくす❤
あん、そんなのいやよね❤\nわたしの歌声が耳たぶを甘くくすぐっているのに、\n耳をふさいでしまうなんて、そんなことしたくないでしょう？,あん、そんなのいやよね❤\nわたしの歌声が耳たぶを甘くくすぐっているのに、\n耳をふさいでしまうなんて、そんなことしたくないでしょう？
いいのよ、そのままこっちに来れば❤\nわたしの胸であなたのことを気持ちよくしてあげる❤\n谷間で挟んで、天国を見せてあげる❤,いいのよ、そのままこっちに来れば❤\nわたしの胸であなたのことを気持ちよくしてあげる❤\n谷間で挟んで、天国を見せてあげる❤
うふふ❤おっぱいでしてもらえるって思ったら、\n足が少し早くなったわね❤\nさあ、とどめよ❤,うふふ❤おっぱいでしてもらえるって思ったら、\n足が少し早くなったわね❤\nさあ、とどめよ❤
（ら～❤ら～❤ほら、耳元に歌を届けてあげる❤\n～♪来て、来て、来て❤\nわたしの胸に❤愛されに来て❤）,（ら～❤ら～❤ほら、耳元に歌を届けてあげる❤\n～♪来て、来て、来て❤\nわたしの胸に❤愛されに来て❤）
うあっ・・・❤❤あああっ❤❤,うあっ・・・❤❤あああっ❤❤
観客席には、師匠も受付さんも来ている。試合に負けただけでも恥ずかしいのだ。ましてそのあと敵に快楽をねだるだなんて、そんなこと・・・。,観客席には、師匠も受付さんも来ている。試合に負けただけでも恥ずかしいのだ。ましてそのあと敵に快楽をねだるだなんて、そんなこと・・・。
頭の奥ではこれ以上{自分}に近づくべきではないと分かっている。しかし、透き通るようなきれいな歌声が頭をとろんと蕩けさせてしまう。もっとこの声が聞きたい、あの体に触れたいという感情がマグマのように湧いて、足がまた一歩前に進んでしまう。,頭の奥ではこれ以上{自分}に近づくべきではないと分かっている。しかし、透き通るようなきれいな歌声が頭をとろんと蕩けさせてしまう。もっとこの声が聞きたい、あの体に触れたいという感情がマグマのように湧いて、足がまた一歩前に進んでしまう。
（くす❤チョロくて助かっちゃいます❤\nそれじゃわたしは司会者さんの方へ行って、と♪）,（くす❤チョロくて助かっちゃいます❤\nそれじゃわたしは司会者さんの方へ行って、と♪）
あー、ほんとうはすぐに試合を終えようと思っていたんですけれど、\n無敗のルーキーが自分から魔力を捧げたがってるなら仕方ないですねー。,あー、ほんとうはすぐに試合を終えようと思っていたんですけれど、\n無敗のルーキーが自分から魔力を捧げたがってるなら仕方ないですねー。
敗者をなぶりものにするのは趣味ではないのですが、\n相手自らの要望ですので。くす、くすくすくす❤\n仕方がないので、彼のしたいようにさせようかと思います❤,敗者をなぶりものにするのは趣味ではないのですが、\n相手自らの要望ですので。くす、くすくすくす❤\n仕方がないので、彼のしたいようにさせようかと思います❤
さすがはメロディ選手、心の広い提案ですね！\nそれに比べて{主人公}選手、昇格試合もどこへやら、\nあさましく自らの欲望をかなえようとしています！,さすがはメロディ選手、心の広い提案ですね！\nそれに比べて{主人公}選手、昇格試合もどこへやら、\nあさましく自らの欲望をかなえようとしています！
ファンのみなさんもこれはちょっとがっかりな光景かもしれません。\nおっと、ついに{主人公}選手が、{自分}の元にたどり着きました！,ファンのみなさんもこれはちょっとがっかりな光景かもしれません。\nおっと、ついに{主人公}選手が、{自分}の元にたどり着きました！
うふふ❤いろいろ言われてるのに、足を止められなかったわね❤\nいいのよ、すぐに周りの声なんて聞こえなくなるんだから❤,うふふ❤いろいろ言われてるのに、足を止められなかったわね❤\nいいのよ、すぐに周りの声なんて聞こえなくなるんだから❤
