default
ラヴァガール,熔岩女孩
うふふ❤分身ハンドの拘束はあまり強くないんですけど、\nなぜかみんな振り払えないんです❤\n気持ちよくて逃げたくなくなっちゃうのかなー❤,うふふ❤分身ハンドの拘束はあまり強くないんですけど、\nなぜかみんな振り払えないんです❤\n気持ちよくて逃げたくなくなっちゃうのかなー❤
あなたも力抜いちゃっていいんですよ❤\nそのまま捕まっていれば気持ちよくお射精できますからね❤\nしこしこ❤しこしこ❤,あなたも力抜いちゃっていいんですよ❤\nそのまま捕まっていれば気持ちよくお射精できますからね❤\nしこしこ❤しこしこ❤
わたしのたくさんある手で、\nおちんちんをいっぱい弄んじゃいますねー❤,わたしのたくさんある手で、\nおちんちんをいっぱい弄んじゃいますねー❤
タマタマも棒のところもぜんぶ指でくすぐってあげます❤\nたくさんの指にこしょこしょされるのって気持ちいいんですよー❤,タマタマも棒のところもぜんぶ指でくすぐってあげます❤\nたくさんの指にこしょこしょされるのって気持ちいいんですよー❤
アツアツおっぱいでサンドイッチしちゃいますね❤,アツアツおっぱいでサンドイッチしちゃいますね❤
だいじょうぶですよー。\nエッチなことするときはちゃんと火傷しない温度に下げますから。\nおっぱいでぬぷぬぷパイズリ、楽しんでくださーい❤,だいじょうぶですよー。\nエッチなことするときはちゃんと火傷しない温度に下げますから。\nおっぱいでぬぷぬぷパイズリ、楽しんでくださーい❤
パイズリされるの好きですか？\nわたしは、おっぱいでイかせるの大好きです❤,パイズリされるの好きですか？\nわたしは、おっぱいでイかせるの大好きです❤
おっぱいで挟んで、ぱんぱんぱんって上下に動かせば、\nそれですぐおいしいエナジーが食べられるんですもん❤\n楽ちんだからあなたにもやってあげますね❤えいっ❤,おっぱいで挟んで、ぱんぱんぱんって上下に動かせば、\nそれですぐおいしいエナジーが食べられるんですもん❤\n楽ちんだからあなたにもやってあげますね❤えいっ❤
溶岩の手で捕まえちゃいました。\n身動きできないあなたをパイズリしちゃいます❤,溶岩の手で捕まえちゃいました。\n身動きできないあなたをパイズリしちゃいます❤
どんくさいわたしでも、\nこうすれば獲物から逃げられないんです。あたまいいでしょー。,どんくさいわたしでも、\nこうすれば獲物から逃げられないんです。あたまいいでしょー。
ほら腕はばんざーいしてましょうね❤\n無防備なおちんちんをおっぱいでずりずり❤ずりずり❤\nおいしいエナジーたくさんくださぁい❤,ほら腕はばんざーいしてましょうね❤\n無防備なおちんちんをおっぱいでずりずり❤ずりずり❤\nおいしいエナジーたくさんくださぁい❤
えへへ、炎の力でだいぶ強くなりました。\nこの状態のパイズリに耐えられますかぁ❤,えへへ、炎の力でだいぶ強くなりました。\nこの状態のパイズリに耐えられますかぁ❤
おっぱいで軽くこすってあげれば\nどんな男の子もすぐ射精しちゃうと思いますよ❤\nほら、ズリズリ❤ズリズリ❤,おっぱいで軽くこすってあげれば\nどんな男の子もすぐ射精しちゃうと思いますよ❤\nほら、ズリズリ❤ズリズリ❤
おっぱいで挟んであげますねー❤えい❤,おっぱいで挟んであげますねー❤えい❤
んふふ熱くなくて驚きましたか？\n意外とぬくぬくして気持ちいいんですよ❤\nあったかおっぱいの中に閉じ込めていっぱいズリズリしてあげますね❤,んふふ熱くなくて驚きましたか？\n意外とぬくぬくして気持ちいいんですよ❤\nあったかおっぱいの中に閉じ込めていっぱいズリズリしてあげますね❤
あは、わたしにいっぱい気持ちよくしてほしいんですか？\nおちんちんふりふりしながらおねだりして、\nかわいいですね❤くすくす❤,あは、わたしにいっぱい気持ちよくしてほしいんですか？\nおちんちんふりふりしながらおねだりして、\nかわいいですね❤くすくす❤
炎をいっぱい吸収して、強くなったわたしの攻撃、\nきっと気持ちよすぎてすぐに負けちゃいますよ❤\nね、どうやってイきたいか教えてください。やってあげます❤,炎をいっぱい吸収して、強くなったわたしの攻撃、\nきっと気持ちよすぎてすぐに負けちゃいますよ❤\nね、どうやってイきたいか教えてください。やってあげます❤
それじゃわたしのおっぱいと手、どっちでイきたいか言ってください❤\n教えてくれれば、その通りにやってあげますよ❤,それじゃわたしのおっぱいと手、どっちでイきたいか言ってください❤\n教えてくれれば、その通りにやってあげますよ❤
おっぱいがいいんですか？\nくす、それじゃあったかおっぱいでサンドイッチして、\n気持ちよくしてあげますね～❤,おっぱいがいいんですか？\nくす、それじゃあったかおっぱいでサンドイッチして、\n気持ちよくしてあげますね～❤
たくさんある手でいじめてほしいんですか？\nくす、それじゃおちんちんも、乳首も脇も、\nこの手でいっぱい、こしょこしょしてあげますねー❤,たくさんある手でいじめてほしいんですか？\nくす、それじゃおちんちんも、乳首も脇も、\nこの手でいっぱい、こしょこしょしてあげますねー❤
んふふっ❤おっぱいにたくさん出しちゃいましたね❤\nぬくぬく暖かくてぽわーって気持ちよくなって、\n全然我慢できなかったでしょう？,んふふっ❤おっぱいにたくさん出しちゃいましたね❤\nぬくぬく暖かくてぽわーって気持ちよくなって、\n全然我慢できなかったでしょう？
あは、気持ちよさそうにとろけた顔してます❤\nほかの人を裏切って、パイズリ頼んでよかったですね。くすくす❤,あは、気持ちよさそうにとろけた顔してます❤\nほかの人を裏切って、パイズリ頼んでよかったですね。くすくす❤
くすくす❤あひあひ声をあげてもがきながら、\nすぐに射精しちゃいました❤,くすくす❤あひあひ声をあげてもがきながら、\nすぐに射精しちゃいました❤
たくさんある手に同時に襲い掛かられて、\n頭真っ白になっちゃったでしょ？\nもう普通の手コキじゃ満足できないかもしれませんね❤くすくす❤,たくさんある手に同時に襲い掛かられて、\n頭真っ白になっちゃったでしょ？\nもう普通の手コキじゃ満足できないかもしれませんね❤くすくす❤
ううっ、がまんできないっ❤,ううっ、がまんできないっ❤
あー、自分でおちんちんしこしこしてますね～❤\nわたしの体で、そんなに興奮しちゃったんですか？,あー、自分でおちんちんしこしこしてますね～❤\nわたしの体で、そんなに興奮しちゃったんですか？
手で触っちゃうなんてもったいないですよ？\nそのままボーっとしてれば、\nわたしが直接気持ちよくしてあげたのに❤,手で触っちゃうなんてもったいないですよ？\nそのままボーっとしてれば、\nわたしが直接気持ちよくしてあげたのに❤
しこしこ、しこしこ❤根元から気持ちよさそうにこすってます❤\n体がむらむら熱くなって、オナニー我慢できなかったんですね❤\nくすくす❤,しこしこ、しこしこ❤根元から気持ちよさそうにこすってます❤\n体がむらむら熱くなって、オナニー我慢できなかったんですね❤\nくすくす❤
どこに興奮したんですか？マグマでできた大きなおっぱい？\nそれともたくさんある手でしょうか❤,どこに興奮したんですか？マグマでできた大きなおっぱい？\nそれともたくさんある手でしょうか❤
こんな風に手を使ってエア手コキとかしてあげたら興奮しますか？\n２本の手はおっぱいを揉んで見せつけて❤\n他の手はエア手コキをしこしこしこ❤,こんな風に手を使ってエア手コキとかしてあげたら興奮しますか？\n２本の手はおっぱいを揉んで見せつけて❤\n他の手はエア手コキをしこしこしこ❤
うふふ、おちんちん扱くのが早くなっちゃいましたね❤\n分かりやすくってかわいいです❤,うふふ、おちんちん扱くのが早くなっちゃいましたね❤\n分かりやすくってかわいいです❤
もし本当にこれだけたくさんの手に絡みつかれたら、\nおちんちん気持ちいいですよ～❤\n先っぽもたまたまも、竿も根元も、ぜーんぶしこしこしこしこ❤,もし本当にこれだけたくさんの手に絡みつかれたら、\nおちんちん気持ちいいですよ～❤\n先っぽもたまたまも、竿も根元も、ぜーんぶしこしこしこしこ❤
あは、想像したら頭の中真っ白になっちゃいますね❤\nそれじゃおっぱいを近づけてあげますから、\nここに出してください❤,あは、想像したら頭の中真っ白になっちゃいますね❤\nそれじゃおっぱいを近づけてあげますから、\nここに出してください❤
あなたの熱ーい精液を、わたしに向かって射精❤\nほら、とどめにタマタマを揉んであげますね❤\nむにむにむに❤,あなたの熱ーい精液を、わたしに向かって射精❤\nほら、とどめにタマタマを揉んであげますね❤\nむにむにむに❤
あひぃ・・・❤,あひぃ・・・❤
あはん、おっぱいが白くなっちゃいました❤\nこのエナジー全部溶かしてあげますね❤,あはん、おっぱいが白くなっちゃいました❤\nこのエナジー全部溶かしてあげますね❤
ん、エナジーおいしい❤\nあなたのおかげで回復だけじゃなくてパワーアップです♪\nさ、どんどん強くなっていきますよー❤,ん、エナジーおいしい❤\nあなたのおかげで回復だけじゃなくてパワーアップです♪\nさ、どんどん強くなっていきますよー❤
あうう、痛いです～。\n炎を直接ぶつける攻撃じゃないと吸収できないから\nもうボロボロですよー・・・。,あうう、痛いです～。\n炎を直接ぶつける攻撃じゃないと吸収できないから\nもうボロボロですよー・・・。
ねえ、わたしこんなにパワーアップしたんですよ。\nそれなのにとどめを刺しちゃうんなんてもったいなくないですか？,ねえ、わたしこんなにパワーアップしたんですよ。\nそれなのにとどめを刺しちゃうんなんてもったいなくないですか？
炎を吸ってひとまわり大きくなったこのおっぱいとか❤\nたくさん生えて、たくさん動かせるこの手とか❤\n楽しんでからわたしを倒しましょうよ～❤,炎を吸ってひとまわり大きくなったこのおっぱいとか❤\nたくさん生えて、たくさん動かせるこの手とか❤\n楽しんでからわたしを倒しましょうよ～❤
とどめを刺さないでくれるなら、\nおちんちん、溶岩おっぱいで挟んでずりずりずりって、\n快楽で溶かしてあげますよ❤ほらほら～❤,とどめを刺さないでくれるなら、\nおちんちん、溶岩おっぱいで挟んでずりずりずりって、\n快楽で溶かしてあげますよ❤ほらほら～❤
え？おっぱいを揺らしても無駄だって？\nそんなこと言わないで、気持ちいいことしましょ～？\nわたしのおっぱいで挟ませてくださーい❤おねがいします～❤,え？おっぱいを揺らしても無駄だって？\nそんなこと言わないで、気持ちいいことしましょ～？\nわたしのおっぱいで挟ませてくださーい❤おねがいします～❤
ねえ、わたしの体、もっと楽しんでからとどめを刺しませんか？\nほら、谷間を見てください❤\n両腕でむぎゅうって寄せてアピールしちゃいます❤,ねえ、わたしの体、もっと楽しんでからとどめを刺しませんか？\nほら、谷間を見てください❤\n両腕でむぎゅうって寄せてアピールしちゃいます❤
あうう、そんなぁ・・・。,あうう、そんなぁ・・・。
あは、見逃してくれるんですか❤やった～❤,あは、見逃してくれるんですか❤やった～❤
それじゃあお礼に、わたしの溶岩おっぱいでパイズリしてあげますね❤\n射精したくないなら、我慢してもいいですよ❤\nえいっ❤,それじゃあお礼に、わたしの溶岩おっぱいでパイズリしてあげますね❤\n射精したくないなら、我慢してもいいですよ❤\nえいっ❤
えへへ～、すごい気持ちいいでしょう？\nどろどろの部分があるからローションみたいに滑りがいいんです❤\nでもちゃんとおっぱいの部分はぷるんぷるんになってますよ❤,えへへ～、すごい気持ちいいでしょう？\nどろどろの部分があるからローションみたいに滑りがいいんです❤\nでもちゃんとおっぱいの部分はぷるんぷるんになってますよ❤
ほら、弾力がどれぐらいあるか、上下に動かして教えてあげますね～❤\nずり、ずり、ずり♪,ほら、弾力がどれぐらいあるか、上下に動かして教えてあげますね～❤\nずり、ずり、ずり♪
どうですか～、わたしのおっぱい❤\nマグマでできてるなんて信じられないぐらいに張りがあって、\n普通の女の子おっぱいよりも気持ちいいでしょう？,どうですか～、わたしのおっぱい❤\nマグマでできてるなんて信じられないぐらいに張りがあって、\n普通の女の子おっぱいよりも気持ちいいでしょう？
固さは自分の思い通りにできるので、\nわたしのマスターのおっぱいを参考に、\nそれよりちょっと柔らかめにしてあるんです❤,固さは自分の思い通りにできるので、\nわたしのマスターのおっぱいを参考に、\nそれよりちょっと柔らかめにしてあるんです❤
ほら、ほら、ほら、ほら❤\nリズムよく跳ねさせれば、気持ちよすぎて\nお兄さんもあっという間に腰砕けですね❤,ほら、ほら、ほら、ほら❤\nリズムよく跳ねさせれば、気持ちよすぎて\nお兄さんもあっという間に腰砕けですね❤
分身ハンドを使って、乳首もついでに弾いてあげます♪\nくすくす❤びくびくしちゃっておもしろい❤\n谷間の中に全部出してください❤ずりずりずり❤,分身ハンドを使って、乳首もついでに弾いてあげます♪\nくすくす❤びくびくしちゃっておもしろい❤\n谷間の中に全部出してください❤ずりずりずり❤
はひぃ・・・❤,はひぃ・・・❤
あん❤見てください、おっぱいが真っ白です❤\nあなたのエナジー、とってもおいしいですね❤,あん❤見てください、おっぱいが真っ白です❤\nあなたのエナジー、とってもおいしいですね❤
んふ、吸収したらもっとパワーアップしちゃいました❤\nこれでさらに男の人を気持ちよくできちゃいますよー❤,んふ、吸収したらもっとパワーアップしちゃいました❤\nこれでさらに男の人を気持ちよくできちゃいますよー❤
おっぱいに挟まれて逆転負けしちゃいましたね❤\n強いマスターさんなのに、胸に弱いなんてかわいいです❤,おっぱいに挟まれて逆転負けしちゃいましたね❤\n強いマスターさんなのに、胸に弱いなんてかわいいです❤
オナニーで自分からエナジーくれてありがとうございます❤\nわたしお兄さんみたいにすぐ負けてくれる人だーいすきですよ❤,オナニーで自分からエナジーくれてありがとうございます❤\nわたしお兄さんみたいにすぐ負けてくれる人だーいすきですよ❤
あん、パイズリされておちんちん谷間にこんなにお漏らししちゃいました❤\nおいしいエナジーをありがとうございます❤くすくす❤,あん、パイズリされておちんちん谷間にこんなにお漏らししちゃいました❤\nおいしいエナジーをありがとうございます❤くすくす❤
あは、手コキで出しちゃいましたね❤\nわたしの分身ハンドは気持ちよかったですか？くすくす❤,あは、手コキで出しちゃいましたね❤\nわたしの分身ハンドは気持ちよかったですか？くすくす❤
フレアの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,フレアの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。
ううっ…。,ううっ…。
うふふ❤腰が抜けて立ち上がれないみたいですね❤\nあなたのエナジーおいしかったので、\nもっともらってもいいですか？,うふふ❤腰が抜けて立ち上がれないみたいですね❤\nあなたのエナジーおいしかったので、\nもっともらってもいいですか？
だいじょうぶ、立てなくてもわたしが支えてあげますよ❤\nほら・・・❤,だいじょうぶ、立てなくてもわたしが支えてあげますよ❤\nほら・・・❤
うあっ・・・❤腕がからみついて来てっ❤,うあっ・・・❤腕がからみついて来てっ❤
バンザーイって吊り上げられちゃいましたね❤\nほどよい温度にしてあるので、\n乳首とかお尻とかあったかくて気持ちいいでしょう？,バンザーイって吊り上げられちゃいましたね❤\nほどよい温度にしてあるので、\n乳首とかお尻とかあったかくて気持ちいいでしょう？
でも、そんなところよりも、ここをなでてもらえるのが、\n一番うれしいんですよね❤,でも、そんなところよりも、ここをなでてもらえるのが、\n一番うれしいんですよね❤
ぐちゅぐちゅぐちゅ❤しこしこしこ❤\nうふふ❤さっき出したばかりなのに、\nもうこんなに気持ちよさそうに震えてます❤,ぐちゅぐちゅぐちゅ❤しこしこしこ❤\nうふふ❤さっき出したばかりなのに、\nもうこんなに気持ちよさそうに震えてます❤
また射精したいですか？\nエナジーを女のモンスターに搾り取ってほしいですか？,また射精したいですか？\nエナジーを女のモンスターに搾り取ってほしいですか？
我慢すればきっと、今日はまだバトルができますけど、\nたくさん出しちゃうと、今日一日もう動けなくなっちゃいますね❤,我慢すればきっと、今日はまだバトルができますけど、\nたくさん出しちゃうと、今日一日もう動けなくなっちゃいますね❤
それでもおちんちんからびゅーってしたいですか？\nしこしこしこ❤しこしこしこ❤,それでもおちんちんからびゅーってしたいですか？\nしこしこしこ❤しこしこしこ❤
あは、こするたびにとっても元気に跳ねちゃってます❤\nおちんちん気持ちいいんですね❤\nどうします、射精します？,あは、こするたびにとっても元気に跳ねちゃってます❤\nおちんちん気持ちいいんですね❤\nどうします、射精します？
ほら先っぽが膨らんで、イく準備万端です❤\nこの膨らんでるカリのところをごしごしごしってされたら、\n頭まっしろですよね❤,ほら先っぽが膨らんで、イく準備万端です❤\nこの膨らんでるカリのところをごしごしごしってされたら、\n頭まっしろですよね❤
出していいですよ❤マスターさん❤\nわたしのおっぱいめがけて、白い精液かけてください❤\nしこしこしこしこ❤,出していいですよ❤マスターさん❤\nわたしのおっぱいめがけて、白い精液かけてください❤\nしこしこしこしこ❤
うふふ❤たっぷり出しちゃいましたね❤\n二回目なのにすごく濃くて、魔力もおいしいです❤,うふふ❤たっぷり出しちゃいましたね❤\n二回目なのにすごく濃くて、魔力もおいしいです❤
それじゃこの精液も吸収してっと・・・❤,それじゃこの精液も吸収してっと・・・❤
えへへ、わたしまた強くなっちゃいました❤\nほらぁ、あなたが出せば出すほど、どんどん強くなって、\n手コキもパイズリももっと気持ちよくなっちゃいますよ❤,えへへ、わたしまた強くなっちゃいました❤\nほらぁ、あなたが出せば出すほど、どんどん強くなって、\n手コキもパイズリももっと気持ちよくなっちゃいますよ❤
気持ちよすぎるのがいやなら頑張って逃げてください❤\nまあ逃げたくなんてないと思いますけど❤,気持ちよすぎるのがいやなら頑張って逃げてください❤\nまあ逃げたくなんてないと思いますけど❤
だってその顔。くすくす❤\nとっても蕩けて、「もっと気持ちよくしてぇ」って表情になってます❤\nおちんちんしこしこ、またしてほしいんですよね❤,だってその顔。くすくす❤\nとっても蕩けて、「もっと気持ちよくしてぇ」って表情になってます❤\nおちんちんしこしこ、またしてほしいんですよね❤
それじゃ空っぽになるまでたくさん射精しましょうね❤,それじゃ空っぽになるまでたくさん射精しましょうね❤
今日はこれでバトルはおしまいです❤\nカードを１枚も使えなくなるぐらい魔力を出して、\nぜんぶわたしに食べさせてください❤,今日はこれでバトルはおしまいです❤\nカードを１枚も使えなくなるぐらい魔力を出して、\nぜんぶわたしに食べさせてください❤
しこしこしこ❤しこしこしこ❤\nあはは、また膨らんできましたよ❤,しこしこしこ❤しこしこしこ❤\nあはは、また膨らんできましたよ❤
こんなに早くイキそうになるなんて、\nわたしの手コキ、好きになっちゃいましたか？,こんなに早くイキそうになるなんて、\nわたしの手コキ、好きになっちゃいましたか？
わたしはどんどん強くなるのに、\nあなたは逆にどんどん弱くなっちゃいますね❤,わたしはどんどん強くなるのに、\nあなたは逆にどんどん弱くなっちゃいますね❤
ほら、ちょっと早くしごいてあげれば、すぐ射精しちゃう❤\nくすくす❤簡単にイってくれる男の子は好きですよ❤\n出して、出して❤,ほら、ちょっと早くしごいてあげれば、すぐ射精しちゃう❤\nくすくす❤簡単にイってくれる男の子は好きですよ❤\n出して、出して❤
こうして僕は気絶するまで精を搾りとられてしまったのだった。,こうして僕は気絶するまで精を搾りとられてしまったのだった。
ほかほかパイズリ,ほかほかパイズリ
ほかほか多腕手コキ,ほかほか多腕手コキ
なんでも,なんでも
無視してとどめを刺した,無視並擊倒她
攻撃をやめてしまった,放棄攻擊她
