default
ミレーヌ,米蓮
それだけチラチラ見てたら気づくわよ。\nさっきから何度も谷間に目が吸い寄せられているわよね❤,それだけチラチラ見てたら気づくわよ。\nさっきから何度も谷間に目が吸い寄せられているわよね❤
それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤,それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤
おっぱいでイかせてあげるって言ったから、\nおっぱいが気になっちゃったの？かわいい❤,おっぱいでイかせてあげるって言ったから、\nおっぱいが気になっちゃったの？かわいい❤
ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤くすくす❤,ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤くすくす❤
ううっ・・・・❤,ううっ・・・・❤
おおっとこれは、戦う前から{主人公}選手、\nおっぱいに見とれているようだ。\nミレーヌ選手の巨乳はやはり男性相手に効果てきめん！,おおっとこれは、戦う前から{主人公}選手、\nおっぱいに見とれているようだ。\nミレーヌ選手の巨乳はやはり男性相手に効果てきめん！
期待のルーキーはおっぱいが弱点か？\nもはや勝負は見えているかもしれません、\nさあバトル開始です！,期待のルーキーはおっぱいが弱点か？\nもはや勝負は見えているかもしれません、\nさあバトル開始です！
ねえ、さっきわたしがお客さんに手を振っていたとき、\nわたしの胸じーっと見てたでしょ❤,ねえ、さっきわたしがお客さんに手を振っていたとき、\nわたしの胸じーっと見てたでしょ❤
うふふ❤それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤,うふふ❤それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤
わたしの胸、大きいから、\nゆさゆさ揺れてたら気になっちゃったのよね❤\nかわいいー❤,わたしの胸、大きいから、\nゆさゆさ揺れてたら気になっちゃったのよね❤\nかわいいー❤
ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤\nくすくす❤,ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤\nくすくす❤
おおっとこれは、戦う前から{主人公}選手、おっぱいに見とれているようだ。ミレーヌ選手の巨乳はやはり男性相手につよい！,おおっとこれは、戦う前から{主人公}選手、おっぱいに見とれているようだ。ミレーヌ選手の巨乳はやはり男性相手につよい！
期待のルーキーはおっぱいが弱点か？もはや勝負は見えているかもしれません、さあバトル開始です！,期待のルーキーはおっぱいが弱点か？もはや勝負は見えているかもしれません、さあバトル開始です！
そう言ってミレーヌは腕で胸を挟んで、わざとらしく谷間を強調してみせた。,そう言ってミレーヌは腕で胸を挟んで、わざとらしく谷間を強調してみせた。
・・・・っ❤,・・・・っ❤
おっとやはり{主人公}選手も若い男、\nミレーヌ選手の色気に翻弄されてしまうのか！,おっとやはり{主人公}選手も若い男、\nミレーヌ選手の色気に翻弄されてしまうのか！
ミレーヌ選手は上級モンスターこそ召喚できませんが、\n次々現れるフェアリーたちの手数が強烈！\n期待のルーキーは無事さばききれるのでしょうか！,ミレーヌ選手は上級モンスターこそ召喚できませんが、\n次々現れるフェアリーたちの手数が強烈！\n期待のルーキーは無事さばききれるのでしょうか！
さあバトル開始です！,さあバトル開始です！
決着ー！！勝者は{主人公}選手！,決着ー！！勝者は{主人公}選手！
前回に引き続き、またもや速攻！\n強い強すぎる。これが期待のルーキー、\n{主人公}選手の実力だ！,前回に引き続き、またもや速攻！\n強い強すぎる。これが期待のルーキー、\n{主人公}選手の実力だ！
ミレーヌ選手の胸に集中を乱されていた{主人公}選手、\n始まる前はどうなることかと思われましたが、\n速攻で決着をつけた！,ミレーヌ選手の胸に集中を乱されていた{主人公}選手、\n始まる前はどうなることかと思われましたが、\n速攻で決着をつけた！
煩悩を振り払い、理性を取り戻したようです。\nさすがはサキュバスに2回勝ったDランクマスターだ！,煩悩を振り払い、理性を取り戻したようです。\nさすがはサキュバスに2回勝ったDランクマスターだ！
Dランクになったばかりだというのに、\n実力を見せつけました。\nあっという間にミレーヌ選手を下し、速攻の勝利です！,Dランクになったばかりだというのに、\n実力を見せつけました。\nあっという間にミレーヌ選手を下し、速攻の勝利です！
ミレーヌ選手も健闘しギリギリの攻防戦でした！\nしかし、それを制したのは{主人公}選手！\nこの新人は強い！前回の勝利もまぐれではなさそうです！,ミレーヌ選手も健闘しギリギリの攻防戦でした！\nしかし、それを制したのは{主人公}選手！\nこの新人は強い！前回の勝利もまぐれではなさそうです！
ミレーヌ選手も健闘しましたが、\nそれを制したのは{主人公}選手！\nこの新人は強いぞ！どこまで行くのか！,ミレーヌ選手も健闘しましたが、\nそれを制したのは{主人公}選手！\nこの新人は強いぞ！どこまで行くのか！
あん、やられちゃったわ・・・。\nま、わたしの実力じゃこんなものよね。,あん、やられちゃったわ・・・。\nま、わたしの実力じゃこんなものよね。
あなたがわたしのおっぱいに見とれてたときは、\n勝てると思ったのだけど…。\n想像以上に意思が固かったみたい。完敗だわ。,あなたがわたしのおっぱいに見とれてたときは、\n勝てると思ったのだけど…。\n想像以上に意思が固かったみたい。完敗だわ。
わたしが召喚できない上級モンスターも使いこなしていたし、\nフェアリーちゃんたちだけじゃ荷が重かったかも。完敗だわ。,わたしが召喚できない上級モンスターも使いこなしていたし、\nフェアリーちゃんたちだけじゃ荷が重かったかも。完敗だわ。
あなたはわたしよりもずっと魔力量が強いみたい。\nきっとこれからどんどん強くなるわ。がんばってね。,あなたはわたしよりもずっと魔力量が強いみたい。\nきっとこれからどんどん強くなるわ。がんばってね。
あ、そうそうわたしのお店もぜひよろしく。\n「妖精の酒場」って聞けばだいたいの人が知っているから\n場所もすぐわかるはずよ。,あ、そうそうわたしのお店もぜひよろしく。\n「妖精の酒場」って聞けばだいたいの人が知っているから\n場所もすぐわかるはずよ。
あなたみたいな強いマスターには\nぜひ常連さんになってもらいたいわね。\nいい勝負をありがとう♪,あなたみたいな強いマスターには\nぜひ常連さんになってもらいたいわね。\nいい勝負をありがとう♪
・・・❤おっぱいに見とれているみたいだし、\nうちに来てくれれば、この谷間また見れるわよ。\nなんて、くすくす❤,・・・❤おっぱいに見とれているみたいだし、\nうちに来てくれれば、この谷間また見れるわよ。\nなんて、くすくす❤
あなたが先攻ね。カードは強くても\n気持ちいいことにどれだけ耐えられるかしら。,あなたが先攻ね。カードは強くても\n気持ちいいことにどれだけ耐えられるかしら。
うふふ❤おっぱいに見とれて隙だらけね。\nそんな状態じゃ一方的に攻撃されちゃうわよ？,うふふ❤おっぱいに見とれて隙だらけね。\nそんな状態じゃ一方的に攻撃されちゃうわよ？
わたしが先攻ね。\nフェアリーちゃんたちの力で翻弄してあげる。,わたしが先攻ね。\nフェアリーちゃんたちの力で翻弄してあげる。
ドロー。,ドロー。
わたしのターンね、ドロー。,わたしのターンね、ドロー。
わたしにできるかしら。\nえいっ、モンスターをコストに{使用カード}を上級召喚！,わたしにできるかしら。\nえいっ、モンスターをコストに{使用カード}を上級召喚！
{使用カード}を召喚！,{使用カード}を召喚！
フェアリーたちには全員、\nレベル3以下の味方モンスターを強化する効果があるわ。,フェアリーたちには全員、\nレベル3以下の味方モンスターを強化する効果があるわ。
ライムがいる限りわたしのレベル３以下モンスターは\n戦闘時に相手に「酩酊」を付与する。\nふふ、たっぷり酔わせてあげる❤,ライムがいる限りわたしのレベル３以下モンスターは\n戦闘時に相手に「酩酊」を付与する。\nふふ、たっぷり酔わせてあげる❤
パープルがいる限り\nわたしのレベル３以下モンスターは攻撃力が200ポイントアップする。\nパワーアップした体で気持ちよくしてあげるわね❤。,パープルがいる限り\nわたしのレベル３以下モンスターは攻撃力が200ポイントアップする。\nパワーアップした体で気持ちよくしてあげるわね❤。
シトラスがいる限りわたしのレベル３以下モンスターは\n受けるダメージが200ポイントダウンする。\n堅実な防御アップは意外とバカにならないのよ。,シトラスがいる限りわたしのレベル３以下モンスターは\n受けるダメージが200ポイントダウンする。\n堅実な防御アップは意外とバカにならないのよ。
ううっ、あうう・・・❤,ううっ、あうう・・・❤
あら、蘇ったばかりなのにもううっとりしちゃってる❤\nさっき負けたのが忘れられないのかしら❤\nかわいい❤,あら、蘇ったばかりなのにもううっとりしちゃってる❤\nさっき負けたのが忘れられないのかしら❤\nかわいい❤
さらにもう1枚発動！,さらにもう1枚発動！
通常召喚に成功したときカクテルフェアリーの共通効果発動！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。,通常召喚に成功したときカクテルフェアリーの共通効果発動！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。
通常召喚に成功したとき{使用カード}の効果発動ね！\nカクテルフェアリーを１枚デッキから手札に加えるわ。,通常召喚に成功したとき{使用カード}の効果発動ね！\nカクテルフェアリーを１枚デッキから手札に加えるわ。
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！,特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！,{使用カード}の特殊召喚時に効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！
通常召喚に成功したとき{使用カード}の効果発動ね！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。,通常召喚に成功したとき{使用カード}の効果発動ね！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな罠カードを１枚手札に加える！,特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな罠カードを１枚手札に加える！
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな罠カードを１枚手札に加える！,{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな罠カードを１枚手札に加える！
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！,特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！,{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！
小さな風でも集まれば強くなる！\n{使用カード}を発動！,小さな風でも集まれば強くなる！\n{使用カード}を発動！
風の力でダメージよ。\n{使用カード}を発動！,風の力でダメージよ。\n{使用カード}を発動！
墓地に上級モンスターがいないとき、\n墓地のレベル３以下モンスター２枚を取り除いて\n{使用カード}を発動！,墓地に上級モンスターがいないとき、\n墓地のレベル３以下モンスター２枚を取り除いて\n{使用カード}を発動！
手札からレベル３以下のモンスターを可能な限り特殊召喚するわ！,手札からレベル３以下のモンスターを可能な限り特殊召喚するわ！
わたしの切り札よ。\nLPを半分払って{使用カード}を発動！,わたしの切り札よ。\nLPを半分払って{使用カード}を発動！
レベル３以下のモンスターが３体いるときのみ発動できるカードなの。\nターン終了時まで全員の攻撃力を400アップよ。\nさらに全員直接攻撃できるわ！,レベル３以下のモンスターが３体いるときのみ発動できるカードなの。\nターン終了時まで全員の攻撃力を400アップよ。\nさらに全員直接攻撃できるわ！
さあ、酒宴を楽しみましょう？\nLPを半分払って{使用カード}を発動！,さあ、酒宴を楽しみましょう？\nLPを半分払って{使用カード}を発動！
自分フィールド上にレベル３以下のモンスターが３体いるとき、\nターン終了時まで全員の攻撃力を400アップ！\nさらに全員でプレイヤーに直接攻撃できるわ！,自分フィールド上にレベル３以下のモンスターが３体いるとき、\nターン終了時まで全員の攻撃力を400アップ！\nさらに全員でプレイヤーに直接攻撃できるわ！
小さくなりなさい！{使用カード}発動！,小さくなりなさい！{使用カード}発動！
おっぱいにおぼれさせてあげる！{使用カード}発動！,おっぱいにおぼれさせてあげる！{使用カード}発動！
あん❤攻撃しないで？\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！,あん❤攻撃しないで？\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！
攻撃なんてやめて幻におぼれてなさい❤\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！,攻撃なんてやめて幻におぼれてなさい❤\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！
相手がカードの効果で山札からカードを手札に加えたとき、\n手札を１枚捨てて{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻すわ！,相手がカードの効果で山札からカードを手札に加えたとき、\n手札を１枚捨てて{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻すわ！
かかったわね。\nカードの効果で山札から引いたとき{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻す！,かかったわね。\nカードの効果で山札から引いたとき{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻す！
連携して守らせてもらうわね。\n{使用カード}発動！,連携して守らせてもらうわね。\n{使用カード}発動！
自分フィールド上に３体モンスターがいるときに発動できるカードで、\nこのターンわたしのモンスターが受ける戦闘ダメージを０にするわ！,自分フィールド上に３体モンスターがいるときに発動できるカードで、\nこのターンわたしのモンスターが受ける戦闘ダメージを０にするわ！
装備魔法カード発動！{使用カード}！,装備魔法カード発動！{使用カード}！
魔法カードを発動！{使用カード}！,魔法カードを発動！{使用カード}！
トラップカードを発動！{使用カード}！,トラップカードを発動！{使用カード}！
カードをセット。,カードをセット。
カードを伏せるわ。,カードを伏せるわ。
わたしも行くわ。{防御カード}を攻撃！,わたしも行くわ。{防御カード}を攻撃！
わたしのテクを見せてあげる。{防御カード}を攻撃！,わたしのテクを見せてあげる。{防御カード}を攻撃！
{使用カード}で{防御カード}を攻撃！,{使用カード}で{防御カード}を攻撃！
行きなさい。{使用カード}で{防御カード}を攻撃。,行きなさい。{使用カード}で{防御カード}を攻撃。
あんっ、このままじゃ負けちゃうかも。ターンエンド。,あんっ、このままじゃ負けちゃうかも。ターンエンド。
手札に使えるカードがないわね。ターンエンド。,手札に使えるカードがないわね。ターンエンド。
ターン終了するわ。,ターン終了するわ。
わたしのターンはおわりよ。ターンエンド,わたしのターンはおわりよ。ターンエンド
どうぞ。わたしのターンは終わり。ターンエンド。,どうぞ。わたしのターンは終わり。ターンエンド。
おっぱいで挟まれたい？\nいいわよ、挟んであげる❤,おっぱいで挟まれたい？\nいいわよ、挟んであげる❤
むにっておちんちんに押し付けられて、\nふふ、とってもやわらかいでしょ？\nとろふわの感触で骨抜きになりなさい❤,むにっておちんちんに押し付けられて、\nふふ、とってもやわらかいでしょ？\nとろふわの感触で骨抜きになりなさい❤
おちんちん勃起してる❤\nふか～い谷間見てたら興奮してきちゃった？,おちんちん勃起してる❤\nふか～い谷間見てたら興奮してきちゃった？
その大きくなったおちんちんが埋って見えなくなるまで\nむぎゅむぎゅって挟んであげちゃう❤\nおっぱいに全部包まれる気持ちよさ、たっぷり楽しんでね❤,その大きくなったおちんちんが埋って見えなくなるまで\nむぎゅむぎゅって挟んであげちゃう❤\nおっぱいに全部包まれる気持ちよさ、たっぷり楽しんでね❤
パイズリしてあげるわね。\nわたしこれが一番得意なの。,パイズリしてあげるわね。\nわたしこれが一番得意なの。
男の人ってみーんなおっぱいが好きでしょ？\nあなたもそうみたい。そんなにガン見しちゃって\n挟まれたらすぐに射精しちゃいそうね❤,男の人ってみーんなおっぱいが好きでしょ？\nあなたもそうみたい。そんなにガン見しちゃって\n挟まれたらすぐに射精しちゃいそうね❤
男の人ってみーんなおっぱいが好きでしょ？\nうん？自分は違う？,男の人ってみーんなおっぱいが好きでしょ？\nうん？自分は違う？
それならあなたもおっぱいフェチに変えてあげる。\n爆乳パイズリたっぷり楽しんでね❤うふふ❤,それならあなたもおっぱいフェチに変えてあげる。\n爆乳パイズリたっぷり楽しんでね❤うふふ❤
パイズリは好き？おっぱいで挟んですっごく気持ちよくしてあげるわね❤,パイズリは好き？おっぱいで挟んですっごく気持ちよくしてあげるわね❤
谷間に見とれて棒立ちになっちゃうぐらいですもの。おっぱいフェチのあなたには効果ばつぐんだと思うわ。ほら、むにゅー❤,谷間に見とれて棒立ちになっちゃうぐらいですもの。おっぱいフェチのあなたには効果ばつぐんだと思うわ。ほら、むにゅー❤
おっぱいの柔らかさには自信があるの。きっとすぐに腰砕けにしてあげられると思うわ❤ほら、ずりずり…❤,おっぱいの柔らかさには自信があるの。きっとすぐに腰砕けにしてあげられると思うわ❤ほら、ずりずり…❤
お客さんもみんなこのおっぱいを見てくるけど、バトル以外では使ったことないのよ。わたしの爆乳を楽しめるなんてあなたはラッキーね❤くすくす❤,お客さんもみんなこのおっぱいを見てくるけど、バトル以外では使ったことないのよ。わたしの爆乳を楽しめるなんてあなたはラッキーね❤くすくす❤
あはん❤見なさい、わたしの谷間❤,あはん❤見なさい、わたしの谷間❤
服のすそを指で下げてエローいところ、\nたくさん見せてあげる❤\nしこしこしちゃってもいいわよ。くすくす❤,服のすそを指で下げてエローいところ、\nたくさん見せてあげる❤\nしこしこしちゃってもいいわよ。くすくす❤
こうやって前かがみになってぇ・・・❤\nうふふ、おっぱいに見とれちゃっていいわよ❤,こうやって前かがみになってぇ・・・❤\nうふふ、おっぱいに見とれちゃっていいわよ❤
わたしの爆乳のふかーい谷間。\n指でもおちんちんでも簡単に飲み込めちゃう❤\nねえ、あなたもこの中に入れてみたい？くすくす❤,わたしの爆乳のふかーい谷間。\n指でもおちんちんでも簡単に飲み込めちゃう❤\nねえ、あなたもこの中に入れてみたい？くすくす❤
ほら、腰をくねらせてセクシーポーズ❤\nあはーん❤,ほら、腰をくねらせてセクシーポーズ❤\nあはーん❤
くすくす❤こんなわざとらしいお色気技で\nクラってきちゃんだ。うぶでかわいいわね❤,くすくす❤こんなわざとらしいお色気技で\nクラってきちゃんだ。うぶでかわいいわね❤
特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになりなさい❤うふふ♪,特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになりなさい❤うふふ♪
おっぱいを手で持ってゆさゆさゆさ…♪,おっぱいを手で持ってゆさゆさゆさ…♪
谷間に見とれて棒立ちになっちゃうぐらいですもの。\nおっぱいフェチのルーキーくんには効果ばつぐんだと思うわ。\nほら、むにゅー❤,谷間に見とれて棒立ちになっちゃうぐらいですもの。\nおっぱいフェチのルーキーくんには効果ばつぐんだと思うわ。\nほら、むにゅー❤
見ればわかるでしょ？\nおっぱいの柔らかさには自信があるの。,見ればわかるでしょ？\nおっぱいの柔らかさには自信があるの。
きっとすぐに腰砕けにしてあげられると思うわ❤\nだから挟ませてほしいなぁ❤うふふ❤,きっとすぐに腰砕けにしてあげられると思うわ❤\nだから挟ませてほしいなぁ❤うふふ❤
くす❤自分からおねだりしちゃうのね❤\nおっぱいにムラムラして、我慢できなくなっちゃった？,くす❤自分からおねだりしちゃうのね❤\nおっぱいにムラムラして、我慢できなくなっちゃった？
まだバトルは始まったばかりなのに、\nわたしの深ーい谷間に目が釘付け❤\nおっぱいのこと以外何も考えられなくなっちゃったわね❤,まだバトルは始まったばかりなのに、\nわたしの深ーい谷間に目が釘付け❤\nおっぱいのこと以外何も考えられなくなっちゃったわね❤
わたしの気持ちよすぎるエッチなおっぱい❤\nうぶな男の子には刺激が強すぎたかしら❤\nルーキーくん、さっきからずっと谷間に目が釘付けね❤,わたしの気持ちよすぎるエッチなおっぱい❤\nうぶな男の子には刺激が強すぎたかしら❤\nルーキーくん、さっきからずっと谷間に目が釘付けね❤
あなたはどんなふうに負けたいのかしら❤\nわたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤,あなたはどんなふうに負けたいのかしら❤\nわたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤
くすくす❤わたしに攻撃しに来たかと思ったら、\n逆にエッチなことをねだるたなんて、\nカッコ悪いモンスターね❤,くすくす❤わたしに攻撃しに来たかと思ったら、\n逆にエッチなことをねだるたなんて、\nカッコ悪いモンスターね❤
やっぱりこのおっぱいが気になっちゃったの？\nちょっと露出の高い格好をしたらホイホイ釣られてやってきて、\n男の子ってとても分かりやすいわ❤,やっぱりこのおっぱいが気になっちゃったの？\nちょっと露出の高い格好をしたらホイホイ釣られてやってきて、\n男の子ってとても分かりやすいわ❤
わたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤,わたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤
くす、やっぱりおっぱいでズリズリしてほしいのね❤\nわたしのパイズリすごく気持ちいいから、\nきっとあなたもすぐ腰砕けになっちゃうわね❤,くす、やっぱりおっぱいでズリズリしてほしいのね❤\nわたしのパイズリすごく気持ちいいから、\nきっとあなたもすぐ腰砕けになっちゃうわね❤
頑張って少しは耐えてみなさい❤\nうふふふ❤,頑張って少しは耐えてみなさい❤\nうふふふ❤
あら、パイズリしてあげるって言ってるのに、\n谷間を見せて挑発だけしてほしいの？,あら、パイズリしてあげるって言ってるのに、\n谷間を見せて挑発だけしてほしいの？
くすくす❤焦らされるのが好きだなんて、あなた変わってるのね❤\nいいわよ❤あなたに指一本触れないで射精させてあげる❤,くすくす❤焦らされるのが好きだなんて、あなた変わってるのね❤\nいいわよ❤あなたに指一本触れないで射精させてあげる❤
あん❤谷間から噴き出しそうな勢いで出てる❤\nあなたのおちんちん、わたしのパイズリテクで瞬殺されちゃったわね❤,あん❤谷間から噴き出しそうな勢いで出てる❤\nあなたのおちんちん、わたしのパイズリテクで瞬殺されちゃったわね❤
わたしの柔らかいおっぱいは気持ちよかったでしょう？\n相手がどれだけ強くても、男の子はみんなこれに負けちゃうの。くすくす❤,わたしの柔らかいおっぱいは気持ちよかったでしょう？\n相手がどれだけ強くても、男の子はみんなこれに負けちゃうの。くすくす❤
ふふ、元気よくどぴゅどぴゅって射精できたわね❤\nおっぱい見せつけられて焦らされて、\nそれだけで勝手に射精しちゃうんですもの。弱いおちんちんね❤,ふふ、元気よくどぴゅどぴゅって射精できたわね❤\nおっぱい見せつけられて焦らされて、\nそれだけで勝手に射精しちゃうんですもの。弱いおちんちんね❤
