default
アーチャー,弓箭手
あは、腰がビクビクしている。手でしごかれるの好きなの？それならすぐイっちゃうかもね。くすくす❤,啊哈哈，你身體在發抖耶。你喜歡被女性怪獸用手幹嗎？那你說不定會射耶。嗯哼哼。
見て？指で作ったわっか。この穴の中にチンポ入れてあげるね。ほら…。,看啊，我手指做成環狀。我要把小弟弟放進這個環中喔。感覺到了嗎？進去了喔。
しこしこ…❤しこしこ❤ふふ、数回動かしただけで目がとろーんとしちゃってる。手袋手コキ、気持ちいい？,然後我動起來了❤爽不爽？嗯哼哼，我才動幾下你眼神就在發情了了。手套手淫很爽對不對？
されるがままで全然逃げようとしないね。わたしの手コキが気に入ったのならこのまま射精するまでじっとしてなよ。くすくす。,明明被人幹卻完全沒有想逃走的意思呢。如果喜歡我的手交你可以就這樣呆站到射精。嗯哼哼。
剣や魔法がどんなに上手くても、チンポさえ握っちゃえば男の子なんて楽勝。手コキが好きなあなたならなおさらだよね❤,不管男孩子多會用劍與魔法，只要握住他的小雞雞就能打贏。而喜歡手交的你更是不用說呢。
こんな風に指でしこしこされるとたまんないんでしょ？さっさとイっちゃていいよ？しこしこー❤,被女孩子用手指幹爽到受不了對不對？要不要直接射出來啊？被幹到射一定很舒服喔❤。
二本指でかるーくチンポを挟みながらしゅっしゅってしごくの…。どう？たったこれだけの動きでも気持ちいいでしょ？くすくす。,兩指細心夾住小弟弟然後上下套弄到不斷發出水聲……。如何？我只是這點小動作就讓你很舒服對不對？嗯哼哼。
見て？指で作ったわっか。この穴の中にチンポ入れてあげるね。,你看。我用手指做成環狀。然後讓你把小弟弟放進這個洞當中呢。
しこしこ❤しこしこ❤ふふ、数回動かしただけで目がとろーんとしちゃってるじゃん。手袋手コキ、気持ちいいでしょー。,進去洞裡面了喔，開心嗎？呼呼，我只是動幾下而已你就眼神發情了呢。手套手交很舒服對吧？
剣や魔法がどんなに上手くても、チンポ握っちゃえば男の子なんて、楽勝。楽勝。,不管男孩子的劍與魔法有多強，只要握住他小雞雞就能贏，輕鬆輕鬆。
ほら、指でしこしこされてたまんないんでしょ？イきたければイっちゃていいよ？しこしこー❤,如何啊？被手指上下套弄舒服到受不了對不對？想射的話就射出來如何啊？好好享受吧❤。
あは、おちんちん我慢できなくなっちゃったの？\nおねがい、気持ちよくしてくださいって頭下げちゃって、\n今は試験中なんだけどな～❤,啊哈，小弟弟忍不住了？\n竟然對我低頭說「拜託妳」，\n現在還在考核耶～❤。
まいいや、そんなに抜いてほしいなら手でシコシコしてあげるよ❤\nわたし、手コキには自信があるし、キミみたいな弱い人\nすぐにイカせてあげるね❤,算了，你這麼想要用我就幫你手淫好了❤。\n我很擅長手交，像你這種弱者的話馬上就能讓你射。
はい、どっぴゅん❤ごしごし扱いてあげたら簡単に射精しちゃったね❤\nふふん、わたしの手気持ちよかったでしょ❤\nマスター裏切って射精して、満足したかな？最低モンスターくん❤,你看，是不是很快就射了？就像我說的手淫幾下就能讓你射精對不對？\n我的手感覺太舒服了沒辦法呢。\n背叛主人射精很爽對不對？真是最差勁的怪獸卡呢❤。
あっ、ああっ・・・。,啊、啊啊……。
あは、いきなりなに？自分からオナニー始めちゃうんだ？,啊呀，你幹嘛？怎麼突然自慰起來了？
エッチな雰囲気に当てられちゃったのかな？自分でシコシコしちゃうなんてカッコ悪いね。,被女性怪獸的色誘弄到發情了嗎？但是就算這樣自己摸小弟弟真的很難看耶。
ほら、オナニーのお手伝いしてあげる。親指と人差し指でわっかを作って、上下にしこしこ～❤エア手コキで興奮しちゃえ。,那麼，我來輔助你自慰。我拇指根食指做成環狀，上下動起來～啊，你被我的假裝手交動作弄到興奮起來了耶❤。
はううっ…。,哈嗚嗚……。
あはは。なにその顔❤わたしの手の動きに合わせて、だんだんうっとりしちゃってさ。ほんとに扱かれているわけでもないのに、反応がオーバーなんじゃない？,啊哈哈。你那表情是怎樣啦❤。你自慰速度還配合我的動作，根本就是越來越沉迷在自慰當中了耶。我根本就沒碰到你，你反應也太誇張了吧。
チンポを触っているのは自分の手なんだよ？わたしの手に触られているつもりになって、しこしこ、しこしこ❤妄想で一生懸命になってかわいいねー。,現在碰小弟弟的是你自己的手喔。但是卻想像是在我的手在碰，用力上下手淫❤。變態男努力妄想的樣子好可愛喔。
ほら、さっさとその雑魚なチンポ、フィニッシュさせてあげなよ。わたしの手もシコシコシコシコ速く動かしてあげるからさ。,那麼，差不多該了結讓你那根廢物小弟弟了。我假手交的速度加快給你看。
オナニーで試験落ちちゃえ。妄想の手コキに負けてイっちゃえ❤変態マスター❤,以自慰的模樣在考核中失敗吧。敗給妄想手交射精吧❤，變態玩家❤。
オナニーでマスター裏切っちゃえ。妄想の手コキに負けてイっちゃえ❤変態モンスター❤,以自慰背叛主人了耶。敗給妄想手交射吧❤，變態怪獸卡❤。
はひぃっ…❤,哈咿……。
あはっ、すごい飛んだね。手にたっぷりかかっちゃった❤気持ちよさそうに気絶している。,啊哈，射得好驚人喔。都噴到我手上來了❤。\n啊你都已經爽到昏過去了呢。
またオナニーで負けちゃったね。空中シコシコそんなに好きなんて、だいぶ変態なんじゃない？くすくす❤,你又自慰輸掉了呢。這麼喜歡女孩子假裝幫你手交，會不會太變態了點？嗯哼哼❤。
残念だけど試験は不合格だね。オナニーなんかで負けてほんとによかったのかな？くすくす❤,很遺憾考核結果是沒有通過。以自慰來敗北真的有這麼舒服嗎？嗯哼哼❤。
ねえ、他の人も気持ちよくなりたい？わたしのところに来るならエア手コキしてあげてオカズを提供してあげるよ？くすくす❤,欸，其他人要不要也來解放一下呢？我可以一樣幫你們做假手交來輔助自慰喔。嗯哼哼❤。
あはは、ほんとに来ちゃった。わたしの前でオナニー始めちゃったってことは、エア手コキしてほしいんだよね？,啊哈，真的來了耶。會來我面前自慰表示你也想要假手交對吧。
味方が負けるのを見てて、自分もしていほしいって間抜けな顔でオナニースタート。くすくす。すっごくカッコ悪いね。,看著同伴敗北的樣子，自己也想要就一臉蠢樣走過來開始自慰給人看。嗯哼哼。有夠廢耶你。
ほら、言った通りオナニーのお手伝いしてあげる。親指と人差し指でわっかを作って、上下にしこしこ～❤エア手コキで興奮しちゃえ。,你看，我有照說好的幫你做假手交喔。收拇指跟食指做成環狀在空中上下動～快點被假手交弄興奮吧❤。
わたしの手の動きで、自分のチンポが扱かれているところいっぱい想像していいよ。ほらほら、激しく動かしてあげるから、いっぱい腰をヘコヘコさせなよ。,想像我的手真的在搞你的小弟弟，然後自己激烈扭動起來。
あはは、すごーい。上手に腰を動かせているね。チンポ扱いている手も、わたしの手に合わせてしこしこしこしこ❤気持ちよすぎて顔がとろけてるじゃん。,啊哈哈，好厲害喔。你扭腰的姿勢好棒喔。手淫小弟弟的手也在配合我的速度動耶❤，一臉很爽的表情好可愛喔。
さっさとその雑魚なチンポ、フィニッシュさせてあげるね。エア手コキをシコシコシコシコ速く動かしてあげるからさ。,接下來讓你那根廢物小弟弟馬上射吧。我的假手交速度加快給你看。
オナニーで試験落ちちゃえ❤妄想の手コキに負けてイっちゃえ❤変態マスター❤,在自慰中考核失敗吧，敗給妄想手交吧，變態玩家❤。
オナニーでマスター裏切っちゃえ❤妄想の手コキに負けてイっちゃえ❤変態モンスター❤,以自慰背叛主人，敗給妄想手交吧，變態怪獸卡❤。
ねえ、このままオナニーで全滅しちゃおっか。わたしのところに来るならエア手コキしてオカズを提供してあげるよ？くすくす❤,欸，要不要乾脆直接全部都來自慰算了。要是來我這邊的話我可以幫你們做假手交喔。嗯哼哼❤。
ううっ…。強い…。,嗚嗚……。好強……。
やっぱり昇格試験を受けるだけはあるね。わたしみたいな下級モンスターじゃ、簡単に追い詰められちゃう。,真不愧是能接受升階考試的卡片玩家。像我這種低星怪獸簡單得就能打倒了。
でもね。せっかくだから悪あがきさせてほしいな。えい❤,但是呢。機會難得可以讓我垂死掙扎一下嗎？嘿呀❤。
最後におちんちんシコシコしてあげる。とどめを刺すならそのあとでいいでしょ？,我想幫你做最後一次手淫。你之後再打倒我也行對吧？
ねえ、お願い。ほんのちょっとシコシコするだけだから。ね❤,欸，拜託啦。我真的只會手淫一下下而已。好嘛❤。
あううっ、そんなぁ。,啊嗚嗚，失敗了。
あは、攻撃やめちゃうんだ。じゃあ、さっそくシコシコ始めちゃいまーす❤,啊哈，不攻擊我了呢。那麼我要開始手淫了喔❤。
あひぃっ…❤,哈咿……。
シコシコ♪シコシコ♪うふふ、戦闘中もシコシコしてあげたけど、やっぱり手コキは気持ちいいでしょ❤,我的手套緊緊握住你弄起來了，我戰鬥中一直在手淫你，有沒有感覺到我的技巧很棒？
わたしの悪あがきを振り払えないぐらいギンギンだったんだもんね。こうやって上から下までにゅこにゅこってされるのたまんないよねー。,讓你硬到沒辦法拒絕我的垂死掙扎呢。被這樣從龜頭到根部整個徹底幹的話會爽到不行呢。
はううっ、きもちいいっ…❤,哈嗚嗚、好舒服喔……。
あは、シコられて腰突き出しちゃってる。「気持ちいいよぉもっとシコって～」って合図かな？,啊哈，你被幹一下就扭一次。是在跟我打「好舒服喔拜託繼續幹我～」的暗號嗎？
まだシコシコ始めてたいして時間経ってないんだけど、チンポは完全降伏しちゃったみたいだね。早すぎない？くすくす❤,我才剛開始幹沒多久，你的小弟弟已經無條件投降了呢。這也太快了吧？嗯哼哼❤。
ほらほら、そんなに元気よく弱点を突き出しちゃったら、いいように手でいじめられちゃうよ❤しこしこしこしこ～❤,啊哈哈，你這麼興奮把弱點交給我幹，只會被我盡情虐而已喔❤。
あっ、ああっ…❤もうダメっ…❤,啊、啊啊……不行了……。
あは、もうイクの？はやーい❤,嗯？要射了？好快喔❤。
くすくす❤ほんとに出しちゃった。エナジーたくさん溶けてておいしいー❤,啊呀❤，你真的射了耶。裡面有好多能量好美味喔～❤。
それにしても"ほんの少しの間のシコシコ"で負けちゃったね❤あとちょっとで勝てそうだったのに残念でしたー❤,但是你竟然被「稍微一點點」手淫給弄到輸了耶，明明差一點就要贏了好可惜喔❤。
ううっ…。この人も強い…。,嗚嗚……。這個人也好強……。
さっきの人はシコシコさせてくれたよ。その結果がどうなったかはあなたも知っているとは思うけど…。ふふふ❤,剛才那個人讓我手淫。然後我想你也知道結果了……。嗯哼哼❤。
あは、攻撃やめちゃうんだ。仲間がどうなったか見てたのに、シコシコ許すってことは、イかせてほしいってことだよね？,哎呀，不攻擊了呢。都知道同伴的下場了還讓我手淫，你是不是根本就想要射精而已？
くすくす❤だめじゃん。あとちょっとで勝てるんだから誘惑なんかに負けちゃ。それじゃあさっそく、シコシコ始めちゃいまーす❤,嗯哼哼，你這樣不行喔❤。怎麼可以在快要贏的時候敗給誘惑呢。那麼我要開始手淫嘍❤。
あは、この人もシコられて腰突き出しちゃってる。「気持ちいいよぉもっとシコって～」って合図かな？,哈哈，這個人被手淫也在扭腰耶。是「好爽喔拜託繼續幹我～」的暗號嗎？
みんな、ほんの少しの間のシコシコで負けちゃうね❤このままわたしすら倒せないで全滅かな？あとちょっとで勝てそうだったのに残念でしたー❤,每個人都被手淫一下就輸了，這樣下去會沒辦法打倒我而全滅喔。明明再一下就要贏了好可惜喔。
オナニーシコシコお疲れさま。少しは理性を鍛えて今度は頑張ってねー❤,您自慰辛苦了喔。好好鍛練自己的理性下次再加油喔。
手コキでびゅーって出しちゃったね。試験は不合格になったけど、気持ちよかったから別にいいよね？くすくす❤,被手交弄到射了呢。雖然考核沒有通過，但是只要能爽就可以了對不對？嗯哼哼❤。
昇格試験を受け、試験官が使う女性モンスターに敗れた僕は、床に膝をついて女性モンスターに見下ろされていた。,我在升階考核中敗給考官使用的女性怪獸，最後跪倒在女性怪獸面前。
くすくす❤わたしが勝っちゃったね。大丈夫？動ける？,嗯哼哼❤，是我贏了呢。沒事吧？可以動嗎？
ううっ…。,嗚嗚……。
エナジーを吸われるとしばらくまともに力が入らなくなるんだよ。敵の前でもし無抵抗になったらどうなるか…。実戦では気を付けようね。,被人吸走能量會暫時無法行動呢。如果是在敵人面前發生這種事情的話就會完全無法抵抗了呢……。實戰的話要小心喔。
まあ、敵の前でオナニーしちゃうような人に、言っても仕方ないかもしれないけど。くすくす❤,不過，對於你這種會在女性敵人面前自慰的人來，說了也沒用吧。嗯哼哼❤。
女の子のモンスターに手で気持ちいいことされたからって、気持ちいいのに負けちゃダメだよ。わかった？,就算女性怪獸的手淫技巧很棒，也不可以舒服得輸掉喔。知道嗎？
さてこのあとは使った分の魔力を補給させてね。大丈夫、１～２回搾り取るだけだから。,那麼我先補充戰鬥中失去的魔力吧。別怕，只要榨一到兩次就好了。
負けた相手から多少の魔力を取るのは、カードバトルの世界ではよくあることなのよ。,敗北就會被對手榨取魔力，在卡片對戰的世界中是很常見的事情。
じゃあ、簡単にイかせちゃうね？まだ勃起しちゃっているソコ、わたしの手でしごいてあげる❤,那麼，繼續讓你爽到射吧。繼續手淫你還在勃起的這根❤。
あううっ…❤気持ちいい…❤,啊嗚嗚……❤好舒服……❤。
くすくす❤さっき射精したばっかりなのに、もううっとりしちゃってる。,恩哼哼❤，明明才剛剛射精過，被幹幾下又開始發情了。
手コキぐらいさぁ、前戯も前戯なんだから我慢できないと、上のランクにはいけないよ？,所謂的手淫只能算是前戲喔，忍不住的話是不能升階的喔。
わたしみたいに、おっぱいも大きくない下級モンスターに、片手で喘がされてたらダメ。おちんちんシコシコされても我慢しなくっちゃ。,所以你不可以被我這種胸部不大的低星怪獸給單手弄到嬌喘起來喔。就算被摸小弟弟也要忍耐才行。
ううっ、でも、気持ちよくてぇ…❤,嗚嗚、可是、好舒服喔……❤。
くすくす❤がんばれがんばれ、新人くん。魔力の多さから言えば、すぐにあなたならC級とかになれるよ。,嗯哼哼❤，加油忍住啊，新人玩家。如果論魔力量的話，你應該可以馬上升到Ｃ階才對。
チンポさえ我慢強くなれば大丈夫。手コキなんかに負けるな～。くすくす❤,所以只要小弟弟變強就可以了。小弟弟不可以輸給手交這種前戲喔～。嗯哼哼❤。
あっ、ああっ…❤もうっ…❤,啊、啊啊……❤，我要……❤。
ふふ、まだまだ弱いチンポよね。こんな風に速くゴシゴシされたらイっちゃう？強い刺激は我慢できない？,嗯哼哼，但是小弟弟實在是太弱了呢。我這樣快速手淫就會射？刺激太強了根本忍不住？
ま、ゆっくり頑張って未来のAランクを目指してね。今はもうチンポが限界みたいだし…。,算了，你就慢慢努力以未來的Ａ階為目標吧。小弟弟好像快要爆發了呢……。
ほらほら、シコシコされたら腰浮いちゃうんでしょ？わたしに魔力供給しちゃっていいよ❤エナジーをびゅーってチンポから吐き出して、楽になっちゃえ。,怎麼了？你被手淫時身體一直顫抖？想要送我魔力嗎好高興喔❤，那麼就從小弟弟吐能量出來，一口氣全部發洩出來吧。
はひぃっ…❤あっ、あああっ…❤,哈咿……❤，啊、啊啊啊……❤。
はううぅ…❤,哈嗚嗚嗚……❤。
あは、噴水みたいな射精ね❤いっぱい出てる。,啊哈哈、宛如泉水般的射精呢，射得好多喔❤。
気持ちよかった？あくまでこれは試験なんだから、女の子に負けるの癖になっちゃわないように気を付けてね。,舒服嗎？這只是考核而已，小心不要因此而染上敗給女性的性癖喔。
次挑んできたときも、たくさんシコシコしてあげるわ。くすくす❤,你下次挑戰的時候，我也會用最棒的手交技巧幫你做喔。嗯哼哼❤。
こうして僕は敗北後も魔力を搾り取られた。体が動かせるようになるまでしばらく休ませてもらってから、試験会場を後にしたのだった。,就這樣我敗給後也被榨取魔力。經過短暫休息後離開了考核會場。
彼女を振り払ってとどめを刺した,甩開並擊倒她
無抵抗になってしまった,完全不抵抗她
