default
ゾンビガール,殭屍女孩
胸に、口に、手に・・・。\nちゃんと体は動くから、いろいろつかって気持ちよくしてあげる・・・❤\nでも、ふふ、代わりにあなたのことかじっちゃうかも・・・❤,胸に、口に、手に・・・。\nちゃんと体は動くから、いろいろつかって気持ちよくしてあげる・・・❤\nでも、ふふ、代わりにあなたのことかじっちゃうかも・・・❤
んっ・・・❤口の中に濃いのが注がれてくる・・・❤\n生気にあふれてて、おいしい・・・❤,んっ・・・❤口の中に濃いのが注がれてくる・・・❤\n生気にあふれてて、おいしい・・・❤
射精して放心してる・・・？お口の中で完全にペニスが無防備。\nかみきっちゃってもいいけど、\nんふふ、エナジーがおいしいから許してあげるね・・・❤,射精して放心してる・・・？お口の中で完全にペニスが無防備。\nかみきっちゃってもいいけど、\nんふふ、エナジーがおいしいから許してあげるね・・・❤
胸に挟まれて、きもちよくびゅーびゅー・・・・❤\nそれじゃ、約束通り、あなたのお腹にかじりついちゃうね・・・❤,胸に挟まれて、きもちよくびゅーびゅー・・・・❤\nそれじゃ、約束通り、あなたのお腹にかじりついちゃうね・・・❤
だいじょうぶ、肉はかじりとらないで甘噛みするだけ・・・❤\nちょっとだけ歯型をつけて、それで許してあげる・・・❤\nがぶがぶ・・・♪,だいじょうぶ、肉はかじりとらないで甘噛みするだけ・・・❤\nちょっとだけ歯型をつけて、それで許してあげる・・・❤\nがぶがぶ・・・♪
あは、パンツに見惚れて、\nかみつかれるのと同時に射精しちゃった・・・❤,あは、パンツに見惚れて、\nかみつかれるのと同時に射精しちゃった・・・❤
あなたの肩にわたしの歯型、\nくっきり残されちゃったね…❤\nほんのり痛くて、それで興奮するなんて、マゾなんだ。くすくす…❤,あなたの肩にわたしの歯型、\nくっきり残されちゃったね…❤\nほんのり痛くて、それで興奮するなんて、マゾなんだ。くすくす…❤
ん、肩にがぶがぶされながら射精しちゃった・・・❤\n手でこすられて我慢できなかった・・・？\nそれとも噛まれたことに興奮しちゃった・・・？くすくす❤,ん、肩にがぶがぶされながら射精しちゃった・・・❤\n手でこすられて我慢できなかった・・・？\nそれとも噛まれたことに興奮しちゃった・・・？くすくす❤
その顔を見た感じ・・・、どっちもかな❤\nあなたの肩に、わたしの歯型、くっきり刻まれちゃったね・・・・❤,その顔を見た感じ・・・、どっちもかな❤\nあなたの肩に、わたしの歯型、くっきり刻まれちゃったね・・・・❤
ううっ・・・❤がまんできない・・・❤,ううっ・・・❤がまんできない・・・❤
ふふ・・・❤\nわたしでシコシコはじめちゃった・・・❤,ふふ・・・❤\nわたしでシコシコはじめちゃった・・・❤
わたしの体、ゾンビになっているけれど\n女の子らしい部分がちゃんと残っているもんね・・・❤\n見てたらエッチな気分になっちゃうのも、くす、わかるよ・・・❤,わたしの体、ゾンビになっているけれど\n女の子らしい部分がちゃんと残っているもんね・・・❤\n見てたらエッチな気分になっちゃうのも、くす、わかるよ・・・❤
でも、戦闘中にシコシコしちゃうのは、\nダメだと思うな・・・❤\nほら隙だらけのあなたに近づいて・・・。,でも、戦闘中にシコシコしちゃうのは、\nダメだと思うな・・・❤\nほら隙だらけのあなたに近づいて・・・。
あなたの肩に、がぶり・・・❤,あなたの肩に、がぶり・・・❤
はぐぅううっ・・・❤,はぐぅううっ・・・❤
あは、噛み付かれて気持ちよくなっちゃってる・・・❤\nマゾなんだね・・・❤ふふ・・・❤,あは、噛み付かれて気持ちよくなっちゃってる・・・❤\nマゾなんだね・・・❤ふふ・・・❤
ほら、噛まれたところから\nわたしのウイルスがどんどん入ってくる・・・❤\n元々感染してるのが、よけいにひどくなっちゃうね・・・❤,ほら、噛まれたところから\nわたしのウイルスがどんどん入ってくる・・・❤\n元々感染してるのが、よけいにひどくなっちゃうね・・・❤
頭ぼーっとして、くらくらするでしょ・・・？\nでもシコシコする手、止められないんだ・・・❤\nわたしのことで頭いっぱいで、感染も気にならないのかな・・・❤,頭ぼーっとして、くらくらするでしょ・・・？\nでもシコシコする手、止められないんだ・・・❤\nわたしのことで頭いっぱいで、感染も気にならないのかな・・・❤
ほら、噛まれたところから\nわたしのウイルスがどんどん入ってくる・・・❤\n熱が広がって、体中が熱くなって、呼吸も荒くなっていくね・・・❤,ほら、噛まれたところから\nわたしのウイルスがどんどん入ってくる・・・❤\n熱が広がって、体中が熱くなって、呼吸も荒くなっていくね・・・❤
頭ぼーっとするでしょう？\nでもシコシコする手、止められないんだ・・・❤\nわたしのことで頭いっぱいで、感染も気にならないのかな・・・❤,頭ぼーっとするでしょう？\nでもシコシコする手、止められないんだ・・・❤\nわたしのことで頭いっぱいで、感染も気にならないのかな・・・❤
あううっ・・・❤きもちいい・・・❤,あううっ・・・❤きもちいい・・・❤
くすくす・・・❤\n朦朧としながらシコシコするの気持ちいい・・・？,くすくす・・・❤\n朦朧としながらシコシコするの気持ちいい・・・？
命が危なくなると、子孫を残すために、\nペニスが固くなるっていうけど、\nほんとみたい・・・❤,命が危なくなると、子孫を残すために、\nペニスが固くなるっていうけど、\nほんとみたい・・・❤
噛まれる前よりガチガチに固くなって、\nシコシコするたびに顔がどんどん蕩けて、\nふふ・・・❤子孫を残すために、びゅってしたくてたまらないんだね❤,噛まれる前よりガチガチに固くなって、\nシコシコするたびに顔がどんどん蕩けて、\nふふ・・・❤子孫を残すために、びゅってしたくてたまらないんだね❤
ほら、あなたの子種汁、わたしのスカートにかけていいよ・・・❤\n女の子の「子供を作るところ」に、射精して、\nそれで自分の命を終わらせちゃおう・・・？,ほら、あなたの子種汁、わたしのスカートにかけていいよ・・・❤\n女の子の「子供を作るところ」に、射精して、\nそれで自分の命を終わらせちゃおう・・・？
もちろんわたしにかけても子供なんてできないけど・・・❤\nでもそれでもいいよね・・・❤しこしこ気持ちいいもんね・・・❤\nくすくす❤,もちろんわたしにかけても子供なんてできないけど・・・❤\nでもそれでもいいよね・・・❤しこしこ気持ちいいもんね・・・❤\nくすくす❤
あっ、あっ、ああっ・・・❤,あっ、あっ、ああっ・・・❤
あひっ、あぐぅ、ああっ・・・❤❤,あひっ、あぐぅ、ああっ・・・❤❤
ふふ・・・❤生命力をぜんぶ吐き出して、\n体が動かなくなっちゃった❤\nあなたの体、わたしの中に取り込んであげる・・・❤,ふふ・・・❤生命力をぜんぶ吐き出して、\n体が動かなくなっちゃった❤\nあなたの体、わたしの中に取り込んであげる・・・❤
あは・・・❤\n強いんだね・・・❤,あは・・・❤\n強いんだね・・・❤
別に一回ぐらいやられたって、\n何回でも蘇れるけど、ほら・・・。\n最後にちょっといいことしてあげる・・・❤,別に一回ぐらいやられたって、\n何回でも蘇れるけど、ほら・・・。\n最後にちょっといいことしてあげる・・・❤
わたしの胸、乳首が見えそうで、ずっと気になってたでしょ？\n見て・・・❤髪で隠れているのを横にどけて、\n冥途の土産にしっかり見せてあげる・・・❤,わたしの胸、乳首が見えそうで、ずっと気になってたでしょ？\n見て・・・❤髪で隠れているのを横にどけて、\n冥途の土産にしっかり見せてあげる・・・❤
見せるのは一瞬だけだから、\nじーって集中しないと見逃しちゃうかもね・・・❤\nくすくす・・・❤,見せるのは一瞬だけだから、\nじーって集中しないと見逃しちゃうかもね・・・❤\nくすくす・・・❤
きゃっ・・・。\nふふ、いいよ、また蘇ったら会おうね・・・❤,きゃっ・・・。\nふふ、いいよ、また蘇ったら会おうね・・・❤
ふふ、釘付けになってる・・・❤\n早くとどめをさせばいいのに、間抜けな男・・・❤,ふふ、釘付けになってる・・・❤\n早くとどめをさせばいいのに、間抜けな男・・・❤
隙だらけのあなたを、えい・・・。突き飛ばして・・・❤,隙だらけのあなたを、えい・・・。突き飛ばして・・・❤
わたしの胸で挟んでイかせてあげる・・・❤,わたしの胸で挟んでイかせてあげる・・・❤
うあっ・・・❤やめ、はなせっ・・・❤,うあっ・・・❤やめ、はなせっ・・・❤
くすくす・・・❤乳首見せてもらうだけのつもりだった？\nざんねんだけど、それだけじゃすまなかったね・・・❤,くすくす・・・❤乳首見せてもらうだけのつもりだった？\nざんねんだけど、それだけじゃすまなかったね・・・❤
あなたの弱点をわたしの胸で、\nすりすり、ずりずり・・・❤\n命のエナジーを吐き出させられちゃう・・・❤,あなたの弱点をわたしの胸で、\nすりすり、ずりずり・・・❤\n命のエナジーを吐き出させられちゃう・・・❤
でもほら、こうやって揺らしていると、\n乳首だって見えるでしょう？\nえ？見えない・・・？くすくす❤そっか、ざんねんだね・・・❤,でもほら、こうやって揺らしていると、\n乳首だって見えるでしょう？\nえ？見えない・・・？くすくす❤そっか、ざんねんだね・・・❤
ううっ…あうっ❤おっぱい、きもちいいっ❤やわらかくてぇ・・・❤❤,ううっ…あうっ❤おっぱい、きもちいいっ❤やわらかくてぇ・・・❤❤
ふふ、髪の毛が乳首にぴったりくっついてるのは\n血でも乾いちゃったのかな・・・？\nでも、きもちいいなら、別にいいよね・・・❤,ふふ、髪の毛が乳首にぴったりくっついてるのは\n血でも乾いちゃったのかな・・・？\nでも、きもちいいなら、別にいいよね・・・❤
ゾンビになってもおっぱいはちゃんとやわらかいんだよ・・・❤\nひんやりはしてるかもしれないけど、\nそれがかえって気持ちいいかも・・・❤,ゾンビになってもおっぱいはちゃんとやわらかいんだよ・・・❤\nひんやりはしてるかもしれないけど、\nそれがかえって気持ちいいかも・・・❤
あなたの熱くなったペニスが、\nひんやりしたおっぱいに包まれて、\n激しく上下に、むにむに、ぐちゅぐちゅ・・・❤,あなたの熱くなったペニスが、\nひんやりしたおっぱいに包まれて、\n激しく上下に、むにむに、ぐちゅぐちゅ・・・❤
ふふふ、気持ちよすぎて、腰が震えるの、抑えられないね・・・❤\nあとちょっとで倒せそうだったのに、\nおっぱいに負けそうになってる・・・❤,ふふふ、気持ちよすぎて、腰が震えるの、抑えられないね・・・❤\nあとちょっとで倒せそうだったのに、\nおっぱいに負けそうになってる・・・❤
あは、その目・・・❤まだ乳首が見たいんだ・・・❤\nおっぱいが揺れるの必死になって見て・・・、\n男ってわかりやすい・・・❤,あは、その目・・・❤まだ乳首が見たいんだ・・・❤\nおっぱいが揺れるの必死になって見て・・・、\n男ってわかりやすい・・・❤
がんばって射精をこらえれば、乳首見れるかもよ・・・？\n激しくこすられて、我慢できれば、だけど・・・❤,がんばって射精をこらえれば、乳首見れるかもよ・・・？\n激しくこすられて、我慢できれば、だけど・・・❤
あっ、あっ、あああっ❤❤❤,あっ、あっ、あああっ❤❤❤
くす・・・❤やっぱり耐えるのは無理みたい・・・❤\nさきっぽをこすったとき、\n特に腰が動いてるから、ここが一番いいのかな・・・？,くす・・・❤やっぱり耐えるのは無理みたい・・・❤\nさきっぽをこすったとき、\n特に腰が動いてるから、ここが一番いいのかな・・・？
先端がおっぱいにむにゅうって挟みこまれて、\nおちんちん溶けちゃいそう？\nふふ、どろどろに命を溶かして、ここから出しちゃっていいんだよ・・・❤,先端がおっぱいにむにゅうって挟みこまれて、\nおちんちん溶けちゃいそう？\nふふ、どろどろに命を溶かして、ここから出しちゃっていいんだよ・・・❤
わたしに、命のエナジーをちょうだい・・・？\nほら、ほら、ほら・・・❤,わたしに、命のエナジーをちょうだい・・・？\nほら、ほら、ほら・・・❤
あぐっ、はひぃ・・・・❤❤,あぐっ、はひぃ・・・・❤❤
ふふ、おっぱいがあったかい・・・❤\nあなたの出したエネルギーで、\nひんやりしてた胸があったまっちゃいそう・・・❤,ふふ、おっぱいがあったかい・・・❤\nあなたの出したエネルギーで、\nひんやりしてた胸があったまっちゃいそう・・・❤
このエネルギーを吸収して、体力も回復・・・❤\n一回分、復活する手間がはぶけちゃった。\n命をありがとう、おいしかったよ・・・❤くすくす・・・❤,このエネルギーを吸収して、体力も回復・・・❤\n一回分、復活する手間がはぶけちゃった。\n命をありがとう、おいしかったよ・・・❤くすくす・・・❤
くすくす…❤わたしのここに精液かけられて、満足した・・・？\nオナニーで負けちゃうなんて、へんたいだね・・・❤,くすくす…❤わたしのここに精液かけられて、満足した・・・？\nオナニーで負けちゃうなんて、へんたいだね・・・❤
乳首が見れなくて残念だったね…❤\nでも、わたしのおっぱい気持ちよかったなら、\nそれで十分でしょ。くすくす…❤,乳首が見れなくて残念だったね…❤\nでも、わたしのおっぱい気持ちよかったなら、\nそれで十分でしょ。くすくす…❤
んっ・・・❤見て、こんなにたくさん出しちゃったね・・・❤\n生気にあふれてて、おいしい・・・❤ごくん・・・❤,んっ・・・❤見て、こんなにたくさん出しちゃったね・・・❤\n生気にあふれてて、おいしい・・・❤ごくん・・・❤
ふふ、あなたのエネルギー飲み込まれちゃった❤\nもう体が動かないなら、あとはわたしの食べ放題だね・・・❤\nくすくす・・・❤,ふふ、あなたのエネルギー飲み込まれちゃった❤\nもう体が動かないなら、あとはわたしの食べ放題だね・・・❤\nくすくす・・・❤
ゾンビの少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。,ゾンビの少女に敗れた僕は、エナジーを奪われ地面に膝をついていた。
あうう・・・。,あうう・・・。
もう逃げられないね・・・❤\nあなたの負けだよ、正義のカードマスターくん・・・❤,もう逃げられないね・・・❤\nあなたの負けだよ、正義のカードマスターくん・・・❤
ほら、カラカラになるまで搾り取ってあげる・・・❤\nホントはお肉を食べてしまいたいけど・・・。,ほら、カラカラになるまで搾り取ってあげる・・・❤\nホントはお肉を食べてしまいたいけど・・・。
ダメよ。わたし殺しはやらない主義なの。分かってるでしょ。,ダメよ。わたし殺しはやらない主義なの。分かってるでしょ。
ふふ、マスターのやさしさに感謝してね・・・。\nでも死ぬ少し手前まで、たっぷり搾り取ってあげる・・・❤,ふふ、マスターのやさしさに感謝してね・・・。\nでも死ぬ少し手前まで、たっぷり搾り取ってあげる・・・❤
うう、やめろ・・・。盗賊になんて負けない・・。,うう、やめろ・・・。盗賊になんて負けない・・。
悪いことはやめさせる・・・。僕はBランクだから・・。,悪いことはやめさせる・・・。僕はBランクだから・・。
ふふふ・・・❤,ふふふ・・・❤
あっ、あっ、ああっ❤❤,あっ、あっ、ああっ❤❤
止めたければ、わたしみたいな下級モンスターぐらいには勝たないと・・・❤\n何度も蘇ってきて、何度も誘惑されても、\n我慢しないとダメ・・・❤,止めたければ、わたしみたいな下級モンスターぐらいには勝たないと・・・❤\n何度も蘇ってきて、何度も誘惑されても、\n我慢しないとダメ・・・❤
責められておちんちんに段々ムラムラが貯まっていっても・・・、\n負けないで我慢して、びゅるるぅってせずに、戦うの・・・。,責められておちんちんに段々ムラムラが貯まっていっても・・・、\n負けないで我慢して、びゅるるぅってせずに、戦うの・・・。
あなたみたいに、おっぱいで挟まれて、\nあんあん喘いでいるだけじゃ、ダメ・・・❤\nそんな強さじゃ、なにも止められないよ・・・❤,あなたみたいに、おっぱいで挟まれて、\nあんあん喘いでいるだけじゃ、ダメ・・・❤\nそんな強さじゃ、なにも止められないよ・・・❤
さっき射精したのに、もうこんなに固い・・・❤\n敵の魔物のおっぱいで、すりすりされただけで、\nすぐ気持ちよくて動けなくなる・・・❤,さっき射精したのに、もうこんなに固い・・・❤\n敵の魔物のおっぱいで、すりすりされただけで、\nすぐ気持ちよくて動けなくなる・・・❤
ふふふ、かわいいじゃない❤\n男の子なんてそれぐらいでいいのよ❤,ふふふ、かわいいじゃない❤\n男の子なんてそれぐらいでいいのよ❤
ほら、わたしも{自分}のお手伝い。\n顔におっぱいを乗せてあげる❤,ほら、わたしも{自分}のお手伝い。\n顔におっぱいを乗せてあげる❤
盗賊の用心棒のおっぱいなんかに負けちゃダメよ。\nコノハちゃんの弟子くん❤\nえい❤,盗賊の用心棒のおっぱいなんかに負けちゃダメよ。\nコノハちゃんの弟子くん❤\nえい❤
あう、あうううっ・・・❤❤❤,あう、あうううっ・・・❤❤❤
ふふ❤わたしのおっぱいやわらかいでしょう？\n{自分}のと比べるとあったかいから、\n余計にふわふわに感じちゃうかも❤,ふふ❤わたしのおっぱいやわらかいでしょう？\n{自分}のと比べるとあったかいから、\n余計にふわふわに感じちゃうかも❤
おっぱいに埋もれて表情は見えないけど・・・❤\n腕も脚も完全に力が抜けてる・・・❤\nふふ、きっと幸せそうな顔になっているんでしょうね❤,おっぱいに埋もれて表情は見えないけど・・・❤\n腕も脚も完全に力が抜けてる・・・❤\nふふ、きっと幸せそうな顔になっているんでしょうね❤
おちんちんも目で見て分かるぐらい固くなってるわ❤\n{自分}の胸の中からこぼれそうなぐらい、びくびく跳ねてる❤,おちんちんも目で見て分かるぐらい固くなってるわ❤\n{自分}の胸の中からこぼれそうなぐらい、びくびく跳ねてる❤
くす・・・❤捕まえた獲物は逃がさない・・・❤\nそんなにおちんちん暴れさせても、\nこのおっぱいからは逃げられないよ・・・❤,くす・・・❤捕まえた獲物は逃がさない・・・❤\nそんなにおちんちん暴れさせても、\nこのおっぱいからは逃げられないよ・・・❤
ほらほらほら・・・・❤\nおっぱいでもぐもぐされて、おちんちんの中身全部食べられちゃえ・・・❤,ほらほらほら・・・・❤\nおっぱいでもぐもぐされて、おちんちんの中身全部食べられちゃえ・・・❤
まだまだ出るでしょ？ふふ・・・❤\n生命エネルギー、どんどんちょうだい・・・❤,まだまだ出るでしょ？ふふ・・・❤\n生命エネルギー、どんどんちょうだい・・・❤
おっぱいがどろどろ・・・❤\nわたしのひんやりした体には、\nこの精液、とても温かく感じる・・・❤,おっぱいがどろどろ・・・❤\nわたしのひんやりした体には、\nこの精液、とても温かく感じる・・・❤
ねえ、いまおっぱいから解放されて、自由だよ・・・❤\nまだ干からびるほどは搾ってないから、一応動けると思うけど・・・。,ねえ、いまおっぱいから解放されて、自由だよ・・・❤\nまだ干からびるほどは搾ってないから、一応動けると思うけど・・・。
戦ったり逃げたりしないの・・・？\n悪いことはやめさせるんじゃなかった・・・？\nBランクマスターくん・・・❤,戦ったり逃げたりしないの・・・？\n悪いことはやめさせるんじゃなかった・・・？\nBランクマスターくん・・・❤
あうう・・・・❤❤きもちいい・・・❤\nおっぱい・・・❤❤おっぱいぃ・・・❤❤,あうう・・・・❤❤きもちいい・・・❤\nおっぱい・・・❤❤おっぱいぃ・・・❤❤
ふふ、パイズリは終わってるのに、\nうわごとを言ってる・・・。\nおちんちんにまだパイズリされた感触が残っているのかな・・・❤,ふふ、パイズリは終わってるのに、\nうわごとを言ってる・・・。\nおちんちんにまだパイズリされた感触が残っているのかな・・・❤
ウイルスをうつしてあげるまでもなく、\n簡単に脳みそ壊れちゃったね・・・❤\nくすくす❤,ウイルスをうつしてあげるまでもなく、\n簡単に脳みそ壊れちゃったね・・・❤\nくすくす❤
その方が楽でいいわ。ゾンビにしてしまうと、\n普通の人間に戻すのが大変だから・・・。,その方が楽でいいわ。ゾンビにしてしまうと、\n普通の人間に戻すのが大変だから・・・。
それにしてもBランクマスターか。\nその若さですごいのね。急に連れ去ったりしたら騒ぎになるかも？,それにしてもBランクマスターか。\nその若さですごいのね。急に連れ去ったりしたら騒ぎになるかも？
このあとどうしようかしら。\n牢屋に入れておくか、それともいったん解放してしまうか・・・。\nうーん・・・。,このあとどうしようかしら。\n牢屋に入れておくか、それともいったん解放してしまうか・・・。\nうーん・・・。
その後、僕は盗賊の根城から解放され、出口に放り出された。,その後、僕は盗賊の根城から解放され、出口に放り出された。
もはやカードを使う魔力も残っておらず、僕はふらふらとした足取りで村に戻っていくほかない。侵入するとき僕が気絶させていた盗賊たちは目を覚まし、立場が逆転した僕の様子を見ながら、にやにやと根城から出ていくのを見送ったのだった。,もはやカードを使う魔力も残っておらず、僕はふらふらとした足取りで村に戻っていくほかない。侵入するとき僕が気絶させていた盗賊たちは目を覚まし、立場が逆転した僕の様子を見ながら、にやにやと根城から出ていくのを見送ったのだった。
それから数日後。,それから数日後。
魔力を回復させ、僕は再度盗賊討伐に挑戦した。坑道の入口まで行くと、今度は盗賊たちは一切抵抗せず、僕を奥の部屋へと案内した。,魔力を回復させ、僕は再度盗賊討伐に挑戦した。坑道の入口まで行くと、今度は盗賊たちは一切抵抗せず、僕を奥の部屋へと案内した。
その部屋には盗賊たちの用心棒のネクロがいて、そしてまたバトルになり・・・。,その部屋には盗賊たちの用心棒のネクロがいて、そしてまたバトルになり・・・。
くす・・・❤わたしを１回も倒せないで負けちゃうね・・・❤\n何回も復活するから強いのに、\n今日はただ普通におっぱいで挟まれただけで負けちゃう・・・・❤,くす・・・❤わたしを１回も倒せないで負けちゃうね・・・❤\n何回も復活するから強いのに、\n今日はただ普通におっぱいで挟まれただけで負けちゃう・・・・❤
ふふ、王都に戻って応援でも呼んで来ればいいのに。\nすぐここに来たのは、あなたのプライドのせい？\nそれとも・・・・。,ふふ、王都に戻って応援でも呼んで来ればいいのに。\nすぐここに来たのは、あなたのプライドのせい？\nそれとも・・・・。
わたしたちのおっぱいを忘れられなかった？\nまあ戻ってくると思ったから解放したんだけど。\nくすくす❤,わたしたちのおっぱいを忘れられなかった？\nまあ戻ってくると思ったから解放したんだけど。\nくすくす❤
ねえ、コノハちゃんの弟子くん？\nわたしからあなたにおねがいがあるの。,ねえ、コノハちゃんの弟子くん？\nわたしからあなたにおねがいがあるの。
あなたが満足するまでわたしたちに挑戦したら、\nあなたはギルドに「盗賊はもう退治しました」って報告してほしいの❤\nこんなに気持ちよくしてあげてるだもん。それぐらいいいでしょ？,あなたが満足するまでわたしたちに挑戦したら、\nあなたはギルドに「盗賊はもう退治しました」って報告してほしいの❤\nこんなに気持ちよくしてあげてるだもん。それぐらいいいでしょ？
その報告と一緒に、わたしたちはこの街を去るわ。\nあんまり盗り過ぎて村の生活が成り立たなくなるのは嫌だし、\n豊かなところを転々としながら襲うぐらいで行くつもりだから。,その報告と一緒に、わたしたちはこの街を去るわ。\nあんまり盗り過ぎて村の生活が成り立たなくなるのは嫌だし、\n豊かなところを転々としながら襲うぐらいで行くつもりだから。
もしギルドに嘘の報告をしてくれたら、\nあなたのことも一緒に連れて行ってあげる。\nこの村から出たあと落ち合う場所を教えてあげるわ。,もしギルドに嘘の報告をしてくれたら、\nあなたのことも一緒に連れて行ってあげる。\nこの村から出たあと落ち合う場所を教えてあげるわ。
想像して？用心棒生活はけっこう気楽で楽しいのよ。\nわたしたちは面倒ごとか起きるまでは、一日中寝転んでればいいの。,想像して？用心棒生活はけっこう気楽で楽しいのよ。\nわたしたちは面倒ごとか起きるまでは、一日中寝転んでればいいの。
ひまなときは研究でも修行でも好きにできるし、\n食べ物だってたくさん食べられる。それに・・・。,ひまなときは研究でも修行でも好きにできるし、\n食べ物だってたくさん食べられる。それに・・・。
たまにはあなたにエッチなこともしてあげるわ。\n私の魔力補充もかねてだけど❤,たまにはあなたにエッチなこともしてあげるわ。\n私の魔力補充もかねてだけど❤
とても楽しそうな生活でしょ？\nねえ、ギルドへの嘘の報告。おねがいね❤,とても楽しそうな生活でしょ？\nねえ、ギルドへの嘘の報告。おねがいね❤
ううっ、そんな、盗賊に手を貸すようなこと・・・。,ううっ、そんな、盗賊に手を貸すようなこと・・・。
あっそう。それじゃあ・・・❤,あっそう。それじゃあ・・・❤
了解、マスター。パイズリ早くするね・・・❤,了解、マスター。パイズリ早くするね・・・❤
うあ、あううっ❤❤きもちいいっ・・・・❤きもちいい・・・❤❤,うあ、あううっ❤❤きもちいいっ・・・・❤きもちいい・・・❤❤
その後、何度かネクロに挑戦を試みたが、すっかり彼女たちの快楽におぼれてしまった僕は、決して彼女たちに勝つことはできなかった。,その後、何度かネクロに挑戦を試みたが、すっかり彼女たちの快楽におぼれてしまった僕は、決して彼女たちに勝つことはできなかった。
それどころか開始と同時に{自分}の姿に見とれてしまい、カードを１枚も召喚することもできず、そのまま{自分}の胸や口でイかされてしまうこともある始末だった。,それどころか開始と同時に{自分}の姿に見とれてしまい、カードを１枚も召喚することもできず、そのまま{自分}の胸や口でイかされてしまうこともある始末だった。
そして・・・。,そして・・・。
うふふ、新しい隠れ家もなかなかいいところね。\nこのあたりには富豪の屋敷があるというし、\nそこを襲撃していくことになるかしら。,うふふ、新しい隠れ家もなかなかいいところね。\nこのあたりには富豪の屋敷があるというし、\nそこを襲撃していくことになるかしら。
ね、新しい生活はどう？\n一生懸命正しいことをしてきたあなたには、\nまだ慣れないかもしれないけれど・・・。,ね、新しい生活はどう？\n一生懸命正しいことをしてきたあなたには、\nまだ慣れないかもしれないけれど・・・。
一緒に爛れた生活に溺れていきましょう？\n研究もできるし、おいしいご飯もあるし、いい生活よ。\nって、ふふ、その目・・・。早くわたしたちに甘えたいのね❤,一緒に爛れた生活に溺れていきましょう？\n研究もできるし、おいしいご飯もあるし、いい生活よ。\nって、ふふ、その目・・・。早くわたしたちに甘えたいのね❤
くすくす・・・❤仲間になってもやることは変わらないね・・・。\nほら、おっぱいでしてあげる・・・❤\nあとで少しだけ、肩をかじらせてね・・・❤,くすくす・・・❤仲間になってもやることは変わらないね・・・。\nほら、おっぱいでしてあげる・・・❤\nあとで少しだけ、肩をかじらせてね・・・❤
その後、{主人公}がどこに行ったかは誰も知らない。無敗のルーキーの物語は、こうしてその幕を閉じたのだった。,その後、{主人公}がどこに行ったかは誰も知らない。無敗のルーキーの物語は、こうしてその幕を閉じたのだった。
誘惑を無視して攻撃した,誘惑を無視して攻撃した
胸に視線を吸い寄せられてしまった,胸に視線を吸い寄せられてしまった
