default
試験官（ハンター）,考官（獵人）
ふふ、さすがに試験をすぐクリアしただけはありますね。\nとても頼もしいです。,嗯哼哼，馬上就通過考核。\n實力確實百分百。
それでは引き続き大会でのバトル頑張ってください！,那麼接下來的大會對戰也要繼續努力喔！
僕は色の変わったギルドリングをウキウキした心地で眺めながら、宿への帰路についた。,我喜悅得看著改變顏色的公會戒指，回到了旅店。
ほとんどカードも使えなかった昔を思えば、とても順調だ。これも師匠がしっかり鍛えてくれたからだろう。,回想起來，能從幾乎無法使用卡片的狀態成長成現在這樣，都是多虧師傅有確實訓練我。
試験官とのバトルを終えたからか、体はすっかり疲れていた。僕はこの先のことをうつらうつらと思いながら、眠りについたのだった。,跟考官的對戰結束後，我的身體非常疲倦。我在朦朧當中思考著將來的對戰，就這樣睡著了。
…………。,…………。
…。この景色。いつも見る夢か…。,…。這個景色。是常看見的夢啊……。
うう、怖いよぉ、お兄ちゃん…。\nおとうさんたちは？外はどうなっているの？,好可怕，哥哥……。\n爸爸他們呢？外面怎麼樣了呢？
今日はお祭りだったはずなのに…。ううっ…。ひぐっ…。,明明今天祭典的日子……。嗚嗚……。嗯嗚嗚……。
ここに隠れてろって言われたけど、おとうさんたちが心配だよ。\nどうしよう、お兄ちゃん…。,雖然說要我們躲在這裡就好，但我還是會忍不住擔心爸爸他們的安危。\n怎麼辦啦，哥哥……。
あは、この家、人間の匂いがする。\nまだ捕まえてないやつがいたんだぁ❤,啊哈，這個家，有人類的味道。\n還有沒抓到的東西耶❤。
この匂いからすると男の子ですかねぇ。\n小さい子の匂いって女か男か分かりづらいので\nはっきりとは言えないですけど。,這個味道應該是男孩子的。\n因為是小孩子的味道所以很難分辨是男是女，\n所以沒辦法太肯定就是。
ま、見つけちゃえばすぐ分かることだし、さっさと探しちゃいましょ。うふふ❤,算了，找到就知道了，總之先找找看吧。嗯哼哼❤。
サキュバスだ…。このままじゃ食べられちゃう…。,是魅魔……。這樣子下去會被吃掉的……。
狭い戸棚に二人で隠れながら、息をひそめてサキュバスたちの様子をうかがう。,我們兩人躲在狹窄的櫥櫃當中，屏息窺視外面的魅魔們。
必死に冷静を装いながらも、妹の横で僕の手は震えていた。手にはお父さんから託された1枚のカードがあった。,當我強裝冷靜的時候，我還是能感覺自己緊緊摟著妹妹的手在顫抖。我的手中有父親託付給我的一張卡。
今日は僕の洗礼式の日。そのお祝いにお父さんにもらった「ブラックナイト」のカード。,今天是我受洗的日子。父親為了祝福我贈送給我一張「黑暗騎士」卡片。
もしこのカードを使うことができたら、あの魔族たちも倒すことができるかもしれない。けれど、まだカードの使い方もちゃんと分からない僕には、ブラックナイトを召喚できる自信はなかった。,要是我能使用這張卡片的話，說不定就能打倒那些魔族。但是，這時候的我還不知道卡片的使用方式，因此沒有信心自己能夠召喚黑暗騎士。
妹のためにも、行かなくちゃいけない。でも…。,為了妹妹我不戰鬥不行。但是……。
お兄ちゃん…。手ふるえてる…。,哥哥……。手在發抖……。
このままじゃ二人とも食べられちゃうよね…。\nそれぐらいなら、うん…。,這樣下去兩個人都會被吃掉……。\n既然這樣不如……。
わたしがお兄ちゃんを守る。,就由我來保護哥哥。
そう言うや否や、妹は戸棚から外へと飛び出していった。そしてわざとらしい演技でサキュバスたちに向かって叫んだ。,她說完就從櫥櫃中跳出來。然後以拙劣的演技對著魅魔們大叫。
きゃあ！サキュバスがいる！\nわたしが１人のときに来るなんて、こわいよぉ！,呀啊！有魅魔！\n竟然在只有我一個人的時候過來，好可怕喔！
あら、自分から出てきてくれるなんて。探す手間が省けたわ❤,哎呀，竟然自己出來了呢。省下找的時間了呢❤。
男の子じゃなくて女の子１人でしたか。残念。,沒有男孩子而是只有一個女孩子啊。真是可惜。
男はみんなその場で搾り尽くしていいって言われてるんですけど、\n女の子なら女王様のところに連れていかないといけないですね。,命令是男人都可以當場榨乾，\n但是如果是女孩子的話就得帶到女王殿下那裡去了呢。
そこのお嬢ちゃん。動いちゃダメよ？ほらわたしの目を見なさい。,那個小妹妹。不要亂動，看著我的眼睛。
あうぅう…❤なにこれぇ…❤,啊嗚嗚嗚……❤，這是怎麼回事……❤。
それじゃあいいところに運んでいってあげますからねぇ。くすくす❤,然後我要帶妳去一個好地方喔。嗯哼哼❤。
僕は連れていかれる妹を見ても何もできなかった。妹が戸棚から飛び出す瞬間、止めることだってできたはずなのに、あっけにとられたまま、それをただ見ていた。,我只能看著妹妹被帶走什麼也不能做。妹妹從櫥櫃跳出去的瞬間，我應該是能阻止她的，但我卻因為驚嚇而動彈不得，只能看著這一切發生。
僕は誰もいなくなった家で、戸棚の奥に隠れ続けて、そのまま夜を過ごした。怖さで震え、兄として妹を助けられなかったことの悔しさにしばらく泣いていたんじゃないかと思う。,我只能在空無一人的家中持續躲在櫥櫃當中，就這樣渡過一夜。我只能恐怖得顫抖，在身為哥哥卻無法拯救妹妹的懊悔中哭泣。
……それからどれだけ時間が経ったのか。何日か後、戸棚の中で弱り切っていた僕を、ギルドからサキュバス討伐に派遣されたコノハ師匠が助けてくれた。,……不知道經過了多久。過了數天，躲在櫥櫃中虛弱的我被接受公會命令前來討伐魅魔的可羅師傅救了出來。
師匠が抱きとめてくれたとき、僕はすでに気を失っていたという。,在師傅的擁抱下，我失去了意識。
何度も何度も夢に見る、自分の情けない過去。兄としてあまりに無力だった苦い記憶。,這是夢見無數次的我無力的悲慘過去。是我身為哥哥卻無能為力的痛苦回憶。
でも今は違う。無力なんかじゃない。だからこそ僕は、必ず…。,但是現在不同了。我再也不是無能為力的小孩了。所以我，一定會……！
朝、目を覚ますと手には汗がびっしょりついていた。,早上。我張開眼睛時發現手中全都是汗。
村が襲われたのはもう何年も昔の話だ。時間の経過を考えれば、妹は無事ではないかもしれない。サキュバスにエナジーを吸い尽くされたか、あるいはサキュバス化させられて、既に人間ではなくなっているのかも…。,村子被襲擊已經是數年以前的事情了。考慮到時間的話，妹妹說不定已經拯救不了了。被魅魔吸乾能量、或著是遭到魅魔化，已經不是人類也說不定……。
それでもきっと僕は、Aランクになって妹を助けに行く。それがどれだけわずかな可能性であったとしても…。僕は決意を新たにしたのだった。,即使如此，我也要升上Ａ階級去拯救妹妹。只要還有些許的可能性在……！我立下了這樣的決心。
あなたのターンからだね！どんなカードで攻めてくるか、楽しみ！,由你的回合開始呢！真是期待你會用怎樣的卡片攻過來呢。
わたしのターンからだね！まずはどうしよっかなー。,從我的回合開始呢！首先該做什麼呢？
とりあえずドローしてっと。,總之先抽牌。
わたしのターン、ドロー。,我的回合，抽牌。
{使用カード}を上級召喚するよ。,將{使用カード}上級召喚喔。
{使用カード}を召喚するよ！,將{使用カード}召喚出場喔！
ううっ、あうう・・・❤,嗚嗚、啊呼呼……。
あはっ、試験中に自滅しちゃうような子はだめだねー。\n復活してもらったのに、まだうっとりした顔しちゃってる❤,啊哈哈，會在考核中自爆的孩子是不行的啦。\n你把他復活卻還是一副恍惚的臉呢❤。
そんなんじゃ、マスターくんの命令も耳に入らないんじゃない？\n情けない男の子だなー。くすくす❤,這麼一來，他的耳朵還聽得進玩家的命令嗎？\n真是沒用的男孩子呢。嗯哼哼❤。
さらにもう1枚発動！,再發動一張！
{使用カード}の召喚時効果発動！手札を1枚捨てて、大剣の女戦士を特殊召喚！,{使用カード}的召喚時效果發動！捨棄一張手牌，特殊召喚巨劍女劍士！
{使用カード}の召喚時効果を発動！手札を1枚捨てて護衛のモンスターを特殊召喚！,{使用カード}的召喚時效果發動！捨棄一張手牌特殊召喚護衛怪獸！
手札を２枚捨てて{使用カード}の効果発動！魅了を付与させてもらうわね！,捨棄兩張手牌發動{使用カード}的效果！賦予對象怪獸魅惑！
魔法の弓矢でくらくらさせてあげる。手札を２枚捨てて{使用カード}の効果を発動！,被魔法的弓箭給弄到昏頭吧。捨棄兩張手牌發動{使用カード}的效果！
召喚に成功したとき{使用カード}の効果発動！デッキからハンタータイプのモンスターをサーチ！,召喚成功時發動{使用カード}的效果！從牌組檢索獵人類型怪獸！
仲間を呼ぶよ！{使用カード}の召喚時効果を発動！,呼叫同伴！{使用カード}的召喚時效果發動！
墓地に送られたとき{使用カード}の効果発動！デッキから永続魔法をサーチ！,被送往墓地時，{使用カード}的效果發動！從牌組檢索永續魔法！
{使用カード}の効果を発動！デッキから永続魔法を手札に加えるよ！,{使用カード}的效果發動！從牌組檢索永續魔法！
手札を2枚捨て永続魔法カード発動！{使用カード}！,捨棄兩張手牌發動永續魔法卡！{使用カード}！
相手モンスター1体を選び、その種族に対してハンターが与えるダメージを倍増させるよ。,選擇對手一體怪獸，獵人給予該類型的傷害翻倍！
さらに望むならデッキからハンターモンスター1体を特殊召喚できる！,然後還能從牌組特殊召喚一體自己想要的獵人怪獸！
あなたのモンスター1体を選び、その種族に対してハンタータイプの与えるダメージが倍になるよ！,選擇你一體怪獸，獵人怪獸對該類型的傷害翻倍！
{使用カード}を発動！ハンターモンスター1体を効果の対象に選択できなくする！,發動{使用カード}！一體獵人怪獸不能成為效果對象！
{使用カード}を発動！これでこの子は効果の対象に選択できない！,發動{使用カード}！讓這孩子不能成為效果對象！
ハンタータイプが攻撃されたとき、{使用カード}を発動！戦闘前に1000ダメージだよ！,當獵人怪獸被攻擊時，發動{使用カード}！交戰前先打一千傷害喔！
{使用カード}を発動！手札にいるハンタータイプモンスターを特殊召喚！,發動{使用カード}！特殊召喚手牌中的獵人怪獸！
{使用カード}を発動！手札にハンターがいないときデッキからハンタータイプをサーチ！,發動{使用カード}！手牌沒有獵人怪獸時可以檢索獵人怪獸！
特殊召喚に対して{使用カード}を発動！大ダメージを与えちゃうよ！,針對特殊召喚發動{使用カード}！給予大幅傷害！
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
魔法カードを発動！{使用カード}！,發動魔法卡！{使用カード}！
トラップカードを発動するね！{使用カード}！,發動陷阱卡！{使用カード}！
カードをセット。,蓋一張卡片。
カードを伏せる。,覆蓋卡片。
わたしからも気持ちいいことしてあげる。{防御カード}を攻撃！,我也來讓你舒服起來。對{防御カード}進行攻擊！
わたしだって攻撃するよ。{防御カード}を攻撃！,我也要攻擊喔。對{防御カード}進行攻擊！
行くよ！{使用カード}で{防御カード}を攻撃！,開始嘍！{使用カード}對{防御カード}進行攻擊！
どう？快楽攻撃されて心は乱れてない？,如何？有沒有被快楽攻撃弄到心亂神迷？
昔はもっと剣と剣のぶつかり合いって感じだったんだけどね、\nここ最近はこういうエッチな攻撃に耐えられないと\n男のカードマスターはだいぶ厳しいよ。,以前是更有劍與劍交接的感覺啦，\n但是最近對男性卡片玩家來說\n如果不能忍耐這種色色的攻擊的話是不行的。
試験官としてあなたの精神力試させてもらうね！,因此做為考官我也得測試你的意志力！
うーん、なにもできない！ターンエンド。,嗯～什麼也不能做！回合結束。
この手札じゃ、むりー。なにもできない。ターンエンド。,這手牌，去了。什麼也不能做。回合結束。
ターン終了だよ。,我的回合結束。
わたしのターンはおしまい。ターンエンド,我的回合結束了。宣告回合結束。
これで終わりかな。ターンエンド。,大概就這樣吧。回合結束。
む、攻撃させてくれないの？厄介なカードだなぁ。,嗚，不讓我攻擊？真是麻煩的卡呢。
手でシコシコしてあげるね。ほらじっとしてて、\nシコシコ❤シコシコ❤,我要幫你手淫喔。不可以亂動❤。
手でされるのは好き？\nほら、手のひらでおちんちん捕まえて…。,喜歡被女孩子用手弄嗎？\n你看，我手掌握住你小雞雞了喔……。
しこしこしこ～。ふふ、このリズム気持ちいいでしょ❤\n出したいときに出していいからね。,嗯哼哼～❤。如何？以這個節奏套弄很舒服對吧❤。\n想射的話可以直接射喔。
手コキしながら亀頭もいじめてあげるね❤,我一邊手淫你一邊虐你龜頭喔❤。
竿をしこしこしながら～、こうやって手のひらを\nぎゅっと先っちょに押し当てて、うりうり♪うりうり♪,一手上下套弄肉棒～，另外一手的掌心\n壓在龜頭上直接整個蓋下去，轉圈圈～轉圈圈～❤
あはは、すごい反応。同時に責められるのたまらないでしょ？\nガマンなんてしないで出しちゃえ❤出しちゃえ❤,啊哈哈，你的反應好大喔。同時被虐的快感讓你受不了對吧？\n不要忍耐了快射❤，快射啊❤。
新人マスターくんは昇格したいんだよね？\nそれならほら、わたしにシコシコされても頑張って耐えようね。,新人卡片玩家你想升階對吧？\n那就努力忍耐我的手淫吧。
気持ちよくなっても射精しちゃだめだよ？魔力出しちゃったら\nカードを維持できなくなって失格になっちゃう。,就算很舒服也不可以射精喔。讓魔力放出的話，\n就會因為無法維持卡片而輸掉對戰喔。
こうやって、しこしこしこしこ❤ってされても、がんばれー。\nくすくす❤,就算你被我精巧的手淫也是喔❤加油加油別射精～。\n嗯哼哼❤。
敵のマスターに手コキをされてどこまで耐えられるかな？\n実戦と同じつもりで我慢しないとダメだよ。,你能夠在被敵對玩家手交的時候忍耐下來嗎？\n你必須要拿出跟實戰一樣的意志力來抵抗喔。
カリのところをこすられて、\n腰が浮きそうになってもガマンガマン。\nがんばれー、モンスターくん❤,就算你龜頭被人抓住，\n腰爽到挺起來也必須要忍耐喔。\n加油啊，怪獸卡❤。
この服、谷間がすごく強調されてるでしょ？\nこの穴はね、パイズリしやすいように開けてる穴なんだ❤,你看這衣服是不是把我的乳溝全露出來了呢？\n這個洞啊，是為了方便乳交而設計的洞喔❤。
谷間におちんちんを押し当てて、\nむぎゅーって簡単にできちゃうの。\nほら、さっそくやってあげるね❤,只要把小雞雞塞入乳溝，\n簡單就能夾住呢。\n那麼就馬上讓你試用吧❤。
わたしのおっぱい、特盛ってほど大きくはないけど、\nおちんちんを挟めるぐらいのサイズはあるんだよ。,我的胸部雖然不能說是特大號的大小，\n但是這個尺寸想要在裡面夾小雞雞是沒有問題的喔。
谷間で捕まえて、わたしのおっぱいの気持ちよさ、\nたくさん教えてあげる。むにむにパフパフ❤ 楽しんでね❤,我用乳溝抓住你，\n然後讓你知道我的胸部有多舒服。這可是柔軟的乳交喔❤，好好享受吧❤。
新人マスターくんは、試験中なのにわたしのおっぱいが気になるの？,新人卡片玩家啊，你在考核時怎麼可以想著考官的胸部呢？
ふふ、こんなに谷間を開けた服を着てれば\nそりゃ視線もいっちゃうよね。\nおっぱいの感触気になるだろうし、挟んであげよっか。,呼呼，我穿這種露乳溝的衣服，\n你當然視線都會被吸引過來了呢。\n既然你這麼在意我的胸部，我就幫你夾好了。
わたしのパイズリけっこう気持ちいいんだよ。\nたくさんズリズリこすってあげる❤,我的乳交是很舒服的喔。\n所以就盡量幫你做❤。
ねえねえ、この服の隙間のところにさ、\nおちんちんを入れてみたいって思わない？\n谷間が見えてなかなかにエッチでしょ？,欸欸，你看我這件衣服中間的空隙，\n不覺得可以把小雞雞放進來嗎？\n能看見乳溝感覺很色對吧？
おっぱいで挟まれるの、気持ちいいんだよー？\nおっぱいを両手で押さえて、おちんちんにグリグリって押し付けて\nあげるね❤谷間ぱふぱふでイかせてあげる❤,真的插進來讓我的胸部夾的話會很舒服的喔。\n我會雙手按住胸部兩側往內擠壓小雞雞喔❤\n讓你在溫暖柔嫩的乳溝中射精❤。
あれー、試験中なのにわたしにおねだりしちゃうの？\n試験はもうどうでもよくなっちゃったのかな❤くすくす❤,哎呀，明明還在考核中卻來對我懇求？\n考核本身已經怎樣都好了嗎❤，嗯哼哼❤。
マスターなら分かってると思うけど、\n魔力を搾られてカードを使えなくなったら、もう勝ち目なんてないよ？,我想你是卡片玩家應該知道，\n被人榨乾能量就會無法使用卡片，真的就會變得贏不了喔？
それでも我慢できない？\nうーん、しょうがないなー❤,即使這樣你還是無法忍耐嗎？\n欸～那就沒辦法了呢～❤。
それじゃあお望み通り、さくっと抜いてあげる❤\nちなみにどうやってイかされたいのかな？\n言ってみてよ❤,那麼就按你希望的，幫你弄出來❤。\n啊對了你想要怎樣射呢？\n講給我聽吧❤。
あれー、試験中なのにわたしにおねだりしちゃうの？\nマスターくんの昇級がかかってるのに、\n我慢できなくなっちゃったんだ❤くすくす❤,奇怪，竟然在考核中對我懇求耶。\n這場考核關係到你主人的是否能升階，\n你卻完全不能忍耐嗎？嗯哼哼❤。
それじゃあさくっと魔力を吐き出させてあげる❤\nキミはどうやってイかされたいのかな？裏切り者くん❤,那麼你就趕快把能量射出來吧❤。\n你想要怎樣射呢？背叛者怪獸❤。
そっか❤おっぱいでしてほしいんだね❤\nちょっと谷間を強調してあげれば、\n男の子ってすぐここに夢中になっちゃうんだから❤かわいい❤,這樣啊❤，想要被胸部夾到射啊❤。\n我只要穿這種露乳溝的衣服，\n男孩子就會對我著迷呢❤，好可愛喔❤。
そっか❤手でシコシコしてほしいんだね❤\nわたしの手コキはオナニーするよりもずっと気持ちいいよ❤\nすぐイかせてあげる❤,這樣啊❤，想要我的手幫你做呀❤。\n我的手交比自己自慰還要舒服對吧？\n那麼我就讓你馬上射❤。
あは❤気持ちよさそうな顔で射精しちゃった❤\n試験を放り出してしてもらったパイズリはそんなによかった？\nマスターくんを裏切っちゃって最低だね❤,啊哈❤，一臉爽樣得射精了耶❤。\n放棄考核讓人乳交有這麼爽嗎？\n竟然因此而背叛主人真是太差勁了呢❤。
モンスターくんのせいでわたしの体力もすっかり回復したし、\n試験の突破はずっと難しくなったんじゃないかな？\nくすくす❤,因為你這隻怪獸害我體力完全回復，\n想要通過考核變得幾乎不可能了喔。\n嗯哼哼❤。
ふふ、どうだったわたしの手コキテク❤\n試験官として君たちより実力はあるつもりだけど、\n手コキも上手だったでしょ？,呼呼，如何啊我的手交技術❤。\n我身為考官不僅對戰實力比你強，\n而且手淫技巧也很棒對吧？
その気持ちよさそうなとろけ顔が答えだね❤\n試験中なのに、口が半開きになってアヘアヘになっちゃってる❤\nくすくす❤,啊，你那發情臉已經回答我了呢❤。\n明明還在考核中，卻嘴巴微張在那邊嬌喘❤。\n嗯哼哼❤。
あっ、ああっ・・・。,啊、啊啊……。
ありゃりゃ、自分からオナニー始めちゃった。今回も試験は失敗だね。,哎呀哎呀，自己開始自慰起來了呢。這次的考核也沒通過呢。
もしかして、わたしの谷間見てたら興奮抑えられなくなっちゃった？うーん、おっぱいに負けるの癖になっちゃったのかなー。,難道說你是看見我的乳溝就興奮得壓抑不住自己了嗎？嗚～嗯，你這是染上敗給胸部的性癖了嗎？
え？オナニーしちゃうの？今試験中だよ？,欸？你在自慰？現在在考核耶？
もしかして、わたしの谷間見てたら興奮抑えられなくなっちゃった？うーん、たまにいるんだよねー、そういう人。,難道說你是看見我乳溝就興奮得不能控制自己嗎？嗯～確實會有呢，像你這種人。
たしかにガッツリ露出しているけどさ、これぐらいの谷間で動揺してちゃ、サキュバスの相手なんて無理だよ？おっぱいだってサキュバスの方がずっと大きいし…。,確實我裸露程度很高，但是你因為這種程度的乳溝就會忍耐不住的話，碰到魅魔可就死定了喔。要比胸部的話魅魔可是遠比我大的喔……。
戦闘中に激しく動いたから、こんな風にゆさゆさ揺れたかもしれないけど…❤その程度ガマンガマン。,雖然說在對戰中我動作一激烈起來，我胸部晃動幅度會變得很大但是……❤，這種程度你得忍住才行喔。
ううっ…❤,嗚嗚……。
え？わざわざ揺らさないでくれって？うそだー、うれしいくせに。,欸？你叫我不要故意晃給你看？亂講，你明明就看得很爽。
こうやって前屈みになって、体を左右に揺らしているだけなのに、ほら、手が止まらない❤シコシコシコシコ気持ちいいねー❤,我只要這樣向前傾身，讓身體左右搖動……對吧，你的手就停不下來了❤，看女人在自己面前乳搖的同時自慰超爽不是嗎❤。
くすくす。試験に来たばかりの初心者の子を、こうやっておっぱいに夢中にさせちゃうの、楽しいんだよね❤,嗯哼哼。我最喜歡利用乳搖來誘惑參加考核的新人了呢❤。
もう出ちゃいそうなんでしょ？シコシコ止められなくて、試験落ちちゃうね。自分から負けちゃうね❤,你差不多要射出來了吧？要是你不停止自慰，考核就要失敗了喔。就會變成是你自己弄到輸掉了喔❤。
ほら、谷間寄せてあげるから、ここに出していいよ❤びゅーっていっぱいかけちゃえ❤,你看，我擠乳溝出來，你可以設在這裡喔❤，射滿考官姊姊的乳溝吧❤。
はひぃっ…❤,哈咿……。
くすくす。今回もたくさん出したねー。おっぱいがどろどろだよー❤,嗯哼哼。這次也射好多出來耶。胸部整個都黏黏的呢❤。
こんなにオナニーで負けてばっかりじゃ、試験はもう無理かもしれないね。ま、次もおっぱいに負けないように頑張ってねー❤,你都這樣子自慰輸掉的話，是不可能通過考核的喔。好了，下次要加油不可以輸給考官姊姊的胸部喔❤。
くすくす。たくさん出したねー。おっぱいがどろどろだよー❤,嗯哼哼。射了好多出來呢。胸部都黏黏的呢❤。
試験はまた今度頑張ってね。次もオナニー我慢できなくならなければいいけど。,下次考核要認真喔。如果又忍不住自慰的話就糟糕了呢。
マスターのランクアップがかかった大事な試験だっていうのに、わたしの前にやってきてシコシコ始めちゃうなんて…❤ぷぷぷ❤,在關係到自己主人升階的的考核中，走到我面前自慰起來……❤，好可愛❤。
もしかして、わたしの谷間見てたら興奮抑えられなくなっちゃった？うーん、モンスターのくせに情けないなー❤,難道說是看見我的乳溝就興奮得控制不住了嗎？嗯～明明是怪獸卡怎麼可以這樣做呢❤。
たしかにガッツリ露出しているけどさ、これぐらいの谷間で動揺してちゃ、サキュバスの相手なんて無理だよ？おっぱいの大きさだってサキュバスの方がずっと大きいし…。,確實我裸露程度很高沒錯，但是被這種程度的乳溝弄到發情的話，碰到魅魔就死定了喔。畢竟要比胸部大小還是魅魔大我很多呢。
ま、あなたが頑張らなくても他のモンスターが頑張ってくれるよね。だから、負けちゃってもいいんだもんね。,不過算了，就算你輸了也會有其他怪獸在戰鬥呢。所以你輸掉也沒關係呢。
くすくす❤そんな情けない言い訳考えながらおちんちん扱いているのかな？もう出ちゃいそうなんでしょ？シコシコ止められなくて、おっぱいに負けちゃうね❤,嗯哼哼❤你現在就是在想這種藉口一邊摸自己小雞雞吧？要射出來了對吧？沒辦法停止摸雞雞，只能就這樣敗給胸部呢❤。
やぁん❤ドバドバ出しすぎ。おっぱいがどろどろだよー❤,呀啊❤好猛烈得設出來了。胸部都被射得黏黏的❤。
ねえ、味方がこんな調子で大丈夫？すぐに全滅して試験に落ちちゃうんじゃない？くすくす❤,欸同伴都這個樣子沒問題嗎？馬上全滅的話無法通過考核喔。嗯哼哼❤。
ありゃりゃ、マスターも自分からオナニー始めちゃった。今回も試験は失敗だね。,哎呀哎呀，玩家自己也過來自慰了耶。這次的考核也失敗了呢。
あはは❤マスターもオナニーしちゃうんだ。今試験中だよ？分かってる？,啊哈哈❤，玩家也過來自慰了呢。現在正在考核喔？可以這樣嗎？
あなたもおっぱいの谷間見てたら興奮抑えられなくなっちゃったのかな？うーん、手下ともども情けなさすぎ❤,你也因為看到胸前的乳溝就興奮得控制不了自己了呢。嗯～，你跟你的手下一樣沒用呢❤。
ほら、あなたがオカズにしたかったおっぱいだよー。この程度の露出で興奮してちゃサキュバスに勝てないぞ❤,你看，這是你正在幻想的胸部喔。如果會對這種程度的裸露興奮的話會贏不了魅魔的喔❤。
あはは、しごくの早くなっちゃっている。おっぱいぐらいでそんなに興奮するなんて、かわいい～❤,啊哈哈，手淫速度變好快喔。因為能看胸部就興奮成這樣，好可愛喔～❤。
ギルドに入ったばかりの初心者の子を、おっぱいに夢中にさせちゃうの、楽しいんだよね❤反応がうぶだから、からかいがいがあるっていうか。,讓剛加入公會的新人被胸部魅惑真好玩耶❤。因為表情都很純潔，捉弄起來的感覺很棒呢。
