default
巨乳スライム,巨乳史萊姆
このおっぱいが気になるのかな？じっーっと見てるのわかるよ❤,你很想要用我的奶子嗎？你都盯著那看當然會發現嘍。
エッチな攻撃たくさんされちゃったもんね❤おちんちんイライラして、たまんないよね。くすくす❤,被做各種色色的攻擊後，小雞雞已經非常難受，很想被摸摸了呢。嗯哼哼❤。
あは、このおっぱいが気になるのかな？じっーっと見てるのわかるよ❤,啊哈哈，很想要這對奶子呢？你一直盯著她看呢。
寄せたり、揺らしたり・・・♪ぷるんぷるんって揺れてエッチだよねー❤,彈起、晃動……這水嫩的搖法看起來色色的對不對？
うあっ、ああっ・・・。,嗚啊、啊啊……。
くすくす❤興奮しすぎ。そんなに早くしごいてたらあっという間に負けちゃうよ。,嗯哼哼❤，你興奮過頭了啦。手淫得這麼快馬上就會輸掉了啦。
今ならまだ間に合う・・・❤手を止めて武器をとれば、まだ戦える・・・❤ほら、がんばって♪,現在的話還來得及喔……自慰雞雞的手停下來重新拿好武器，就可以繼續戰鬥了喔。加油啊，首先停止自慰。
わたしもたくさん、おっぱい揺らして応援してあげるから♪えいえい❤,我也會搖晃胸部來幫你加油喔。
あっ、あっ、だめっ、はひぃっ・・・❤,啊、啊、不行、啊咿……。
うふふ❤おちんちんから手が離れないね❤もっとシコシコしたいよぉって、敵の前なのに頭の中エッチなことでいっぱいみたい。,嗯哼哼❤手根本離不開小雞雞呢。你明明在敵人面前，只想在敵人面前自己做色情的情嗎？
いいんだよ。イっちゃても❤おっぱいに挟まれているのを想像して、おちんちんから大事なエナジー出して・・・。,沒關係喔。自慰射精吧❤。想像被奶子夾住的感覺，然後讓小雞雞射出重要的能量‥‥。
わるーいモンスターに、降参しちゃお？ほら、びゅっ、びゅっ、びゅーー❤❤,來，投降給壞壞的怪獸卡吧。射、射啊、射精、用力射精啊！
あん❤精液でおっぱいがどろどろ。たっくさん出たねー。,啊哈❤精液都流滿整個奶子了。射得好多喔。
体力回復させてくれてありがと、味方を裏切ってのお射精、きもちよかったかな？くすくす❤,謝謝你讓我回復體力，背叛同伴的射精夠不夠爽呢？嗯哼哼❤。
あは、きみもオナニー？みんなシコシコするの好きだねー❤,啊哈哈，你也想自慰？大家都喜歡摸自己雞雞呢。
勝負が始まってすぐなのに、みんな自爆しちゃうなんて、理性よわすぎなんじゃないの？くすくす❤,對戰才剛開始而已，每個人就都來自爆了，這理性也太弱了吧？嗯哼哼❤。
ほら、きみもさっきの人みたいにこのおっぱいをオカズにしたいんだよね❤,你跟剛才那個人一樣想看我的奶子對吧？那就讓你好好看。
寄せたり、揺らしたり・・・♪ぷるんぷるんって楽しませてあげる。たっぷり見ていいよー❤,彈起，搖晃……。享受人家奶子水嫩的感覺吧。要記得看光光喔。
くすくす❤興奮しすぎ。きみも魔物のおっぱいに、あっという間に負けちゃうんだ。,嗯哼哼❤，你超興奮的。你也要馬上就敗給魔物的奶子了呢。
今ならまだ間に合うかも・・・❤自分のことを馬鹿にしてくるモンスターなんか、手を止めて武器をとれば、まだ倒せるかも・・・❤,其實現在還來得及喔，停止摸雞雞然後拿起武器，趕快攻擊眼前這個嘲笑自己的怪獸卡，說不定還能打倒對方喔。
ほら、がんばれ♪おっぱいぷるぷるなんかに負けるなー❤うふふ❤,試試看嘛，加油加油。不要輸給水嫩奶子的怪獸卡，嗚呼呼❤。
あっ、あっ、だめっ、そんなに揺らしたら…❤はひぃっ…❤,啊、啊、不行、妳這樣搖的話……，哈呼……。
あは❤おちんちんから手が離れないね❤それどころかどんどん早く扱いちゃっている❤,啊哈哈❤手根本離不開小雞雞，而且反而還自慰得更快了。
いいんだよ。イっちゃても❤さっきよりも大きくなったおっぱいに誘惑されて、おちんちんから大事なエナジー出して・・・。,那乾脆就射吧。被這對比剛才還大的奶子誘惑，小雞雞射出重要的能量過來……。
きゃあっ！うう…、もう体力が限界…。,呀啊！嗚嗚……，體力已經到極限了……。
いつもならこのおっぱいで攻めてあげれば、すぐに勝てるのになぁ…。ずいぶん我慢強いんだね。,明明只要跟平常一樣用奶子攻擊的話，很快就能贏的……。忍耐力真的很強呢。
でも、よく見たらおちんちんはもう限界っぽそう。あと少しパイズリしてあげれば、イっちゃうんじゃないかな。,但是，仔細一看小雞雞已經要到極限了呢。只要再乳交一下說不定就會射呢。
ねえ、ねえ？もしわたしを倒しちゃったら、射精できないかもしれないよ？,欸？如果把我打倒的話，說不定就會不能射精了喔？
それでいいの？おっぱいで気持ちよくなっちゃった方がよくない？,這樣真的可以嗎？讓奶子幫你爽一次不是比較好嗎？
あなたたちから吸い取ったエナジーで、こんなに大きくなったんだよ？むにゅーって挟まれて、谷間の中にたっぷり中出ししたいよね❤,這對奶子吸了你們的能量，已經變得這麼大了喔。你看了就想要被她夾住，然後在乳溝中用力內射不是嗎？
他の人だってパイズリに負けちゃったんだもん。あなたはよく耐えたほうだよ。ね？我慢なんてやめちゃお？,你看其他人不是都被乳交而輸掉了嗎？你反而很奇怪得忍耐下來了。所以？不要再忍耐了啦？
このおっぱいでむにゅーって挟まれて、ずりずり❤谷間の中にたっぷり中出し…❤,被這對奶子用力夾住，揉弄，然後在這乳溝中爽爽內射……❤
ふふふ。ちょっと気持ちが揺れてきたかなー。そのままじっとしててくれれば、パイズリしてあげる❤,嗯哼哼。你動搖了呢。只要你繼續這樣站著的話，我就幫你乳交喔。
きゃん！そんなぁ・・・。,呀啊！怎麼會……。
あは、ほんとに動きを止めちゃうんだー❤男の子だもん、ギンギンになった時点で、もう断れないよね。,啊哈，真的站了不動了呢。畢竟男孩子只要硬梆梆以後，就不會拒絕女孩子了呢。
それじゃさっそく挟んじゃいまーす❤えい❤,那麼我要夾住你了喔，嘿呀❤。
はううっ…❤,哈嗚嗚……
パイズリ気持ちいいでしょー❤,被乳交很爽對不對？
もうイきそうだったんだもんね。そんな時におっきなおっぱいでパイズリされたらたまらないよね。,已經想要射了呢。這種時候再被巨大奶子乳交絕對會爽到受不了呢。
ほら、ズリズリ・・・❤ズリズリ・・・❤,來，看我的奶子上下搓揉的模樣❤這時候很黏稠很爽的感覺全部湧入小雞雞中了喔❤。
あっ、ああっ…❤もうダメ・・・❤,啊、啊啊……已經不行了……。
あはは❤はやーい♪,啊哈哈❤好快喔。
さっきまでとは立場が逆だね。今度はわたしがあなたにとどめを刺す側になっちゃった。,我們的立場逆轉了呢。變成是我要給你最後一擊了。
ほらほら、さっさとイっちゃえ❤早漏マスターくん。,可是我不會停喔，趕快給我射，你這個早洩卡片玩家。
ほらほら、さっさとイっちゃえ❤早漏モンスターくん。,可是我不會停喔，趕快給我射，你這個早洩怪獸卡。
はひぃっ…❤,哈咿……
あはは❤たくさん出たね❤気持ちよかったでしょー。,啊哈哈❤射了好多出來喔，你一定很爽對不對？
いつもならこのおっぱいで攻めてあげれば、すぐに勝てるのになぁ・・・。きみも我慢強いんだね。,平常只要用奶子攻擊就會馬上贏的說……。你的忍耐力也很厲害呢。
でも、おちんちんはもう限界っぽそう。あと少しパイズリしてあげれば、イっちゃうんじゃないかな。,但是你小雞雞也到極限了吧。只要再乳交一下說不定就要射了呢。
ねえ、どうする？きみもさっきの人みたいに、わたしのパイズリでイきたくない？,那麼，你打算怎麼做呢？你想不想像剛才那個人一樣在乳交中射呢？
イけないままバトル終了、なんていやだよね。おちんちん最後まで気持ちよくなりたいよね。,都還沒有射對戰就結束了，感覺很虧不是嗎？小雞雞還是想在結束以前爽一發不是嗎？
それならさ、ほら、武器なんて捨てちゃお？さっきの人だってそうしたんだもん。きみもそうしちゃおうよ。,所以呢，可以先把武器丟掉嗎？剛才那個人也是這樣做的喔。所以你也要。
ふふふ。ちょっと気持ちが揺れてきたかなー。そのままじっとしててくれれば、パイズリしてあげるからね❤,哼哼哼❤你動搖了呢。你只要繼續站著就好，那樣我就會幫你乳交喔。
あはは❤またまた誘惑成功♪みんなちょろいなー❤,啊哈哈❤又一次誘惑成功！每個人都好容易騙喔❤。
さっきよりおっきくなっているんだよ？気持ちよさもパワーアップしているの。,比剛才還要大對不對？爽度攻擊力也會提升喔。
あはは❤きみもはやーい♪,啊哈哈❤你也好快喔。
何回追い詰めても、最後はおちんちん気持ちよくなりたくて負けちゃうね。きみたち男の子は、おちんちんむずむずしちゃったら、我慢できなくなっちゃうんだもんね。,，不管你的攻擊再厲害，最後都會因為小雞雞想爽而輸掉。你們男孩子只要雞雞被碰幾下，就會忍不住求對方幫自己弄呢。
ほらほら、激しくパイズリしてあげる。さっさとイっちゃえ❤早漏マスターくん。,怎麼樣，這就是你喜歡的刺激乳交喔。馬上給我射❤早洩玩家。
ほらほら、激しくパイズリしてあげる。さっさとイっちゃえ❤早漏モンスターくん。,怎麼樣，這就是你喜歡的刺激乳交喔。馬上給我射❤早洩怪獸卡。
あはは❤たくさん出たね❤気持ちよかったでしよー。,啊哈哈❤射了好多出來喔，你一定非常爽呢。
みんなパイズリしてあげるって言ったら、負けちゃうんだもん。楽勝すぎだよ。くすくす❤,不管是誰只要我說要幫他乳交，就會馬上輸給我了。太輕鬆了。嗯哼哼❤。
うふふ❤自分でしこしこ、楽しかった？おっぱいに簡単に負けてくれて助かっちゃう❤,嗯哼哼❤自慰輸掉開心嗎？對我來說只要搖奶子就能打贏真是太好了呢。
うふふ❤わたしのパイズリ気持ちよかった？おっぱいに簡単に負けてくれて助かっちゃう❤,嗯哼哼❤我的乳交舒服嗎？用奶子就能簡單取勝真是太好了呢。
スライムを使うサキュバスの少女に敗れた僕は、近くで商人が襲われている中、青色のスライムに見下ろされていた。,敗北操縱史萊姆的魅魔少女後，她轉而襲擊旁邊的商人，而藍色的史萊姆則俯瞰著我。
ううっ・・・。,嗚嗚……。
あはは、無様な格好❤やっぱり男の子っておっぱいには勝てないんだね。わたしのおっぱいに挟まれるの気持ちよかったでしょ❤,啊哈哈，你射得好慘喔。果然男孩子是贏不了奶子的呢。只要被我的奶子給夾住就會感覺爽到不行只好射精呢。
みんなこうしてあげればすぐにイっちゃうの❤男の子のおちんちんっておっぱいに負けるために付いているのかな？くすくす❤,不管是什麼人只要我這樣幫他弄就會馬上就射了。男孩子的小雞雞是為了輸給奶子而長出來了嗎？嗯哼哼❤。
あはは、無様な格好❤やっぱり男の子っておっぱいには勝てないんだね。わたしのおっぱいをおかずにするの気持ちよかったでしょ❤,啊哈哈，你射得好慘喔。果然男孩子是贏不了奶子的呢。看著奶子自慰超爽的呢。
おっぱいを見せつけてあげたら、自分でシコシコしちゃうんだもん。カッコ悪かったよ❤くすくす❤,男孩子只要有奶子可以看，就會忍不住開始自慰起來呢。真的是好弱喔❤，嗯哼哼❤。
わたしのおっぱい、さっきよりもおっきくなってるから、見た目もとってもエッチだよね。,我的奶子比剛才更大了呢，外觀看起來更色情了呢。
軽く体を揺らすだけで、ばるんばるんって揺れ動いちゃうの。ほら・・・❤,只要輕輕動一下身體，整個奶子就會激烈擺動呢。你看……❤。
うあっ、ううっ・・・❤,嗚啊、嗚嗚嗚……！
このおっぱいの動き、すごいでしょー❤うぶな男の子ならこれだけでイチコロなんだよ❤,這奶子的舞動讓人受不了對不對？童貞男光是這樣就能瞬秒喔。
君も同じかな？お猿さんみたいな顔でおっぱいを凝視して、腰もひくひくしちゃってさ。このまま見せつけるだけでもイっちゃいそう・・・❤,你也一樣對吧？像蠢豬一樣凝視我的奶子，腰還忍不住一抖一肘的。你該不會光是這樣看我又要射了吧……❤。
早くあのおっぱいで気持ちよくなりたいよぉって、おちんちんを前に突き出して自分からおねだりしちゃってる・・・。くすくす❤とってもかっこわるいね、マスターくん❤,好想趕快用這對奶子爽，結果開始挺起小雞雞求對方了……。嗯哼哼❤。真的有夠難看呢，人類卡片玩家。
あれ、馬鹿にされて顔真っ赤じゃん❤もしかして腰が動いているの、無意識だったのかな？,啊？被這樣說你在臉紅生氣氣嗎？難道說你扭腰是無意識的嗎？
おっぱいゆらゆらされただけで、女の子の前で交尾のおねだりしちゃったんだよ。はずかしいよねー❤,對方只是在你面前晃奶子而已，你就在敵對女孩子面前求她交配。好丟臉喔❤。
くうっ、あうぅっ・・・❤,咕、啊嗚嗚……。
あはは♪指摘されて必死に腰が動かないように抑えている❤おちんちんムズムズしちゃうけど、我慢しているの？,啊哈哈❤被我說了以後你開始拼命忍耐不動了。但是你小雞雞興奮成這樣子，還有辦法忍耐嗎？
そんなの無駄だと思うなー。だって・・・、今から言う言葉で、すぐにまた腰が動いちゃうと思うもの。,我看你這只是沒用的掙扎而已。因為啊……我只要說幾句話，你的腰又會開始動起來求交配了喔。
ほら、マスターくんのお耳のそばで言うよ・・・？,開始嘍，靠近你耳朵細語……。
このおっぱいで、おちんちん挟んでぇ・・・❤パ・イ・ズ・リしてあげる❤,我好想要用這對奶子，夾你的小雞雞……對，我・想・打・奶・砲❤
あっ、あああっ・・・❤,啊、啊啊啊……。
ほらぁ、腰がまたビクンってしちゃった❤言った通りになったでしょ？,嗯哼哼❤，腰抖起來嘍，果然跟我說的一樣呢。
おっぱいでおちんちんを挟んで何度もズリズリ❤ぜったい気持ちいいよね。想像しちゃったよね。,被奶子夾住小雞雞來回攪弄無數次，那過程中的快感絕對會很爽的呢。你在想像了對不對？
してほしい？おっきくなったおっぱいでパイズリ・・・❤してほしいならすぐにでもしてあげるよ。どうする？,想做嗎？被這樣變大的奶子給乳交……。你只要說想要我就馬上幫你做。如何啊？
うっ、ううっ・・・❤,嗚、嗚嗚……。
あはは、マスターなら首ぐらい振って否定すればいいのに。物欲しそうな顔しちゃってさ。気持ちよくなりたくて、何も考えられないんだ。,啊哈哈，你身為玩家明明只要搖頭拒絕我這個怪獸卡就好了。怎麼還一臉很想要的樣子啊。已經只要能爽就什麼也不管了嗎？
うぶな男の子ってほんとかわいい❤いいよ、たっぷり気持ちよくなってね❤えい、むぎゅー・・・❤,童貞男真的好可愛喔❤好喔，讓你爽到升天喔，嘿呀❤。
あああっ、はひぃっ・・・❤,啊啊啊、哈咿咿……！
挟まれただけですごい声❤おっぱいでおちんちんむにゅむにゅーってされるの気持ちいいんだよね❤,才剛夾住而已你就叫那什麼聲音啦❤被奶子擠壓小雞雞並深入的感覺有那麼爽嗎？
気持ちよすぎて力が入らない？腕がだらーんってしちゃってる❤悪者相手に戦ってたはずなのに、おっぱいに負けて地面に寝そべって・・・。くすくす、馬鹿みたい❤,因為太爽了所以反抗不了嗎？你手臂躺地完全沒動耶❤明明要跟壞蛋怪獸卡戰鬥，卻敗給奶子躺在地上任人幹……。嗯哼哼❤，你在搞什麼啦❤。
エッチなことなんて考えなければ絶対あなたの方が強いのに、おっぱいに弱いせいで、わたしみたいな雑魚モンスターに簡単に負けちゃうね❤,明明只要不想色色的事情絕對是你比較強，但是因為喜歡奶子，搞到馬上就敗給我這種弱小怪獸卡呢。
いいんだよ。何回でも負けて・・・❤スライムおっぱいのパイズリで、何度もどぴゅどぴゅーって出しちゃっていいの・・・❤,你乾脆就這樣輸到底算了。不斷不斷敗給奶子……在史萊姆的乳交當中無限射精吧❤。
だって早く負けてくれたほうがわたしとしても楽だし❤くすくす。ほら、ほら、早くエナジー出してよ❤,畢竟你輸越快我越輕鬆呀❤，啊哈哈❤。人家都幫你乳交了❤，快點把能量給我❤。
上下にたぷ、たぷ、たぷ・・・❤おっぱいでおちんちんをずりずりずり♪,上下擺晃、彈、碰❤。再一次，上下擺晃、彈、碰❤。
あっ、あっ、ああっ・・・❤,啊、啊、啊啊……！
んふ、とろけた声出ちゃうね❤おっぱいに包まれると、幸せな声が漏れちゃうよね❤,嗯呼，是爽到融化的聲音呢❤被奶子給包覆住，就叫出幸福的聲音了呢❤。
やわらかーいおっぱいでズリズリされて、とんでもなく気持ちいい❤もう何もかもどうでもよくなって、このおっぱいに出すことしか考えたくない・・・❤そうでしょ？,被超級柔軟的奶子給幹是無法想像的舒服對不對？已經什麼也無法思考，只想在這對奶子上射精……對吧？
あは、腰が上に持ち上がって来たよ？ほんのちょっとおっぱいでたぷたぷされただけで、お射精の準備、すっかり出来ちゃったみたい❤,啊哈哈，你的腰很誇張得弓起來了呢。奶子隨便啪啪幾下，你就準備好要為我射精了呢❤。
あっという間に負けちゃうね。カードマスターになるために一生懸命修行してきたのに、それが全部無駄になっちゃう・・・❤おっぱいでダメにされちゃう・・・❤,這根本就是一瞬間就輸給我了呢。為了成為卡片玩家拼命的修行，就這樣化為烏有了，被奶子給幹沒了呢❤。
イク？イっちゃうの？あはは、弱すぎてかわいい❤イクときにおちんちん、わたしのおっぱいの中にぎゅって突き入れていいよ❤,要射了？你要射了嗎？啊哈哈，你這副弱爆的模樣真的好可愛喔❤。小雞雞射精的時候，可以用力插進我的奶子中喔❤。
腰をぐって突き出しながらね、おっぱいの中に中出しするの❤そうやってお射精するときもちいいんだよー❤,腰用力拱起來，拼命內射到奶子間的最深處，這種射精一定超級爽的喔❤。
ほら。乳圧かけながらたぷたぷしてあげる❤イキそうになったら、腰動かして？わたしにエナジーちょうだい❤ぎゅー・・・❤,奶子緊緊壓你的同時彈動❤，如果想射的話就扭腰吧，那會讓你馬上射喔。把能量給我吧❤。
あひぃっ・・・❤あっ、ああぁ・・・❤,啊咿……！啊、啊啊……！
ふふ、よく出来ました❤ちゃんと言われたとおりに中出しできたね❤気持ちよかったでしょー❤,嗯哼哼，很好得射出來了呢❤。你有照我說的在奶子裡內射呢，的確很爽對吧？
すごい量。見てよ、ドロドロ・・・❤こんなにたくさん出して、あとどれぐらいエナジー持つのかなぁ❤,好驚人的量喔。你看，黏黏的一大堆……❤你射了這麼多，裡面不知道含有多少能量呢。
それじゃあさっそく、あなたが出した精液を吸収してっと・・・❤,那麼我就把你射出的精液給吸收進體內喔。
ほら、見て？おっぱいまたおっきくなっちゃった❤,你看。我奶子又變大了喔❤。
きみの顔よりもずっと大きいおっぱい・・・❤手で揉んでもぜんぜん掴み切れない、特盛サイズ・・・❤,這已經是遠比你的臉大、用手根本抓不住的、特大號奶子❤。
これだけ大きいと、逆に苦手って人もいるんだけど、そんな人も実際に挟まれたらみんな変わっちゃうの・・・。,不過變得這麼大以後，反而會覺得噁心的人也有就是了，不過夾下去以後那些人反應還是跟其他人一樣。
気持ちよすぎる、もっと挟んでぇって情けない声出して、わたしにたくさんおねだりするんだよ❤,因為太爽了，發出丟人的聲音求我繼續夾他呢，好好笑❤。
あは、聞いてたら自分もしてほしくなっちゃった？いくよ。えい・・・❤,啊哈，你聽我這樣說後也想被夾嗎？好啊。嘿呀❤。
うはぁ・・・❤なにこれぇ・・・。きもちいい・・・❤,嗚哇……！這是什麼感覺……。好爽喔……。
くすくす❤言うだけあるでしょ？腰からとろけちゃいそうかな？,嗯哼哼❤我說得沒錯吧？是不是感覺要從小雞雞開始融化了呢？
わたしのおっぱい、たっぷり育ててくれたお礼に、最後は最高に気持ちいいお射精させてあげるね❤,為了感謝你把我的奶子養到這麼大，我最後要給你最爽的射精當作謝禮。
この特大おっぱいで押しつぶしながら、だっぷんだっぷんって激しくパイズリするの❤おっぱいでおちんちんをもみくちゃにしちゃう・・・❤,就用這個特大號奶子壓爆你，同時狠狠彈動奶子揉你雞雞做最激烈的乳交。
いくよ。えい・・・❤,開始嘍。嘿呀❤。
あぐっ、ああああっ❤ああっ❤❤❤,啊咕！啊啊啊啊❤！啊啊啊❤❤❤！
腰をビクビクさせても逃げ場はないよ？どれだけおちんちんを動かしても、ぜーんぶおっぱいに包まれちゃうんだから❤,你腰再怎麼抖也躲不掉喔。不管你小雞雞想怎樣動，全部都在特大號奶子的壓迫範圍內❤
むしろ、あばれるだけおっぱいにおちんちんが押し付けられて、気持ちよくなっちゃうかも。,不如說，你越是掙扎就越是感受到壓迫感，反而會更舒服呢。
ほら、ほら、ほら・・・。激しくしてあげる❤頭まっしろになっちゃえ❤,你表情真的好可愛，我忍不住要揉更用力了❤！給我被幹到腦袋融化吧❤！
はぁっ、だめっ、こんなっ❤あぐうあっ・・・❤❤,哈、不行了、這種的❤！啊咕嗚啊哈……❤❤！
いままであなたが経験したことがない幸せな感覚でしょ？たぶんすぐにイっちゃうと思うけど・・・,這是你從未體驗過的幸福感對吧？雖然體驗到的瞬間馬上就射了就是……。
射精しても、死ぬまでたぷたぷしごき続けてあげる。何回も何回も谷間に中出しできるよ❤楽しみだよね？,但是就算你射精，我也會繼續揉壓你，直到你死為止。也就是說你可以無限在我的乳溝裡中出耶❤太爽了吧？
エナジー枯れて死んじゃうまでずーっと気持ちいいよ❤おっぱいのこと、もっともっと好きになっちゃうかも。,好好享受到能量枯竭為止吧。變得更加更加喜歡奶子吧。
そろそろとどめにしようか。パイズリをさらに早くしてっと・・・・❤,差不多該幹死你了。讓乳交的速度更快……。
ふふ、腰が跳ねたね。それじゃあ、上にあがってきた敏感な亀さんを、おっぱいでむぎゅー❤幸せいっぱいに押しつぶしてあげる❤,嗯哼哼，腰在跳動呢。那麼，我就重點壓在完全露出來的小龜龜上，讓他在幸福感中被壓壞❤。
あひぃっぁ❤あぅっ❤あああっ❤,啊咿❤！啊嗚嗚❤！啊啊啊❤！
亀頭をぎゅーってされるの気持ちいいねぇ❤ほらほら、先っちょを細かくズリズリ♪ズリズリ♪わたしに負けてよかったね❤,龜頭被壓爆好爽喔❤龜頭上的隙縫被擠壓爆好爽喔❤敗給特大號奶子好爽喔❤
