default
大剣の女剣士,巨劍女劍士
わたしを追い詰めるほどの実力があっても、乳を使われれば男はどうにもならない。目先の欲に負けて大事な試験の場であっても、勝負を投げ捨ててしまう。,就算有打敗我的實力，只要我使用胸部男人就完全無法抵抗。敗給眼前的慾望，最後在重要的考核中放棄對戰。
くすくす❤実に滑稽だな。ほら、ほら…❤パイズリの気持ちよさに酔いながら、さっさとイってしまえ❤,哼哼哼，真是可笑。怎麼了？掙扎看看啊。你已經完全沉迷在乳交的快感當中了，只能就這樣射精。
あっ、ああっ…❤もうだめっ…❤,啊、啊啊……不行了……。
耐える必要などない。最後はひときわ大きく体を揺さぶってやる。ほら、イケ❤,你沒有必要忍耐。最後我送你一個特別激烈的搖動。來了，給我射。
ふふ、すごい量の精液だ。谷間の中から溢れてきている…❤,哼哼哼，好驚人的精液量。從我的乳溝中滿出來了……。
どれだけ出すんだこのおっぱいマゾめ。よほど気持ちよかったようだな。ククク❤,你這胸控變態到底想射多少出來啊。能夠爽到真是太好了呢，哼哼哼。
ぐぬぬ…。このままではまずいな。,可惡……。這樣子下去要輸了。
かくなるうえは、えいっ…！,既然這樣，那我……！
ふふ、お前の頭を捕まえたぞ。このまま胸の谷間に押し付けて、天国に送ってやる。,哼哼，抓住你的頭了。我把它壓進入我乳溝，然後送你上天堂。
もがくなよ。谷間の中は最高に気持ちいいぞ？,別掙扎，這乳溝是最舒服的地方。
くっ、ダメか。あと一押しだったのに…。,嗚，不行嗎。明明差一點就要成功了……。
ククク。快楽を目の前にして逃げられないようだな。理性が弱いやつだ。,哼哼哼。只要把快感送到你面前就讓你無法逃走了。理性還真是脆弱啊。
さあ、天国を味わえ。愚か者め❤,好了，送你上天堂吧。你這胸控變態。
あふぅっ…❤,啊嗚嗚……。
ぱふぱふ、ぱふぱふ…❤谷間の感触はどうだ？両側から柔らかいものに顔面を押しつぶされて、なかなかに極楽だろう？,乳溝的感覺如何？臉頰兩側都被柔軟的東西壓迫，簡直是極樂天堂對吧？
お前が味方を裏切ってまで堪能したかったおっぱいだ。たっぷりと楽しんでいいんだぞ。,這可是你背叛同伴才能享受到的奶子喔。好好享受一番吧。
はうっ、さいこうぅっ…❤,哈嗚嗚，太棒了……。
ククク、仲間を捨てておっぱいに挟まるのが最高とはな。とんだ最低野郎だよ、お前は。,哼哼哼，拋棄同伴給胸部夾讓你感覺太棒了？你真是最差勁的男人耶。
ほらほら、最低なお前の脳みそをわたしのおっぱいでもっとダメにしてやろう。ぱふぱふ、ぱふぱふ❤,那麼我繼續用胸部把你這個最差勁的男人的腦袋給搞壞。呵呵呵，你的臉又被壓迫了，又是太棒了對不對？
どうした？触られてもいないのに、もしかして射精してしまうのか？,怎麼了？我明明沒碰你那根卻要射精了？
ククク、いくら限界近く興奮していたとはいえ、ずいぶん情けない最後だな。,哼哼哼，就算是興奮到頂點，也是非常悲慘的死法呢。
少しは耐えろ？ぱふぱふなんかで射精してはみっともないぞ。ほら、ぱふぱふ❤ぱふぱふ❤,稍微忍耐如何？畢竟被女人用胸部幹臉後射精真是太難看了。這是讓你射的埋胸，哼哼哼。
はぅううっ…❤でるっ…❤,哈嗚嗚……射了……。
あはは、本当に顔を挟まれただけで射精したぞ。こんなにドロドロ出して、よほど気持ちよかったらしい❤,啊哈哈哈，真的只有被用胸部夾臉就射精了。射出這麼多黏稠的東西，看來是真的很舒服呢。
最高のとろけ顔だな。もっと乳の間に挟まっていたかったか？残念、もう戦えないお前にはぱふぱふも終わりだ。,真是很驚人的發情臉呢。還想繼續被胸部夾嗎？但是很遺憾，你已經不能戰鬥了，所以你的埋胸機會也結束了。
実力が上でも快楽に勝てなければ結局は意味がない。骨抜きにされてよくわかっただろう？ククク❤,就算實力比我強但只要無法打敗快感就沒有意義。你爽成這樣已經已經徹底理解了吧？哼哼哼。
気持ちよかったか？何度でも挑んでくるといい。オナニーで負けてしまうような男に、負ける気はしないがな。,夠舒服嗎？隨時等你再挑戰。我不會輸給一個會敗北自慰的男人。
まったくお前の出した精液で、谷間がべとべとだ。ベルトで締め付けながらのパイズリ、たまらなかったようだな。ククク❤,真是的，你射出的精液把我乳溝弄得好髒阿。被皮帶緊勒的乳交讓你爽到受不了對吧。哼哼哼。
あと一歩で勝てたというのに。最後に誘惑されてぱふぱふなんかでとどめを刺されるとは。滑稽な終わり方だな❤ククク❤,明明你只差一點就要贏了呢。最後敗給誘惑被我用埋胸反殺。真是悲慘的死法呢，哼哼哼。
昇格試験を受け、試験官が使う女性モンスターに敗れた僕は、体を動かせなくなり床に膝をついていた。,進行升階考核的我，最後敗給考官的女性怪獸，身體無法動彈得跪倒在地上。
ふむ。この程度か。,哼。也就如此啊。
初めての試験だというのに自らオナニーをして負けるとは。ふふ、恥ずかしいやつだな。,竟然在自己的第一次考核中自慰敗北。真是不知羞恥的傢伙。
顔を胸に押しつぶされて、気持ちよかったか？試験を不合格にしてまで味わいたかったぱふぱふだ。最高だっただろう？,臉被胸部壓迫很爽是吧？那可是讓你無法通過考核的埋胸呢。想必你一定非常享受呢。
胸で挟んでこすってやれば、すぐに射精する。所詮は新人マスター、まだまだ修行が足りないようだな。ククク❤,被人用胸部夾就馬上射了？畢竟是一個新人玩家，修行還不夠呢，哼哼哼。
さて、このあとは軽く搾らせてもらおうか。再挑戦に支障が出ない程度にしてやる。,好了，我再稍微榨一下你。不過不會影響你再次挑戰的。
エナジーを吸われて喜んでいるようでは上のランクには到底行けぬが…、まあせいぜい楽しむといい❤,如果被吸能量會高興的話你是不可能升階的……，不過你現在享受就好了。
はううっ…❤,哈嗚嗚……❤。
どうだ？軽く揺らしているだけなのに、ベルトのおかげか中々に気持ちいいだろう？,怎麼樣？我只是輕輕搖一下，但是因為皮帶的關係讓在裡面的你很舒服對吧？
乳圧だけを使ったノーハンドパイズリ。こんな行為でエナジーを吐き出すのだから男とは面白い生き物だ。,這是只靠乳房壓力達成的無手乳交。能被這種性行為榨出能量，男人還真是很好笑的生物呢。
お前もそうだ。すっかりとろけ顔をさらしている。ククク❤どれだけ我慢できるかな？,你也是。已經一臉發情的樣子。哼哼哼，你能撐到什麼時候呢？
あうっ、うっ…❤,啊嗚、嗚嗚……❤。
少しは耐えろよ？胸の中でこすられるぐらい、どうということはあるまい。,稍微忍耐一下啊。只不過是被人放到胸部中摩擦，這沒什麼大不小的吧。
別に我慢などしなくてもいいが、あまりすぐに出すようでは、早漏すぎてみっともないというものだ。,不過不忍耐也不會怎麼樣，只是如果太快射的話就會被人當作早洩很丟臉而已。
ん、亀頭が膨れてきている。玉袋もきゅっと上がってきているな。この感じもしかして…。,嗯，感覺到龜頭膨脹起來了。陰囊也緊繃起來。這種感覺，該不會……。
ククク、なんだもうイきそうなのか？,哼哼哼，你已經要射了是吧？
なら、さっさとイクといい。体の動きを早くしてやろう。まったくこらえ性の無い男め。,那你就馬上射吧。我也會加快移動速度。幹死你這個沒耐力的男人。
あひぃっ、あっ、ダメっ…❤もう出るっ…❤,啊咿、啊、不行……❤，要出來了……❤。
はううぅ…❤,哈嗚嗚嗚……❤。
谷間がお前の出した精液でドロドロだ。元気がいいのはいいが、2回目なのに出しすぎじゃないのか？ククク❤,我乳溝都被你射的精液給填滿了。有體力是很好，但你都第二次了還射這麼多？哼哼哼。
さっき戦闘中にイったばかりなのに、すぐに勃起し、すぐに射精❤よほど女の胸に弱いらしいな。,剛剛戰鬥才射一次。還馬上勃起、馬上射精，你是對女性胸部有多沒抵抗力啊？
まあいい。これで終わりだ。あまり搾り取ると今後に差しつかえる。,算了。就這樣結束吧。在榨下去會對你身體造成影響。
せいぜい修行に励んで、Eランクぐらいにはなってみせろ。次の挑戦を楽しみにしているぞ。,接下來好好修行，升到Ｅ階給我看。我期待你下次挑戰。
こうして僕は、しばらく休ませてもらってから、試験会場を後にしたのだった。,就這樣我在短暫休息後離開了考核會場。
無視してとどめを刺した,無視並擊倒她
無抵抗になってしまった,完全不抵抗她
彼女を振り払った,甩開她的身體
