default
酔いどれバニー,飲酒兔女郎
やん❤脚にどぷどぷかかってる❤\nくすくす❤おっぱいでお酒飲まされて射精しちゃったんだ～❤,やん❤脚にどぷどぷかかってる❤\nくすくす❤おっぱいでお酒飲まされて射精しちゃったんだ～❤
体が火照って、そこにお姉さんのおっぱいの気持ちよさも加わって、\nわけわかんなくなっちゃった？\nかわいいのね、マスターくん❤,体が火照って、そこにお姉さんのおっぱいの気持ちよさも加わって、\nわけわかんなくなっちゃった？\nかわいいのね、マスターくん❤
ハロー。わたしおっぱい大きいでしょ？\nこれで今からあなたのチンポ、気持ちよくしてあげる❤,ハロー。わたしおっぱい大きいでしょ？\nこれで今からあなたのチンポ、気持ちよくしてあげる❤
服を着たまま下からチンポを入れちゃえば、\nほら、すごい締め付けでしょ？\n張りのあるおっぱいを激しくゆさぶって、すぐ天国に送ってあげるわ❤,服を着たまま下からチンポを入れちゃえば、\nほら、すごい締め付けでしょ？\n張りのあるおっぱいを激しくゆさぶって、すぐ天国に送ってあげるわ❤
ほら、服をひっぱって隙間をあけてあげるから、\n下からあなたのチンポ、入れちゃいなさい？,ほら、服をひっぱって隙間をあけてあげるから、\n下からあなたのチンポ、入れちゃいなさい？
挟んだあとは、楽しい楽しいシェイクタイム❤\n上下にゆさゆさ、左右交互にずりずり❤\nイっちゃうまでたっぷり楽しませてあげる❤,挟んだあとは、楽しい楽しいシェイクタイム❤\n上下にゆさゆさ、左右交互にずりずり❤\nイっちゃうまでたっぷり楽しませてあげる❤
んふ❤\nおっぱいフェチのあなたは、挟またら身動き取れなくなっちゃうみたいね❤,んふ❤\nおっぱいフェチのあなたは、挟またら身動き取れなくなっちゃうみたいね❤
チンポもみくちゃにされて、気持ちよさで腰砕けかしら？\nいいわよ、わたしからのサービス、存分に楽しんでいきなさい❤,チンポもみくちゃにされて、気持ちよさで腰砕けかしら？\nいいわよ、わたしからのサービス、存分に楽しんでいきなさい❤
いやん❤戦いなんてやめましょ？\nそんなことより、おっぱいで楽しんだ方が絶対に得よ❤,いやん❤戦いなんてやめましょ？\nそんなことより、おっぱいで楽しんだ方が絶対に得よ❤
こうやって体をゆさぶったら、\nほら、おっぱいがばるんばるんって\nとってもエッチでしょ？,こうやって体をゆさぶったら、\nほら、おっぱいがばるんばるんって\nとってもエッチでしょ？
この上下の動きであなたのチンポ、気持ちよーく抜いてあげる❤\nだから暴れちゃいやよ❤えい❤,この上下の動きであなたのチンポ、気持ちよーく抜いてあげる❤\nだから暴れちゃいやよ❤えい❤
ねえ、わたしにチップちょうだい？\nほら、おっぱいでドリンク飲ませてあげるから～❤,ねえ、わたしにチップちょうだい？\nほら、おっぱいでドリンク飲ませてあげるから～❤
んふ、沢山飲んでいいわよ❤\nおっぱいのあまーい匂いに囲まれながら飲むお酒は、とってもおいしいの❤,んふ、沢山飲んでいいわよ❤\nおっぱいのあまーい匂いに囲まれながら飲むお酒は、とってもおいしいの❤
メロメロになるまで、たくさんぱふぱふして\n頭のなかまっしろにしてあげる❤,メロメロになるまで、たくさんぱふぱふして\n頭のなかまっしろにしてあげる❤
あは、自分から気持ちよくしてくださいって頼み込んじゃうんだ❤\nわたしのセクシーな格好見てたら、我慢できなくなちゃったのかしら。,あは、自分から気持ちよくしてくださいって頼み込んじゃうんだ❤\nわたしのセクシーな格好見てたら、我慢できなくなちゃったのかしら。
いいわよ、エッチなぼうやくん❤\nおねえさんがおっぱいを使って、\nあなたにたっぷりサービスしてあげる❤,いいわよ、エッチなぼうやくん❤\nおねえさんがおっぱいを使って、\nあなたにたっぷりサービスしてあげる❤
あは❤なになに？\nもしかしてチンポ射精しちゃった？,あは❤なになに？\nもしかしてチンポ射精しちゃった？
ぱふぱふされて気持ちよくなって\nわたしのお腹にへこへこ～って勝手にこすりつけて、\nエナジー出しちゃったんだ❤,ぱふぱふされて気持ちよくなって\nわたしのお腹にへこへこ～って勝手にこすりつけて、\nエナジー出しちゃったんだ❤
くすくす❤頭の中まっしろにされて\nみっともない負け方しちゃったね❤,くすくす❤頭の中まっしろにされて\nみっともない負け方しちゃったね❤
あはん❤おっぱいでズリズリしたら、\nすごい勢いで出しちゃったわね❤\nどぴゅどぴゅーって噴水みたい❤,あはん❤おっぱいでズリズリしたら、\nすごい勢いで出しちゃったわね❤\nどぴゅどぴゅーって噴水みたい❤
わたしのパイズリテク、なかなかのものだったでしょ？\nとろけ顔しちゃって、かわいい～❤くすくす❤,わたしのパイズリテク、なかなかのものだったでしょ？\nとろけ顔しちゃって、かわいい～❤くすくす❤
うっ、ううっ・・・❤,うっ、ううっ・・・❤
わーお♪あなたには谷間でのお酌は刺激が強すぎたのかしら❤\nお酒でふらふらになりながら、\nわたしの前でシコシコ始めちゃった❤,わーお♪あなたには谷間でのお酌は刺激が強すぎたのかしら❤\nお酒でふらふらになりながら、\nわたしの前でシコシコ始めちゃった❤
顔に押し付けられたおっぱいの感触、忘れられなかった？\nほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤,顔に押し付けられたおっぱいの感触、忘れられなかった？\nほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤
わーお♪わたしのおっぱいを見て一生懸命しごいてる❤\nバニーガールの格好は男の子には刺激が強かったかしら❤,わーお♪わたしのおっぱいを見て一生懸命しごいてる❤\nバニーガールの格好は男の子には刺激が強かったかしら❤
ほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤,ほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤
あううっ、谷間えろすぎるぅ・・・❤,あううっ、谷間えろすぎるぅ・・・❤
うふふ❤これはお客さんに飲み物を運ぶときの悩殺ポーズなの❤\nテーブルにグラスを置く時、\nわざとらしく前かがみでだぶん♪,うふふ❤これはお客さんに飲み物を運ぶときの悩殺ポーズなの❤\nテーブルにグラスを置く時、\nわざとらしく前かがみでだぶん♪
おっぱいを揺らして、\n谷間もがっつり相手に見せつけちゃうのよ❤,おっぱいを揺らして、\n谷間もがっつり相手に見せつけちゃうのよ❤
ギャンブルに勝ってる相手にはさらにサービスで、\n去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたりしてあげるの❤,ギャンブルに勝ってる相手にはさらにサービスで、\n去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたりしてあげるの❤
たったこれだけの挑発で、\n男の集中力はぼろぼろ♪\nエッチなことで脳みそいっぱいになって、ギャンブルも勝てなくなっちゃう。,たったこれだけの挑発で、\n男の集中力はぼろぼろ♪\nエッチなことで脳みそいっぱいになって、ギャンブルも勝てなくなっちゃう。
ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤,ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤
男ってほんと我慢ができないのね。\nくすくす❤,男ってほんと我慢ができないのね。\nくすくす❤
ふふ、笑われてシゴくの早くなっちゃった。\nそうそう、あなたみたいにマゾっ気のある人も多いの。,ふふ、笑われてシゴくの早くなっちゃった。\nそうそう、あなたみたいにマゾっ気のある人も多いの。
おっぱいで集中乱されて、\nそれでどんどんチップを奪われてるのに、\n奪われることに興奮しちゃう、ちょろーいお客様❤,おっぱいで集中乱されて、\nそれでどんどんチップを奪われてるのに、\n奪われることに興奮しちゃう、ちょろーいお客様❤
そんなお客様は、おっぱい見せなくても、\n横でくすくす笑ってあげるだけで\n簡単に思い通りになるのよ❤,そんなお客様は、おっぱい見せなくても、\n横でくすくす笑ってあげるだけで\n簡単に思い通りになるのよ❤
あなたもきっとそうね。\n谷間を両手で隠して、\nにやにやした顔で見ててあげるだけで、ほら、気持ちよくなっちゃう❤,あなたもきっとそうね。\n谷間を両手で隠して、\nにやにやした顔で見ててあげるだけで、ほら、気持ちよくなっちゃう❤
あっ、あっ、もう出るっ❤ううっ・・・❤,あっ、あっ、もう出るっ❤ううっ・・・❤
ぷっ、くすくす❤\nこのままほっといても射精しちゃうでしょうけど、\nわざわざ負けに来てくれたご褒美をあげる❤,ぷっ、くすくす❤\nこのままほっといても射精しちゃうでしょうけど、\nわざわざ負けに来てくれたご褒美をあげる❤
ほらぁ、顔のすぐそばにおっぱいを寄せて、\nはぁい、谷間の上の手をどけてあげるわ❤,ほらぁ、顔のすぐそばにおっぱいを寄せて、\nはぁい、谷間の上の手をどけてあげるわ❤
爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤,爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤
はぐぅぅ…❤おっぱいぃ…❤❤,はぐぅぅ…❤おっぱいぃ…❤❤
あん❤どぴゅどぴゅってすごい勢いで出してる❤\nおっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね❤,あん❤どぴゅどぴゅってすごい勢いで出してる❤\nおっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね❤
わたしの谷間サービスは満足いただけたかしら❤お客様❤\nチップをいっぱいくれるならまたいつでもしてあげるわよ。うふふ❤,わたしの谷間サービスは満足いただけたかしら❤お客様❤\nチップをいっぱいくれるならまたいつでもしてあげるわよ。うふふ❤
くすくす❤なぁに？\nあなたもわたしのおっぱいにメロメロになっちゃったの？\n谷間見ながら、しこしこ、しこしこ❤かっこわる～い❤,くすくす❤なぁに？\nあなたもわたしのおっぱいにメロメロになっちゃったの？\n谷間見ながら、しこしこ、しこしこ❤かっこわる～い❤
ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n勝負を捨てれたご褒美に、好きなだけ見なさい❤あはぁーん❤,ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n勝負を捨てれたご褒美に、好きなだけ見なさい❤あはぁーん❤
ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n仲間を裏切ったご褒美に、好きなだけ見なさい❤あはぁーん❤,ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n仲間を裏切ったご褒美に、好きなだけ見なさい❤あはぁーん❤
うふふ❤これはお客さんをお出迎えするときのポーズなの❤\nずらって出入り口に並んで、\nバニーガールみんなでいらっしゃいませのお辞儀❤,うふふ❤これはお客さんをお出迎えするときのポーズなの❤\nずらって出入り口に並んで、\nバニーガールみんなでいらっしゃいませのお辞儀❤
今日は勝つぞーって気合入れてきたお客さんを、\n一発でエッチな思考に誘導しちゃうの❤\n巨乳がばるんっていっせいに揺れて、絶景なのよ。うふふふ❤,今日は勝つぞーって気合入れてきたお客さんを、\n一発でエッチな思考に誘導しちゃうの❤\n巨乳がばるんっていっせいに揺れて、絶景なのよ。うふふふ❤
それでも頑張って集中して、\nギャンブルに勝っちゃう困ったお客さんもいるわ。\nそんなときは追加のサービス♪,それでも頑張って集中して、\nギャンブルに勝っちゃう困ったお客さんもいるわ。\nそんなときは追加のサービス♪
去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたり、\n横でいっぱい「すご～い」ってささやいてあげるの❤,去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたり、\n横でいっぱい「すご～い」ってささやいてあげるの❤
たったこれだけの挑発で、\n男の集中力ってぼろぼろになっちゃうの❤\nエッチなことで脳みそいっぱいになって、全然勝てなくなっちゃう。,たったこれだけの挑発で、\n男の集中力ってぼろぼろになっちゃうの❤\nエッチなことで脳みそいっぱいになって、全然勝てなくなっちゃう。
ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤くすくす❤,ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤くすくす❤
ふふ、今の話聞いて、シゴくの早くなっちゃった。\n手の平で踊らされるの想像して興奮しちゃった？\nそうそう、あなたみたいにマゾっ気のある人も多いの。,ふふ、今の話聞いて、シゴくの早くなっちゃった。\n手の平で踊らされるの想像して興奮しちゃった？\nそうそう、あなたみたいにマゾっ気のある人も多いの。
さっきの人もそうだったわね。\n谷間を見えないようにされて、ただ見下されてるだけなのに、\nしこしこ、しこしこ、全然やめられない❤,さっきの人もそうだったわね。\n谷間を見えないようにされて、ただ見下されてるだけなのに、\nしこしこ、しこしこ、全然やめられない❤
あなたはどう？しこしこするのやめられる？\nほらぁ、わたしにすっごく馬鹿にされてるよ？\nあ～ん、かっこわるーい❤おっぱいに負けて、理性よわーい❤,あなたはどう？しこしこするのやめられる？\nほらぁ、わたしにすっごく馬鹿にされてるよ？\nあ～ん、かっこわるーい❤おっぱいに負けて、理性よわーい❤
ぷっ、くすくす❤\n逆にしごくの早くなっちゃうわね❤\n分かってる分かってる、マゾってみんなそうだもの❤,ぷっ、くすくす❤\n逆にしごくの早くなっちゃうわね❤\n分かってる分かってる、マゾってみんなそうだもの❤
えろぉい格好した女の子には逆らえない❤\n理性がよわくて、とってもちょろーい雑魚男❤\nそれがマゾだものねー❤くすくす❤,えろぉい格好した女の子には逆らえない❤\n理性がよわくて、とってもちょろーい雑魚男❤\nそれがマゾだものねー❤くすくす❤
ふふ、このままほっといても射精しちゃうでしょうけど、\nあなたにもちゃんと、\nわざわざ負けに来てくれたご褒美をあげる❤,ふふ、このままほっといても射精しちゃうでしょうけど、\nあなたにもちゃんと、\nわざわざ負けに来てくれたご褒美をあげる❤
これが見たかったんでしょ？\n顔のすぐそばにおっぱいを寄せて、\nはぁい、空中でぱふぱふぱふ～❤,これが見たかったんでしょ？\n顔のすぐそばにおっぱいを寄せて、\nはぁい、空中でぱふぱふぱふ～❤
顔に触れるギリギリのところでエアぱふぱふ❤\n爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤,顔に触れるギリギリのところでエアぱふぱふ❤\n爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤
うふふ❤どぴゅどぴゅってすごい勢いで出してる❤,うふふ❤どぴゅどぴゅってすごい勢いで出してる❤
おっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね。\nおいしいエナジーをありがと、マゾ男くん❤,おっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね。\nおいしいエナジーをありがと、マゾ男くん❤
やぁん、お客さんはげしい❤\nそんなに乱暴にされたら、\nわたしこわれちゃう❤,やぁん、お客さんはげしい❤\nそんなに乱暴にされたら、\nわたしこわれちゃう❤
あん❤ああぁん❤やめてぇ❤\nパンパンってされたら、\nわたしイっちゃう～❤,あん❤ああぁん❤やめてぇ❤\nパンパンってされたら、\nわたしイっちゃう～❤
え？そんな声を出すなって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤,え？そんな声を出すなって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤
やられかけなのは本当だし、\nあとちょっと攻撃されたら、\nわたし実体を保てなくなっちゃうわ。,やられかけなのは本当だし、\nあとちょっと攻撃されたら、\nわたし実体を保てなくなっちゃうわ。
だからほらぁ、\nお姉さんのおっぱいに、あなたのチンポ、\n入れてみない？,だからほらぁ、\nお姉さんのおっぱいに、あなたのチンポ、\n入れてみない？
パンパン、パンパンって勢いよく叩きつければ、\nわたしにダメージが入って、\nきっとわたしのこと倒せるわよ❤,パンパン、パンパンって勢いよく叩きつければ、\nわたしにダメージが入って、\nきっとわたしのこと倒せるわよ❤
あはぁん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤,あはぁん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤
お客さんのチンポ、この谷間に入れられたら、わたしやられちゃう～❤\nあ～ん、ガチガチのチンポこわ～い❤,お客さんのチンポ、この谷間に入れられたら、わたしやられちゃう～❤\nあ～ん、ガチガチのチンポこわ～い❤
くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃう❤\n膝立ちしてお迎えしてあげる❤ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤,くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃう❤\n膝立ちしてお迎えしてあげる❤ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤
悪いおねえさんをチンポで退治してぇ❤うふ～ん❤,悪いおねえさんをチンポで退治してぇ❤うふ～ん❤
きゃうん！ううっ、気持ちいいことしちゃえばいいのに…。,きゃうん！ううっ、気持ちいいことしちゃえばいいのに…。
あ、ああ・・・❤倒す・・・❤そう倒すためだから・・・❤,あ、ああ・・・❤倒す・・・❤そう倒すためだから・・・❤
くすくす❤おっぱいまでいらっしゃーい❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤,くすくす❤おっぱいまでいらっしゃーい❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤
準備はできた？いいわよ、腰をぎゅって前に出して…❤\nあはぁん❤ずぷずぷって谷間に入ってくるぅ❤\nあぁん、このままじゃやられちゃーう❤,準備はできた？いいわよ、腰をぎゅって前に出して…❤\nあはぁん❤ずぷずぷって谷間に入ってくるぅ❤\nあぁん、このままじゃやられちゃーう❤
あ、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤,あ、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤
くすくす❤ほらぁ喘ぎ声出してあげるねー❤\nあん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しい～❤かっこいい～❤あんあ～ん❤,くすくす❤ほらぁ喘ぎ声出してあげるねー❤\nあん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しい～❤かっこいい～❤あんあ～ん❤
もっと腰を振ってぇ❤\nおねえさんやっつけて❤\nあ～ん❤わたしおかしくなっちゃう～❤,もっと腰を振ってぇ❤\nおねえさんやっつけて❤\nあ～ん❤わたしおかしくなっちゃう～❤
ぷっ、くすくす❤\nあ、ごめんなさい。あんまり間抜けな顔してるから笑っちゃって。\nあ～ん❤おっぱいやられちゃう～❤くすくすくす❤,ぷっ、くすくす❤\nあ、ごめんなさい。あんまり間抜けな顔してるから笑っちゃって。\nあ～ん❤おっぱいやられちゃう～❤くすくすくす❤
うぐ、このっ❤❤ああっ❤,うぐ、このっ❤❤ああっ❤
ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とってもやわらかいものね❤,ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とってもやわらかいものね❤
とろとろでふわふわで、\nチンポにぴっとり吸い付いてきて、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤,とろとろでふわふわで、\nチンポにぴっとり吸い付いてきて、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤
あなたがどぴゅってしたら、\nせっかく追い詰めたのも台無し。\n体力回復させちゃうから、我慢しないとダメなのよ？,あなたがどぴゅってしたら、\nせっかく追い詰めたのも台無し。\n体力回復させちゃうから、我慢しないとダメなのよ？
ほらぁ、チンポ射精こらえて、\n激しく腰を振ってぇ❤\nあん❤あん❤あん♪かっこいい腰振りでわたしを倒してぇ～❤,ほらぁ、チンポ射精こらえて、\n激しく腰を振ってぇ❤\nあん❤あん❤あん♪かっこいい腰振りでわたしを倒してぇ～❤
うぁぁ…❤あひぃ…❤も、もうむりぃ・・・❤,うぁぁ…❤あひぃ…❤も、もうむりぃ・・・❤
それじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤,それじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤
まんこでチンポを締め付けるみたいに、\nおっぱいの谷間で、チンポをむぎゅむぎゅ～❤,まんこでチンポを締め付けるみたいに、\nおっぱいの谷間で、チンポをむぎゅむぎゅ～❤
あはーん❤ほら、出す瞬間に思いっきり腰を突き出して❤\n一番奥でぜーんぶ出してぇ❤,あはーん❤ほら、出す瞬間に思いっきり腰を突き出して❤\n一番奥でぜーんぶ出してぇ❤
あひぃっ・・❤❤,あひぃっ・・❤❤
あん❤すごーい、谷間の上から噴き出るぐらい、\nたくさん出てる❤\nエナジーおいしい～❤,あん❤すごーい、谷間の上から噴き出るぐらい、\nたくさん出てる❤\nエナジーおいしい～❤
ぷっ、くすくす❤おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ちにされちゃったわね❤おばかさん❤,ぷっ、くすくす❤おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ちにされちゃったわね❤おばかさん❤
え？同じ手は食わないって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤,え？同じ手は食わないって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤
だからほらぁ、\nお姉さんのおっぱいに、あなたも自分のチンポ、\n入れてみない？,だからほらぁ、\nお姉さんのおっぱいに、あなたも自分のチンポ、\n入れてみない？
さっきの人は早漏だったからわたしを倒せなかっただけ。\nあなたのかっこいい～チンポなら、\nよわいバニーのおねえさんなんて簡単に倒せちゃう❤,さっきの人は早漏だったからわたしを倒せなかっただけ。\nあなたのかっこいい～チンポなら、\nよわいバニーのおねえさんなんて簡単に倒せちゃう❤
あはぁ～ん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤,あはぁ～ん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤
くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃうわね❤\n膝立ちしてお迎えしてあげる、ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤,くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃうわね❤\n膝立ちしてお迎えしてあげる、ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤
きゃ、同じ手は食わないって？\n待って待って、それならほら・・・❤,きゃ、同じ手は食わないって？\n待って待って、それならほら・・・❤
あはぁん❤ぜーんぶ脱いじゃった❤,あはぁん❤ぜーんぶ脱いじゃった❤
わたしのおっぱい見てぇ❤\nとってもエロいでしょ？\nほらぁ、ゆさゆさゆさってパイズリするみたいに揺らしてあげる❤,わたしのおっぱい見てぇ❤\nとってもエロいでしょ？\nほらぁ、ゆさゆさゆさってパイズリするみたいに揺らしてあげる❤
ここにチンポ入れてぇ❤\nわたしのこと、いっぱいズポズポしてぇ❤\nあ～ん❤,ここにチンポ入れてぇ❤\nわたしのこと、いっぱいズポズポしてぇ❤\nあ～ん❤
くすくす❤{命乞い回数}人目のお客様ぁ、おっぱいまでようこそ～❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤,くすくす❤{命乞い回数}人目のお客様ぁ、おっぱいまでようこそ～❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤
あん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しくて\nチンポきもちよさそー❤,あん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しくて\nチンポきもちよさそー❤
ぷっ、くすくす❤何人もおっぱいにふらふら誘われて、\nまるで光に集まる蛾みたい…♪,ぷっ、くすくす❤何人もおっぱいにふらふら誘われて、\nまるで光に集まる蛾みたい…♪
あ～ん❤虫にたとえちゃってごめんなさい。\n挟んだままゆさゆさしてあげるから許してぇ～❤,あ～ん❤虫にたとえちゃってごめんなさい。\n挟んだままゆさゆさしてあげるから許してぇ～❤
ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とっても気持ちいいものね❤,ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とっても気持ちいいものね❤
やわらかいのに張りがあって、\nチンポをむぎゅむぎゅって圧迫して、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤,やわらかいのに張りがあって、\nチンポをむぎゅむぎゅって圧迫して、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤
くす、無理なんだ～。なさけなーい❤\nそれじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤,くす、無理なんだ～。なさけなーい❤\nそれじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤
あはーん❤ほら、出す瞬間に思いっきり腰を突き出すの❤\n一番奥でぜーんぶ出してぇ❤,あはーん❤ほら、出す瞬間に思いっきり腰を突き出すの❤\n一番奥でぜーんぶ出してぇ❤
