default
ミニキノコズ,迷你蘑菇群
いっぱいなめてほしいの？\nいいよー、がんばってぺろぺろするねー❤,いっぱいなめてほしいの？\nいいよー、がんばってぺろぺろするねー❤
きゃ、いっぱい出たぁ❤,きゃ、いっぱい出たぁ❤
足できもちよくなっちゃったねー❤\nおちんちんたくさんふみふみされて、\nしあわせそうなかお～❤,足できもちよくなっちゃったねー❤\nおちんちんたくさんふみふみされて、\nしあわせそうなかお～❤
んふ❤ちゅうぅっぱ❤\nんーおいしー❤,んふ❤ちゅうぅっぱ❤\nんーおいしー❤
おちんちんぺろぺろされて、\n,おちんちんぺろぺろされて、\n
ううっ…❤我慢できない…❤,ううっ…❤我慢できない…❤
あれあれ～❤\nこのひと、自分でしこしこ始めちゃったよ？,あれあれ～❤\nこのひと、自分でしこしこ始めちゃったよ？
ほんとだー❤\nおちんちん触ってる～❤\n戦うのはやめちゃうのかな～❤,ほんとだー❤\nおちんちん触ってる～❤\n戦うのはやめちゃうのかな～❤
わたしたちにふみふみされて、\nおちんちん我慢できなくなっちゃった？,わたしたちにふみふみされて、\nおちんちん我慢できなくなっちゃった？
あっちこっちふみふみされて\nよっぽどきもちよかったんだねー❤\nくすくす❤,あっちこっちふみふみされて\nよっぽどきもちよかったんだねー❤\nくすくす❤
わたしたちにぺろぺろされて、\nおちんちん我慢できなくなっちゃった？,わたしたちにぺろぺろされて、\nおちんちん我慢できなくなっちゃった？
さきっぽもたまたまも、\nいっぱいなめてあげたもんね❤\nしこしこ気持ちよさそー❤,さきっぽもたまたまも、\nいっぱいなめてあげたもんね❤\nしこしこ気持ちよさそー❤
うぐっ、ううっ❤,うぐっ、ううっ❤
どうしよっか。なにかおにいさんにしてあげる？,どうしよっか。なにかおにいさんにしてあげる？
べつにいいんじゃない？\nほらぁ、わたしたちがおちんちん見ててあげるだけで気持ちよさそうだよ？,べつにいいんじゃない？\nほらぁ、わたしたちがおちんちん見ててあげるだけで気持ちよさそうだよ？
ほんとだー❤\nじーって見てあげたら、しこしこ早くなってるー❤,ほんとだー❤\nじーって見てあげたら、しこしこ早くなってるー❤
あ、おつゆが出てきたよ❤\nくすくす❤おなにーもう終わるの？\nおにいさん、はやいんだねー❤,あ、おつゆが出てきたよ❤\nくすくす❤おなにーもう終わるの？\nおにいさん、はやいんだねー❤
ねーねー、イクときにみんなでふぅーってしてあげよ？,ねーねー、イクときにみんなでふぅーってしてあげよ？
それいいね～❤あ、もう出しちゃいそう。\nほら、顔を近づけて・・・❤,それいいね～❤あ、もう出しちゃいそう。\nほら、顔を近づけて・・・❤
おちんちんさん、出していいよー❤\nふぅーーー❤,おちんちんさん、出していいよー❤\nふぅーーー❤
あっ、ああっ、だめっ❤あひぃっ❤,あっ、ああっ、だめっ❤あひぃっ❤
はぅぅっ…❤,はぅぅっ…❤
あはっ、すごい出てるよ❤\n噴水みたいに、びゅー、びゅー❤\nきゃはは♪,あはっ、すごい出てるよ❤\n噴水みたいに、びゅー、びゅー❤\nきゃはは♪
ふぅーってしたら、すっごくびくびしてたねー❤\nおもしろーい❤,ふぅーってしたら、すっごくびくびしてたねー❤\nおもしろーい❤
あれあれ～❤\nおにいさんも、自分でしこしこしちゃうの？,あれあれ～❤\nおにいさんも、自分でしこしこしちゃうの？
どうしよっか。\nさっきみたいにこのおにいさんにも、ふぅーってしてあげる？,どうしよっか。\nさっきみたいにこのおにいさんにも、ふぅーってしてあげる？
そうだねー❤さっきふぅーってしたときも\nおもしろかったもんねー❤,そうだねー❤さっきふぅーってしたときも\nおもしろかったもんねー❤
あれあれー？\nふぅーしてあげようかって話してたら、\nしこしこ早くなったよー❤,あれあれー？\nふぅーしてあげようかって話してたら、\nしこしこ早くなったよー❤
くすくす❤\nやってもらえるのが楽しみで、\nおちんちんどんどん気持ちよくなっちゃうんだ❤,くすくす❤\nやってもらえるのが楽しみで、\nおちんちんどんどん気持ちよくなっちゃうんだ❤
もう出ちゃいそうだね❤\nおちんちんビクンってふるえてる❤,もう出ちゃいそうだね❤\nおちんちんビクンってふるえてる❤
さっきの人より早いんじゃない？\nほら、顔を近づけて・・・❤,さっきの人より早いんじゃない？\nほら、顔を近づけて・・・❤
みんなふぅーってするだけで出しちゃうね❤\nあは、出したあと体がびくんびくんってしてる～♪\nおもしろーい❤,みんなふぅーってするだけで出しちゃうね❤\nあは、出したあと体がびくんびくんってしてる～♪\nおもしろーい❤
あううっ、このおにいさん、つよぉい・・・。,あううっ、このおにいさん、つよぉい・・・。
どうしよう、負けちゃうよ？ピンチだよ？,どうしよう、負けちゃうよ？ピンチだよ？
おにいさぁん、攻撃やめてぇ・・・。\n代わりにいっぱいぺろぺろしてあげるからぁ・・・❤,おにいさぁん、攻撃やめてぇ・・・。\n代わりにいっぱいぺろぺろしてあげるからぁ・・・❤
見てぇ、おにいさん。わたしたちのベロ。\nちっちゃいけど、ほら、ちろちろちろって動いて、\nとってもかわいいよね。,見てぇ、おにいさん。わたしたちのベロ。\nちっちゃいけど、ほら、ちろちろちろって動いて、\nとってもかわいいよね。
このベロで、おにいさんのおちんちんを\nれろれろれろ❤ってなめてあげるよ？,このベロで、おにいさんのおちんちんを\nれろれろれろ❤ってなめてあげるよ？
わたしはおにいさんの乳首をなめてあげる・・❤\nちろちろなめられたら、気持ちいいよ？,わたしはおにいさんの乳首をなめてあげる・・❤\nちろちろなめられたら、気持ちいいよ？
わたしはお口にちゅーってしてあげる…❤\n舌をお口の中にいれて、れろれろ～❤ってしてあげるの❤,わたしはお口にちゅーってしてあげる…❤\n舌をお口の中にいれて、れろれろ～❤ってしてあげるの❤
ねー、きもちよさそうだよねー…❤\nわたしたちにぺろぺろされよう？,ねー、きもちよさそうだよねー…❤\nわたしたちにぺろぺろされよう？
ほらぁ、ベロ見てぇ❤れろれろれろ～❤\nいじめるのはやめて、\nきもちよくなろー❤,ほらぁ、ベロ見てぇ❤れろれろれろ～❤\nいじめるのはやめて、\nきもちよくなろー❤
きゃあ。うぐぅう、おにいさんのいじわる・・・。,きゃあ。うぐぅう、おにいさんのいじわる・・・。
くすくす❤\nお口をじーっと見てる❤\nれろれろしてるの見て、エッチな気分になっちゃった？,くすくす❤\nお口をじーっと見てる❤\nれろれろしてるの見て、エッチな気分になっちゃった？
みてみてー❤\nおちんちんがビクンビクンってしてるよー❤\nほらぁ、舌をねー、なにか舐めるみたいにすると、ビクン❤,みてみてー❤\nおちんちんがビクンビクンってしてるよー❤\nほらぁ、舌をねー、なにか舐めるみたいにすると、ビクン❤
きゃはは❤ほんとだー❤\nはやくぺろぺろしてほしいのかなー❤\nおちんちんのそばで、れろれろれろ～♪,きゃはは❤ほんとだー❤\nはやくぺろぺろしてほしいのかなー❤\nおちんちんのそばで、れろれろれろ～♪
あっ、あっ、ああっ・・・❤❤,あっ、あっ、ああっ・・・❤❤
ぷぷっ、おもしろーい❤\nあんなにつよかったおにいさんなのに、\nこんな風になっちゃうんだー❤,ぷぷっ、おもしろーい❤\nあんなにつよかったおにいさんなのに、\nこんな風になっちゃうんだー❤
はやく回復したいから、\nそれじゃそろそろぺろぺろはじめるねー❤\nおちんちんに、んっ、れ～～❤,はやく回復したいから、\nそれじゃそろそろぺろぺろはじめるねー❤\nおちんちんに、んっ、れ～～❤
わたしもわたしも。\n乳首さんを舌でくるくるくる～❤\nれろれろ～❤,わたしもわたしも。\n乳首さんを舌でくるくるくる～❤\nれろれろ～❤
あひぃっ❤舌がっ❤ああっ❤,あひぃっ❤舌がっ❤ああっ❤
むぅ、二人ともずるいよー。\nわたしもお口をぺろぺろするー。\nむちゅ❤んーっ、れるれろ～❤,むぅ、二人ともずるいよー。\nわたしもお口をぺろぺろするー。\nむちゅ❤んーっ、れるれろ～❤
くすくす❤\nおちんちんも、乳首も、お口もぺろぺろされて、\nすっごく気持ちよくなっちゃうね❤,くすくす❤\nおちんちんも、乳首も、お口もぺろぺろされて、\nすっごく気持ちよくなっちゃうね❤
おちんちんのさきっぽをぺろぺろ～❤\nあはぁ、もうおつゆがでてきたー❤,おちんちんのさきっぽをぺろぺろ～❤\nあはぁ、もうおつゆがでてきたー❤
乳首もぷくってふくらんでるよ～❤\nれるれろ、ちゅーっぱ❤,乳首もぷくってふくらんでるよ～❤\nれるれろ、ちゅーっぱ❤
んちゅ❤んっ、んっ❤おくちもちゅーできてきもちいいねー❤\nわたしのよだれ甘い？あむっ、ちゅー❤えるれろ～❤,んちゅ❤んっ、んっ❤おくちもちゅーできてきもちいいねー❤\nわたしのよだれ甘い？あむっ、ちゅー❤えるれろ～❤
むぐっ❤んんっ❤あっ❤ああっ❤❤,むぐっ❤んんっ❤あっ❤ああっ❤❤
あはぁ、もうびゅーってしちゃいそうなの？\nおちんちんピーンってなってる❤,あはぁ、もうびゅーってしちゃいそうなの？\nおちんちんピーンってなってる❤
それじゃ、みんないっせいにれろれろれろ❤って早くなめてあげよ？,それじゃ、みんないっせいにれろれろれろ❤って早くなめてあげよ？
いいね～❤きっとびゅーってたくさん出しちゃうよ❤,いいね～❤きっとびゅーってたくさん出しちゃうよ❤
おにいさんもしてほしそうな顔してる～❤\nいいよ、せーの❤\nれろれろれろ～♪,おにいさんもしてほしそうな顔してる～❤\nいいよ、せーの❤\nれろれろれろ～♪
んぐっ、んんっ❤\nぷはぁ、たくさんでてきたー❤,んぐっ、んんっ❤\nぷはぁ、たくさんでてきたー❤
あは、乳首とおくちからも、\nエナジーをちゅー❤\nイクのに合わせていっぱい吸えるよ～♪,あは、乳首とおくちからも、\nエナジーをちゅー❤\nイクのに合わせていっぱい吸えるよ～♪
んふふ❤おいしいねー❤,んふふ❤おいしいねー❤
あぶなかったけど、\nぺろぺろしたおかげで回復できたね❤\nよかったー、おにいさんがベロによわくって♪くすくす❤,あぶなかったけど、\nぺろぺろしたおかげで回復できたね❤\nよかったー、おにいさんがベロによわくって♪くすくす❤
どうしよう、負けちゃうよ？またピンチだよ？,どうしよう、負けちゃうよ？またピンチだよ？
だいじょうぶ、こんどもぺろぺろしてあげれば\nきっとすぐびゅーってしちゃうよ❤,だいじょうぶ、こんどもぺろぺろしてあげれば\nきっとすぐびゅーってしちゃうよ❤
くすくす❤\nお口をじーっと見てる❤\nやっぱりこのおにいさんも\nベロに負けちゃうんだ❤,くすくす❤\nお口をじーっと見てる❤\nやっぱりこのおにいさんも\nベロに負けちゃうんだ❤
おちんちんがビクンビクンってしてるねー❤\nほらぁ、舌をねー、なにか舐めるみたいにすると、ビクン❤\n舌と一緒に動いちゃってる❤,おちんちんがビクンビクンってしてるねー❤\nほらぁ、舌をねー、なにか舐めるみたいにすると、ビクン❤\n舌と一緒に動いちゃってる❤
エナジーほしいしぃ、はやく始めよー。\nそれじゃそろそろぺろぺろしちゃうねー❤\nおちんちんに、んっ、れ～～❤,エナジーほしいしぃ、はやく始めよー。\nそれじゃそろそろぺろぺろしちゃうねー❤\nおちんちんに、んっ、れ～～❤
それじゃ、みんないっせいにれろれろれろ❤って早くなめてあげよっか❤,それじゃ、みんないっせいにれろれろれろ❤って早くなめてあげよっか❤
さっきの人もこれしてあげたら、\nすぐどぴゅーって出しちゃったんだよ❤\nきっとおにいさんもおんなじだねー❤,さっきの人もこれしてあげたら、\nすぐどぴゅーって出しちゃったんだよ❤\nきっとおにいさんもおんなじだねー❤
あん❤おちんちんビクンってさせておねだりしてる～❤\n早くしてほしいんだよね❤,あん❤おちんちんビクンってさせておねだりしてる～❤\n早くしてほしいんだよね❤
いいよ～、せーの❤\nれろれろれろ～♪,いいよ～、せーの❤\nれろれろれろ～♪
はぐっ❤あうっ❤あひぃ・・・❤,はぐっ❤あうっ❤あひぃ・・・❤
乳首とおくちからも、\nエナジーをちゅ～❤\nイクのに合わせていっぱい吸えるよ♪,乳首とおくちからも、\nエナジーをちゅ～❤\nイクのに合わせていっぱい吸えるよ♪
やっぱりみんなでぺろぺろしてあげれば、\nらくしょうだったねー❤\nおにいさんたち、みんなベロによわーい❤くすくす❤,やっぱりみんなでぺろぺろしてあげれば、\nらくしょうだったねー❤\nおにいさんたち、みんなベロによわーい❤くすくす❤
わたしたちに見下ろされながら、自分でしこしこ楽しかった？\nわたしたちから見ると、おにいさんすっごいかっこ悪かったよ♪\nくすくす❤,わたしたちに見下ろされながら、自分でしこしこ楽しかった？\nわたしたちから見ると、おにいさんすっごいかっこ悪かったよ♪\nくすくす❤
おちんちん踏まれて負けちゃったね❤\nわたしたちの足でこの後ももっともっといじめてあげる♪,おちんちん踏まれて負けちゃったね❤\nわたしたちの足でこの後ももっともっといじめてあげる♪
きゃん❤おくちのなかにいっぱい出てきたー❤\nおにいさんのエナジーおいしいー♪,きゃん❤おくちのなかにいっぱい出てきたー❤\nおにいさんのエナジーおいしいー♪
サキュバスが使うキノコのモンスターに敗れた僕は、体に力が入らず、地面に仰向けに横たわっていた。,サキュバスが使うキノコのモンスターに敗れた僕は、体に力が入らず、地面に仰向けに横たわっていた。
くすくす❤ちびちゃんたちに負けちゃうなんて、\n弱すぎ❤,くすくす❤ちびちゃんたちに負けちゃうなんて、\n弱すぎ❤
バトル前は楽勝だとか言ってたのにねー❤\nそれがこんな下級モンスターに負けちゃうなんて、恥ずかしくない？,バトル前は楽勝だとか言ってたのにねー❤\nそれがこんな下級モンスターに負けちゃうなんて、恥ずかしくない？
ちっちゃい子たちにいじめられて\nあひあひ喘いで射精しちゃったんだよ？きゃはは、かっこわるーい❤,ちっちゃい子たちにいじめられて\nあひあひ喘いで射精しちゃったんだよ？きゃはは、かっこわるーい❤
後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに息吹きかけられただけで\n射精しちゃうんだもん❤,後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに息吹きかけられただけで\n射精しちゃうんだもん❤
おちんちんめちゃくちゃよわいんだねー❤\nこのロリコ～ン♪\nぷっ、くすくす❤,おちんちんめちゃくちゃよわいんだねー❤\nこのロリコ～ン♪\nぷっ、くすくす❤
後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに囲まれて\nゲシゲシ踏まれたら簡単に出しちゃうんだもん❤,後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに囲まれて\nゲシゲシ踏まれたら簡単に出しちゃうんだもん❤
おちんちん踏んでもらえて気持ちよかった？\nちっちゃい子に負けられてよかったわねー❤\nこのロリコン♪ぷっ、くすくす❤,おちんちん踏んでもらえて気持ちよかった？\nちっちゃい子に負けられてよかったわねー❤\nこのロリコン♪ぷっ、くすくす❤
後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに囲まれて\n口で責められたら簡単に出しちゃうんだもん❤,後ろで仲間が戦ってるのにさ、\nちっちゃい子たちに囲まれて\n口で責められたら簡単に出しちゃうんだもん❤
おちんちん舐めてもらえて気持ちよかった？\nちっちゃい子に負けられてよかったわねー❤\nこのロリコン♪ぷっ、くすくす❤,おちんちん舐めてもらえて気持ちよかった？\nちっちゃい子に負けられてよかったわねー❤\nこのロリコン♪ぷっ、くすくす❤
くうぅ、ううっ・・・。,くうぅ、ううっ・・・。
それじゃちびちゃんたち、あとは枯れるまで搾りとっておいてねー。\nわたしはスライムちゃんのサポートに行くから。,それじゃちびちゃんたち、あとは枯れるまで搾りとっておいてねー。\nわたしはスライムちゃんのサポートに行くから。
じゃねー、ロリコンマスターくん❤\nせいぜいハーレムを楽しんだら？くすくす❤,じゃねー、ロリコンマスターくん❤\nせいぜいハーレムを楽しんだら？くすくす❤
おにいさん。よかったねー。\nまだわたしたちとあそんでいいみたいだよ♪,おにいさん。よかったねー。\nまだわたしたちとあそんでいいみたいだよ♪
さっきはおちんちんシコシコ楽しかったもんね❤\nこんどはなにして遊ぶ？,さっきはおちんちんシコシコ楽しかったもんね❤\nこんどはなにして遊ぶ？
またふぅーってされただけで射精したい？\nあは、ほんとにしてほしそうな顔してるー❤\nふぅーふぅーされるの癖になっちゃったのかな～❤,またふぅーってされただけで射精したい？\nあは、ほんとにしてほしそうな顔してるー❤\nふぅーふぅーされるの癖になっちゃったのかな～❤
ぺろぺろされるの気持ちよかったよねー❤\nお口と乳首と、おちんちんを\n三人でぺろぺろ❤,ぺろぺろされるの気持ちよかったよねー❤\nお口と乳首と、おちんちんを\n三人でぺろぺろ❤
おにいさん、あひあひ言ってて面白かった～❤\nまたわたしとちゅーしたい？\nどうしよかったなー❤,おにいさん、あひあひ言ってて面白かった～❤\nまたわたしとちゅーしたい？\nどうしよかったなー❤
わたしたちの胞子をいっぱいつけられて、\nおにいさんはすっかりよわよわ～❤,わたしたちの胞子をいっぱいつけられて、\nおにいさんはすっかりよわよわ～❤
さっきもふりはらえなくて、\n何度もいじめられちゃったよね❤\nまたいじめてあげよっかー❤くすくす❤,さっきもふりはらえなくて、\n何度もいじめられちゃったよね❤\nまたいじめてあげよっかー❤くすくす❤
おちんちんさん、またきもちよくしてほしいでしょ？\nくすくす❤いっぱい遊べるの楽しみだなー❤,おちんちんさん、またきもちよくしてほしいでしょ？\nくすくす❤いっぱい遊べるの楽しみだなー❤
うっ、ううっ・・・❤,うっ、ううっ・・・❤
あは、みてみてー❤\nおちんちんさん、ぴょこんって跳ねて返事したー❤,あは、みてみてー❤\nおちんちんさん、ぴょこんって跳ねて返事したー❤
ほんとだー。お兄さんも、\nわたしたちにいっぱい遊んでほしいんだね❤,ほんとだー。お兄さんも、\nわたしたちにいっぱい遊んでほしいんだね❤
えへへ、じゃあ、また足で遊んであげる。\nえいや❤,えへへ、じゃあ、また足で遊んであげる。\nえいや❤
えへへ、じゃあ、今度は足で遊んであげる。\nえいや❤,えへへ、じゃあ、今度は足で遊んであげる。\nえいや❤
あひっ❤あうあっ❤,あひっ❤あうあっ❤
どうどう？わたしたちの靴下、きもちいい？,どうどう？わたしたちの靴下、きもちいい？
すりすり、すりすり～♪\nおちんちんさんがなでられて、\nあひぃって声がどんどん出ちゃうね❤,すりすり、すりすり～♪\nおちんちんさんがなでられて、\nあひぃって声がどんどん出ちゃうね❤
わたしは、たまたまをやさしくふみふみ～♪\nここ踏むとふにゅってしててたのしいんだー❤,わたしは、たまたまをやさしくふみふみ～♪\nここ踏むとふにゅってしててたのしいんだー❤
あっ、ああっ❤\nだめ、そこぎゅってされたらぁ、ああっ・・・❤❤,あっ、ああっ❤\nだめ、そこぎゅってされたらぁ、ああっ・・・❤❤
あは、おにいさんきもちよさそうー❤\nお顔がうっとりしてる～❤,あは、おにいさんきもちよさそうー❤\nお顔がうっとりしてる～❤
もっと踏んであげるねー❤\nたまたまマッサージだよ～♪\nぐにぐにぐに～❤,もっと踏んであげるねー❤\nたまたまマッサージだよ～♪\nぐにぐにぐに～❤
あぐっはひぃっ❤あっ、ああっ、きもちいっ❤ああっ❤,あぐっはひぃっ❤あっ、ああっ、きもちいっ❤ああっ❤
きゃはは❤すごいすごい、とんどんおつゆが出てきたよ❤\nマッサージされてお射精の準備しちゃってる❤,きゃはは❤すごいすごい、とんどんおつゆが出てきたよ❤\nマッサージされてお射精の準備しちゃってる❤
