default
ポイズンラミア,Poison Lamia
全身から力が抜けちゃった❤もっともっと、あなたが素直になれるようにぱふぱふしてあげるわ❤,Looks like your body has lost the last of it's strength.❤ Now I can keep pampering you more and more until you're completely honest with me~❤
むにゅむにゅ❤顔がとろけてちゃってる❤もっともーっとフェロモンを吸ってぇ❤そうしたらとっても素直になれるから❤,I'll squish your face close to my breasts.❤ I can already see your expression melting away.❤ Just breathe in more and more of my pheromones.❤ Then you'll have no choice but to be honest about your feelings~❤
あーあ❤本当に男って単純なんだから。ぱふぱふするだけで好きになるとかどれだけ単細胞なの？,Ahh~❤ It seem men truly are as easy as I thought. How can anyone be so simple-minded that they fall in love over a little Puff-Puff?
わたしはギンギンのペニスに触ってもいないのに❤自分から腰をへこへこしてお腹に擦り始めちゃうなんてお猿さんみたい❤,I haven't even touched your cock yet.❤ You're as primal as a little monkey; rubbing yourself against my stomach all on your own~❤
そんなに私にエナジーを捧げたいの？それなら直ぐに射精するのは許さないから❤一回の射精で全部エナジーを出せるように我慢しましょうね❤,Do you wish so badly to offer your energy to me? Then in that case I'll leave you on the edge; so you don't cum right away.❤ Hold back until you can't help but release all our energy at once~❤
ああっ…❤むりっ…❤むりぃ・・・❤,Ahh...❤ N-no...❤ I... I can't...❤
泣きそうな顔をしてもダメ❤先走りでお腹がぬるぬるになって気持ち良くてもダメ❤,No matter how sadly you look at me with those tears in your eyes; I won't change my mind.❤ No matter how slippery my stomach gets from your pre-cum or how good it feels; I still won't let you cum~❤
射精したら負けちゃうのよ❤それでも射精したいの？勝負より気持ちいいことが大切なんだ❤本当に情けくて最低な人❤,The moment you cum; you'll lose!❤ Do you still want that? Do you truly value pleasure over winning your match?❤ You're truly pathetic. The lowest kind of person~❤
あなたにここで戦う資格なんてないわ。深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤,You don't deserve to fight here. Take a deep breath.❤ Fill your lungs to the brim with my pheromones and offer your energy to me~❤
ううっ、強いのね。あなた…。,Ugh; you... You're strong...
でも、ふふ、わたしの毒の息を吸って、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,But; fufu; after inhaling my poisonous breath; you must be feeling so lightheaded and weak... No doubt your vision has already begun to blur!
