default
怪盗サキュバス,Phantom Thief Succubus
くす❤ジッパーを下ろしてあげたら、胸に目が吸い寄せられてる❤\n目は口ほどに物を言うとはいうけれど、\nあなたはずいぶん分かりやすいわね❤,*Giggle*❤ When I pull my zipper down like this; your eyes get drawn right to my breasts.❤ They say a person says more with their eyes than their lips; and you're quite easy to read; aren't you?❤
この胸を使ってあなたの心を盗んであげるわ❤\nレザースーツで蒸れたわたしの谷間、\nサキュバスの濃厚なフェロモンでくらくらするほどいい匂いなのよ❤,I'll use these breasts to steal your heart~❤ My cleavage gets so steamy from my leather suit; and has such an intoxicating smell thanks to my thick succubus pheromones.❤
ねえ、わたしを捕まえるよりも、わたしに捕まえられたいでしょ？\nこの胸の間にむぎゅって拘束して、\n快楽で脳をおかしくしてあげる❤,Hey; rather than catching me; wouldn't you rather let me catch you? I'll squeeze you tightly between my breasts and drive your mind wild with pleasure~❤
理性を振り絞って攻撃した,Muster your reason and attack
ふらふらと胸に吸い寄せらえてしまった,'I... I can't stop looking at her soft breasts...'
あうっ！くっ、男のくせになんて意志の強さなの…。,Ahh! Guh; for a man to have such incredible willpower...
あら、おっぱいのことが大好きなくせに頑張るのね❤\nでも、動揺して攻撃が雑になってる。\nさっきまでの鋭い攻撃が見る影もないわ。,Oh my; despite your love for breasts; you're still trying so hard; aren't you?❤ But now you're flustered; and your attacks have gotten sloppy. Those sharp strikes from before are nowhere to be seen.
あなた女の胸が好きなんでしょう？\nうふふ、全然隠せてないわよ❤そんなおっぱいフェチの男が\nサキュバスの谷間を前に理性を保てるわけないじゃない。,You can't resist a pair of breasts; can you? Ufufu; you can't hide it at all!❤ There's no way a tit-obsessed man like you could maintain his reason in front of a succubus's cleavage.
これでどうかしら❤\n胸を手で持って、ゆっくりと揺らしてあげる❤,How about this?❤ I'll hold my breasts with my hands and slowly shake them for you~❤
う、ううっ❤やめて、あううっ・・・❤,Oh; ugh.❤ Stop; ahhh...❤
くすくす❤もう限界？我慢できない？\n自分の欲望に嘘をつくのはよくないわ。\nあなたのしたいことに、素直になりなさい❤,*Giggle*❤ Already at your limit? Can't hold back anymore? It's not good to lie about your own desires; you know. You should really be more honest about what you want~❤
欲しいものには何でも手を伸ばす、それが怪盗❤\n,The will to reach for whatever I want—that is the way of the phantome thief.❤
わたしの蒸れた谷間に顔をうずめて、\nぱふぱふ❤むぎゅう❤\nやわらかいおっぱいで快楽を味合わせてあげる❤,So I'll bury your face in my steamy cleavage and... Puff-puff~❤ Squeeze~❤ I'll use my breasts to give you a taste of true pleasure!❤
余計なプライドなんて捨てて、\nお姉さんのものになりなってしまいなさい❤,Throw away any unnecessary pride you still cling to and become mine completely~❤
理性を振り絞り一気に前進して攻撃した,Muster your reason and rush forwards
揺れるおっぱいで何も考えられなくなってしまった,'The way they bounce... I... I can't...
きゃあっ！\nううっ、こんなやみくもな攻撃にやられるだなんて。悔しい・・・。,Kyaa! Ugh; to think I'd be hit by such a reckless attack. How humiliating...
はい、捕まえた❤\nくすくす❤棒立ちでおっぱいに見惚れて、かわいいわね❤\nさっきまであんなに強かった男とは思えないわ❤,There; caught you~❤ *Giggle*❤ You were just standing there mesmerized by my breasts. You're rather cute; aren't you?❤ I can't believe you're the same man who nearly ended me just moments ago.❤
ほら、むぎゅうって抱き寄せながら、\nぱふぱふ❤ぱふぱふ❤\nどう？サキュバスの谷間は気持ちいい？,Here; I'll pull you even closer. Puff-puff~❤ Puff-puff~❤ How does it feel? Isn't the cleavage of a succubus wonderful?
あひっ、あふぁっ❤\nあうっ・・・いい匂いでぇ・・・❤❤\nはへぇ・・・❤,Ahh; aphew.❤ Ahh... It smells so good...❤❤ Hahhh...❤
そうでしょう？潜伏しているときはバレないように\nフェロモンを抑えていたけれど、\n今は全開だもの❤,Doesn't it? While I was hiding; I kept my pheromones suppressed so I wouldn't be detected; but now they're at full power~❤
そのうえ誘惑に負けてしまったあなたは\n心のバリアも解けている状態❤\n脳がどろどろになるぐらい気持ちいいはずよ❤,On top of that; since you gave in to temptation; your mental barriers are down; too.❤ It should feel so good it turns your brain to mush!❤
わたしの甘いフェロモンが、鼻と口から\n全身に入り込んで、体中を快感で焼いていく❤\n悶えるように熱くなって、ほらチンポもこんなに反応してる❤,My sweet pheromones enter through your nose and mouth; spreading throughout your whole body; burning you with pleasure from within.❤ You're getting feverishly hot as you writhe; and look; even your cock's reacting so strongly~❤
もう心は陥落しちゃったようだし、\n次はお姉さんにエナジーを盗まれたいのよね❤\n胸に顔をうずめさせながらほら、両手でしこしこしこ♪,It looks like your heart has already fallen for me; so now you want me to steal all your energy; don't you?❤ I'll let you bury your face in my breasts; so relax and let me stroke you with both hands~♪
はひっ、あっ、あっ、気持ちいいっ❤❤ああっ❤,Hahhh; ah; ah; it feels so good.❤❤ Aahh!❤
うふふ、いい喘ぎ声❤\nお姉さんの手のテクニックはどうかしら？\nあらゆる鍵を破ってきただけあって手先の器用さは抜群よ❤,Ufufu; such lovely little moans~❤ How do you like my hand technique? Having practiced to break all kinds of locks; my dexterity is exceptional!❤
革の手袋の摩擦が気持ちいいでしょう？\n少し激しい刺激だけれど、\nその分、顔は優しい快楽に甘やかされてちょうどいいわね❤,The friction from my leather gloves feels good; doesn't it? The stimulation might be a bit intense; but with your face being pampered with such gentle pleasure; it balances out perfectly; don't you think?❤
しこしこ、しこしこってされて\n気持ちよすぎて悶えてしまったら、\nぎゅうって顔をおっぱいに押しつけていいの❤,If being stroked like this makes you feel so good you writhe in pleasure; you're welcome to press your face even tighter against my breasts~❤
フェロモンのせいで余計我慢できなくなるし、\n快感も倍増しちゃうけれど、\nくすくす❤一瞬でも柔らかい感触に甘えられるなら男は満足よね❤,The pheromones will make you even less able to hold back; and the pleasure will double. Oh; but be careful. *Giggle* If a man indulges in such soft pleasure for even a moment; he's bound to surrender; wouldn't you think?❤
わたしもだいぶダメージを受けてそろそろ限界だし、\nほら、すぐに屈服していいわよ❤,I've taken quite a bit of damage myself; and I'm bound to reach my own limit soon. So go on; hurry up and submit to my touch!❤
柔らかいおっぱいの感触、濃厚なフェロモン、\n男を虜にする器用な指先❤\n全部同時に味合わされて昇天してしまいなさい❤,The soft sensation of my breasts; the thick pheromones; my skillful fingertips. All of them perfectly tailored to captivate men.❤ Experience them all at once and ascend to heaven~❤
あなたの大事なもの、わたしに盗ませて？\nくすくす❤イっていいわよ❤\nしこしこしこ❤むぎゅう❤,Let me steal that which is most precious to you. *Giggle*❤ Go on; cum for me!❤ Stroke stroke stroke~❤ Squeeze~❤
うふ❤いい勢いの射精ね❤\nお姉さんの谷間でびくびく痙攣しながら、\n濃い精液をどんどん出してる。,Ufu~❤ What a vigorous ejaculation.❤ You're convulsing and twitching in my cleavage and pouring out such thick semen.
サキュバスに吸われたんですもの。\n出すたびに体が干からびていくわ。\nでもそうやって吸われていくのとっても気持ちがいいでしょう？,You know what it means to be drained by a succubus; don't you? Each time you release; your body shrivels up; bit by bit. But doesn't being drained like this feel so incredibly good?
あら、あんなに出したのにまだ生きてるの？意外と頑丈なのね❤\nオナニーしちゃう悪いマスターくんのエナジー、\nもっともっとキスして、吸いつくしてあげようかしら。うふふ♪,Oh my; even after cumming so much you're still alive? You're surprisingly resilient; aren't you?❤ Your energy was surprisingly rich for a naughty master who touches himself. Maybe I should kiss you some more and drain you completely dry. Ufufu~♪
わたしの谷間に閉じ込められて、\nチンポがあっという間に降参しちゃったわね❤くすくす❤\n命がかかってるのに、気持ちいいのに勝てないなんて、人間って弱い❤,Once I had you trapped in my cleavage; your cock surrendered in no time at all~❤ *Giggle*❤ Even with your life on the line; you just couldn't win against pleasure. Humans are so weak.❤
お姉さんの谷間の中で、びくびく痙攣してる❤\n力が抜けて射精が止まらないのかしら❤\nあなたの大事なエナジー、泥棒に全部盗まれてしまうわね。くすくす❤,You're convulsing and twitching inside my cleavage.❤ Have you lost all your strength and just can't stop ejaculating?❤ At this rate; all your precious energy is going to be completely stolen by a no-good thief. *Giggle*❤
うふ❤わたしの手技に、男が耐えられるわけないわよね❤\nこんなに手袋をどろどろにして、\n男の子からエナジーを盗むのってやっぱり簡単だわ❤,Ufu~❤ No man could possibly resist my handjob; could he?❤ Making my opponents make a mess of my glove while stealing energy from boys is always so easy~❤
あらあら、わたしにエナジー貢ぎたくて、\nさっそく屈服しちゃったようね❤\n踏まれて貢いで喜んで、マゾの男ってかわいい❤くすくす♪,Oh my; it seems you were so desperate to offer me your energy you've already submitted; haven't you?❤ Being stepped on while offering me tribute so happliy... Masochistic men are rather adorable~❤ *Giggle*♪
{自分}に敗れた僕は、薄暗い地下通路でエナジーを失い、地面に膝をついていた。,After losing to {自分} and having my energy drained; I fell to my knees on the ground in the dim underground passage.
動けなくなった僕を横目にエルルは他のマスターたちのところに向かっていく。下級のマスターたちではきっと歯が立たない。このままではみんなやられてしまう・・・。,Stuck where I was; unable to move; I watched as Eruru headed off toward the other masters. The lower-ranked cardmasters definitely wouldn't stand a chance. At this rate; everyone would be defeated...
くす、Bランク最強のマスターのくせにあっけないものね❤\nわたしはエルルをサキュバスにした、その張本人。\nそんな悪い女にメロメロにされちゃって、心が痛まないのかしら❤,*Giggle* For the 'strongest B-rank'; you're actually pretty pathetic; aren't you?❤ I'm the very one who turned Eruru into a succubus; you know. Doesn't your heart ache knowing you've fallen-head-over heels for such a wicked woman?❤
快楽を与えられれば、\n大事な仲間を奪った相手にすらそんな蕩けた顔を向けてしまう❤\nふふ、人間って本当に愚かな生き物ね❤,When given pleasure; you show such a melted expression; even to the one who stole your precious companion from you.❤ Fufu; humans really are such foolish creatures; aren't they?❤
あううっ・・・❤くそぉ・・・❤,Agh...❤ Damn it...❤
彼女の言う通り、エルルさんをサキュバス化させたこの怪盗サキュバスは、僕がいま一番負けてはいけない相手のはずだ。それなのに・・・。,She was right. This phantom thief succubus who had turned Eruru into a succubus was the one opponent I absolutely couldn't afford to lose to. And yet...
彼女に軽く触れられただけで心を奪われて、ほとんど抵抗もできないまま射精に追い込まれてしまった。いまも目の前にいる彼女の顔から目をそらすことができなくなっている。,Just from her light touch; my heart had been stolen away; and I was driven to ejaculation with barely any resistance. Even now; I couldn't bring myself to look away from her face while it was right in front of me.
（このままじゃダメだ・・・❤足に力を込めて立ち上がらないと・・・❤）,(It can't end like this...❤ I need to put strength in my legs and stand up...❤)
だが、僕の体に力は入らない。激しい運動で疲れ果てたときのように体が重い。これがサキュバスに射精させられるということなのか。,But my body wouldn't respond. It felt so heavy; as if exhausted after intense exercise. Is this what it means to be made to ejaculate by a succubus?
あなたのエナジーはすでにわたしに大量に盗まれたのよ❤\nカードを使って戦うことなんて、とてもできないでしょう？,I've already stolen a massive amount of your energy!❤ You couldn't possibly use your cards to fight anymore; could you?
心の方は、まだ少しは抵抗できるみたいだけれど、\nそのとろんとした目を見る限り、\nどうせ時間の問題ね❤,Your mind seems like it can still resist a little; but looking at those glazed eyes; it's only a matter of time now; isn't it?❤
さあ、あなたのことを完全に堕としてあげる❤\n吸いつくすか、奴隷にするか、\nうふふ、どちらも楽しそう❤,Now; I'll corrupt you completely!❤ Should I drain you dry; or make you my slave? Ufufu; both sound so entertaining~❤
あなたの弱点を、やさしく握って・・・❤\nしこ、しこ、しこ・・・❤,Either way; I'll start by grasping your weakness...❤ Stroke stroke stroke...❤
うあっ❤あっ、ああっ❤指がからみついてきてっ❤,Ugh!❤ Ah! Aah!❤ Your fingers are coiling around me!❤
わたしの指先、よく動くでしょう？\n鍵開けも、複雑な警報の解除もお手の物。\n泥棒にとって指先の器用さは命綱ですもの❤,My fingertips move quite well; don't they? Lock-picking and disabling complex alarms are my specialty. For a thief; nimble fingers are our most important tool~❤
もちろん、男の子の心をこじ開けてしまうのも得意よ❤\n五本の指を、それぞれ別の生き物みたいに、\nうねらせて、絡ませて・・・❤しこしこしこ❤,Of course; I'm also skilled at prying open boys' hearts.❤ Moving all five fingers; each with a mind of its own; shifting and writhing...❤ Stroke stroke stroke~❤
あっ、ああっ・・・❤なんで、こんなにゆっくりなのにっ・・❤\nはひぃっ❤きもちいいいっ・・・❤,Ah! Aah...❤ Why? You're going so slowly...❤ Hahhh!❤ It feels so good...❤
うふふ❤ガシガシ雑に扱かれるより、数段上手でしょう？\nどうすれば男が感じるか、知り尽くした手の動きで\nあなたの腰をとろけるように気持ちよくしてあげる❤,Ufufu~❤ Much more skillful than the rough; careless handling you're used to; isn't it? My hands know exactly how to make a man feel good. I'll use those skills to make your hips melt with pleasure~❤
