default
コブラ娘,Cobra Girl
ククク、その顔❤どうやらたまらぬようじゃな❤\nよいぞ、そのまま蕩けた間抜け顔で、\n果てるまで恍惚としておるがよい❤,Kuhuhu; I can see it in your eyes.❤ It seems you can't bear it; can you? ❤ Wonderful. Keep making that melted; foolish expression and stay in ecstasy until you climax~❤
ほお、敵であるわしに快楽を懇願するか。なんとあさましい❤\nじゃが、その欲望に流される醜い心、わしは嫌いではないぞ❤,Oh my; you're begging for pleasure from me; your enemy? How pathetic~❤ However; I don't dislike an ugly heart that gives in to desire.❤
欲望に流されることを甘く見た男が、\n次第にわしに捕食され、だんだんと後悔を浮かべていく、\nその光景は実に楽しいからのう❤くすくす❤,It's truly enjoyable to watch a man who underestimated the power of lust; gradually being devoured by me; slowly showing regret on his face~❤ *Giggle*❤
ほれ、どのように食してほしいか、希望を述べてみるのじゃ。\nこの大きな胸で挟んでやろうか？ん？,Now then; tell me how you'd like to be consumed. Shall I sandwich you between these large breasts? Hmm?
蛇の爆乳パイズリ,Serpent's Massive Titjob
絡みつく足技,Entwining Leg Technique
なんでも,You decide
蛇の巨乳パイズリ,Serpent's Giant Titjob
ククク❤やはりこのデカくなった胸で搾り取られたいか❤\n人間はこれが好きじゃのう❤,Kuhuhu~❤ So you wish to be milked by my large breasts; do you?❤ Humans truly love these things; don't they?❤
おぬしの小さいイチモツなど、丸ごと飲み込んでやるぞ❤\nさあ、わしの谷間に捕食されるがよい❤,I'll swallow your tiny little cock whole~❤ Now; come and be devoured by my cleavage!❤
ククク❤やはりこの胸で搾り取られたいか❤\n人間はこれが好きじゃのう❤,Kuhuhu~❤ So you wish to be milked by my breasts; do you?❤ Humans truly love these things; don't they?❤
見た目通り柔らかな乳じゃ、存分にこの感触を楽しむとよい❤,My breasts are as soft as they look; as you will soon see for yourself. Enjoy their plush sensation to your heart's content~❤
ほお、わざわざ足で踏まれたいと申すか。\nヘンタイじゃな、おぬし❤,Oh; you wish to be trampled beneath my feet; do you? You're quite the pervert; aren't you? ❤
ラミアには足がないものが多いからの、\n模様も照りもない体の何がよいか分からぬが、\nよかろう、踏んでやるからさっさと果てるがよい❤くすくす❤,Many lamias don't have legs; so I don't understand what you humans find so appealing about a body without patterns or shine. Nevertheless; I'll happily step on you; so hurry up and finish~❤ *Giggle*❤
ククク❤わしの胸は気持ちよかったじゃろう？\n腰が抜けて立てぬのか。あはは、本当に情けない男じゃのう❤,Kuhuhu~❤ My chest felt wonderful; didn't it? Can you stand; or did your legs give out from the pleasure? Ahaha; what a pitiful man you are~❤
じゃが、気持ちいいのはこれで終わりじゃ。\nほれ、おぬしのことを丸呑みしてやろう❤\nわらわの右手に食われるがよい❤,But this is the end of your pleasure. Now I shall swallow you whole!❤ Prepare to be devoured by my right arm!❤
{%おねだり相手}が墓地から取り除かれてしまった！,{%おねだり相手} has been removed from the graveyard!
ふふ、愚か者を食うのはやはり楽しいのう❤\n快楽で腰を抜かして動けないところを、バクリと丸のみ。\n実に愚かな末路じゃて❤,Fufu; I do so enjoy devouring fools like him.❤ Paralyzed by pleasure and unable to move; it makes them so easy to swallow whole. What a truly foolish end~❤
くく、わしの足は気持ちよかったか？\nほれほれ、イったあとも足で踏んでこすってやろう❤\n喘げ喘げ❤,Kuhu; did you enjoy being teased by my feet? Don't think it's over yet. Even after you finish; I'll keep trampling your pathetic cock~❤ Gasp and moan for me more!❤
この状態では逃げることもできまい❤\n足蹴にしながらおぬしのことを丸呑みしてやろう❤\nわらわの右手に頭から食われるがよい❤,In this state; you have no chance of escape~❤ I'll swallow you whole as a trample you beneath my feet!❤ My right arm shall devour you; head first~❤
あっ、ああっ・・・。,Ah; ah...
なんじゃ。唐突に自慰をはじめおって。\nそんなにわしの栄養になりたいのか？,What on earth? Why are you masturbating so suddenly? Do truly you wish to become my nourishment so badly?
さきほどしてやった足コキで、わしに夢中になってしまったのじゃろう？\nククク、少しペニスを踏まれただけで理性を溶かすとは\n情けないことこのうえないのう❤,The footjob I just gave you must have left you completely infatuated with me; didn't it? Kuhuhu; to think just trampling your cock a little would melt all your reason away. How pathetic. Truly; truly pathetic~❤
しかし、足だけでなく胸にも視線を感じるぞ？\nじろじろ視線でなめまわしおってからに、無粋なやつめ❤,However; your gaze is wandering to spots other than my feet; is it not? I can see you lewdly running your eyes over my body; you uncouth man~❤
さきほどしてやったパイズリがよほどこたえたようじゃな❤\nわしの胸の感触は、脳をとろかすほどに極楽じゃったか？\nククク❤,It seems that the titjob I gave you earlier was too wonderful to resist; wasn't it? Was the sensation of my breasts so heavenly that it melted your mind? Kuhuhu~❤
今もほれ、懸命にペニスをしごきながら、目は胸ばかりみておるな❤\nほんに男はみな胸が好きじゃのう❤,Even now; while desperately stroking your cock; your eyes are glued only to my chest; aren't they? It seems it is true that all men love breasts~❤
ん？どこに興奮しているのかと思えば、胸ばかりを見ておるな❤\nククク❤男はみなこれが好きじゃのう❤\nただ肉が丸くついているだけじゃというのに❤,Hmm? I was wondering where all this excitement was coming from; but now I see you're simply staring at my chest.❤ Kuhuhu~❤ It seems it is true that all men love breasts~❤ Odd. It's only round flesh; after all.❤
うう・・・❤,Ugh...❤
わしの胸は人間と違い食後の栄養を蓄える場所でもある。\n今でも十分大きいが、獲物を捕食したあとはもっと大きくなるのじゃ❤,Unlike a human's chest; however; my breasts are also a place to store nutrients after a meal. It's already quite large; but it becomes even bigger after I consume my prey.❤
もっと、大きく…？それはっ…、ああっ…❤,Ugh... B-bigger...? That's... Ahh...❤
想像したのか？\n扱く速度が変わるから分かりやすいのう❤\n更に大きくなるところが見たいのなら…。,You imagined it just now; didn't you? It's evident from how fast you began to stroke yourself.❤ If you want to see it get even bigger so desperately...
見る方法は簡単じゃぞ❤\nおぬしがわしに精を捧げる。それだけでよい❤\nそうすればおぬしに至高の胸を見せてやろう❤,That could easily be arranged.❤ You just need to dedicate your essence to me. That's all it takes~❤ Do that; and I will show you a chest like no other~❤
しかし、当然それは敗北を意味する行為じゃ。\nたかだか胸が大きくなるのを見るためだけに、\nおぬしは自分の試合を捨てるわけじゃな❤,However; of course; that act would mean your defeat. Though; you're the type of man who would throw away such an important match just to see my breasts grow bigger; aren't you?❤
しかし、当然それは仲間を裏切る行為じゃ。\nわしがおぬしの精を吸収して強くなれば、\nおぬしの仲間はよりピンチになるじゃろう❤,However; that would be an act of betrayal against your companions. If I absorb your essence and become stronger; that would leave your comrades in even greater danger~❤
み、みたい・・・❤それでも、見たい・・・❤,I... I want to see it...❤ I don't care; I... I want to see it...❤
ククク…❤ならばわしに精を捧げると良い❤\nほれ、たっぷりとエナジーを吐き出せるよう、\n目の前で胸を見る事を許してやろう❤,Kuhuhu...❤ Then come; dedicate your energy to me.❤ Here; to ensure you release as much magical power as possible; I'll allow you to see my chest up close~❤
あっ、ああっ、いいにおいがしてぇ…❤はひぃ、きもちいい…❤,Ah; ahh... They smell so good..❤ Hah... And this feeling... So soft...❤
ふ、情けない声よのう。至近距離での乳はそんなにたまらぬか？,Ufu; what a pathetic voice. Is being this close to breasts truly so irresistible?
おぬしのその顔、射精することしか頭にない顔じゃ❤\n大事な勝負を投げ打ってする自慰じゃものな、さぞや気持ち良かろう❤,That face you're making is one that only thinks about cumming.❤ Throwing away an important match to indulge in self-pleasure must feel wonderful.❤
おぬしのその顔、射精することしか頭にない顔じゃ❤\nマスターを裏切ってする自慰はさぞや気持ち良かろうな❤\nククク❤,That face you're making is one that only thinks about cumming.❤ Betraying your master to indulge in self-pleasure must feel wonderful.❤ Kuhuhu~❤
ほれ、そろそろ出せ❤\nおぬしのエナジーはすべて吸収してやる❤\n食べてもらえることに感謝しながらイくのじゃ❤雑魚めが❤,Come now; isn't it about time you let it out?❤ I'll absorb all the energy you have to offer~❤ Go ahead. Cum; and revel in gratitude knowing I will devour you~❤ You pathetic creature~❤
ああぁぁ…❤,Ahhh...❤
ククク、たっぷり出したのう❤\nわしの胸がドロドロではないか❤\nそれではこのエナジーはありがたくいただくとしよう。,Kuhuhu; you truly let it all out~❤ My chest is all gooey now; isn't it?❤ Well then; I'll gratefully accept this energy.
ククク❤なんじゃ？おぬしも自慰をしたくなったのか？\nわしの胸に目が釘づけのようじゃが・・・。,Kuhuhu~❤ What is it? Do you wish to indulge self-pleasure as well? It seems your eyes have found themselves glued to my chest...
でかくなった胸を前にして、我慢できなくなったというところか❤\nしょせん男は、大きすぎる乳の前では、\n猿になるしかないというわけじゃな❤,You simply couldn't hold back any longer when faced with my enlarged chest; could you? After all; when confronted by such large breasts; men can only become mindless monkeys; right?❤
どれ、少しばかりサービスをしてやろう・・・❤\n手で持ち上げたり、下ろしたり・・・❤\nこんな手遊びのような動きがたまらんのじゃろう？,Well then; let me provide you a small service...❤ I'll lift my breasts with my hands; moving them up and down for you...❤ You can't resist such playful motions; can you?
う、うう・・・すごい・・・❤,Oh; ugh... Amazing...❤
クク、そんな有様でよくわしと戦おうと思ったものじゃ❤\n乳揺れごときで興奮する雑魚めが❤,Kuhu; to think you would challenge me in a state like this.❤ You must be a true weakling to get excited over me merely shaking my breasts~❤
元の乳より大きくなっておるからの。迫力もすごいじゃろう？\n頭ほどもある大きな胸が、たわわに弾んで波打って・・・❤\n乳好きの男にはたまらん光景じゃ❤,My breasts are much larger than when we began. The change is incredible; wouldn't you say? Breasts as big as person's head; bouncing and swaying...❤ It's an irresistible sight for any tit-loving man~❤
ゆっさゆっさ❤ほれほれ❤\nさっさとしごいて負けてしまえ❤,Shake; shake~❤ Come on; come on~❤ Give in to me~❤
はぁ、はぁ…❤もうでるっ…ううっ…❤,Hah; hah...❤ I... I'm about to... Oh...❤
ふっ、わざわざ申告するとは…❤\nわしに出るところを見ていてほしいのか？\nどれ、最後に激しく揺らしてやろう❤,Ufuu; you went out of your way to declare it aloud...❤ Do you wish for me to watch you finish? Very well; allow me give my breasts one last; vigorously shake~❤
目の前でほれほれほれ❤\n最高の光景を目にしながら、果てるがよい❤\nイケ❤雑魚❤,I'll shake them close to your face; letting you see how they move~❤ Witness perfection and reach your climax~❤ Cum for me; you weakling~❤
あひぃっ…❤,Ahh...❤
ククク、おぬしも大量の精をまき散らしおって❤\nそろいもそろってマゾばかりじゃのう❤,Kuhuhu; you too are offering so much of your seed. All you men truly are such masochists~❤
どうじゃ❤他にも自慰をしたい者がおるではないか？\n名乗り出れば乳揺れをサービスしてやるぞ❤,Well?❤ Are there any others who wish to pleasure themselves? If you step forward; I'll offer you my breast-shaking service as well~❤
ふふ、乳にめっぽう弱いようじゃな、おぬし❤\nそんなことでは、ほれ、容易く捕らえられてしまうぞ❤,Kuhu; you appear particularly weak to breasts.❤ You'll be so easy to capture in such a state~❤
そのまま骨抜きになっているがよい。\nやわこい胸の感触ですぐ極楽に送ってやろう❤,And as you are; you shall no doubt be completely captivated by my chest. The soft touch of my breasts shall send you to paradise~❤
ペニスが震えておるわ❤ほれ❤はやくわしの胸にもらせ❤\n情けなく屈服してしまえ❤,Your penis is trembling; isn't it? Come; hurry and offer your cock to my chest. Pathetically submit yourself to me
ほう、わしの胸から逃れるとは・・・骨のある男じゃな。\nまあその方がおもしろいというものじゃ。,Oh my; you managed to escape my chest... You have an impressive backbone for a man. That makes this much more interesting.
強い男のエナジーはさぞうまかろう❤\n次こそはわしの胸の中で果てさせてやるからの❤ククク❤,The energy of a man as strong as you is no doubt delicious.❤ Next time; I'll bring you to ruin in my embrace~❤ Kuhuhu~❤
どうじゃ？たまらんじゃろう❤,What do you think? Irresistible; isn't it? ❤
乳を堪能しろ❤溺れてしまえ❤,Bask in my breasts~❤ Drown in the pleasure~❤
もがいても無駄じゃ❤わしの力に勝てると思うてか？,Struggling is useless.❤ Do you truly believe you can win against my power?
ゆさゆさ♪ズリズリ♪こうやって言われるのが好きなんじゃろ？へんたいめ❤,Shake shake shake~♪ Rub rub rub~♪ You like being spoken to like this; don't you? You pervert~❤
喘ぎ声しか出ぬか？ククク❤,Are your pathetic moans the only sound you can muster? Kuhuhu~❤
亀頭を責めれば力など入るまい？,I wonder... Can your strength last if I tease the tip like this?
ふふ、腰が震えておるのう❤,Fufu; I can feel your waist trembling~❤
どれ、乳圧を高めてやろう❤押しつぶされてしまえ❤,In that case; I shall increase the pressure.❤ Be crushed between my breasts~❤
おぬしは蛇に捕まった獲物じゃ❤もう逃げられぬぞ❤,You are simply prey caught by a deadly snake.❤ You stand no chance of escape now~❤
いつでも射精すがよい❤どうせ時間の問題じゃろう？,You're free to cum whenever you wish~❤ It's only a matter of time now; isn't it?
ふ、抵抗は終わりか？軟弱ものめ❤,Hmph; are you finally done resisting? You weakling~❤
快楽を堪能しておるようじゃのう❤とろけ顔をしておるわ❤,You seem to be enjoying yourself thoroughly.❤ I can see your face melting into pleasure~❤
試合のことなど忘れてしまったか？もう手足が動いておらんぞ？,Have you forgotten about the match? Your arms and legs aren't moving anymore; are they?
そうじゃ、それでよい❤甘い快楽に身を任せるのじゃ❤,That's right; that's it.❤ Surrender yourself to the sweet pleasure I have to offer~❤
ククク❤乳が気持ちよすぎて、マスターのことなど忘れてしまったようじゃな❤,Kuhuhu~❤ It seems like the overwhelming pleasure of my breasts has made you forget all about your master.❤
それでよい❤じっとしておれ❤\nおぬしが負けても仲間がおるからの❤,That's alright.❤ Relax~❤ Even if you lose; your friends will fight on.❤
ぐぅ、このわしをここまで追い詰めるとは・・・,Guh; to push me this far...
しかし、おぬしも限界のようじゃな❤\nペニスの先から我慢汁が溢れておるぞ❤\nここまでよく耐えたものじゃ。,Though; it would appear I'm not the only one at my limit.❤ I can see pre-cum oozing from the tip of your cock~❤ You've resisted well till now.
わしの毒で動くのも苦しかろう❤\nもう楽になりたい、そう思っているのじゃろう？,It must be painful trying to move with my poison coursing through you. You're thinking you just want to feel better; aren't you?
わしは優しいからの。おぬしを労ってやろう❤\nこの胸で甘い快楽を与えてやる・・・❤\nさぁ、横になって楽にせよ❤心地よい極楽が待っておるぞ？,I'm kind; you know. I'll take care of you.❤ I'll gladly offer my chest and bring you sweet pleasure...❤ All you need do is lie down and relax~❤ A blissful paradise awaits you.
全身の力を振り絞りとどめを刺した,I gathered all my strength and delivered the final blow.
彼女に身を差し出してしまった,I... I want to feel better...'
み、見事じゃ・・・。,Impressive...
クク、沈黙は肯定と受け取るぞ？\nそれ、わしの胸で挟んでやろう・・・❤,Kuhu; I shall accept your silence as consent. Come; I'll take you into my chest...❤
ふふ、よい子じゃ❤\nそれ、わしの胸で挟んでやろう・・・❤,Fufu; good child~❤ I'll hold you tight between my breasts...❤
あ、あぁ・・・❤,Ah; ahh...❤
気持ち良かろう？\n心が折れたおぬしはより強い快楽を感じるはずじゃ❤\nこうなってはもはや体が言うことを聞くまい。,Doesn't it feel wonderful? The pleasure you're feeling must be even stronger now that your spirit has been broken~❤ At this point; I'm sure your body won't even listen to you anymore.
わしの胸で擦られるだけで、\n脳はとろけ、手足は脱力する…❤\nおぬしは完全に捕らえられた獲物というわけじゃな❤,Just being rubbed between my breasts makes your brain melt and your limbs go limp...❤ You are truly my prey now; helpless and captured; aren't you?❤
あと一歩のところじゃったというのに惜しかったのう❤\nこのおっぱいなんぞに見とれなければ、勝ち目もあったじゃろうに❤\nククク❤,You were so close; as well. Only one final step away.❤ Had you not been distracted by my breasts; you may have actually had a chance at victory~❤ Kuhuhu~❤
ううっ、くそぉ・・・あぁっ❤,Ugh; damn it... Ahh...❤
ほれほれ❤悔しい声さえ出せぬほど快楽で呑み込んでやろうぞ❤\n腕でおぬしのチンポをぎゅっと閉じ込めながらパイズリしてやれば、\nたまらぬじゃろう？,How about this?❤ I'll surround you in pleasure to the point you won't even be able to let out your frustrated little sounds~❤ If I wrap my arms around my breasts and squeeze them tightly against your cock while giving you a titjob; I'm sure it will be quite unbearable; don't you think?
うあっ、あっ、ああっ・・・❤,Ugh; ah; ahh...❤
ふふ、あっという間に射精に追い込まれてしまうのう❤\nチンポもおぬしも、快楽に素直でよいことじゃ❤,Fufu; you're being driven so quickly to your climax ; aren't you?❤ It's so wonderful you and your penis can be so honest about the pleasure you feel~❤
あひぃっ❤あへぁっ、ああっ❤❤,Ahh...❤ Aahh; ahh!❤❤
ほれ、あんあん喘ぎながら腰を振れ❤\nそしてわしの胸の中に精を漏らすが良い❤\nどぴゅーと濃いエナジーを、胸の奥に打ち付けるのじゃ❤,That's it; thrust your hips and moan your pathetic moans~❤ Then release your essence between my breasts!❤ Let that thick energy explode deep within my chest~❤
気持ちよく吐き出せるように、\n音がなるほど思い切り胸を叩きつけてやるからの❤\nさぁ、イケ❤イケ❤射精するのじゃ❤,I'll drive you mad with pleasure as you burst; slapping my breasts so roughly against your hips you can hear it!❤ Go ahead~❤ Go on and finish~❤ Cum for me~❤
ふ、凄まじい量じゃな❤\nわしの谷間から溢れるほどに出すとは、そんなに胸がよかったか❤,Oh my; what an incredible amount~❤ For you to fill my chest to the point of overflowing like this... Were my breasts truly so wonderful?❤
（ふたたびわしがここまで追い詰めされるとは・・・毒が効くまで時間を稼ぐしかないのう）,(To find myself cornered like this once again... I have no choice but to try and buy time until my poison takes effect.)
うう、胸が大きくなりすぎて上手く動けなくなってしまったのじゃ。この通り❤おぬしの仲間のエナジーのせいなのじゃ・・・❤,Oh; how frustrating. My chest has gotten so big that I can't move properly anymore. Look at these huge breasts~❤ It's all thanks to that energy your friend offered me...❤
うっ・・・❤,Ohh...❤
よ～く見てほしいのう❤これはおぬしの仲間がしたことじゃ❤\n大きくなったせいで谷間も深くなったじゃろう・・・❤\nゆさゆさ❤ぷるぷる❤とっても柔らかくもなっておる❤,That's it; I want you to look closely~❤ This is what your companions have done to me.❤ The sudden growth has caused my cleavage to deepen so...❤ And they won't stop swaying~❤ And jiggling~❤ And they've become so very; very soft~❤
好きなだけ見ても良いぞ❤ゆっさゆっさ❤\n上下に揺らしてやろう❤もっと、も～っとじっと見つめてて欲しいのじゃ・・・❤,Yes; you can look as much as you want.❤ I'll even sway them for you more~❤ I'll rock them up and down; just for you~❤ I want you to stare; and stare; and stare...❤
胸から視線を離してとどめを刺した,I took my eyes off her chest and delivered the final blow.
足に力が入らず後ろに倒れてしまった,They look so big... and I... I feel so weak...'
く、このような手ではうまく行かぬか・・・。,Tch; will my trick truly not charm him again...?
ククク、わしの胸をたっぷり堪能したか？\n残念、もう時間切れじゃ❤,Kuhuhu; did you thoroughly enjoy watching my chest? What a shame; your time is up!❤
え、あれっ、力が・・・。,W... What? My... My strength...
おぬしがボケーっと間抜けに見とれている間に、\n毒が効いてきたわけじゃな。ククク、もう身体に力が入るまい❤,While you were staring blankly at my breasts like a fool; my poison finally took effect. Kuhuhu; I'm afraid you won't be able to muster any of your strength anymore~❤
し、しまっ…あぁっ❤,No... S-stop...❤
ククク、どうした、とどめを刺すのではなかったか？\n毒が回って尻もちを付いたのかもしれんが、\わしにはまるでこの胸で責めてほしいとねだっているように見えるのう❤,Kuhuhu; what's wrong? Weren't you going to deliver the final blow? It may have looked as if you only stumbled because the poison is spreading; but to me; it seems more like you're begging to be tormented by my breasts~❤
う、ううっ、それはぁ・・・❤,No... That's not...❤
強がらずともよい❤\n男などみなその程度のものじゃ❤\n眼前で乳を揺らせれればそれだけで戦意を失う、情けない生き物じゃからのう❤,You don't have to pretend to be strong.❤ All you men are just the same~❤ Pitiful creatures who lose their will to fight just by seeing a pair of breasts shake in front of them~❤
ほれ、おぬしが挟まれたがっていた乳じゃ❤\n堪能するがよい❤,Here; these are the breasts you wanted to be sandwiched between so badly.❤ Enjoy them to your heart's content~❤
はひぃっ・・・❤,Hah...❤
ペニスを胸で挟んでしまえばもう逃れる事はできぬぞ。愚か者め❤,Once I have your cock trapped between my breasts; you'll have no power to escape anymore. Foolish little man~❤
ほれほれ、乳を揺らされてたまらぬじゃろう？\nおぬしに攻撃されて体が痛いからのう、その傷を癒すエナジーを寄越すのじゃ。,Here; tell me; does it feel unbearable when I shake my breasts like this? You've wounded me through our battle; so surrender your energy so I might heal these wounds.
大きくなったわしの胸にペニスが完全に隠れてしまっておる❤\n亀頭も何も見えぬが、すべて埋もれて思いっきり擦られるのはどうじゃ❤\nほれ❤ほれほれ❤,My breasts have grown so much; they completely cover your penis~❤ You can't see the tip or anything. Now; how does it feel to be completely buried and rubbed so roughly?❤ Tell me; how does it feel when I do this!❤
ああっ、ああああっ・・・❤,Ah; ahhhh...❤
ククク、良い声じゃのう❤気分がすくようじゃ❤\n一度はわしを追い詰めた男が、こうも無様に鳴くとは、実に小気味良い❤,Kuhuhu; what a cute voice~❤ This is so refreshing.❤ Hearing the man who once had me cornered crying out in pathetic pleasure is truly satisfying~❤
