default
酔いどれバニー,Drunk Bunnygirl
くすくす❤{命乞い回数}人目のお客様ぁ、おっぱいまでようこそ～❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤,Giggle~❤ Well; my {命乞い回数}th customer; welcome to my boobs~❤ Here; press your hard weapon against my cleavage... ❤ 
あん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しくて\nチンポきもちよさそー❤,Ah~❤ Ah~❤ Ah~❤ Amazing~❤ The way you're thrusting so hard; this must feel really good~❤
ぷっ、くすくす❤何人もおっぱいにふらふら誘われて、\nまるで光に集まる蛾みたい…♪,Pfft; hehe~❤ So many people are being lured in by the breasts; like moths drawn to a light...♪
あ～ん❤虫にたとえちゃってごめんなさい。\n挟んだままゆさゆさしてあげるから許してぇ～❤,Ah~❤ I'm sorry for comparing you to a bug. I'll hold you and and keep shaking my boobs; so please forgive me~❤
ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とっても気持ちいいものね❤,Giggle~❤ Are you already at your limit? My cleavage is all sticky with your pre-cum...♪ My breast pussy is super soft; you know~❤
やわらかいのに張りがあって、\nチンポをむぎゅむぎゅって圧迫して、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤,It's so soft; yet firm; squeezing your penis so tightly. Every thrust turns a man's brain to mush~❤
くす、無理なんだ～。なさけなーい❤\nそれじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤,Hehe; you can't resist; can you? How pathetic~❤ Well then; I'll squeeze my boobs with my elbows and finish you off~❤
あはーん❤ほら、出す瞬間に思いっきり腰を突き出すの❤\n一番奥でぜーんぶ出してぇ❤,Ahh~❤ Now; the moment you finish; thrust your hips as hard as you can~❤ Release everything deep inside my breasts~❤
おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ち❤次の挑戦者は誰かな～❤ぷっ、くすくす。,How did you like pretending to have sex with my boobs? You could have easily defeated me with a sword; but you fought with your dick and lost instead~❤ Now; I wonder who will challenge me next~❤ Pfft; hehe~❤
谷間を見ながらのオナニーはどうだった？\n大事な昇格戦なのに、自分から負けちゃったわね。バカみたい❤,How did it feel jerking off while staring at my cleavage? It was your important promotion match; and you ended up losing to yourself. What an idiot~❤
おっぱいまんこで腰振りできて気持ちよかったでしょ？\nくすくす❤大事な昇格戦なのに、こんな負け方しちゃうなんて、\n恥ずかしい男の子❤,You enjoyed thrusting with my breasts pussy; didn't you? Giggle~❤ It's so embarrassing for a boy to lose like this during such an important match~❤
あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n昇格戦を捨てちゃうぐらい気持ちよかった？くすくす❤,Ah; there's so much it's leaking from my cleavage~❤ How was your bunny girl paizuri service? Did it feel so good you gave up on winning your promotion match? Hehe~❤
あん、お腹にどぴゅって当たってる❤\n顔を挟まれただけでイっちゃったんだ❤\n期待のルーキーなのに、おっぱいに弱いのねー❤くすくす❤,Oh; I can feel it hitting my stomach~❤ Looks like you came from just having your face between my boobs~❤ I guess even though you're a promising rookie; you're weak against breasts~❤ Giggle~❤
お酒を持ったバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。,Having been defeated by the intoxicated bunny girl; I was left on my knees on the arena floor; drained of energy.
決着ー！！勝者は{自分プレイヤー}選手！,The match is decided! The winner is {自分プレイヤー}!
バニーガールのおっぱい包囲網を前にして、\n期待のルーキーもついに陥落！\nやはり男は{自分プレイヤー}選手には勝てないのか！,Faced with the bunny girl's overwhelming breasts; the promising rookie has finally fallen! As expected; no man stands a chance against {自分プレイヤー}!
くす❤何度見ても男がおっぱいに負ける瞬間は無様ねー。,Giggle~❤ No matter how many times I see it; the moment a man loses to breasts is just pathetic.
わたしのモンスターの前でしこしこオナニーして、気持ちよかった？\n猿みたいに発情して、\nとっても間抜けだったわよ。このマーゾ❤,Did it feel good; jerking off in front of my monster? You were so horny; like a monkey in heat. You looked absolutely pathetic. You masochist~❤
なんだっけ、チンポでおっぱいを攻撃？\nぷぷぷ、チンポに脳みそあるんじゃないかってぐらいバカね❤\nヘコヘコ腰振りして自滅して、とっても間抜けだったわよ。ばーか❤,What was it again; attacking her breasts with your penis? Fuhuhu; you're so stupid it's like your penis is the one with a brain~❤ You just thrusted and lost on your own. It was so stupid. Idiot~❤
おっぱいで挟まれたらすぐふにゃふにゃになって、\nあとはズられるがまま❤\nエナジー搾られるまでアヘアへ言うことしかできなかったわね❤,The moment you got squeezed between her breasts; you immediately turned into a mushy mess and just went along with whatever she did~❤ All you could do was moan until your energy was drained~❤
射精したときなんて、あひぃって声が漏れてて、\nぷっ、傑作よ。傑作❤\n期待のルーキーがなっさけなーい❤,When you came; you let out a little out a cute little moan. It was hilarious! A real masterpiece!❤ The promising rookie ended up being so pathetic~❤
胸で顔を挟まれただけでどぴゅどぴゅ出して、\nチンポ早漏すぎでしょ❤,You just got your face squeezed between her breasts and you come so quickly! You're just a premature ejaculator~❤
