default
巨乳アラクネ,Busty Arachne
ちょっとだけ糸を緩めてあげようかしら。\nあなたがおっぱいから逃げれるように・・・❤,Maybe I should loosen the web a little. That way you can get away from my breasts...❤
ううっ…❤ああっ❤❤,Oogh...❤ Aah...❤❤
あは❤緩めた途端に、逃げるどころか腰振り始めちゃった❤\nおっぱいセックス、我慢できなかったわね❤\nそのまま出すまでパンパンしちゃう？くすくす❤,Aha~❤ The moment I loosened them; rather than running away; you started thrusting your hips.❤ You just can't resist sliding your penis between my breasts; can you?❤ Are you going to keep thrusting until you cum? *Giggle*❤
糸でがんじ絡めね。\nほら、動けないあなたのこと、おっぱいでからかってあげる❤,Seems you're tightly bound in those webs. Well; seeing how you're so defenseless; let me tease you with my breasts.❤
おちんちんの前でおっぱいをゆさゆさ❤ゆさゆさ❤\n大きなおっぱいが触れるか触れないかのところで揺れて、\nたまらないでしょ？くすくす❤,I'll start by jiggling them in front of your penis.❤ Jiggle Jiggle~❤ My big breasts are bouncing just close enough to nearly brush against your penis. Irresistable; aren't they? *Giggle*❤
あん、物欲しそうな顔しちゃって❤\nいいのよ？おっぱいに腰を突き出して、気持ちよくなりましょ？\n糸を少し緩めてあげるから、おっぱいにおいで❤あはん❤,Mmm; look how desperate you are~❤ It's okay. Why don't you thrust your hips out towards my breasts and make yourself feel good? I'll loosen my web a bit; so come closer. Ahn~❤
へこへこ♪へこへこ♪腰振り上手ね❤\nおっぱいフェチのあなたはわたしのおっぱいに陥落しちゃった❤\n射精するまでおっぱいセックス楽しみなさい❤,Thrust~♪ Thrust~♪ You're so good at moving your hips; aren't you?❤ You've completely fallen for my soft breasts; you naughty little tit-lover~❤ Go ahead and indulge in them until you cum.❤
あはん❤わたしのおっぱい、大きいでしょ？\nこれで気持ちよくしてあげるわ❤,Ahn~❤ My breasts are so big; aren't they? I'll use them to make you feel good.❤
あなたのおちんちんをずっぷり入れて…❤\nほおら、これだけでもう腰砕け❤\nおっきなおっぱいに根元まで飲み込まれて、腰がしびれちゃうわね❤,I'll just slide your penis all the way in...❤ Look; just this little bit makes your legs so weak.❤ My huge breasts will swallow you up; and make your hips go numb~❤
左右交互にズリズリ動かして、\nおっぱいに埋まったおちんちんをたっぷり可愛がってあげる❤\nきっと気持ちよすぎて天国よ❤ほら、ズリズリズリ❤,I'll rub up and down; giving your penis plenty of love between my breasts.❤ It'll feel divine.❤ Here. Stroke; stroke; stroke.❤
おっぱいで骨抜きにしてあげる❤\n男の子を骨抜きにするのってとっても簡単なのよ？\nほら・・・❤,I'll make you weak using my breasts.❤ It's really easy to make boys like you succumb; you know? Watch...❤
こうやっておちんちんむぎゅって捕まえて、\n両手でゆさゆさ揺らしてあげるだけ❤\nおちんちんがおっぱいで擦られて、脳みそとろけちゃうの❤,I'll just squeeze your penis like this; then massage my breasts around it.❤ The pleasure will melt in mind~❤
やわらかいおっぱいにおちんちん撫でられると、\n何も考えられなくなるぐらい、気持ちいいでしょ？\nうふふ、うっとりしたその顔が答えね❤,When your penis gets stroked by such soft breasts; it feels too good to think about anything else; doesn't it? Ufufu; your lewd face says it all.❤
わたしの大きなおっぱい、ここにおちんちん入れたくなぁい？\n谷間ににゅぷっと突き刺すだけで、天国見れるわよ❤,Don't you want to slide your penis between these large breasts? All you have to do is stick it in; and you'll experience heaven~❤
突き刺した後は、何回も腰を振るの。\nおっぱいまんこにパンパン種付け❤\nくすくす❤想像しておちんちんギンギンね❤,Once you slide it in; I'll jiggle my breasts over and over; letting you fill the space between them with your semen.❤ Ufufu~❤ Your penis grew stiff just from imagining it; didn't it?❤
うふふ❤わたしのおっぱいで気持ちよくしてほしいの？\nまだ召喚されたばかりなのに\nもうわたしのおっぱいに夢中になっちゃったのね❤,Ufufu~❤ You want me to make you feel good with my chest? You've only just been summoned; but you're already so horny for my big; soft breasts; aren't you?❤
うふふ❤わたしのおっぱいで気持ちよくしてほしいの？\n仲間のことを放り出して敵におねだりするなんて、\n欲望に負けちゃったのね❤,Ufufu~❤ You want me to make you feel good with my breasts? Abandoning your comrades and begging the enemy... You've completely given yourself over to your lust; haven't you?❤
いいわよ。たっぷり挟んで、\nわたしの谷間がどろどろになるまでいじめてあげるわ❤,Very well! Go on; slide yourself in. I'll squeeze and tease you until my breasts are completely covered in your warm semen.❤
あん❤激しい射精ね❤\nわたしのおっぱいをこんなに汚して、\nくす❤満足できたかしら❤裏切り者さん❤,Ahn~❤ That ejaculation was so intense; huh?❤ You've made a sticky mess all over my breasts. *Giggle*❤ I hope you're satisfied~❤ Mister Traitor~❤
ううっ…❤我慢できない…❤,Oogh...❤ I can't hold back anymore...❤
うふふ❤わたしの前でひざまづいてシコシコしだすなんて、\nおっぱいの前で理性を失っちゃったのかしら。,Ufufu~❤ You just knelt in front of me and started stroking yourself. Did you lose yourself in the presence my breasts? 
まだ召喚されたばかりなのに、\nずいぶんこらえ性がないのね❤\nくすくす❤,Even though you've only just been summoned... You sure do lack patience; don't you? *Giggle*❤
わたしの大きくてやわらかぁいおっぱい❤\nあはん❤たっぷり見せつけてあげる❤,My big; soft; jiggling breasts...❤ Ahn~❤ I'll show them off to you.❤
はうぅ、えろいぃ・・・❤❤,Hahh; so sexyyy...❤❤
くす❤目の前でおっぱい強調されたら、\n扱くのとっても早くなっちゃうわね❤,*Giggle*❤ When I flash these breasts in front of you; your stroking increased before you've even realized it.❤
試合中なのに、勝たなきゃとか攻撃しなきゃとか\nなんにも頭に残ってない❤,We're in the middle of a match; yet you're not thinking about winning or attacking.❤
残っているのは\n「おっぱいえろいよぉ」ってバカみたいな煩悩だけなんでしょ？\nふふ、みっともない蕩け顔ね❤,All that's left in your mind is your foolish thought of how sexy my breasts are. Fufu; what a pitiful look of ecstasy you have~❤
ねえ、このおっぱい、顔の前で揺らしてほしい？,Naughty boy; would you like me to jiggle these breasts of mine right in front of your face?
近くにあるだけでもエロすぎるんだもの。\nゆさゆさって上下に揺らしたら\nきっとたまらないぐらいエロいと思うの❤,Even just being close to them is too erotic for you; just think how irresistable it'll be if I jiggle them.❤
ほら、おねだりしなさい❤\n「顔の前で揺らしてください」ってみっともなくおねだり❤\nできるわよね？くすくす❤,Go on; beg me to do it.❤ "Please jiggle them in front of my face."❤ You can say it; can't you? *Giggle*❤
あひぃっ❤❤おねがい、顔の前で揺らして、揺らしてくださいぃ…❤❤,Ahhh!❤❤ Please; jiggle... jiggle them in front of my face...❤❤
あはは、しこしこしながら、\nおっぱい揺らしてっておねだりしちゃった❤\nなんてみっともないのかしら❤,Ahaha! You just begged me to jiggle my breasts while stroking your penis.❤ How humiliating is that?❤
ほら、あなたが見たかった絶景よ？\n頑張って耐えて、少しでも長く楽しみなさい❤,Here; it's the marvelous view you wanted to see. Do your best to hold back so you can enjoy it for as long as possible.❤
はぐぅ❤❤えろすぎる、ああっ、こんなのむりぃっ❤❤❤,Agh~❤❤ It's too sexy; aah; I can't take ittt~❤❤❤
あへぇ・・・❤❤,Ahee...❤❤
くすくす❤おっぱい揺らしはじめたら瞬殺じゃない❤\n火でも起こすのかってぐらいしこしこ扱いて、\nあっという間に射精しちゃったわ❤,*Giggle*❤ Once I jiggled my breasts; it was over in an instant~❤ You were stroking yourself like you were trying to start a fire; and then came in no time. You naughty boy~❤ 
わたしのおっぱいをどろどろにできて満足できたかしら？\nあなたのおかげで体力も回復♪\n男の子はやっぱりおっぱいにはかなわないのね❤,Did you enjoy making such a sticky mess of my breasts? Thanks to you; I've replenished some energy~♪ Boys just can't resist a nice pair of breasts; can they?❤
あらあら❤あなたもシコシコしはじめちゃうのね❤\n仲間がおっぱいに負けちゃうのを見て、\n自分も気持ちよくなりたいって思っちゃったのかしら。,Oh my~❤ You've started jerking off; too.❤ Did seeing your friend succumbing to my breasts make you want to feel good as well?
わたしとしてはエナジーをどんどん貢いでくれるなら大歓迎よ❤\nうふん❤わたしの大きくてやわらかいおっぱい❤\nあなたにもたっぷり見せつけてあげる❤,I'll gladly let you fill me with even more energy.❤ Ufu~❤ My big; soft breasts...❤ Let me show them off to you.❤
どう？目の前でおっぱい強調されて、\nたまらないでしょ？\nあなたの仲間が瞬殺されたのもよくわかるわよね❤,Well? You can't resist my breasts flashing right in front of you; can you? It's no wonder your allies fell so quickly; is it?❤
こんなおっぱい見せつけられたら、\nチンポどんどん気持ちよくなっちゃう❤\n頭の中エロいことでいっぱいになっちゃう❤,Seeing my breasts like this; your penis gets harder and harder~❤ Your head is filled with nothing but lewd thoughts.❤
試合中なのに、勝たなきゃとか攻撃しなきゃとか\n何も頭に残ってないのよね❤\nあるのは「おっぱいえろいよぉ」ってバカみたいな煩悩だけ❤,We're in the middle of a match; yet you're not thinking about winning or attacking.❤ All that left in your head is your foolish thought of how sexy my breasts are.❤
さっきの男の子もあなたも、\n男の子の頭の中ってすぐ空っぽになっちゃうのね❤\nくすくす❤,Both the boy before; and now you... Your minds melt so easily~❤ *Giggle*❤
あううっ❤❤おねがい…❤\nおっぱいを顔の前で揺らして、揺らしてくださいぃ…❤❤,Ahhh~❤❤ Please...❤ I beg you; please jiggle your breasts in front of my face...❤❤
あはは❤なに？あなたもさっきの子みたいに\nゆさゆさしてほしいの？,Ahaha~❤ What? Do you want me to let you stroke yourself to the same view I gave the naughty boy before?
自分から大きな声でおねだりしちゃって、\nなんてみっともないのかしら❤,It must be so humiliating; voluntarily begging out loud like that.❤
でも仕方ないわよね。\nだって、こんなにエロいんだもの。ほら、ほら、ほら・・・❤,It can't be helped; they're just too sexy. Here; look closely and watch...❤
はぐぅ❤❤すごいぃ、ああっ、こんなのむりぃっ❤❤❤,Hah; gah...❤❤ Amaizing; aah; I can't resiiist!❤❤❤
くすくす❤おっぱい揺らしはじめたら瞬殺じゃない❤\n蕩けた顔でしこしこ扱いて、\nあっという間に射精しちゃったわ❤,*Giggle*❤ Once I jiggled my breasts; it was over in an instant.❤ You looked so lewd as you jerked yourself off; and you came in no time.❤
うぐ、やるわね。\n思った以上の強敵みたい。,Ugh; not bad. It seems you're tougher than I thought.
でも、これならどう、ほら・・・❤,But; how about this? Here...❤
おっぱい見なさい❤あはーん❤,Look at my breasts.❤ Ahn~❤
胸に見とれてしまった,Stare at Her Breasts
視線をそらして攻撃した,'So... So big...'
あう、そんな一瞬の隙もできないなんて・・・。,Ow; naughty boy. You didn't even hesitate...
そう、男の子ならどうしても見ちゃうわよね❤\nその隙に…❤,That's it. If you're a man; you'll definitely want to stare at them.❤ And as you do...❤
ほら、あなたを糸で捕獲完了❤\nおっぱいを前にして隙だらけになっちゃう、あなたが悪いのよ❤,Look out; I've wrapped you in my web~❤ It's your own fault; getting so distracted by my big breasts.❤
急いで作った糸だから、少しもろいけれど、\nそれでも少しの間拘束するのには十分。,It was hastily made; so the threads are a bit weak; but it'll hold long enough. 
さあ、糸をこっちへたぐり寄せてあげる❤\nチンポ、わたしの谷間までいらっしゃい❤\n挟んでとろとろにほぐしてあげるわ❤,Now; I'll reel you in.❤ Bring your penis over to my warm breasts.❤ I'll squeeze it between them and melt you into a gooey mess.❤
全力で糸を振りちぎった,Struggle Against the web
体から力が抜けてしまった,'I... I can't get free!'
きゃ！まさかこんなすぐに網を破られるなんて・・・。,Kyaa! To think the web would snap so easily...
うふふ❤時間切れよ。\nおっぱいの中に、チンポをご招待❤\nぱっくん❤,Ufufu~❤ Time's up. Now; allow me to welcome you between my breasts.❤ Caught you~❤
うふふ❤おっぱいを前にして、\nもう逃げ出したくなくなっちゃったみたいね。,Ufufu~❤ Now that these breasts are in front of you; you don't seem to want to escape anymore; do you?
腕をだらんとさせて、\nわたしにされるがまま。\nほおら、おっぱいの中にチンポをご招待❤ぱっくん❤,Just let your arms drop; and don't resist; my naughty little boy. Here; let me welcome your penis between my breasts.❤ Caught you~❤
あっ、ああっ❤このっ、うぐぅ、離してっ❤❤ああっ❤❤,Ah; aaah~❤❤ Ah; ahh... This is... Let me go...❤❤ Aaah!❤❤
ふふ、こうやっておっぱいで快楽を与え続けてあげれば、\nもがく力なんて湧いてこないでしょう？,Fufu; as long as my breasts keep giving your penis such divine pleasure; you aren't even able to muster the strength to resist me; are you?
わたしの蜘蛛糸とおっぱいに捕らわれた男に、\n勝ち目なんてないの❤\nほらほら、ずりずりずり♪,Any boy caught in my web and buried in my breasts has no chance of winning.❤ Here; I'll start sliding them up and down~♪
はへぇ、だめ・・・❤きもちいい❤きもちいい…❤❤,Hahh; not good...❤ It feels so good...❤ So good...❤❤
くすくす❤あとちょっとでわたしを倒せたのに、\nおっぱいに見とれたばっかりに\n負けちゃうわね❤,*Giggle*❤ You were so close to defeating me; but then you got distracted by my breasts and lost~❤
チンポをおっぱいに包囲されて、\nなんにもできない❤\n糸からもがくどころか、うっとりした顔でパイズリされちゃってる❤,Your penis is wrapped in my breasts; and you're totally helpless.❤ Instead of struggling against my web; you're getting a paizuri with a lewd expression on your face. Naughty boy~❤
上級モンスターであるわたしを倒せれば、\n戦況的にはとっても大きかったのにね❤\nでも、こんなに気持ちいいなら十分お釣りがくるでしょう？,If you managed to defeat me; a high-level monster; that would've really swayed the battle in your favor.❤ But if it feels this good; then it's worth giving that up; isn't it?
チンポを何往復もしごかれて、\n腰がとけちゃうんじゃないかってぐらい気持ちよくなって、\n全身がガクガク❤ビクビク❤あん、もうすぐ射精しちゃう❤,As your penis is stroked over and over so many times; it feels so good that it's like your hips are numb; and your whole body starts to tremble.❤ Twitch; twitch~❤ Ahn; you're already about to cum~❤
我慢なんてしなくていいのよ❤\nほら、わたしを回復させるエナジー、\nおっぱいに負けて射精しちゃいなさい❤,No need to hold back.❤ Go on. It'll restore my energy; so just give into me and cum.❤
チンポの先っぽをずりずりずり❤\n精液谷間の奥においで❤\nあはーん❤,I'll slip the tip of your penis down...❤ Deep in the warmth of my semen-filled cleavage.❤ Ahn~❤
はひぃ・・・・❤❤,Hah; Aahhh...❤❤
うふふ❤いいエナジーをありがとう❤\nおかげでボロボロだった体も、\nすっかり元通りだわ。,Ufufu~❤ Thanks for the delicious energy.❤ Because of you; my battered body is now back in divine shape.
あら、敵を回復させちゃったのに、\nずいぶん嬉しそうな顔をしているのね❤\nおっぱい気持ちよかったの？くすくす❤,Oh dear; you just healed the enemy; yet you look so satisfied.❤ Did my breasts feel that good? *Giggle*❤
うぐ、やるわね。\n思った以上の強敵ぞろいみたい。,Ugh; not bad. It seems you're tougher than I thought; you naughty boy.
でも、あなたもこれには抗えないわよね、ほら・・・❤,But let's see how you stand up to this...❤
そう、男の子ならどうしても見ちゃうの❤\nその隙に…❤,That's it. You boys just can't help but look~❤ And while you stare at them...❤
ほら、あなたも糸で捕獲完了❤\nおっぱいを前にして隙だらけになっちゃう、あなたたちが悪いのよ❤,Look out; I've wrapped you in my web~❤ It's your own fault; getting distracted by my big breasts.❤
あっ、ああっ❤あと少しだったのにっ❤❤あううっ…❤❤,Ah; aah...❤ They're so close...❤❤ Auuu...❤❤
ふふ、こうやっておっぱいで快楽を与え続けてあげれば、\n糸を切る力なんて込められないでしょう？,Fufu; as long as my breasts keep giving your penis such divine pleasure; you aren't even able to muster the strength to resist me; are you?
どれだけ強い人間ぞろいでも\nみんなおっぱいに気を取られてるようじゃ仕方ないわ❤,No matter how strong everyone is; it's pointless if you all get distracted by a pair of breasts~❤
くすくす❤あとちょっとでとどめがさせたのに、\nおっぱいに見とれたばっかりに\nあなたも負けちゃうわね❤,*Giggle*❤ You almost had me; yet you're going to lose just because you stared at my breasts. Such a naughty boy~❤
だぷんだぷんって揺れるおっぱいに飲み込まれて、\nあへぇって声が漏れちゃう❤\nチンポがもうメロメロで、もう何も考えられない❤,You're so captivated by my bouncing breasts; you can't even stop yourself from moaning.❤ Your penis already feels so good that you can't think of anything else.❤
上級モンスターであるわたしを倒せれば、\n戦況的にはとっても大きかったのにね❤\n何体も逆に返り討ちにあってむしろ大ピンチ❤,If you'd defeated a high-level monster like me; that would've been a dire situation for us.❤ Instead; you're the ones in trouble now that I've taken down so many of your allies.❤
チンポをずりずりって激しくしごかれて、\n腰がとけちゃうんじゃないかってぐらい気持ちよくなって、\nみんなおっぱいに敗北❤あん、もうすぐ射精しちゃう❤,This arachne is stroking your penis so hard; your hips are already going numb. Everyone succumbs to my breasts in the end.❤ Ahn~ You're already at your limit~❤
チンポの先っぽを左右交互にずりずりずり❤\n精液谷間の奥においで❤\nあはーん❤,As I'm rubbing the tip of your penis; over and over...❤ Thrust it deep inside my semen-filled cleavage.❤ Ahn~❤
あら、敵を回復させちゃったのに、\nあなたもずいぶん嬉しそうな顔をしているのね❤\nわたしのおっぱい最高だったんでしょ？くすくす❤,Oh dear; you've just helped your enemy recover; yet you seem so pleased~❤ Aren't my breasts simply divine? *Giggle*❤
おっぱい揺らしてもらえて満足かしら？\n自分でしごいて負けちゃうなんて、思ったより弱いのね❤\nくすくす❤,Are you turned on by my big; jiggling breasts? To give in to your urges like that... You're weaker than I thought; aren't you?❤ *Giggle*❤
おっぱいに見とれて負けちゃうなんて、\nせっかく強いのにもったいないわ❤\n男って悲しい生き物ね❤くすくす❤,What a waste of all that strength; losing to breasts.❤ *Giggle*❤
わたしの胸、信じられないぐらい気持ちよかったでしょ❤\n糸で縛られながらわたしのパイズリで射精しちゃったら、\nもう普通の性癖には戻れないわよ❤くすくす❤,My breasts felt divine; didn't they?❤ Onve you've cum from my paizuri while tied up by in web; you won't ever recover!❤ *Giggle*❤
わたしの胸、信じられないぐらい気持ちよかったでしょ❤\n男の子が女に歯向かうなんて無謀だって、\nたっぷり分からされちゃったわね❤,My breasts felt divine; didn't they?❤ I hope you've learned your lesson. It's foolish for a boy to fight against a woman~❤
上級のアラクネモンスターにエナジーを搾り取られた僕は、自分の身体を支えられなくなり地面に膝をついていた。,After having my energy milked by the advanced Arachne monster; my legs gave out and I fell to the floor.
ふ、かわいいものだな。\n試合前に粋がっていたくせに、胸で攻められればすぐに果てるとは。\n情けないやつめ。,Pfft; how cute. You seemed so strong before the match; yet you fell so easily to an attack from my monster breasts. Pathetic.
ふ、かわいいものだな。\n無敗のルーキーといえど、アラクネの胸であっけなく骨抜きか。,Pfft; how cute. You're the Unstoppable Rookie; yet you instantly succumbed to an Arachne's breasts.
そんなに胸が恋しいか？\nまるで乳離れもできていない子供だな❤ククク❤,Do you really want her chest that much? You're like a baby who still needs to be breastfed.❤ *Snicker*❤
ううっ・・・❤,Oogh...❤
ヤツメさんは僕をあざけって笑う。悔しさが湧き上がってくるが、さっき与えられた{自分}による快感がまだ残っていて、足腰に力が入らない。,Yatsume laughed; mocking me. Frustration welled up inside me; but the pleasure {自分} had given me still lingered in my body; and I couldn't summon any strength in my legs.
くす❤すっかり蕩けた顔をしてる❤\nおっぱいをオカズにオナニーするの、そんなに気持ちよかったんだ❤,*Giggle*❤ Your face looks absolutely pleased.❤ Stroke yourself to the sight of my breasts must've felt divine.❤
くす❤足をぷるぷるさせちゃって、まだ気持ちいいんだ❤\nわたしのおっぱい、そんなによかったかしら❤,*Giggle*❤ Even now; your legs are still weak from the pleasure.❤ Just how divine were my breasts?❤
本当はそうやって快楽で動けなくした後、\nゆっくりと精を吸い取って食べるのが\nわたしたちアラクネの捕食方法なの。,Normally; after our prey is too weak from the pleasure to move; we Arachne would slowly suck out their semen before devouring them. 
でも今は闘技場だし、軽く搾り取るだけにしてあげる❤\nほら・・・❤,But we're in the arena today; so I'll just gently massage it out.❤ Get ready...❤
ここに今からあなたのチンポを挟んで、天国送り❤\nさあ、快感に促されるまま、エナジーをたくさん出してしまいましょう❤,I'll smother your penis between my breasts and send you to heaven~❤ Now; with the pleasure welling up inside you; let out as much energy as you can.❤
おっと、それはおあずけだ。{自分}。\nせっかくだから少しからかってやろうじゃないか。,Ah; let's hold off on that. {自分}. Perhaps we should play with our food. 
お前はただその男の前で胸を揺らせばいい。\nやっていいのは焦らすところまでだ。,Just jiggle your breasts in front of him. You're going to tease him a bit; no more than that.
無敗のルーキー、貴様は自分から懇願しろ❤\n固くなったソレを胸で挟まれたければ、\n「おねがいします、ヤツメ様」と、情けなく鳴いてみせるんだ❤,You'll have to beg for it yourself; Unstoppable Rookie.❤ If you want that stiff thing to be smothered between her breasts; then you'll have to pathetically cry out; "I beg you; Mistress Yatsume."❤
うふふ、そっちの方がおもしろそうね❤\nそれじゃ、あとはあなたが決めるのよ、無敗のルーキーくん❤,Ufufu; it's more fun this way.❤ It's up to you; Unstoppable Rookie~❤
わたしはあなたの腰の近くで、こうやっておっぱいを揺らすだけ❤,All I'll do is jiggle my breasts near your hips.❤
この中でチンポをずりずりってされるかどうかは、\nあなたが決めなきゃいけないの❤\nプライドと快楽、どっちが大事なのか、よく考えて❤ほら、ほら❤,If you want to slide your penis in here; you'll have to make a decision.❤ Think carefully. What's more important; your pride or your pleasure?❤ Go on; what's your choice?❤
はひぃっ、あうううっ❤,Hahhh... Ahhhh!❤
{自分}はこれ見よがしにおっぱいを僕の腰に近づけて、あとほんの少しというところで後ろに引いてしまう。,{自分} puffed her breasts out close to my hips; then pulled them back just before they touched.
（うう、もしあそこに挟まれたら・・・❤）,(Ugh... If I thrust my penis in there...❤)
（ああ、ダメなのにっ、腰が勝手に動いてっ❤ううっ❤）,(Aah; this is bad. My hips are moving on their own.❤ Ooh...❤)
くすくす❤ダメよ、降参の宣言なしにおっぱいで挟んではあげないわ❤\nそんな腰の動きなんて、少し体を引けば簡単に避けれちゃう❤,*Giggle*❤ That won't do; you naughty Boy. I won't wrap my breasts around you until I hear your declaration of surrender~❤ That kind of hip movement is easy to avoid if I simply pull back a little.❤
わたしができるのはあなたのチンポの前でおっぱいを揺らすことまで。\nね、気持ちよくなりたければ、分かるでしょう？,All I'll do is jiggle my breasts in front of your penis. Come on; if you want to feel good; you know what to do.
ううっ、そんな、ああ・・・❤,Ugh... No way... Aah...❤
僕は自分の腰の動きを止められず、むなしく空中でカクカクと腰を振ってしまう。そのあまりにもみっともない姿に、{自分}と{自分プレイヤー}はくすくすと声を漏らして笑っている,I couldn't stop my hips from moving. They were just thrusting helplessly in the air. {自分} and {自分プレイヤー} both giggled at the sight of me.
その葛藤でぐちゃぐちゃになった顔、たまらんな❤\n強がっている男を屈服させることほど、楽しいことはない。,You look so troubled; like you're in lustful agony. I can't get enough of it~❤ There's nothing like forcing a naughty boy to submit.
どうする？無敗のルーキー。\n{自分}の胸の間は、極楽だぞ？\n貴様の粗末なペニスなどすぐに果てさせてしまうだろう❤,Well; Unstoppable Rookie? It'll feel like heaven between her breasts; you know? We'll make your small dick cum in no time.❤
無駄な強がりなどせず、素直になったらどうだ？ククク❤,Why don't you drop the big man act and be honest with yourself; boy? *Snicker*❤
そうよ。ほらほらほら❤\n大きくゆさゆさゆさって揺らしてあげる❤,Here; take a look.❤ I'll give them a big jiggle just for you~❤
うう・・・❤えろいっ、えろくてぇ・・・❤\nああっ、むり、たえられないっ・・・❤,Oh...❤ So sexy; it's too sexy...❤ Aah; I can't take it; it's too much...❤
きもちよく・・・、して・・ください・・・❤,I beg you... Please... Make me feel good...❤
ん？よく聞こえんな。,Hm? Say it again. 
ううっ、きもちよくしてください❤\nおねがいしますっ❤{自分プレイヤー}さまぁ❤{自分}さまぁ❤,Ugh; please make me feel good!❤ I beg you!❤ Mistress Yatsume.❤ Mistress {自分}.❤
あはは❤涙目になっちゃってかわいい❤,Ahaha~❤ Your desperate face is so cute!❤
いい声で鳴くじゃないか❤\nほら、{自分}、やってしまえ。,Such a lovely voice.❤ Go ahead; {自分}.
はひぃ❤あっ、ああっ❤おっぱいがっ❤\nきもちいいっ❤,Hahii!❤ Ah; aah...❤ Breasts...❤ So good!❤
それじゃ焦らした分、たくさん気持ちよくしてあげるわね。ってあら・・・？,Well then; I'll have to make you feel even better to make up for all the teasing. Wait; huh...?
あううっ、むりっ❤もうっ、あひぃ❤❤,Ahhh; I can't!❤ No; ahiii~❤❤
くすくす❤おっぱいに入れただけで射精しちゃったの？\nほんとにおっぱいに弱いおちんちん❤\nパイズリするまでもなく降参しちゃった❤,*Giggle*❤ Did you cum just from sliding in? Your penis really is weak against big breasts.❤ You gave in before I could even begin to give you a paizuri.❤
でも、これで終わりじゃないわよね❤\nまだとっても固くて、「早くずりずりしてぇ」って\nわたしの谷間の中でヒクヒクおねだりしているもの❤,But we're not done yet; are we?❤ It's still so stiff; and still twitching between my breasts; begging me to start rubbing it soon~❤
