default
ドワン,Dwan
バトルってのは突貫力が一番最強だ！\n盾ごと貫く俺の攻撃力を見せてやろう！,I'll prove my strength by piercing straight through your defenses!
ぐっ、サキュバス相手に強いだけじゃねえんだな。\nたいしたもんだ！次も頑張りな！,Gosh; you're not just strong against succubus; are you? \nGood match; and good luck next time! 
闘技場の勝利報酬を得た！,The winner of the arena was rewarded for his victory! 
おまえのターンからだ！いいバトルをしようぜ！,It's your turn! Let's have a good battle!
俺のターンからだ。さあ、行くぞ！,It's my turn to start. Here we go! 
カードをドロー。,Draw card. 
カードをドローする。,I draw a card.
俺の切り札だ！{使用カード}を上級召喚！,My trump card! Advanced Summon {使用カード}!
いくぞ、{使用カード}を上級召喚だ！,Here we go; advanced summon {使用カード}! 
{使用カード}を召喚する。,Summon {使用カード}.
さらにもう1枚発動！,And another one is activated! 
相手モンスターを戦闘で破壊したとき{使用カード}の効果を発動！自身のコピーを場に生み出す！,When an opponent's monster is destroyed by battle; activate the effect of {使用カード}! It creates a copy of itself directly on the field! 
相手フィールド上にモンスターが1体のみ存在するとき、{使用カード}の効果を発動！攻撃力を400アップする！,When there is only one monster on the opponent's field; activate the effect of {使用カード}! Increase Attack Power by 400! 
相手モンスターを破壊したとき、{使用カード}の効果発動！カードを１枚ドローするぞ。,When an opponent's monster is destroyed; activate the effect of {使用カード}! Draw a card! 
食らえ貫通ダメージだ！\n相手モンスターのHPを超えた分のダメージを\n相手プレイヤーに与えるぜ！,Take that; it's piercing damage! \nThe excess damage after destroying your monster is dealt to your HP! 
相手モンスターを戦闘で破壊したとき効果を発動！俺のライフを2000回復する！,Activate this effect when an opponent's monster is destroyed in battle! Restore my life by 2000 points! 
戦闘で破壊されたとき、効果を発動！\nデッキからHPが1000以下の地属性モンスターを呼ぶぞ！,When destroyed in battle; my monster's effect is activated! \nI'll call an earth attribute monster with 1000 or less HP from my deck directly onto the field! 
高攻撃力のモンスターはHPが低いことが多いが、\nそこを魔法で補うのが戦術ってもんだ。\n{使用カード}を発動！,High-attack monsters often have low HP; but tactics can compensate for that. \nActivate the magic card {使用カード}!
魔法カード、{使用カード}を発動！\nバリアを貼って突撃しやすくするぜ！,Activate magic card; {使用カード}! \nI'm going to put up a barrier to protect my monster as it attacks!
{使用カード}を発動！自分のモンスターに戦闘ダメージを無効にする盾を付与する！,Activate {使用カード}! I grant my monster a shield that negates battle damage!
魔法カード、{使用カード}を発動！デッキから地属性のカードを手札に加える.,Activate Magic Card; {使用カード}! I add an Earth attribute monster from my Deck to my hand. 
手札にモンスターを補充しよう。{使用カード}発動！,Let's replenish my hand with a monster. {使用カード}.
魔法カード、{使用カード}を発動！LP500を払って味方の地属性モンスターに１ターン限りのバリアを貼る。,I activate {使用カード} by paying 500 LP! \nNow I can apply a barrier to one of my Earth attribute monsters every turn. 
永続魔法カード、{使用カード}を発動！,Activate permanent magic card; {使用カード}! 
突撃だ！{使用カード}を発動！このターンの間受ける戦闘ダメージが倍になる代わりに攻撃力を1000ポイントアップする！,Get ready for my assault! I activate {使用カード}! \nAt the cost of doubling the battle damage it takes this turn; my monster gets 1000 points of attack power! 
{使用カード}の効果を発動！自身が受ける戦闘ダメージは倍になるが、代わりにターン終了時まで攻撃力を1000ポイントアップする！,Activate the effect of {使用カード}! The battle damage he takes is doubled; but my monster's attack power is increased by 1000 points until end of turn! 
装備魔法カード発動！{使用カード}！,Magic card activate! {使用カード}!
魔法カードを発動するぞ！{使用カード}！,I'm going to activate a magic card! {使用カード}!
トラップカードを発動！{使用カード}！,Activate Trap Card! {使用カード}!
カードをセットするぞ。,I set a card face down. 
カードを伏せる。,I place this face down. 
俺の攻撃！{防御カード}を攻撃！,My attack! Attack {防御カード}.
バトルだ！{使用カード}で{防御カード}を攻撃！,{使用カード}; battle! Attack his {防御カード}!
ちっ、打つ手なしか。ターンエンドだ…。,Damn; no way to play. Turn end... 
何もできんな。ターンエンド。,I can't do anything. Turn end.
ターンを終了するぞ。,I'm going to end my turn. 
ターンエンドだ。,Turn End. 
俺のターンはおわりだな。ターンエンド。,I guess my turn is over. End of turn. 
