default
ファルコンーハーピー,Razor-Claw Harpy
先っぽが入ってきたな…❤ほら、ぎゅうっ❤\nくくく、敏感な先端を押しつぶされて、最高だろう？\nこの状態でゆっくり前後に動かしてやる。天国を味わえ❤,I can feel your tip going in...❤ I'll give it a squeeze~❤ *Titter* Having your sensitive tip crushed between my thighs feels amazing; doesn't it? Now; I'll start slowly rubbing you back and forth; just like this. Have a taste heaven~❤
なに？わたしに気持ちよくしてほしいだと？,What? You want me to make you feel good?
力の差に圧倒されたか？\nふふ、自ら敗北を乞うとは、情けないやつだ❤\nいいだろう、搾り取ってやる❤,Were you too overwhelmed by our difference in power? Fufu; begging for your own defeat... How pathetic~❤ Very well; I'll milk you dry~❤
くく、すぐ出してしまったな❤\nその蕩けた顔、ずいぶんと気持ちよかったようだ。,*Titter* You came so quickly~❤ Your face has melted away into pure bliss. It must have felt wonderful.
わたしの体に抱きとめられて天国を見れたのだろう？\n情けなくおねだりした甲斐はあったか？\nふふ・・・❤,Did you see heaven as I embraced you with my body? Was it worth begging so pathetically? Fufu...❤
くく、案の定すぐ射精したな。この雑魚め❤\n朦朧とした意識のなか、\n胸で揺さぶられてたまらなかったか？,*Titter* As expected; you came so quickly. Such a weak man~❤ Was being shaken between my breasts too much for your hazy mind to handle?
わたしの体に抱きとめられて天国を見れたのだろう？\nその顔❤情けなくおねだりした甲斐はあったようだな❤\nふふ・・・❤,Did you see heaven as I embraced you with my body? You look so pleased~❤ It seems your pathetic begging was well worth it.❤ Fufu...❤
あぅぅ……❤,Ahh...❤
おや、もしかして自分でしごいているのか？,Oh my? Have you truly started pleasuring yourself?
これは実力を見るための試験。\nお前のオナニーを見るための時間ではないぞ？,This is a test to see your abilities. Now's hardly the time to show me such a pathetic side of you; don't you think?
両手でしこしこ扱いてないで、\n早く武器を持ったらどうだ。\nほら・・・❤,Instead of stroking yourself with both hands; why don't you pick up your weapon and fight? Look...❤
こうやって胸を揺らされたり・・・❤,Even when my breasts bounce like this...❤
ふとももをぎゅっと寄せられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤,Or when my thighs press tightly together; you must ignore all that and hold your weapon high!❤
あうぅっ、エロいぃ……❤,Ahh; so sexy...❤
くく、ダメだな。\nこの程度の挑発でそんなに興奮して、\nまるで猿のようじゃないか❤,*Giggle* Well; this simply won't do. Getting this excited by such a simple level of provocation... You're far too simple and primal~❤
お前のちっぽけな脳みそでは、\nエロいことしか考えられないんだろう？\nしこしこ必死に扱いて、敵に屈服するのがそんなに嬉しいか。マゾめ❤,Can that tiny brain of yours focus on nothing but erotic things? Does desperately stroking yourself as you submit to your enemy make you happy? You masochist~❤
ふ、マゾと罵られてさらに興奮しているのか？\n扱く速度が速くなっているぞ？,Fu; is getting called a masochist exciting you more? You've started stroking faster; haven't you?
ううっ、もうっ……❤,Ooh; s-stop...❤
もう限界か。\nマゾのうえ早漏とは、実に情けないな❤,At your limit already? Not only a masochist; but premature as well. How truly pathetic~❤
どうやらお前は胸に特に弱いようだ。\nほら、頑張ってここまで飛ばしてみせろ❤,It seems you're particularly weak to breasts. Come on then; try your best to shoot it out all the way to my chest~❤
わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤,You want to cum on my large breasts; don't you? What if I sway them for you?❤ Get excited by my swinging breasts and hurry up and finish. You weakling master~❤
わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤,You want to cum on my large breasts; don't you? What if I sway them for you?❤ Get excited by my swinging breasts and hurry up and finish. You weakling monster~❤
ふふ、ずいぶん勢いよく射精したものだ❤\n見ろ、谷間がどろどろになってしまった。,Fufu; you ejaculated with such force~❤ Look; my cleavage is all sticky now.
ん？わたしのふとももが気になるか？\nはぁはぁと息を荒げながら、\nここばかり見ているな❤,Hm? Are you interested in my thighs? You're so focused on them; and you're breathing so heavily.❤
わたしの中に入れたいのか、それとも\nふとももに挟まれるところを想像しているのか…。\nどちらにしろオナニーしていてはかなわないだろうに❤,Are you hoping to slip yourself inside of me; or are you simply imagining being squeezed between my thighs? Either way; masturbating like this won't get you what you want.❤
手を止めればふとももで挟んでやってもいいぞ。\nほら、見ろ。こうやってピッタリくっつけて・・・❤,If you stop using your hands; I could pinch your cock between my thighs. Look; see. I'll press them tightly together like this...❤
前後にすり合わせて、\nお前のその小さなものを挟みつぶしてやろう。\nすりすり、むぎゅむぎゅと極楽を味合わせてやる❤,I'll crush that little thing of yours; stroking it back and forth as I do. I'll squeeze and rub it so tight you'll experience true paradise~❤
あっ、ああっ、エロすぎるぅっ……❤,Ah; aah; too... Too sexy...❤
くく、手を止める前に、\nわたしの脚の動きを見て、射精してしまったな❤\n我慢できなかったのか？,*Titter* You finished just from watching my leg movements before you could stop your hand~❤ Couldn't you hold back just a little longer?
お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。,Thanks to the energy you have given me; my vitality is completely restored. To betray your comrades and throw your life away; just so you could masturbate... What a pathetic master you are.
お前の与えたエナジーでわたしの体力は完全回復だ。\nせっかくのバトルをオナニーで締めくくるとは、\nまったく情けないマスターもいたものだ。,Thanks to the energy you have given me; my vitality is completely restored. To end such a promising battle early just so you could masturbate... What a pathetic master you are.
お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないモンスターもいたものだ。,Thanks to the energy you have given me; my vitality is completely restored. To betray your comrades and throw your life away; just so you could masturbate... What a pathetic monster you are.
・・・・。実力を見せてみろとわたしは言ったんだがな。\n無敗のルーキー、お前のしているそれが、\nお前の「実力」なのか？,....I told you to show me your power; didn't I? Is this all the 'skill' the undefeated rookie has to offer?
敵のモンスターの前にやってきて、シコシコ、シコシコ、\nみっともない蕩け顔で小さいチンポをいじる❤\nそれしかお前にはできないというわけだ❤,Coming before an enemy monster; stroking himself numb; playing with his small cock with that shameful; lewd face...❤ Is that truly all you're capable of?❤
お前の手下たちが次々自滅していったのも当然だな。\n主人がこのような軟弱ものでは、\n手下も軟弱ものになるのだろう❤,No wonder your underlings kept throwing themselves at my feet. With such a weak master; his minions were bound to be just as pathetic.❤
ほら、これだけ馬鹿にされているんだ。\n両手で扱いてないで、早く武器を持ったらどうだ。\nほら・・・❤,Listen to me; Rookie. I'm laughing at you. Instead of stroking yourself with both hands; why don't you pick your weapon back up? Look...❤
・・・・。またオナニーか。\nお前たちはまともに実力を見てもらう気があるのか？,... Masturbating again? Do any of you intend to properly demonstrate your abilities?
人のカラダで勝手に興奮して、\n勝手に自滅して・・・。\n雑魚ばかりで情けなくなってくるな。,Getting excited on your own by someone's body; surrendering all on your own... Nothing but weaklings. It's becoming sad to watch.
胸を弾むように揺らされたり・・・❤,Even when my breasts bounce so invitingly...❤
ふとももを前後に擦り合わせられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤,Or when my thighs rub back and forth against each other; you should ignore all that and grip your weapon properly~❤
くく、ダメだな。\n一度自分でしごき始めたら、\nもう止まらないようだ。,*Titter* It seems it's no use. Once you start stroking yourself; you just can't stop anymore; can you?
しこしことチンポをしごくたびに、\n腰が震えるように気持ちいいのだろう？\nわたしに呆れられながら扱くのがそんなにいいか。このマゾ❤,Each time you stroke your cock; your hips tremble with pleasure; don't they? Do you enjoy stroking yourself while being looked down on by me? You masochist~❤
ふ、マゾと罵られてさらに興奮しているな❤\n扱く速度が速くなっているぞ？,Fu; is getting called a masochist exciting you more? You've started stroking faster; haven't you?
胸を揺らし、軽く罵られただけですぐに屈服してしまう❤\nずいぶんと簡単な生き物だな、お前たちは❤,With just a jiggle of my chest and a stern reprimand you submitted so easily.❤ You humans truly are such simple creatures~❤
視線を見る限り、胸が特に好きなのだろう？\nほら、少しだけ顔の近くに寄せてやろう❤,Judging by where your eyes are looking; you're particularly fond of my breasts; aren't you? Here; I'll bring them closer for you~❤
弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤,You can't resist when my large; bouncing breasts are swaying so close to you; can you? Get excited by my swinging breasts and hurry up and cum. You pathetic master~❤
弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤,You can't resist when my large; bouncing breasts are swaying so close to you; can you? Get excited by my swinging breasts and hurry up and cum. You pathetic monster~❤
まるで噴水のような射精だな❤\nわたしの巨乳がよっぽど効いたか？このおっぱいマゾめ❤,Oh my; you shot out like a fountain!❤ Were my huge breasts truly that effective on you? You breast-loving masochist~❤
手を止めればふとももで挟んでやってもいいのだがな❤\nほら、見ろ。こうやってピッタリくっつけて・・・❤,If you'd just stop stroking yourself; I could squeeze you between my thighs~❤ Here; look. I'll press them together; just like this...❤
くく、手を止めればすり潰してやるというのに、\nイク寸前で手を止められんらしいな❤,*Titter* Though; it seems you're too far gone to stop yourself before you cum; no matter what pleasures I promise you.❤
さっさと果てろ。マゾめ❤,Fine then. Hurry up and finish. You masochist~❤
まったくこの程度もこらえられないとは情けない❤\n妄想の中でふとももにチンポを挟まれて気持ちよかったか？,It's pathetic that you couldn't even endure this much~❤ Did fantasizing about having your cock squeezed between my thighs feel good?
お前の与えたエナジーでわたしの体力は完全回復だ。\n手下ともどもオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。,Thanks to the energy you have given me; my vitality is completely restored. To think that you and your underlings would throw your lives away just so you could masturbate. What a truly pathetic master you are.
お前の与えたエナジーでわたしの体力は完全回復だ。\nこうも自滅者ばかりでは、手ごたえがないな。\n少しは力を見せてみろ、無敗のルーキー❤,Thanks to the energy you have given me; my vitality is completely restored. To betray your comrades and throw your life away; just so you could masturbate... What a pathetic monster you are. With so many of you throwing your lives away; this is proving no challenge at all. Come now; Undefeated Rookie. Show me at least a taste of your power!❤
ほう、わたしにここまでダメージを負わせるとはな。\nだが、この速度についてこれるかな…！,Hmph; so you managed to inflict some actual damage on me. But can you keep up with my speed...?!
うわっ！はぐぅっ❤❤,W-what! Ah; ugh...❤❤
わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速の突進、\nこれを初見で避けれるものはいない。,You couldn't follow my movements; could you? My charge is the fastest among all harpies. No one can hope to avoid it the first time they see it.
お前も同じだ。\n結界の壁まで一気に押し込まれてしまったな。\nククク❤,You're no different. I've managed to push you all the way to the barrier wall. *Titter*❤
なに、全速力でぶつかっても、\nこのやわらかい胸を顔に押し付けられただけだ。\n痛くはなかろう？むしろ・・・❤,What's wrong? Even at full speed; all that happened was my soft breasts pressing against your face. It didn't hurt; did it? In fact...❤
訳も分からぬまま顔を胸に埋められて、\n思考が極楽に染まっているのではないか？,With your face buried in my breasts so suddenly; isn't your unprepared mind awash with ecstasy?
抵抗などせずともよい。そのまま蕩けていろ❤\nわたしがお前を天国に連れて行ってやろう❤,You don't need to resist. Just melt away like that.❤ I'll take you to heaven~❤
理性を振り絞って振り払った,Muster your willpower and break free
体を動かすことができなかった,'So soft... I... I can't think...'
なっ、まだ振り払える力があるとはっ・・・。,Impossible. You shouldn't have the strength to break free...
あううっ・・・❤,Ahhh...❤
ふふ、武器を地面に落としてしまったな。\nもう腕に力が入らないか？,Fufu; it seems you've dropped your weapon. What's wrong? Can't muster any strength to fight back?
わたしを追い詰めたその実力を評価して、\n胸と脚の両方を使ってお前を搾り取ってやる。,In that case; for managing to corner me; I'll drain you using both my breasts and legs in recognition of the skills you've shown.
まずは顔を丹念にもみほぐしてやろう。\nほら、わたしのパツパツに張り詰めた胸を味わえ・・・❤,First; let me thoroughly massage your face. Here; lose yourself in the valley of my overflowing breasts...❤
あっ、あっ、ああっ❤❤,Ah; ah; aaah!❤❤
胸で頭を上下に揺さぶられて、\n何も考えられなくなるだろう？\nこれがわたしの胸の気持ちよさだ❤,With your head smothered between my breasts; you can't think of anything else; can you? This is the pleasure my chest has to offer~❤
谷間に埋まってしまってお前の顔は見えないが、\nきっと完全に蕩けてしまっているのだろうな❤\nその証拠に・・・❤,I can't see your face buried in my cleavage; but I can tell you're completely lost in bliss~❤ I can feel the proof already...❤
鉄の棒のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤,Your rubbing your cock against my thighs; and it's hard as steel.❤ You can't control your excitement; and your pre-cum is dripping everywhere~❤ *Titter*❤
顔だけじゃなくこちらも早くいじめてほしいのだろう？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤,Your face isn't enough; is it? You want me to tease this part too; don't you? Here; allow me to grant you the stimulation you're so desperate for. I'll grind my knee into your aching cock~❤
脱力しきったその体で強すぎる快感を受けて、\n果たして耐えられるかな？\nほらほらほら！,Can your limp body withstand such overwhelming pleasure? Take this! I won't hold back!
あぐ、あぐううぅ❤❤❤あっ、あああっ❤❤,Agh; ughhh!❤❤❤ Ah; aaaah!❤❤
ふふ、ビクンビクンと体を跳ねさせているな❤\nだが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はない❤,Fufu; your whole body is bouncing and twitching!❤ But with your back pressed against the barrier and your front held by my breasts; you have no where left to run~❤
快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な恍惚感で何も考えられまい？,The more you struggle to escape the pleasure; the more your face presses into my breasts and the sensations you're feeling intensify!❤ Can you even think through the intense ecstasy?
ほらほら❤胸と膝を同時に動かされて、\nさっさとイってしまえ❤\nあと少しで勝てた勝負を、快楽に負けて捨ててしまえ❤,Now I'll finish this!❤ As my breasts and knee move as one; hurry up and cum!❤ Throw away the match you almost won; and surrender to pleasure~❤
わたしの体に押しつぶされて、\n果てろ❤マゾ❤,Be crushed by my body; and perish!❤ You masochist~❤
はうぅうっ・・❤❤,Hahhh...❤❤
くく、残念だったな。\nお前の負けだ❤\nそれにしても・・・,*Titter* Too bad. You lose~❤ Although...
逆転負けしたわりには、ずいぶんと幸せそうな顔をしている❤\n胸で顔をほぐしてやったとはいえ、なんとも格好のつかない最後だな。\n変態め❤,For someone who just had their victory stolen from them; you look quite happy.❤ All I had to do was massage your face with my breasts. What an undignified end. You pervert~❤
ほう、わたしにここまでダメージを負わせる男がまだいるとはな。\nだが、勝負はこちらのものだ…！,Hmph; to think there's still a man who could wound me like this. But I won't lose...!
はぐぅっ❤❤,Aghh!❤❤
わたしの全速力には反応できなかっただろう？\nハーピーの中でも最速のわたしの突進、\nたとえ来ると分かっていてもそう避けられるものではない。,You couldn't react to my full speed either; could you? As the fastest charge among all harpy kind; my attack isn't something that can be avoided; even if you know what's coming.
直線的にのみ移動するわけではないからな。\n軽くステップを踏んだだけで避けれると思ったら\n大間違いだ。,I don't just move in a straight line. If you thought you could avoid it with just a simple sidestep; you were gravely mistaken.
結界の壁まで一気に押し込まれてしまったな。\nお前もさっきの男同様、このまま搾り取ってやろう❤,I've pushed you all the way to the barrier wall. I'll drain you just like I did your ally~❤
顔を胸に埋められて、\n息もできず\n何も考えられまい？,With your face buried in my breasts; unable to breathe; your mind's gone blank; hasn't it?
ふふ、武器を地面に落としてしまったな。\n快感で力が入らないか？,Fufu; you've dropped your weapon to the ground. Has the pleasure sapped the strength from your body?
胸で頭を上下に揺さぶられて、\n思考が塗り替えられていくようだろう？\nさっきまで果敢に戦えていたのに・・・、,Having your head smothered between my breasts; it feels as if your thoughts are being rewritten; doesn't it? Despite fighting so bravely just a moment ago...
こうしてたぷたぷと胸で頭をほぐしてやれば、\nなにもできない腑抜けになってしまう。\n男とは悲しい生き物だな❤,If I relax your mind with my big; soft breasts like this; you become a helpless; defenseless wreck. Men are such pitiful creatures~❤
鋼のように固くなったチンポが\nわたしのふとももに擦りつけられている❤\n興奮が抑えきれず我慢汁がダラダラじゃないか❤ククク❤,Your cocks gotten hard as steel and you're rubbing against my thighs.❤ You can't control your excitement and your pre-cum is dripping everywhere~❤ *Titter*❤
顔だけじゃなくこちらも早くいじめてほしいか？\nほら、お待ちかねの刺激だ。\nチンポをわたしの膝でぐりぐりと弄んでやる❤,Your face isn't enough; is it? You want me to tease this part too; don't you? Here; allow me to grant you the stimulation you're so desperate for. I'll grind my knee into your aching cock~❤
脱力しきったその体で、強すぎる快感を受けたらどうなるか、\nさあ、存分に味わえ❤\nほらほらほら！,Can your limp body withstand such overwhelming pleasure? Now; savor this moment to your heart's content! Come on! I won't hold back!
あはは、まるで陸に上がった魚のようだな。\nびくんびくんと大きく体を跳ねさせて、\n必死な様子が伝わってくる❤,Ahaha; you're like a fish out of water; bouncing and twitching so roughly; desperate to escape~❤
だが背中は結界に押し付けられ、\n前はおっぱいに抱き留められているお前に逃げ場はないぞ❤,But with your back against the barrier and your front held by my breasts; you have nowhere left to run~❤
快楽を逃がそうと暴れるほど、\n顔を胸に押し付けてむしろお前の快感は強くなる❤\n強烈な快感で視界が白く染まるようだろう？,The more you struggle to escape the pleasure; the more your face presses into my breasts and the sensations you're feeling intensify.❤ Is your world turning white from the intense pleasure?
胸に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤,To think you'd surrender to my breasts and stroke yourself to exhaustion. What a shameful way to lose. Were you truly so desperate to masturbate you would throw away your chance to fight an A-rank master? You fool~❤
妄想に負けて自滅するとは、恥ずかしい敗北だな。\nAランクマスターと戦える機会を棒に振ってまで\nオナニーがしたかったか？愚か者め❤,To think you'd surrender to your own fantasies and stroke yourself to exhaustion. What a shameful way to lose. Were you truly so desperate to masturbate you would throw away your chance to fight an A-rank master? You fool~❤
胸に押しつぶされ、膝でイかされてたまらなかっただろう？\n実力はあってもあと一押し足りなかったようだな。\nククク❤,Being crushed by my breasts and made to cum by my knee was simply unbearable; wasn't it? You had the skill; but lacked the will for that final push. *Titter*❤
ふふ、胸に顔を挟まれてイってしまったな❤\nわたしの体の感触は極上だっただろう？,Fufu; you came from just being squeezed between my breasts.❤ The feel of my body was simply exquisite; wasn't it?
くすくす❤脚で挟んですぐに果ててしまったな❤\n引き締まったふとももに挟まれて、天国だったか？\n早漏マスター❤,*Titter*❤ When I squeezed your cock between my legs; you came so quickly.❤ Wasn't it heavenly; being crushed between my soft; toned thighs? Premature master~❤
