default
オクタ,Octa
水属性モンスターとの戦闘時に\n{使用カード}の効果発動！\n相手に魅了を付与するわ。,When a Water Attribute monster is attacked; activate {使用カード}'s effect! Apply charm to them!
召喚に成功したとき{使用カード}の効果発動！デッキから水属性の装備カードを1枚手札に加えるわ。,Activate {使用カード}'s effect when a monster is successfully summoned! Draw one Water Attribute equipment card from the deck.
{使用カード}の効果発動！デッキから水属性装備魔法を1枚サーチするわ。,Activate {使用カード}'s effect! Draw one magical equipment card from the deck.
相手モンスターを破壊したとき{使用カード}の効果発動！HPを800回復しさらにもう一回攻撃できるわ。,Activate {使用カード}'s effect when an enemy monster is destroyed! Recover 800 HP and become able to attack another time.
相手モンスターを戦闘破壊したとき{使用カード}の効果発動！自身を回復してからもう一回攻撃よ。,Activate {使用カード}'s effect when an monster is enemy destroyed! Recover your HP and become able to attack another time.
全部水にしずめてあげる。魔法カード{使用カード}を発動！あなたの手札をすべて水属性にするわ。,Drown everything in water. Activate magic card {使用カード}'s effect! All cards in your hand are now Water Attribute.
墓地の水属性カード２枚をコストに、{使用カード}を発動！あなたの手札をすべて水属性にするわ。,Activate {使用カード}'s effect! All cards in your hand are now Water Attribute.
甘いわ。水属性モンスターの攻撃宣言時に{使用カード}を発動！攻撃モンスターに1000ポイントのダメージを与え、さらに１枚ドローよ。,Too naive. Activate {使用カード}'s effect when a Water Attribute monster declares an attack! The Water Attribute monster takes 1000 point of damage; and I also draw one card.
かかったわね。{使用カード}を発動！水属性モンスターが攻撃した時、そのモンスターに1000ポイントのダメージ与えて１枚ドローするわ。,I got you now. Activate {使用カード}'s effect! When a Water Attribute monster attacks; that monster takes 1000 point of damage and I also draw one card.
装備魔法カード発動！{使用カード}！,Activate magical equipment card; {使用カード}!
水属性キャラクターと戦闘するとき{使用カード}の効果を発動！ターン終了時まで自身の攻撃力を400ポイントアップするわ。,When attacking a Water Attribute enemy; activate {使用カード}'s effect! Until the turn ends; increase their attack power by 400 points.
{使用カード}の効果を発動！水属性の相手との戦闘時に、ターン終了時まで自身の攻撃力を400ポイントアップするわ。,Activate {使用カード}'s effect! When attacking a Water Attribute enemy; increase attack power by 400 point until the end of this turn.
戦闘するとき{使用カード}の効果を発動！相手が水属性でない場合、そのモンスターを水属性に変化させるわ。,Activate {使用カード}'s effect during combat! If the target isn't a Water Attribute; change the targets's attribute into Water Attribute.
