default
シスター,Sister Maria
うふふ❤快楽を願うのですか。\n教えの通り、女性に自ら身をささげるなんて、立派な心がけですね❤,Fufu~❤ You wish for happiness; don't you? Our faith teaches submitting oneself to a woman is a commendable act of devotion~❤
もちろんいいですよ❤\nさあ、わたしの愛を受け取ってください❤\nどのようにしてほしいか言えば、それも叶えてあげましょう❤,I’ll happily oblige~❤ Now please; accept my love~❤ Tell me how you wish to receive my devotion and I shall happily grant it~❤
癒しのパイズリ,Comforting Boobjob
癒しのぱふぱふ,Comforting Puff-Puff
なんでも,You decide
わたしの胸で癒してほしいのですね❤\nさあ、どうぞ❤谷間の中に招き入れてたっぷり愛を教えてあげましょう❤,So; you wish to be comforted by my breasts~❤ Then come to me~❤ I welcome you inside of my bosom~❤ I’ll teach you all I know about love~❤
わたしの胸であやされながら愛を囁いてほしいのですね❤\nたくさん顔を挟んで、ぱふぱふと、気持ちよくしてあげましょう❤,So; you wish to be comforted by my breasts as I whisper sweet words to you~❤ I shall craddle your head between my breasts and offer plenty of gentle puffs~❤
うふふ❤性器を優しくこすられて、\nとても気持ちよさそうに果ててしまいました❤,Fufu~❤ Seems that you’re very satisfied from my gentle rubbing~❤
男性が戦う愚かしさ、しっかり分かっていただけたようですね❤\n恍惚としたその顔、素敵ですよ❤,I’m sure you’ve now realized how foolish it is for a man to be fighting.❤ Those blissful expressions you make are so wonderful~❤
くす❤上手に甘えることができましたね❤\nあなたの「戦うための力」をこんなにたくさん捨てられて、\nとても偉いですよ❤,Giggle~❤ Looks like I’ve pampered you very well~❤ What a good boy you are; throwing all of your power away~❤
さあ、残りも全部出し切りましょうね❤\n空っぽになるまでぎゅっと抱きしめてあげます❤\nうふふ❤,Now then; shoot out everything you have left~❤ I’ll hold you tight until you’re completely empty~❤ Ufufu~❤
あっ、ああっ・・・。,Ahh; ahh...
あら、またわたしでオナニーですか？本当に"自己犠牲"がお好きなのですね。,Oh; you’re masturbating to me again? You really do love throwing your matches.
隠さなくてもいいんです。手を見れば何をしているのかすぐに分かりますよ。そんなに一生懸命シコシコしちゃってみっともない❤,You don’t have to hide what you’re doing. I figured it out immediately when I saw your hands. Rubbing yourself so desperately. How unbecoming of you~❤
あらあら、前回も敗北して今回も敗北してしまうんですね。,Ara; ara. You lost last time; and now you’ve lost again.
それも今回は自分からオナニーしてしまうだなんて。くすくす。修行を積むどころから前よりも弱くなってしまったようです❤,This time; you even lost by masturbating on your own. Hehe; it seems that instead of getting stronger; you’re even weaker than before~❤
うふふ。わたしの前でうずくまって、どうされました？もしかして体調が悪いのですか？それとも…。,Ufufu; why are you kneeling before me? Are you feeling unwell? Or perhaps...
性欲に負けて自ら扱きはじめてしまったのでしょうか？くすくす❤,You have lost yourself to desire and started pleasuring yourself. Giggle~❤
隠さなくてもいいんです。手を見ればどちらかすぐに分かりますよ。そんなに一生懸命シコシコしちゃってみっともない❤,You don’t have to hide what you’re doing. I  figured it out immediately when I saw your hands. Rubbing yourself so desperately. How unbecoming of you~❤
自ら敗北を認めたあなたのために、祈ってさしあげましょう。両手を胸の前で組んで、そのままぎゅーっとおっぱいに押し付けて…❤,I’ll offer a prayer for you; who have admitted defeat. I’ll clasp my hands in front of my breasts and press them tightly to my chest...❤
わたしの手をよく見てください。おっぱいを見ちゃだめですよ…❤手を見るんです…❤,Please look at my hands; not at my breasts...❤ At my hands...❤
あううっ…❤,Auughh...❤
くすくす❤ダメだって言っているのに、目がおっぱいに釘付けですね。手を押し付けて軽くひしゃげさせただけなのに、そんなに興奮しちゃうんですか？,Giggle~❤ You still couldn’t pull your eyes from my breasts despite me saying not to look. Did you really get this aroused just from me pressing my breasts a little?
せっかくなら祈りの手ではなく、あなたの顔やペニスを挟んでさしあげたかったんですけれど。まあ、オナニーで満足している弱々ペニスなのですから、別にいいですよね❤,I would’ve loved to have held either your face or your penis between between my breasts instead of simply praying. Though a weak penis can be satisfied from masturbation alone; so I am certain you will be fine~❤
パイズリやぱふぱふでたっぷり気持ちよくしてあげるまでもなく、自分から負けちゃう雑魚チンポ❤くすくす、恥ずかしいですね❤,I needn't even offer my breats for such a feeble dick to lose on its own~❤ Hehe; how embarrassing~❤ 
あらあら、こんなこと言われて興奮しちゃうんですか？シコシコが早くなっています。一心不乱にシコシコ❤シコシコ❤そんなにしごいたらすぐに負けちゃいます❤,Ara; ara. I said all that and yet you're getting even more excited? Your hands are moving faster~❤ You’re so focused on rubbing yourself~❤ Fap; fap~❤ You’re going to lose soon if you keep rubbing it like that~❤
では、どうぞ。見下ろされながら、わたしにエナジーを捧げてください❤あなたに信仰が、恍惚と共に芽生えますように。,Go ahead; devote your mana to me as I look down on you~❤ May your faith begin to bloom as you find yourself in ecstasy.
あっ、ああっ…❤,Ahh; ahh...❤
くすくす。今回もたくさん出しましたね。マスターとしての務めより、わたしたちへの供物を優先できて、偉いですよ❤,Hehe. Once again; you came so much. What a good boy; prioritizing giving us offerings over your duties as a cardmaster~❤
次会う時も、ぜひこのオナニーの快感を思い出してくださいね。きっと素晴らしい一戦がまたできるでしょう。うふふ❤,Next time we meet; please remember how pleasurable that masturbation was. I’m sure that we’ll have yet another wonderful fight. Ufufu~❤
くすくす。たくさん出しましたね。ずいぶんと満足そうな蕩け顔です❤信仰のよさが少しは分かっていただけたでしょうか。,Hehe. you came so much. You have such a satisfied and blissful expression on your face~❤ I wonder if you’ve come to understand our faith a little better.
隠さなくてもいいんです。手を見ればどちらかすぐに分かりますから。そんなに一生懸命シコシコしちゃって…。みっともない❤,You don’t have to hide what you’re doing; I figured it out immediately when I saw your hands. Rubbing yourself so desperately... How unbecoming of you~❤
いいですよ。我慢は必要ありません。見下ろされながら、わたしにエナジーを捧げてください❤あなたに信仰が、恍惚と共に芽生えますように。,It’s alright. No need to hold back. Offer me your mana as I look down on you~❤ May your faith begin to bloom as you find yourself in ecstasy.
わたしたちに屈すれば、幸福が訪れますよ？他の方もぜひいらっしゃってください。信仰の門は誰にでも開かれていますから。うふふ❤,See? Did you not find yourself with happiness in your heart as you submited yourself? Others are also welcome to join. The doors to our faith are open to everyone; after all. Ufufu~❤
あらあら、弱いモンスターさんでも釣れたらと思っていたのですが、まさかマスターさん自らオナニーしに来るだなんて❤,Ara; ara~ I thought I’d only catch weak monsters; but to think that even the cardmaster himself would also approach; rubbing himself so freely~❤
使い魔が弱いのも納得ですね。おちんちんをもっと鍛えたほうがよいのではないかしら。くすくす❤,No wonder your subordinates are so weak. Shouldn’t you be training your dick more? Giggle~❤
うふふ。あなたもわたしの前でシコシコ始めてしまうんですか？信仰に興味を持つ方が増えてくださってうれしい限りです❤,Ufufu; are you also going to start masturbating in front of me? I’m grateful that more people are so interested in our faith~❤
性欲に負けたみじめなあなたのことも、神はお許しになられます。,The Lord will forgive even you; who gave in to your desires.
自ら敗北を認めたあなたのために、一緒に祈ってさしあげましょう。これが見たいからあなたも負けを選んだのですよね。ほら、両手を胸の前で組んで、そのままぎゅーっとおっぱいに押し付けます…❤,Let us pray for you; who have admitted defeat; together. You chose defeat as you also wished to witness this; yes? Here; I shall clasp my hands together in front of my breasts and press them both tightly to my chest...❤
くすくす❤ダメだって言っているのに、あなたも目がおっぱいに釘付けですね。手を押し付けて軽くひしゃげさせただけですよ？それなのに、そんなに興奮しちゃうんですか？,Giggle~❤ Despite me saying not to look; your eyes remained glued to my breasts. I have only pressed my hands lightly against them; and yet you are already this excited?
じっと待っていれば、わたしやわたしのしもべに気持ちいいおっぱい攻撃してもらえたかもしれないのに、あと少しが待てなくて、自分からシコシコ❤シコシコ❤,Had you been more patient; perhaps you would have been treated to a pleasant breast attack from either me or my subordinates~❤ But you couldn’t wait any longer and started rubbing yourself all on your own~❤
パイズリやぱふぱふでたっぷり気持ちよくしてあげるまでもなく、自分から負けちゃう雑魚チンポ❤恥ずかしいですね❤くすくす❤,I needn't even offer my breats for such a feeble dick to lose on its own~❤ Hehe; how embarrassing~❤
あらあら、こんなこと言われてあなたも興奮しちゃうんですか？シコシコが早くなっています。一心不乱にシコシコシコ❤そんなにしごいたらすぐに終わりが来ちゃいますね❤,Ara; ara. I said all that and yet you're getting even more excited? Your hands are moving faster~❤ You’re so focused on rubbing yourself~❤ Fap; fap~❤ You’re going to lose soon if you keep rubbing it like that~❤
このまま戦線が崩壊するまで、みなさん貢ぎに来ませんか？神へ供物をささげに来るのはとっても素晴らしい行いですよ。,Why don't the rest of you continue offering tributes until your formation falls apart? Offering tributes to the Lord is a very wonderful deed; indeed.
信仰の門は誰にでも開かれています。さあ、わたしのそばに来て、この人のように幸せになりましょう？うふふ❤,The doors to our faith are open to all. Now; come stand by my side and let us find true happiness together; shall we? Ufufu~❤
オナニーで敗北してしまうなんて、同じランクのマスターとして恥ずかしいです❤もう1ランク下に降りたほうがいいかもしれませんね。くすくす❤,Losing by masturbating to a cardmaster of the same rank is rather shameful~❤ A lower rank would be more fitting? Giggle~❤
オナニーで敗北してしまうなんて、わたしより上位ランクのマスターとして恥ずかしい負け方ですね❤もう1ランク下に降りたほうがいいのかもしれませんよ？くすくす❤,Losing by masturbating on your own is rather shameful; especially since you’re a higher rank than me~❤ Perhaps a lower rank would be more fitting? Giggle~❤
うふふ。ぱふぱふされただけでお漏らししてしまいましたね❤わたしの胸の感触、気持ちよかったですか？,Ufufu. I’m just pressing my chest to your face; and yet you came so quickly~❤ Did you really enjoy my breasts that much?
んっ❤谷間にどぷどぷ出ています❤おっぱいなんかに負けちゃうんですから、やはり男の人には戦いは向いてないんですね。くすくす❤,Mmm~❤ It’s leaking all on my breasts~❤ Men really are not fit for battles when they lose to something so simple. Giggle~❤
勝負に負け動けなくなった僕は、シスターの前で膝をついていた。,Having lost the fight and no longer able to move; I knelt in front of Maria.
よくわかりましたか？男の人は快楽には勝てないように出来ているのです。,Have you finally understood? Men by their very nature cannot win against pleasure.
どれだけ戦いへの信念があったとしても、柔らかい胸で包んであげるだけで、たちまちに戦意を失ってしまうかわいらしい存在…❤それが男です。,No matter how much they believe they can fight it; men are such simple creatures that they lose their fighting spirit once they’re enveloped by the soft warmth of breasts...❤ That’s the true nature of man.
まあ、あなたの場合はおっぱいを使うまでもなく、勝手に自滅して射精してしまいましたが。くすくす❤,Though; in your case; I needn't even use my breasts. You threw the match and came all on your own. Giggle~❤
あなたもわたしの胸に顔を埋めてあげたら、手で扱くまでもなく射精してしまいましたね。自分の無力さをひしひしと感じるでしょう？,Once I welcomed your face into my bosom; I didn’t even need to use my hands for you to finish. Surely now you are deeply aware of how powerless you are; yes?
あなたもわたしの胸でパイズリをされて、すぐに果ててしまいましたね。自分の無力さをひしひしと感じるでしょう？,You even came right away when I gave you a boobjob. Surely you are now deeply aware of how powerless you are; yes?
さて、このあとはどうしましょうか…。そうですね。神殿に連れ帰って、そこで少し教誨をいたしましょう。,Now; what to do next... Perhaps I’ll take you back to the church and give you a little guidance.
大丈夫、怖いことはしません。ただ気持ちいいことをするだけです❤,Do not be afraid; I’m not going to do anything to hurt you. In fact; I’m only wish to provide you pleasure~❤
そう言うとシスターはモンスターに僕を担がせて、神殿まで運んでいった。エナジーを奪われて体に力が入らない僕は抵抗もできず、街の人の視線に恥ずかしい思いをしながら、神殿内の一室に運び込まれた。,As the nun said those words; her monster carried me on her shoulders to the church. With my mana stolen and unable to resist; I was carried to a room inside; all the while feeling embarrassed by the stares of people in the city.
さて、今からするのは大事な教誨です❤わたしの体を通してあなたの体に教えの素晴らしさを伝えてさしあげましょう。,Alright; now let’s begin our all-important guidance~❤ I’ll teach your body the wonders of our faith through the use of my own.
大丈夫。怖くないですよ。カードバトル後の残虐な行為は街の法で禁じられています。わたしがするのは残虐さとは真逆の行為です…❤,Acts of cruelty after a card battle are forbidden by law; so there’s nothing to be scared of. In fact; what I will be doing to you is anything but...❤
さあ、天国を味わってください❤,Let us begin. I’ll let you taste heaven~❤
はひぃっ、あっ、ああっ…❤,Hahiee; ahhh...❤
うふふ❤まだ顔をおっぱいで挟んであげただけ、それなのにとても可愛い声を出しますね❤,Ufufu~❤ I have only just taken your face into my breats and you’re already letting out such cute moans.❤
さきほどもわたしの胸に見とれてオナニーして負けてしまったんですものね。おっぱい好きなんでしょう？くすくす❤,Even earlier; you lost by rubbing yourself to my chest. You really love breasts; don’t you? Giggle~❤
さきほどもぱふぱふだけでイかされたようなあなたですからね…❤この感触たまりませんか？さっきの射精の気持ちよさ、思い出してしまいますね。くすくす❤,Even earlier; you came from having breasts pressed to your face...❤ They are irresistable; aren't they? You can’t help but remember how pleasurable it was. Giggle~❤
移動の間、少しずつ収まっていた勃起も、あっという間に元に戻ってしまいました。わたしのふとももに固いのが当たっていますよ。,Your arousal had subsided on our journey here; but it immediately returned when I welcomed you into my breasts that. I can feel it pressing against my thighs.
あら？さっきと同じどころか、さらに固く大きくなっているみたい…❤女に上に乗られて弄ばれているのに…。くすくす❤そういう性癖みたいですね❤,What's this? You may actually be more aroused now than earlier...❤ Despite a women is mounting you and teasing you like this... Giggle~❤ Perhaps that is what you enjoy~❤
知ってます？女に上に乗られて喜ぶ人のことをマゾって言うんですよ❤わたしたちの教えにとってマゾの人はとても相性がいいんです…❤,Did you know? Men who like being mounted by a women like this are called “Masochists”~❤ And masochists are perfect for our faith...❤
だって、そうでしょう？マゾの人はこうやって上から無理やりおっぱいを押しつけてあげるだけで、簡単にメロメロになってしまいますから…❤,But that should be obvious; no? After all; masochists are easily infatuated when someone gets on top and force their breasts on them like this...❤
はひぃっ…❤あっ、あっぁ…❤気持ちいいぃ❤,Hahiee...❤ Ahh; ahh...❤ So good~❤
うふふ❤天国のようですか？女の胸に溺れるのは気持ちいいですよねえ❤,Fufu~❤ Heavenly; isn’t it? Drowning in a girl’s breasts feels good; don't you think?❤
"男が戦う必要はない、すべてを女に委ねるべきだ"、その教えの素晴らしさが深く身に染みてくるでしょう？特に、マゾなあなたには。くすくす❤,“Men don't need to fight and must instead entrust everything to women.” That wonderful doctrine resonates deep inside of your body; yes? Especially when you; yourself; are a masochist. Giggle~❤
上に乗られてぱふぱふされているだけなのに、心はどろどろ❤気持ちよくて気持ちよくて頭の中が溶けそう❤,Your heart’s turning into mush despite having a woman mounted on top of you and pressing her breasts against your face~❤ You’ll keep feeling more and more pleasure until you find yourself in bliss~❤
女に屈服したいんですよね❤あなたの本性がそれを望んでいるんですよね❤ほら、おちんちんの方にもしっかり快楽を与えてあげます。体を上下に動かしてっと…❤,I know that you want to submit yourself to a woman~❤ Deep down; that is what you truly desire~❤ Here; I’ll also pleasure your dick by moving my body up and down...❤
あふぁ❤なにこれぇ、あへぇ…❤,Ahh...❤ What are you... Ahiee...❤
ふふふ❤あなたのおちんちん、どこかに挿れてしまいました。ぎゅって包み込まれて気持ちいいですか？,Fufu~❤ I wonder where your dick went. Does it feel good when I squeeze it tightly?
エッチの経験が少ないあなたには今何されているかよく分からないでしょう？太ももでしごいているのか、それともわたしのナカに入れられているのか…❤,I wonder; can someone without any sexual experience like you figure it out? Whether you’re being rubbed by my thighs; or whether you’re actually inside of me...❤
もしかして童貞卒業かもしれませんね。ほら、おっぱいに埋もれながらたくさん妄想していいですよ…❤くすくす❤,Maybe you’re actually losing your virginity right now. Come now; imagine it as I bury you in my breasts~❤ Giggle~❤
きもちいいよぉ…❤あったかくてぇ…❤あうう、もうだめぇ…❤,It feels too good...❤ So warm...❤ Ahhhh; no more...❤
はいはい。どうぞ負けちゃってください❤射精と同時に、女の子に負ける気持ちよさをたくさん体にしみこませてくださいね❤,It's alright. Go ahead and surrender~❤ Bask in the pleasure of losing to a woman as you cum~❤
わたしの体温に包まれながら、わたしに深く深く屈服するんです。とっても気持ちいいですよ❤ほら、腰を上下に激しくぐちゅぐちゅ動かします❤,You’ll find yourself submitting to me deep inside of your body as you are embraced by my warmth. It will feel so wonderful~❤ Please; allow me to move my hips even faster~❤
あうっ…❤あっ…❤ああっ…❤で、出るぅ…❤,Hauu...❤ Ahh...❤ Aahhh...❤ C-Cumming...❤
んふふ、熱いのがドクンドクンって…。こぼれちゃいそうです❤,Fufu; it's pouring out so hot... There's so much; it feels like it might spill out~❤
どうでしたか？女に負けて幸せになれましたか❤くすくす❤,So; how was it? Did you find yourself happy losing to a woman?❤ Giggle~❤
さてと、それじゃ解放してあげますね。あんまりエナジーをいただいてはかわいそうですから。,Well then; it’s time for me to release you. It wpi;d be bad if I were to take your mana any further than this.
あっ…❤ううっ…❤おわりっ…？も、もっとぉ…❤,Ahh...❤ Uuuu...❤ Over...? I-I want more...❤
