default
シルヴィア,Sylvia
あら、無敗のルーキー、また会ったわね。\nいまもまだ調整作業中？,Oh my. Undefeated rookie; so we meet again. Are you still adjusting your deck?
それならほら、わたしとバトルしましょう。\nなかなかあなたに勝てないけれど、今日は勝ってみせるわ。,Then come; let's battle. My record against you may be spotty; but today I'll claim victory for sure.
この前はわたしが勝ったけれど、\n実力は伯仲しているわ。\n今日もいいバトルにしましょう。,I may have won last time; but our skills are evenly matched. Let's have another wonderful battle today.
うう、さすがね。あなた以外には全然負けないのに、\nまた負けてしまうだなんて。,Ugh; as expected. I never lose to anyone else; but you ended up beating me yet again.
少しはあなたの調整の役に立てたかしら。\nそれじゃあ、師匠との試合頑張ってね。応援してるわ。,I hope I was at least able to help improve a little. Well then; good luck with your match against your master. I'm cheering for you!
ふふ❤今日はわたしの方が強かったみたい。\n久しぶりに射精してしまったんじゃない？気持ちよかったかしら❤,Fufu~❤ It seems I was the stronger of us today. Has it been a while since you came last? You seem to have enjoyed it~❤
男の子の性欲ってどうなってるかわからないけれど、\nこれですっきりできたなら、お師匠さんとの戦いも\n冷静に臨めるんじゃない？応援してるわね。,I don't really understand how boys' sex drives work; but if this calmed you down; you should be able to face your master with a clear head now; right? I'm rooting for you; okay?
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,You don't have enough rank points to challenge (Current rank points: {ランクポイント}).
さあ今日も始まりました！\nみなさんお待ちかね、無敗のルーキーの試合です！,Now then; let's get the day rolling again! It's the match everyone's been waiting for! Introducing... the undefeated rookie!
{主人公}選手はDランクで闘技場に参戦してから、ここまで無敗！\nBランクに上がってからも順調に勝利を重ね、\n今日の試合でAランク昇格戦への挑戦権が与えられます！,{主人公} first entered the arena as a lowly D-rank; and has remained undefeated up until now! Even after rising to B-rank; he's continued winning match after match; and a victory today would give him the right to challenge an A-rank promotion match!!
これまでのカードマスターギルドの歴史の中で、\n一度の大会でFランクからAランクに一気に駆け上がった選手はいません！\nそのうえ公式戦無敗となれば、もはや伝説！,In the entire history of the Cardmaster Guild; no player has ever rushed from F-rank to A-rank in a single tournament! Not to mention if he continues to remain undefeated in his arena matches; he will no doubt go down in history as a true legend!"
しかし、彼の前に立ちふさがる壁も大きい！\nそう、今日の相手はあのカードマスター学園のトップランカー！\n「無敵の盾」の使い手、シルヴィア選手だ！,However; the wall between him and such a fairytale ending is an imposing one! Yes; today's opponent is a certain top-rank student from the Card Academy! The wielder of the "Unbreakable Shield;" Sylvia!
圧倒的な防御力を誇る最上級モンスター、「イージス」の使い手にして\n学園一の秀才！彼女の絶対防御を破れず\nなすすべなく敗北したカードマスターは数知れません！,The master of the legendary monster—boasting overwhelming defensive power—"Aegis;" and the academy's top genius! Countless cardmasters have been left helpless; unable to break through her absolute defense!
シルヴィア選手も学園在学中に着実にポイントを貯め、\nこの試合に勝てばAランク昇格戦に挑戦できる状態です！\n学園在学中にAランクに昇格した例は、なんと３例しかありません！,Sylvia has also been steadily accumulating points throughout her years at the academy; and if she wins this match; she'll also walk away with the right to challenge for an A-rank promotion! In all of history; there have only ever been 3 students to achieve A-rank while still enrolled!
つまり！彼女も何十年に一人の逸材ということです！\n勝つのは「無敗」かそれとも「無敵」か！稀有な天才たちが、\nいまこの場でぶつかり合う！一瞬たりとも目が離せない試合です！,In other words; she's already more than proven herself to be yet another once-in-a-century fighter! Will "Undefeated" win; or will "Unbreakable" triumph instead? Rare prodigies are clashing right here; right now! You can't take your eyes off this match for even a moment!
はじめまして。わたしはシルヴィア。\nあなたが噂の無敗のルーキーね。\nこうして試合ができること、光栄に思うわ。,It's nice to meet you. I'm Sylvia. So you're the rumored undefeated rookie. I'm honored to be able to have this match with you.
同級生のメロディちゃんはなにやら姑息な手を使ったみたいだけれど、\nわたしは違う。\n自分のモンスターの強さにプライドを持っているの。,My classmate; Melody; may have resorted to using some underhanded tricks in her fight with you; but not me. I take pride in my monsters' strength.
さあ正々堂々、カードとカードのぶつかり合いで、\nどちらが強いかはっきりさせましょう！\nAランクに上がるのはわたしよ。無敗のルーキー！,Now; let's settle this fair and square through card-on-card combat and prove which of us is stronger! I'll be the one rising to A-rank; undefeated rookie!
(ううっ、なんて大きな胸・・・❤\nおっぱいが大きすぎて話が頭に入ってこない…❤),(Ugh; her breasts are huge...❤ They're so big I... I can't focus on what she's saying...❤)
・・・？\nって、はぁ・・・。\nあなたどこ見てるの？,...? Huh; hey... Where are you looking?
・・・！,...!
人がまじめに話しているのに、顔も見ないでおっぱいばかり。\nそんなに気になる？まあ、大きいものね。,I'm trying to have a serious conversation here; and yet you refuse to even look at my face; choosing instead to just stare at my breasts. Are they really that fascinating to you? Well; I suppose they are rather large.
無敗だなんだともてはやされているけれど、\n所詮はその辺の男と同じなのかしら。\nいいわ、それならそれでサクっと搾り取って、負かしてあげる❤,You may be celebrated as undefeated and all; but in the end it seems you're no different from any of the other guys around here. Fine; if that's how it is; I'll quickly milk you dry and bring you to your knees~❤
決まったー！決まりました！{主人公}選手の勝利です！,It's over! The match is over! The winner is... {主人公}!
無敗のルーキーの目にも止まらない速攻！\nシルヴィア選手、最強の盾、イージスを召喚する間もなく、\n一気に勝負を決められてしまいました！,The undefeated rookie struck; as fast as lightning; leaving Sylvia without enough time to even summon her strongest shield; Aegis! The match was decided in a single blow!
下級モンスターたちも含めて守りの固いシルヴィア選手のデッキを\n速攻で崩すのは至難の業。しかしそれを成し遂げた！\nさすがは無敗のルーキー、見事な強さです！,Breaking through Sylvia's solid defenses is near-impossible; especially with lower-level monsters. And yet it just happened; right before our eyes! As expected of the undefeated rookie! Such magnificent strength!
無敗のルーキーの目にも止まらない速攻！\nそれもイージスが召喚されたにも関わらず、\nそれを打ち破って一気に勝負を決めてしまった！,The undefeated rookie struck like lightning! Even with Aegis on the field; he broke through his opponent's defenses and ended the match in one decisive blow!
これは前代未聞！圧倒的な強さです！\nあのイージスが陥落し、「無敵」の名は「無敗」の前に破れさったのです！\n我々はとんでもない瞬間を目撃してしまったようです！,This is unprecedented! What overwhelming strength! Aegis has fallen; and the title of "Unbreakable" has been left shattered before the might of the "Undefeated"! We have truly witnessed something incredible here today!
接戦！激戦！すばらしい試合でしたが\n最後に勝ったのは{主人公}選手！無敗の勢いは\n無敵の盾すらも打ち破る！誰にももう彼を止められないのか！,A stunningly close battle! Fierce to the very end! It was a wonderful match; but in the end; {主人公} claimed victory! The sheer momentum of his undefeated streak broke through even the most unbreakable of shields! Can no one stop him now?
シルヴィア選手の守りを次々と打ち破り、\n最後には危なげなく、{主人公}選手が勝ちをもぎ取った！無敗の勢いは無敵の盾すらも打ち破る！誰にももう彼を止められないのか！,{主人公} shattered Sylvia's defenses; one after another; and in the end managed to seize victory without any difficulty at all! The momentum of his undefeated streak broke through even the most unbreakable of shields! Can no one stop him now?
くっ・・・。\nなんて強さ・・・。恐れ入ったわ。,Damn... What strength... I'm actually impressed.
きっとあなたはこの次の試合も勝って、\n「Fランクから一大会でAランクになった初めてのマスター」として、\n歴史に名を残すのでしょうね。,After seeing you in action; I'm sure you'll win your next match too; and go down in history as the first master to ever rise from F-rank to A-rank in one tournament.
そんなあなたと本気で試合できたこと、うれしく思うわ。\nまた闘技場以外でも、いつか手合わせしましょう！,I'm happy I could have a proper match with someone like you. Let's have another fight sometime; outside the arena!
闘技場の勝利報酬を得た！,Arena victory reward obtained!
先攻はあなたからね。\nどんなプレイをするのか楽しみだわ。,You start. I'm looking forward to seeing what kind of play you'll make.
先攻はわたしからね。\n序盤から、守りをしっかり固めさせてもらうわ。,I'll go first; okay? Time to build solid defenses from the very beginning.
（胸に見とれて隙だらけね。\nまったくだらしない。）,(He's staring at my chest; leaving himself completely defenseless. How pathetic.)
(ううっ・・・・❤),(Ugh...❤)
ドロー！,Draw!
わたしのターンね。ドロー！,Guess it's my turn; huh? Draw!
モンスターを２体コストにして、行くわ！\n私の切り札！,Here I go! I'll sacrifice 2 monsters and summon my trump card!
顕現せよ、鉄壁の守護女神！\nその盾を貫ける刃はこの世になく、汝を敗れる敵はなし！\n{使用カード}を召喚！,Manifest; my ironclad guardian goddess! May no blade in this world pierce your shield; nor any enemy exist who can defeat you! I summon {使用カード}!
モンスターをコストにして、{使用カード}を召喚！,Sacrificing a monster; I'll summon {使用カード}!
{使用カード}を召喚するわ。,I summon {使用カード}.
{使用カード}は「挑発」の能力を持っているわ。\nあなたはこのカードを破壊しない限り、\n他のモンスターを攻撃できないの。,{使用カード} has the abilty "Taunt." You can't attack any of my other monsters unless you destroy this card first.
屈強な守りで、他の味方を支援する。\nまさに騎士の鑑のようなカードね！\nさて、突破できるかしら？,Her stalwart defenses support and defend her allies. Truly a card representing the epitome of being a knight! Well? Do you think you can break through?
ううっ、あうう・・・❤,Ugh; ahh...❤
あら、無敗のルーキーのモンスターは負けるのに慣れていないようね。\n一度の敗北を引きずって、まだ快楽で理性がとろけているみたい❤,Oh dear; it seems the undefeated rookie's monsters aren't used to the feeling of defeat. Still lost in the memory of their last failure; their will seems to still be melted from the pleasure~❤
出てきたときから既にふにゃふにゃの骨抜き❤\nわたしの盾とは比べようもなく脆弱そうね❤\n軽く突破してあげるわ❤,Already weak and spellbound from the moment they emerge...❤ They look so fragile compared to my shield; don't they?❤ I'll break through them easily!❤
さらにもう1枚発動！,I'll activate one more card!
１ターンに１度、{使用カード}の効果発動！\n自分フィールド上のモンスター１体のHPを500回復して、\nさらに最大HPを300ポイントアップするわ！,Once per turn; I can activate {使用カード}'s effect! I'll restore 500 HP to one monster on my field and increase its maximum HP by 300 points!
１ターンに１度、{使用カード}の効果発動！\n味方１体のHPを500回復し、さらに最大HPを300アップ！,Once per turn; {使用カード}'s effect activates! Restore 500 HP to one ally and increase their maximum HP by 300!
{使用カード}の効果発動！\nターン終了時に守備状態でいる場合、\nデッキからカードを１枚ドローする！,{使用カード}'s effect; activate! If this card is in defense position at the end of my turn; I draw one card from my deck!
ターン終了時に{使用カード}の効果発動！\n守備状態の場合、\nデッキからカードを１枚ドローするわ！,When my turn ends; {使用カード}'s effect activates! If this card is in defense position; I draw one card from my deck!
{使用カード}の効果発動！\n自分モンスターが1500ポイント以上のダメージを受けたとき、\nHPを1000ポイント回復させる！,{使用カード} effect activate! When one of my monsters takes 1500 or more damage; it restores 1000 HP!
このとき、{使用カード}の効果発動！\n自分モンスターが1500ポイント以上のダメージを受けたとき、\nHPを1000ポイント回復！,When one of my monsters takes 1500 or more damage; I activate {使用カード}'s effect to restore 1000 HP!
通常召喚に成功した時、{使用カード}の効果発動！\n手札を１枚捨てて、\nデッキからレベル４以下の光属性モンスターを１体特殊召喚よ！,When {使用カード} is successfully summoned; its effect activates! This lets me discard one card from my hand to special summon one Level 4 or lower Light attribute monster from my deck!
召喚時に{使用カード}の効果発動！\n手札を１枚捨てて、\nデッキからレベル４以下の光属性モンスターを１体呼び出す！,When it's summoned; {使用カード}'s effect activates! I discard one card from my hand to call forth one Level 4 or lower Light attribute monster from my deck to the field!
１ターンに１度、{使用カード}の効果発動！\n自分フィールド上の光属性モンスターを\n全員パワーアップよ！,Once per turn; I can activate {使用カード}'s effect! It powers up all Light attribute monsters on my side of the field!
１ターンに１度、{使用カード}の効果発動！\n自分フィールド上の光属性モンスターを\n全員攻撃力200ポイントアップするわ！,Once per turn; I can activate {使用カード}'s effect to increase the attack power of all Light attribute monsters on my side of the field by 200 points!
召喚に成功した時、{使用カード}の効果発動！\n「{%%40190}」を生成して１枚手札に加えるわ！,When {使用カード} is summoned successfully; its effect activate! It creates a "{%%40190}" and adds it to my hand!
召喚に成功した時、{使用カード}の効果発動！\n「{%%40190}」を生成して１枚手札に加える！,When it's summoned successfully; {使用カード}'s effect activates; generating one "{%%40190}" and adding it to my hand!
自分ターン終了時に{使用カード}の効果発動！\n自身の攻撃力を500ポイントアップ！,At the end of my turn; {使用カード}'s effect activates! It increases its own attack power by 500 points!
さらに強くなるわよ。自分ターン終了時に{使用カード}の効果発動！\n自身の攻撃力を500ポイントアップ！,My cards just keep getting stronger! At the end of my turn; {使用カード} effect activates; increasing its own attack power by 500 points!
さらに攻撃力が3000を超えているとき、\n相手フィールド上のすべてのモンスターに\n攻撃力分のダメージを与えるわ。女神の裁きをくらいなさい！,Furthermore; once its attack power exceeds 3000; it can deal damage equal to it's attack power to all monsters on my opponent's side of the field. Receive the goddess's judgment!
魔法カード{使用カード}を発動！\n戦闘ダメージを１回無効にするバリアを付与するわ！,I activate my Magic Card; {使用カード}! Grant my monster a barrier that nullifies any damage once!
魔法カード「{使用カード}」を発動！\nイージスが自分フィールド上に存在するとき、\nすべての自分モンスターを守備にしてバリアを付与するわ！,I activate the Magic Card {使用カード}! If Aegis is on my side of the field; it puts all my monsters into defense position and grants each of them a barrier!
魔法カード{使用カード}を発動！\nイージスが存在するとき、すべての味方モンスターを守備にして\n戦闘ダメージと効果ダメージを１回０にするバリアを付与するわ！,I activate my Magic Card; {使用カード}! As long as Aegis is on my side of the field; this card puts all ally monsters in defense position and grants them a barrier that nullifies battle and effect damage once!
光属性モンスターが自分の場にいるとき、{使用カード}を発動！\n相手の墓地から光属性以外のカードをすべて取り除く！,As long as I have a Light attribute monster on my side of the field; I can activate {使用カード}! This removes all non-Light attribute cards from my opponent's graveyard!
光属性モンスターがいるとき、{使用カード}を発動！\nLPを500払って、相手の墓地から光属性以外のカードをすべて取り除くわ！,Since I have Light attribute monsters on my side of the field; I can activate {使用カード}! I'll pay 500 LP to remove all non-Light attribute cards from my opponent's graveyard!
永続魔法、{使用カード}を発動！このカードがある限り、\nわたしの守備状態モンスターが受ける戦闘ダメージ・効果ダメージは\n常に100ポイント減少するわ。,I'll activate continuous Magic Card {使用カード}! As long as this card remains on the field; battle damage and effect damage received by my monsters in defense position gets reduced by 100 points.
さらに発動時の効果として、\nデッキから{%%10069}を手札に加える！,Furthermore; as an added effect of activating it; I can add a {%%10069} from my deck to my hand!
永続魔法、{使用カード}を発動！\n味方の守備状態モンスターが受ける戦闘ダメージ・効果ダメージを\n常に100ポイント減少させる！,I activate continuous Magic Card; {使用カード}! This card reduces all damage received by my monsters by 100 points as long as they're in defense position!
さらに発動時の効果として、\nデッキから{%%10069}を手札に加えるわ！,What's more; as an added effect of activating it; I add a {%%10069} from my deck to my hand!
相手の直接攻撃時、{使用カード}を発動！\nこのカードを破壊して手札の{%%10069}を特殊召喚する！,When one of my opponent's monsters attacks me directly; I can activate {使用カード}! It destroys the attacking card and special summons a {%%10069} from my hand to the field!
魔法カード{使用カード}を発動！\n自分フィールド上のすべてのモンスターを守備にし、\nさらに最大HPを300ポイントアップするわ！,I activate the Magic Card {使用カード}; putting all monsters on my side of the field in defense position and increasing their maximum HP by 300 points!
魔法カード{使用カード}を発動！\n自分のモンスターをすべて守備にし、\nさらに最大HPを300ポイントアップ！,I activate the Magic Card {使用カード}! It puts all my monsters in defense position and increases their maximum HP by 300!
無駄よ！手札を1枚捨て罠カード{使用カード}を発動！\n相手の攻撃を無効にし、さらにその攻撃を\n相手フィールド上のすべてのモンスターに向けて跳ね返すわ！,It's useless! I discard one card from my hand to activate my Trap Card; {使用カード}! It negates your attack and reflects it back at all monsters on your side of the field!
このとき、手札を1枚捨て罠カード{使用カード}を発動！\n攻撃を無効にし、さらに攻撃モンスターの攻撃力分だけ\n相手フィールド上のすべてのモンスターにダメージを与える！,In response; I'll discard one card from my hand to activate the Trap Card {使用カード}! It negates your attack and deals damage equal to the attacking monster's power to all monsters on your side of the field!
装備魔法カード発動！{使用カード}！,Activate the equipment Spell Card! {使用カード}!
魔法カードを発動！{使用カード}！,Activate Magic Card! {使用カード}!
トラップカードを発動！{使用カード}！,Activate Trap Card! {使用カード}!
カードをセットするわ。,I'll set a card.
カードをセット。,Set a card.
わたしも行くわ！\n{防御カード}へ攻撃！,I'll make my move too; and attack {防御カード}!
わたしからも攻めるわよ。\n{防御カード}に攻撃！,I'm going on the offensive as well! {防御カード}; get ready!
行きなさい！{使用カード}で{防御カード}を攻撃！,Go! I'll have {使用カード} attack {防御カード}!
攻めなさい！{使用カード}で{防御カード}を攻撃！,It's time to attack! I'll have {使用カード} fight your {防御カード}!
行くのよ！{使用カード}で{防御カード}を攻撃！,Go; {使用カード}! Attack {防御カード}!
む、打つ手なしね…。ターンエンド…。,Hmm; it seems I'm out of options... End turn...
ここは耐えるしかない…、ターンエンド。,I have no choice but to endure... End turn.
ターン終了するわ。,I'll end my turn.
これでわたしのターンは終わりよ。ターンエンド。,That's the last of it. End turn.
おわりね。ターンエンド。,That's everything. End turn.
エッチな攻撃はあまり好きじゃないのだけれど、\n男相手にはこれが一番効率いい以上、仕方ないわよね。\nほら、この胸で楽しませてあげる。,I don't really care for erotic attacks; but against men like you; they're the most efficient method available; huh? SO here; I'll pleasure you with my breasts.
好きじゃないとはいっても、テクには自信あるのよ。\nこれでも学園一位。あらゆる技術はきちんと身に着けているわ。\n男子生徒なんて、服越しに押し付けるだけでもイかせられる…❤,Even if I would rather not use them; I'm still quite confident in my techniques. I am the top student at the academy; after all. I've taken the time to master every technique completely. Just pressing myself against male students through my clothes is enough to make them cum...❤
この圧迫感、すごいでしょう？みっちり押し付けられて、\nその状態で左右交互にずりずり擦られて・・・❤\n強烈な快感と恍惚感で、すぐ骨抜きにしてあげるわ❤,The pressure around your cock feels incredible; don't you think? The way my breasts press down on you tightly and rub against you; back and forth...❤ This pleasure and ecstacy will make you putty in my hands~❤
試合前におっぱい見てたし、\nあなたもどうせこれが好きなんでしょう？\nパイズリ、パイズリってバカみたい。,You were staring at my breasts before the match; so you obviously like this sort of thing; right? To be so obsessed with breasts... How stupid.
こんな脂肪の塊に挟まれるのの何がいいんだか。\nま、挟んだまま数回擦ってあげればだいたいすぐイっちゃうし、\nよっぽど気持ちいいんでしょうけど。,I don't know what's so great about being trapped between these lumps of fat. Still; if I simply squeeze and pump them just a few times; most guys cum immediately; so I suppose it must feel pretty good.
ほら、ほら・・・❤\n無敗だなんだ言われても、おっぱい好きじゃわたしには勝てないわ。\nイージスを使うまでもない。さっさと果てなさい❤,Come on; just relax...❤ Even if they call you 'undefeated'; a breast-lover like you can't hope to win against me. I don't even need to use Aegis. Hurry up and let it all out~❤
出した分は全部谷間の中で潰してあげる。\nあなたの大事な子種、わたしの谷間にすりつぶされるのよ。\nくす、そう言われて喜んでるし。マゾ❤,I'll crush everything you let out between my breasts. Your precious seed will be ground in my cleavage! *Giggle* Hearing that actually made you happy; didn't it? Masochist~❤
胸でしてあげるわ❤,I'll attack you my breasts.❤
ん？優等生なのにエッチな攻撃するのは意外？男相手に戦うなら、\nこの攻撃が一番効くもの。学園で基本的な技術は教わっているし、\nとっても気持ちよくしてあげられると思うわ❤,Hm? Surprised that an honor student like me would use such erotic attacks? When fighting men; this form of combat is the most effective. I learned the basic techniques at the academy; and I feel rather confident I can make you feel wonderful~❤
遊んでいる子よりも、\n私みたいな子の方が上手かったりするものなのよ。\nそれに学園で一番おっぱい大きいし、挟んで擦ればたいていの男は瞬殺よ❤,Girls like me are often better than the promiscuous ones; believe it or not. Plus; I have the largest breasts in the academy; so most men finish in an instant with just a squeeze and a pump!❤
くす❤今の聞いて期待しちゃったんだ。\n固くなったあなたのペニス、\nわたしのテクで天国見せてあげるわね❤,*Giggle*❤ You got excited just hearing that. Your penis has gotten so hard. Now; I'll use my technique to show your cock heaven!❤
胸を揺らして隙を作るのは、基本技術よね。\nだって男って、どれだけ強くなっても、\nこうやってわざとらしく揺らすだけで・・・❤,Creating openings in my opponents defenses by bouncing my breasts is a rather basic technique. Because no matter how strong men become; just one deliberate bounce like this; and...❤
くす❤すぐ視線が吸い寄せられる❤\n男ってかわいそうね。肉体は鍛えられても本能は変えられない。\nこんな脂肪の塊に簡単に操られちゃう❤,*Giggle*❤ Your gaze was immediately drawn to my chest; wasn't it?❤ Men are such predictable creatures. You can train your body as much as you want; but you can't change your instincts. So easily manipulated by these lumps of fat...❤
ほらほら、もっと揺らしてあなたの本能弄んであげる❤\n攻撃もできないぐらい集中力を乱して、\nそのあとじっくり調理してあげるわ❤,Here; look. I'll bounce them more and toy with your instincts.❤ I'll disrupt your concentration so you can't so much as attack; then take my time finishing you off afterwards~❤
ふふ、わたしの背後をとっても無駄よ。\nお尻で捕まえてあげればいいだけだもの。,Fufu; it's useless to strike from behind! All I have to do is capture you with my rear.
スカート越しにペニスにお尻を当てて、\nリズミカルに上下にゆするだけ…❤それだけで\n男は喘ぐことしかできなくなる❤,Now I'll press myself against your penis through my skirt and rhythmically shake up and down...❤ And that's all it takes to leave men like you unable to do anything but moan~❤
テクニックってほどのことじゃなわいよね。\n男の体って簡単で、勉強するまでもない。\nほらほら❤お尻で擦られて簡単に頭真っ白でしょ？くすくす❤,It's not really much of a technique. After all; men's bodies are so simple; there's nothing much to study. See what I mean?❤ Your mind goes blank so easily; just from being rubbed by my rear; doesn't it? *Giggle*❤
身動き取れないように、ハグしながら搾ってあげる。,I'll wrap my arms around you and squeeze you tight so you can't move at all.
わたしの爆乳、体に押し付けられると力が抜けちゃうでしょう？\n本気を出せば振り払えるでしょうに、\n快楽を添えてあげれば、手錠なんかよりよっぽど強い拘束になるのよね❤,When my large breasts are pressed against your body like this; you can't help but lose all your strength; can you? You could shake me off if you really tried; but when something feels this good; I think you'll find this hold is a more effective restraint than even handcuffs~❤
大きくなったペニスも、ぎゅってふとももで捕まえてっと。\nストッキングの感触、何回もこすりつけてあげる❤\nハグされてメロメロになって、そのまま果てなさい❤くす❤,While I'm at it; I'll trap your swollen penis tightly between my thighs. My stockings feel nice; don't they? I'll rub them against your cock over and over.❤ Fall deeply in love with me as I capture you in my embrace; and climax just like this~❤ *Giggle*❤
足で踏んであげる。えい❤,I'll press my foot against your crotch. Hyah!❤
ふふ、靴で踏まれているのに大きくなってるわね。\nはじめて学園でこのやり方を聞いたとき、こんなので\n気持ちよくなるの？って、ちょっと信じられなかったんだけど・・・。,Fufu; despite being trampled under my heel; you're actually getting bigger; aren't you? When I first heard about this method at the academy; I couldn't believe it. Could something like this really feel good?
実際にやってみたらみんなよだれを垂らして喜んじゃって、\nすぐ喘ぎ声あげることしかできなくなっちゃうの。\n足なんかでこれだけ手綱を握れると、ちょっと面白いわよね❤,But when I finally tried it; everyone drooled with joy and could only moan in response. Being able to control someone so completely with just my feet was actually rather amusing to learn~❤
あなたのペニスもとっても気持ちよさそう❤\n靴でぐりぐりされてうれしい？試合中なのに、頭真っ白になっちゃう？\nくす❤そのまま射精して、わたしの足に負けていいわよ❤マゾくん❤,Your penis looks like it feels really good; too.❤ Are you happy being ground under my heel? Even during a match; does it make your mind go blank? *Giggle*❤ Go ahead and ejaculate. You're more than welcome to lose to my foot.❤ Little masochist~❤
対戦前から胸に見とれているような人は、\nこうしてあげれば、もう戦えなくなるでしょう？,Seeing as you were so enamoured with my breasts before the match; if I do this to you; you won't be able to fight anymore; will you?
くす❤胸に夢中で、すっかりふらふらね。\nほら、追い打ちのパイズリをしてあげる❤,*Giggle*❤ You're so entranced by my breasts; you've been left in a complete daze. Here; I'll give you a paizuri and finish you off~❤
男のツボがどこにあるか、わたしよく勉強しているの。\n気持ちいいわよ？ほら・・・❤,I've studied men's weak spots extensively. It feels good; doesn't it? Here...❤
ふふ、あっけない。\nあなたの連勝記録、\n１ターン目で終わっちゃうわね。,Fufu; how anticlimactic. It seems your winning streak will end on the very first turn.
