default
エンジェル,Angel
うそうそ❤そんなこと言わないよ。\nたくさんたくさんおっぱい触って気持ちよくなってね❤\nおっぱいフェチのマゾ男さん❤くすくす❤,I'm only teasing.❤ Please; feel free to touch them and enjoy yourself to your hearts content; okay?❤ You breast masochist~❤ *Giggle*❤
わたしねー、癒しの天使なの❤\nだから、あなたのこともおっぱいでたくさん癒してあげる❤,You know I’m a healing angel; right?❤ So I shall be healing you a lot with my breasts~❤
こんな風に顔を谷間に挟んじゃえば、\nあっという間に昇天できるよ❤\nほら、ぱふぱふ❤ぱふぱふ❤,If I squeeze your face between my breasts like this; you’ll reach heaven in no time~❤ Puff-puff~❤ Puff-puff~❤
あはは、とってもとろとろのお顔になっている❤\nおっぱいフェチのあなたには\nわたしのおっぱいは強すぎちゃったかなぁ？,Ahaha; you're making such a blissful face.❤ Is my chest too much for someone with a breast fetish like you?
わたしの服ってねー、\nおっぱいのところにパカッて切れ目があるの。\nほら、見てぇ？,Look here; okay? my clothes have a cut-out in the chest. Do you see?
おっぱいの谷間が丸見えで、\nおっぱい大好きな男の人なら目が離せなくなっちゃうよねぇ。\nエッチでしょー❤,With my cleavage in full view; no breast-loving boy could take their eyes away; right? It's too naughty~❤
オナニーとかしちゃってもいいんだよ？\nわたし優しいから\nイっちゃうまでじーっと見ててあげる❤くすくす❤,It's alright if you wish to touch yourself; okay? Since I am so kind; I'll watch you until you finish~❤ *Giggle*❤
あーん❤\nおっぱいが揺れるの見てぇ❤\nほらぁ、ゆさゆさ～♪,Ahnn~❤ I bet you want to see my breasts jiggle.❤ Look; I'll sway them for you~♪
あはは、おっぱい見てるだけなのに目がとろーんってしてきてる❤\nいいよー、おっぱい見つめて頭の中幸せになっちゃうおうねー❤,Ahaha; your eyes are getting all glazed over just from watching my breasts sway.❤ It's okay; just keep staring and let your mind fill with happiness; okay?❤
え？敵の胸なんか触れないって？\nくすくす、そのわりには\n指がぴくぴくしちゃっているみたいだけどなー。,What? You shouldn't touch the enemy's breasts? Kuhu; you’re saying that; but I can see your fingers twitching.
ほんとは触りたいんでしょ？ほらほらー、\n手のひらにぎゅーってたくさん押し付けてあげるから楽しんじゃえ❤,Don't you truly just wish to touch my breasts? Here; look. I’ll use my palms to press them together; so please; enjoy~❤
わたしの服ってねー、\nおっぱいのところにパカッて切れ目があるの。\nほら、見て？,Look here; my clothes have a cut-out in the chest. Right here; do you see?
おっぱいの谷間が見やすくって、エッチでしょー❤上から見下ろすと\nとってもいい眺めなんだよ？こんな風にゆさゆさ\n揺らしたらさ、目が離せなくてうっとりしちゃうんじゃない？,My cleavage is easy to see; it's so naughty~❤ When you look down from above; it's such a beautiful view; don't you think? If I sway them like this; you'll be so entranced you can't take your eyes off them; can you?
あーん❤おっぱいが揺れるの見てぇ❤\nほらぁ、ゆさゆさ～♪,Ahnn~❤ I bet you want to see my breasts jiggle.❤ Look; I'll sway them for you~♪
あはは、おっぱい見てるだけなのに\n目がとろーんってしてきてる❤\nいいよー、おっぱい見つめて頭の中幸せになっちゃうおうねー❤,Ahaha; your eyes are getting all glazed over just from watching my breasts sway.❤ It's okay; just keep staring and let your mind fill with happiness; okay?❤
んー？わたしにおちんちん気持ちよくしてほしいの？\nえへへ、もう戦うのはやめちゃうんだね❤,Hmm? You want me to make your penis feel good? Ehehe; guess the fight’s already over; isn't it?❤
それじゃ、どんなことしてほしいか教えてほしいなー。\n心からおねがいすれば、わたしがかなえてあげる❤\nたっくさん気持ちいいことしようね❤,Well then; please tell me how you would like to be pleasured. If you wish for it sincerely; then I will grant it~❤ I'll offer you lots of pleasure; okay?❤
癒しのパイズリ,Healing Paizuri
誘惑するおっぱい,Breast Temptation
なんでも,You decide
おっぱいで挟んでズリズリしてほしいんだ❤\nうんうん、おちんちん早くあったかいおっぱいに包まれたいもんね❤\nいいよ、この隙間におちんちん入れて気持ちよくなろ❤,So; you want me to squeeze your penis between my breasts.❤ It’s only natural that your dick wants to be wrapped in my warm boobs.❤ Alright; put your dick through this opening and let me make you feel good; okay?❤
おっぱいで焦らしてほしいの？\nくす、おちんちんいじられることよりそんなおねがいしちゃうんだ。\nいいよ❤おっぱいでたくさんからかってあげるねー❤,You want to be teased by my breasts? *Giggle* You'd rather that than having your penis played with? Okay.❤ I’ll tease you lots and lots with my boobs; okay?❤
くすくす❤わたしのおっぱい気持ちよかった？\nおちんちんさんズリズリされて、とっても幸せになれたね❤,*Giggle*❤ Do my breasts feel that good? Being rubbed by my chest makes you so happy; doesn't it?❤
あん、おっぱい触ってるだけでおもらししちゃった❤\nこれだけで出しちゃうなんて、おちんちんよわよわだねー❤くすくす❤,Ahh; you finished from just touching my breasts.❤ Your penis must be really weak if you came from just this; huh?❤ *Giggle*❤
おちんちん触られてないのに、\nわたしみたいな小さい子に負けちゃったね❤\nお兄さん、おっぱいに弱すぎだよ❤くすくす❤,You really lost to a small girl like me without ever being touched; didn't you?❤ You must be really weak to breasts!❤ *Giggle*❤
あっ、ああっ・・・。,Ahh; ahhhh...
あは❤どうしたのー、天使ちゃんの前で必死に手を合わせて、お祈りかなー❤,Aha~❤ What’s wrong? Clasping your hands together in front of an angel like that; almost like you're praying~❤
このあいだ負けたとき、マスターさんはわたしのこと大好きにされちゃったもんね。我慢なんてできないよね❤,I guess the cardmaster fell in love with me after his last defeat; didn't he? You probably can't resist any longer; right?❤
味方のことなんて裏切って、天使様の前でシコシコ❤シコシコ❤へんたーい❤,Betraying your allies to masturbate in front of me.❤ That's it; stroke faster.❤ You pervert~❤
あううっ…❤,Ahhh...❤
あはは❤こんなちっちゃな女の子に、へんたーいって言われてうれしいの？シコシコするの少し早くなってるよ❤ただの変態じゃなくてお兄さんマゾなんだね❤,Ahaha～❤ Does being called a pervert by a small girl like me make you happy? You’re stroking yourself even faster.❤ You’re not just a pervert; you’re a masochist too; aren't you?❤
戦いの途中でオナニー我慢できなくなって、女の子の前で降参しちゃうマゾ❤くすくす❤マゾお兄さんよわーい❤ざーこ❤,A masochist who would surrender to a girl like me and can’t resist masturbating in the middle of a battle.❤ *Giggle*～❤ What a weak masochist~❤ Such a loser~❤
きゃはは。笑わながらするおちんちんシコシコ気持ちいいね❤バカにされて悔しいはずなのに頭の中だんだん真っ白になっちゃうね❤,Kyahaha. Stroking yourself while getting laughed at feels good; right?❤ You should be getting angry but your head’s going blank insted; isn't it?❤
ほら、その空っぽになった頭の中、もっと真っ白にしてあげるよ。おっぱいでお顔を挟んでむぎゅー❤,Here; I’ll smother that hazy head of yours between breasts until your mind goes completely blank~❤
って、あれあれー、手がシコシコ動いてる❤お祈りのふりしてオナニーしちゃってるんだー❤へんたーい❤,No; wait; you’re actually masturbating.❤ You're acting like you're praying when you're just stroking yourself.❤ What a pervert~❤
わたしのおっぱい大きいからぁ、戦ってたらムラムラしちゃったんだよね❤身長は小さいのにおっぱいは大きい、そういうのが好きなんだぁ❤,Guess you couldn't help but get charmed by my big breasts during our battle; could you?❤ You must really like shortstacks~❤
戦いを放り出しておちんちんいじりだすなんて頭の中空っぽになっちゃった？こうやって小馬鹿にされているのにシコシコ、シコシコ止まらないね❤,Did your mind go so blank that you gave up on fighting and started playing with yourself instead? I'm even making fun of you and you still can't stop; can you?❤
あひぃっ…❤,Ahhh...❤
ぱふぱふされてぇ、いっぱいわたしのこと好きになろうね❤,Here; I'll give you a Puff-Puff now; so fall even more in love with me; okay?❤
この状態でシコシコしたら気持ちいいよぉ❤ただのオナニーを、わたしに服従する、本当のお祈りに変えてあげる。,Stroking youself will feel even better if I do.❤ I'll turn your masturbation into a prayer of submission.
ほおら、ぱふぱふ❤ぱふぱふ❤柔らかい天使のおっぱいでぇ、ぱふぱふ❤ぱふぱふ❤,Here I go~❤ Puff-puff~❤ Puff-puff~❤ I’ll press these soft angel breasts against you even more.❤ Puff-puff~❤ Puff-puff~❤
天使さまぁって思いながらシコシコしてぇ、幸せいっぱいにイっちゃおうね❤我慢なんて出来ないだろうから、すぐに射精していいよ。ぱふぱふ❤ぱふぱふ❤むぎゅーー❤,Stroke yourself while thinking of your angel and let happiness fill you; okay?❤ I know you can't resist; so it's okay to cum quickly. Puff-puff~❤ Puff-puff~❤ Squeeze~❤
はぅうぅっ…❤,Hahhh...❤
くすくす❤幸せお射精できたみたいだね。とってもいい蕩け顔❤,*Giggle*❤ You had a really satisfying orgasm; didn't you? You have such a blissful expression on your face~❤
何度もオナニーで負けちゃうなんてマスターさんは、すっかりわたしに夢中みたい。これからもわたしに\お祈り\することを生きがいに生きてほしいなぁ❤くすくす❤,You’ve surrendered to me like this so many times that it seems you’ve fallen madly in love for me. I hope you’ll continue to devote the rest of your life “praying” to me~❤ *Giggle*❤
勝負には負けちゃったけど、こんなに幸せになれたんだもん。よかったね、ロリコンのマスターさん❤,You’re still so happy despite losing the battle. I bet you're actually glad you lost; right? You shortstack-lover~❤
天使さまに捧げものがしたい人がいれば、どんどんわたしのところに来ていいよ。あなたもわたしたちの信者に変えてあげる❤,If anyone else wants to offer himself to me; come closer. I’ll happy convert you into a follower as well~❤
あは❤またお祈り？みんなとっても信心深いんだねぇ❤,Aha~❤ Another prayer? You’re all so pious; aren't you?❤
両手を合わせておちんちん握って、上下にシコシコ❤シコシコ❤あなたもわたしみたいな小さい子の前でオナニーしちゃうんだー。へんたーい❤,Grasp it firmly with both hands and stroke up and down~❤ Up and down~❤ I can't believe you're also stroking yourself in front of a girl as small as me. You're such a pervert~❤
仲間がわたしに幸せお射精させられているのを見てたらぁ、ぼくも早く気持ちよくなりたいよぉって頭おバカになっちゃったんだよね？,I bet after watching your friend cum so happily; all you could think about was feeling good too; right?
それともぉ、この間負けちゃったときのこと思い出したらぁ、我慢できなくなっちゃったのかなー。きゃはは❤,Or maybe you recalled the last time you lost to me and couldn’t endure it anymore. Kyahaha~❤
恥ずかしがらなくていいんだよー、男の人はみんなぁ、わたしたちのことを崇拝するために生きているんだから。,No need to be shy. The reason men exist is to worship us angels; after all.
おっぱいであんなことしているの見ちゃったら我慢できなくなるのも仕方ないよ。くすくす❤,It’s only natural that you wouldn’t be able to resist after staring at my breasts. *Giggle*❤
ぱふぱふされてぇ、いっぱいわたしのこと好きになろうね❤あなたのオナニーも、わたしに服従する、本当のお祈りに変えてあげる。,Here; I'll give you a Puff-Puff now; so fall even more in love with me; okay?❤ I'll turn your masturbation into a prayer of submission.
天使さまぁって思いながらシコシコしてぇ、幸せいっぱいにイっちゃおうね❤すぐに出していいんだよ。ぱふぱふ❤ぱふぱふ❤とどめにむぎゅーー❤,Stroke yourself while thinking of your angel and let happiness fill you; okay?❤ It's okay; you can cum quickly. Puff-puff~❤ Puff-puff~❤ And to finish you; a big squeeze~❤
くすくす❤あなたも幸せお射精できたみたいだね。とってもいい蕩け顔❤,*Giggle*❤ You had a very satisfying orgasm too; right? You have such a blissful expression on your face~❤
何度もオナニーで負けちゃうなんてマスターさんは、すっかりわたしに夢中なんだね。これからもわたしに"お祈り"することを生きがいに生きてほしいなぁ❤くすくす❤,You’ve surrendered to me like this so many times that it seems you’ve fallen madly in love for me; haven't you? I hope you’ll continue to devote the rest of your life “praying” to me~❤ *Giggle*❤
まだ他の人も"お祈り"しちゃう？天使さまに捧げものがしたい人がいれば、どんどんわたしのところに来ていいよ。あなたもわたしのおっぱいで信者に変えてあげる❤,Are there still others who wish to offer me their “prayers”? Come closer. I will us my breasts to convert you as well.❤
あううっ、このままじゃやられちゃうよぉ…。,Uuu; at this rate I might lose...
ねえ、見てぇ。わたしの服もうボロボロなの。これじゃあ、おっぱい全部見えちゃいそう…。,Hey; look. My clothes are all torn up. Any more and my entire breasts will be exposed...
ほら、こんな風に体を左右に揺らしたりしたら、おっぱいが揺れてぇ、服からこぼれちゃいそうになってぇ…❤,See; when I sway my body like this; my boobs shake so much they almost spill out of my clothes... ❤
ゆさゆさって、すごいよね…❤おっぱい見てたら頭の中とろーんってしてくるよね…❤,They're pretty amazing; aren't they...?❤ Your head’s turning into mush from just watching them sway around; isn't it...?❤
くすくす❤口から少しよだれが出ている。術が効いているのかな？ほらそのままおっぱいに見とれていいよ…❤体の力を抜いて、おねがーい❤,*Giggle*～❤ You’re starting to drool a little. Does that mean the spell is working? Here; just keep staring at my boobs...❤ Just let your body relax.❤
視線を逸らしてとどめを刺した,Look away and finish her off.
おっぱいをじっと見つめてしまった,They're swaying so much; I can almost see...
うそっ、もう術がかかったと思ったのに…。きゃあ！,It can’t be! The spell’s supposed to have taken effect already... Kyaa!
あっ…❤ああっ…❤,Ahh...❤ Aaahhh...❤
あは、力抜けちゃったねー。催眠大成功❤,Aha; you let your guard down; didn't you? The hypnosis was really effective~❤
とどめを刺す大事な場面で敵のおっぱいになんか見とれるからだよ？おバカさん♪くすくす❤,You could have finished me off; but you got too distracted by the enemy's chest; didn't you? You dummy~♪ *Giggle*❤
わたしね、おっぱいを揺らしながらやさしく話しかけてあげるとぉ、男の人に催眠をかけることができるの。,You see; when I sway my boobs and speak softly; I can hypnotize boys like you.
おっぱいのふわふわした動きと甘い匂い。それとわたしのゆっくりした声で、頭がぼーっとしちゃうんだって。不思議だよねー❤,My breasts look so soft and smell so sweet. Combine with my soft; soothing voice and it turns boys' head all fuzzy. Funny; isn't it?❤
天使には忘我の境地に相手を導く力があるらしいから、わたしの場合それがおっぱい催眠なのかな？くすくす❤,It seems angels have the power to lead others to paradise; so I guess in my case that would be through breast hypnosis? *Giggle*❤
ま、なんにしてもこれでわたしの勝ちだよ。さあおいで❤わたしの胸の中に顔をうずめなさい❤,Well; whatever the reason; this means I win! Come here~❤ Let me bury your face in my chest~❤
はひぃっ…❤,Hah; hah...❤
うふふ、いい子だねー❤,Ufufu; you're a good boy; aren't you?❤
ねえ、上級モンスターさん。わたしみたいな小さい子に、言いなりにされちゃう気分はどう？悔しい？腹が立つ？それとも…。,Hey; Mr.Advanced Monster. How does it feel to be at the mercy of a girl as small as me? Are you frustrated? Angry? Or maybe...
ねえ、わたしみたいな小さい子に、言いなりにされちゃう気分はどう？悔しい？腹が立つ？それとも…。,Hey; how does it feel to be at the mercy of a girl as small as me? Are you frustrated? Angry? Or maybe...
頭の中とろけちゃうぐらい気持ちいい？くすくす❤,...You’re finding yourself in bliss? *Giggle*❤
あっ、ああっ、気持ちいいです、天使さまぁ…❤,Ahh; ahhh～ Lady Angel; it feels so good...❤
きゃはは♪もうすっかりメロメロだね。,Kyahaha~♪ You’ve totally fallen for me; haven't you?
ほら、おっぱいに顔を埋めながらわたしの声を聞きなさい。,Here; listen to my voice as you drown in my boobs.
あなたはわたしの奴隷なの…❤わたしには絶対に逆らえない…❤,You’re my slave now...❤ You cannot defy me anymore...❤
わたしの声を聞くのが気持ちいい、わたしに命令をされるのが気持ちいい…❤天使のために尽くすのがあなたの使命…❤,You’ll feel pleasure when you hear my voice and when I give you an order...❤ And my order for you is to devote everything you are to me...❤
あっ、あひぃっ…❤ああっ…❤,Ahh; ahiiee...❤ Ahh...❤
それじゃあ、とどめだよ。おっぱいでぱふぱふってするから、あなたは腰を振るの。,Now; it’s time to finish you off. I’ll give you a Puff-Puff; so shake your hips for me.
わたしの白いスカートに何度もこすりつけて、気持ちよさ以外すべて忘れて、心を空っぽにしなさい。,You’ll keep rubbing your dick against my white skirt over and over until you’ve emptied your mind and forgotten everything else but pleasure.
ほら、ぱふぱふ❤ぱふぱふ❤おちんちん気持ちいいねー❤ぱふぱふ❤ぱふぱふ❤,Here I go.❤ Puff-puff~❤ Puff-puff~❤ Your dick must be feeling so good; right?❤ Puff-puff~❤ Puff-puff~❤
はひぃっ…❤天使さまぁっ…❤,Hahieee...❤ Lady Angel...❤
きゃは、これであなたはわたしのしもべ❤あとちょっとでわたしを倒せたのに、立場が完全に逆転しちゃったね。,Kyaha; now you're my servant.❤ You were so close to beating me; but now the tables have turned completely; haven't they?
それじゃ、わたしのために頑張って尽くしてね❤しっかり働いてくれれば、少しくらいご褒美あげるかも❤くすくす❤,Now; do your best and devote your life to me; okay?❤ And if you work really hard; I might even give you a little reward~❤ *Giggle*❤
オナニーで自分から負けちゃうなんて、よわーい❤おちんちんシコシコ気持ちよかった？くすくす❤,Masturbating and losing on your own. You’re soo weak~❤ Did you enjoy stroking yourself like that? *Giggle*❤
ぱふぱふとおっぱい催眠でイっちゃったね❤こんなに出して、夢見心地の気持ちよさだったでしょー❤くすくす❤,You came from my breast hypnosis and Puff-Puff; didn't you?❤ Cumming like that must’ve felt like a dream~❤ *Giggle*❤
あはは❤おっぱいでちょっとからかってあげたらイっちゃうんだー❤マゾ豚さん、よわーい❤,Ahaha~❤ Looks like you came just from m teasing you a little with my boobs!❤ You're so weak; you masochistic pig~❤
わたしのパイズリ気持ちよかった？これからはいっぱいいっぱい、わたしたちのこと信仰してね❤くすくす❤,Did enjoy my paizuri? Devote yourself to us angels completely from now on; okay?❤ *Giggle*❤
シスターの使う天使モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,After losing to Sister’s angel monster and having all my energy drained; I was left on my knees; unable to move.
くすくす❤体に力はいらないの？たくさんびゅっびゅっしちゃったもんね。,*Giggle*❤ Can’t muster any strength? You really shot out a lot; didn't you?
戦っている途中なのに、わたしの前にやってきてお祈りシコシコ❤ぱふぱふでメロメロにされながらたくさん射精❤はずかしいー❤,We were meant to be fighting; but instead you came before; stroking and praying.❤ You melted to my Puff-Puff and came so much.❤ That’s soo embarassing～❤
わたしのおっぱいをもみもみしただけで、おちんちんに触わられてもいないのにお漏らし❤恥ずかしいね❤くすくす❤,All I needed to do was tease you with my breasts. I wasn’t even touching you; yet you came so much; huh?❤ That’s so embarassing~❤ *Giggle*❤
わたしみたいな小さな子を相手におっぱいを見せつけられただけで、触ってもいないのにお漏らし❤恥ずかしいね❤くすくす❤,You got so excited from a girl as small as me showing you her boobs you came so much. I didn't even have to touch you.❤ That’s pretty embarassing; don't you think?❤ *Giggle*❤
パイズリしてあげたらあっという間に谷間の中に出しちゃったね。おっぱいでされるのそんなによかったんだぁ。くすくす❤,My paizuri made you cum so quickly. You must have really enjoyed my boobs; didn't you? *Giggle*❤
うっ、ううっ…❤,Uhh; uhhh...❤
ねえ、わたしみたいな小さな女の子にイかされて悔しかった？それとも天使様に気持ちいいことしてもらえてうれしかった？,Her; are you frustrated that a small girl like me made you cum? Or are you actually happy that an angel did something so nice for you?
んー、その反応を見る限り、うれしかったのかなぁ？だって…。,Hmm; judging from your reactions; you were happy; weren't you? After all...
おちんちん、こんなにふくれているんだもん❤えいっ❤,Your penis is already so swollen again.❤ Eii~❤
ああっ…❤おっぱいがぁ…❤きもちいい…❤,Aahh...❤ Boobs...❤ So good...❤
戦っているときとおんなじぐらい、固いまんまだね。またエッチなことされたいよぉって頭の中でずっと考えてたのかなぁ❤,You're as hard as when we fighting; aren't you? I bet that means you want to do more naughty things~❤
これだけガチガチなら、おちんちんをぱふぱふしてあげたらぁ、きっとすごく気持ちいいよ❤ほらぁ❤,If you’re still this hard; I bet if I give your penis a little Puff-Puff it would feel amazing.❤ Here I go~❤
あっ、ああっ❤すごいっ、これぇ❤,Ah; aah!❤ It’s so good...❤
きゃはは❤かっこわるい声～❤ちょっとぎゅっぎゅってしてあげただけですぐに喘ぎ声出ちゃうんだねー❤,Kyahaha~❤ You sound so uncool~❤ I just squeezed it a little and you’re already moaning so much; aren't you?❤
マスターさんはぁ、男も頑張って戦うべきだって思っているんだよね？女に任せるだけじゃダメだって戦いが始まる前に言ってたもんね？,You think men should be fighting too; right? You said before the battle you can’t just leave fighting to women; didn't you?
でもぉ、それにしてはぜんぜん戦えてないと思うなぁ❤おちんちんをおっぱいでいじめられてぇ、気持ちいいよぉって言ってるだけだもん。くすくす❤,But despite saying those things; you’re not fighting back at all.❤ You're just saying how good it feels to be played with by my breasts~❤ *Giggle*❤
ぼ、ぼくはぁ、いもうとのために…❤あうっ、ああっ…❤,I-I am fighting...❤ For my sister...❤ Auu; aah...❤
ふーん、何か大事なもののために戦っているんだ。がんばっているんだね。,Hmm; so you’re fighting for someone precious to you. You're really giving it your all; aren't you?
でもね、無理したってなんにもならないの。マスターさんがサキュバスに負けちゃったらきっとその妹さんのためにもならないと思うよ？,But even so; you shouldn’t push yourself too much. Do you think your sister would want you to lose to a succubus?
だから、ね。お祈りだけしていよう？戦える強い人たちに、ぜんぶ任せちゃお？,So; hey. Why not say a prayer with me? Leave the fighting to someone stronger; okay?
そっちの方がずっと楽だよ？それにぃ、熱心にお祈りするえらい人には、天使さまが気持ちいいご褒美をいーっぱいあげちゃうよ…❤,Wouldn't that be so much easier? Besides; for those who pray with all they have; angels give such wonderful rewards...❤
まずは、ね。お祈りの練習。天使さまって声に出して言ってみようか。さん、はい❤,First; let’s practice your prayers. How about we start by reciting my name out loud? Ready; go~❤
そっ、そんなことっ、いうわけっ…❤,I-I won’t...❤
えー？言えばもっと気持ちよくなれるのに？例えばこんな風にぃ…❤,Huh? Even though saying it would make you feel better; you don't want to? Then I'll just do this...❤
あっ、ああっ❤そんなむぎゅむぎゅされたらっ❤あひぃっ…❤,Ah; aah...❤ If you squeeze me like that...❤ Ahiee!❤
気持ちよくて頭の中壊れちゃいそうだよねー。この気持ちよさの中で、どぴゅーってお漏らししたくない？,It feels so good your mind might break; doesn't it? Don't you want to just let it all out wrapped in this bliss?
天使さまぁってお祈りしたら、そのとき一番気持ちいい射精をさせてあげるよ❤,If you pray to Lady Angel; then I’ll give you the most amazing orgasm of your life~❤
ねえ、射精したいよねぇ❤どぴゅどぴゅーっておっぱいの中に白いの出したいよねぇ❤,Hey; you want to cum; don’t you?❤ You want to shoot your white stuff all over my boobs; right?❤
どうすればいいのかな？さん、はい❤,Soo what should you be doing? Ready; go~❤
ううっ…❤て、てん…❤,Uuu...❤ L-Lady...❤
んー？もっとはっきり言ってほしいなぁ❤,What’s that? I can’t hear you~❤
てんしさまぁ❤て、てんしさまぁ❤,Lady Angel...❤ Praise be to Lady Angel～❤❤
えへへ❤いい子だねー❤,Ehehe~❤ You're such a good boy; aren't you?❤
それじゃあお祈りに応えて、気持ちいいお漏らしさせてあげる。さっきから出せそうで出せない、ギリギリの気持ちよさだったもんね。,To answer your prayers; I’ll let you finally cum. I bet finishing after being edged this long will feel so good; don't you think?
もうそんなかわいそうなことしないよ。ほら、ほら、ほら❤,I will end your misery. Here I go; come on; cum~❤
あぅあっ、あひいっ…❤気持ちいいぃ、天使さまぁっ…❤,Ahhh; ahiiiie...❤ Lady Angel; it feels so good...❤
やん❤すごい出てる…❤本気でズリズリしたらほんとにすぐにイっちゃったね。くすくす❤,Kyaa~❤ So much is coming out...❤ When I got serious; you came so quick; didn't you? *Giggle*❤
でもぉ、一回で終わりじゃないよ。わたしの癒しの力で、お兄さんのおちんちんを回復してっと…。,But it’s not over yet. Allow me to use my powers and heal your penis even more...
ほら、ほら、おっぱいでおちんちんに回復の魔力を塗りこんであげる❤,See; here I go. I'll cover you in healing magic using my boobs~❤
ぽわぽわして気持ちいいでしょー。すぐにおちんちん元気になっちゃうね❤,It’s so warm and soft. Your penis will be all healed in no time; okay?❤
はぅううっ…❤,Hauuu...❤
ぱふぱふされて気持ちいいね。でも、おちんちんはもっとイイことして欲しいって震えているみたい…❤,Being squeezed by my boobs felt amazing; didn't it? And yet; your penis is shaking as if it wants more...❤
ねえ、こういうときどうすればいいか覚えている？ぽわぽわになっちゃったお兄さんの頭でも分かるかなー？,Hey: do you remember what you’re supposed to do at a time like this? Can your empty head figure it out?
はい…❤天使さまぁ❤お祈りします❤天使さまぁ❤,Yes...❤ Lady Angel...❤ Lady Angel!❤ Praise be to Lady Angel!❤
よく言えました❤天使さまぁって心を込めてたくさん言おうね❤戦うことなんて忘れて、気持ちいいことでいっぱいになっちゃお？,You said it perfectly~❤ Keep praising me with all your heart; okay?❤ Forget all about fighting and feel even better; okay?
マスターさんの心が戦いから遠ざかるまで、何度でもおっぱいでズリズリしてあげるからねぇ❤くすくす❤,I’ll keep squeezing you with my boobs until you lose all your fighting spirit; alright❤ *Giggle*❤
こうして僕は気絶するまで精を搾りとられてしまったのだった。,And with that; I was drained of my energy until I blacked out.
冒険をあきらめますか？,Give up on your adventure?
あきらめる,Give up.
あきらめない,Don’t give up.
その後僕は何度かめげずにシスターに挑戦したのだが…。,After that; I kept challenging Sister over and over; but...
エンジェルを召喚します！,Summon Angel!
あは、また会ったねー❤今日は真面目に戦う？それともぉ…,Ehe; we meet again; huh?❤ Are you going to fight seriously today? Or perhaps...
戦うことなんかやめてぇ、わたしにまたたくさんお祈りする？おっぱいの中におちんちん入れながら、たくさんお祈り❤ぜったい気持ちいいよぉ❤,Are you going to stop fighting and pray to me again? Come; put your penis between my breasts and let us pray.❤ It’ll feel really good～❤
うううっ…。,Uuu...
あは、足が止まっちゃったー♪それじゃあ今からパイズリしてあげるからぁ、避けちゃだめだよ？,Aha; you're frozen in place~♪ Now then; I’ll start my paizuir; so don’t run away; ok?
おっぱいでにゅぷにゅぷー❤また柔らかい牢屋に捕まっちゃったね。くすくす❤,And squish~❤ Once again; you're caught in a prison of my soft breasts; aren't you? *Giggle*❤
あ、ああっ…❤天使さまぁ…❤天使さまぁ…❤,Aahhh...❤ Lady Angel...❤ Praise be to Lady Angel!❤
はぁい、よく言えました❤挟んだ瞬間に蕩け顔になっちゃって、くすくす❤これで今回もお兄さんの負けかなー❤,That's right; you said it perfectly.❤ The moment I squeezed you; your face melted into bliss. *Giggle*❤ Looks like another loss for you~❤
