default
メルティスライム,Melty Slime
まだまだ気持ちいいのは序の口よ。\nわたしの本気の手コキで、頭の中どろどろにしてあげる。ほら❤ほら❤,You haven't felt anything yet. What you're feeling now is just the beginning. I'll turn your mind into mush with my special handjob. Come on...❤ Come on...❤
イく寸前まで手加減なし。あんたの精液根こそぎ搾りつくしてあげるわ。,No mercy until you're right on the edge. I'll drain every last drop of your semen.
ほらほらほらっ…❤イケっ、マゾ豚❤,Come on; come on; come on...❤ Cum for me; you little masochistic piggy.❤
あんたたち揃いもそろって手コキで逆転されて、ほんと救えないわ。\nこのマゾ豚ロリコン❤,You guys all lost to my little stroking. How pathetic. You're such a masochistic little lolicon piggy~❤
うっ、ううっ・・・。,Ugh; ugh...
きゃは❤必死にはぁはぁ言いながらシコシコしてる❤\nわたしの、せくしーぼでぃに見とれちゃったのかな？くすくす❤,Kya ha~❤ Why are you panting so desperately while stroking yourself?❤ Did you get captivated by my sexy body? *Giggle*❤
うあっ、ううっ・・・。,Agh; ugh...
おちんちん触る手止まんないの？きもちわるーい❤\nいくらわたしの体がエロいからって、\n味方を裏切ってシコシコ始めちゃうなんて。この変態❤ ロリコン❤,Are you really not going to stop touching your weenie? That's so gross~❤ No matter how sexy my body is; betraying your allies to start stroking yourself like that? You pervert~❤ Lolicon~❤
うわーロリコンって言われてチンポビクビクさせてるじゃん。\nもっときもちわるーい❤ マーゾ❤,Wow; look at that; your little weenie's twitching just from being called a lolicon. How nasty~❤ Masochist~❤
そうだ。\nチンポをわたしのおまたにくっつけながら、イかせてあげようか？,Oh; right. How about I help you finish while your weenie is pressed to my pussy?
スライムおまんこの中に、びゅーって中だし❤\nチンポにみっちり絡みついてきて、気持ちいいと思うなー❤,How about shooting your load deep inside my slime hole~❤ It'll cling tightly to your weenie; but does that feel good~?❤
あっ、あっ❤おねがい・・・❤おねがいします❤,Ah; ah~❤ Please...❤ I beg you~❤
きゃはは❤\nそんなにさせてほしいんだ。でも、ダーメ❤,Kya-ha-ha~❤ You want it so badly; don't you? But; not yet~❤
おまんこに入れなくなたって、イっちゃうんでしょ？\n馬鹿にされて喜ぶ、ロリコンマゾだもんね❤,Even if you can't get it inside me; you'll still come; won't you? You're a lolicon masochist who loves being mocked.❤
ほら、シコシコって言われるだけで手が動いちゃう❤\nもっと気持ちいいことしてもらえるかもしれないのに、\nシコシコ❤ シコシコ❤ やめられない❤,Look; just hearing 'fap~ fap~' makes your hand start moving on its own~❤ You could be feeling something even better; but you just can't stop; can you~?❤ Fap~❤ You just can't help yourself.❤
おちんちんびくびくして、もう限界なんだ❤\n好きなだけ出すといいわ❤\n仲間のことなんて忘れて、どぴゅどぴゅってイっちゃえ、マゾ男❤,Your little weenie is twitching. You're already at your limit; aren't you?❤ Go on; cum as much as you want~❤ Forget about your friends and just splurt it all out; you masochistic mister~❤
あん❤どばどば出てる❤エナジーおいしいー❤,Ah~❤ It's spilling out~❤ Your energy is so delicious~❤
ふふ、中だしできなくて残念だったわね。\nこれでわたしたちの勝ち。\n自分から自爆しちゃうカードマスターで助かったなー♪,Hehe; too bad you couldn't finish inside. Guess this means we win. Lucky for us; the cardmaster ended up screwing himself over♪
ねえほかの人もこっちおいでよ。\nオナニーしこしこするところ、見ててあげるよ。,Hey; come over here; everyone. I'll let you watch while you all jerk off.
もしかしたら、もっと気持ちいいサービスしちゃうかも。\nほら、おいで、おいで・・・❤,Maybe I'll even give you something more pleasurable~ Come on; come over here...❤
きゃはは❤ ほんとにまたオナニーしちゃうんだ。\n武器を放りだして敵の女の子の前でシコシコ、シコシコ・・・❤,Kya-haha!❤ You're really going to do it again? Throw away your weapon and start fapping in front of the enemy girl~ fap fap; fap fap...❤
わたしの体も罪だなぁ❤ せくしー過ぎてこまっちゃう。\nほら、近くでたっぷり見ていいよ❤ くすくす❤,My body's a sin~❤ It's so sexy it's troublesome.. Come on; you can admire my body as much as you want.❤ *Giggle*❤
張りのあるちっちゃなおっぱいにぃ、\nぷにぷにのわたしのおまんこ❤,With my perky little breasts and my soft; squishy pussy~❤
こんな女の子の体で、何人も裏切りシコシコしちゃうなんて、\n変態のロリコンさんばっかり❤,To think that so many would betray their master and jerk off to a girl's body like this... You're all nothing but perverted lolicons~❤
くすくす❤馬鹿にされてあなたも気持ちよくなっちゃうの？\nシコシコ早くなってるじゃん。きもちわるーい❤,*Giggle*❤ Are you actually enjoying being ridiculed? Your fapping's getting faster. How gross~❤
そうだ、言った通り少しはサービスしてあげるわね。\nほら、そこに寝なさい。\nわたしはロリコンさんのおなかの上に乗っかって、と・・・。,That's right; as I said; I'll give you a little treat. Now; lie down there. I'll sit on top of Mr. Lolicon's stomach; and then...
ふふ、こうしてると透明なわたしの体の中に\nあんたのチンポが入っているみたいでしょ？\nまるで本番エッチしてるみたい❤,Hehe; it feels like your weenie is inside my transparent body; doesn't it? It's almost like we're having real sex.❤
乳首もさわさわしてあげる。\nスライムの手でねっとりいじられると、乳首だけでも天国なのよ❤,I'll tease your nipples too. Having my slippery slime hands caress them will feel like heaven~❤
ほら、さわさわ❤さわさわ・・・❤,See how I'm gently brushing my fingers over your nipples~❤
きゃはは、腰カクカクさせちゃってるじゃん。\nなになに？エッチしてる感じなのかな？,Kya-haha; your hips are thrusting back and forth! What's this? Does it feel like you' actually having sex?
ほんとは何もないところに腰を振ってるだけなのに・・・、くすくす❤\n妄想エッチきもちいいねー❤,Even though you're just grinding into air... *Giggle*❤ Fantasizing about sex feels so good; doesn't it?❤
好きなだけ出していいわよ❤\n仲間のことなんて忘れて、どぴゅどぴゅってしちゃえ、マゾ男❤,You can come as much as you want~❤ Forget about your friends and just let it all out; mister~❤
あん❤どばどば出てる❤\nおまんこの中じゃなくて、わたしのお尻にかかったわね❤,Ah~❤ It's spilling out~❤ It's not inside my pussy; but it's splattering all over my ass~❤
中だしじゃないけど、これで満足かしら❤\nふふ、聞くまでもないか❤,It's not a creampie; but are you satisfied with this?❤ Hehe; I don't even need to ask; do I?
自分から自爆しちゃうカードマスターで助かったなー。\nこれでわたしたちの勝ち♪ らくちんらくちん♪,Lucky for you; Cardmaster; that you gave in. This means we win♪ Easy peasy♪
もしかしたら、また気持ちいいサービスしちゃうかも。\nほら、おいで、おいで・・・❤,I might give you something even more pleasurable~ Come on; come over here...❤
ふふ、ざーこ❤理性よわよわー❤,Hehe; such a small fry.❤ Your self-control is so weak~❤
きゃはは❤楽勝、楽勝❤\nロリコンチンポは弱くて助かるわ❤,Kya-haha~❤ Easy win; so easy~❤ I'm so relieved that lolicon weenies are weak~❤
初めて魔族と戦った僕は、サキュバスの少女が繰り出した上級モンスターにあっけなくイかされてしまった。,As someone fighting demons for the first time; I was effortlesly brought to climax by an advanced monster summoned by the succubus girl.
仰向けに倒れた体に力を入れることもできず、守るはずだった商人が襲われていく様を眺めることしか出来ないでいた・・・。,Unable to muster any strength while sprawled on my back; I could only watch as the merchant I was supposed to protect was attacked...
く、くるな。\nこないでくれ・・・っ！, S-Stay back... Don't come any closer...!
ううっ…。\nやめろ、その人から離れろ・・・！,Ugh... Stop; get away from him...!
あら。健気な護衛さんですね❤\nマスターのお兄さんはまだ頑張るつもりですか？,Oh my. How admirable of you; protector~❤ Is my big brother; the Master; still planning to give it his all?
けど今さら無駄です❤\nお兄さんが負けちゃったせいで、\nみ～んなわたしたちに食べられちゃうんですよ❤,But it's pointless now.❤ Because of you lost; everyone will end up being eaten by us~❤
でもよかったですよね❤\n男の人は、サキュバスにえっちなことをされるのが大好きですから❤\nあなたも嬉しいでしょう？ ほら、ほらほら❤,But isn't it great?❤ Men love it when succubi do naughty things to them!❤ You're happy too; right? Come on; come on~ Come on~❤
え、あ、うぁ・・・❤,Ehh; ah; uhh...❤
ね？こんなに幸せそうなお顔❤\nさあ、わたしの足コキで一回目のお射精しちゃってください❤\nよわ～い商人さん、どぴゅどぴゅー❤,See? You have such an ecstatic look on your face~❤ Now; go ahead and shoot your first load with my foot job~❤ Weak merchant; cum-cum~❤
あ❤　あ❤　あ❤\n\n・・・・・・・・・っ❤,Ah.❤ Ah.❤ Ah~❤...❤
くそぅ・・・。,Damn...
僕は無意味とわかっていながらも商人の元へと這い寄ろうとする。しかし、その動きは途中で止められてしまう。,I crawled toward the merchant; even knowing it was meaningless. However; my movement was suddenly stopped.
見ると、バトルで僕を倒したメルティスライムが目の前に立ちふさがり、僕をにやにやとした顔で見下ろしていた。,When I looked up; the Melty Slime; who had defeated me in battle stood in my way; grinning down at me.
わたしにかんたんにイかされちゃったくせに、なにしようとしてるのー？\nマスターも言ってたでしょ？ 『今さら無駄』だって❤,What are you planning to do now; after I made you cum so easily? Didn't my master say; 'It's pointless now?'~❤
ぼ、僕のせいだ・・・。\n僕を頼ってくれた人だけでも助けなくちゃ・・・。,I-it's my fault... I have to save at least the people who relied on me...
くすくす❤そんなこと言って、全然進めてないよ？\nハイハイ上手だねー❤赤ちゃんなのかな～？,*Giggle*❤ Saying that; and you're still not making any progress; huh? Oh; you're not doing so well; are you?❤ Are you just a bit inexperienced; maybe~?
サキュバスにイかされちゃったらね、\nしばらく 体に力が入らなくなっちゃうんだよ❤\n子供にも勝てないぐらい、よわよわになっちゃうの❤,When a succubus makes you come; your body will be too weak to move for a while.❤ You'll get so weak that even a child could easily defeat you.❤
カードマスターなら分かってたよね。\nサキュバスに射精させられちゃいけないって。\nで、も・・・・❤,As a cardmaster; you should have known better. You shouldn't let a succubus make you cum. But you did...❤
わたしの体に見とれてぇ、\n自分でしこしこ❤自滅オナニー❤\n絶対しちゃダメな射精、どぴゅどぴゅーって楽しんじゃったね❤,Mesmerized by my body; you started masturbating~❤ Indulging in a guilty pleasure~❤ You shouldn't have ejaculated; but you did; didn't you? Because you enjoyed every explosive spurt so much~❤
わたしに童貞おちんちんシコシコされてぇ、\n頭のなかあっという間にまっしろ❤\n絶対しちゃダメな射精、どぴゅどぴゅーって楽しんじゃったね❤,Having your pure little weenie stroked by me made your mind go completely blank; didn't it?❤ You enjoyed that forbidden release so much; didn't you? Just savouring every explosive spurt!❤
う、ううっ・・・❤それはぁ・・・。,Ugh; Aah...❤ That's...
言い訳しなくていいんだよー。\nわたしのせくしーぼでぃーに負けるなんて、\n男なら当たり前なんだし。きゃはは❤,No need for excuses~❤ Losing to my sexy body is just what happens to any man. Kya-ha-ha~❤
でも、あんたに責任はあるかもね。\nあんたがおちんちん我慢できてたら、\nあそこの商人さんは助かったのかも。,But; you might be at fault here~❤ If you could have just held back your weenie; maybe that merchant could've been saved.
だからぁ、悪かったなーって思うなら、\nわたしにどれだけシコシコされても我慢しなくちゃダメだよ？\nえいっ❤,So; if you feel bad about it; you'll have to endure whatever I do to you~❤ No matter how much I jerk you off; okay? Here we go~❤
う・・・❤はぁ・・・❤,Ugh...❤ Ahh...❤
くす❤チンポ包まれた瞬間にうっとりしちゃってるー❤\nロリコンマゾ男って、ちょろーい❤,Hehe~❤ The moment your weenie got wrapped up; you started swooning with bliss~❤ Lolicon masochists like you are so easy~❤
おちんちん全部、にゅるんって包まれたことなんてないもんね。\n守らなきゃいけない人とかがかかっていても、\nこんなことされたら、ロリコンおちんちん耐えられないもんね❤,You've never had your whole weenie wrapped up like this; have you? Even if you have someone to protect; when you're treated like this; your lolicon weenie just can't handle it~❤
ほぉら、うりうりー❤\nかる～く動かすだけでも、\nわたしの手がぬちぬち絡みついてきてたまらないでしょ❤,Look at me go; wriggle-wriggle~❤ Just a little movement; and my hand is slithering around you; making it absolutely irresistible~❤
あっ❤あううぁ・・・❤,Ah~❤ Ugh... Ahh~❤
あは❤幸せそうな顔ー❤\nスライム手コキでわたしにメロメロだね～❤\n腕にも脚にもぜんぜん力入ってないよ❤,Ahaha~❤ You have such a blissful expression~❤ You're completely smitten by my slime hand job～❤ Not even putting any strength into your arms or legs at all~❤
きっとあんたとわたしが腕相撲とかしたらね、\nあんたの方が勝つと思うんだー。\nでも、おちんちん握っちゃえば、筋肉とか関係ないの。わたしの勝ち❤,I'm sure if we had an arm wrestling match; you'd win. But once I start gripping your weenie; muscles don't matter. I win~❤
強い武器を持っていてもー、おちんちんは弱いもんね❤\nびんかんな隙間にスライムを潜りこませてぇ、\nそのまま上下にぐちゅぐちゅってすれば、ほら、おしまい…❤,Even with a strong weapon; your weenie is still weak~❤ Just let the slime slip into those sensitive gaps and squish up and down; and see? It's all over...❤
うぁ、あ、あうぅ・・・❤,Ugh~ Ah~ Ugh...❤
くすくす❤ もう助けに行こうとかなーんにも考えられないね❤\n「もっと気持ちよくしてほしいよ～」って、\n腰をぷるぷるさせてるだけ❤かっこわる～い❤,*Giggle*❤ You can't even think about helping them anymore~❤ You're just shaking your hips; moaning; “I want to feel even better”~❤ How silly~❤
まーそうなっちゃうのも仕方ないよね❤\nわたしのおててオナホ、\nおちんちんを気持ちよ～くさせるのが大得意なんだもん❤,Well; it's no surprise you've ended up like this~❤ My hand pussy is really great at making your weenie feel so good~❤
どんな男でもイかせられるように、\n思い通りに形を変えて、ぴったりフィット❤\nきゅーって吸い付いて、簡単にどぴゅどぴゅさせちゃう最強名器なの❤,It changes shape to fit any man perfectly; molding just the way I want~❤ It clings to you; making you cum easily; each explosive spurt flowing without effort~❤
・・・・・・っ❤,...❤
ねー、おちんぽずっとぐちゅぐちゅされてそろそろ限界でしょ？❤\nまだわたしたちから逃げたい？\nそれとも・・・。,Hey; your weenie's been squished around for a while now and must be reaching its limit; right?❤ Do you still want to escape from us? Or maybe...
・・・・・・イかせてほしい？❤,...You want me to make you cum?❤
い、いや。\n僕は・・・・・・,N-No. You...
・・・・・・・・・っ❤,...❤
うんうん、僕はー？❤,Uh-huh; what about me?❤
必死に快感に抗う僕をからかうように、メルティスライムはここぞというタイミングでペニスへの責めを激しくする。,Melty Slime mocks my desperate struggle against pleasure; intensifying her attacks on my penis at the perfect moments.
幼い見た目からは想像もできないほど的確に弱点を責めてくる姿に、彼女がサキュバスの使うモンスターだということを思い知らされた。,Her precision in targeting my weaknesses; far beyond what her youthful appearance suggested; made me realize she was a monster used by a succubus.
亀さんの出っ張りにスライムを引っかけてぬちゅぬちゅすると、\nどんな男でも効いちゃうんだよねー❤,Hooking slime onto the tip of your weenie and squeezing it works on any man; doesn't it?❤
ほらほらー❤ 弱いとこだけじゃないよ❤\n皮の外からも～、皮の中からも～、竿をごしごしして、\nチンポのぜ～んぶをスライムでメロメロにしてあげる❤,Come on; come on~❤ It's not just about the weak spots~❤ I'll rub the shaft inside and out; making every part of your weenie melt under my slime~❤
で、僕は？❤\nどうしたい？❤ どうされたい？❤,And what about me?❤ What do you want me to do?❤ How do you want me to play with you?❤
・・・・・・い、イかせてっ！❤\nスライムで射精、させて・・・っ！❤,P-please make me cum!❤ Let me ejaculate with slime ...!❤
ん～？「させて」？\nそんな言葉づかいでいいのかなぁー。,Hmm? “Let me cum?” Is this really how you're going to ask?
あっ、ああっ❤\nさせてください・・・っ！❤\nメルティスライムさまぁ❤おねがいしますぅっ❤,Ahh; ahh~❤ Please; let me...!❤ Please; Miss Melty Slime.❤ I beg you...!❤
きゃはは❤こんなちっちゃい子に向けて「お願いします」だってさぁ❤\n最初は仲間を助けなきゃ～ってちゃんとがんばってたのに。\nかっこわるーい❤わたしげんめつしちゃーう❤,Kyahaha!❤You're saying “please” to such a little girl~❤ At first; you were trying so hard to help your friends. How pathetic!❤ You'll be completely drained; just like that~❤
でも、ちゃんとおねだりできたマスターくんには、\n応えてあげないとね❤,But since you asked so nicely; Mister Cardmaster; I suppose I have to grant your request~❤
シコシコおててに屈服しちゃったロリコンおちんちんに、\nスライムオナホでとどめだよ❤,Your lolicon weenie that's already surrendered to my handjob will be finished off with my slime pussy~❤
ほら、これまでで一番激しく、ぐちゅぐちゅぐちゅー❤\nおちんちんめちゃくちゃにされてたまらないでしょ❤,See; Look; this is the most intense; squishy; and sloppy mess yet~❤ It must be irresistible to have your weenie so thoroughly messed up; right?❤
さっさと射精しちゃえ、マーゾ❤,Hurry up and cum already; you masochist~❤
はぅぅ❤　い、イく・・・・・・っ❤,Haa~❤ I-I'm cumming...❤
うわー❤ わたしの手の中にこんなにたっぷり❤\n二回目でもどぴゅどぴゅーってすっごく濃いの出せたね～❤,Wow~❤ So much cum in my hand~❤ You managed to shoot out such a thick load even for the second round; huh~?❤
こんなに中出しして、\nロリコンおちんちん、わたしのこと大好きなんだね❤\nぷっ、くすくす❤,You came so much inside. Lolicon weenie; you really love me; don't you?❤ Pfft. *Giggle*❤
ねえ、マスターくんは、いっぱい精液出せて満足できた？\nそれともぉ・・・❤,Hey; Cardmaster~ Are you satisfied with the amount of semen you've released? Or maybe... do you need more?❤
うぅ❤ もっとぉ・・・❤\n最後までしてぇ・・・❤\nメルティスライムさまぁ❤❤❤,Uhh~❤ More...❤ Keep going until the end...❤ Miss Melty Slime~❤❤❤
きゃはは❤言うと思った♪\n心配しなくても、まだまだチンポは離してあげない❤\nぬちゅぬちゅ動かして、またすぐに射精させてあげるよ❤,Kyahaha!❤I knew you would say that♪ Don't worry; I'm not letting go of your weenie just yet~❤ I'll keep stroking it nice and wet; and make you cum again in no time~❤
ちゃ～んと『最期まで』、搾り取ってあげるからね❤\nロリコンでぇ、マゾのぉ、ザコマスターくん❤, I'll make sure to squeeze you dry until the very end~❤ You little lolicon; masochistic weakling~❤
このあとも、僕は数えきれないほど 繰り返し精を搾り取られた。,After that; I was drained of my semen countless times; over and over again.
竿をはげしく扱かれて射精し、カリ首ばかりを擦られて射精し、ペニスをやわらかく握られる感触だけで漏らすように甘く射精し・・・。,With my shaft being vigorously stroked; I ejaculated. When the tip was rubbed; I came again; and just the sensation of a soft grip made me leak sweetly...
