default
ギガントゴーレム,Giga Golem
ほら、もっと早くパイズリしてやるからイってしまえ❤,Here; I'll make my titjob even faster; so hurry up and cum~❤
さあ、特大おっぱいの快感に溺れろ❤全身を挟まれながらイ❤ケ❤,Come on; drown in the pleasure of my huge breasts.❤ Cum with your entire body completely enveloped~❤
クク❤またわたしのおっぱいが白くなってしまったな❤\nエナジーの提供、感謝するよ。おっぱいに負けたマゾども❤❤,Kuhu~❤ You've turned my breasts all white again~❤ Thank you for losing to my tits and giving me your energy; you masochist!❤❤
ふふ、わたしの谷間で挟んでやるまでもなかったな❤\nオナニーで自滅するとは。ククク❤みじめな終わり方だ❤,Fufu; I didn't even need to squeeze you between my breasts.❤ You just stroked yourself until you lost. Kuhuhu~❤ What a pathetic way to lose~❤
全身パイズリは最高だっただろう？\nもう普通の快感では満足できないかもな。ふふふ❤,My full-body titjob was the best; wasn't it? You'll never be satisfied by any ordinary pleasure again. Fufufu~❤
おいおい。パイズリする前にイくとは、\nわたしのおっぱいを見すぎて興奮したのか？\nこの早漏め。ククク❤,Oh my. You came before I could give you a titjob. Did you get too excited from just looking at my breasts? You premature ejaculator. Kuhuhu~❤
ムニンが繰り出した女性モンスターの胸に射精してしまった僕は、体に力を入れることも出来なくなり地面に膝をついていた。,Having ejaculated on the chest of the female monster summoned by Munin; I fell to my knees; unable to muster any strength at all.
あはは、うちの子のおっぱいに負けちゃってなさけな～い❤,Ahaha; I can't believe you lost to my girl's boobs like that. How pathetic~❤
ま、最上級モンスターを召喚できる、\nわたしがすごいだけってことかな？\nギガントゴーレムを出せた時点で、わたしの勝ち確定だし♪,Well; I guess this just shows how amazing I am since I'm able to summon such a high-level monster; right? Once I brought out the Giga Golem; my victory was guaranteed~♪
ギガントゴーレム。わたし買い物してくるから、\nあとはそこのお兄さんを好きに搾っておいて。\n召喚で魔力使いすぎてへとへとだし、その分搾り取っておいてよ。,Giga Golem. I'm going shopping; so go ahead squeeze that guy as much as you want. I used too much magic summoning you and I'm exhausted; so make sure to drain him plenty!
フフ、了解、マスター。,Kuhu; understood; Master.
わたしのギガントゴーレムのエナジー補給よろしくね、マゾお兄さん❤\nじゃあねー。,Give my Giga Golem's plenty of energy; won't you? You masochist.❤ See you later; okay?
さて、わたしの胸に手も足も出なかった、マゾマスターよ、\nエナジーを限界まで搾られる覚悟は出来ているか？,Well then; masochist master; are you ready to have your energy drained to the limit by the chest you were so powerless against?
くっ、や、やめて・・・,Ugh... No... P-please...
フフ❤無様に地面を這ってどうした？\nまさか逃げようとしているのか？,Fufu.❤ Why are you crawling on the ground like that? Are you maybe trying to escape?
男はモンスターに搾り取られたあとは、まともに動けなくなる。\nそれぐらい知っているだろうに往生際が悪い奴だ❤,A man can't move properly after being drained by a monster. You should know that by now; but you're just so persistent.❤
うはぁぁ❤,Whoa!❤
お前がいるべき場所はここ❤\nむれむれで、むちむちのわたしのおっぱいの谷間だ❤,This is where you belong.❤ In the valley of my ample; voluptuous breasts~❤
クク❤全身が挟まれただけで\n一度萎えたチンコがもう元気になっているじゃないか❤,Kuhu~❤ Just being squeezed between my tits has made your limp cock hard again~❤
本当は逃げるふりをして、捕まえられる事を期待していたのだろう？\nほら・・・❤,You were just pretending to run away; hoping to get caught; weren't you? Here...❤
ああぁぁ❤,Ahhh...❤
わたしはほんのちょっと胸を揺らしただけだぞ？\nああ、おっぱい未満の大きさのお前には、\nちょっとの動きではなかったか❤,You know I only shook my chest a little; right? Ah; but since you're so much smaller than my breasts; it must have felt like a lot.❤
全身を包み込むおっぱいが少し揺れるだけで、\nお前のチンコも顔も、全ておっぱいに蹂躙されるものな❤\nククク❤,With your whole body enveloped by my my breasts; just a little sway; and your cock; face; and every part of you will be completely ravaged by them~❤ Kuhuhu~❤
こうして抱きしめられていると、\n自分の身の小ささを実感するだろう？\nさて何回おっぱいの波に耐えられるか、見ものだな❤,Being hugged like this must make you realize just how small you are; right? Now; let's see how many times you can withstand me shaking my breasts; shall we?❤
ダブン❤,Shake~❤
はひぃっ❤,Hahhh...❤
ダブン❤❤,Shake~❤❤
ダブン❤❤❤,Shake; shake~❤❤❤
あ、ああっ、うはぁあぁぁ❤,Ah; ahh; uahhh...❤
クク❤イってしまったか❤\nたかだか数回しか耐えられんとは、情けない❤,Kuhu~❤ You came already~❤ You couldn't even endure a few shakes. How pathetic~❤
しかし、こんな量では全然足りんな❤\nせめて胸からあふれぐらいは出してもらおうか。,This isn't enough; though.❤ Lets keep going until my chest overflows.
うぅ…❤,Uuh...❤
わたしはカードマスターたちが言うところの、最上級モンスター。\n必要とする魔力は相応に大きい。\nお前にはその分をたっぷりまかなってもらう。,I'm what you cardmasters call a top-tier monster. The amount of magic power I require is more than your average monster. You'll have to cover my cost.
さっきのはまだおっぱいを軽く揺らしたに過ぎないぞ？\nパイズリの気持ちよさは、ほら、これからだ❤,I've barely shaken my chest at all so far; you know? The real pleasure of a titfuck; well; that's just about to start~❤
あひぃぃ…❤❤❤,Ahhh...❤❤❤
クク❤どうだ？これが全身パイズリだ、\n先ほどの快感が児戯に思えるほどだろう？,Kuhu~❤ How is it? This is my true full-body titjob. The pleasure from earlier must seem like child's play in comparison; right?
どんな男もわたしの全身パイズリの前には屈服するしかない❤\n抵抗なんて諦めて無様に搾られろ❤,Any man has no choice but to submit to my full-body titjob~❤ Just give up and be pitifully and completely milked~❤
ああああ…っ❤❤❤,Ah... Ahhh...❤❤❤
ふ、早いな❤\nだがまだ足りんぞ❤,Ufu; that was quick.❤ But it's still not enough~❤
さらに強くパイズリしてやる❤\nエナジーを吐き出し続けろ❤ほらほらほら❤,I'm going to titfuck you even harder; so keep shooting out your energy.❤ Here I go~❤ Come on; come on~❤
自分の体より大きなおっぱいに挟まれてイき続けろ❤❤❤,Keep cumming; squeezed between tits bigger than you are~❤❤❤
