default
魅惑のマーメイド,Seductive Mermaid
くすくす❤おっぱいにメロメロみたいね。\nうっとりした顔で無抵抗❤\nおっぱいをパンパンって叩きつけられて、腰から溶けそうなのよね❤,*Giggle*❤ You're absolutely captivated by my breasts; aren't you? Your face looks so entranced; and you aren't even putting up a fight.❤ Your hips melt more and more as I slam my breasts against them; don't they?❤
イくまで寝ていなさい❤\nおっぱいによわーいあなたなら、\nチンポが降参するまで、きっとすぐだから・・・❤くす❤,Just stay in that trance until you cum~❤ With how much you love breasts; your dick will surely surrender in no time...❤ *Giggle*❤
あはん❤谷間に顔を埋めてあげるわ❤\n両手で顔を捕まえて・・・。むぎゅ❤,Ahn~❤ Let me bury your face in my cleavage.❤ I'll take your head in both arms and... Squeeze~❤
どう？柔らかくて甘い匂いがして…❤\n顔を埋めているだけで幸せになっちゃうわよね❤\nこれがわたしのおっぱいの感触よ❤,Well? They must feel so soft and smell so sweet...❤ Just burying your face in them already has you so blissful; doesn't it?❤ This is the feeling of my breasts!❤
おまけで、耳元であなただけの子守唄を歌ってあげる❤\n歌とおっぱいで脳みそとろとろにされて、\n幸せ快楽に溺れなさい❤うふふふ❤,As a treat; I'll even sing you a lullaby right in your ear!❤ Let your brain get lost in my song and the feeling of my breasts. Drown in this ocean of bliss.❤ Ufufufu~❤
わたし胸が大きいのが自慢なの❤\n大きい胸ってセクシーよね❤\nこんな風に両手でむにゅって寄せ上げたり...❤,I take pride in these big breasts of mine.❤ Large breasts are just so beautiful; aren't they?❤ I enjoy squishing them together with both hands and pushing them up...❤
肘でむぎゅって谷間を強調したり…❤\nあら、目が吸い寄せられているわね。くすくす❤,I can use my elbows to squeeze and emphasize my cleavage...❤ Oh my; it seems your eyes are being drawn right to it; aren't they? *Giggle*❤  
わたしのおっぱい、オナニーのおかずにしてもいいのよ❤\n頭空っぽにして、敵のおっぱいを見ながらシコシコ♪シコシコ♪\nきっと気持ちいいと思うわ❤,Feel free to jerk off to my breasts!❤ Just empty your mind and focus on your enemy's chest as you stroke your penis~♪ Stroke stroke~♪ I'm sure it will feel ever so pleasant~❤
くす、ほんとに始めちゃった❤\n頭がメロメロになっているあなたには、\n谷間の誘惑は刺激が強すぎたかしら❤,*Giggle* You're actually doing it.❤ With your mind so dazed; perhaps the temptation was just too great~❤
戦わなきゃいけないのに、おちんちんを触ってシコシコ❤シコシコ❤\n攻撃はやめてそのまま射精しちゃう？\nおっぱい見せつけられただけで、負けちゃっていいわよ。うふふふ❤,You're supposed to be fighting right now; but instead you're just stroking your penis.❤ Stroke stroke~❤ Why don't you give up on attacking and just cum? I'll graciously present my breasts to you; so go ahead and lose! Ufufufu~❤
胸で挟んであげる❤\nわたしの大きいおっぱい、とっても気持ちいいわよ❤,I'll smother your penis between my breasts.❤ These voluptuous boobs of mine feel so amazing to the touch!❤
ほら、チンポが根元までずっぷり❤谷間に飲み込まれちゃった❤\n亀頭でおっぱいをかき分けて行く快感、\n腰が砕けそうだったでしょう？,Look; your dick got completely swallowed by my cleavage.❤ I'd bet the pleasure from having the tip of your penis thrust into these boobs is enough to make your hips give out; isn't it?
この状態で上下にゆさゆさってしてあげれば、\nみんなすぐ夢心地よ❤\nあなたは何回揺らしたときにイっちゃうかしら。くすくす❤,If I bounce them up and down like this; anyone would get mesmerized in an instant!❤ I wonder how many bounces it will take before you cum? *Giggle*❤
ゆさ、ゆさ…♪ゆさ、ゆさ…♪\nおっぱい気持ちよすぎて抗えないわね❤\n目にハートを浮かべちゃって、かわいいわ❤,Bounce; bounce...♪ Bounce; bounce...♪ My breasts feel too good to even think about resisting; don't they?❤ Your eyes look so lovey-dovey. How cute~❤
腰がもう震えてきた❤\nそろそろ射精しちゃうのかしら？\nおっぱいにエナジー搾り取られてしまいましょうね❤うふふ❤,Your hips are already trembling.❤ Are you on the verge of climax so soon? Then let these breasts drain all your energy; okay?❤ Ufufu~❤
あらあら❤\nわたしに気持ちよくしてほしいの？,Oh my~❤ Do you wish for me to make you feel good? 
歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤強そうなわりにかわいいのね❤,You were so enchanted by my song that you came over to beg me all by yourself. *Giggle*❤ You look tough; but you've actually quite the cute side to you; it seems.❤
歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤見た目通りかわいいのね❤,You were so enchanted by my song that you came over to beg me all by yourself. *Giggle*❤ You're as adorable as your appearance suggests; aren't you?❤
いいわよ❤\nおねだりできたご褒美に、\nおっぱいで可愛がってあげるわ❤,Very well!❤ As a reward for begging so nicely; I'll use my breasts and give you plenty of love~❤
あはん❤谷間から白いのあふれちゃってる❤\nそんなに気持ち良かったかしら❤,Ahn~❤ White liquid is spilling out from inside my cleavage.❤ You must have felt really good~❤
濃厚なエナジーが答えよね❤\nうふふ❤ごちそうさま❤,No need to say anything. This rich energy is answer enough; wouldn't you say?❤ Ufufu~❤ Thank you for the meal.❤
あん❤ぱふぱふだけでお漏らししちゃうなんて❤\nこらえ性がないのね❤くすくす❤,Ahn~❤ Are you actually leaking precum from just my breasts pressing against your face?❤ You truly have no self-control; do you?❤ *Giggle*❤
うふふ❤しこしこしてどぴゅどぴゅ射精❤\nわたしのおっぱいをおかずにできて満足した？,Ufufu~❤ You stroked yourself to the very end.❤ Were you truly that satisfied just fantasizing about my breasts?
たっぷりのエナジーごちそうさま❤\nあなたが谷間に出した濃い精液、\n力に変えてまだ戦わせてもらうわ。うふふ❤,Thank you for this generous helping of energy~❤ I shall convert this thick semen you spilled onto my cleavage into energy and continue fighting. Ufufu~❤
うっ、ああ・・・。,Ngh; aah...
うふ❤ひとりでオナニー始めちゃった❤\n大きなおっぱい見てたらムラムラしちゃったのかしら❤,Ufufu~❤ You started masturbating all on your own.❤ Did seeing such big breasts arouse you that much?❤
目にハートを浮かべて可愛い❤\nすっかり魅了されちゃったわね❤,You're so cute with your eyes all lovey-dovey like that.❤ You're utterly captivated; aren't you?❤
せっかく魅了に耐えたのに、\nオナニーしたら意味がないわよ❤くすくす❤,All that effort to resist my charm has just been wasted because you decided to stroke yourself~❤ *Giggle*❤
うう❤くそぉ・・・❤,Ugh...❤ Dammit...❤
悔しがらないで、気持ち良くなる事だけ考えましょうね❤\nもっと～♪じっと見てぇ～♪,Pay no mind to the shame you're feeling. Just focus on how good it feels; okay?❤ Go on~♪ Look as much as you like~♪
あうう・・・❤おっぱい・・・❤おっぱい・・・❤,Uwaa...❤ Boobs...❤ Sexy boobs...❤
声に少し魅了を乗せたら効果てきめんね❤\nオナニーしてるくらいだもの、抗えるはずないわ❤,Just putting a little charm in my voice works wonders on you; doesn't it?❤ You can't resist it any more than you can resist stroking your own cock~❤ 
くすくす❤\nもうおっぱいしか目に映ってないのね❤\n魅了が効きすぎちゃったのかしら❤,*Giggle*❤ You can't look away from my breasts; can you?❤ Perhaps my charm was too powerful.❤
しこしこする手も激しくしちゃって・・・。\n何もしなくても射精するまでオナニーしそうね❤,Your hand is stroking so desperately... Even if I did absolutely nothing; you'd keep masturbating to the very end; wouldn't you?❤
はぁ、はぁ・・・❤　はぁ、はぁ・・・❤,Haa; haa...❤ Haa; haa...❤
でもただ待ってるのも暇だし、\n早く射精できるようにしてあげるわ❤\nわたしのおっぱいで・・・❤,However; I tire of waiting around; so I suppose I'll hurry you along~❤ Here; look at my breasts...❤
両手でむにゅって寄せてあげてみたり❤\n肘でぎゅ～って谷間を作ってみたり❤,I can push them together with my hands...❤ Or I can squeeze them tightly with my elbows to create a chasm in the middle.❤
胸のリングを持って上下にゆさゆさ❤\nうふふ❤これが一番好きなのかしら❤\n凄い鼻息❤,Or maybe I'll play with the little ring on my top to jiggle them around for you.❤ Ufufu~❤ It seems you really enjoy that.❤ You're panting so heavily~❤
はっ、はっ❤はっ、はっ❤,Haa; haa...❤ Haa; haa...❤
くすくす❤わんちゃんみたい❤\n頭はもう射精することでいっぱい❤,*Giggle*❤ You're like a little puppy~❤ Your mind is already being overwhelmed by thoughts of ejaculating.❤
わたしのマスターに勝たないといけない\n大切な試合のはずなのに❤\nメロメロになってオナニーなんて、格好悪い❤,You still have to defeat my master. This should be an important match for you.❤ Yet you're getting all distracted and masturbating despite that... So uncool~❤
もう出そうなのね❤\nいいわよ？おっぱいを狙って？\n谷間にびゅ～ってお射精しなさい❤,You're at your limit; aren't you?❤ Are you ready? Can you direct it towards my breasts? Let your semen out onto my cleavage.❤
ううっ…❤でるぅ❤,Uwaaa...❤ I'm coming~❤
やあん❤凄い量❤\n興奮しすぎじゃないかしら❤\nエナジーもたっぷり溶け込んでるわ。どれだけ夢中だったのかしら❤,Oh my~❤ What a large amount.❤ Seems you got a bit too excited.❤ There's so much energy contained here; I wonder just how captivated you were~❤
大切な試合のはずなのに性欲には勝てない❤\n男の人って本当におバカさんね、愚かすぎて可愛い❤,This is supposed to be an important match; yet you couldn't win against your sexual desires.❤ Men are so stupid. Still; that's what makes them cute~❤
マスターよりおっぱいを優先するなんて、\n男の人って本当におバカさんね、愚かすぎて可愛いわ❤,Such fools men are; forsaking their master over some breasts. It's almost cute; wouldn't you say? Just how foolish they are~❤
あらぁ？あなたもムラムラが我慢できなちゃったのね❤\n揃いも揃っておバカさんなんだから❤くすくす❤,What's this? It seems you couldn't resist your sexual desire either.❤ Every one of you is such a fool~❤ *Giggle*❤
目にハートを浮かべて可愛い❤\nあなたもおっぱいに魅了されちゃったわね❤,You're so cute with your eyes all lovey-dovey like that~❤ You've also fallen captive to my breasts; haven't you?❤
せっかく魅了に耐えたのに、\n仲間につられたら意味がないわよ❤,No matter how much you resist my charms; it's all for naught if you let your allies drag you down with them!❤
あなたもやっぱり抗えないのね❤\n声に少し魅了を乗せたら効果てきめん❤,As expected; it seems you can't resist me either; can you?❤ Adding a little charm to my voice and you can't help but fawn over me~❤
両手で下から持ち上げてみたり❤\n指を挟んでずりずりって見せつけてあげたり❤,I can push my breasts up from below with my hands...❤ Or I can teasingly run my fingers over and between them; like this~❤
くすくす❤あなたもわんちゃんみたい❤\n頭はもう射精することでいっぱい❤,*Giggle*❤ You're like a little puppy~❤ Your mind is completely consumed by thoughts of ejaculating.❤
おっぱいに魅了されてオナニーする姿、\n何回見ても本当に面白いわ❤くすくす❤,The sight of a man masturbating while mesmerized by my breasts is so amusing no matter how many times I see it~❤ *Giggle*❤
マスターよりおっぱいを優先する男ばっかり❤\nおバカさんの仲間はおバカさんね、愚かすぎて可愛いわ❤くすくす❤,There are so many men abandoning their master over a pair of breasts.❤ It seems fools of a feather flock together; don't they? It's so cute; how stupid you all are~❤ *Giggle*❤
うう・・・。\n（わたしの歌が効かないなんて。こうなったら・・・）,Gah... (My song doesn't seem to be working. In that case...)
お願い・・・❤\nもう、攻撃しないで・・・❤\n降参するから・・・❤,Please...❤ Cease your assault...❤ I surrender...❤
・・・。,...
ねぇ・・・❤\nもう抵抗するつもりはないの・・・❤\nだから怖い顔、しないで・・・❤,Really...❤ I won't resist anymore...❤ So don't make such a scary face...❤
（声に魔力を込めて、\nおっぱいの前で両手を組んで、谷間を見せつけながら懇願❤\n悪あがきだけど効くかしら？）,(I've enchanted my voice with magic; and I'm clasping my hands in front of my breasts to emphasize them as I plead.❤ Will this desperate attempt work?)
う・・・❤,Hngh...❤
（くす、揺らいでる❤\nやっぱり男って単純・・・❤）,(*Giggle* He's hesitating.❤ Men truly are simple creatures after all...❤)
わたしのおっぱい、あなたの好きにしていいから・・・❤\n一生懸命ご奉仕するから・・・❤,If it pleases you; you may do whatever you wish with my breasts...❤ I shall serve you with everything I have...❤
さあ、横になって・・・❤\nあなたが満足するまでパイズリご奉仕させて、ね・・・❤,Come; lie on your back...❤ Let me satisfy you with a paizuri; okay...?❤
誘惑に抗いとどめを刺した,Resist Temptation and Finish Her Off
横になった,'If she really wants to serve me...'
うぅ、悔しい・・・。,Ugh; how terrible...
動かないってことは挟んでもいいってことよね・・・❤\nほら、胸を近づけるから攻撃しないで・・・❤,If you aren't moving; that means it's alright if I begin; right...?❤ In that case; I'll bring my chest closer; so please don't attack me...❤
うふ、武器を置いて横になってくれて、ありがとう・・・❤\nそれじゃあ、おっぱいで挟んであげる・・・❤,Ufu; you have my gratitude for setting your weapon aside and laying down...❤ Without further ado; I shall now squeeze your penis between my breasts...❤
おふぅ・・・❤,Ohh...❤
くすくす❤気持ちよさそうなため息・・・❤\nそれじゃあパイズリ、始めるわね・・・❤,*Giggle*❤ You just moaned from the pleasure...❤ Then; I'll begin the paizuri...❤
あぁ・・・❤き、きもちいい・・・❤,Aah...❤ I... It feels so good...❤
そう、良かったわね・・・❤\nたっぷりおっぱいを楽しんで・・・❤,I see; I'm so glad to hear that...❤ Please; indulge in my breasts to your heart's content...❤
（は～い戦意消失❤\n魅了をかけれればもうこっちのものよ❤）,(And now his will to fight has gone~❤ He became mine the moment he fell under my charm!❤)
はぁ、はぁ❤いいよぉ・・・❤,Haa; haa...❤ So good...❤
くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nすっかり形勢逆転してることに❤,*Giggle*❤ Your head is already filled with nothing but breasts.❤ Hey~❤ Did you notice? The tides have already shifted.❤
さっきはあと少しでわたしを倒せたのに、\nいつのまにか弱点のチンポ、ズリズリされてるわよ❤,You were so close to defeating me. But now your dick-your most vital point-is getting massaged instead.❤
あ、ああぁぁっ❤で、でも降参するって・・・❤,Ah; aaahh!❤ B... But you surrendered...❤
Bランクに手がかかるってマスターがそんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤,Did you; a master about to achieve B-rank; actually believe me? *Giggle*❤ It seems my voice has made your brains go soft~❤
Bランク手前のマスターの使い魔でしょう？そんな言葉を信じたの？\nくすくす❤わたしの声で思考能力が落ちているんじゃないかしら❤,You're the familiar of an almost-B-rank master. Did you really believe those words? *Giggle*❤ It seems my voice has muddled your ability to think~❤
今更気づいても遅いわ❤\nむにゅむにゅ❤ズリズリ❤\nパイズリされたら力、入らないでしょ？,It's too late to realize it now.❤ Squish squish~❤ Rub rub~❤ You can't summon any strength while getting a paizuri; can you?
あっという間に目がハート❤\nおっぱいに出したいよ～って、腰へこへこさせちゃった❤,In an instant; hearts have filled your eyes.❤ You've become so desperate to ejaculate on my breasts that you've started shaking your hips~❤
布を持って上下にゆっさゆっさ❤\nタイミングが合うともっと気持ちいいわよねぇ❤,I'll grip my top and use it to bounce my breasts up and down~❤ If you time your thrusts just right; it'll feel even better; don't you think?❤
あ、ああ❤おっぱい❤おっぱいぃ❤,Ah; aah...❤ Boobs...❤ Boooobs...❤
ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振りなさい❤\nどうせすぐでしょう？,Come on~❤ Slap; slap~❤ Slap; slap~❤ Keep thrusting your hips until you ejaculate~❤ You're almost there anyway; aren't you?
あは、おちんちんびくびくしてる❤\n本当に早かったわね❤それじゃあ、トドメよ❤,Aha; your penis is twitching~❤ That was quick; wasn't it?❤ Now then; it's time to finish you off!❤
両手でつよ～く乳圧をかけてあげる❤\nおっぱいでチンポ潰してあげるからイキなさい❤\nはい、むぎゅ～❤,I'll use both hands to press my breasts tight.❤ I'll help you ejaculate by crushing your dick between them.❤ Here; squeeeeze~❤
おっ、おっぱ、いぃ……❤,B... Boobs... Ah; so good...❤
凄い勢い❤谷間から噴き出しちゃってる❤\n大好きなおっぱいで挟まれたからかしら❤,What force!❤ Semen is practically bursting out from my cleavage.❤ Perhaps it's because you were squeezed between the breasts you love so much~❤
大切な試合なのにおっぱいで魅了されるなんて❤\n昇格よりおっぱいのが大切なのかしら❤くすくす❤,This is such an important match; and yet you became distracted by my breasts.❤ Were these breasts more important than ranking up?❤ *Giggle*❤
ねぇ、お仲間さんたちもどうかしら❤魅了パイズリ❤\nと～っても、気持ちいいわよ？くすくす❤,Well boys; how about the rest of you?❤ My mesmerizing paizuri...❤ Wouldn't you also like to experience how amazing it is? *Giggle*❤
（ま、また追い詰められてしまったわ・・・\nこなったらもう一回・・・！ ）,(I... I've been cornered yet again... I shall attempt it one more time!)
お願い・・・❤\nもう、攻撃しないで・・・❤\n今度こそ降参するから・・・❤,Please...❤ Cease your assault...❤ I surrender. Honest...❤
さっきのは出来心だったの・・・❤\n反省してるわ・・・❤本当よ・・・❤\n挽回、させて欲しいの・・・❤\n,Earlier; I was simply swept up in the moment...❤ I'm truly sorry...❤ Truly...❤ I wish to atone for it...❤
（声に魅了を籠めて、\nおっぱいの前で両手を組んで、\n谷間を見せつけながら懇願❤）,(Just enchant my voice; clasp my hands in front of my breasts; and show my chest off as I plead...❤)
それじゃあ、おっぱいで挟むわね・・・❤,So; shall I squeeze you between my breasts as well...?❤
そう、良かったわ・・・❤\nたっぷりおっぱいを楽しんで・・・❤,Yes; that's good...❤ Indulge in these breasts to your heart's content...❤
（は～い戦意消失❤\nやっぱり男っておっぱいに弱すぎ・・・❤）,(And with this; his will to fight has gone~❤ Men are so weak against breasts...❤)
くすくす❤もうおっぱいで頭がいっぱい❤\nね～え❤気が付いてる？\nさっきのお仲間と同じ目にあってるってこと❤,*Giggle*❤ All you can think about is my breasts now.❤ Hey~❤ Have you realized it yet? You're in the same position as your friend was before~❤
さっきはあと少しでわたしを倒せたのに、\nあなたもいつのまにか弱点のチンポ、ズリズリされてるわよ❤,You were so close to defeating me. But now your dick-your most vital point-is getting massaged instead.❤
あ、ああぁぁっ❤そ、そんなぁ・・・❤,Aah; aaah...❤ No... No way...❤
ほらぁ❤ぱん、ぱん❤ぱん、ぱん❤\n射精するまで頑張って腰を振って❤\n情けない声を出しなさい❤,Come on~❤ Slap; slap~❤ Slap; slap~❤ Keep thrusting your hips until you ejaculate.❤ Your pitiful moans are music to my ears~❤
揃いも揃っておっぱいにメロメロ❤\nさあ、次にパイズリされたい人は誰かしら❤\nた～っぷり魅了パイズリを味合わせてあげる❤,Everyone is so infatuated with breasts.❤ Now; who would like a paizuri next?❤ I will show you the most amazing paizuri you've ever felt~❤
大切な試合なのにオナニーで負け❤\nわたしのおっぱい、そんなにエッチだったしから❤\nくすくす❤,This is such an important match; yet you lost by masturbating.❤ My breasts were simply too tempting~❤ *Giggle*❤
わたしのパイズリ、最高だったでしょう❤\n返事はしなくてもわかるわよ❤\nくすくす❤,My paizuri must have been truly amazing.❤ No need to answer; it's more than obvious!❤ *Giggle*❤
あん❤ぱふぱふだけでお漏らししちゃうなんて❤\n堪え性がないのね❤くすくす❤,Ahn~❤ To think you'd start leaking just from a little Puff-Puff. You have no self-control at all; do you? *Giggle*❤
おっぱい見るだけでお漏らしするなんて本当にＣランクマスターなの？\nくすくす❤,You started leaking from just looking at some breasts. Are you truly a C-rank master? *Giggle*❤
決着ー！！勝者はメロディ選手！,Game; set; and match!! Melody is the winner!
あの無敗のルーキーがついに敗れました！Ｂランクの壁は高かったー！,The Undefeated Rookie has finally fallen! It seems the difference in skill between C- and B-ranks is simply too great!
わたしの勝ちですね❤\n対戦ありがとうございました❤,I've won!❤ Thanks for the match~❤
きゃ～❤　メロディせんぱ～い❤　大勝利～❤　いぇ～い❤,Kyaa~❤ Melody-senpai~❤ What a stellar victory~❤ Yay~❤
ううっ・・・❤力が入らない・・・❤,Ngh...❤ I can't move at all...❤
ふふふ❤人魚に惑わされて、気持ちよかったでしょう？\n人魚は男を歌と美貌で惑わして、海に引きずりこむの。,Fufufu~❤ Did it feel good; getting seduced by my mermaid? Mermaids seduce men with their singing voices and beauty; before pulling them down to the depths of sea.
あなたのことも快楽の海に引きずり込んであげる❤,And now; I shall pull you down into a sea of pleasure~❤
（ら～❤ら～❤）,(La~❤ So~❤)
（うあ・・・❤きれいな声・・・❤ああ・・・❤）,(Ooh...❤ What a beautiful voice...❤ Aah...❤)
（師匠たちも見ているから、我慢しなきゃだめなのにっ・・・❤❤\n足が勝手に・・・❤）,(My master and everyone else is watching. I have to resist...❤❤ But my legs are moving on their own...❤)
おおっと、どうしたことだ。試合が終わったにも関わらず、\nルーキーがふらふらとモンスターの方へと歩いていく！,Oh my; what's this? The match is already over; but the rookie is staggering towards the monster!
人魚のモンスターは何もしていないように見えますが・・・。\nもしや無敗のルーキーはさきほどの快感が忘れられず、\n自ら再び味わおうとしているのでしょうか！,It doesn't seem like the mermaid is doing anything... Could it be that the Undefeated Rookie simply can't forget the pleasure he'd felt earlier; and wants to experience it again!?
（なにもしてない・・・？こんなにきれいな歌を歌っているのに・・・❤\nうああ・・・❤）,(She hasn't done anything...? But she's singing such a beautiful song...❤ Oooh...❤)
くすくす❤実況さんの説明が不思議ですか？\n{自分}は声の指向性をすごく絞ることができるんです❤,*Giggle*❤ Are you confused by the announcer's commentary? {自分} is able to aim the trajectory of her voice with pinpoint accuracy.❤
分かりやすく言うと、\nあなたの耳だけに聞こえるように、狭い範囲で音を飛ばせるんです❤\nおもしろいですよね❤,In other words; she's projecting her voice in a narrow range so only you can hear her singing.❤ Amazing; isn't it?❤
だから、いま観客のみなさんには、\nあなたが勝手にふらふらと近づいているように見えますよ❤\n昇格戦なのに、負けたあともだらしなく快楽をむさぼっているように❤,Right now; it looks to the audience as if you're just wandering over on your own.❤ To them; you're self-indulgently engaging in pleasure despite having just lost such an important match.❤
恥ずかしいですよね❤\n恥ずかしい思いをしたくないなら、ほら、頑張って足を止めてください❤\n耳をふさげば少しはましになると思いますよ？くすくす❤,Doesn't that sound oh-so-shameful?❤ If you don't want to humiliate yourself; then do your best to stop moving.❤ Maybe it will be easier if you cover your ears? *Giggle*❤
あん、そんなのいやよね❤\nわたしの歌声が耳たぶを甘くくすぐっているのに、\n耳をふさいでしまうなんて、そんなことしたくないでしょう？,Ahn; but you wouldn't like that; would you?❤ My melodic voice is tickling your ears so sweetly. Do you really want to block it out?
いいのよ、そのままこっちに来れば❤\nわたしの胸であなたのことを気持ちよくしてあげる❤\n谷間で挟んで、天国を見せてあげる❤,Stop worrying about such unnecessary things and just come over here.❤ My breasts will make you feel so good~❤ I'll hold your dick between them and let you taste heaven.❤
うふふ❤おっぱいでしてもらえるって思ったら、\n足が少し早くなったわね❤\nさあ、とどめよ❤,Ufufu~❤ Just the thought of being massaged by my breasts made you walk faster; didn't it?❤ Now; let's finish you off!❤
（ら～❤ら～❤ほら、耳元に歌を届けてあげる❤\n～♪来て、来て、来て❤\nわたしの胸に❤愛されに来て❤）,(La~❤ So~❤ Here; I'll sing this song right into your ears~♪ Come closer... Closer... Closer...❤ Come into my embrace.❤ Come receive all my love~❤)
うあっ・・・❤❤あああっ❤❤,Uwa...❤❤ Aaaah...❤❤
観客席には、師匠も受付さんも来ている。試合に負けただけでも恥ずかしいのだ。ましてそのあと敵に快楽をねだるだなんて、そんなこと・・・。,My master and the receptionist are both in the audience. Losing the match was shameful enough. To beg for pleasure from my opponent afterwards...
頭の奥ではこれ以上{自分}に近づくべきではないと分かっている。しかし、透き通るようなきれいな歌声が頭をとろんと蕩けさせてしまう。もっとこの声が聞きたい、あの体に触れたいという感情がマグマのように湧いて、足がまた一歩前に進んでしまう。,Deep down; I know I shouldn't approach her. But her clear; beautiful voice makes my head feel fuzzy. This desire to hear more of her voice; to feel her body; gushes forth like a geyser within me as I take another step forward.
（くす❤チョロくて助かっちゃいます❤\nそれじゃわたしは司会者さんの方へ行って、と♪）,(*Giggle*❤ He's so easy to seduce.❤ Well then; I'll have a word with the announcer~♪)
あー、ほんとうはすぐに試合を終えようと思っていたんですけれど、\n無敗のルーキーが自分から魔力を捧げたがってるなら仕方ないですねー。,Oh dear; I had wished to end the match quickly; but if the Undefeated Rookie wishes to offer up his magic power; then I suppose it can't be helped; can it?
敗者をなぶりものにするのは趣味ではないのですが、\n相手自らの要望ですので。くす、くすくすくす❤\n仕方がないので、彼のしたいようにさせようかと思います❤,I take no delight in bullying the weak; but it's his own request... Fufu. Ahaha~!*❤ I have no choice but to assist him with his desires~❤
さすがはメロディ選手、心の広い提案ですね！\nそれに比べて{主人公}選手、昇格試合もどこへやら、\nあさましく自らの欲望をかなえようとしています！,What a benevolent soul! I'd expect nothing less of Melody! A far cry from {主人公}; who's completely disregarded this promotion match. He'd rather shamelessly satisfy his libido!
ファンのみなさんもこれはちょっとがっかりな光景かもしれません。\nおっと、ついに{主人公}選手が、{自分}の元にたどり着きました！,I'm sure this is a massive betrayal to his fans. Oh; it seems {主人公} has finally reached {自分}!
うふふ❤いろいろ言われてるのに、足を止められなかったわね❤\nいいのよ、すぐに周りの声なんて聞こえなくなるんだから❤,Ufufu~❤ Even as the people were saying such terrible things about you; you couldn't stop approaching me; could you?❤ It's okay. Soon; all those voices around us will simply fade away~❤
