default
マッサージ少女,Massage Girl
人目がある場所で女の子に抱き着かれて、僕は顔を真っ赤にしてしまう。そしてそのまま裏路地の中にある一軒のお店に連れ込まれてしまった。,I couldn't help blushing when the girl gave me a hug in a public space. Then; she dragged me inside one of the houses along the side street.
それじゃそこのベッドに横になってね。\nそうそう❤だらーんって力を抜いていいからね。,Please lie down on the bed there. Yes.❤ Please go ahead and relax.
あは、緊張して体が固くなってる❤\nこういうお店は初めてなのかな？うふふ❤,Ehehe~❤ Your body is stiff from nervousness.❤ Could this be your first time in this kind of shop?
あっ、うっ、気持ちいい・・・❤,Ah... Uuh... It feels good...❤
ふつうのマッサージも上手でしょ？\nで、も❤キミ的には他のマッサージもしてほしいんじゃないかな❤,I'm skilled in this kind of normal massage too. However...❤ That's not what you're here for; right?❤
ほら、鼠径部をさわさわさわ♪\nくすくす❤腰をびくびく反応させちゃってるね❤,Let's try a massage here on the pelvic area♪ Ehehe~❤ Your hips are starting to fidget~❤
ほんとはね、このお店ではエッチなことはしちゃいけないの。\nそこに貼り紙があるでしょ？\n「性的なことは禁止、破ったら罰金1000G」って,You know; sexual acts are actually prohibited in this shop. Can you see what the poster there says? "Sexual acts banned! Breaking this rule induces a 1000G fee!"
でもわたしとしては、\nキミにはちゃんと気持ちよくなってもらいたいし、\nどうしてもって頼まれたら、あの張り紙の決まりも破っちゃうかも❤,However; I want to make you feel good. So if you really insisted on it; I could break the rule for you❤
この固ーくなっちゃったアソコ、\n優しくマッサージしてあげてぇ❤\nやわらかくなるまで気持ちよくしてあげちゃうの❤,I could massage this really stiff spot right here❤ And keep kneading it until it goes soft~❤
ううっ、それは・・・❤,Uuuh... That's...❤
くす❤悩まなくてもいいよ❤\n都会に出てきた記念だと思って、今日は気持ちよくなっちゃお？,Ehehe~❤ You shouldn't worry about it so much~❤ You can think of it as a memory you made in the city; so why don't you just enjoy it?
わたしにマッサージされて、\nカチカチのアソコがふにゃふにゃになるまで気持ちよくなって、\n絶対忘れられない思い出になるよ❤,I'm sure that if you requested me to massage your bulging crotch; it would feel so good that you would never forget it~❤
ね、いいでしょ❤ほらぁ❤\nアソコのすぐそばのところを、ゆーっくり、さわ、さわ、さわ♪,So; all you need to do is ask~❤ Let me give you a little taste of it by massaging the base of your bulge~❤ Rub; rub♪
あうっ、あううっ❤,Ah... Aaaah...❤
うう、おねがい・・・❤もう我慢できない・・・❤\n直接さわって・・・❤ああっ・・・❤,Uuuh... Please...❤ I can't take it anymore...❤ Please touch it...❤ Aaaah...❤
はーい❤ありがと～❤\nうれしいからハグしちゃう❤ぎゅー❤,Yes!❤ Thank you for your request~❤ You're making me so happy that I want to give you another hug~❤ Squeeze~❤
うふふ❤抱き着かれたらびっくりしちゃう？\nキミのおちんちん、わたしのふとももに挟まれちゃったね❤,Ehehe~❤ Did it surprise you to get suddenly hugged? Your penis also got nicely tucked between my thighs~❤
手をつかってマッサージしてあげてもいいけど、\nこのままふとももに挟んで気持ちよくしてあげてもいいよ？\nどっちがいい？,I could massage you with my hands; but doing it with my thighs like this is also an option. Which way would you like it?
手で気持ちよくなりたい,Make me feel good with your hands
ふとももで気持ちよくなりたい,Make me feel good with your thighs
あは❤やっぱり手がいいの？\nさっきからずーっと触られてて、\n期待してたもんね❤,Ehehe~❤ It's my hands; after all. The way I kept touching you with them must have got you looking forward to doing it this way~❤
いいよ❤とってもうぶなキミのこと、\nたくさん気持ちよくしてあげる❤,Then; let's get started~❤ I'll make you; you naive little boy; feel really good~❤
ほらふとももの付け根からゆっくり手を上げて・・・❤\n今度はちゃんと触ってもらえるね❤ぎゅ❤\nしこしこしこ❤,I'll grab the base of your penis.... And start moving my hand along it~❤ You're finally getting me to touch it~❤ Stroke; stroke~❤
うあっ❤あひぃっ❤きもちいいっ❤,Aah...❤ Aaaah...❤ It feels so good...❤
くすくす❤軽く手を動かしただけなのに、\nそんな夢心地みたいな顔しちゃって、\n童貞丸出しでかわいい❤,Ehehe~❤ I just moved my hand a little; and you're already making such a blissful face~❤ It's so cute how obvious it is that you're a virgin~❤
わたしのマッサージ上手でしょ？\n手を上下にしこしこするだけじゃなくて、\n玉も揉んであげるね❤,My massage feels really good; right? But I won't only do your penis; I'll fondle your balls; too~❤
かわいい顔してるくせに、ずっしり貯まってて、\nここはしっかり男の子って感じだね❤\nもみもみ❤もみもみ❤揉まれたら腰が浮いてきちゃうでしょ？,Despite making that cute face; I can feel how manly you are with how heavy and backed up you are down here~❤ Fondle; fondle~❤ All the fondling is making your hips shoot up~❤
ああっ❤だめ、こんなの❤もうっ❤,Aaah!❤ Wait; I can't...❤
出しちゃっていいよ❤\n１回1000Gの射精、しちゃお？\nしこしこしこ❤もみもみもみ♪,Please go ahead and cum~❤ It's just a 1000G fine~❤ Stroke; stroke~❤ Fondle; fondle~❤
あっ、あうう、きもちいいっ・・・❤,Ah...❤ Aaah!❤ It feels so good...❤
くす❤一回出したのにまだまだ固い❤\nこの調子でたくさん罰金払ってほしいなー❤\nほらほら、やわらかくなるまでやってあげるからね❤,Ehehe~❤ You blew your load; but your penis is still going strong~❤ I want you to keep it that way and take on the rule-breaking fine many more times~❤ As I said before; I won't stop until you go soft~❤
（あうぅぅ・・・❤すごい・・・❤これが都会のお店・・・❤）,(Aaah...❤ It feels amazing...❤ This is what they have to offer at the shops in the cities?...❤)
あは、たっぷり出してくれて、わたしうれしい❤\nそれじゃ怖いお兄さんが入ってくる前に罰金払っちゃおっか❤,Ehehe~❤ I'm happy that you blew your load so many times❤ Then; I'll pocket how much you owe me in the fines before the scary guy comes~❤
僕は有り金をすべてむしり取られてしまった,The girl took all the money you had on hand.
あは❤このままふとももでいじめてほしいんだ❤,Ehehe~❤ So you want me to continue with my thighs?❤
まだ全然経験なさそうなのに、\nこんな恋人みたいなやり方で気持ちよくされちゃったら、\nきっとよくない性癖になっちゃうと思うなー❤,Since you don't seem to have any sexual experience; I'm sure that doing it like this like a pair of lovers will become quite a deep-rooted fetish for you❤
ていっても、お金がほしいからこのまましちゃうんだけど❤\nほら、とってもウブなキミのこと、\nたくさん気持ちよくしてあげる❤,But even if that's the case; I won't stop since I'm in need of money.❤ Here we go~❤ I'll make you; you naive little boy; feel really good~❤
うあっ❤ぎゅって挟まれてっ❤\nあっ、ああっ、そんなに動かされたらっ❤,Uuugh...❤ You're squeezing so tightly...❤ Ah...❤ Aaah!❤ Wait; if you move now...❤
くすくす❤焦らしてたからなんだか敏感だね❤\nふとももに挟んでちょっとパンパンってしてあげただけで、\nそんなに喘いじゃって❤,Ehehe~❤ It looks like all the teasing made you really sensitive~❤ All I needed to do was squeeze my thighs and move a little; and you're already moaning~❤
切なそうな顔が童貞丸出しって感じでかわいいなー❤\nでも、そんな顔してもキスとかはしてあげないよ❤\nあくまでふとももでマッサージしてあげるだけ❤,The pained look on your face makes it obvious that you're a virgin; and it's so cute~❤ But I won't kiss; you even if you make such an adorable face~❤ I'll only massage you using my thighs~❤
ちゃんとした恋人がほしいなら、\nわたしみたいな子にお金を払ってないで、真面目に生きないと❤\nほらほら❤脚をすりすり動かして気持ちよくしてあげる❤,If you're looking for a lover; you should live like a proper man and not pay money for the services of girls like me.❤ Here you go~❤ I'll stroke your penis with my thighs and make you feel good❤
出しちゃっていいよ❤\n１回1000Gの射精、しちゃお？\n恋人みたいにハグされながら、気持ちよく出しちゃお❤,You can go ahead and cum~❤ Each shot will simply impose a 1000G fine on you.❤ Indulge in the pleasure and blow your load while I'm holding you in a tight lover's embrace~❤
ほら、ふとももですりすりすり❤\nおちんちんもみほぐされてイっちゃおうね❤,Take this~❤ Enjoy my thighs strokes~❤ And cum as I massage your penis~❤
あっ、あうう、はへぇっ・・・❤,Ah... Aaah...❤
くす❤腰がびくびくって震えてる❤\nまるで中に出したあとにもっと奥に注ぎこもうとしてるみたい❤\n童貞のおちんちん、ふとももをおまんこだと勘違いしちゃったのかな？,Ehehe~❤ Your hips are shaking and thrusting forward~❤ It's as if you're trying to pour more of your semen inside a girl after cumming inside her.❤ Are you mistaking my thighs for a pussy or something?
一回出したけど、まだまだ固いし、\nやわらかくなるまで何回も気持ちよくしてあげる❤\nたくさん罰金をちょうだい？,You blew your load once; but your dick is still hard; so I'll keep pleasuring it until you go soft~❤ I'll do it as many times as it takes; so keep bringing up the fine you need to pay me~❤
ほら、わたしのふとももでもっともっと出していいよ❤\nくすくす❤,C'mon~❤ Go ahead and blow your load in my thighs many; many more times~❤ Ehehehe~❤
（あうぅぅ・・・❤すごい・・・❤これが都会のお店・・・❤\nあへぇ・・・❤）,(Aaah...❤ It's amazing...❤ This is what they have to offer at the shops in the cities?...❤)
あは、たっぷり出してくれてわたしうれしい❤\nそれじゃ怖いお兄さんが入ってくる前に罰金払っちゃおっか❤,Ehehe❤ I'm happy that you blew your load so many times~❤ Then; I'll pocket how much you owe me in the fines before the scary guy comes.❤
