default
カーバンクル,Carbuncle
そうだよねー、もうすっかりメロメロだもんねぇ❤\nhほらぁ、谷間に入れちゃっていいよ。チンポじゃなくて指だもん。\n大丈夫、大丈夫❤やわらかぁいおっぱいで、もみくちゃにされちゃお？,That proves it; you're already completely head-over-heels for me; aren't you?❤ Here; go ahead and put your finger in my cleavage. It's just your finger; after all. It's not like it's your penis. So it's okay; okay?❤ Just let my big; soft breasts squeeze your finger all around.
くすくす❤魅了されてもう立ていられないの？\n口を半開きにして、あへぇってよだれを垂らして・・・❤\nすごくとろとろなお顔だね❤,*Giggle*❤ You're so under my spell you can't even stand; can you? Your mouth's hanging half-open; drooling all slack-jawed...❤ Your expressions already melted so much~❤
おちんちんはとっても大きくなって、\n早く触ってほしそうにふるえてる。\nほら、あなたを見下ろしながら足でしてあげるね❤,Your dick's gotten so big too; and it's trembling like it wants to be touched. Here; I'll rub it with my feet while looking down at you; okay?❤
わたしの足ってふわふわしてるんだけど、\n今はブーツだからそんなに優しい刺激じゃないよ❤\nえい、ぐりぐりぐり♪,My feet would usually feel soft and fluffy; but I'm wearing boots right now; so it won't be so gentle!❤ Here I go; grind grind grind~♪
くすくす❤これだけ激しくされてもあへぇって喜んじゃってる❤\nキレイなわたしに踏んでもらえてうれしいんだねー❤\nかわいい❤,*Giggle*❤ You're being treated this roughly; and still letting out those cute little sounds!❤ You're just so happy to be stepped on by beautiful little me; aren't you?❤ How cute~❤
わたしのふわふわおっぱいで挟んであげる❤\nすごく柔らかくて、チンポをむにゅうって包み込んでくるから、\nきっとあなたもすぐに夢中になっちゃうよ❤,I'll sandwich your cock between my big; fluffy breasts~❤ They're really soft; and they wrap around it with such a nice; soft squish. I'm sure you'll end up obsessed in no time!❤
ほらぁ、とろけるみたいにやわらかいでしょ❤\nおちんちん気持ちいいねー❤とけちゃうねー❤\nくすくす❤,See? They're so soft and squishy~❤ Your penis feels so good; right?❤ Almost like it's melting?❤ *Giggle*❤
わたしのおっぱい、服がぱつぱつになっていてセクシーでしょ❤\n服が小さいからこんな風にみちみちしてるけど、\n中のおっぱいはとっても柔らかいんだよ❤,My breasts make my clothes look so tight and sexy; don't they?❤ My clothes are small so; my boobs look super firm stuffed in like this; but they're actually really soft!❤
あなたのチンポで、どれだけ柔らかいか体験させてあげようか❤\nほら、服の下から入れてあげる❤,Do you want me to let your penis feel just how soft they are?❤ Here; I'll slip it in under my clothes~❤
どう？あったかくてふわふわでしょ❤\nくすくす❤口からよだれを垂らしてる❤\n気持ちよすぎて顔に力が入らないんだよね❤だらしないなー❤,How's it feel? Warm and fluffy; right?❤ *Giggle*❤ You're totally drooling!❤ It feels so good your face can't help but relax; can it?❤ How sloppy~❤
おっぱいゆさゆさ～♪\n見てー？体をひねれば、こんなに揺れるんだよー❤\nエッチだよねー❤ほらほら～❤,I'll give my boobs a bouncy bounce~♪ Do you see? If I twist my body like this; my chest jiggles so much!❤ It's really lewd; isn't it?❤ Here; look~❤
くすくす❤おっぱいに見とれて、ハァハァしちゃってる❤\n敵の前で頭からっぽになっちゃっていけないんだ～❤\nほら、正気に戻れるように、体をひねっておっぱいビンタしてあげる❤,*Giggle*❤ You're so entranced by my boobs you're panting!❤ You really shouldn't let your head get so empty in front of an enemy~❤ Here; I'll bring you back to your senses. I'll twist my body and give you a slap with my breasts~❤
そう、顔をぷにゅん❤っておっぱいでビンタするの❤\n正気に戻れるかな？それとももっとメロメロになっちゃうかな？\nいっくよー、えい❤,That's right; I'll slap your face with my squishy chest.❤ Will it clear your head? Or will you become even more lovey-dovey? Here I go; hyah~❤
え？そんなの気にならないって？\n嘘ばっかりー❤必死に目をそらそうとしてるけど、\nチラチラ見ちゃってるの、丸わかりだよ？くすくす❤,Eh? You say that doesn't bother you? You're such a liar!❤ You're desperately trying to look away; but I know you keep stealing glances! *Giggle*❤
ほらぁ、顔の近くでたくさん揺らしてあげる。\nおっぱいの揺れに夢中になって、\n頭完全におばかになっちゃおうねぇ❤,Here; I'll bring them close to your face and shake them a bunch. Get obsessed with my bouncing boobies; and let your head go completely empty~❤
ほらぁ、谷間に入れちゃっていいよ。\nチンポじゃなくて指だもん。大丈夫、大丈夫❤\nやわらかぁいおっぱいで、もみくちゃにされちゃお？,Go on; go ahead and just slide your finger into my cleavage. It's just your finger. It's not like it's your penis. So it should be okay; right?❤ Why not just let my soft breasts jiggle around it?
わたしの脚はうさぎの脚♪\n瞬発力は人間なんかとは比べものにならないよ。\nえいやっ❤突撃♪,My legs are rabbit legs; you know~♪ Humans like you are no match for their explosive power! Hiyah!❤ Charge~♪
くす❤突き飛ばされて寝転がされちゃったね。\n無防備になった股間をブーツでぐりぐり～♪\nきゃはは、ジタバタもだえちゃっておもしろーい❤,*Giggle*❤ You got knocked flat on your back. In that case; I'll grind your now-defenseless crotch with my boots~♪ Kyahaha; you're writhing and struggling so much! Too funny~❤
ん？わたしにチンポ気持ちよくしてほしいの？\n我慢できずに敵に頼んじゃうなんて、\n情けないんだね❤くすくす❤,Hmm? You want me to make your penis feel good? It's pretty pathetic begging an enemy just 'cause you can't hold back; don't you think?❤ *Giggle*❤
宝石の魅力にとりつかれて、\nわたしにエッチなことされたいってこと以外考えられなくなっちゃった？\nほら、何をしてほしいか、教えて？してあげるよ❤,Are you so enchanted by the glow of my gem you can't think of anything but wanting me to do lewd things to you? In that case; why don't you go on and tell me what you want me to do to you? I'll do anything~❤
そんなにおちんちん我慢できなかった？\nほら、何をしてほしいか、教えて♪\nしてあげるよ❤,Couldn't you get your cock under control; even just a little? In that case; go on and tell me what you want me to do to you~♪ I'll do anything!❤
カーバンクルのパイズリ,Carbuncle's Titjob
カーバンクルの乳惑,Carbuncle's Breast Temptation
カーバンクルの踏みつけ,Carbuncle's Trampling
なんでも,You decide
ふーん、このおっぱいで挟んでほしいんだ❤\nあなたのチンポ、やわらかおっぱいでもみくちゃにしてあげるね❤,Hmm; so you want to be sandwiched by my boobs.❤ In that case; I'd be happy to squeeze your penis between my super soft breasts~❤
ふーん、おっぱいを使って誘惑してほしいの？\nチンポを直接いじめてもらうんじゃなくて、そんなおねだりするなんて\nあなた変わってるね❤くすくす❤,Hmm; you want me to seduce you with my breasts? That's a pretty weird request; asking to get teased instead of getting your penis played with~❤ *Giggle*❤
いいよ❤おっぱいゆさゆさたぷたぷ揺らして、\nたくさん挑発してあげる❤,Okay!❤ I'll bounce and jiggle my breasts lots; and tease you plenty~❤
ふーん、わたしの足で踏んでほしいんだ❤\nおっぱい大きいのに、わざわざ足を選ぶだなんて\nヘンタイなんだね❤,Hmm; so you want to be stepped on by my feet.❤ Even though my boobs are so big and soft; you specifically chose that instead. You're such a pervert!❤
んふふ❤熱いのがたくさん出てる❤\n服を突き抜けて、どぷ、どぴゅどぴゅってたくさん・・・♪,Nfufu~❤ So much hot stuff is coming out!❤ You're spurting so much it's leaking through my clothes...♪
エナジーたっぷりもらったから、わたしの体力回復しちゃうね❤\n仲間を裏切っておねだりして、\nおっぱいずりずりしてもらえて満足した？くすくす❤,I got lots of energy out of you; so my stamina's fully recovered.❤ You betrayed your allies to beg me for this; so I hope you were super satisfied getting your dick rubbed by my chest. *Giggle*❤
くすくす❤チンポには直接触ってないのに、\nどぴゅどぴゅーって射精しちゃった❤\n谷間まで飛ばすなんて、よっぽどおっぱいに興奮しちゃったんだね❤,*Giggle*❤ I never even touched your penis; and you still ended up just spurting away~❤ You even managed to shoot it all the way to my cleavage. My boobs must've made you really excited!❤
エナジーたっぷりもらったから、わたしの体力も回復♪\n仲間を裏切っておねだりして、\nおっぱいゆさゆさしてもらえて満足した？おっぱいフェチさん❤,I got lots of energy out of you; so my stamina's recovered; too~♪ You betrayed your allies to beg me for this; so I hope you were super satisfied with me bouncing my chest for you. You booby-lover!❤
くすくす❤チンポぐりぐりってされて、\n痙攣しながら射精しちゃった❤\nわたしのブーツで踏んでもらえて、すごく気持ちよかったみたい❤,*Giggle*❤ You came and spasmed so much just getting your penis ground and twisted!❤ You seemed to really enjoy having your cock stepped on by my boots~❤
エナジーたっぷりもらったから、わたしの体力も回復だよ♪\n仲間を裏切っておねだりして、\nたくさん踏んでもらえてよかったねー❤マゾの足フェチさん❤,I got lots of energy out of you; so my stamina's recovered; too~♪ You betrayed your allies to beg me for this; so I hope you enjoyed having your cock rubbed under my foot over and over.❤ You foot-fetish masochist~❤
あううっ・・・❤すき・・・❤もっとぉ・・❤,Ahh...❤ So good...❤ More...❤
くすくす❤わたしの方にふらふらーっと吸い寄せられて、\nぺたんって座り込んじゃった❤\nそのうえ自分でおちんちん触ってシコシコしちゃってる❤,*Giggle*❤ You let yourself get lured over here; walking so shakily; before sitting down with a nice plop!❤ On top of that; you're touching your own penis; stroking it so much~❤
宝石の力で魅了されて、\nもう戦いのことなんて考えられないの？\n頭の中ふわふわして、女の子のキレイさでいっぱいになって…❤,Aw; so charmed by my gem's beauty you can't even think about the battle anymore? Your head is all fuzzy; filled with nothing but my beauty...❤
わたしの体を見ていると、それだけで頭の中幸せになっちゃうね❤\nしこ・・・❤しこ・・・❤しこ・・・❤ってゆっくり扱いてるのに、\nおちんちんすごく気持ちよくなっちゃう❤,Just looking at my body fills your head with so much happiness; huh?❤ You're slowly stroking and stroking...❤ Stroke...❤ Stroke...❤ I bet your penis feels incredible~❤
もう試合はおしまいにする？\n頑張って掛けられた術を振り払えば、頭の中少しはすっきりするかもよ？\n頑張って抵抗しなくていいの？,Are you really ready to end the match like this? If you try hard enough to shake off the spell I cast; your head might just clear up a bit! Aren't you going to even try and resist?
ほら、おちんちんシコシコ止められないと、\nどんどん魅了が深くなっちゃう❤\n頭の中真っ白になって、気持ちいいのが体中にあふれてきちゃう❤,You know; if you can't stop stroking your cock; my charm will only get deeper and deeper.❤ Your mind will go completely blank; and pleasure will wash over your entire body~❤
ううぅっ、あうう・・・❤❤,Uuugh; ahhh...❤❤
くすくす❤ぬちゅぬちゅってエッチな音がしてる❤\nちょっとしごいただけで、我慢汁が止まらなくなっちゃうね❤\nすべりがよくなって余計にシコシコ気持ちいい❤,*Giggle*❤ Your penis is making such lewd; wet noises~❤ Just a little stroking and your pre-cum can't stop flowing; can it?❤ Now that it's all slippery; I bet stroking it feels even better!❤
顔もとろとろ❤口が半開きになって、\nあへぇって声が漏れて、何も考えられない間抜けなお顔になってるよ❤\nまじめに戦えば少しはわたしにダメージ与えられるのに・・・❤,Your face looks so dazed!❤ Your mouth is hanging open; letting out those little moaning sounds; making you look like such a mindless mess~❤ If you fought seriously; you could've probably hurt me. At least a little...❤
おちんちんシコシコ❤おちんちんシコシコ❤\nそれ以外考えられない❤\nどんどん、どんどん、頭の中がからっぽになってくる❤,Instead you're just stroking your penis.❤ Just stroking and stroking~❤ You can't think of anything else anymore.❤ And with every stroke; your head just gets emptier and emptier~❤
ほら、この額を見て❤\nここにある宝石。このきれいな宝石から、\nあなたを気持ちよくする光を出してあげる❤,Hey; look at my forehead.❤ Right at my jewel. I'll emit a pleasant light from this beautiful gem and make you feel really good~❤
これを浴びたらあなたは今よりさらに幸せになれちゃうの❤\nきれいな宝石の光で幸せになって❤,If you bathe in this light; you'll become even happier than you are now!❤ Let the light of my beautiful jewel fill you with joy~❤
はひぃ・・・❤あっ、ああっ❤❤すき、すきぃ・・・❤❤,Hahhh...❤ Ah; aahh.❤❤ I love it; I love it...❤❤
くすくす❤ほら、手を止めないで、全部出して❤\nそうそう、しこしこ、びゅっ・・・・❤びゅっ・・・❤\nふふ、残ってる分も全部出せたね❤,*Giggle*❤ That's it; don't stop moving your hand. Just let it all out~❤ That's right; stroke stroke; shoot...❤ Shoot...❤ Fufu; you managed to get every last drop out; didn't you?❤
勝負の途中に敵にエナジーをあげて回復させちゃうなんて、\n仲間からしたら最悪だと思うけど、\nでも、こんなに幸せになれちゃうんだもん、我慢なんてむりだよね❤,Giving energy to your enemy and letting her recover in the middle of a match... Your allies probably think you're just the worst; but when it can make you this happy; there's no way you could resist; right?❤
それじゃ、おやすみー❤\nエナジー空っぽになって、そのまま気絶しちゃって\n幸せな夢でも見れるといいね。くすくす❤,Well then; good night~❤ Your energy is completely empty; so just pass out like that and have sweet dreams; okay? *Giggle*❤
ううっ・・・❤だめなのにっ・・・❤,Uugh...❤ This is wrong but...❤
どうしたの？わたしの方にテクテクやってきて…。\nあっ、オナニーしたいんだ❤くすくす❤\n自分のおちんちんをシコシコ触っちゃってるね❤,What's wrong? You're just stumbling towards me... Oh; looks like you want to masturbate!❤ *Giggle*❤ You're already touching yourself; huh?❤
今日はBランクに上がっての初試合なのに、\nオナニーなんかでふいにしちゃっていいのかな？\nお客さんもたくさんいるんだから、そんな負け方したら恥ずかしいよ？,Today's your first match since making it to B-rank; you know. Are you really okay with throwing it away just to masturbate? There are so many spectators watching; won't you be embarrassed losing like this?
今日はBランクに上がっての初試合なのに、\nオナニーなんかでふいにしちゃっていいのかな？\n信頼してあなたを召喚したのに、裏切るなんてマスターがかわいそう❤,Today's your master's first match since making it to B-rank; you know. Are you really okay with throwing it away just to masturbate? He trusted you enough to summon you; after all. Betraying him like this is just sad~❤
ほら、正気を取り戻してー❤\n顔の近くでおっぱいの大きい相手モンスターに、\nおっぱいゆさゆさ～ってされても、理性を保ってがんばれー❤,Come on; snap out of it!❤ Even when a busty enemy monster sways her breasts right in front of your face; you have to stay focused and do your best~❤
おっぱいを左右に揺らしてぇ～❤\nゆさゆさ～❤たぷんたぷん～❤,Even if she's swaying her big; bouncing boobies back and forth; like this~❤ Sway sway~❤ Bounce bounce~❤
あっ、あっ、ああっ❤すごいっ・・・❤❤,Ah; ah; aahh.❤ Amazing...❤❤
くすくす❤正気を取り戻すどころか、\nおちんちんシコシコ、もっと早くなっちゃうね❤\nおっぱいに合わせて視線も左右に動いて、とっても間抜けなお顔❤,*Giggle*❤ Instead of snapping out of it; your stroking your penis even faster!❤ You're even following my breasts left and right with a silly look on your face~❤
もうおっぱい以外見えないねー❤\n今が試合中だとか、勝たないと恥ずかしいだとか、\nなんにも考えられないねー❤,You can't focus on anything but my breasts now; can you?❤❤ The fact that you're in the middle of a match; that you'll be embarrassed if you lose... none of those things matter anymore; huh?❤
ほら、今度は肘でむぎゅむぎゅして、\nおっぱいを上下に動かしてあげる❤\nエロい動きでもっと興奮しちゃっていいよ❤,Here; next I'll squeeze my boobs with my elbows and move them up and down for you~❤ Just go ahead and let my sexy moves turn you on more and more!❤
我慢汁でぬちゅぬちゅで、もうだいぶ気持ちよさそうだけど、\nおちんちん耐えられるのかなー❤\nほらぁ、肘でぎゅうって寄せ上げて、だぷん♪だぷん♪むにゅぅう❤,I can already tell you're feeling good from the squelchy sounds your precum is making. I wonder how much more of this your penis can put up with.❤ Here; I'll push them together tightly with my elbows. Bounce~♪ Bounce~♪ Squish~❤
はひぃ・・・❤だめ、こんなのむりぃ・・・❤❤,Hahhh...❤ No; I-I can't...❤❤
あへぇ・・・❤,Ahhhh...❤
あん❤どぴゅどぴゅーってたくさん出したね❤\nおっぱいめがけて勢いよく飛ばして、\n見て？こんなにどろどろになっちゃった❤,Mmm~❤ You really shot a huge; messy load; didn't you?❤ It landed all over my breasts; see? Now they're all sticky~❤
あなたが出した精液のせいで、わたしの体力は回復❤\nふふふ、勝負を捨ててシコシコするの気持ちよかった？,Thanks to the semen you released; my stamina's fully recovered!❤ Fufufu; did it feel good throwing the match away just to stroke yourself?
あなたが出した精液のせいで、わたしの体力は回復❤\nふふふ、仲間を裏切ってシコシコするの気持ちよかったねー❤,Thanks to the semen you released; my stamina's fully recovered!❤ Fufufu; betraying your allies to stroke yourself felt so good; didn't it?❤
ああん、このままじゃ負けちゃいそう。\nどうしようかなー。\nそうだ♪,Aahn; at this rate I'm gonna lose for sure. What should I do? Oh; I know!♪
ねえ、見て？わたしのこのパツパツの服❤\n今からねー、この服のボタンをはずして、\nあなたに中身のおっぱいを見せてあげる❤,Hey; look! See how my tight clothes are just straining against my chest?❤ I'm going to undo the buttons on this outfit right now... and show you what's underneath~❤
服がはち切れそうなぐらい大きなおっぱい❤\nね❤見たいでしょ？\nあは、ごくんってつばを飲んでる❤興味津々だねー❤,My tits are so big they're already so close to bursting out of my top~❤ You want to see them; don't you?❤ Aha; you totally just gulped!❤ You're obviously really into these~❤
それじゃ、いくよ❤\nじーっておっぱいだけを見ていてね❤くすくす❤,Alright then; here I go!❤ Just stare at my breasts and nothing else; okay?❤ *Giggle*❤
胸から目が離せなかった,'So big... I... I want to see...'
視線をそらして攻撃した,Look away and attack
あん！痛たた、ううっ、こんな誘惑じゃダメかぁ・・・。,Ahh! Ow ow ow! Ugh; I guess this kind of temptation won't work...
くすくす❤目をそらそうとしてるけど、\n結局視線がおっぱいに戻ってきちゃうね❤\n見たいなら見たいって素直になればいいのに❤,*Giggle*❤ You're trying to look away; but it looks like your gaze keeps coming back to my chest; no matter what you do!❤ If you want to look; you really should just be honest about it~❤
強がってても、手が止まっちゃうなら一緒だよ❤\nほら、ボタンをひとつひとつ外して・・・♪\n生おっぱい、どうぞ～❤,Even if you act tough; as long as you stop attacking; it doesn't matter in the end!❤ Look; I'm undoing each button; one by one...♪ I'll let you see my bare breasts~❤
くすくす❤おっぱいじーっと見ちゃって分かりやすい❤\nやっぱり男の子なら、おっぱい見たくて手が止まっちゃうよね❤,*Giggle*❤ You're staring so intently. Could you be any more obvious?❤ Just like a boy; can't help but stop what you're doing when you see a pair of boobs~❤
ほら、攻撃なんてするよりも、おっぱい見てる方が楽しいよ❤\nボタンをひとつひとつ外してっと♪\n生おっぱい、どうぞ～❤,Come on; watching my boobs is way more fun than attacking; isn't it?❤ Look; I'm undoing each button; one by one...♪ I'll let you see my bare breasts~❤
はううぅ❤すごい・・・❤,Hahhh...❤ Amazing...❤
くすくす❤せっかく生のおっぱいを見せたんだから、\nもうちょっと語彙力がほしいなー❤\nきれいとか、かわいいとか、色々褒め言葉があるでしょ？,*Giggle*❤ Since I went through the trouble of showing you my bare breasts; I wish you'd say a little more than that~❤ There's so many things you could say about them—beautiful; cute; sexy; and so on; right?
「すごい」しか言えないなんて、女の子への対応失格だよ❤\nまあでも、おっぱい見たら\n男の子の思考力なんてどこかに行っちゃうか❤,Just saying "amazing" just goes to show how little you can actually handle girls!❤ Well; I suppose when boys see boobs; their thinking ability just goes right out the window~❤
今だってわたしにとどめを刺さないといけないのに、\nおっぱいに見惚れて、何にもできなくなってるし♪\nほらぁ、顔の近くで揺らしてあげる❤,Even now; when you should be delivering the finishing blow to me; you're so enchanted by my chest you can't do anything at all~♪ Here; I'll jiggle them right in front of your face for you.❤
上下に体を弾ませて、ゆさゆさゆさ♪,I'll bounce them; up and down. Jiggle jiggle jiggle~♪
あっ、あっ、だめ・・・❤こんなの・・・❤,Ah; ah; no good...❤ This is...❤
うふふ❤おっぱいがキレイすぎて、何も考えられなくなっちゃう？\nだぷんだぷんって動くおっぱいに思考がぐちゃぐちゃにされちゃうね❤\nおっぱいが揺れるたびに脳も一緒に揺さぶられてるみたい❤,Ufufu~❤ Are my tits so beautiful that you can't think of anything else? Your thoughts are getting scrambled by these bouncing; jiggling boobies; aren't they?❤ It's like your brain gets shaken around every time they move~❤
ほらぁ、あなたの顔をむぎゅうって捕まえちゃうよ❤\nこんな揺れてるおっぱいに捕まったら大変❤\n今よりもっと頭おかしくされて、おちんちん暴発しちゃう❤,Next; I'll trap your face in a tight hug!❤ It would be terrible if you got caught by these jiggling tits; don't you think?❤ Your mind would get even more messy and your cock would just explode~❤
わたしを倒す気があるなら、今からでも逃げなきゃねー❤\nゆっくりゆっくり近づけてぇ・・・・❤,If you really want to defeat me; you should probably run; you know~❤ I'm getting closer... Slowly... Slowly...❤
はい、つかまえたー❤\nおっぱい天国にいらっしゃーい❤むぎゅー❤,Got you!❤ Welcome to booby heaven~❤ *Squeeze*❤
はへぇ・・・❤,Hah...❤
くすくす❤おっぱいに顔をむにゅうって埋められて、\nすぐ射精しちゃったね❤,*Giggle*❤ You came the moment your face got buried between my super plush boobies~❤
やわらかおっぱいで隙間なく密着される感触❤すごかったでしょ❤,The sensation of my pillowy boobs pressing against you; almost smothering you...❤ It felt incredible; didn't it?❤
あは、武器が地面に転がってる❤\n気持ちよすぎて落としちゃったのかな？\nトドメもささずおっぱいを満喫して、エナジーでわたしは全回復❤,Aha; your weapon's clattering on the ground!❤ Did it feel so good that you dropped it? You didn't even try to finish me off. You got lost in my breasts instead; and now—thanks to your energy—I'm fully recovered~❤
ダメダメな結末になっちゃったね❤\nくすくす❤,A pretty pathetic ending; don't you think?❤ *Giggle*❤
