default
ジェリーフィッシュ,Jellyfish
ねえ、あなたはどうする？\nおちんちん、ここに入れたら気持ちいいよ…❤\nふとももとかにおちんちん擦りつけちゃう？針に刺されに来ていいよ❤,Hey; what do you wanna do? If you put your dick in you'll feel really good...❤ You wanna rub your dick between my thighs? You can come get stung by my needles❤
脚を使っておちんちんをいじめてあげる…❤, I'll tease your dick with my feet...❤
膝を当ててぐりぐりぐり…❤\n肌がやわらかいから激しくぐりぐりしても痛くないでしょ？,I'll put it between my knees and crush it...❤ My skin is really soft so even if I go hard it won't hurt; right?
え？体がしびれてきた？\nふふふ…、麻痺の毒が回ってきたのかな。\nもっと押し付けてあげるね…❤,Eh? Your body started tingling? Haha; probably because I'm injecting my venom. I'll squeeze harder for you; okay...❤
くす…❤わたしに捕まえられたいの？\nこの触手でぐるぐる巻きにされながら、\nふとももでいじめてほしい？,Heh...❤ You wanna get caught by me? Can I wrap my tentacles around you while I tease you with my thighs?
自分から食べられるに来る人は多いけど、\nそんなに必死に頼むのは珍しいかも❤\n気持ちよくなりたいなら、ほらわたしのカラダ、使っていいよ…❤,There's a lot of people who ask me to feast on them; but it's rare for someone to ask so deperately❤ If you wanna feel good... Here; you can use my body...❤
くすくす❤毒針でビリビリしながら、\nふとももの奥に射精しちゃったね❤,Hehe❤ Go ahead and cum in my thighs while you're feeling tingly❤
おいしいエナジーのおかげで\nわたしのカラダもとっても元気になっちゃった。\n裏切られたあなたのマスターがかわいそう❤くすくす❤,Thanks to your delicious energy; I'm totally refreshed! I feel bad for your betrayed master❤ Hehe❤
くすくす❤毒針でビリビリしながら、\n膝につぶされて射精しちゃったね❤,Hehe❤ Go ahead and cum on my knees while you're feeling tingly❤
あっ、ああっ・・・。,A- ahh...
んー…。どうしたの？あ、もしかして我慢できなくなっちゃった…？,Hm. What's wrong? Ah; you can't hold it in anymore...?
うふふ、すけすけの体だから、\nおっぱいもアソコも全部見えちゃうもんね。\nこんな格好でゆらゆらされたら、ムラムラしてきちゃうよね…❤,Ahaha; I have a see-through body; so my both my boobies and my special place are totally visible. I bet if I start swaying back and forth like this; you'll start to get horny...❤
ううっ・・・❤,Ooh...❤
男の子なのにかわいい声が出ちゃってる。\n敵の女の子をオカズにしてしごくの気持ちいいんだ…？くすくす❤,Despite being a man you're letting out such a cute voice. So using your enemy as fap material feels that good; huh...? Hehe❤
じーっと見ていいんだよ❤\nわたし、戦う気がない人に襲い掛かったりしないから、\n好きなだけシコシコしていいの。,You can look however long you want❤ I don't attack people with no will to fight; so you can keep fapping for as long as you like.
あれ、シコシコ早くなっている…。\n長く楽しめばいいのに、気持ちいいの抑えられなくて\n手が早くなっちゃうのかな？,Oh; you're fapping even faster...I'm sure you wanted to leisurely enjoy yourself; but your hands sped up 'cause it feels so good.
くすくす❤やっぱり自分でオナニーして負けちゃうような人は、\n我慢ができないんだね。ちょっとかっこ悪い❤,Hehe❤ It makes sense though; you chose to jerk off to me so of course you have no patience. That's kinda pathetic❤
うん？もう出ちゃう？もちろんいいよ❤\nたくさんわたしにかけてね…❤,Hm? Gonna cum already? That's totally fine❤ Spray a lot on me okay...❤
わたしにエナジーをかけたら、\nその分、わたしの体力は回復しちゃうけど、\nもう試合のことなんてどうでもいいもんね。, If you cover me in your energy; I'll be fully healed. But you don't care about the duel anymore; right?
ほら、シコシコ❤シコシコ❤\nおちんちんから射精❤いっぱいかけて、\nエナジーわたしにちょうだい❤,C'mon; Stroke❤ Stroke❤ Semen come out❤ Please cover me in lots of your energy❤
はぅぅっ…❤,Hau...❤
あんっ、たくさん出てきた…❤\nどろっとした濃いのが出ちゃったね❤気持ちよかった…？,Ahh; lots came out...❤ Your thick and sticky stuff came out❤ Did it feel good...?
闘技場での試合、これで終わっちゃったけど、\n満足そうな顔してる…❤\nくすくす❤オナニーの方が大事だなんて、男の子ってかわいいね❤,Your arena duel is over but you have such a satisfied face...❤ Hehe❤ It seems masturbating is more important than winning; men are so cute❤
あなたのおかげで体力も回復したし、\nこの力で他の人も倒しちゃうよ。\nわたしの麻痺毒でびりびりさせてあげる❤,Thanks to you healing me; I have the strength to fight your friends. I'll use my stingers to make you all feel tingly❤
んふふ…❤もしかしてあなたもわたしでオナニーしたいの？,Ahaha...❤ Did you also want to jerk off to me?
すけすけの体を見てたら、みんなすぐムラムラしちゃうんだね❤\n仲間がわたしに向かって射精するのを見てたら、\nうらやましくなって耐えられなくなっちゃった？, Everyone gets horny when looking at my see-through body; huh❤ Did you get jealous watching your friend cum on me and couldn't endure it anymore?
武器を持って戦わないといけないのに、おちんちんをシコシコ❤シコシコ❤\n敵モンスターに向かって、シコシコ❤シコシコ❤,Even though you should grab your weapon to fight me; you grab your dick and jerk off instead❤ \n In front of your enemy you stroke and rub your dick❤
くすくす❤男の子なのにかわいい声が出ちゃってる。\n敵の女の子をオカズにしてしごくの気持ちいいんだ…？くすくす❤,Hehe; despite being a man you're letting out such a cute voice. So using your enemy as fap material feels that good; huh...? Hehe❤
じーっと見ていいんだよ❤\nわたし、戦う気がない人に襲い掛かったりしないから、\n好きなだけゆっくりシコシコしていいの。,You can look however long you want❤ I don't attack people with no will to fight; so you can slowly fap for as long as you like.
あれ、扱くの早くなっている…。\n長く楽しめばいいのに、あなたも気持ちいいの抑えられなくて\nシコシコ早くなっちゃうんだ。,Huh; you're speeding up...You can enjoy this for longer; but you can't resist feeling good; so you choose to fap faster...
やっぱり自分でオナニーして負けちゃうような人は、\nみんな我慢ができないんだね。くすくす❤かっこ悪い❤,You chose to jerk off so you definitely you have no patience. Hehe❤ Pathetic❤
ん？もう出ちゃうの？もちろんいいよ❤\nたくさんわたしにかけてね…❤,Hm? Are you gonna cum already? Of course it's okay❤ Spray a lot on me okay...❤
わたしにエナジーをかけたら、その分、わたしの体力は回復しちゃうけど、\nもう試合のことなんてどうでもいいもんね。\nわたしの体を見ておちんちんシコシコすることが一番大事なんでしょ？,If you cover me in your energy; I'll be fully healed. But you don't care about the duel anymore; right? Looking at my body and fapping is most important to you; right?
ほら、シコシコ❤シコシコ❤おちんちんから射精❤\nいっぱいかけて、エナジーわたしにちょうだい❤,C'mon; I'll massage and caress it❤ Semen come out❤ Please cover me in lots of your energy❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ah-...❤ Ahhh-❤ I can't hold back anymore...❤
くす…❤シコシコして出しちゃったね❤\nオナニーするの気持ちよかった？,Heh...❤ You stroked yourself and came❤ Did it feel that good to jerk off?
あなたのエナジーおいしいよ❤\n傷も治るし、もっと出してくれるとうれしいなー❤,Your energy is really tasty. It even heals my wounds! It'd make me really happy if you let out some more～❤
くす…❤今度は別の人が出しちゃったね❤\nわたしを回復するためにオナニーしてくれたの？\nうれしい…❤,Heh...❤This time someone else came❤ Did you come to heal me by jerking off? I'm so happy...❤
あなたのエナジーもおいしいよ❤\n傷も治って、ずっとずっと戦えるね❤\nみんなありがとう❤でも、もっと出してくれるとうれしいなー❤, Your energy is also really tasty❤ It even heals my wounds so I can fight forever❤ Thanks everyone❤ But; it'd make me happy if you came for me even more～❤
あううっ、強い…。,Ahh; too strong...
でもまだ負けない…。えいっ❤,But I won't lose yet... Hmmph❤
おちんちんギンギンだね…❤わたしの中に入れてもいい？, Your dick is rock hard...❤ Can I put it inside me?
わたしのナカ、きゅんきゅん締め付けて、とっても気持ちいいの…❤\nあなたのエナジーぜんぶ食べたい…❤ね、おねがい❤, My insides feel really good when it's happily squeezing and tightening on you. I want to eat up all your energy...❤ Can I; please❤
空っぽになるまで何度もパンパンってして❤\n最後にはどぴゅーって中出しさせたげるよ…❤,Let's keep fucking until you're completely empty❤ In the end; I'll let you splurge everything inside me...❤
きゃうう…。気持ちいいのに…。,Kyuu... It would've felt good...
ふふ、逃げないんだ？わたしに食べられたいって気持ちが勝っちゃったね…❤, Haha; so you won't move? You wanted to get eaten by me that badly huh...❤
うれしいからいっぱい動いてたくさん気持ちよくしてあげる❤ほら、ほら…❤,That makes me really happy; so I'll move a lot and make you feel really good❤ Like this...❤
あうぅっ…❤,Ah-...❤
くすくす❤いい反応❤\nおちんちん、わたしのおまんこにぴったり吸い付かれて、\nとろけちゃいそうなの？,Hehe❤ That's a nice reaction❤ Your dick's getting perfectly sucked into my pussy; does it feel like you're gonna melt?
わたし、人間とは筋肉の付き方が違うから、\nおまんこの中を思う通りに動かせるんだよ。\nきゅっ、きゅって優しく締め付けたり…❤,I don't have the same muscles as humans; so I can move my pussy's insides however I want. I can softly squeeze and tighten on you...❤
おちんちんを揉みほぐしながら、そのまま騎乗位ピストンしたり…❤,While I'm on top of you; I'll massage your dick by bouncing on it...❤
あっ…❤ああっ、これ、だめぇ…❤,Ah-❤ Ahh; I can't... take it...❤
うふふ❤すっかり顔がとろとろになっちゃったね。おちんちんも\nナカでパンパンに膨れて、今にも射精しそうになっている❤\nさっきまでわたしを追い詰めていたのに…❤,Ahaha❤ Your face has completely melted. And your dick; it's all swollen; it feels like it can burst at any moment. Even though you were just about to beat me...❤
ほら、そのまま出していいよ❤\nおちんちんから大事なエナジー中出しして、\n敵のモンスターを回復しちゃうの❤,Here; you can cum just like this❤ Creampie me with lots of your important energy; and heal this enemy monster❤
わたしからはお礼に、たくさん、たくさん、\nパンパンって腰を動かしてあげるから…❤\nほら、ほら、ほら…❤全部出しちゃえ❤,As thanks; I'll move my hips a lot and bounce on you for a long; long time... C'mon; c'mon; c'mon...❤ Let everything out❤
あん❤中にたくさん出ている…❤エナジーとってもおいしい…❤,Ahn❤ You let out so much inside...❤ Your energy is so tasty...❤
あと少し我慢すれば勝てたのにね❤おちんちん、おまんこに負けて\nわたしみたいな下級モンスターにやられちゃった❤くすくす❤,If you held out just a bit longer you could've won❤ Even though I'm a low-leveled monster; your dick lost to my pussy❤ Hehe❤
あいたたっ、うう…。このままじゃ負けちゃう…。,Owwie; ooh... I'm about to lose...
ねえ、もう攻撃しないで…。そうしたら…❤,Hey; please spare me... If you do...❤
さっきの人みたいにわたしのおまんこで気持ちよく吸い取ってあげるよ…❤,Just like the last guy I'll let you feel really good with my pussy...❤
わたしのナカに入れたら、\n強い男の子でもメロメロになっちゃうぐらい気持ちいいの。\nさっきの見てたでしょ？あなたも体験してみたいよね…❤,If you put it inside me; even a strong man like you will go stupid from the pleasure. You saw it right? Don't you wanna experience it as well...❤
ほら、こっちにおいで…❤\nスカートの中に腰を入れたら、あなたのエナジーぜんぶ食べてあげる❤,C'mon; come over here...❤ If you shove your hips into my skirt; then I'll suck out all of your energy❤
あなたの上にまたがって、おちんちんを中に入れて、\n動けなくなるまで何度もピストン…❤最後にはどぴゅーって中出し…❤\nね、わたしと気持ちよくなろ…？,I'll bring down my slit; put your dick inside; and keep bouncing until you can't move...❤ Finally you'll creampie me...❤ So; don't you wanna feel good with me...?
そんなっ。ううっ、負けちゃった…。,No way. Ooh; I lost...
あは、こっちに来てくれた❤\nわたしに自分から食べられに来るなんて、うれしい…❤,Aha; you came over❤ To think you'd ask to be eaten; I'm so happy...❤
ほら❤にゅるんっておまんこの中に入っちゃったよ❤\nあと少しで勝てそうだったのに、\nあなたが自分から負けに来たから食べられちゃったの❤,Here❤ It just slipped into my pussy❤ Even though you were about to win; you chose pleasure; so I gobbled you up❤
いっぱい動いてたくさん気持ちよくしてあげるね❤\nほら、ほら…❤,I'll move a lot and make you feel really good❤ See...❤
はうぅっ…❤,Hau...❤
くすくす❤かわいい声…❤\nおちんちん、わたしのおまんこにぴったり吸い付かれて、\nとろけちゃいそう…？,Hehe❤ What a cute face...❤ Your dick's getting perfectly sucked into my pussy; does it feel like you're gonna melt?
おちんちんをもみほぐしながら、そのまま騎乗位ピストンしたり…❤,While I'm on top of you; I'll massage your dick by bouncing on it...❤
うふふ❤すっかりメロメロだね。\nおちんちんもナカでパンパンに膨れて、\n今にも射精しそうになっている❤,Ahaha❤ You've completely melted. And your dick; it's all swollen; it feels like it can burst at any moment.❤
さっきの人もあなたも、とっても強かったけど、おまんこしてあげれば\nすぐに負けちゃうね❤おちんちん、気持ちいいのに勝てなくて、\n逃げることも戦うこともできなくなっちゃう❤,Both you and the other guy were stubborn; but when offered my pussy; you lose immediately❤ Your dick can't win against what feels good; so you can't fight or run away❤
いいよ、そのままたくさん出して❤\nおちんちんから大事なエナジー中出しして、\n敵のモンスターを回復しちゃうの❤,It's okay; go ahead and let out lots❤ Creampie me with lots of your important energy; and heal this enemy monster❤
わたしからはお礼に、パンパンっ、パンパンって\n腰を動かしてあげるから…❤\nほら、ほら、ほら…❤全部出しちゃえ❤,As thanks; I'll bob and bounce on your dick❤ I'll move my hips for a long; long time... C'mon; c'mon; c'mon...❤ Let everything out❤
あん❤中にたくさん出ている…❤\nエナジーとってもおいしい…❤,Ahn❤ You let out so much inside...❤ Your energy is so tasty...❤
わたしの体をおかずに自滅…❤\nおちんちんシコシコするために試合に出たのかな？くすくす❤,Using my body as fap material...❤ Did you come into this duel just so you can stroke your dick? Hehe❤
とどめを刺さずに代わりに中出し…❤\nこんな負け方じゃ、あとでみんなに笑われちゃうかもね❤ふふふ♪,Instead of finishing me you finish inside...❤ You'll probably get laughed at; losing like this❤ Hahaha❤
あは、ふとももの間に出しちゃった…❤\n下級モンスターのふとももコキで負けちゃうなんて、弱いんだね❤くすくす❤,Aha; you came inside my thighs...❤ Losing to a low-leveled monster's thighjob; you're so weak❤ Hehe❤
あは、膝でぐりぐりされて出しちゃった…❤\nこんな柔らかい膝に負けちゃうんだ❤\nおちんちん弱いんだね…❤期待のルーキーくん❤,Aha; you came from me crushing you with my knees...❤ Losing to my soft knees❤ Your dick is so weak...❤ Mr. Highly Anticipated Newcomer❤
わたしの体をおかずに自滅…❤おちんちんシコシコするために\nわたしのマスターに勝負に挑んだの？くすくす❤,Using my body as fap material...❤ Did you challenge my master to a duel just so you can stroke your dick? Hehe❤
オクタが使う女性モンスターに敗れた僕は、全身を襲う痺れと脱力感に抗えず闘技場に横たわっていた。,Defeated by Octa's female monster card; I laid in the arena unable to resist the numbness and weakness that attacked my entire body.
くす❤惨めな姿ね。下級カードに負けて動けなくなるなんて。,Heh❤ How pathetic. To think you'd lose to a weaker card.
ううっ、くそぉ・・・❤,Ugh; damn...❤
なぁに、その顔。まだ諦めてないの？\nふふふ❤射精したあとも強がれるなんて、さすがは「期待のルーキー」くんね。,What's with that face? You haven't given up? Hahaha❤ I should've expected the "Highly Anticipated Newcomer" would act tough even after ejaculating.
え？バカにしているのかって？\nそうね、ちょっとバカにしてるかも❤戦闘能力の低い下級モンスターに\nあっさり負けちゃうんだもの。くすくす❤,Eh? You think I'm making fun of you? Hmm; maybe just a little bit❤ Hehe❤
いいわ、決めた。あなたのその顔が快楽に蕩けていくところ、\n観客のみんなと一緒に、特等席でじっくり観察してあげる❤,Alright; I've decided. I'm going to warp your face with pleasure; so that everyone in the audience can watch❤
闘技場で負けたら勝者には敗者を自由にする権利があるの❤\nこんな風になぶりものにされることも多いから、\nよく覚えておくことね❤,In the arena; the winners have the right to do whatever they want to the loser❤ We often take advantage of it; so you'd better keep that in mind❤
マスターの命令なので、\nわたしの麻痺毒でへろへろになっちゃったあなたを\nもっとしびれさせちゃうね…❤,My master ordered me; so... \n I'll make your already weak body numb with my paralyzing venom...❤
だいじょうぶ、ぴりっとするだけで痛くないよ❤\nとっても気持ちよくなれるから\nあなたもうれしいんじゃない？うふふ❤,It's okay. It won't hurt; just shock you❤ It'll feel really good; aren't you happy? Ahaha❤
それじゃ、きもちよーくしてあげるね。\nわたしのナカにおちんちんを入れて、\nチューチュー吸い取ってあげる…❤,Well then; I'll make you feel super duper good～ I'll stick your dick inside; and squeeze and suck it...❤
そうだよ。あなたがさっき見ただけで我慢できなくなって、\nシコシコしちゃったおまんこ…❤\nそこにカチカチになったおちんちんが食べられちゃうの❤, That's right. The thing you saw and couldn't endure; my pussy...❤ It's eating up your rock hard dick right now❤
うふふ❤目がエッチになった❤\nそうだよ。さっきの続きをしてあげるの❤\nわたしのおまんこの気持ちよさ、あなたはもう十分に知っているよね❤,Ahaha❤ Your eyes got so lewd❤ That's right. We're going to continue from earlier❤ Besides; you already understand how good my pussy feels; don't you?❤
ふとももでむにむにされただけで出しちゃったのに…。\nナカに挿入れられたらどうなっちゃうと思う？\nふふ、怖いっていうより楽しみな顔している❤,You came just from rubbing my thighs against you... So what do you think will happen if you went inside? Haha; instead of looking scared you seem excited❤
ほら、わたしのナカにおいで❤んっ、ずぶずぶ～❤,Here; come on inside❤ Mm-; Squish❤ Squish❤
ううっ…❤くあぁ…❤,Ooh-❤ Gahh..❤
あは、すっごいきもちよさそうなお顔❤\nまだ入れただけなのにもううっとりしちゃうんだぁ❤,Aha; you look so blissful❤ I just barely let you in and you're already enchanted❤
クラゲの体には男の子をしびれさせちゃう麻痺針がいっぱい❤\n一番多いのはスカートの中だけど、\nおっぱいにもお腹にだってあるんだよ❤,This jellyfish body has so many needles to shock men❤ My skirt has the most; but my boobies and belly have some too❤
だから、こうやってぷるぷるのおっぱいで\nあなたのお顔をぱふぱふしてあげちゃえば・・・❤,So then; if I Puff-Puff your face with these boobies...❤
ぱぁふぱぁふ❤\nすぅりすぅり…❤\nきもちいいねー❤,Puff-Puff～...❤ Rub rub...❤
あふぅ…❤あっ、あっ、ああっ・・❤,Afu...❤ Ah; ah; ahh...❤
どう？お顔がしびれてきて、うまくしゃべれなくなっちゃうでしょ？,How is it? Your face is all numb and you can't talk very well; right?
ねえねえ、さっきはわたしのマスターに、\n歯向かうような言葉使ってたよね。\nどうなの、まだそんな風に生意気なこと言える？,Hey; weren't you provoking my master earlier? Try it now; say those same cheeky things again.
あぐ、あぅ…❤あうあいっ・・❤,Waugh; wau..❤ Wauaih...❤
あはは、何言っているんか分かんない❤\nおっぱいに向かってあうあう言うことしかできない、\n赤ちゃんになっちゃったね。,Ahaha; I have no idea what you're saying❤ Because of my boobies you can only go wah wah; you're just like a baby.
お顔がビリビリして変な感じかな？\nでも、おっぱいとっても気持ちいいでしょ？,Your face is all tingly and feels weird? But don't my boobies feel super good?
この麻痺毒は、筋肉は動かしづらくなるけど、感覚は逆に敏感になるの。\nだから、わたしぐらいの小さめおっぱいでも\nとっても気持ちよくできるし…。,My venom makes you feel really sluggish; but also makes you extra sensitive. That's why; even with these small boobies; I can make you feel really good...
もともと気持ちいいおまんこは、\n頭がまっしろになっちゃうぐらい、最高の気持ちよさになるんだよ。,My pussy feels even better. It'll make your head go completely empty; and you'll experience bliss.
ほら、腰をいっぱい振って、\nあなたの頭の中、快感でビリビリにしびれさせてあげる❤,C'mon; I'll shake my hips a lot; and shock lots of good feelings into your brain.
あっ❤あうあっ…❤あぎっ・・❤あひぃあ・・・❤,Ah❤ Wauh...❤ Agih...❤ Ahya..❤
声がどんどん大きくなっちゃうね。\n喘ぎ声漏れちゃうの恥ずかしいでしょ？\nおっぱい吸わせて、お口ふさいであげる❤,Your voice got a lot louder. Isn't it embarassing for your moans to leak out? You can suckle on my boobies; that should cover your mouth for you❤
わたしの体にぜーんぶ包まれて、わたしとひとつになろ？\n負けを認められない悪い子は、わたしに包まれてたっぷり反省しよ？,You're totally enveloped by my body; how about we become one? You're a bad kid who won't accept defeat; so reconsider lots while we're fucking; okay?
ほら、ぱんぱん・・・♪ぱんぱん・・・♪\nおちんちん、きもちいいねー❤,C'mon; plap plap...♪ Plap plap...♪ Doesn't your dick feel good❤
くすくす❤お射精したいの？\n腰がびくんびくんってして、おさかなみたいに跳ねている❤,Hehe❤ Wanna cum? Your hips are twitching; it's like you're a fish out of water.
射精したらもっとエナジー吸われちゃうのに、我慢できないんだよね。\nいいんだよ、ほら・・・❤,If you cum I'll be sucking out more energy; but even so you aren't holding back; huh? That's okay; c'mon...❤
わたしに負けましたって、しっかり認めながら、\n気持ちいい中出し、しちゃおうね❤,Even though you lost to me; you can completely accept it with a blissful creampie; so let's do it❤
あぅ…ふぁ…❤ひぁぁぁ…❤,Ah...fuah...❤ Hyaaa...❤
あは、濃ゆいのがナカに出てきた。二回目だけどたっぷり出しちゃったね❤\nくすくす❤,Aha; you let your thick stuff out inside. It's your second time but you still let out lots❤ Hehe❤
ぷっ、すっかり骨抜きじゃない。負けたあとでも強がっていたのに、\n全然耐えられないのね。,Pfft; you're totally spineless. Even though you acted strong after losing; you couldn't hold out at all.
試合前にあんなことしちゃったし、\nちょっと悪いかなって思ってたのよ。\nでもその様子じゃどのみち負けていたでしょうね❤,I was starting to feel bad about what I did before the match; but looking at you now; you would've ended up losing anyways.
ねえ、わかるかしら。あなたの情けない姿、\n闘技場のみんなに見られちゃってるわよ。\n期待のルーキーなんて呼ばれていた分とっても恥ずかしいわね❤,Hey; do you get it? The arena can see your shameful appearance. Everyone who called you a Highly Anticipated Newcomer must be really embarassed❤
わたしの体を透して観客さんたちのこと見える？\nさっきまであなたの勝利を楽しみにしていたみんなが、あなたが\n下級モンスターにとろとろにされているところ、くすくす見ているよ❤,Look past my body; can you see the audience? Everyone who's been looking forward to you winning; can now see how you go all droopy against a low-leveled monster hehe❤ 
あう、あううっ・・・。,Ah; ahh...
情けなく犯される僕に無数の視線が降り注ぐ。彼女に抱かれた僕は顔を隠すことも出来ず、ただただ周りに見下ろされている。,An innumerable number of gazes rain incessantly onto my pathetic figure. With nowhere to hide my face while being embraced by her; I could do nothing but let the audience look down at me.
恥ずかしくてたまらないのに、ジェリーフィッシュの優しい腰づかいに体も脳みそも甘く痺れ、喘ぎの混じった声を出すことしかできない。,It's so embarassing I can't stand it; but the gentle way Jellyfish uses her hips sweetly numbs my body and mind; and I can only react by moaning.
だいじょうぶ❤わたしに夢中になれば、\nわたしの向こう側のことなんて、気にならなくなるから。ほら・・・❤, It's okay❤ If you focus on me; you won't worry about what's behind me at all. C'mon...❤
ぱんぱん・・・♪ぱんぱん・・・♪\n頭の中、気持ちいいことでいっぱい❤,I'll pump and thrust...♪ Slam my hips down on your dick...♪ Only think about feeling good❤
ひっ、あっ・・・❤あああ・・・❤,Hii; ah...❤ Ahhh...❤
女の子に負けることはダメなことじゃないよ❤\nわたしのマスターも別にあなたをボロボロにしたいわけじゃないの。,Losing to a girl isn't a bad thing❤ It's not like my master wanted to turn you into a mess.
ただ、負けを認められないのはカッコ悪いことだから、\nちゃんとそれを教えてあげたいだけ❤,However; not being able to accept your loss is pretty pathetic; so I just wanted to properly discipline you.
負けるのは気持ちいい…❤負けたって認めて、射精したら幸せ❤\nほら、頭の中で繰り返して？,"Losing feels good...❤ I'll accept the loss; cumming makes me happy"❤\nNow; repeat that in your head.
あう…❤まへるのはひあわせ、あ、ああぁ・・・・❤,Hau...❤ Lozhing heelz guud; ah; ahhh...❤
ふふふ❤おっぱいチューチューしちゃってかわいい。\nそうだよ、その調子。わたしに甘えれば、\n気持ちいいことで全身しびれて、もう恥ずかしくない❤,Hahaha❤ You're so cute sucking on my boobies. That's right; just like that. If you let yourself get doted on by me; and have your whole body pleasurably shocked; you won't feel embarassed anymore❤
ほら、いくよー❤それっ❤ぱんぱん♪ぱんぱん♪,C'mon; let's do it❤ Like this-❤ Plap Plap♪ Plap Plap♪
あぁっ…❤あふ、あううううっ・・・・❤,Ahh...❤ Agh; auuu...❤
あら、蕩け顔で気絶しちゃったわ。,Oh my; he passed out with a blissful look on his face.
ふふふ、下級モンスターに負けて醜態さらすなんて、\nずいぶんなデビュー試合になっちゃったわね。かわいそ。,What a debut duel; acting so shamefully in front of a low-leveled monster. How pathetic.
こうして下級モンスターに敗れ、初回の試合を黒星で飾った僕は、そのあとの試合もすっかり勝てなくなってしまった。,By losing this way to a low-leveled monster; my first duel weighed down on my mind; and I continued without a single win.
男性マスター相手なら勝利できるが、女性マスターが相手になると手も足もでない。勝てそうな場面になっても、ジェリーフィッシュに刻まれた「負けることの気持ちよさ」がすぐに頭を支配して、カードを使うことに集中出来なくなってしまう。, I could win against men; but I couldn't even lift a finger against female masters. Even when it seemed like I could win; Jellyfish had carved "The Pleasure of Losing" into me; immediately overwhelming my thoughts; and preventing me from thinking about how to use my cards.
サキュバス相手に勝利したときの僕はもういない。一度の大きな敗北が決定的に自分を変えてしまったのだ。,The me that beat a succubus no longer exists. A single huge loss has fundamentally changed me.
くすくす❤わたしのマスターに再戦を申し込んで偉いね❤\n負けたあとも頑張れるのはだいじだよ。,Hehe❤ I'm super proud of you for challenging my master to a rematch❤ It's important that you don't give up even after losing.
でも、わたしの触手が近づいても逃げないんだ？\n捕まったら麻痺させられて、\nエナジー全部食べられちゃうってわかっているのにね❤,But; it looks like you won't run even if my tentacles get closer. Even though you know if you get caught and paralyzed; you'll get all of your energy eaten up❤
ほら、ぐるぐるぐる～…❤\nふふふ、おいしいエナジーいただきまぁす❤,Here; wrap wrap～...❤ Hahaha; thanks for your delicious energy❤
僕がこの先、オクタさんや他の女性マスターを倒して、上のランクに上がることはないのだろう。まして魔族領に乗り込んで妹を助けることなんて、もう不可能だ。,In the future; I'll probably never beat Octa or any other female master and won't promote in rank. Not to mention going to the Demon Territory and saving my little sister will be impossible.
ジェリーフィッシュに全身を包まれ、甘くとろかされながら、僕は勝利への意思を手放し、,My entire body gets enveloped by Jellyfish; and while she looks down on me; I lose all will to fight.
こうして僕の妹を救うための冒険は幕を閉じたのだった。,And thus the curtain closes on my adventure to save my little sister.
