default
フラワー,Flower
そうだ。頑張ったあなたに、\nあとで気持ちいい"ご・ほ・う・び"あげよっか？\nくすくす❤,Right; since you’ve worked so hard; how about I give you a pleasurable “reward” after this? Teehee～
あううっ・・・・❤,Ahh...
あは、顔を真っ赤にしちゃってかわいいー♪\n人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪,Aha; it’s so cute how your face is all beet red～♪ Sorry; it must’ve been really embarassing in front of everyone♪
エルルはにやにやした顔で、胸を寄せ上げると、からかうように上下に動かして見せつけてきた。,Eruru has a big grin on her face as she pushed her breasts together and teased me by moving it up and down.
うふふ。わたしのしもべに負けて、\nパイズリで何回もイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪,Ufufu; the kid who lost to my subordinate and came multiple times from a titjob is now about to try getting D-rank... You must’ve worked so hard～♪
頑張ったあなたには、\nあとで気持ちいい"ごほうび"あげよっか？\nキャロルとわたしでダブルパイズリとか…❤くすくす❤,For such a hard working kid; how about a pleasurable “reward” afterwards? Me and Carol will give a double titjob...
あは、想像しちゃったんだ❤\n前かがみになっちゃってかわいいー♪,Aha; you’re imagining it～❤ You're so cute when you're lost in thought～♪
って、人前でこういうことされたら恥ずかしいわよね。ごめんごめん♪,Oh; doing this in front of everyone must’ve been embarassing. Sorry about that～♪
あは、バトルのときのこと思い出しちゃった？\n前かがみになっちゃってかわいいー♪,Aha; are you remembering all the times we fought? You're so cute when you're lost in thought～♪
まだまだエッチなバトルには慣れてない感じね。\nでも、もうDランクに挑戦なんてすごいじゃない。,Seems you’re still not used to lewd battles yet. And yet; you’re already taking on the D-rank exam; that’s pretty impressive.
まあ、手札運が悪かったとはいえ、\nわたしに勝ったぐらいだもんね。\n今回の任務でも頼りにしてるわ。,Well; you still beat me even though you had terrible luck with your hands.\nI’ll be counting on you for this mission.
うふふ。わたしの手コキで気持ちよくなって、\nそのすきにモンスターにやられちゃった子が、\nもうＤランクに挑戦かぁ…。ずいぶんと頑張ったじゃない♪,Ufufu; the kid who got pleasured by my handjob and let my monsters do whatever they want is now about to try getting D-rank... You must’ve worked so hard～♪
それで、クエストについてだけどね、\nわたしって戦闘以外でも偵察とか調査が得意なの。\n魔力の痕跡を探って、敵の居場所を突き止めたりできるのよ。,So about the quest; I specialize in investigating traces of magical energy and carrying out reconnaissance missions. I can search for traces of magical energy and identify the location of the enemy.
君が戦ったっていうサキュバスのことを、\nその力で調べようってわけ。わかった？,That’s what I’ll use that ability to investigate more about the succubus that you fought. Got it?
エルルさん、ご説明ありがとうございます。,Thank you for your explanation; Eruru.
今回のクエストの目的はサキュバスの痕跡調査です。\n退治が目的ではありません。ないとは思いますが、万が一ほかのサキュバスに遭遇しても素早く撤退するよう心がけてください。,The goal of this quest is to investigate; not to exterminate. I don’t think this would happen; but in the unlikely event that you do encounter a succubus; please retreat immediately.
それでは、はじめてのクエスト頑張ってきてくださいね！,Well then; good luck on your very first quest!
そういうわけで僕はエルルさんと一緒に、以前サキュバスに襲われた場所へと向かったのだった。,And thus; me and Eruru headed to the location where I was attacked by a succubus.
ここでサキュバスに会いました。,I met the succubus over here.
ふーん。そのサキュバスはどんな見た目で、\nどんなカードを使ってきたの？,Hmm; what did that succubus look like at that time and what kind of cards did she use?
僕は、サキュバスは小柄な少女の姿をしていたこと、スライム系のカードを使ってきたことなどを説明した。また戦いの様子も思い出せる限りエルルに話した。エルルさんはそれを聞いてしきりにうなずいている。,I explained to her that the succubus took the form of a girl with a small stature and used slime-type cards. You also told her as much as you can remember about your fight with the succubus. Eruru listened to the story and nodded multiple times.
なるほどねー。ってことは…。,I see; then in that case...
たぶんこれがそのときの魔力の跡かな。,These are probably the traces of magic energy from that time.
そう言ってエルルさんは地面の一か所を指さしてみせた。僕はその場所を目を凝らして見てみたが何も見えない。ただの地面だ。,As Eruru says that; she pointed at a location on the ground. I tried to take a hard look at that place but I can’t see anything else besides the ground.
んふふ。そんな簡単にわかるものなのかって？\nなにせわたし天才だからさー。ランクこそDだけど、\n調査の実力だけで言えばBランクぐらいの能力があるのよ。,Hehe; how could I easily find it? Well; I’m a genius after all.\nI might be a D-rank; but I’d be around B-rank if my investigation skills were to be ranked.
ただ…。うーん、少し気になる部分もあるし、\nもうちょっと詳しく見たほうがいいかもね。カードを使うわよ。,It’s just that... Hmm; something still feels a little off. It might be worthwhile to look into it further. I’m going to use my card.
わたしたちを対象にカードを発動、「アナライズ」！,Activate the card “Analyze” on us!
エルルさんがカードを発動させると、目がほんのり熱を帯びてくるのを感じる。すると、さっきまで見えなかった魔力の痕跡がはっきりと視界に浮かび上がってきた。,When Eruru uses her card; I can feel a faint heat in my eyes. And the traces of magical energy that wasn’t visible to me earlier; now gradually come into view.
ふふ、便利な魔法でしょ？そこの岩についた青色の魔力が見えるかしら。\n道端にこんなに濃く魔力が付くことは普通ないから、\nあなたが戦闘したときの跡で間違いないと思うわ。,Fufu. Useful spell; isn’t it? I wonder if you could see that blue-colored magic energy on that rock over there. A strong trace like that on the side of the road isn’t normal at all. It was definitely left behind during your fight.
サキュバス特有の邪気も感じるし、\n水属性の魔力だってのも一致しているわね。,I can even feel an aura typical of a succubus and it being water attribute also matches your story.
問題は、こっちの青い跡。\n同じサキュバスの魔力だと思うんだけど…、\nそれにしてはこれ、かなり新しいの。,The problem are these blue traces though; I think they’re traces of magical energy from the same succubus... but they seem pretty new.
新しい？,They’re new?
うん。跡がついたのは半日前ってところかな…？\n明らかにあなたとの戦闘より後に付着しているわ。,Yep; these energy traces are probably left from half a day ago...? I’m confident that these energy traces are left after your fight.
サキュバスは退治されたはずだよね。\nなのに、なんで新しい跡がついているんだろう？おかしくない？,The succubus was supposed to be eliminated.\nSo why are there still newer traces of magical energy? Isn’t that weird?
・・・・。,.....
まあなんにせよ、跡をたどってみよっか。\n半日前ならそう遠くには行っていないはずだし、\nもしかしたらサキュバスの隠れ家とかがわかるかも。,In any case; let’s follow the trail they left behind. They’re from half a day ago; so they couldn’t have gone far. Perhaps we’ll even find something like their hideout.
うーん、だいぶ森の中まで来ちゃったね。\n魔力跡も濃くなってきたし、\nたぶんそろそろ見つかると思うんだけど…。,Hmm; we’ve followed it all the way into the forest. The traces of magical energy is getting stronger; we might even find the source soon...
ん、あれは…。,Oh; isn’t that...
森でキノコを採っている女の子の姿が目に入った。服装を見る限り、近くの村の住人だろうか。,I spotted a girl picking mushrooms in the forest.\nFrom her clothes; she’s probably a villager from a nearby town?
向こうもこちらに気づいたらしく、にこにこしながらこちらを見て手を振っている。彼女にサキュバスについて話を聞いてみるのもいいかもしれない。,It seems she’s spotted us since she smiled and waved at us.\nMaybe we can ask her if she’s seen any succubus around.
あのすみません、この辺で怪しい姿を…。,Sorry; but have you seen anyone suspicious...
待って。あの子の体をよく見て。,Hold on a second; look at her body more closely.
そう言ってエルルさんは急に僕を制止した。,Eruru stopped me in my tracks as she says that.
あの子、サキュバスの魔力が服についている。\n青色で、それもかなり新しいやつ。,That girl is covered in succubus energy. Not only that; it’s a new and blue-colored one.
言われてみれば、服や手の一部に青い光が見える。「アナライズ」の効果がかかっていなければわからなかっただろう。,Now that she says that; I could see blue-colored energy on parts of her clothes and hands. I wouldn’t have noticed it if it hadn’t been for “Analyze”.
どうしたんですか？こんな森の中に…。\n見た感じ、この辺の村の人じゃなさそうですけど。,How did you figure it out? This deep in the forest... No matter how you look at me; I should’ve looked just like an ordinary villager girl.
って、あらあら、カードに手を構えちゃって。\nそんなに警戒されていたら、こんな小芝居意味ないですよね。,Ara; ara. You’re already in a stance to use your cards. If you’re already that cautious; then I guess don’t need to continue this act anymore.
そうです。わたしサキュバスでーす❤\nこんにちはー❤,As you guessed; I’m a succubus～❤ Good to meet you～❤
目の前のサキュバスが羽をあらわにし、僕たちにあからさまに魔力をぶつけてきた。まさかこんな街の近くにまたサキュバスがいるだなんて！,When the succubus in front of me exposed her wings; she openly unleashed her magical energy on us. To think there’d be a succubus this close to the city!
ギルドで言われたように急いで逃げるべきか…。でもこんなに接近していたらそう簡単には逃げられない…。,The guild said to escape immediately... but it won’t be easy to escape when she’s this close to us...
そんなことを考えて、目の前のサキュバスの動きに神経をとがらせていたその瞬間、不意に背後の木の上から別の影が飛び降りてきた！,While I was thinking about what to do about the succubus in front of me; a shadow leapt from the tree behind me.
きゃあ！,Kyaa!
あは、背中が隙だらけですよ❤\nおっきいおっぱいのあなたの体、\nわたしのスライムでぐちゅぐちゅにしちゃいます❤,Aha; you left your back wide open～❤\nI’ll be making a mess of these huge boobs with my slimes～❤
くう、離れろっ！このっ！,Ugh; let go of me!
エルルは体にまとわりついてきたスライムサキュバスをなんとか振り払った！しかし、状況はかなりまずい。完全に挟み撃ちだ！,Eruru managed to shake off the slime coiling around her body!\nBut the situation has taken a turn for the worse— you’re surrounded on both sides!
こうなったら覚悟を決めるわよ！\nわたしがこっちを相手するから\nあなたはそっちのサキュバスをお願い！,If it has come to this; then I’ll take care of myself!\nI’ll deal with her and you deal with the other one!
わかりました！,Got it!
こんな相手楽勝です！,Someone like her will be a piece of cake!
きゃはは❤いいねいいね、熱い展開じゃん❤\nそれじゃその子の言う通り、わたしがあなたの相手してあげるね❤\n男の子がサキュバス相手にどれぐらい戦えるのかなー❤,Kyahaha～❤ Good; good～❤ Things are getting heated now～❤ Well then; as that girl said; I’ll be your opponent～❤ I wonder how long a boy will last with a succubus as your opponent～❤
わたしのおっぱい見てるだけで\n戦意喪失しちゃったりしないかなー❤\nたのしみー❤,I wonder if you’ll lose your fighting spirit from looking at my breasts alone～❤ I can’t wait～❤
へえー、生意気なこと言うじゃん❤\nそんなこと言われたらちょっとムカついちゃうなー。,Ohh; that’s a pretty cheeky thing to say～❤ Even I’m starting to get a little annoyed～
だから、ほら、チラ❤,That’s why; here～❤ Have a peek～❤
あは、今見たよね谷間❤\n楽勝とか言った相手の谷間に視線を吸い寄せられちゃうんだー❤\nかっこわるーい❤,Aha～❤ You just took a peek; didn’t you?❤ Saying it’ll be a piece of cake and ended up getting charmed by the opponent’s cleavage～❤ That’s so lame～❤
ほらほらもっと見てぇ❤\nおっぱいに釘付けになってぇ❤,Come on～❤ Look at them even more～❤\nDon’t take your eyes off of my breasts～❤
あううっ…❤,Auuu...❤
くすくす❤頭の中ぼんやりしているうちに、\nパイズリとかぱふぱふで、たっぷり搾り取ってあげるね❤,Teehee～❤ If you’re going to be that careless; I’m going to squeeze you a lot with my boobs～❤
はぁ、はぁ、なんとか倒したぞ…。,Haah; somehow I managed to beat her...
サキュバスはとどめをさされると光の粒になり消えていった。僕は急いで背後を振り返る。エルルさんがまだ戦っているはずだ…！,The slain succubus shattered into a burst of light. I turned back and rushed to Eruru; she should still be fighting that succubus...!
くっ、サキュバスはやっぱり強い…！,Kuh; she really is strong...!
援護します！,I’ll back you up!
僕は敵のスライムサキュバスめがけて魔法カードで攻撃をしかけた！,I aimed at the enemy slime succubus with my spell cards and launched an attack!
きゃあ！うそ、フラワーちゃん負けちゃったの！,Kyaa! Unbelievable; how could Flower lose!
わたしのモンスターたち、チャンスよ！\n相手プレイヤーにダイレクトアタック！,Now’s our chance! My monsters; do a direct attack on the opponent!
あうう、復活してすぐじゃなければ…。,Augh; if only it wasn’t right after I got resurrected...
エルルの指示でモンスターたちがとどめをさす。エルルに倒されたサキュバスは、その場で霧のように消えてしまった。,The monsters ordered by Eruru landed the finishing blow. The defeated succubus vanishes into mist.
はぁ、ふう…。なんとかなったわね…。そっちは大丈夫？,Phew... somehow we managed to scrape by...\nAre you alright?
無事倒せました．,I managed to beat her.
へえ、きみなかなかすごいのね。\n男なのにサキュバス相手に１対１で勝てるなんて、かなりのものよ。,Wow; that’s pretty impressive of you. A male winning against a succubus one-on-one is quite a feat.
わたしの相手の子は、\nなんだか本調子じゃないって感じだったし、\nそのおかげでなんとか戦えたわ。,I was only able to manage fighting against my opponent because she didn’t seem to be in a good condition.
なんにせよ、早くギルドに戻りましょう。\nまた別のサキュバスがいたりしたら危険だわ。,In any case; we should return to the guild quickly. There might still be another succubus; so staying here any longer would be dangerous.
こうして僕たちは窮地を潜り抜け急いでギルドへと戻ったのだった。,Thus we made our way through the danger and hurried back to the guild.
お二人ともお疲れさまでした。調査はいかがでしたか？,Welcome back you two. How did the investigation turn out?
何か、サキュバスたちの手がかりなど掴めそうでしたでしょうか,Were you able to obtain clues about the succubus?
え？サキュバスに襲われた？それも二体！？,What? Succubi appeared during your investigation? And there’s even two of them!?
目を丸くしている受付さんに、僕たちは森の中で起きたできごとを詳しく説明した。,The guild receptionist was taken aback as we explained what happened inside of the forest in detail.
倒したはずのスライムサキュバスが生きていたこと、別のサキュバスが森の中にいてそのサキュバスに挟み撃ちにされたこと。,About how the slain slime succubus was still alive and about how you were surrounded by another succubus inside of the forest.
受付さんは僕たちの話をとても信じられないという様子で聞いていた。EランクとDランクの二人で２体のサキュバスに勝つなんて普通ありえないことらしい。,The guild receptionist seemed to be in disbelief as she listened to our explanations. Normally; an E-rank and D-rank winning against 2 succubi would be impossible.
なるほど…。\nにわかには信じられませんが、だいたいの事情はわかりました。,I see... as unbelievable as it sounds; I have a rough idea of the whole situation now.
魔族領から遠く離れたこの地に\n複数体のサキュバスがいるのはとても稀なことです。\nなぜサキュバスがこの街に…。,It’s quite rare to find multiple succubi in a place so distant from demon territory. And why near this town too...
それに倒されたサキュバスが復活するだなんて…。\nうーん、これはしっかりとした調査が必要ですね。,And about the slain succubus being resurrected...\nHmm; this must be investigated even further.
いずれにしても、今回はお疲れさまでした。\nクエストは無事達成です。\nランクの昇格を行いますので指輪をこちらへお渡しください。,At any rate; good work you two. You’ve both completed the quest safely. Your rank will be promoted, so please hold out your ring.
ランクがDランクにアップした！,Ranked up to D-rank!
ランクアップおめでとう。\n大変な任務になっちゃったわね。,Congratulations on your rank up. The mission turned out to be more tougher than I thought.
それにしてもなんでサキュバスたちがモルゲンの近くにいたのかしら。\n国境からここまで侵入するのだってそう簡単じゃないと思うのだけど。,Still; I wonder why those succubi were so close to Morgen. I don’t think it’d be that easy to infiltrate this city all the way from the border.
カードマスターがこの街に集まっているから…？,Because cardmasters are gathered on the town...?
ただの偶然…？,Just a coincidence...?
僕がこの街にいるから…？,Because I’m in this town...?
確かに、いまは１０年に１度の大会で\nカードマスターが国中から集まっているわね。,If I remember correctly; this year’s when we hold out a huge tournament every 10 year gathering all cardmasters from all over the country.
カードマスターのエナジーは\nサキュバスにとってとてもおいしいらしいから、\nそれを狙っているってのはあるのかも。,For a succubus; the energy of cardmasters are a delicacy. That might be what they’re aiming for.
まあ逆に言えば戦力が集結している状況なわけで、\n高ランクマスターもぞろぞろいる。\nこんなときにこの辺を襲おうだなんてサキュバスも無謀よね。,On the other side; it’s also a situation where military strength are concentrated and many high-ranked cardmasters are gathered. It’d be reckless for a succubus to attack at a time like that.
その可能性は十分にあるわね。\n下級のサキュバス２体がたまたま迷い込んだだけかもしれない。,It’s possible that the 2 low-class succubi might also have just strayed that far into the city.
サキュバスの特性によっては人間に化けるのがうまかったり、\n隠密性に優れてたりするから\nたまに国境内に侵入されることもあるの。,Depending on the succubus' traits; they can be adept at stealth and disguising themselves as humans; which allows them to sneak inside the borders of countries.
あのスライムサキュバスなんて、どこの隙間にでも入り込めそうだし、\n隠れて侵入するのにはうってつけかもね。,That slime succubus; who can enter any opening; would be perfect for sneaking in.
え！？もしかしてあなた、実は超VIPだったりするの？\n王族だったりとか？,HUH!? Are you some kinda Super-VIP? Like from a royal lineage?
別にちがう…？ふふ、じゃあそれは自意識過剰よ。,I got it wrong...? Fufu; then you’re thinking too highly of yourself.
確かにあなたの腕には目を見張るものがあるけれど、\nサキュバスたちがあなたのことを知っているはずもないし、\nあなたが標的ってのは考えづらいと思うわ。,Well; you’re pretty amazing with your skills; but there’s no way they’d know about that; and it’s pretty hard to imagine that you’d be their target too.
もしも王族とかだったなら、\n人質にしたり洗脳するために襲撃をしかけるかもしれないけれど、\nモルゲンにそんな人が来ているって話は聞かないし…。うーむ。,If you were a royalty; then they could launch a surprise attack and take you hostage to brainwash you. But I haven’t heard of such a royalty coming to Morgen... Hmm...
まあなんにしても今後の調査次第よね。\n他に潜んでいるサキュバスがいるかもしれないけれど、\nとりあえずわたしたちはこのまま大会を頑張っていくしかないわ。,In either case; it’ll depend on how the investigations turn out later. There might still be other succubi lurking; but for now we should focus on the tournament and do our best there.
あなたにランクで追いつかれちゃったし、\nわたしも頑張らないと！それじゃあね。,You caught up with my rank; so I’ll have to work even harder from now!\nWell; I’ll be going now.
僕はエルルさんと別れ、宿屋へと戻った。初めてのクエストで体はもうクタクタだ。,I parted ways with Eruru and returned back to my inn. I’m all exhausted from my first quest.
サキュバスたちの姿が見え始め、少し不穏な気配も感じるが、僕はただランクをあげることに集中しよう。師匠に言われた目標のAランクまであと３ランクだ！,I feel a bit uneasy after seeing succubi start to appear; but I have to focus on ranking up first. The A-rank my master told me to aim is still 3 ranks away!
あなたのターンからだね！くすくす❤おっぱいに見とれてて大丈夫？,It’s your turn! Teehee～❤ Are you sure you’ll be fine when you’re staring at my boobs?
ほら、また見ていいよ❤戦う前からおっぱいにメロメロになっちゃえ❤,Come on; stare at them even more～❤ You’ll fall in love with my boobs before the fight has even started～❤
わたしのターンからだね！わたしのキノコモンスターたちは強いよー？,It’s my turn! My mushroom monsters are strong; you know!
あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤ま、そもそも…。,Their spores will make you go weak and turn this into a one-sided battle!❤\nWell; to start with...
谷間チラ見せでおっぱいに釘付けになっちゃう男なんて、楽勝かもね❤くすくす❤,It’s probably going to be an easy win since you couldn’t even take your eyes off my chest when I showed it off～❤ Teehee～❤
あなたのターンからだね！わたしがいっぱい気持ちよくして吸い殺してあげる❤,It's your turn! I’ll make you feel so good and drain you completely dry～❤
吸い殺すとか言われて怖い？だいじょうぶだよー❤気持ちよくなっているうちにあっという間に終わるからね。くすくす❤,Did you get scared when I said I’ll drain you dry? Don’t worry～❤ It’ll feel so good when you meet your end. Teehee～❤
あなたの力を胞子で弱らせてすぐに一方的なバトルにしてあげる❤くすくす❤,Their spores will make you go weak and turn this into a one-sided battle～❤ Teehee～❤ 
ドロー！,Draw!
わたしのターン、ドロー。,It’s my turn; draw.
モンスターをコストに{使用カード}を上級召喚！,I advance summon {使用カード} using this monster!
{使用カード}を召喚！,Summon {使用カード}!
ううっ、あうう・・・❤,Uahhh...❤
くすくす❤一回自滅しちゃった子をよみがえらせても\n意味ないみたいだね❤\nわたしたちに夢中で気持ちよさそうな顔～❤,Teehee～❤ Looks like there’s no point in resurrecting someone who has already sabotaged himself once～❤ He’s already obsessed with being pleasured by us～❤
サキュバスに負けちゃった気持ちよさが忘れられないみたい❤\nねー、マスターくんもこんな風になりたいよね。\n自分から負けちゃえば？ほら、谷間をチラ❤,Looks like you couldn’t forget the pleasure of losing to a succubus～❤ Hey～ Mr. Cardmaster wants to be like him too; right? Why don’t you lose yourself to the pleasure? Here; I’ll let you have a peek～❤
うぐ・・・❤,Ugh...❤
あは、効いてる❤効いてる❤\n人間の男の子、ちょろくておもしろーい❤きゃはは♪,Ehe; it’s working～❤ Human boys are such pushovers～❤ It’s hillarious; kyahaha～♪
さらにもう1枚発動！,And activate one more time!
場に出たとき{使用カード}の効果発動！「よわよわ胞子」を１枚手札に加えるね！,Activate {使用カード}’s effect when it enters the field! Add 1 "Weakening Spores" to my hand!
{使用カード}が場に出たとき効果発動！「よわよわ胞子」を手札に加えるよー！,Activate {使用カード}’s effect when it enters the field! Add "Weakening Spores" to my hand!
ターン終了時に{使用カード}の効果発動！自分フィールド上の植物モンスターのHPを強化するよ！,When the turn ends; activate {使用カード}’s effect! Increase the HP of all plant monsters on my field!
ターン終了時に{使用カード}の効果発動！植物モンスターのHPをパワーアップ！,When the turn ends; activate {使用カード}’s effect! HP UP for all plant monsters in my field!
攻撃宣言時に{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数を増やしちゃうよ！,When an attack is declared; activate {使用カード}’s effect! If the opponent has less attack power; increase the number of attacks!
ぼこぼこにいじめちゃえ❤{使用カード}の効果発動！自分より相手が弱いとき、攻撃回数をアップ！,Beat them up～❤ Activate {使用カード}’s effect! If the opponent has less attack power; number of attacks increases!
墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターをサーチ！,When a card enters the graveyard; activate {使用カード}’s effect! Search my deck for a plant-type monster!
墓地へ送られたとき{使用カード}の効果発動！デッキから植物タイプモンスターを手札に加えるね！,When a card enters the graveyard; activate {使用カード}’s effect! Add a plant-type monster from the deck to my hand!
{使用カード}の効果発動！デッキからランダムに５枚カードを墓地へ送るよ！,Activate {使用カード}’s effect! Send 5 random cards from the deck into the graveyard!
召喚時に{使用カード}の効果発動！自分のデッキから墓地へ５枚のカードを送るね！,When summoned; activate {使用カード}’s effect! Send 5 random cards from the deck into the graveyard!
破壊されたとき{使用カード}の効果発動！墓地のレベル４以下の植物モンスター１体を手札に加えるよ。,When destroyed; activate {使用カード}’s effect! Add a level 4 or below plant monster from the graveyard into my hand!
デッキから直接墓地へ送られたとき{使用カード}の効果発動！自分フィールドに復活！,When this card enters the graveyard directly from the deck; activate {使用カード}’s effect! Resurrect it on my field!
{使用カード}がデッキから墓地に行ったとき効果発動！墓地から復活するよ！,When this card goes from the deck into the graveyard; activate {使用カード}’s effect! Resurrect it from the graveyard!
キノコちゃんたちを守るために、手札を1枚捨てて永続魔法カード発動！{使用カード}！,In order to protect the mushroom girls; discard 1 card from my hand to activate the continuous spell card; {使用カード}!
植物モンスターが自分の場にいるなら、あなたのモンスターは召喚してもすぐには攻撃できなくなるよ。,As long as there’s a plant monster in my field; your monsters cannot attack immediately when they’re summoned into the field.
足止めして弱らせちゃうね。手札を1枚捨てて永続魔法カード発動！{使用カード}！,This’ll hinder your movement and weaken you down. Discard 1 card from my hand to activate the continuous spell card; {使用カード}!
{使用カード}を発動！デッキからランダムに３枚墓地へ送るね！,Activate {使用カード}! Send 3 random cards from the deck into the graveyard!
{使用カード}を発動！デッキのカードを墓地へ３枚送るねー。,Activate {使用カード}! Send 3 random cards from the deck into the graveyard.
