default
エルル,Eruru
{使用カード}を発動！強化状態の味方をさらに強化するわ！,{使用カード} activate! This card makes any allies that are buffed to get buffed even further!
どんどん強くなりなさい。{使用カード}を発動！,My monsters will only continue to get stronger! {使用カード}; activate!
{使用カード}を発動！デッキからローグモンスターをサーチさせてもらうわね。,I Activate {使用カード}'s effect! It searches for a Rogue Type monster from my deck and adds it to my hand.
さあ行くわよ。{使用カード}を発動！連続攻撃してあげる！,Let's go! Activate {使用カード}! Take these successive attacks!
装備魔法カード発動！{使用カード}！,Activate magic equipment card! {使用カード}!
魔法カードを発動！{使用カード}！,Activate magic card! {使用カード}!
トラップカードを発動するわ！{使用カード}！,Activate trap card! {使用カード}!
カードをセット。,I'll set this card.
カードを伏せるわ。,I'll place this card facedown.
あなたのこと気持ちよくしてあげるわね。{防御カード}を攻撃！,I'll make you feel good now~ I'll attack {防御カード}!
快感で戦えなくしてあげる。{防御カード}を攻撃！,I'll make you go powerless from pleasure. I'll attack {防御カード}!
バトルよ！{使用カード}で{防御カード}を攻撃！,Go; {使用カード}! Attack {防御カード}!
ううっ、なにもできないわ。ターンエンド。,Uuu; I can't do anything. Turn end.
あまり良くない手札ね。なにもできない。ターンエンド。,My hand doesn't look good; I can't do anything. Turn end.
ターン終了よ。,Turn over.
ターンエンド。,Turn end.
わたしのターンはおわり。ターンエンド。,Alright; I'm done. Turn end.
あら、攻撃妨害？意外とやるじゃない。,Oh; you blocked my attack? Not bad.
投げキッスとか好き？ほら指で唇をはじいて、ちゅっ❤,Do you like blown kisses? Look; my fingers are on my lips... Smooch~❤
ねえ、エッチなことしたくない？\n投げキッスでムラムラさせたげるね。んっちゅ❤,Hey; do you want to do something naughty? I'll make your heart throb with my blown kisses. Smooch~❤
F級カードマスターくんはまだまだ女の子に対してうぶなんでしょ？\nわたしと気持ちいいことしたい？,Silly F-rank cardmaster. You're still inexperienced around girls; aren't you? Don't you want to feel good with me?
E級カードマスターくんはまだまだ女の子に対してうぶなんでしょ？\nわたしと気持ちいいことしたい？, Silly E-rank cardmaster. You're still inexperienced around girls; aren't you? Don't you want to feel good with me?
ねえほら、唇を見て？\n{主人公}はわたしと気持ちいいことしたい？,Hey; look at this~ See my lips? Don't you want to feel good with me; {主人公}?
それなら、そのままじっとしててよ…❤んっちゅ❤,Then just stay still like that...❤ Smooch~❤
投げキッスで興奮させたげる。んっちゅ❤,I'll make you get excited with blown kisses. Smooch~❤
手でいじめてあげる。ほら、ぎゅってチンコを握って、シコシコ…❤,I'll tease your dick with my hands. Look; I'll hold it tightly; and start stroking it up and down...❤
意外と優しい扱き方でしょ？頭のなかとろとろにしちゃうね。ふふふ❤,The way I stroke is surprisingly gentle; isn't it? I bet it's turning your head into a mess; hehe~❤
手コキしてあげよっか？チンポを捕まえて、シコシコ、シコシコ♪,Should I give you a handjob? I caught your dick. Jerk; jerk...❤
わたし、手先が器用だからとても気持ちいいはずよ。\nほら、さっさとイっちゃいなさい。,I'm skilled with my fingers; so it should feel really good. There; go ahead and cum.
F級カードマスターくんは女の子に手でしてもらったことはある？,F-rank cardmaster; have you ever been touched by a girl before?
女の子の手って柔らかいから気持ちいいのよ。ほら、実際にやったげる。シコシコ、シコシコ…♪,A girl's soft hands will feel really good. Here; I'll do it for you. Stroke stroke; stroke stroke...♪
E級カードマスターくんは女の子に手でしてもらったことはある？,E-rank card master; have you ever been touched  bya girl before?
わたし手コキにはけっこう自信があるの❤\n{主人公}のこともすぐに骨抜きにしてあげる❤\nほら、シコシコ、シコシコ…♪,I'm confident in my handjob skills.❤ {主人公}'s dick will quickly turn powerless.❤ Here; I'll rub it...♪
わたしの手でかわいがってあげる。ほら、握って上下に、シコシコ…❤いっぱい声出しちゃっていいからね。,I'll treat you good with my hands. There; I'll hold your dick like this and move up and down...❤ Make as much noise as you like.
わたしの胸、けっこう大きいでしょ。挟んであげようか？,My boobs are surprisingly big; aren't they? Shall I squeeze your dick between them?
ほら、服の隙間からチンコを入れてっと…。\nふふふ、おっぱいの感触たくさん楽しんでね❤,Go on; slip your dick through the gap in my clothes... Hehe; Enjoy the feel of my tits around your cock~❤
胸で挟んで、気持ちよくしてあげる。\nこの大きなおっぱいでむぎゅーってチンコを挟んじゃうの。,I'll make your dick feel good with my big boobs; it'll get squeezed between them real good.
その状態で上下に何度もズリズリ♪ パイズリって気持ちいいのよ。ほら…❤,I'll move my boobs up and down just like this♪ Titjobs feel good; don't they? Come on...❤
F級カードマスターくんにおっぱいで特別ご奉仕。チンコを服の中に入れてっと…。,Here's a special service for a special F-rank cardmaster. I'll slip your dick under clothes and...
E級カードマスターくんにおっぱいで特別ご奉仕。チンコを服の中に入れてっと…。,Here's a special service for a special E-rank cardmaster. I'll slip your dick under my clothes and...
おっぱいで特別ご奉仕してあげるわね❤{主人公}❤\nチンコを服の中に入れてっと…。,Here's a special service for you; {主人公}❤. I'll slip your dick under my clothes and...
おっぱいあったかくて気持ちいい？そのまま力抜いてなさい。\nきっと耐えられなくて、すぐに終わるわ。\nよいしょっ。ズリズリ、ズリズリ…❤,Does it feel warm between my boobs? Just relax. I'm sure you won't be able to resist this; so this'll be over soon. Squeeze; squeeze...❤
胸で挟んで、気持ちよくしてあげる。この大きなおっぱいでむぎゅーってチンコを挟んじゃうの。,I'll press my breasts around your cock and make you feel good. All by being squeezed between my large titties~
あら、我慢できなくて射精させてくださいってお願いしちゃうわけ？\n初心者らしいカッコ悪いおねだりね❤,Oh; you can't endure; so you're begging me to make you ejaculate? So typical for a beginner. What a pathetic request~❤
どうやって負けたいのかしら❤\n先輩マスターのわたしに向かって、声に出して言ってみなさい❤,So; how do you want to lose?❤ Please face your senior and say it loudly.❤
あら、我慢できなくて射精させてくださいってお願いしちゃうわけ？\nDランクにもなってカッコ悪いおねだりね❤,Oh; you can't endure so you're begging me to make you ejaculate? Even if you're a D-ranker; that's such a pathetic request❤
くすくす❤\nバトルの途中なのに、敵のマスターにおねだりしちゃうんだ❤\n初心者マスターのモンスターだけあって、理性が弱いのね❤,*Giggle*❤ Even though we're in the middle of a battle; to beg your opponent like that~❤ Even if you're the monster of a beginner card master; your self-control is really weak~❤
どうやって負けたいのかしら❤\n声に出して言ってみなさい❤,So; how do you want to lose?❤ Please face me and say it loudly.❤
くすくす❤\nバトルの途中なのに、敵のマスターにおねだりしちゃうんだ❤\nマスターは強くてもモンスターは理性が弱いのね❤,*Giggle*❤ Even in the middle of a battle; to beg your opponent like that~❤ Even if your master's strong; his monsters don't have any self-control~❤
足止め投げキッス,Paralyzing Blown Kiss
みっちり着衣パイズリ,Tight Titjob
腰砕け手コキ,Hip-Breaking Handjob
なんでも,You decide
あはは、投げキスをいっぱいしてほしいの？\nすごくかわいいお願いをするのね❤,Ahaha; you want more blown kisses? That's a cute request~❤
いいわよ、してあげる❤\n本当はただ足止めするための技だけど、何回も当てて\nあなたのこと投げキスだけでイかせてあげるわ❤,Fine by me. I'll give you your blown kisses.❤ Honestly; this skill was originally meant for stopping your movements; but I'll give you as many blown kisses as you want~❤
ふーん、このおっぱいで挟んでほしいんだ❤\nおっぱいフェチの雑魚チンポ、シャツをめくって中に入れて、\nたっぷりズリズリしてあげるわ❤,Ooh; so you want me to squeeze your dick between my breasts?❤ I'll definitely slip your weak penis undermy shirt and rub it good then~❤
ふふ、手でシコシコしてほしいのね❤\nわたし手コキはかなりうまい方だと思うの❤\nあなたの足腰すぐに立たなくさせてあげる❤,Fufu; you want me to jerk you off; don't you?❤ I think I'm pretty good with my hands.❤ You won't be able to stand up after this~❤
くすくす❤キスされるたびにビクビク震えて、ついに射精しちゃった❤\n魔力は多少込めているけど、投げキスだけでイクとかだいぶ変態よね❤,*Giggle*❤ You trembled with each kiss and finally ejaculated.❤I did use a little magic; but cuming just from my blown kisses must make you quite the pervert; huh?❤
変態っていうかただザコなだけかしら？\n指先でちゅってされるだけで負けるんだもの❤\nぷっ、くすくすくす♪,Or maybe not a pervert; but rather a pushover? I only used my fingertips; but you lost from that.❤ Pfft; *Giggle*♪
ふふ、わたしのパイズリ気持ちよかったでしょ？\n服があなたのせいでベトベト❤\nでも魔力に変えて吸収するから精液つけられたところで困らないわ❤,Hehe; did my boobs really feel that good? My clothes are all sticky from your cum~❤ But it's not a problem since I can turn it all into magic and absorb it.❤
困るのはあなたの仲間たちね❤\n裏切ったせいで戦力が一人減って、そのうえわたしは全回復。\nどう考えてもピンチじゃない。くすくす❤,The ones in trouble are your comrades.❤ Because of your betrayal; they lost one member; and I even get to fully recover. No matter how you view it; they're are in big trouble. *Giggle*❤
ふふ、わたしの手コキ気持ちよかったでしょ❤\nシコシコしてあげれば、たいていの男は骨抜きにできる自信があるわ。,Hehe; looks like you're feeling good from my handjob~❤ If a boy lets me give them a handjob; I'm confident that I can make them go mad from pleasure.
あなたも全然耐えられなかったわね❤\nくすくす❤,Looks like you can't endure it either~❤ *Giggle*❤
あっ、ああっ・・・。,Ah; ahh...
ふふふ、この間負けて今回も負けちゃうんだ。\nそれもオナニーで自分から負けに来ちゃうなんて、雑魚すぎじゃない？,Hehe; you lost last time; and now you're losing again. Not to mention you lost by masturbating yourself. That's so pathetic; isn't it?
あら？オナニー始めちゃうわけ？\nF級カードマスターくんは、理性も低ランクなのね❤,Oh? You're masturbating now? Turns out; an F-rank cardmaster also has F-rank self-control.❤
あら？オナニー始めちゃうわけ？\nE級カードマスターくんは、理性も低ランクなのね❤,Oh? You're masturbating now? Turns out; an E-rank cardmaster also has E-rank self-control.❤
あら？オナニー始めちゃうわけ？\nD級になったのに、{主人公}の理性は低ランクなのね❤,Oh? You're masturbating now? Even though {主人公} is a D-rank cardmaster; your self-control is still low-ranked.❤
この間はわたしに勝てたのに、今度は自爆して負けちゃうんだもの。\nもしかして前のバトルのときから、\nわたしでオナニーしたいなぁとか思ってたの？この変態❤,Even though you won last time; you threw the battle and lost this time. Could it be that you just wanted to masturbate to me since our last battle? You pervert~❤
わたしのおっぱいとかおへそを見てムラムラしちゃったの？\nたいした露出じゃないと思うんだけど、\nこれぐらいで我慢できなくなるなんて、うぶでかわいい❤,Did you get turned on from looking at my boobs and navel? I didn't think I was exposing too much skin; but it's pretty cute how that's enough to make you unable to hold yourself back.❤
ううっ…。,Uuu...
せっかくだから服を少しずつめくって露出を増やしてあげるわ。ほら…。,We're already this far; so I might as well open my clothes to expose even more skin. Here you go...
わたしの下乳、見えるでしょ？\nむにゅむにゅしてて柔らかそうで、エッチなおっぱい❤,Are you looking at my underboobs? It's so soft and squishy. Tt's so lewd isn't it?❤
このおっぱいにチンコ入れたいなぁとか妄想しちゃってるの？\n谷間にチンコ突き入れて、そのまま両側から\nおっぱいでむにゅーって押しつぶされて…❤,Are you fantasizing about your dick entering my boobs? Just imagine it entering my cleavage; getting squeezed from both sides...❤
ふふふ、とっても気持ちいいでしょうね。そんなことされたら、\nすぐに我慢できなくなって射精しちゃうかも。,Hehe; that'd feel really good. I'm sure if that happened; you'd cum immediately.
どんどん妄想していいのよ。好きなだけわたしの体でシコって、\nさっさと負けちゃいなさい。,You can keep fantasizing all you want about my body; so just keep jerking off and lose.
敵のマスターのエッチな姿で自爆オナニー。\nF級マスターにはお似合いの負け方よ。くすくす…❤,Throwing the battle by masturbating to your opponent's body. You really are an F-rank to lose like that. *Giggle*...❤
はひぃっ…❤,Hahieeeee...❤
あーあ、こんなに出しちゃってみっともない。谷間がべとべと。,Ahh; cumming like that is so pathetic. My cleavage is all sticky now.
気持ちよさそうな顔しちゃって、恥ずかしくないの？\nこの間といい、わたしの谷間でオナニーするの癖になっちゃったみたいね。\n変態雑魚マスターくん❤,Aren't you embarrassed to make a face like that? Seems you're developing a habit of masturbating to my breasts; just like the other day. You perverted cardmaster~❤
頑張れば勝つこともある相手に、カッコ悪い負け方しちゃったわね。\nふふふ、そんなんじゃもうわたしには勝てないかもよ？,Even if you were trying your hardest to win; that's such a pathetic way to lose; you know? Hehe; I don't think you can win against me anymore after that.
初心者のうちからこんな調子じゃ、\nあなた上のランクになんていけないわよ。くすくす❤,If you're already like this as a beginner; I don't think you'll ever be able to climb to a higher rank. *Giggle*❤
あら？オナニー始めちゃうわけ？\nF級カードマスターのしもべは、しょせんF級の理性しかないのね。,Oh? You're masturbating now? It's no wonder the subordinate of an F-rank cardmaster would also have F-rank self-control.❤
戦いの最中でも、敵マスターのおっぱいとかおへそでムラムラしちゃう\nよわーい理性❤これぐらいで我慢できなくなるなんて、なさけなーい❤,We're in the middle of a battle; and yet you're getting turned on from your opponent's boobs and navel. What weak self-control~❤ To think you can't even handle this much. Pathetic~❤
ふふ、馬鹿にされて興奮しちゃってるの？\n服を少しずつめくって露出を増やしてあげる。ほら…。,Heh; are you getting even harder from getting ridiculed? Here; I'll expose my body even more...
わたしの下乳見えるでしょ？\nむにゅむにゅで柔らかそうで、エッチな谷間❤,You're looking at my underboobs; right? It's so soft and squishy. It's such lewd cleavage; isn't it?❤
このおっぱいにチンコ入れたいなぁとか妄想しちゃってるんでしょ？\n好きなだけシコって、さっさと負けちゃいなさい。,Are you fantasizing about your dick entering my boobs? You can keep fantasizing all you want; so just keep jerking off and lose.
敵マスターのエッチな谷間で自爆オナニー。\n雑魚モンスターにはお似合いの負け方よ。くすくす…❤,Throwing the battle by masturbating to your opponent's cleavage. You really are a small fry monster to lose like that. *Giggle*...❤
あ、ああっ…❤,Ah; ahh...❤
あらあら、こんなに出しちゃって、よっぽど気持ちよかったのかしら。\nエナジーで服がべとべと❤,Oh; was it really that pleasurable? My clothes are now all sticky from your mana.❤
敵のマスターを回復させるなんて、ダメなしもべね。\nふふ、他の子もわたしの体でオナニーして、ダメな子になっちゃう？,Letting your master's opponent recover. What a useless subordinate. Hehe; is anyone else going to masturbate to my body and turn themselves useless?
あら？あなたもオナニー始めちゃうわけ？しもべと同じでF級カードマスターくんは、理性も雑魚なのね。くすくす。,Oh? You're also masturbating now? No wonder the subordinate of an F-rank cardmaster would also have such weak self-control.❤ *giggle*
この間はわたしに勝てたのに、今度は自爆してシコシコ❤ もしかして前のバトルのときから、わたしでオナニーしたいなぁとか思ってたの？この変態❤,Even though you won last time; this time you masturbated right away and threw the battle. Could it be that you just wanted to masturbate to me since last time? You pervert~❤
戦いの最中なのに、わたしのおっぱいとかおへそを見て、ムラムラしちゃったんだ。これぐらいで我慢できなくなるなんて、なさけなーい❤,We're in the middle of a battle; and yet you're getting turned on from your opponent's boobs. Not being able to handle this much is so pathetic～❤
馬鹿にされて興奮して変態じゃない。あなたもわたしのおっぱい見たいの？ほら、服を少しずつめくって露出を増やしてあげる。,Aren't you one of those perverts that gets even harder from getting ridiculed? And you also want to see my boobs; right? Here; I'll expose my body even more...
わたしの下乳見えるでしょ？むにゅむにゅで柔らかそうで、エッチなおっぱい…❤,You're looking at my underboobs; right? It's so soft and squishy; it's such lewd cleavage; isn't it?❤
このおっぱいにチンコ入れたいなぁとか妄想しちゃってんでしょ？いいわよ。好きなだけシコって、あなたもさっさと負けちゃいなさい。,Are you fantasizing about your dick entering my boobs? That's fine. You; too; can keep fantasizing all you want. Just keep jerking off and lose.
しもべともども、敵のマスターのエッチな姿で自爆オナニー。F級マスターにはお似合いの負け方よ。くすくす…❤,Subordinates are just like their master. Throwing the battle by masturbating to your opponent's body. What a fitting way of losing for an F-rank. *Giggle*...❤
気持ちよさそうな顔しちゃって、恥ずかしくないの？この間といい、わたしの谷間でオナニーするの癖になっちゃったみたいね。変態雑魚マスターくん❤,Aren't you embarrassed to make a face like that? Seems you're developing a habit of masturbating to my breasts; just like the other day. You perverted cardmaster~❤
頑張れば勝つこともある相手に、カッコ悪い負け方しちゃったわね。ふふふ、そんなんじゃもうわたしには勝てないかもよ？,Even if you were trying your hardest to win; that's such a pathetic way to lose; you know? Hehe; I don't think you can win against me anymore after that.
初心者のうちからこんな調子じゃ、あなた上のランクになんていけないわよ。くすくす❤,If you're already like this as a beginner; I don't think you'll ever be able to climb to a higher rank. *Giggle*❤
あら？あなたもオナニー始めちゃうわけ？ボクもオナニーしたいよぉって我慢できなくなっちゃたんだ。くすくす❤,Oh? You're also masturbating now? So you also couldn't hold yourself back from masturbating to me.❤ *Giggle*
戦いの最中でも、敵マスターのおっぱいとかおへそでムラムラしちゃう、よわーい理性。これぐらいでシコシコ止まらなくなっちゃうなんて、なさけなーい❤,We're in the middle of a battle; and yet you're getting turned on from your opponent's boobs and navel. What weak self-control~ Just this much and you can't stop yourself from masturbating. So pathetic~❤
あは、馬鹿にされて興奮しちゃってるじゃない。あなたもわたしのおっぱい見たくてこっちに来たんでしょ？,Aha; are you getting even harder from getting ridiculed? You also came here because you wanted to see my boobs; right?
ならほら、服を少しずつめくって露出を増やしてあげる。わたしの下乳見ていいわよ。むにゅむにゅで柔らかそうで、エッチな谷間…❤,Then here; I'll expose my body even more. It's fine to look at my underboobs. It's so soft and squishy; it's such lewd cleavage...❤
このおっぱいにチンコ入れたいなぁとか妄想しなさい。妄想のパイズリで好きなだけシコって、さっさと負けるのよ。,Go ahead and fantasize about your dick entering my boobs. Keep fantasizing about getting a titjob all you want and lose to me.
敵のマスターのエッチな姿で自爆オナニー。雑魚モンスターにはお似合いの負け方でしょ。くすくす…❤,Throwing the battle by masturbating to your opponent's body. What a fitting way of losing for a small fry monster. *Giggle*...❤
あらあら、こんなに出しちゃって、よっぽど気持ちよかったのかしら。エナジーで谷間がべとべと。,Oh; was it really that pleasurable? My cleavage is all sticky from your mana.
敵のマスターを回復させるなんて、ダメなしもべね。ふふ、他の子もわたしの体でオナニーして、ダメな子になっちゃう？,Letting your master's opponent recover You're just a useless subordinate. Hehe; is anyone else going to masturbate to my body and turn themselves useless?
はい、わたしの勝ち❤オナニーでおっぱいに射精するの気持ちよかった？,Yep; looks like I won~❤ Are you satisfied cumming to my boobs?
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、F級マスターくん❤,Look; my hand's all dirty now. You lost so easily against these hands; F-rank cardmaster~❤
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、E級マスターくん❤,Look; my hand's all dirty now. You lost so easily against these hands; E-rank cardmaster~❤
ほら、見てよ。手がどろどろ。\nわたしの手にあっけなく負けちゃったね、{主人公}❤,Look; my hand's all dirty now. You lost so easily against these hands; {主人公}~❤
あは、なに？投げキッスされただけでイっちゃったの？\nうぶすぎでしょ。ぷぷぷ❤,Aha; what? You came from just blown kisses alone? You're way too innocent. Pfft~❤
んふふ、パイズリ気持ちよかった？\nF級くんのチンコ、おっぱいに負けちゃったねー❤,Hehe; is my titjob that good? F-rank cardmaster's dick is gonna lose to my boobs~❤
んふふ、パイズリ気持ちよかった？\nE級くんのチンコ、おっぱいに負けちゃったねー❤,Hehe; is my titjob that good? E-rank cardmaster's dick is gonna lose to my boobs~❤
んふふ、パイズリ気持ちよかった？\n{主人公}のチンコ、おっぱいに負けちゃったねー❤,Hehe; is my titjob that good? {主人公}'s dick is gonna lose to my boobs~❤
F級くん,F-rank
E級くん,E-rank
あなた,You
勝負に負け動けなくなった僕は、エルルさんの前で膝をついていた。エルルさんはそんな様子の僕を見下ろしニタニタと笑っている。,As I lost the battle and was left unable to move; I was on my knees in front of Eruru. She smirked as she looked down at my state from above.
勝負に負け動けなくなった僕は、エルルの前で膝をついていた。エルルはそんな様子の僕を見下ろしニタニタと笑っている。,As I lost the battle and was left unable to move; I was on my knees in front of Eruru. She smirked as she looked down at my state from above.
ふふふ。やっぱりわたしの方が強かったわね。F級じゃあ仕方ないかもだけど、ただの人間に気持ちよくされて情けなく射精…❤,Hehehe. As expected; I'm stronger. You're only F-rank so it couldn't be helped that you'd feel good and cum shamefully from an ordinary human...❤
ふふふ。やっぱりわたしの方が強かったわね。E級じゃあ仕方ないかもだけど、ただの人間に気持ちよくされて情けなく射精…❤,Hehehe. As expected; I'm stronger. You're only E-rank so it couldn't be helped that you'd feel good and cum shamefully from an ordinary human...❤
ふふふ。やっぱりわたしの方が強かったわね。\nサキュバスに勝てる実力だってあるはずなのに、\nただの人間に気持ちよくされて情けなく射精…❤,Hehehe. As expected; I'm stronger. Even though you're strong enough to beat a succubus; you still came so shamefully from an ordinary human...❤
とってもみっともないと思うわ。くすくす❤,I find that so pathetic. *Giggle*
そうだ。あなたが少しは我慢できるように、わたしが稽古つけてあげましょうか。,Oh right; what about training with me so you can control yourself better?
稽古…？,Train...?
そう、稽古❤わたしの体を使って{&呼び方}を気持ちよくしてあげるの。きみはそれを頑張って我慢するってわけ。,That's right; "train"❤ I make {&呼び方} cardmasters feel good using my body; and they do your best enduring it.
例えばこの手を使っておちんちんを…。,For example; if I use my hand on your dick...
そういうと彼女は指先でペニスをつーっと撫で上げた。ゾクゾクとした快感が体を走り、僕は思わず体をビクンと震わせてしまう。,As she said that; she moved her fingertips over my dick and started stroking it. A thrilling feeling ran through me and I reflexively trembled from it.
こんな風にかわいがってあげようかなーってね。手袋でなでられて、けっこう気持ちいいでしょ？,I'll make you feel good just like that. Being stroked with my gloves feels good; right?
{&呼び方}が望むなら、いまからシコシコしてあげて、我慢の練習、させてあげる。どうする？やってみる？,I only give self-control training to {&呼び方}s that want it. What do you say? Do you wanna do it?
ううっ…、それは…❤,Ugh... That's...❤
ただし、有料だからね。手でしてほしいなら1回{$cost}ゴールド❤,But there's a fee. If you want to do it with my hand; it'll cost you {$cost} gold~❤
